collection,id,pid,name,acronym,logo,logo_filename,country,website
BIB,BRI,,Bradford Royal Infirmary,BRI,,,United Kingdom of Great Britain and Northern Ireland (the),
RAINE,UWA,,University of Western Australia,UWA,,,Australia,https://www.uwa.edu.au/
KANC,VMU,,Vytautas Magnus University,VMU,,,Lithuania,https://www.vdu.lt/
DFBC,Amsterdam UMC (AMC),,"Amsterdam UMC, location AMC",,,,,
CSC,KI,,Karolinska Institutet,KI,,,Sweden,https://ki.se/en
NFBC1966 G0,UOULU,,University of Oulu,UOULU,,,Finland,
FinnGeDi,UOULU,,University of Oulu,UOULU,,,Finland,
NFBC1966,UOULU,,University of Oulu,UOULU,,,Finland,
HELIX,ISGLOBAL,,Barcelona Institute for Global Health,ISGLOBAL,,,Spain,
NOMA,UiO,,University of Oslo,UiO,,,Norway,
CON,SSI,,Statens Serum Institut,SSI,,,Denmark,
PSYCONN,GGZ Drenthe,,GGZ Drenthe,,,,,
CRC-Cohort,BBMRI-ERIC,,Biobanking and Biomolecular Resources Research Infrastructure – European Research Infrastructure Consortium,BBMRI-ERIC,,,Austria,
DNBC,UCPH,,University of Copenhagen,UCPH,,,Denmark,https://www.ku.dk/english/
Immune-Image_Task_6.2a,UMCG,,University Medical Center Groningen,UMCG,,,Netherlands (the),
Immune-Image_Task_6.2b,UMCG,,University Medical Center Groningen,UMCG,,,Netherlands (the),
Immune-Image_Task_6.3,UMCG,,University Medical Center Groningen,UMCG,,,Netherlands (the),
testCohort1,test lead organisation 2,https://pid-testleadorganisation2.org,name for test lead organisation 2,acronym for test lead organisation 2,,,"""Bonaire, Sint Eustatius and Saba""",
WDC,TUNI,,Tampere University,,,,Finland,https://www.tuni.fi/en
LifeCycle,EMC,,Erasmus MC,EMC,,,Netherlands (the),
HPV,UOULU,,University of Oulu,UOULU,,,Finland,
LongITools,UOULU,,University of Oulu,UOULU,,,Finland,
MAT,UOULU,,University of Oulu,UOULU,,,Finland,
WDC,UOULU,,University of Oulu,UOULU,,,Finland,
TestDataSourceID,AMC,,Amsterdam Medical Center ,AMC,,,Netherlands (the),
ABL,ARS.TOSCANA,,Agenzia regionale di sanità della Toscana,ARS,,,Italy,https://www.ars.toscana.it/
DHL,DHL.I,,Finnish Institute for Health and Welfare,THL,,,Finland,https://thl.fi/en/web/thlfi-en
EUROCAT NNL,UMCG,,University Medical Center Groningen,UMCG,,,Netherlands (the),
MBRN,UiO,,University of Oslo,UiO,,,Norway,
EFEMERIS_PRESCRIPTION,CHUT,,Centre Hospitalier Universitaire de Toulouse,CHUT,,,France,
AP,ARS.TOSCANA,,Agenzia regionale di sanità della Toscana,ARS,,,Italy,https://www.ars.toscana.it/
ARS_ANAG_MED_RES_storico,ARS.TOSCANA,,Agenzia regionale di sanità della Toscana,ARS,,,Italy,https://www.ars.toscana.it/
SEA,ARS.TOSCANA,,Agenzia regionale di sanità della Toscana,ARS,,,Italy,https://www.ars.toscana.it/
SPF,ARS.TOSCANA,,Agenzia regionale di sanità della Toscana,ARS,,,Italy,https://www.ars.toscana.it/
DIAGNOSTIC,UB,,"Université de Bordeaux, Bordeaux PharmacoEpi",UB-BPE,,,France,http://www.bordeauxpharmacoepi.eu/en/
AVOHILMO,DHL.I,,Finnish Institute for Health and Welfare,THL,,,Finland,https://thl.fi/en/web/thlfi-en
SEA,CNR-IFC,,CNR Tuscany,CNR-IFC,,,Italy,https://www.ifc.cnr.it/index.php/en/
SPF,CNR-IFC,,CNR Tuscany,CNR-IFC,,,Italy,https://www.ifc.cnr.it/index.php/en/
