resource,doi,title,is design publication,reference
PELAGIE,https://doi.org/10.1289/ehp.1002775,Urinary Biomarkers of Prenatal Atrazine Exposure and Adverse Birth Outcomes in the PELAGIE Birth Cohort,false,
PELAGIE,https://doi.org/10.1186/1476-069X-12-102,"Maternal fish and shellfish consumption and wheeze, eczema and food allergy at age two: a prospective cohort study in Brittany, France",false,
PELAGIE,https://doi.org/10.1016/j.envint.2015.05.009,Pyrethroid insecticide exposure and cognitive developmental disabilities in children: The PELAGIE mother,false,
BIB,https://doi.org/10.14301/llcs.v4i2.221,"Design and characteristics of a new birth cohort, to study the early origins and ethnic variation of childhood obesity: the BiB1000 study",false,
BIB,https://doi.org/10.1186/s12889-019-7222-2,Growing up in Bradford: protocol for the age 7         11 follow up of the Born,false,
BIB,https://doi.org/10.1186/1471-2458-8-327,"Born in Bradford, a cohort study of babies born in Bradford, and their parents: protocol for the recruitment phase",false,
NFBC1986,https://doi.org/10.1111/j.1365-3016.1997.tb00007.x,Ecological and individual predictors of birthweight in a northern Finland birth cohort 1986,false,
RS3,https://doi.org/10.1007/s10654-009-9386-z,The Rotterdam Study: 2010 objectives and design update,false,
RS2,https://doi.org/10.1007/s10654-009-9386-z,The Rotterdam Study: 2010 objectives and design update,false,
RS1,https://doi.org/10.1007/s10654-009-9386-z,The Rotterdam Study: 2010 objectives and design update,false,
RS3,https://doi.org/10.1007/BF00145007,Determinants of disease and disability in the elderly: the Rotterdam Elderly Study,false,
RS2,https://doi.org/10.1007/BF00145007,Determinants of disease and disability in the elderly: the Rotterdam Elderly Study,false,
RS1,https://doi.org/10.1007/BF00145007,Determinants of disease and disability in the elderly: the Rotterdam Elderly Study,false,
RS3,https://doi.org/10.1007/s10654-007-9199-x,The Rotterdam Study: objectives and design update,false,
RS2,https://doi.org/10.1007/s10654-007-9199-x,The Rotterdam Study: objectives and design update,false,
RS1,https://doi.org/10.1007/s10654-007-9199-x,The Rotterdam Study: objectives and design update,false,
RS3,https://doi.org/10.1007/s10654-011-9610-5,The Rotterdam Study: 2012 objectives and design update,false,
RS2,https://doi.org/10.1007/s10654-011-9610-5,The Rotterdam Study: 2012 objectives and design update,false,
RS3,https://doi.org/10.1007/s10654-020-00640-5,"Objectives, design and main findings until 2020 from the Rotterdam Study.",true,
RS1,https://doi.org/10.1007/s10654-011-9610-5,The Rotterdam Study: 2012 objectives and design update,false,
RS3,https://doi.org/10.1007/s10654-013-9866-z,The Rotterdam Study: 2014 objectives and design update,false,
RS3,https://doi.org/10.1007/s10654-015-0082-x,The Rotterdam Study: 2016 objectives and design update,false,
RS2,https://doi.org/10.1007/s10654-015-0082-x,The Rotterdam Study: 2016 objectives and design update,false,
RS1,https://doi.org/10.1007/s10654-015-0082-x,The Rotterdam Study: 2016 objectives and design update,false,
RS3,https://doi.org/10.1007/s10654-017-0321-4,"The Rotterdam Study: 2018 update on objectives, design and main results",false,
RS2,https://doi.org/10.1007/s10654-017-0321-4,"The Rotterdam Study: 2018 update on objectives, design and main results",false,
RS1,https://doi.org/10.1007/s10654-017-0321-4,"The Rotterdam Study: 2018 update on objectives, design and main results",false,
NOMA,https://doi.org/10.1093/ajcn/nqy356,Using metabolic profiling and gene expression analyses to explore molecular effects of replacing saturated fat with polyunsaturated fat-a randomized controlled dietary intervention study.,false,
NOMA,https://doi.org/10.1016/j.numecd.2020.06.018,Associations between dietary patterns and gene expression pattern in peripheral blood mononuclear cells: A cross-sectional study.,false,
SYSDIMET,https://doi.org/10.1371/journal.pone.0090352,"Effects of whole grain, fish and bilberries on serum metabolic profile and lipid transfer protein activities: a randomized trial (Sysdimet)",false,
testCohort2,https://doi.org/10.2337/dc21-2662,test publication 2,false,
Sepages,https://doi.org/10.1016/j.envint.2021.106697,Associations between a mixture of phenols and phthalates and child behaviour in a French mother-child cohort with repeated assessment of exposure,false,
GenR,https://doi.org/10.1111/j.1365-3016.2003.00521.x,"Growth, development and health from early fetal life until young adulthood: the Generation R Study",false,
GenR,https://doi.org/10.1007/s10654-008-9309-4,The Generation R Study: design and cohort update until the age of 4 years,false,
GenR,https://doi.org/10.1007/s10654-012-9735-1,The Generation R Study: design and cohort update 2012,false,
GenR,https://doi.org/10.1007/s10654-014-9980-6,The Generation R Study: Biobank update 2015,false,
GenR,https://doi.org/10.1007/s10654-010-9516-7,The Generation R Study: design and cohort update 2010,false,
GenR,https://doi.org/10.1007/s10654-016-0224-9,The Generation R Study: design and cohort update 2017,false,
GenR,https://doi.org/10.1007/s10654-007-9209-z,The Generation R Study Biobank: a resource for epidemiological studies in children and their parents,false,
CONSTANCES,https://doi.org/10.1007/s10654-015-0096-4,"The French CONSTANCES population-based cohort: design, inclusion and follow-up.",true,
EDEN,https://doi.org/10.1093/ije/dyv151,EDEN mother-child cohort study group. Cohort Profile: The EDEN mother-child cohort on the prenatal and early postnatal determinants of child health and development.,true,
MAT,https://doi.org/10.1002/cam4.1222,Cancer Registry follow-up for 17 million person-years of a nationwide maternity cohort,true,
INMA,https://doi.org/10.1093/ije/dyr054,INMA Project. Cohort Profile: the INMA--INfancia y Medio Ambiente--(Environment and Childhood) Project.,true,
ELFE,https://doi.org/10.1093/ije/dyz227,Cohort Profile: The French national cohort of children (ELFE): birth to 5 years.,true,
testCohort1,https://doi.org/10.1093/ije/dyz227,Cohort Profile: The French national cohort of children (ELFE): birth to 5 years.,true,
RAINE,https://doi.org/10.5694/mja12.10698,Birth of a cohort--the first 20 years of the Raine study.,true,
testCohort2,https://doi.org/10.5694/mja12.10698,Birth of a cohort--the first 20 years of the Raine study.,true,
testCohort1,https://doi.org/10.5694/mja12.10698,Birth of a cohort--the first 20 years of the Raine study.,false,
FEF,https://doi.org/10.1186/1475-2891-13-104,Postprandial glucose metabolism and SCFA after consuming wholegrain rye bread and wheat bread enriched with bioprocessed rye bran in individuals with mild gastrointestinal symptoms.,true,
BIB,https://doi.org/10.1093/ije/dys112,Cohort Profile: the Born in Bradford multi-ethnic family cohort study.,true,
NFBC1986,https://doi.org/10.1111/j.1471-0528.1993.tb12971.x,Labour induction policy in hospitals of different levels of specialisation,false,
RS2,https://doi.org/10.1007/s10654-013-9866-z,The Rotterdam Study: 2014 objectives and design update,false,
RS1,https://doi.org/10.1007/s10654-013-9866-z,The Rotterdam Study: 2014 objectives and design update,false,
SYSDIMET,https://doi.org/10.1371/journal.pone.0022646,"Whole grain products, fish and bilberries alter glucose and lipid metabolism in a randomized, controlled trial: the Sysdimet study",false,
testCohort2,https://doi.org/10.1186/s12916-023-02769-y,test publication 3,false,
testCohort1,https://doi.org/10.1002/ijc.32791,Effectiveness of AS04-adjuvanted human papillomavirus (HPV) type 16/18 vaccine in reducing oropharyngeal HPV infections in young females – results from a community-randomized tria,false,
Sepages,https://doi.org/10.1016/j.envpol.2021.117650,Pre- and early post-natal exposure to phthalates and DINCH in a new type of mother-child cohort relying on the collection of repeated urine samples,false,
Sepages,https://doi.org/10.1016/j.envint.2020.105678,Exposure to phenols during pregnancy and the first year of life in a new type of couple-child cohort relying on repeated urine biospecimens,false,
GenR,https://doi.org/10.1007/s10654-013-9768-0,Pediatric population-based neuroimaging and the Generation R Study: the intersection of developmental neuroscience and epidemiology,false,
testNetwork1,https://doi.org/10.1136/bmjopen-2017-015867,Ten-year follow-up of human papillomavirus vaccine efficacy against the most stringent cervical neoplasia end-point-registry-based follow-up of three cohorts from randomized trial,false,
