tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description
Collection events,,description,text,,,,,,,,,Description of the collection event
Collection events,,subcohorts,ref_array,,,,Subcohorts,resource,,,,Subcohorts that are targetted by this collection event
Collection events,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups included in this data collection event
Subcohorts,,,,,,,,,,,,Subcohorts defined for this resource
Subcohorts,,resource,ref,1,TRUE,,Extended resources,,,,,Resource this subcohort is part of
Subcohorts,,name,,1,TRUE,,,,,,,"Subcohort name, e.g. 'mothers in first trimester','newborns'"
Subcohorts,,description,text,,,,,,,,,Subcohort description
Datasets,,,,,,,,,,,,Definition of a dataset within a (common) data model
Datasets,,resource,ref,1,TRUE,,Extended resources,,,,,resources that these variables are part of
Datasets,,name,,1,TRUE,,,,,,,unique dataset name in the model
Datasets,,label,,,,,,,,,,short human readable description
Datasets,,since version,,,,,,,,,,When this dataset was introduced
Datasets,,until version,,,,,,,,,,When this dataset was removed if applicable
Datasets,,unit of observation,ontology,,,CatalogueOntologies,Observation targets,,,,,defines what each record in this table describes
Datasets,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,enables grouping of table list into topic and to display tables in a tree
Datasets,,description,text,,,,,,,,,description of the role/function of this table
Datasets,,number of rows,int,,,,,,,,,count of the numbe of records in this table
All variables,,,,,,,,,,,,"Generic listing of all source variables. Should not be used directly, please use SourceVariables or RepeatedSourceVariables instead"
All variables,,resource,ref,1,TRUE,,Extended resources,,,,,Data source that this variable was collected in
All variables,,dataset,ref,1,TRUE,,Datasets,resource,,,,Dataset this variable is part of
All variables,,name,,1,TRUE,,,,,,,"name of the variable, unique within a table"
All variables,,label,,,,,,,,,,"Human friendly longer name, if applicable"
All variables,,collection event,ref,,,,Collection events,,,,,"in case of protocolised data collection, this defines the moment in time this variable is collected on"
All variables,,since version,,,,,,,,,,When this variable was introduced
All variables,,until version,,,,,,,,,,When this variable was removed if applicable
Variables,All variables,,,,,,,,,,,"Definition of a non-repeated variable, or of the first variable from a repeated range"
Variables,,format,ontology,,,CatalogueOntologies,Formats,,,,,"Data type, e.g. string,int,decimal,date,datetime etc"
Variables,,unit,ontology,,,CatalogueOntologies,Units,,,,,
Variables,,references,ref,,,,All variables,resource,,,,to define foreign key relationships between variables within or across tables
Variables,,mandatory,bool,,,,,,,,,whether this variable is required within this collection
Variables,,description,text,,,,,,,,,
Variables,,order,int,,,,,,,,,to sort variables you can optionally add an order value
Variables,,example values,string_array,,,,,,,,,
Variables,,permitted values,refback,,,,Variable values,,variable,,,
Variables,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,
Variables,,repeats,refback,,,,Repeated variables,,is repeat of,,,listing of all repeated variables defined for this variable
Variables,,vocabularies,ontology_array,,,CatalogueOntologies,Vocabularies,,,,,
Variables,,notes,text,,,,,,,,,Any other information on this variable
Variable values,,,,,,,,,,,,Listing of categorical value+label definition in case of a categorical variable
Variable values,,resource,ref,1,TRUE,,Extended resources,,,,,
Variable values,,variable,ref,1,TRUE,,Variables,resource,,,,e.g. PATO
Variable values,,value,,1,TRUE,,,,,,,e.g. '1'
Variable values,,label,,,TRUE,,,,,,,
Variable values,,order,int,,,,,,,,,
Variable values,,is missing,bool,,,,,,,,,
Variable values,,ontology term URI,,,,,,,,,,reference to ontology term that defines this categorical value
Variable values,,since version,,,,,,,,,,When this variable value was introduced if applicable
Variable values,,until version,,,,,,,,,,When this variable value was removed if applicable
Repeated variables,All variables,,,,,,,,,,,Definition of a repeated sourceVariable. Refers to another variable for its definition
Repeated variables,,is repeat of,ref,,TRUE,,Variables,resource,,,,reference to the definition of the sourceVariable that is being repeated
External identifiers,,resource,ref,1,TRUE,,Extended resources,,,,,Resource that this external identifier belongs to
External identifiers,,identifier,text,1,TRUE,,,,,,,External identifier
External identifiers,,external identifier type,ontology,,,CatalogueOntologies,External identifier types,,,,,External identifier type
External identifiers,,external identifier type other,text,,,,,,,,,"If other, enter external identifier type"
