tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles,label,description
Sample collections,,,number of samples,int,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Total number of samples included in the collection"
Sample collections,,,sex,ontology_array,,,CatalogueOntologies,Sex types,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The sex of the individuals in the collection - MIABIS-COLLECTION-08 (v3.0)"
Sample collections,,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The disease or disease category of main interest in the collection, if any - MIABIS-COLLECTION-16 (v3.0)"
Sample collections,,,research domain,ontology_array,,,CatalogueOntologies,Research domains,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The research domain(s) this sample collection is relevant to"
Sample collections,,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Age groups included in this sample collection."
Sample collections,,,sample type,ontology_array,,,CatalogueOntologies,BiospecimenType,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The biospecimen saved from a biological entity for propagation e.g. testing, diagnostics, treatment or research purposes - MIABIS-COLLECTION-14 (v3.0)"
Sample collections,,,storage temperature,ontology_array,,,CatalogueOntologies,Storage temperatures,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The long-term storage temperature at which the sample is stored after preparation, based on SPREC v3 - MIABIS-COLLECTION-15 (v3.0)"
Sample collections,,,body part examined,ontology_array,,,CatalogueOntologies,Body parts,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The examined body part(s)."
Sample collections,,,imaging modality,ontology_array,,,CatalogueOntologies,Imaging modalities,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Imaging modality/modalities."
Sample collections,,,image types,ontology_array,,,CatalogueOntologies,Image types,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Type(s) of the imaging dataset."
Sample collections,,,quality,refback,,,Quality information sample collections,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Quality standards pertaining to this sample collection"
Sample collections,,,data access conditions,ontology_array,,,CatalogueOntologies,Data access conditions,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Codes defining data access terms and conditions"
Sample collections,,,data use conditions,ontology_array,,,CatalogueOntologies,Data use conditions,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Codes defining data use terms and conditions"
Sample collections,,,data access conditions description,text,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Description of data access terms and use conditions"
Sample collections,,,data access fee,bool,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Does a fee apply to gain access to data of this cohort?"
Sample collections,,,counts,refback,,,,Sample collection counts,,sample collection,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Sample and donor counts for different subpopulations."
