tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,label
Organisations,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA,SharedStaging",
Resources,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,CohortStaging,RWEStaging",
Databanks,,pid,,2,,,,,,,,Persistent identifier,DataCatalogue,
Data sources,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA",
Networks,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA",
Models,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA",
Studies,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA",
Organisations,,pid,,2,,,,,,,,Persistent identifier,"DataCatalogue,EMA,SharedStaging",
Resources,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,CohortStaging,RWEStaging",
Databanks,,acronym,,,,,,,,,,Acronym if applicable,DataCatalogue,
Data sources,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA",
Networks,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA",
Models,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA",
Studies,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA",
Organisations,,acronym,,,,,,,,,,Acronym if applicable,"DataCatalogue,EMA,SharedStaging",
Resources,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA,CohortStaging,RWEStaging",
Databanks,,name,text,3,true,,,,,,,Name used in European projects,DataCatalogue,
Data sources,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA",
Networks,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA",
Models,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA",
Studies,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA",
Organisations,,name,text,3,true,,,,,,,Name used in European projects,"DataCatalogue,EMA,SharedStaging",
Resources,,local name,,,,,,,,,,"If different from above, name in the national language","DataCatalogue,CohortStaging",
Databanks,,local name,,,,,,,,,,"If different from above, name in the national language",DataCatalogue,
Data sources,,local name,,,,,,,,,,"If different from above, name in the national language",DataCatalogue,
Organisations,,type,ontology_array,,,CatalogueOntologies,Organisation types,,,,,Type of organisation; in which sector is the organisation active?,"DataCatalogue,EMA,SharedStaging",
Organisations,,type other,text,,,,,,,,,"If type is 'other', a description of type of organisation","DataCatalogue,SharedStaging",
Organisations,,institution,text,,,,,,,,,"University, company, medical centre or research institutes this organisation is part of","DataCatalogue,EMA,SharedStaging",
Organisations,,institution acronym,string,,,,,,,,,Short name of the organisation,"DataCatalogue,EMA,SharedStaging",
Organisations,,email,email,,,,,,,,,Contact email address for person responsible for organization entry in catalogue,"DataCatalogue,SharedStaging",
Organisations,,logo,file,,,,,,,,,Logo of the organisation,"DataCatalogue,SharedStaging",
Organisations,,address,text,,,,,,,,,Address of the organisation,"DataCatalogue,SharedStaging",
Organisations,,expertise,text,,,,,,,,,A short description of the expertise of this institution,"DataCatalogue,SharedStaging",
Organisations,,country,ontology_array,,,CatalogueOntologies,Countries,,,,,Country in which the institution head office or coordinating centre is located,"DataCatalogue,EMA,SharedStaging",
Organisations,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,Features that describe this organisation,"DataCatalogue,EMA,SharedStaging",
Organisations,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,,Roles of the institution in connection with data sources in the catalogue. Select one or more of the following:,"DataCatalogue,EMA,SharedStaging",
Organisations,,leading resources,refback,,,,Resources,,lead organisation,,,"Listing of data sources, cohorts, studies (etc)","DataCatalogue,EMA",
Organisations,,additional resources,refback,,,,Resources,,additional organisations,,,"Listing of data sources, cohorts, studies (etc)","DataCatalogue,EMA",
Networks,,type,ontology_array,,,CatalogueOntologies,Network types,,,,,"Type of network, e.g. h2020 project",DataCatalogue,
Networks,,features,ontology_array,,,CatalogueOntologies,Network features,,,,,Characterizations of the network,"DataCatalogue,EMA",
Studies,,type,ontology,,,CatalogueOntologies,Study types,,,,,Select 1 of the following types of study,"DataCatalogue,EMA",
Studies,,type other,,,,,,,,,,"If other, describe the type of study","DataCatalogue,EMA",
Resources,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Which of the following families of databanks best describe this data source,"DataCatalogue,EMA,RWEStaging",
Databanks,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Which of the following families of databanks best describe this data source,DataCatalogue,
Data sources,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Which of the following families of databanks best describe this data source,"DataCatalogue,EMA",
Resources,,type other,text,,,,,,,,,"If other, describe the type of datasource","DataCatalogue,EMA,RWEStaging",
Databanks,,type other,text,,,,,,,,,"If other, describe the type of datasource",DataCatalogue,
Data sources,,type other,text,,,,,,,,,"If other, describe the type of datasource","DataCatalogue,EMA",
Resources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description,"DataCatalogue,CohortStaging",
Databanks,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description,DataCatalogue,
Data sources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description,DataCatalogue,
Resources,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA,CohortStaging,RWEStaging",
Databanks,,website,hyperlink,,,,,,,,,Link to the website or homepage,DataCatalogue,
Data sources,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA",
Networks,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA",
Models,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA",
Studies,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA",
Organisations,,website,hyperlink,,,,,,,,,Link to the website or homepage,"DataCatalogue,EMA",
Resources,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"DataCatalogue,EMA",
Databanks,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,DataCatalogue,
Data sources,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"DataCatalogue,EMA",
Studies,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"DataCatalogue,EMA",
Networks,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"DataCatalogue,EMA",
Models,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"DataCatalogue,EMA",
Resources,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,"DataCatalogue,EMA",
Databanks,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,DataCatalogue,
Data sources,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,"DataCatalogue,EMA",
Studies,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,"DataCatalogue,EMA",
Networks,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,"DataCatalogue,EMA",
Models,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,"DataCatalogue,EMA",
Resources,,lead organisation,ref_array,,,SharedStaging,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,CohortStaging,
Resources,,additional organisations,ref_array,,,SharedStaging,Organisations,,,,,List the names of any additional organisations that contributed to the resource,CohortStaging,
Studies,,other organisations,text,,,,,,,,,List the names of any other organisations that are not listed and contributed to this resource,EMA,
Networks,,other organisations,text,,,,,,,,,List the names of any other organisations that are not listed and contributed to this resource,EMA,
Resources,,description,text,,,,,,,,,Short description,"DataCatalogue,EMA,CohortStaging,RWEStaging",
Databanks,,description,text,,,,,,,,,Short description,DataCatalogue,
Data sources,,description,text,,,,,,,,,Short description,"DataCatalogue,EMA",
Networks,,description,text,,,,,,,,,Short description,"DataCatalogue,EMA",
Models,,description,text,,,,,,,,,Short description,"DataCatalogue,EMA",
Studies,,description,text,,,,,,,,,Short description,"DataCatalogue,EMA",
Organisations,,description,text,,,,,,,,,Short description,"DataCatalogue,EMA",
Resources,,data collection description,text,,,,,,,,,Describe the process of collection and recording of data.,"DataCatalogue,EMA,RWEStaging",
Databanks,,data collection description,text,,,,,,,,,Describe the process of collection and recording of data.,DataCatalogue,
Data sources,,data collection description,text,,,,,,,,,Describe the process of collection and recording of data.,"DataCatalogue,EMA",
Resources,,date established,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","DataCatalogue,EMA,RWEStaging",
Databanks,,date established,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",DataCatalogue,
Data sources,,date established,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","DataCatalogue,EMA",
Resources,,start data collection,date,,,,,,,,,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","DataCatalogue,EMA,RWEStaging",
Databanks,,start data collection,date,,,,,,,,,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",DataCatalogue,
Data sources,,start data collection,date,,,,,,,,,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","DataCatalogue,EMA",
Resources,,end data collection,date,,,,,,,,,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","DataCatalogue,EMA,RWEStaging",
Databanks,,end data collection,date,,,,,,,,,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",DataCatalogue,
Data sources,,end data collection,date,,,,,,,,,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06","DataCatalogue,EMA",
Resources,,time span description,text,,,,,,,,,Description of time span,"DataCatalogue,RWEStaging",
Databanks,,time span description,text,,,,,,,,,Description of time span,DataCatalogue,
Data sources,,time span description,text,,,,,,,,,Description of time span,DataCatalogue,
Resources,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)","DataCatalogue,EMA,CohortStaging",
Databanks,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)",DataCatalogue,
Data sources,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)","DataCatalogue,EMA",
Studies,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)","DataCatalogue,EMA",
Networks,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)","DataCatalogue,EMA",
Models,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)","DataCatalogue,EMA",
Studies,,status,ontology,,,CatalogueOntologies,Study status,,,,,Status of the study,"DataCatalogue,EMA",
Models,,release frequency,int,,,,,,,,,Refreshing rate (in months),"DataCatalogue,EMA",
Resources,,contact email,,,,,,,,,,Contact e-mail address for this cohort,"DataCatalogue,CohortStaging",
Resources,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),"DataCatalogue,EMA,CohortStaging,RWEStaging",
Databanks,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),DataCatalogue,
Data sources,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),"DataCatalogue,EMA",
Networks,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),"DataCatalogue,EMA",
Models,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),"DataCatalogue,EMA",
Studies,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),"DataCatalogue,EMA",
Organisations,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),"DataCatalogue,EMA",
Resources,,type,ontology_array,,,CatalogueOntologies,Resource types,,,,,"Type of resource, e.g. registry, cohort, biobank","DataCatalogue,CohortStaging",
Resources,,type other,,,,,,,,,,"If other, describe the type of resource","DataCatalogue,CohortStaging",
Resources,,design,ontology,,,CatalogueOntologies,Cohort designs,,,,,"The study design of this cohort, i.e. cross-sectional or longitudinal","DataCatalogue,CohortStaging",
Resources,,design description,text,,,,,,,,,Short description of the study design of this cohort,"DataCatalogue,CohortStaging",
Resources,,design schematic,file,,,,,,,,,A schematic depiction of the study design of this cohort,"DataCatalogue,CohortStaging",
Resources,,collection type,ontology_array,,,CatalogueOntologies,Collection types,,,,,"The data collection type of this cohort, i.e. retrospective or prospective; if both, select both","DataCatalogue,CohortStaging",
Resources,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.","DataCatalogue,CohortStaging",
Databanks,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",DataCatalogue,
Data sources,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",DataCatalogue,
Studies,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",DataCatalogue,
Networks,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",DataCatalogue,
Models,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.",DataCatalogue,
Resources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource,"DataCatalogue,CohortStaging",
Databanks,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource,DataCatalogue,
Data sources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource,DataCatalogue,
Resources,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected,"DataCatalogue,EMA,CohortStaging",
Databanks,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected,DataCatalogue,
Data sources,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected,"DataCatalogue,EMA",
Resources,,number of participants with samples,int,,,,,,,,,Number of individuals for which samples are collected,"DataCatalogue,CohortStaging",
Databanks,,number of participants with samples,int,,,,,,,,,Number of individuals for which samples are collected,DataCatalogue,
Data sources,,number of participants with samples,int,,,,,,,,,Number of individuals for which samples are collected,DataCatalogue,
Databanks,,underlying population,text,,,,,,,,,Provide a summary description of the underlying population (maximum 100 words) or URL to a description,DataCatalogue,
Resources,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,"DataCatalogue,EMA,CohortStaging",
Databanks,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,DataCatalogue,
Data sources,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,"DataCatalogue,EMA",
Studies,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,"DataCatalogue,EMA",
Networks,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,"DataCatalogue,EMA",
Models,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,"DataCatalogue,EMA",
Resources,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this resource largely originate from,"DataCatalogue,EMA,CohortStaging",
Databanks,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this resource largely originate from,DataCatalogue,
Data sources,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this resource largely originate from,"DataCatalogue,EMA",
Resources,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are captured in this resource? Select all that are relevant.,"DataCatalogue,EMA,CohortStaging",
Databanks,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are captured in this resource? Select all that are relevant.,DataCatalogue,
Data sources,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are captured in this resource? Select all that are relevant.,"DataCatalogue,EMA",
Resources,,inclusion criteria,ontology_array,,,CatalogueOntologies,Inclusion criteria,,,,,Inclusion criteria applied to the participants of this resource,"DataCatalogue,CohortStaging",
Resources,,other inclusion criteria,text,,,,,,,,,Other inclusion criteria applied to the participants of this resource,"DataCatalogue,CohortStaging",
Resources,,start year,int,,,,,,,,,Year when first data was collected,"DataCatalogue,CohortStaging",
Resources,,end year,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing,"DataCatalogue,CohortStaging",
Networks,,start year,int,,,,,,,,,Year when the network was created,DataCatalogue,
Networks,,end year,int,,,,,,,,,Year when the network ended,DataCatalogue,
Resources,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,"DataCatalogue,EMA,RWEStaging",
Databanks,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,DataCatalogue,
Data sources,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,"DataCatalogue,EMA",
Resources,,population entry other,text,,,,,,,,,"If other, specify the causes of entry to the underlying population","DataCatalogue,EMA,RWEStaging",
Databanks,,population entry other,text,,,,,,,,,"If other, specify the causes of entry to the underlying population",DataCatalogue,
Data sources,,population entry other,text,,,,,,,,,"If other, specify the causes of entry to the underlying population","DataCatalogue,EMA",
Resources,,population exit,ontology_array,,,CatalogueOntologies,Population exit,,,,,Select the possible causes / events that trigger the de-registration of a person in the data source,"DataCatalogue,EMA,RWEStaging",
Databanks,,population exit,ontology_array,,,CatalogueOntologies,Population exit,,,,,Select the possible causes / events that trigger the de-registration of a person in the data source,DataCatalogue,
Data sources,,population exit,ontology_array,,,CatalogueOntologies,Population exit,,,,,Select the possible causes / events that trigger the de-registration of a person in the data source,"DataCatalogue,EMA",
Resources,,population exit other,text,,,,,,,,,"If other, specify the causes of exit from the underlying population","DataCatalogue,EMA,RWEStaging",
Databanks,,population exit other,text,,,,,,,,,"If other, specify the causes of exit from the underlying population",DataCatalogue,
Data sources,,population exit other,text,,,,,,,,,"If other, specify the causes of exit from the underlying population","DataCatalogue,EMA",
Resources,,population disease,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Does the resource collect information on a specific disease subpopulation (e.g., as in a disease-specific registry)?","DataCatalogue,CohortStaging",
Databanks,,population disease,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Does the resource collect information on a specific disease subpopulation (e.g., as in a disease-specific registry)?",DataCatalogue,
Data sources,,population disease,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Does the resource collect information on a specific disease subpopulation (e.g., as in a disease-specific registry)?",DataCatalogue,
Resources,,population oncology topology,ontology_array,,,CatalogueOntologies,ICDO topologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select topology specifications.","DataCatalogue,CohortStaging",
Databanks,,population oncology topology,ontology_array,,,CatalogueOntologies,ICDO topologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select topology specifications.",DataCatalogue,
Data sources,,population oncology topology,ontology_array,,,CatalogueOntologies,ICDO topologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select topology specifications.",DataCatalogue,
Resources,,population oncology morphology,ontology_array,,,CatalogueOntologies,ICDO morphologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select morphology specifications.","DataCatalogue,CohortStaging",
Databanks,,population oncology morphology,ontology_array,,,CatalogueOntologies,ICDO morphologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select morphology specifications.",DataCatalogue,
Data sources,,population oncology morphology,ontology_array,,,CatalogueOntologies,ICDO morphologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select morphology specifications.",DataCatalogue,
Resources,,population coverage,text,,,,,,,,,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.,"DataCatalogue,EMA,RWEStaging",
Databanks,,population coverage,text,,,,,,,,,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.,DataCatalogue,
Data sources,,population coverage,text,,,,,,,,,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.,"DataCatalogue,EMA",
Resources,,population not covered,text,,,,,,,,,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care) ","DataCatalogue,EMA,RWEStaging",
Databanks,,population not covered,text,,,,,,,,,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care) ",DataCatalogue,
Data sources,,population not covered,text,,,,,,,,,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care) ","DataCatalogue,EMA",
Resources,,quantantitative information,refback,,,,Quantitative information,,resource,,,Numerical summaries describing data bank population,"DataCatalogue,EMA,RWEStaging",
Databanks,,quantantitative information,refback,,,,Quantitative information,,resource,,,Numerical summaries describing data bank population,DataCatalogue,
Data sources,,quantantitative information,refback,,,,Quantitative information,,resource,,,Numerical summaries describing data bank population,"DataCatalogue,EMA",
Resources,,subcohorts,refback,,,,Subcohorts,,resource,,,List of subcohorts or subpopulations for this resource,"DataCatalogue,CohortStaging",
Resources,,contents,heading,,,,,,,,,Data model and contents,"DataCatalogue,CohortStaging",
Databanks,,contents,heading,,,,,,,,,Data model and contents,DataCatalogue,
Data sources,,contents,heading,,,,,,,,,Data model and contents,DataCatalogue,
Resources,,datasets,refback,,,,Datasets,,resource,,,,"DataCatalogue,CohortStaging",
Databanks,,datasets,refback,,,,Datasets,,resource,,,,DataCatalogue,
Data sources,,datasets,refback,,,,Datasets,,resource,,,,DataCatalogue,
Studies,,datasets,refback,,,,Datasets,,resource,,,,DataCatalogue,
Networks,,datasets,refback,,,,Datasets,,resource,,,,DataCatalogue,
Models,,datasets,refback,,,,Datasets,,resource,,,,DataCatalogue,
Resources,,mappings to data models,refback,,,,Dataset mappings,,source,,,overview of dataset mappings available,"DataCatalogue,RWEStaging",
Databanks,,mappings to data models,refback,,,,Dataset mappings,,source,,,overview of dataset mappings available,DataCatalogue,
Data sources,,mappings to data models,refback,,,,Dataset mappings,,source,,,overview of dataset mappings available,DataCatalogue,
Resources,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information ds,,,,,Areas of information that were collected,"DataCatalogue,EMA,RWEStaging",
Databanks,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information ds,,,,,Areas of information that were collected,DataCatalogue,
Data sources,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information ds,,,,,Areas of information that were collected,"DataCatalogue,EMA",
Resources,,quality of life other,text,,,,,,,,,"If other, specify additional quality of life measures","DataCatalogue,EMA,RWEStaging",
Databanks,,quality of life other,text,,,,,,,,,"If other, specify additional quality of life measures",DataCatalogue,
Data sources,,quality of life other,text,,,,,,,,,"If other, specify additional quality of life measures","DataCatalogue,EMA",
Resources,,cause of death code other,text,,,,,,,,,"If 'other,' what cause of death vocabulary is used?","DataCatalogue,EMA,RWEStaging",
Databanks,,cause of death code other,text,,,,,,,,,"If 'other,' what cause of death vocabulary is used?",DataCatalogue,
Data sources,,cause of death code other,text,,,,,,,,,"If 'other,' what cause of death vocabulary is used?","DataCatalogue,EMA",
Resources,,indication vocabulary other,text,,,,,,,,,"If 'other,' what indication for use vocabulary is used?","DataCatalogue,EMA,RWEStaging",
Databanks,,indication vocabulary other,text,,,,,,,,,"If 'other,' what indication for use vocabulary is used?",DataCatalogue,
Data sources,,indication vocabulary other,text,,,,,,,,,"If 'other,' what indication for use vocabulary is used?","DataCatalogue,EMA",
Resources,,genetic data vocabulary other,text,,,,,,,,,"If 'other,' what genetic data vocabulary is used?","DataCatalogue,EMA,RWEStaging",
Databanks,,genetic data vocabulary other,text,,,,,,,,,"If 'other,' what genetic data vocabulary is used?",DataCatalogue,
Data sources,,genetic data vocabulary other,text,,,,,,,,,"If 'other,' what genetic data vocabulary is used?","DataCatalogue,EMA",
Resources,,care setting other,text,,,,,,,,,"If 'other,' description of the setting of care","DataCatalogue,EMA,RWEStaging",
Databanks,,care setting other,text,,,,,,,,,"If 'other,' description of the setting of care",DataCatalogue,
Data sources,,care setting other,text,,,,,,,,,"If 'other,' description of the setting of care","DataCatalogue,EMA",
Resources,,medicinal product vocabulary other,text,,,,,,,,,"If 'other,' description of the medicinal product vocabulary","DataCatalogue,EMA,RWEStaging",
Databanks,,medicinal product vocabulary other,text,,,,,,,,,"If 'other,' description of the medicinal product vocabulary",DataCatalogue,
Data sources,,medicinal product vocabulary other,text,,,,,,,,,"If 'other,' description of the medicinal product vocabulary","DataCatalogue,EMA",
Resources,,prescriptions vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","DataCatalogue,EMA,RWEStaging",
Databanks,,prescriptions vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",DataCatalogue,
Data sources,,prescriptions vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","DataCatalogue,EMA",
Resources,,dispensings vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","DataCatalogue,EMA,RWEStaging",
Databanks,,dispensings vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",DataCatalogue,
Data sources,,dispensings vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","DataCatalogue,EMA",
Resources,,procedures vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","DataCatalogue,EMA,RWEStaging",
