tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,defaultValue,semantics,description,profiles
NGS sequencing,,library selection,string,,,,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0001940,E.g. RANDOM method,"Patient registry, FAIR Genomes"
NGS sequencing,,library strategy,ontology,,,CatalogueOntologies,Sequencing methods,,,,,http://purl.obolibrary.org/obo/FIX_0000704,Method used to determine the order of bases in a nucleic acid sequence. In FAIR Genomes: SequencingMethod.,"Patient registry, FAIR Genomes"
NGS sequencing,,library layout,ontology,,,CatalogueOntologies,Library layout,,,,,http://purl.obolibrary.org/obo/FBcv_0003208,Either PAIRED or SINGLE,"Patient registry, FAIR Genomes"
NGS sequencing,,sequencer barcode,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C43361,"A machine-readable representation of an instrument (e.g., a sequencer) in a visual format on a surface","Patient registry,FAIR Genomes"
NGS sequencing,,library preparation kit,ontology,,,CatalogueOntologies,Sequencing enrichment kits,,,,,http://purl.obolibrary.org/obo/GENEPIO_0000085,"Pre-filled, ready-to-use reagent cartridges intented to improve chemistry, cluster density and read length as well as improve quality (Q) scores for this sample. Reagent components are encoded to interact with the sequencing system to validate compatibility with user-defined applications.","Patient registry, FAIR Genomes"
NGS sequencing,,PCR free,bool,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C17003,Indicates whether a polymerase chain reaction (PCR) was used to prepare this sample. PCR is a method for amplifying a DNA base sequence using multiple rounds of heat denaturation of the DNA and annealing of oligonucleotide primers complementary to flanking regions in the presence of a heat-stable polymerase.,"Patient registry, FAIR Genomes"
NGS sequencing,,target enrichment kit,ontology,,,CatalogueOntologies,Sequencing enrichment kits,,,,,http://purl.obolibrary.org/obo/NCIT_C154307,Indicates which target enrichment kit was used to prepare this sample. Target enrichment is a pre-sequencing DNA preparation step where DNA sequences are either directly amplified (amplicon or multiplex PCR-based) or captured (hybrid capture-based) in order to only focus on specific regions of a genome or DNA sample.,"Patient registry, FAIR Genomes"
NGS sequencing,,UMIs present,bool,,,,,,,,,http://www.ebi.ac.uk/efo/EFO_0010199,Indicates whether any unique molecular identifiers (UMIs) are present. An UMI barcode is a short nucleotide sequence that is used to identify reads originating from an individual mRNA molecule.,"Patient registry, FAIR Genomes"
NGS sequencing,,intended insert size,int,,,,,,,,,https://w3id.org/fair-genomes/resource/FG_0000001,"In paired-end sequencing, the DNA between the adapter sequences is the insert. The length of this sequence is known as the insert size, not to be confused with the inner distance between reads. So, fragment length equals read adapter length (2x) plus insert size, and insert size equals read lenght (2x) plus inner distance.","Patient registry, FAIR Genomes"
NGS sequencing,,intended read length,int,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C153362,The number of nucleotides intended to be ordered from each side of a nucleic acid fragment obtained after the completion of a sequencing process.,"Patient registry, FAIR Genomes"
NGS sequencing,,barcode,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C43361,A machine-readable representation of information in a visual format on a surface.,"Patient registry,FAIR Genomes"
NGS sequencing,,Sequencing,heading,,,,,,,,,,,"Patient registry,FAIR Genomes"
Experiments,,instrument id,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C178947,"The unique number assigned to an instrument (e.g., a sequencer). This could either be the serial number, a unique ID generated by the data provider/owner, or another character string used to identify the instrument","Patient registry,FAIR Genomes"
Experiments,,persons involved,multiselect,,,,Contacts,,,,,http://purl.obolibrary.org/obo/NCIT_C25461,Who was involved in the processing,"Patient registry, FAIR Genomes"
Experiments,,output files,refback,,,,Files,,produced by experiment,,,http://edamontology.org/topic_3168,links to output of files,"Patient registry"
NGS sequencing,,date of sequencing,datetime,,,,,,,,,,"When the sequencing run took place","Patient registry, FAIR Genomes"
Experiments OGM,,date of mapping,datetime,,,,,,,,,,When the mapping experiment took place,"Patient registry"
Experiments,,reference genome used,ontology,,,CatalogueOntologies,Genome accessions,,,,,http://purl.obolibrary.org/obo/NCIT_C164815,The source-specific version of the published genome assembly.,"Patient registry, FAIR Genomes"
Experiments,,mean read depth,decimal,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C155320,"The mean number of times a particular locus (site, nucleotide, amplicon, region) was sequenced.","Patient registry, FAIR Genomes"
Experiments,,median read depth,decimal,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C155320,"The median number of times a particular locus (site, nucleotide, amplicon, region) was sequenced.","Patient registry, FAIR Genomes"
Experiments,,observed read length,int,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C153362,The number of nucleotides successfully ordered from each side of a nucleic acid fragment obtained after the completion of a sequencing process.,"Patient registry, FAIR Genomes"
Experiments,,observed insert size,int,,,,,,,,,https://w3id.org/fair-genomes/resource/FG_0000002,"In paired-end sequencing, the DNA between the adapter sequences is the insert. The length of this sequence is known as the insert size, not to be confused with the inner distance between reads. So, fragment length equals read adapter length (2x) plus insert size, and insert size equals read lenght (2x) plus inner distance.","Patient registry, FAIR Genomes"
Experiments,,other quality metrics,text,,,,,,,,,http://edamontology.org/data_3914,"Other NGS quality control metrics, including but not limited to (i) sequencer metrics such as yield, error rate, density (K/mm2), cluster PF (%) and phas/prephas (%), (ii) alignment metrics such as QM insert size, GC content, QM duplicated reads (%), QM error rate, uniformity/evenness of coverage and maternal cell contamination, and (iii) variant call metrics such as number of SNVs/CNVs/SVs called, number of missense/nonsense variants, common variants (%), unique variants (%), gender match and trio inheritance check.","Patient registry, FAIR Genomes"
NGS sequencing,,sequencing run id,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C117058,A sequence of characters used to uniquely identify a particular run of a test on a particular batch of samples.,"Patient registry, FAIR Genomes"
NGS sequencing,,sequencing centre,select,,,CatalogueOntologies,Organisations,,,,,http://purl.obolibrary.org/obo/GENEPIO_0001202,A data field which describes the name of the third party company or laboratory that provided services.,Patient registry
NGS sequencing,,platform,ontology,,,CatalogueOntologies,Sequencing platforms,,,,,http://purl.obolibrary.org/obo/GENEPIO_0000071,"The name of the sequencing platform (i.e. brand, name of a company that produces sequencer equipment). In FAIR Genomes: SequencingPlatform.","Patient registry, FAIR Genomes"
NGS sequencing,,platform model,ontology,,,CatalogueOntologies,Sequencing instrument models,,,,,http://purl.obolibrary.org/obo/GENEPIO_0001921,The name of the product and model number of a manufacturer's genomic (dna) sequencer. In FAIR Genomes: SequencingInstrumentModel.,"Patient registry, FAIR Genomes"
NGS sequencing,,percentage Q30,decimal,,,,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0000089,"Percentage of reads with a Phred quality score over 30, which indicates less than a 1/1000 chance that the base was called incorrectly.","Patient registry, FAIR Genomes"
NGS sequencing,,percentage Tr20,decimal,,,,,,,,,https://w3id.org/fair-genomes/resource/FG_0000003,Percentage of the target sequence on which 20 or more unique reads were successfully mapped.,"Patient registry, FAIR Genomes"
NGS sequencing,,flow cell,string,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0400043,"Aparatus in the fluidic subsystem where the sheath and sample meet. Can be one of several types; jet-in-air, quartz cuvette, or a hybrid of the two. The sample flows through the center of a fluid column of sheath fluid in the flow cell.","Patient registry, FAIR Genomes"
NGS sequencing,,sequencing lane identifier,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C182081,The numerical identifier for the lane or machine unit where a sample was located during nucleotide sequencing.,"Patient registry, FAIR Genomes"
Experiments OGM,Experiments,,,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C116162",An Optical Genome Mapping (OGM) experiment,Patient registry
Experiments RNA,,sample batch,,,,,,,,,,http://purl.obolibrary.org/obo/MS_1000053,Sample batch lot identifier,Patient registry
Experiments srDNA,NGS sequencing,,,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C153598, http://edamontology.org/operation_3198",A short-read DNA sequencing experiment,Patient registry
Clinical observations,Observations,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C87853,This table extends observations with clinical details compatible with phenopacket,"Patient registry, FAIR Genomes"
Clinical observations,,Clinical Observations,heading,,,,,,,,,,,"Patient registry, FAIR Genomes"
Clinical observations,,observation performed by,select,,,,Contacts,,,,,http://purl.obolibrary.org/obo/NCIT_C48206,"The individual that performed the clinical observation (e.g., made the diagnosis, performed the evaluation, etc.)","Patient registry, FAIR Genomes"
Clinical observations,,phenotypes,refback,,,,Phenotype observations,,part of clinical observation,,,http://purl.obolibrary.org/obo/NCIT_C16977,"The assemblage of traits or outward appearance of an individual. It is the product of interactions between genes and between genes and the environment. In medical context,  these are often the symptoms caused by a disease.","Patient registry, FAIR Genomes"
Clinical observations,,diseases,refback,,,,Disease history,,part of clinical observation,,,http://purl.obolibrary.org/obo/NCIT_C15607,"Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.","Patient registry, FAIR Genomes"
Clinical observations,,measurements,refback,,,,Clinical measurements,,part of clinical observation,,,http://purl.obolibrary.org/obo/CMO_0000000,Clinical measurements collected as part of the clinical observation,"Patient registry, FAIR Genomes"
Clinical observations,,consanguinity,bool,,,,,,,,,http://purl.obolibrary.org/obo/OMIT_0004546,Information on whether the patient is a child from two family members who are second cousins or closer,"Patient registry, FAIR Genomes"
Clinical observations,,molecular diagnosis gene,ontology_array,,,CatalogueOntologies,Genes,,,,,http://purl.obolibrary.org/obo/NCIT_C36391,Gene affected by pathogenic variation that is causal for disease of the individual,"Patient registry, FAIR Genomes"
Clinical observations,,molecular diagnosis other,text,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C20826,Causal variant in HGVS notation with optional classification or free text explaining any other molecular mechanisms involved.,"Patient registry, FAIR Genomes"
Clinical observations,,is solved,bool,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25587,An indication that diagnosis is given and the case is no longer considered unsolved.,Patient registry
Clinical observations,,date solved,date,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C119798,"The date on which a case was considered solved (i.e., when a diagnosis was made)",Patient registry
Clinical observations,,medication,ontology_array,,,CatalogueOntologies,Medication,,,,,http://purl.obolibrary.org/obo/NCIT_C459,"A drug product that contains one or more active and/or inactive ingredients used by the individual intended to treat, prevent or alleviate the symptoms of disease. Any hormone therapies, gender-related, or otherwise should also be recorded here.","Patient registry, FAIR Genomes"
Clinical observations,,drug regimen,text,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C142516,"The specific way a therapeutic drug is to be taken, including formulation route of administration, dose, dosing interval, and treatment duration.","Patient registry, FAIR Genomes"
Clinical observations,,medical history,ontology_array,,,CatalogueOntologies,Medical history,,,,,http://purl.obolibrary.org/obo/NCIT_C18772,"A record of a individual's background regarding health, occurrence of disease events and surgical procedures","Patient registry, FAIR Genomes"
Clinical observations,,date of first contact,date,,,,,,,,,http://purl.bioontology.org/ontology/LNC/MTHU048806,The date on which contact with the individual was initiated,"Patient registry, FAIR Genomes"
Clinical observations,,date of last contact,date,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C156916,The date on which contact with the individual was last made,Patient registry
Clinical observations,,classification of functioning,text,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C21007,An individual's classification of functioning i.e. disability profile according to International Classification of Functioning and Disability (ICF),"Patient registry, FAIR Genomes"
Clinical observations,,material used in diagnosis,text,,,,,,,,,http://semanticscience.org/resource/SIO_000641,A description of one or more materials used to make a diagnosis,"Patient registry, FAIR Genomes"
Phenotype observations,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C16977,Beacon v2 Individuals PhenotypicFeatures,"Patient registry, FAIR Genomes"
Phenotype observations,,part of clinical observation,select,1,TRUE,,Clinical observations,,,,,http://purl.obolibrary.org/obo/NCIT_C87853,"A reference to a specific clinical observation (e.g., ""Ind001_Phen001"")","Patient registry, FAIR Genomes"
Phenotype observations,,type,ontology,1,TRUE,CatalogueOntologies,Phenotypes,,,,,http://semanticscience.org/resource/SIO_010056,"A term denoting a phenotypic feature. E.g. ""Abnormality of body height""","Patient registry, FAIR Genomes"
Phenotype observations,,excluded,bool,,,,,,,,,http://purl.obolibrary.org/obo/HP_0040285,"An indication if the phenotype was observed or not. The default is ""false"", in other words the phenotype was observed. Therefore it is only required in cases to indicate that the phenotype was looked for but found to be absent.","Patient registry, FAIR Genomes"
Phenotype observations,,modifiers,ontology_array,,,CatalogueOntologies,Phenotypes,,,,,http://purl.obolibrary.org/obo/HP_0012823,"Additional terms to characterize and specify the phenotypic abnormalities defined in the Phenotypic abnormality subontology, with respect to severity laterality, age of onset, and other aspects. E.g. Exacerbated by tobacco use","Patient registry, FAIR Genomes"
Phenotype observations,,severity,ontology,,,CatalogueOntologies,Severity,,,,,http://purl.obolibrary.org/obo/HP_0012824,"A value that describes the intensity of the phenotype (e.g., ""Profound"")","Patient registry, FAIR Genomes"
Disease history,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C15607,History of diagnoses of an individual at a specific timepoints,"Patient registry, FAIR Genomes"
Disease history,,part of clinical observation,select,1,TRUE,,Clinical observations,,,,,http://purl.obolibrary.org/obo/NCIT_C87853,"A reference to a specific clinical observation (e.g., ""Ind001_Phen001"")","Patient registry, FAIR Genomes"
Disease history,,disease,ontology,1,TRUE,CatalogueOntologies,Diseases,,,,,http://semanticscience.org/resource/SIO_001331,"The diagnosis assigned for this particular observation (e.g., ""Spinocerebellar ataxia type 34"")","Patient registry, FAIR Genomes"
Disease history,,age group at onset,ontology,,,CatalogueOntologies,Age groups at onset,,,,,"http://www.ebi.ac.uk/efo/EFO_0004847,http://purl.obolibrary.org/obo/NCIT_C20587","A categorical value that groups this individual's age of onset into groups (e.g., ""Adult"", ""18-24 years"", etc.)","Patient registry, FAIR Genomes"
Disease history,,age of onset,period,,,,,,,,,http://www.ebi.ac.uk/efo/EFO_0004847,"The age at which manifestations of the disease first appeared (e.g., ""P32Y6M1D"")","Patient registry, FAIR Genomes"
Disease history,,age group at diagnosis,ontology,,,CatalogueOntologies,Age groups,,,,,"http://www.ebi.ac.uk/efo/EFO_0004918,http://purl.obolibrary.org/obo/NCIT_C20587","A categorical value that groups this individual's age at diagnosis into groups (e.g., ""Adult"", ""18-24 years"", etc.)","Patient registry, FAIR Genomes"
Disease history,,age at diagnosis,period,,,,,,,,,http://www.ebi.ac.uk/efo/EFO_0004918,"The age at which the diagnosis was made (e.g., ""P32Y6M1D"")","Patient registry, FAIR Genomes"
Disease history,,has family history,bool,,,,,,,,,http://purl.obolibrary.org/obo/HP_0032316,An indication if the diagnosis is present in one or more family members or other relatives,Patient registry
Disease history,,disease severity,ontology,,,CatalogueOntologies,Severity,,,,,http://purl.obolibrary.org/obo/HP_0012824,"A value that describes the intensity of the disease (e.g., ""Profound"")","Patient registry, FAIR Genomes"
Disease history,,disease stage,ontology,,,CatalogueOntologies,Disease stage,,,,,http://purl.obolibrary.org/obo/OBI_0000278,"A part of an occurrence of a disease process which is associated with position in the normal progression of the disease (e.g., ""acute onset"")","Patient registry, FAIR Genomes"
Disease history,,disease status,ontology,,,CatalogueOntologies,Disease status,,,,,http://purl.obolibrary.org/obo/OPMI_0000533,"The state or status at the point during the visit the diagnosis was given (e.g., ""Suspected"")",Patient registry
Clinical measurements,,,,,,,,,,,,http://purl.obolibrary.org/obo/CMO_0000000,Additional clinical measurements collected as part of the clinical observation,"Patient registry, FAIR Genomes"
