tableName,tableExtends,columnName,columnType,label,computed,key,required,refSchema,refTable,refLink,refBack,refLabel,validation,defaultValue,semantics,description,profiles,visible
Individual consent,,signing date,date,,,,,,,,,,,,http://purl.obolibrary.org/obo/ICO_0000036,A date specification that designates when this individual consent form was signed.,"Patient registry, FAIR Genomes",
Individual consent,,valid from,date,,,,,,,,,,,,http://purl.org/dc/terms/valid,Starting date of the validity of this individual consent.,"Patient registry, FAIR Genomes",
Individual consent,,valid until,date,,,,,,,,,,,,http://purl.org/dc/terms/valid,End date of the validity of this individual consent.,"Patient registry, FAIR Genomes",
Individual consent,,represented by,ontology,,,,,CatalogueOntologies,Consent representative,,,,,,http://purl.obolibrary.org/obo/NCIT_C142600,An individual who is authorized under applicable State or local law to consent on behalf of a child or incapable person to general medical care including participation in clinical research.,"Patient registry, FAIR Genomes",
Individual consent,,data use permissions,ontology,,,,,CatalogueOntologies,Data use permissions,,,,,,http://purl.obolibrary.org/obo/DUO_0000001,"A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be used.","Patient registry, FAIR Genomes",
Individual consent,,data use modifiers,ontology_array,,,,,CatalogueOntologies,Data use modifiers,,,,,,http://purl.obolibrary.org/obo/DUO_0000017,"Data use modifiers indicate additional conditions for use. For instance, a dataset is restricted to investigations into specific diseases or performed at specific geographical locations.","Patient registry, FAIR Genomes",
Individual consent,,data use specification,text,,,,,,,,,,,,http://semanticscience.org/resource/SIO_000090,"Further specification of applied data use permissions and modifiers. For example, a list of countries in case of geographic restrictions or a list of diseases when restricted to disease-specific research.","Patient registry, FAIR Genomes",
Individual consent,,allow recontacting,ontology_array,,,,,CatalogueOntologies,Allow recontacting,,,,,,http://purl.obolibrary.org/obo/NCIT_C25737,The procedure of recontacting the patient for specified reasons. This means the patient agrees to be re-identifiable under those circumstances.,"Patient registry, FAIR Genomes",
Samples,Materials,,,,,,,,,,,,,,,Information on all samples and extensions,Patient registry,
Samples OGM,Samples,,,,,,,,,,,,,,,Extension for OGM samples,Patient registry,
Samples RNA,Samples,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0001177,Extension for RNA samples,Patient registry,
Samples lrGS,Samples,,,,,,,,,,,,,,http://edamontology.org/topic_4056,Extension for lrGS samples,Patient registry,
Samples srDNA,Samples,,,,,,,,,,,,,,,,Patient registry,
Samples,,Sample,heading,,,,,,,,,,,,,,"Patient registry, FAIR Genomes",
Samples,,local sample id,string_array,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"An identifier associated with a particular source, used by the data provider or owner","Patient registry, FAIR Genomes",
Samples,,sample type,ontology,,,,,CatalogueOntologies,Sample type,,,,,,http://purl.obolibrary.org/obo/FBcv_0003044,"The type of sample as characterized by its biological source material collected for testing, diagnostic, propagation, treatment or research purposes","Patient registry,FAIR Genomes",
Samples,,sample type other,string,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C126072,"If the sample type is other, provide a description of the sample.","Patient registry,FAIR Genomes",
Samples,,tissue type,ontology,,,,,CatalogueOntologies,Tissue type,,,,,,http://purl.uniprot.org/core/Tissue,"The tissue type of origin (e.g., lung or heart) for the sample","Patient registry,FAIR Genomes",
Samples OGM,,number of aliquots,int,,,,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C25414, http://purl.obolibrary.org/obo/NCIT_C25463","The number of aliquots (= pertaining to a portion of the whole; any one of two or more samples of something, of the same volume or weight)",Patient registry,
Samples RNA,,number of aliquots,int,,,,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C25414, http://purl.obolibrary.org/obo/NCIT_C25463","The number of aliquots (= pertaining to a portion of the whole; any one of two or more samples of something, of the same volume or weight)",Patient registry,
Samples lrGS,,number of aliquots,int,,,,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C25414, http://purl.obolibrary.org/obo/NCIT_C25463","The number of aliquots (= pertaining to a portion of the whole; any one of two or more samples of something, of the same volume or weight)",Patient registry,
Samples,,aliquot id,string_array,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C173074,A unique identifier assigned to an aliquot containing a portion of a biospecimen,"Patient registry, FAIR Genomes",
Samples,,sample availability,ontology,,,,,CatalogueOntologies,Sample availability,,,,,,http://purl.obolibrary.org/obo/NCIT_C19065,"An indication if the sample is available (i.e., retained, available for use, etc.)","Patient registry,FAIR Genomes",
Samples,,pathological state,ontology,,,,,CatalogueOntologies,Pathological state,,,,,,http://purl.obolibrary.org/obo/NCIT_C28257,"An examination that is performed to determine the extent of the spread of cancer based on histopathologic examination of one or more pathology specimens. Pathologic staging uses evidence acquired during the process of clinical staging, supplemented by histopathologic examination of surgical specimens.","Patient registry, FAIR Genomes",
Samples,,volume,int,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C74720,The determination of the volume of a sample.,"Patient registry, FAIR Genomes",
Samples,,volume unit,ontology,,,,,CatalogueOntologies,Units,,,,,,http://purl.obolibrary.org/obo/NCIT_C44279,An indication of the type of unit of measure being used to express a volume.,"Patient registry, FAIR Genomes",
Samples RNA,,concentration,decimal,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C41185,"The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.",Patient registry,
Samples RNA,,concentration unit,ontology,,,,,CatalogueOntologies,Units,,,,,,http://purl.obolibrary.org/obo/NCIT_C48207,An indication of the type of unit of measure being used to express a concentration.,Patient registry,
Samples RNA,,RIN QC value,decimal,,,,,,,,,,"if(parseFloat(rINQCValue) < 1 || parseFloat(rINQCValue) > 10) ""Only values between 1 and 10 are allowed.""",,http://purl.obolibrary.org/obo/GENEPIO_0100661,A data field which describes quality control information,Patient registry,
Samples RNA,,NMD inhibitor added,bool,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C29648,Was a Nonsense-Mediated Decay (NMC) inhibitor added?,Patient registry,
Samples,,percentage tumor cells,decimal,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C127771,The percentage of tumor cells compared to total cells present in this sample.,"Patient registry, FAIR Genomes",
Samples,,age group of individual at collection,ontology,,,,,CatalogueOntologies,Age groups,,,,,,http://purl.obolibrary.org/obo/NCIT_C20587,"A categorical value that groups this individual by age at the time of collection (e.g., ""Adult"", ""18-24 years"", etc.)","Patient registry, FAIR Genomes",
Samples,,age of individual at collection in years,int,,,,,,,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0001775,The age of the individual (in years) at the time of collection,"Patient registry,FAIR Genomes",
Samples,,anatomical location,ontology,,,,,CatalogueOntologies,Anatomical location,,,,,,http://purl.obolibrary.org/obo/NCIT_C170983,The specific anatomical or biological region associated with a tissue or organ specimen.,"Patient registry, FAIR Genomes",
Samples,,anatomical location other,string,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C170983,Additional description on the anatomical or biological region associated with a tissue or organ specimen,"Patient registry, FAIR Genomes",
Samples,,failed quality control,bool,,,,,,,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0100564,An indication confirming that quality control processes were carried out and that the sequence did not meet the assessment criteria.,"Patient registry, FAIR Genomes",
Samples,,reason failed quality control,text,,,,,,,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0100559,An explanation why quality control failed,"Patient registry, FAIR Genomes",
Samples,,registration timestamp,datetime,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25646,"Date and time at which this sample was listed or recorded officially, i.e. officially qualified or enrolled.","Patient registry,FAIR Genomes",
Samples,,input amount,int,,,,,,,,,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000010,Amount of input material in nanogram (ng).,"Patient registry, FAIR Genomes",
Samples,,collected at organisation,select,,,,,CatalogueOntologies,Organisations,,,,,,http://purl.obolibrary.org/obo/OBIB_0000085,The geographic location where sample collection took place,"Patient registry,FAIR Genomes",
Samples,,collected by,multiselect,,,,,,Contacts,,,,,,http://purl.obolibrary.org/obo/OBI_0001769,The person or persons responsible for sample collection,"Patient registry,FAIR Genomes",
Samples,,date of collection,date,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C82515,Date on which the sample was collected,"Patient registry, FAIR Genomes",
Samples OGM,,number of cells per million,decimal,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C202259,"The number of cells (million) in a sample, sample volume, field, or other delimiter.",Patient registry,
Samples lrGS,,genomic fragment length,int,,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000408,A scalar measurement datum that is the result of measurement of length of a genomic fragment,Patient registry,
Samples lrGS,,A260 to A280 ratio,decimal,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C139280,An assessment of nucleic acid purity that is measured by determining the ratio of light absorbance of the nucleic acid sample at 260nm and 280nm respectively.,Patient registry,
Samples lrGS,,A260 to A230 ratio,decimal,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C139281,An assessment of nucleic acid purity that is measured by determining the ratio of light absorbance of the nucleic acid sample at 260nm and 230nm respectively.,Patient registry,
Samples RNA,,RNA Extraction,heading,,,,,,,,,,,,,,Patient registry,
Samples lrGS,,DNA Extraction,heading,,,,,,,,,,,,,,Patient registry,
Samples srDNA,,DNA Extraction,heading,,,,,,,,,,,,,,Patient registry,
Samples OGM,,storage buffer,ontology,,,,,CatalogueOntologies,Storage buffer,,,,,,http://purl.obolibrary.org/obo/NCIT_C70815,An ionic compound that resists changes in its pH. The buffer containing the DNA/RNA.,Patient registry,
Samples lrGS,,storage buffer,ontology,,,,,CatalogueOntologies,Storage buffer,,,,,,http://purl.obolibrary.org/obo/NCIT_C70815,An ionic compound that resists changes in its pH. The buffer containing the DNA/RNA.,Patient registry,
Samples,,storage conditions,ontology,,,,,CatalogueOntologies,Storage conditions,,,,,,http://purl.obolibrary.org/obo/NCIT_C96145,The conditions under which this sample was stored.,"Patient registry,FAIR Genomes",
Samples,,storage location,ontology,,,,,CatalogueOntologies,Storage locations,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0100594,"A place on the Earth where this sample is located, by its name or by its geographical location. This definition is intentionally vague to allow reuse locally (e.g. which freezer), for contacting (e.g. which institute), broadly for logistical or legal reasons (e.g. city, country or continent).","Patient registry,FAIR Genomes",
Samples,,date of expiration,date,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C164516,The date this sample is no longer regarded as fit for use.,"Patient registry,FAIR Genomes",
Samples lrGS,,concentration,decimal,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C41185,"The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.",Patient registry,
Samples lrGS,,concentration unit,ontology,,,,,CatalogueOntologies,Units,,,,,,http://purl.obolibrary.org/obo/NCIT_C48207,An indication of the type of unit of measure being used to express a concentration.,Patient registry,
Samples lrGS,,concentration measurement type,ontology,,,,,CatalogueOntologies,Concentration measurement type,,,,,,http://purl.allotrope.org/ontologies/process#AFP_0002800,An concentration measurement is the determination of the concentration of a compound in solution. [Allotrope],Patient registry,
Samples lrGS,,DIN QC value,decimal,,,,,,,,,,"if(parseFloat(dINQCValue) < 1 || parseFloat(dINQCValue) > 10) ""Only values between 1 and 10 are allowed.""",,http://purl.obolibrary.org/obo/GENEPIO_0100661,A data field which describes quality control information,Patient registry,
Samples RNA,,sample batch ID,,,,,,,,,,,,,http://purl.obolibrary.org/obo/MS_1000053,Sample batch lot identifier,Patient registry,
Files,Materials,,,,,,,,,,,,,,"http://purl.obolibrary.org/obo/STATO_0000002,http://purl.obolibrary.org/obo/NCIT_C42883","An electronic file is an information content entity which conforms to a specification or format and which is meant to hold data and information in digital form, accessible to software agents.",Patient registry,
Files,,Files,heading,,,,,,,,,,,,,,Patient registry,
Files,,produced by experiment,select,,,,,,Experiments,,,,,,http://edamontology.org/topic_3168,"The determination of complete (typically nucleotide) sequences, including those of genomes (full genome sequencing, de novo sequencing and resequencing), amplicons and transcriptomes. In FAIR Genomes: Sequencing. Ideally: SequencingRuns.",Patient registry,
Files,,file locations,refback,,,,,,File locations,,file,${storageLocation.name}:${path},,,,,Patient registry,
Files,,checksum,string,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C43522,A fixed-size datum calculated (by using a hash function) for a file,Patient registry,
Files,,checksum type,ontology,,,,,CatalogueOntologies,Checksum type,,,,,,http://purl.obolibrary.org/obo/MS_1000561,"The type of checksum (e.g., MD5, SHA256)",Patient registry,
Files,,format,ontology,,,,TRUE,CatalogueOntologies,File formats,,,,,,"http://purl.org/dc/terms/FileFormat,http://purl.obolibrary.org/obo/NCIT_C171252","A digital resource format (e.g. BAM, FastQ, gVCF, phenopacket, BED)",Patient registry,
Materials,,Additional Information,heading,,,,,,,,,,,,,,"Patient registry, FAIR Genomes",
Materials,,included in resources,multiselect,,,,,,Resources,,,,,,http://purl.obolibrary.org/obo/HSO_0000370,"A reference to one or more resources that organises materials for in a meaningful way (e.g., data releases, subpopulations, cohorts, etc.)",Patient registry,
Materials,,data source,select,,,,,,Resources,,,,,,http://purl.obolibrary.org/obo/NCIT_C16493,"The source or origin of the record. For example, an organisation, database, system, etc.",Patient registry,
Materials,,date created at source,date,,,,,,,,,,,,"dcterms:created,http://purl.obolibrary.org/obo/NCIT_C16493",The date the record was created at the source,"Patient registry, FAIR Genomes",
Materials,,created at source by,select,,,,,,Contacts,,,,,,"http://purl.obolibrary.org/obo/NCIT_C51820,http://purl.obolibrary.org/obo/NCIT_C16493",The person who created the record at the source,"Patient registry, FAIR Genomes",
Materials,,date updated at source,date,,,,,,,,,,,,"dcterms:modified,http://purl.obolibrary.org/obo/NCIT_C16493",The date the record was updated at the source,"Patient registry, FAIR Genomes",
Materials,,updated at source by,select,,,,,,Contacts,,,,,,"http://purl.obolibrary.org/obo/NCIT_C51820,http://purl.obolibrary.org/obo/NCIT_C16493",The person who updated the record at the source,"Patient registry, FAIR Genomes",
Materials,,comments,text,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25393,"A written explanation, observation or criticism added to textual material","Patient registry, FAIR Genomes",
File locations,,,,,,,,,,,,,,,,File locations refers to the specific places or paths where files are stored on a computer or within a file system,Patient registry,
File locations,,file,select,,,1,TRUE,,Files,,,,,,http://purl.obolibrary.org/obo/NCIT_C171191,The literal identifier for an electronic file,Patient registry,
File locations,,storage location,select,,,1,TRUE,,File storage location,,,,,,,"The location a file is stored (e.g., server, building, filing cabinet, etc.)",Patient registry,
File locations,,path,string,,,1,TRUE,,,,,,,,http://purl.allotrope.org/ontologies/result#AFR_0001927,"A file path is an identifier for a file in a file system or network (e.g., a scp compatible <host>:<path>)",Patient registry,
File locations,,included in resources,multiselect,,,,,,Resources,,,,,,http://purl.obolibrary.org/obo/HSO_0000370,"A reference to one or more resources that organises records for in a meaningful way (e.g., data releases, subpopulations, cohorts, etc.)",Patient registry,
File locations,,date created at location,date,,,,,,,,,,,,"dcterms:created,http://purl.obolibrary.org/obo/NCIT_C16493",The date the record was created at the storage location,Patient registry,
File locations,,created at location by,select,,,,,,Contacts,,,,,,"http://purl.obolibrary.org/obo/NCIT_C51820,http://purl.obolibrary.org/obo/NCIT_C16493",The person who created the record at the storage location,Patient registry,
File locations,,comments,text,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25393,"A written explanation, observation or criticism added to textual material",Patient registry,
File storage location,,,,,,,,,,,,,,,"http://purl.obolibrary.org/obo/NGBO_6000399, http://purl.obolibrary.org/obo/OBI_0302893","The storage location where a file is stored (e.g., server, building, filing cabinet, etc.)",Patient registry,
File storage location,,name,string,,,1,TRUE,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C42614,The name that identifies the file storage location,Patient registry,
File storage location,,type,ontology,,,,,CatalogueOntologies,File storage locations,,,,,,http://purl.obolibrary.org/obo/NGBO_6000081,The classification of a file storage location based on its physical or digital nature,Patient registry,
File storage location,,owner,select,,,,,,Contacts,,,,,,http://purl.obolibrary.org/obo/NCIT_C42704,The person responsible of or primary contact for the file storage location,Patient registry,
File storage location,,organisation,select,,,,,CatalogueOntologies,Organisations,,,,,,http://purl.obolibrary.org/obo/OBI_0000245,The organisation where the the file storage is located,Patient registry,
File storage location,,access protocol,text,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C51820,The protocol used for accessing and retrieving files from the storage location,Patient registry,
