resource,dataset,name,label,collection event.resource,collection event,since version,until version,is repeat of.dataset,is repeat of.name
LifeCycle_CDM,outcome,int_pc_2,,,,1.0.0,,outcome,int_pc_0
LifeCycle_CDM,outcome,int_pc_5,,,,1.0.0,,outcome,int_pc_0
LifeCycle_CDM,outcome,int_pc_6,,,,1.0.0,,outcome,int_pc_0
LifeCycle_CDM,outcome,int_pc_7,,,,1.0.0,,outcome,int_pc_0
LifeCycle_CDM,outcome,int_pro_1,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_11,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_12,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_13,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_14,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_2,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_3,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_5,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_6,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_7,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_pro_8,,,,1.0.0,,outcome,int_pro_0
LifeCycle_CDM,outcome,int_raw_1,,,,1.0.0,,outcome,int_raw_0
LifeCycle_CDM,outcome,int_raw_11,,,,1.0.0,,outcome,int_raw_0
LifeCycle_CDM,outcome,int_raw_12,,,,1.0.0,,outcome,int_raw_0
LifeCycle_CDM,outcome,int_raw_13,,,,1.0.0,,outcome,int_raw_0
ATHLETE_CDM,outcome_ath,aggr_avg_8,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,abd_circum_sdsWHO_t3,,,,,,outcome_ath,abd_circum_sdsWHO_t2
ATHLETE_CDM,outcome_ath,abd_circum_sdsWHOEUR_t3,,,,,,outcome_ath,abd_circum_sdsWHOEUR_t2
LifeCycle_CDM,outcome,adhd_age_11,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_1,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_12,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_13,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_14,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_2,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_3,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_5,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_6,,,,1.0.0,,outcome,adhd_age_0
PELAGIE,pelagie_q2,B45,,,,1.0.0,,pelagie_q2,B21
LifeCycle_CDM,outcome,adhd_age_7,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_age_8,,,,1.0.0,,outcome,adhd_age_0
LifeCycle_CDM,outcome,adhd_avg_1,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_11,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_12,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_13,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_14,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_2,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_3,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_5,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_6,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_7,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_avg_8,,,,1.0.0,,outcome,adhd_avg_0
LifeCycle_CDM,outcome,adhd_eval_1,,,,1.0.0,,outcome,adhd_eval_0
LifeCycle_CDM,outcome,adhd_eval_11,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,ADHD_EVAL_11,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_12,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_12,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_12,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_13,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_13,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_13,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_14,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_14,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_14,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_2,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_2,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_2,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_3,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_3,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_3,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_5,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_5,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_5,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_6,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_6,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_6,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_7,,,,1.0.0,,outcome,adhd_eval_0
PELAGIE,harmonized,adhd_eval_7,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_7,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_eval_8,,,,1.0.0,,outcome,adhd_eval_0
ATHLETE_CDM,outcome_ath,att_age_6,,,,,,outcome_ath,att_age_0
PELAGIE,harmonized,adhd_eval_8,,,,1.0.0,,harmonized,adhd_eval_1
PELAGIE,harmonized,ADHD_EVAL_8,,,,1.0.0,,harmonized,adhd_eval_1
LifeCycle_CDM,outcome,adhd_instr_1,,,,1.0.0,,outcome,adhd_instr_0
LifeCycle_CDM,outcome,adhd_instr_11,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,ADHD_INSTR_11,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_12,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_12,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_12,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_13,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_13,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_13,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_14,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_14,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_14,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_2,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_2,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_2,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_3,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_3,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_3,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_5,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_5,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_5,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_6,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_6,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_6,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,core,cohab_3,,,,1.0.0,,core,cohab_0
LifeCycle_CDM,outcome,adhd_instr_7,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_7,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_7,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_instr_8,,,,1.0.0,,outcome,adhd_instr_0
PELAGIE,harmonized,adhd_instr_8,,,,1.0.0,,harmonized,adhd_instr_1
PELAGIE,harmonized,ADHD_INSTR_8,,,,1.0.0,,harmonized,adhd_instr_1
LifeCycle_CDM,outcome,adhd_pc_1,,,,1.0.0,,outcome,adhd_pc_0
LifeCycle_CDM,outcome,adhd_pc_12,,,,1.0.0,,outcome,adhd_pc_0
LifeCycle_CDM,outcome,adhd_pc_13,,,,1.0.0,,outcome,adhd_pc_0
LifeCycle_CDM,outcome,adhd_pc_2,,,,1.0.0,,outcome,adhd_pc_0
LifeCycle_CDM,outcome,adhd_pc_5,,,,1.0.0,,outcome,adhd_pc_0
LifeCycle_CDM,outcome,adhd_pc_6,,,,1.0.0,,outcome,adhd_pc_0
LifeCycle_CDM,outcome,adhd_pc_7,,,,1.0.0,,outcome,adhd_pc_0
LifeCycle_CDM,outcome,adhd_pro_1,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_11,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_12,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_13,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_14,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_2,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_3,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_5,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_6,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_7,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_pro_8,,,,1.0.0,,outcome,adhd_pro_0
LifeCycle_CDM,outcome,adhd_raw_1,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_11,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_12,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_13,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_14,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_2,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_3,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_5,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_6,,,,1.0.0,,outcome,adhd_raw_0
LifeCycle_CDM,outcome,adhd_raw_7,,,,1.0.0,,outcome,adhd_raw_0
PELAGIE,pelagie_q2,b41,,,,1.0.0,,pelagie_q2,b21
LifeCycle_CDM,outcome,adhd_raw_8,,,,1.0.0,,outcome,adhd_raw_0
ATHLETE_CDM,outcome_ath,aggr_age_11,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_1,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_12,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_13,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_14,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_2,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_3,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_5,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_6,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_7,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_age_8,,,,,,outcome_ath,aggr_age_0
ATHLETE_CDM,outcome_ath,aggr_avg_1,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_11,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_12,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_13,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_14,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_2,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_3,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_eval_1,,,,,,outcome_ath,aggr_eval_0
ATHLETE_CDM,outcome_ath,aggr_eval_11,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,AGGR_EVAL_11,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_12,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_12,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_12,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_13,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_13,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_13,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_14,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_14,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_14,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_2,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_2,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_2,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_3,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_3,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_3,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_5,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_5,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_5,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_6,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_6,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_6,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_7,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_7,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_7,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_eval_8,,,,,,outcome_ath,aggr_eval_0
PELAGIE,harmonized,aggr_eval_8,,,,1.0.0,,harmonized,aggr_eval_1
PELAGIE,harmonized,AGGR_EVAL_8,,,,1.0.0,,harmonized,aggr_eval_1
ATHLETE_CDM,outcome_ath,aggr_instr_1,,,,,,outcome_ath,aggr_instr_0
ATHLETE_CDM,outcome_ath,aggr_instr_11,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,AGGR_INSTR_11,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_12,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_12,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_12,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_13,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_13,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_13,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_14,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_14,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_14,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_2,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_2,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_2,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_3,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_3,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_3,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_5,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_5,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_5,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_6,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_6,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_6,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_7,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_7,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_7,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_instr_8,,,,,,outcome_ath,aggr_instr_0
PELAGIE,harmonized,aggr_instr_8,,,,1.0.0,,harmonized,aggr_instr_1
PELAGIE,harmonized,AGGR_INSTR_8,,,,1.0.0,,harmonized,aggr_instr_1
ATHLETE_CDM,outcome_ath,aggr_pc_1,,,,,,outcome_ath,aggr_pc_0
ATHLETE_CDM,outcome_ath,aggr_pc_12,,,,,,outcome_ath,aggr_pc_0
ATHLETE_CDM,outcome_ath,aggr_pc_13,,,,,,outcome_ath,aggr_pc_0
ATHLETE_CDM,outcome_ath,aggr_pc_2,,,,,,outcome_ath,aggr_pc_0
ATHLETE_CDM,outcome_ath,aggr_pc_5,,,,,,outcome_ath,aggr_pc_0
ATHLETE_CDM,outcome_ath,aggr_pc_6,,,,,,outcome_ath,aggr_pc_0
ATHLETE_CDM,outcome_ath,aggr_pc_7,,,,,,outcome_ath,aggr_pc_0
ATHLETE_CDM,outcome_ath,aggr_pro_1,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_11,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_12,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_13,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_14,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_2,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_3,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_5,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_6,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_7,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_pro_8,,,,,,outcome_ath,aggr_pro_0
ATHLETE_CDM,outcome_ath,aggr_raw_1,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_11,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_12,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_13,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_14,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_2,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_3,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_5,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_6,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_7,,,,,,outcome_ath,aggr_raw_0
ATHLETE_CDM,outcome_ath,aggr_raw_8,,,,,,outcome_ath,aggr_raw_0
LifeCycle_CDM,core,alc_t2,,,,1.0.0,,core,alc_t1
LifeCycle_CDM,core,alc_t3,,,,1.0.0,,core,alc_t1
LifeCycle_CDM,outcome,armcirc_1,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_14,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_146,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_147,,,,1.0.0,,outcome,armcirc_0
LifeCycle_CDM,outcome,armcirc_148,,,,1.0.0,,outcome,armcirc_0
