source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments
Sepages,bdd_2a_v_1_0,"cy2eas3_q02,cy2eas3_q03,cy2eas3_q04,cy2eas3_q05,cy2eas3_q06",,,LifeCycle_CDM,core,cohab_1,partial,final,"if in couple during pregnancy (mo_coupl_pr) and missing thereafter, she is considered to be in couple","cohab_1=cohab_0;
if cy2eas3_q02=1 or cy2eas3_q03=1 or cy2eas3_q04=1 or  cy2eas3_q05=1 or cy2eas3_q06=1 then cohab_1=0;",
Sepages,code_helix_athlete,quest_mhelix1,,,LifeCycle_CDM,core,mother_id,complete,final,,"mother_id=substr(quest_mhelix1,8,6);",
Sepages,code_helix_athlete,quest_mhelix1,,,LifeCycle_CDM,core,child_id,complete,final,,"child_id=substr(quest_mhelix1,8,6);",
PELAGIE,pelagie_q0,"M30,M36",,,LifeCycle_CDM,core,apgar,complete,final,,"apgar=m30;
if m22 eq 2 and p1 eq 2 then  apgar= m36;",
PELAGIE,harmonized,SITTINGHTMES_0,,,LifeCycle_CDM,outcome,sittinghtmes_156,complete,final,,sittinghtmes_156=0;,
PELAGIE,pelagie_q0,"P6,P7",,,LifeCycle_CDM,core,neo_unit,complete,final,,"if p7 eq 1 then neo_unit=1;
else if p7 eq 0 then  neo_unit=0;
else if p6 eq 0 then  neo_unit=0;",
PELAGIE,pelagie_q0,M25,,,LifeCycle_CDM,core,sex,complete,final,,sex=m25;,
PELAGIE,pelagie_q0,M22,,,LifeCycle_CDM,core,plurality,complete,final,,plurality=m22;,
Sepages,bdd_grossesse_v5_1,preg_no,,,LifeCycle_CDM,core,preg_no,complete,final,"For cohorts with only one pregnancy per a mother, this number will always be ‘1’.",preg_no=1;,
PELAGIE,harmonized,SITTINGHTMES_0,,,LifeCycle_CDM,outcome,sittinghtmes_157,complete,final,,sittinghtmes_157=0;,
Sepages,bdd_grossesse_v5_1,child_no,,,LifeCycle_CDM,core,child_no,complete,final,"For single child pregnancies, assign ‘1’ to the child",child_no=1;,
Sepages,bdd_grossesse_v5_1,cohort_id,,,LifeCycle_CDM,core,cohort_id,complete,final,,cohort_id=128;,
PELAGIE,harmonized,SITTINGHTMES_0,,,LifeCycle_CDM,outcome,sittinghtmes_158,complete,final,,sittinghtmes_158=0;,
PELAGIE,harmonized,TRIGLYCERIDESMES_146,,,LifeCycle_CDM,outcome,triglyceridesmes_147,complete,final,,triglyceridesmes_147=0;,
PELAGIE,harmonized,TRIGLYCERIDESMES_146,,,LifeCycle_CDM,outcome,triglyceridesmes_148,complete,final,,triglyceridesmes_148=0;,
AP,AP,dat_acc,,,OOM_CDM,VISIT_OCCURRENCE,visit_start_date,complete,,,,
Sepages,bdd_grossesse_v5_1,coh_country,,,LifeCycle_CDM,core,coh_country,complete,final,,coh_country=250;,
Sepages,bdd_grossesse_v5_1,"mt3cab2_q06,mt3cab2_q07",,,LifeCycle_CDM,core,latepreg_weight_mes,complete,final,1) measured,if latepreg_weight ne . then latepreg_weight_mes=1;,
Sepages,bdd_grossesse_v5_1,"mt3cab2_date_creation,po_datelmp",,,LifeCycle_CDM,core,latepreg_weight_ga,complete,final,,latepreg_weight_ga=mt3cab2_date_creation - po_datelmp;,
PELAGIE,maj_ddn_2021,DDN_2021,pelagie_q0,V5,LifeCycle_CDM,core,ga_lmp,complete,final,,ga_lmp=int(ddn_2021-v5),
PELAGIE,harmonized,ADHD_INSTR_7,,,LifeCycle_CDM,outcome,adhd_instr_7,complete,final,,instr=47;,
PELAGIE,harmonized,ADHD_INSTR_8,,,LifeCycle_CDM,outcome,adhd_instr_8,complete,final,,instr=47;,
PELAGIE,harmonized,ADHD_INSTR_13,,,LifeCycle_CDM,outcome,adhd_instr_13,complete,final,,instr=47;,
PELAGIE,harmonized,ADHD_INSTR_14,,,LifeCycle_CDM,outcome,adhd_instr_14,complete,final,,instr=47;,
Sepages,bdd_grossesse_v5_1,"mo_we_bepr,mt3cab2_q06,mt3cab2_q07",,,LifeCycle_CDM,core,preg_gain,complete,final,,preg_gain=latepreg_weight-prepreg_weight;,
Sepages,bdd_grossesse_v5_1,"mo_we_bepr,mt3cab2_q06,mt3cab2_q07",,,LifeCycle_CDM,core,preg_gain_mes,complete,final,3) Pre-pregnancy weight reported and late-pregnancy weight recorded,if preg_gain ne . then preg_gain_mes=3;,
Sepages,bdd_grossesse_v5_1,mo_he,,,LifeCycle_CDM,core,height_m,complete,final,,height_m=mo_he;,
Sepages,bdd_grossesse_v5_1,mo_he,,,LifeCycle_CDM,core,height_mes_m,complete,final,1) Measured,if height_m ne . then height_mes_m=1;,
Sepages,bdd_grossesse_v5_1,"mt1haa1_date_creation,mt1haa1_q01,mt1haa1_q02",,,LifeCycle_CDM,core,prepreg_dia,complete,final,,"if mt1haa1_date_creation ne """" then mt1haa1_quest=1;
if mt1haa1_q01=1 then prepreg_dia=2;
else if mt1haa1_q02=1 then prepreg_dia=3;
else if ident in (15207,19237,23642,26806,27002,27084) then prepreg_dia=4;  else if mt1haa1_quest=1 then prepreg_dia=1;",
NFBC1966,core,,,,LifeCycle_CDM,core,pets_7,partial,final,"When you were younger than 7 years old did you have in your home? A cat, A dog , Other pets with furry or feathers 1) no 2) yes . All the variables were recoded 1) yes 0) no","COMPUTE pets_7=SUM(C6631C_ZT_017_1, C6631C_ZT_017_2, C6631C_ZT_017_3).
EXECUTE. RECODE pets_7  (0=0) (1 thru 100=1) INTO pets_7. EXECUTE.",
PELAGIE,harmonized,EXT_EVAL_14,,,LifeCycle_CDM,outcome,ext_eval_14,complete,final,,eval=2;,
PELAGIE,harmonized,WAISTCIRCMES_0,,,LifeCycle_CDM,outcome,waistcircmes_150,complete,final,,waistcircmes_150=0;,
PELAGIE,harmonized,WAISTCIRCMES_0,,,LifeCycle_CDM,outcome,waistcircmes_151,complete,final,,waistcircmes_151=0;,
PELAGIE,harmonized,WAISTCIRCMES_0,,,LifeCycle_CDM,outcome,waistcircmes_152,complete,final,,waistcircmes_152=0;,
PELAGIE,harmonized,SUBSCAPSFMES_0,,,LifeCycle_CDM,outcome,subscapsfmes_152,complete,final,,subscapsfmes_152=0;,
PELAGIE,harmonized,SUBSCAPSFMES_0,,,LifeCycle_CDM,outcome,subscapsfmes_153,complete,final,,subscapsfmes_153=0;,
PELAGIE,harmonized,SUBSCAPSFMES_0,,,LifeCycle_CDM,outcome,subscapsfmes_154,complete,final,,subscapsfmes_154=0;,
PELAGIE,harmonized,ADHD_EVAL_1,,,LifeCycle_CDM,outcome,adhd_eval_1,complete,final,,eval=2;,
PELAGIE,harmonized,SUBSCAPSFMES_0,,,LifeCycle_CDM,outcome,subscapsfmes_155,complete,final,,subscapsfmes_155=0;,
PELAGIE,harmonized,OCCUP_F1_8,,,LifeCycle_CDM,core,occup_f1_fath8,partial,final,Biological father by default,if  occup_f1_8 ne . then occup_f1_fath8=1;,Biological father by default
PELAGIE,harmonized,SUBSCAPSFMES_0,,,LifeCycle_CDM,outcome,subscapsfmes_156,complete,final,,subscapsfmes_156=0;,
PELAGIE,harmonized,OCCUP_F1_12,,,LifeCycle_CDM,core,occup_f1_fath12,partial,final,Biological father by default,if  occup_f1_12 ne . then occup_f1_fath12=1;,Biological father by default
PELAGIE,harmonized,TRICEPSFMES_0,,,LifeCycle_CDM,outcome,tricepsfmes_152,complete,final,,tricepsfmes_152=0;,
PELAGIE,harmonized,SUBSCAPSFMES_0,,,LifeCycle_CDM,outcome,subscapsfmes_151,complete,final,,subscapsfmes_151=0;,
Sepages,bdd_grossesse_v5_1,"mt3haf1_date_creation,mt3haf1_q04,mt1haa1_q40p7,mt1haa1_q40,mt1haa1_q40p7",,,LifeCycle_CDM,core,preg_dia,partial,final,The variable is fully harmonised if data cover the whole pregnancy,"if mt3haf1_date_creation ne """" then mt3haf1_quest=1;
if mt1haa1_q40p7=1 or mt3haf1_q04=1 then preg_dia=1;
else if (mt1haa1_quest=1 and (mt1haa1_q40p7=0 or mt1haa1_q40=0)) and (mt3haf1_quest=. or mt3haf1_q04=0)  then preg_dia=0;",
VCN,VCN,iduni,,,OOM_CDM,VACCINES,person_id,complete,,,,
Sepages,bdd_grossesse_v5_1,"mt1haa1_date_creation,mt3haf1_date_creation,mt1haa1_q40p5,mt1haa1_q40,mt3haf1_q02",,,LifeCycle_CDM,core,preeclam,partial,final,The variable is fully harmonised if data cover from 20 weeks until the end of pregnancy,"if mt1haa1_q40p5=1 or mt3haf1_q02=1 then preeclam=1;
else if (mt1haa1_quest=1 and (mt1haa1_q40p5=0 or mt1haa1_q40=0)) and (mt3haf1_quest=. or mt3haf1_q02=0)  then preeclam=0;",
Sepages,bdd_grossesse_v5_1,"mt1haa1_q40p1,mt3haf1_q01,mt1haa1_date_creation,mt1haa1_q40,mt3haf1_date_creation",,,LifeCycle_CDM,core,preg_ht,partial,final,The variable is fully harmonised if data cover from 20 weeks until the end of pregnancy,"if mt1haa1_q40p1=1 or mt3haf1_q01=1 then preg_ht=1;
else if (mt1haa1_quest=1 and (mt1haa1_q40p1=0 or mt1haa1_q40=0)) and (mt3haf1_quest=. or mt3haf1_q01=0)  then preg_ht=0;",
PELAGIE,harmonized,HDLCMES_146,,,LifeCycle_CDM,outcome,hdlcmes_154,complete,final,,hdlcmes_154=0;,
Sepages,bdd_pere_1_2,"ft2cae1_q31,ft2cae1_q32",,,LifeCycle_CDM,core,height_mes_f1,complete,final,2) Measured,if height_f1 ne . then height_mes_f1=2;,
PELAGIE,harmonized,HDLCMES_146,,,LifeCycle_CDM,outcome,hdlcmes_155,complete,final,,hdlcmes_155=0;,
Sepages,bdd_grossesse_v5_1,"mt1hab1_q16,mt1hab1_q16p1",,,LifeCycle_CDM,core,asthma_m,complete,final,,"if mt1hab1_q16p1=""1"" then asthma_m=1;
	else if mt1hab1_q16p1=""0"" or mt1hab1_q16=""0"" or mt1hab1_q16p1=0 or mt1hab1_q16=0 then asthma_m=0;",
PELAGIE,harmonized,HDLCMES_146,,,LifeCycle_CDM,outcome,hdlcmes_156,complete,final,,hdlcmes_156=0;,
PELAGIE,harmonized,HDLCMES_146,,,LifeCycle_CDM,outcome,hdlcmes_157,complete,final,,hdlcmes_157=0;,
Sepages,bdd_pere_1_2,ft2sac1_q03,,,LifeCycle_CDM,core,edu_f1_fath0,complete,final,,if edu_f1_0 ne . then edu_f1_fath0=1;,
Sepages,bdd_grossesse_v5_1,po_datedel,,,LifeCycle_CDM,core,birth_year,complete,final,,birth_year=year(po_datedel);,
Sepages,bdd_grossesse_v5_1,ch_sex,,,LifeCycle_CDM,core,sex,complete,final,,sex=ch_sex;,
Sepages,bdd_grossesse_v5_1,po_datedel,,,LifeCycle_CDM,core,plurality,complete,final,no twin pregnancies in SEPAGES,"if po_datedel ne """" then plurality=1;",
Sepages,bdd_grossesse_v5_1,"po_datedel,po_datelmp",,,LifeCycle_CDM,core,ga_lmp,complete,final,,ga_lmp=po_datedel-po_datelmp;,
Sepages,bdd_grossesse_v5_1,"po_datedel,po_datelmp",,,LifeCycle_CDM,core,ga_bj,complete,final,,ga_bj=ga_lmp;,
Sepages,bdd_grossesse_v5_1,po_w,,,LifeCycle_CDM,core,birth_weight,complete,final,,birth_weight=po_w;,
Sepages,bdd_grossesse_v5_1,po_he,,,LifeCycle_CDM,core,birth_length,complete,final,,birth_length=po_he;,
Sepages,bdd_grossesse_v5_1,po_hc,,,LifeCycle_CDM,core,birth_head_circum,complete,final,,birth_head_circum=po_hc;,
PELAGIE,harmonized,HDLCMES_146,,,LifeCycle_CDM,outcome,hdlcmes_158,complete,final,,hdlcmes_158=0;,
Sepages,bdd_1a_v1_1,cy1caf1_q12,,,LifeCycle_CDM,core,con_anomalies,partial,final,cy1caf1_q12: Hypospadias ,"if ch_sex=1 then con_anomalies=cy1caf1_q12;
else if ch_sex=2 then con_anomalies=0;",
PELAGIE,harmonized,ADHD_EVAL_2,,,LifeCycle_CDM,outcome,adhd_eval_2,complete,final,,eval=2;,
PELAGIE,harmonized,OCCUP_F1_14,,,LifeCycle_CDM,core,occup_f1_fath14,partial,final,Biological father by default,if  occup_f1_14 ne . then occup_f1_fath14=1;,Biological father by default
PELAGIE,BDD_cotinine,"COTININE,SGURINEF",,,ATHLETE_CDM,chemicals_ath,m_cotinine_raw_t1,complete,final,,"BDD_cotinine$m_cotinine_raw_t1<-ifelse(!is.na(BDD_cotinine$COTININE) & BDD_cotinine$SGurineF<=10,BDD_cotinine$COTININE,NA)",
PELAGIE,harmonized,ADHD_EVAL_3,,,LifeCycle_CDM,outcome,adhd_eval_3,complete,final,,eval=2;,
PELAGIE,BDD_cotinine,"COTININE,SGURINEF",,,ATHLETE_CDM,chemicals_ath,m_cotinine_raw_t2,complete,final,,"BDD_cotinine$m_cotinine_raw_t2<-ifelse(!is.na(BDD_cotinine$COTININE) & BDD_cotinine$SGurineF>10,BDD_cotinine$COTININE,NA)",
PELAGIE,harmonized,ADHD_EVAL_5,,,LifeCycle_CDM,outcome,adhd_eval_5,complete,final,,eval=2;,
PELAGIE,BDD_cotinine,SGURINEF,harmonized,M_COTININE_RAW_T1,ATHLETE_CDM,chemicals_ath,m_cotinine_lod_t1,complete,final,,"BDD_cotinine$m_cotinine_lod_t1<-ifelse(!is.na(BDD_cotinine$m_cotinine_raw_t1) & BDD_cotinine$SGurineF<=10,0.01,NA)",
PELAGIE,pelagie_q12,SCD_Q2,,,LifeCycle_CDM,core,height_165,complete,final,,/* too long to be provided and many case by case situations */,
PELAGIE,pelagie_q12,SCD_Q2,,,LifeCycle_CDM,core,height_166,complete,final,,/* too long to be provided and many case by case situations */,
PELAGIE,pelagie_q12,SCD_Q2,,,LifeCycle_CDM,core,height_167,complete,final,,/* too long to be provided and many case by case situations */,
PELAGIE,harmonized,ADHD_EVAL_6,,,LifeCycle_CDM,outcome,adhd_eval_6,complete,final,,eval=2;,
Sepages,bdd_grossesse_v5_1,mo_coupl_pr,"bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1,bdd_1a_v1_1","cy1eas1_q02,cy1eas1_q03,cy1eas1_q04,cy1eas1_q05,cy1eas1_q06,cy1eas2_q02,cy1eas2_q03,cy1eas2_q04,cy1eas2_q05,cy1eas2_q06",LifeCycle_CDM,core,cohab_0,partial,final,"if in couple during pregnancy (mo_coupl_pr) and missing thereafter, she is considered to be in couple","cohab_0=mo_coupl_pr;
if cy1eas1_q02=1 or cy1eas1_q03=1 or cy1eas1_q04=1 or  cy1eas1_q05=1 or cy1eas1_q06=1 then cohab_0=0;
if cy1eas2_q02=1 or cy1eas2_q03=1 or cy1eas2_q04=1 or  cy1eas2_q05=1 or cy1eas2_q06=1 then cohab_0=0;",
Sepages,bdd_grossesse_v5_1,mo_isco_cat_major,,,LifeCycle_CDM,core,occupcode_m_0,complete,final,,occupcode_m_0=mo_isco_cat_major;,
Sepages,quest_mt1raa1,mt1raa1_q21,,,LifeCycle_CDM,core,edu_m_0,complete,final,The question is asked at the beginning of the pregnancy,"if MT1RAA1_Q21 in (1,2,3) then edu_m_0=3; 
else if MT1RAA1_Q21 in (4,5) then edu_m_0=2;
else if MT1RAA1_Q21 in (6,7,8) then edu_m_0=1;",
Sepages,bdd_grossesse_v5_1,mt1saa1_q02,efr_mere_LMAB_20210902_26,mo_ethnie,LifeCycle_CDM,core,ethn1_m,partial,final,,"if mo_ethnie=1 then ethnie_m_efr=1; else if mo_ethnie ne . then ethnie_m_efr=2; 
if mt1saa1_q02 in (2,4) then mt1saa1_q02_cat=1;
	else if mt1saa1_q02 in (1,3,5,7) then mt1saa1_q02_cat=2; 
	else if mt1saa1_q02 =99 then mt1saa1_q02_cat=.; 
if mt1saa1_q02_cat ne . then ethn1_m=mt1saa1_q02_cat;
else if mt1saa1_q02_cat=. then ethn1_m=ethnie_m_efr;",
Sepages,bdd_grossesse_v5_1,"po_datedel,mo_bd",,,LifeCycle_CDM,core,agebirth_m_y,complete,final,,agebirth_m_y=YEAR(po_datedel)-YEAR(mo_bd);,
Sepages,bdd_grossesse_v5_1,"po_datedel,mo_bd",,,LifeCycle_CDM,core,agebirth_m_d,complete,final,,agebirth_m_d=po_datedel-mo_bd;,
Sepages,bdd_grossesse_v5_1,mo_we_bepr,,,LifeCycle_CDM,core,prepreg_weight,complete,final,,prepreg_weight=mo_we_bepr;,
Sepages,bdd_grossesse_v5_1,mo_we_bepr,,,LifeCycle_CDM,core,prepreg_weight_mes,complete,final,0) self reported,if prepreg_weight ne . then prepreg_weight_mes=0;,
Sepages,bdd_grossesse_v5_1,mo_we_bepr,,,LifeCycle_CDM,core,prepreg_weight_ga,complete,final,"Missing if prepreg_weight is pre-pregnancy weight (as opposed to early pregnancy weight -->in our case, it's missing",prepreg_weight_ga=.;,
Sepages,bdd_grossesse_v5_1,"mt3cab2_q06,mt3cab2_q07",,,LifeCycle_CDM,core,latepreg_weight,complete,final,,"latepreg_weight=mean(MT3CAB2_q06,MT3CAB2_q07);",
Sepages,bdd_grossesse_v5_1,mt1haa1_q17,,,LifeCycle_CDM,core,prepreg_psych,partial,final,"f there are no details of any psychiatric disorder but there are details of, for example, depression and anxiety, these can be included as ""any"" psychiatric disorder; this will then be only partial harmonisation, which should be detailed in full under ""match"" in the harmonisation table in the online catalogue .","if mt1haa1_q17=1 or ident in(14813,15563,18645,19422,19442,27084) then prepreg_psych=1; /*on a pu rattraper ces femmes grace aux questions mt1haa1_q19, mt1haa1_q20 et mt1haa1_q21*/
else if mt1haa1_q17=0 then prepreg_psych=0;",
Sepages,bdd_grossesse_v5_1,,,,LifeCycle_CDM,core,preg_psych,partial,final,No psychatric disorders were reported by the women in the following text variables : mt1haa1_q40p13-mt1haa1_q40p17 mt3haf1_q07-mt3haf1_q09,preg_psych=0;,
Sepages,bdd_grossesse_v5_1,mo_tob_avgr,,,LifeCycle_CDM,core,prepreg_smk,complete,final,,"if mo_tob_avgr >0 then prepreg_smk=1;
else if mo_tob_avgr=0 then prepreg_smk=0;",
Sepages,bdd_grossesse_v5_1,mo_tob_avgr,,,LifeCycle_CDM,core,prepreg_cig,complete,final,,"if mo_tob_avgr ge 10 then prepreg_cig=2;
else if mo_tob_avgr >0 then prepreg_cig=1;
else if mo_tob_avgr=0 then prepreg_cig=0;",
Sepages,bdd_grossesse_v5_1,mo_tob_gr_anyt_yn_n2,,,LifeCycle_CDM,core,preg_smk,complete,final,,preg_smk=mo_tob_gr_anyt_yn_n2;,
Sepages,bdd_grossesse_v5_1,"mo_tob_grt1,mo_tob_grt2,mo_tob_grt3_n2",,,LifeCycle_CDM,core,preg_cig,complete,final,,"mean_tob_gr=mean (mo_tob_grt1, mo_tob_grt2, mo_tob_grt3_n2);
if mean_tob_gr ge 10 then preg_cig=2;
else if mean_tob_gr >0 then preg_cig=1;
else if preg_smk=0 then preg_cig=0;",
Sepages,bdd_grossesse_v5_1,mo_tob_grt1_yn,,,LifeCycle_CDM,core,smk_t1,complete,final,,smk_t1=mo_tob_grt1_yn;,
Sepages,bdd_grossesse_v5_1,mo_tob_grt2_yn,,,LifeCycle_CDM,core,smk_t2,complete,final,,smk_t2=mo_tob_grt2_yn;,
Sepages,bdd_grossesse_v5_1,mo_tob_grt3_yn_n2,,,LifeCycle_CDM,core,smk_t3,complete,final,,smk_t3=mo_tob_grt3_yn_n2;,
Sepages,bdd_pere_1_2,"ft2cae1_q35,ft2cae1_q36",,,LifeCycle_CDM,core,weight_mes_f1,complete,final,2) Measured,if weight_f1 ne . then weight_mes_f1=2;,
Sepages,bdd_grossesse_v5_1,mo_outcome_preg,,,LifeCycle_CDM,core,sibling_pos,complete,final,,sibling_pos=mo_outcome_preg+1;,
PELAGIE,pelagie_q12,SCD_Q2,,,LifeCycle_CDM,core,height_168,complete,final,,/* too long to be provided and many case by case situations */,
AP,AP,,,,OOM_CDM,VISIT_OCCURRENCE,visit_end_date,complete,,Leave empty,,
Sepages,bdd_grossesse_v5_1,"mt1ean1_q167,mt2ean2_q167,mt3ean3_q167,mt3laa1_q04",,,LifeCycle_CDM,core,preg_alc,complete,final,,"if mt1ean1_q167 in (2,3) or mt2ean2_q167 in (2,3) or mt3ean3_q167 in (2,3) or mt3laa1_q04=1 then preg_alc=1;
else if (mt1ean1_q167=1 and mt2ean2_q167=1 and mt3ean3_q167=1) or mt3laa1_q04=0 then preg_alc=0;
else if mt1ean1_q167=1 and (mt2ean2_q167=1 or mt3ean3_q167=1 or mt3laa1_q04=1) then preg_alc=0;
else if mt2ean2_q167=1 and (mt3ean3_q167=1 or mt3laa1_q04=1) then preg_alc=0;",
Sepages,bdd_grossesse_v5_1,"mt1ean1_q167,mt2ean2_q167,mt3ean3_q167,mt3laa1_q04,mt1ean1_q167p1,mt1ean1_q167p2,mt1ean1_q167p3,mt1ean1_q167p4,mt2ean2_q167p1,mt2ean2_q167p2,mt2ean2_q167p3,mt2ean2_q167p4,mt3ean3_q167p1,mt3ean3_q167p2,mt3ean3_q167p3,mt3ean3_q167p4",,,LifeCycle_CDM,core,preg_alc_unit,complete,final,,"nb_verre_t1=sum(mt1ean1_q167p1+mt1ean1_q167p2+mt1ean1_q167p3+mt1ean1_q167p4);
nb_verre_t2=sum(mt2ean2_q167p1+mt2ean2_q167p2+mt2ean2_q167p3+mt2ean2_q167p4);
nb_verre_t3=sum(mt3ean3_q167p1+mt3ean3_q167p2+mt3ean3_q167p3+mt3ean3_q167p4);
preg_alc_mean=mean(nb_verre_t1,nb_verre_t2,nb_verre_t3);
if preg_alc_mean ge 14 then preg_alc_unit=4;
else if preg_alc_mean ge 7 then preg_alc_unit=3;
else if preg_alc_mean ge 3 then preg_alc_unit=2;
else if preg_alc_mean >0 or (preg_alc_mean=. and preg_alc=1) then preg_alc_unit=1;
else if preg_alc=0 then preg_alc_unit=0;",
Sepages,bdd_grossesse_v5_1,mt1ean1_q167,,,LifeCycle_CDM,core,alc_t1,complete,final,,"if mt1ean1_q167 in (2,3) then alc_t1=1;
else if mt1ean1_q167=1 then alc_t1=0;",
Sepages,bdd_grossesse_v5_1,mt2ean2_q167,,,LifeCycle_CDM,core,alc_t2,complete,final,,"if mt2ean2_q167 in (2,3) then alc_t2=1;
else if mt2ean2_q167=1 then alc_t2=0;",
Sepages,bdd_grossesse_v5_1,mt3ean3_q167,,,LifeCycle_CDM,core,alc_t3,complete,final,,"if mt3ean3_q167 in (2,3) then alc_t3=1;
else if mt3ean3_q167=1 then alc_t3=0;",
Sepages,bdd_grossesse_v5_1,mo_outcome_preg,,,LifeCycle_CDM,core,parity_m,complete,final,,parity_m=mo_outcome_preg ;,
Sepages,bdd_grossesse_v5_1,po_datedel,,,LifeCycle_CDM,core,outcome,complete,final,,"if po_datedel ne """" then outcome=1;",
