resource,dataset,name,collection event,topics,label,format,unit,mandatory,description,example values,notes
ALSPAC,core,c111,,,Taken zinc in last 3MTHS,categorical,,,Taken zinc in last 3MTHS,,,
ALSPAC,core,c112,,,Taken calcium in last 3MTHS,categorical,,,Taken calcium in last 3MTHS,,,
ALSPAC,core,c113,,,Taken folic acid in last 3MTHS,binary,,,In the last three months have you been taking folic acid/folate?,,,
ALSPAC,core,c114,,,Taken vitamins in last 3MTHS,categorical,,,Taken vitamins in last 3MTHS,,,
ALSPAC,core,c115,,,Taken other supplements in last 3MTHS,categorical,,,Taken other supplements in last 3MTHS,,,
ALSPAC,core,c200,,,FREQ of eating sausages or burgers,categorical,,,FREQ of eating sausages or burgers,,,
ALSPAC,core,c201,,,FREQ of eating pies or pasties,categorical,,,FREQ of eating pies or pasties,,,
ALSPAC,core,c202,,,FREQ of eating meat,categorical,,,FREQ of eating meat,,,
ALSPAC,core,c203,,,FREQ of eating poultry,categorical,,,FREQ of eating poultry,,,
ALSPAC,core,c204,,,FREQ of eating offal,categorical,,,FREQ of eating offal,,,
ALSPAC,core,c205,,,FREQ of eating white fish,categorical,,,FREQ of eating white fish,,,
ALSPAC,core,c206,,,FREQ of eating oily fish,categorical,,,FREQ of eating oily fish,,,
ALSPAC,core,c207,,,FREQ of eating shellfish,categorical,,,FREQ of eating shellfish,,,
ALSPAC,core,c208,,,FREQ of eating eggs or quiche,categorical,,,FREQ of eating eggs or quiche,,,
ALSPAC,core,c209,,,FREQ of eating cheese,categorical,,,FREQ of eating cheese,,,
ALSPAC,core,c210,,,FREQ of eating pizza,categorical,,,FREQ of eating pizza,,,
ALSPAC,core,c211,,,FREQ of eating chips,categorical,,,FREQ of eating chips,,,
ALSPAC,core,c215,,,FREQ of eating roast potatoes,categorical,,,FREQ of eating roast potatoes,,,
ALSPAC,core,c216,,,FREQ of eating boiled or baked potatoes,categorical,,,FREQ of eating boiled or baked potatoes,,,
ALSPAC,core,c217,,,FREQ of eating boiled rice,categorical,,,FREQ of eating boiled rice,,,
ALSPAC,core,c218,,,FREQ of eating pasta,categorical,,,FREQ of eating pasta,,,
ALSPAC,core,c219,,,FREQ of eating crisps,categorical,,,FREQ of eating crisps,,,
ALSPAC,core,c220,,,FREQ of eating fried food,categorical,,,FREQ of eating fried food,,,
ALSPAC,core,c222,,,FREQ of eating baked beans,categorical,,,FREQ of eating baked beans,,,
ALSPAC,core,c223,,,FREQ of eating peas corn or SIM,categorical,,,FREQ of eating peas corn or SIM,,,
ALSPAC,core,c224,,,FREQ of eating cabbage or SIM,categorical,,,FREQ of eating cabbage or SIM,,,
ALSPAC,core,c225,,,FREQ of eating other green VEG,categorical,,,FREQ of eating other green VEG,,,
ALSPAC,core,c226,,,FREQ of eating carrots,categorical,,,FREQ of eating carrots,,,
ALSPAC,core,c227,,,FREQ of eating root VEG not INC carrots,categorical,,,FREQ of eating root VEG not INC carrots,,,
ALSPAC,core,c228,,,FREQ of eating salad,categorical,,,FREQ of eating salad,,,
ALSPAC,core,c229,,,FREQ of eating fresh fruit,categorical,,,FREQ of eating fresh fruit,,,
ALSPAC,core,c230,,,FREQ of drinking tinned juice,categorical,,,FREQ of drinking tinned juice,,,
ALSPAC,core,c231,,,FREQ of drinking pure non tinned juice,categorical,,,FREQ of drinking pure non tinned juice,,,
ALSPAC,core,c232,,,FREQ of eating pudding,categorical,,,FREQ of eating pudding,,,
ALSPAC,core,c233,,,FREQ of eating oat cereals,categorical,,,FREQ of eating oat cereals,,,
ALSPAC,core,c234,,,FREQ of eating bran cereals,categorical,,,FREQ of eating bran cereals,,,
ALSPAC,core,c235,,,FREQ of eating other cereals,categorical,,,FREQ of eating other cereals,,,
ALSPAC,core,c236,,,FREQ of eating cakes or buns,categorical,,,FREQ of eating cakes or buns,,,
ALSPAC,core,c237,,,FREQ of eating crispbreads,categorical,,,FREQ of eating crispbreads,,,
ALSPAC,core,c238,,,FREQ of eating biscuits,categorical,,,FREQ of eating biscuits,,,
ALSPAC,core,c239,,,FREQ of eating chocolate bars,categorical,,,FREQ of eating chocolate bars,,,
ALSPAC,core,c240,,,FREQ of eating pulses,categorical,,,FREQ of eating pulses,,,
ALSPAC,core,c241,,,FREQ of eating nuts,categorical,,,FREQ of eating nuts,,,
ALSPAC,core,c242,,,FREQ of eating bean curd,categorical,,,FREQ of eating bean curd,,,
ALSPAC,core,c243,,,FREQ of eating tahini,categorical,,,FREQ of eating tahini,,,
ALSPAC,core,c244,,,FREQ of eating soya or SIM non meat,categorical,,,FREQ of eating soya or SIM non meat,,,
ALSPAC,core,c245,,,FREQ of eating chocolate,categorical,,,FREQ of eating chocolate,,,
ALSPAC,core,c246,,,FREQ of eating sweets,categorical,,,FREQ of eating sweets,,,
ALSPAC,core,c250,,,Slices of bread eaten per day,categorical,,,Slices of bread eaten per day,,,
ALSPAC,core,c252,,,Eat white bread most days,categorical,,,Eat white bread most days,,,
ALSPAC,core,c253,,,Eat brown or granary bread,categorical,,,Eat brown or granary bread,,,
ALSPAC,core,c254,,,Eat wholemeal bread,categorical,,,Eat wholemeal bread,,,
ALSPAC,core,c255,,,Eat chappatis most days,categorical,,,Eat chappatis most days,,,
ALSPAC,core,c276,,,Use full fat milk,categorical,,,Use full fat milk,,,
ALSPAC,core,c277,,,Use semi skimmed milk,categorical,,,Use semi skimmed milk,,,
ALSPAC,core,c278,,,Use skimmed milk,categorical,,,Use skimmed milk,,,
ALSPAC,core,c279,,,Use sterilised milk,categorical,,,Use sterilised milk,,,
ALSPAC,core,c280,,,Use dried milk,categorical,,,Use dried milk,,,
ALSPAC,core,c281,,,Use goat or sheep milk,categorical,,,Use goat or sheep milk,,,
ALSPAC,core,c282,,,Use soya milk,categorical,,,Use soya milk,,,
ALSPAC,core,c284,,,Milk in tea,categorical,,,Milk in tea,,,
ALSPAC,core,c285,,,Milk in coffee,categorical,,,Milk in coffee,,,
ALSPAC,core,c286,,,Milk on breakfast cereal,categorical,,,Milk on breakfast cereal,,,
ALSPAC,core,c287,,,Milk as pudding,categorical,,,Milk as pudding,,,
ALSPAC,core,c288,,,Milk to drink on its own,categorical,,,Milk to drink on its own,,,
ALSPAC,core,c289,,,Milk as a milky drink,categorical,,,Milk as a milky drink,,,
ALSPAC,core,c300,,,Cups of tea per day,integer,unit,,Cups of tea per day,,,
ALSPAC,core,c305,,,Cups of coffee per day,integer,unit,,Cups of coffee per day,,,
ALSPAC,core,c310,,,Drinks of cola PWK,integer,unit,,Drinks of cola PWK,,,
ALSPAC,core,c373,,,Total alcoholic units per week,continuous,,,Derived variable indicating the total number of alcohol containing drinks currently consumed,,,
ALSPAC,core,c3801,,,DV: Daily carbohydrate intake (g) FFQ for mothers: 32 weeks gestation,continuous,gram,,DV: Daily carbohydrate intake (g) FFQ for mothers: 32 weeks gestation,,,
ALSPAC,core,c3804,,,DV: Daily energy intake (kJ) FFQ for mothers: 32 weeks gestation,continuous,kJ,,DV: Daily energy intake (kJ) FFQ for mothers: 32 weeks gestation,,,
ALSPAC,core,c3805,,,DV: Daily fat intake (g) FFQ for mothers: 32 weeks gestation,continuous,gram,,DV: Daily fat intake (g) FFQ for mothers: 32 weeks gestation,,,
ALSPAC,core,c3821,,,DV: Daily protein intake (g) FFQ for mothers: 32 weeks gestation,continuous,gram,,DV: Daily protein intake (g) FFQ for mothers: 32 weeks gestation,,,
ALSPAC,core,c3826,,,DV: Daily sodium intake (mg) FFQ for mothers: 32 weeks gestation,continuous,mg,,DV: Daily sodium intake (mg) FFQ for mothers: 32 weeks gestation,,,
ALSPAC,core,c482,,,CIGS smoked per day,continuous,,,How many cigarettes per day are you yourself smoking at the moment?,,,
ALSPAC,core,c645a,,,Mums highest ed qualification,categorical,,,"Mother's highest educational qualification, with blank responses recoded as 1",,,
ALSPAC,core,c666a,,,Partners highest ed qualification,categorical,,,"Partner's highest educational qualification, with blank responses recoded as 1",,,
ALSPAC,core,c712,,,Mum self employed employing others,binary,,,Maternal report of current occupation status: self-employed & employing others,,,
ALSPAC,core,c713,,,Mum self employed no employees,binary,,,Maternal report of current occupation status: self-employed & not employing others,,,
ALSPAC,core,c714,,,Mum on training scheme,binary,,,Maternal report of current occupation status: on training scheme,,,
ALSPAC,core,c716,,,Mum unemployed seeking job,binary,,,Maternal report of current occupation status: unemployed & looking for a job,,,
ALSPAC,core,c717,,,Mum in full time education,binary,,,Maternal report of current occupation status: in full-time education,,,
ALSPAC,core,c718,,,Mum unable to work for MED reasons,binary,,,Maternal report of current occupation status: unable to work for medical reasons,,,
ALSPAC,core,c719,,,Mum retired from paid work,binary,,,Maternal report of current occupation status: retired from paid work,,,
ALSPAC,core,c720,,,Mum looks after home and family,binary,,,Maternal report of current occupation status: looking after home and family,,,
ALSPAC,core,c721,,,Mum other employment situation,binary,,,Maternal report of current occupation status: other employment situation,,,
ALSPAC,core,c800,,,Ethnic group,categorical,,,How would you describe your race or ethnic group?,,,
ALSPAC,core,c801,,,PTNRS ethnic group,categorical,,,How would you describe your partner's race or ethnic group?,,,
ALSPAC,core,c804,,,Child ethnic background,categorical,,,Child's ethnic background based on self-reported ethnic background of parents,,,
ALSPAC,core,c991,,,Gestation at completion,integer,week,,Gestation at completion,,,
ALSPAC,core,ccs5020,,,Child has had wheezing in the past 12 months,categorical,,,Child report of presence of wheezing in past 12 months,,,
ALSPAC,core,ccs5023,,,Child has had eczema in the past 12 months,categorical,,,Child report of presence of eczema in past 12 months,,,
ALSPAC,core,ccs5080,,,In the past 12 months YP has suffered dry/itchy rash in creases of the body,categorical,,,Child report of presence of dry itchy rash in past 12 months,,,
ALSPAC,core,cct4056,,,Respondent had itchy rash in past 12 months,categorical,,,Child report of presence of dry itchy rash in past 12 months,,,
ALSPAC,core,cf010,,,Age (wks) at 4 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf011,,,Age (wks) at 8 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf012,,,Age (wks) at 12 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf013,,,Age (wks) at 18 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf014,,,Age (wks) at 25 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf015,,,Age (wks) at 31 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf016,,,Age (wks) at 37 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf017,,,Age (wks) at 43 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf018,,,Age (wks) at 49 mth,continuous,week,,Age of the child at attendance calculated from the date of the visit and the child’s date of birth,,,
ALSPAC,core,cf019,,,Age (wks) at 61 mth,continuous,month,,Child's age in months,,,
ALSPAC,core,cf040,,,Weight at 4 mth,continuous,kg,,Weight measured using the Fereday 100kg combined scale,,,
ALSPAC,core,cf041,,,Weight at 8 mth,continuous,kg,,"Weight measured using the Soenhle scale or Seca scale, model 724",,,
ALSPAC,core,cf042,,,Weight at 12 mth,continuous,kg,,Weight measured using the Seca 724 or Seca 835 (for children who could only be weighed with parent),,,
ALSPAC,core,cf043,,,Weight at 18 mth,continuous,kg,,Weight measured using the Seca 835,,,
ALSPAC,core,cf044,,,Weight at 25 mth,continuous,kg,,Weight measured using the Seca 836,,,
ALSPAC,core,cf045,,,Weight at 31 mth,continuous,kg,,Weight measured using the Seca 837,,,
ALSPAC,core,cf046,,,Weight at 37 mth,continuous,kg,,Weight measured using the Seca 838,,,
ALSPAC,core,cf047,,,Weight at 43 mth,continuous,kg,,Weight measured using the Seca 839,,,
ALSPAC,core,cf048,,,Weight at 49 mth,continuous,kg,,Weight measured using the Seca 840,,,
ALSPAC,core,cf049,,,Weight at 61 mth,continuous,kg,,Weight measured using the Seca 841,,,
ALSPAC,core,cf050,,,Length at 4 mth,continuous,cm,,Height measured using the Harpenden Neonatometer,,,
ALSPAC,core,cf051,,,Length at 8 mth,continuous,cm,,Height measured using the Kiddimetre,,,
ALSPAC,core,cf052,,,Length at 12 mth,continuous,cm,,Height measured using the Kiddimetre,,,
ALSPAC,core,cf053,,,Length at 18 mth,continuous,cm,,Height measured using the Kiddimetre,,,
ALSPAC,core,cf054,,,Height at 25 mth,continuous,cm,,Height measured using the Kiddimetre,,,
ALSPAC,core,cf055,,,Height at 31 mth,continuous,cm,,Height measured using the Leicester height measure,,,
ALSPAC,core,cf056,,,Height at 37 mth,continuous,cm,,Height measured using the Leicester height measure,,,
ALSPAC,core,cf057,,,Height at 43 mth,continuous,cm,,Height measured using the Leicester height measure,,,
ALSPAC,core,cf058,,,Height at 49 mth,continuous,cm,,Height measured using the Leicester height measure,,,
ALSPAC,core,cf059,,,Height at 61 mth,continuous,cm,,Height measured using the Leicester height measure,,,
ALSPAC,core,cf070,,,Sitting height at 49 mth,continuous,cm,,Sitting height measured using the Leicester height measure,,,
ALSPAC,core,cf071,,,Sitting height at 61 mth,continuous,cm,,Sitting height measured using the Leicester height measure,,,
ALSPAC,core,cf100,,,Mean biceps skinfold at 61mth,continuous,cm,,Mean of two bicep skinfold measurements using Harpenden spring-loaded callipers,,,
ALSPAC,core,cf101,,,Mean triceps skinfold at 61 mth,continuous,cm,,Mean of two tricep skinfold measurements using Harpenden spring-loaded callipers,,,
ALSPAC,core,cf102,,,Mean subscapular skinfold at 61 mth,continuous,cm,,Mean of two subscapular skinfold measurements using Harpenden spring-loaded callipers,,,
ALSPAC,core,cf103,,,Mean supraileac skinfold at 61 mth,continuous,cm,,Mean of two supraileac skinfold measurements using Harpenden spring-loaded callipers,,,
ALSPAC,core,cf123,,,Mean systolic BP at 37 mth,continuous,mmHg,,Mean systolic blood pressure (two measurements),,,
ALSPAC,core,cf123a,,,1st systolic BP at 37 mth,continuous,mmHg,,First measurement of systolic blood pressure,,,
ALSPAC,core,cf124a,,,1st diastolic BP at 37 mth,continuous,mmHg,,First measurement of diastolic blood pressure,,,
ALSPAC,core,cf128,,,Mean pulse rate at 37 mth,continuous,bpm,,Mean pulse rate (two measurements),,,
ALSPAC,core,cf133,,,Mean systolic BP at 49 mth,continuous,mmHg,,Mean systolic blood pressure (two measurements),,,
ALSPAC,core,cf133a,,,1st systolic BP at 49 mth,continuous,mmHg,,First measurement of systolic blood pressure,,,
ALSPAC,core,cf134,,,Mean diastolic BP at 49 mth,continuous,mmHg,,Mean diastolic blood pressure (two measurements),,,
ALSPAC,core,cf134a,,,1st diastolic BP at 49 mth,continuous,mmHg,,First measurement of diastolic blood pressure,,,
ALSPAC,core,cf138,,,Mean pulse rate at 49 mth,continuous,bpm,,Mean pulse rate (two measurements),,,
ALSPAC,core,cf143,,,Mean systolic BP at 61 mth,continuous,mmHg,,Mean systolic blood pressure (two measurements),,,
ALSPAC,core,cf143a,,,1st systolic BP at 61 mth,continuous,mmHg,,First measurement of systolic blood pressure,,,
ALSPAC,core,cf144,,,Mean diastolic BP at 61 mth,continuous,mmHg,,Mean diastolic blood pressure (two measurements),,,
ALSPAC,core,cf144a,,,1st diastolic BP at 61 mth,continuous,mmHg,,First measurement of diastolic blood pressure,,,
ALSPAC,core,cf148,,,Mean pulse rate at 61 mth,continuous,bpm,,Mean pulse rate (two measurements),,,
ALSPAC,core,cf610,,,Cat allergy 61 mth,categorical,,,Cat allergy reaction on skin prick test,,,
ALSPAC,core,cf611,,,Dog allergy 61 mth,categorical,,,Dog allergy reaction on skin prick test,,,
ALSPAC,core,cf612,,,Horse allergy 61 mth,categorical,,,Horse allergy reaction on skin prick test,,,
ALSPAC,core,cf613,,,Milk allergy 61 mth,categorical,,,Milk allergy reaction on skin prick test,,,
ALSPAC,core,cf614,,,Egg allergy 61 mth,categorical,,,Egg allergy reaction on skin prick test,,,
ALSPAC,core,cf615,,,Peanut allergy 61 mth,categorical,,,Peanut allergy reaction on skin prick test,,,
ALSPAC,core,cf616,,,Grass allergy 61 mth,categorical,,,Grass allergy reaction on skin prick test,,,
ALSPAC,core,cf617,,,Dermatophagoides Farnae allergy 61 mth,categorical,,,Dermatophagoides Farnae allergy reaction on skin prick test,,,
ALSPAC,core,cf618,,,Dermatophagoides Pteronyssinus allergy 61 mth,categorical,,,Dermatophagoides Pteronyssinus allergy reaction on skin prick test,,,
ALSPAC,core,cf619,,,Alternaria allergy 61 mth,categorical,,,Alternaria allergy reaction on skin prick test,,,
ALSPAC,core,cf620,,,Cladosporum allergy 61 mth,categorical,,,Cladosporum allergy reaction on skin prick test,,,
ALSPAC,core,cf621,,,Aspergillus allergy 61 mth,categorical,,,Aspergillus allergy reaction on skin prick test,,,
ALSPAC,core,cf811,,,Performance IQ Wppsi 49 mth,continuous,,,Weschler Pre-school and Primary Scale of Intelligence - Performance IQ,,,
ALSPAC,core,Chol_BBS,,,"Cholesterol mmol/l, BBS",continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,Chol_CIF31,,,"Cholesterol mmol/l, 31mth CIF",continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,Chol_CIF43,,,"Cholesterol mmol/l, 43mth CIF",continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,chol_cord,,,"Cholesterol mmol/L, cord",continuous,mmol/litre,,Cholesterol from cord,,,
ALSPAC,core,CHOL_F7,,,"Cholesterol mmol/l, Focus@7",continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,CHOL_F9,,,"Cholesterol mmol/l, Focus @9",continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,Chol_preg,,,Cholesterol in pregnancy,continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,chol_TF3,,,"Cholesterol mmol/l, TF3",continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,CHOL_TF4,,,"Cholesterol mmol/l, TF4",continuous,mmol/litre,,Cholesterol,,,
ALSPAC,core,CRP_cord,,,"C-Reactive Protein mg/L, cord",continuous,mg/litre,,C-Reactive protein from cord,,,
ALSPAC,core,CRP_f9,,,"C-Reactive protein mg/l, Focus@9",continuous,mg/litre,,C-Reactive protein,,,
ALSPAC,core,crp_TF3,,,"C-reactive Protein mg/l, TF3",continuous,mg/litre,,C-Reactive protein,,,
ALSPAC,core,CRP_TF4,,,"C-reactive Protein mg/l, TF4",continuous,mg/litre,,C-Reactive protein,,,
ALSPAC,core,d031,,,Used treatments/help conceive this PREG,binary,,,Did you use any treatments to help you conceive this pregnancy?,,,
ALSPAC,core,d040,,,History of diabetes,binary,,,Have you ever had diabetes?,,,
ALSPAC,core,d153,,,Had asthma,binary,,,Have you ever had asthma?,,,
ALSPAC,core,d169,,,Had schizophrenia,binary,,,Have you ever had schizophrenia?,,,
ALSPAC,core,d170,,,Had anorexia nervosa,binary,,,Have you ever had anorexia nervosa?,,,
ALSPAC,core,d170a,,,"Had anorexia nervosa, Y/N",binary,,,Maternal report of whether she has ever had anorexia nervosa,,,
ALSPAC,core,d171,,,Had severe depression,binary,,,Have you ever had severe depression?,,,
ALSPAC,core,d171a,,,"Had severe depression, Y/N",binary,,,Maternal report of whether she has ever had severe depression,,,
ALSPAC,core,d172,,,Had other psychiatric PROB,binary,,,Have you ever had any other psychiatric problem?,,,
ALSPAC,core,d190,,,Any allergies,categorical,,,Maternal report of suffering any allergies,,,
ALSPAC,core,d245,,,Where did mother's parents live at time of birth?,categorical,,,Maternal report of parents' country of birth,,,
ALSPAC,core,DEL_B4004,,,F1dap5: Apgar at 5 minutes,integer,,,5 minute Apgar score,,,
ALSPAC,core,del_p1000,,,b6s: in-vitro fertilisation conception,binary,,,Whether or not the woman was recorded in linked medical records as conceiving with IVF,,,
ALSPAC,core,del_p1007,,,dv: gestation in weeks based on lmp,continuous,week,,Gestation in weeks based on lmp,,,
ALSPAC,core,del_p1269,,,c13p: pyrexia noted as occurring in labour or at cs,binary,,,Whether pyrexia was noted as occurring in labour or at cs,,,
ALSPAC,core,dw021,,,height (cm),continuous,cm,,How tall are you?,,,
ALSPAC,core,e220,,,FREQ of alcohol use in last 2MTHS of PREG,categorical,unit,,How often have you drunk alcoholic drinks in the last 2 months of pregnancy?,,,
ALSPAC,core,e390,,,Edinburgh Post-natal Depression Score,integer,,,Edinburgh Post-natal Depression Score,,,
ALSPAC,core,e408,,,Divorced since MID PREG,categorical,,,Since the middle of pregnancy were you divorced?,,,
ALSPAC,core,e417,,,Separated since MID PREG,categorical,,,Since the middle of pregnancy were you separated?,,,
ALSPAC,core,e520,,,Job situation of MUM,categorical,,,What is your present job situation?,,,
ALSPAC,core,e521,,,Job situation of PTNR,categorical,,,What is the present job situation?,,,
ALSPAC,core,e699,,,Weeks since delivery,continuous,week,,Age of child in weeks at completion of questionnaire,,,
ALSPAC,core,f380,,,Any pets,binary,,,Do you have any pets?,,,
ALSPAC,core,f381,,,Number of cats in houshold,continuous,,,Number of cats in houshold,,,
ALSPAC,core,f382,,,Number of dogs in houshold,continuous,,,Number of dogs in houshold,,,
ALSPAC,core,f383,,,Number of rabits in houshold,continuous,,,Number of rabits in houshold,,,
ALSPAC,core,f384,,,Number of rodents in houshold,continuous,,,Number of rodents in houshold,,,
ALSPAC,core,f440,,,No of adults in HHOLD,continuous,,,How many adults (over 18 years) live in your household (including yourself)?,,,
ALSPAC,core,f441,,,NO of 16-18s in HHOLD,continuous,,,How many young adults (16-18 years) live in your household (including yourself)?,,,
ALSPAC,core,f442,,,NO of 0-15s in HHOLD,continuous,,,"How many children (0-15 years, including your baby) live in your household?",,,
ALSPAC,core,f7003c,,,Age (months) at Focus @ 7 visit,continuous,month,,Child's age in months,,,
ALSPAC,core,f7006c,,,Age (months) at Focus @ 7 revisit,continuous,month,,Child's age in months,,,
ALSPAC,core,f7al001,,,Child entered Allergy session: F7,categorical,,,Whether or not child entered allergy session,,,
ALSPAC,core,f7al135,,,Reaction to mixed grass: allergy: F7,categorical,,,Grass allergy reaction on skin prick test,,,
ALSPAC,core,f7al145,,,Reaction to DP: allergy: F7,categorical,,,Dermatophagoides Pteronyssinus allergy reaction on skin prick test,,,
ALSPAC,core,f7al155,,,Reaction to cat: allergy: F7,categorical,,,Cat allergy reaction on skin prick test,,,
ALSPAC,core,f7al165,,,Reaction to egg: allergy: F7,categorical,,,Egg allergy reaction on skin prick test,,,
ALSPAC,core,f7al175,,,Reaction to peanut: allergy: F7,categorical,,,Peanut allergy reaction on skin prick test,,,
ALSPAC,core,f7al185,,,Reaction to dog: allergy: F7,categorical,,,Dog allergy reaction on skin prick test,,,
ALSPAC,core,f7al195,,,Reaction to dog: allergy: F7,categorical,,,Dog allergy reaction on skin prick test,,,
ALSPAC,core,f7al205,,,Reaction to horse: allergy: F7,categorical,,,Horse allergy reaction on skin prick test,,,
ALSPAC,core,f7al215,,,Reaction to mouse: allergy: F7,categorical,,,Mouse allergy reaction on skin prick test,,,
ALSPAC,core,f7al225,,,Reaction to rabbit: allergy: F7,categorical,,,Rabbit allergy reaction on skin prick test,,,
ALSPAC,core,f7al235,,,Reaction to Guinea pig: allergy: F7,categorical,,,Guinea pig allergy reaction on skin prick test,,,
ALSPAC,core,f7al245,,,Reaction to hamster: allergy: F7,categorical,,,Hamster allergy reaction on skin prick test,,,
ALSPAC,core,f7al275,,,Reaction to fish: allergy: F7,categorical,,,Fish allergy reaction on skin prick test,,,
ALSPAC,core,f7al285,,,Reaction to sesame: allergy: F7,categorical,,,Sesame allergy reaction on skin prick test,,,
