tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,label
Collections,,linkage description,text,,,,,,,,,Provide a high-level description of the linkages that are currently available between data sources in the data source (when pre-linked = yes),
Collections,,linkage possibility,bool,,,,,,,,,Can this data source be linked to other data sources?,
Collections,,linked resources,refback,,,,Linked resources,,main resource,,,List of resources that are or can be linked to this main resource,
Collections,,informed consent,ontology,,,CatalogueOntologies,Informed consents,,,,,Is informed consent required for use of the data for research purposes?,
Collections,,informed consent other,text,,,,,,,,,"If other, describe the conditions when informed consent is required",
Collections,,access identifiable data,text,,,,,,,,,Can identifiable data be accessed in the data bank (including patient/practitioner name/practice name)?,
Collections,,access identifiable data route,text,,,,,,,,,"If yes above, what is the route to access or process this information? What permission is required?",
Collections,,access subject details,bool,,,,,,,,,Can individual patients/practitioners/practices be contacted in the data bank?,
Collections,,access subject details route,text,,,,,,,,,"If yes above, what is the route to access or process this information? What permission is required?",
Collections,,audit possible,bool,,,,,,,,,"Are external parties allowed to audit the data? For example, is it possible for an external party to audit the quality or validity of the data source?",
Collections,,standard operating procedures,bool,,,,,,,,,Is there a standard operating procedure document that defines the processes and procedures for data capture and management?,
Collections,,biospecimen access,bool,,,,,,,,,"If the data bank contains biospecimens (e.g., tissue samples), can these be retrieved?",
Collections,,biospecimen access conditions,text,,,,,,,,,"If yes above, describe the conditions under which permission to retrieve biospecimens may be granted",
Collections,,governance details,text,,,,,,,,,"If available, provide a link to documents or webpages that describe the overall governance of the data source bank (governing data access or utilisation for research purposes by existing DAPs)",
Collections,,approval for publication,bool,,,,,,,,,Is an approval needed to publish the results of a study using the data,
Collections,,updates,heading,,,,,,,,,Information on the regularity of updates and time lags,
Collections,,preservation,bool,,,,,,,,,Are records preserved in the data bank indefinitely?,
Collections,,preservation duration,int,,,,,,,,,"If no to the above, for how long (in years) are records preserved in the data bank?",
Collections,,refresh period,ontology_array,,,CatalogueOntologies,Refresh periods,,,,,"If data are refreshed on fixed dates (e.g., every June and December), when are the refreshes scheduled? Select all that apply from the following:",
Collections,,date last refresh,date,,,,,,,,,Date of last update/refresh,
Collections,,quality,heading,,,,,,,,,List of relevant studies conducted using the data bank,
Collections,,qualification,bool,,,,,,,,,"Has the data source successfully undergone a formal qualification process (e.g., from the EMA, or ISO or other certifications)?",
Collections,,qualifications description,text,,,,,,,,,"Has the resource successfully undergone a qualification process (e.g., from the EMA)? If yes, describe the qualification(s) granted",
Collections,,access for validation,bool,,,,,,,,,"Can validity of the data in the data bank be verified, e.g., by review of origin medical charts?",
Collections,,quality validation frequency,text,,,,,,,,,How often are data quality checks and validation steps conducted on the data bank?,
Collections,,quality validation methods,text,,,,,,,,,What methods or processes are applied for data quality checks and validation steps conducted on the data bank?,
Collections,,correction methods,text,,,,,,,,,What methods or processes are applied to correct illogical values in the data bank?,
Collections,,quality validation results,,,,,,,,,,"If available, provide a link to a publication of the data quality check and validation results",
Collections,,standards,heading,,,,,,,,,Use of standard data models and ontologies,
Collections,,cdms,refback,,,,Mappings,,source,,,Common data models used or ETL-ed to by this data source,
Collections,,cdms other,text,,,,,,,,,"If not in list above, give the name of cdm(s) used by this data source",
Collections,,funding sources,ontology_array,,,CatalogueOntologies,Funding types,,,,,Specify the main financial support sources for the data source in the last 3 years. Select all that apply,
Collections,,networks,refback,,,,Networks,,data sources,,,List of networks that this datasource is associated with,
Collections,,studies,refback,,,,Studies,,data sources,,,List of studies that this datasource is associated with,
