tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refBack,refLabel,visible,validation,defaultValue,semantics,description,profiles
Chart data,,fill color,string,,,,,,,,,,obo:GSSO_004945,"If defined, the background color of the specific data point element will use this value (e.g., ""#000"", ""blue"", etc.)",pages
Chart data,,stroke color,string,,,,,,,,,,obo:GSSO_004945,"If defined, the border of the specific data point element will use this value (e.g., ""#000"", ""blue"", etc.)",pages
Chart data,,sort order,int,,,,,,,,,0,sio:SIO_001316,A numerical value indicating the sorting method for data points. A zero indicates a value will appear earlier in the dataset,pages
Chart data,,displayed in chart,ref,,,,Charts,,,,,,sio:SIO_000904,A link the visualisation where this data point will be displayed,pages
Charts,,color palette,refback,,,,Chart palette,used in chart,,,,,obo:PATO_0000014,A color palette that maps each distinct group to a color. Data point colors will always override this setting,pages
Charts,,legend position,ontology,,,,Data viz legend positions,,,,,top,"sio:SIO_000468,sio:SIO_000056",The position of the legend in relation to the chart,pages
Charts,,top margin,int,,,,,,,,"(function () {
  if (topMargin !== null && topMargin < 0) {
  return ""The top margin cannot be less than 0""
  }
  if (topMargin !== null && topMargin > 250) {
  return ""The top margin cannot be more than 250""
  }
})();",30,obo:NCIT_C69201,A number that indicates the amount of white space to add to the top of the chart,pages
Charts,,right margin,int,,,,,,,,"(function () {
  if (rightMargin !== null && rightMargin < 0) {
  return ""The right margin cannot be less than 0""
  }
  if (rightMargin !== null && rightMargin > 250) {
  return ""The right margin cannot be more than 250""
  }
})();",5,obo:NCIT_C69210,A number that indicates the amount of white space to add to the right of the chart,pages
Charts,,bottom margin,int,,,,,,,,"(function () {
  if (bottomMargin !== null && bottomMargin < 0) {
  return ""The bottom margin cannot be less than 0""
  }
  if (bottomMargin !== null && bottomMargin > 250) {
  return ""The bottom margin cannot be more than 250""
  }
})();",60,obo:NCIT_C69201,A number that indicates the amount of white space to add to the bottom of the chart,pages
Charts,,left margin,int,,,,,,,,"(function () {
  if (leftMargin !== null && leftMargin < 0) {
  return ""The left margin cannot be less than 0""
  }
  if (leftMargin !== null && leftMargin > 250) {
  return ""The left margin cannot be more than 250""
  }
})();",60,"sio:SIO_000468,sio:SIO_000056",A number that indicates the amount of white space to add to the left of the chart,pages
Sections,,columns,int,,,,,,,,,,,The number of columns to create within a section (1-4),pages
Blocks,,enable full screen width,bool,,,,,,,,,,,"If true, content will be expanded to fit the entire width of the screen",pages
Sections,,apply shaded background,bool,,,,,,,,,,,"If true, a light background color will be applied to provide visual distinction between blocks",pages
Blocks,,in container,select,,,,Configurable pages,,,,,,,"The container that displays this block (i.e., page)",pages
Blocks,,components,refback,,,,Components,in block,,,,,,"The components that are displayed in the block",pages
Blocks,,component order,refback,,,,Component orders,block,,,,,sio:SIO_001316,"Components that are displayed in the block and the order in which they are displayed",pages
Blocks,,id,auto_id,1,TRUE,,,,,,,,sio:SIO_000115,An identifier that is unique to a block within a page,pages
Components,,in block,select,,,,Blocks,,,,,,,A link between the component and the block that associated with,pages
Components,,id,auto_id,1,TRUE,,,,,,,,sio:SIO_000115,An value that identifies a specific instance of a component,pages
Block orders,,id,auto_id,1,,,,,,,,,sio:SIO_000115,An identifier that is unique to an order in which a block appears on a page,pages
Block orders,,configurable page,select,,,,Configurable pages,,,,,,,A configurable page where a block is used,pages
Block orders,,block,select,,,,Blocks,,,,,,,The specific block you would like to order,pages
Block orders,,order,int,,,,,,,,,,sio:SIO_001316,The order in which it appears on the page where 0 is the first item,pages
Component orders,,,,,,,,,,,,,sio:SIO_001316,The order of components with blocks,pages
Component orders,,id,auto_id,1,,,,,,,,,sio:SIO_000115,An ID that identifies the order of a component within a block,pages
Component orders,,block,select,,,,Blocks,,,,,,,A block page where a component is used,pages
Component orders,,component,select,,,,Components,,,,,,,The component that you would like to order,pages
Component orders,,order,int,,,,,,,,,,sio:SIO_001316,The order in which the component appears within the block where 0 is the first item,pages
Chart palette,,,,,,,,,,,,,obo:PATO_0000014,Color palette for distinct groups in a dataset,pages
Chart palette,,value,string,1,TRUE,,,,,,,,obo:NCIT_C46002,A distinct value in the dataset found in the primary group or secondary group columns.,pages
Chart palette,,color,string,1,TRUE,,,,,,,,obo:GSSO_004945,"The color code. CSS colors are allowed: hex, rgb, hsl, etc.",pages
Chart palette,,used in chart,ref,,,,Charts,,,,,,edam:topic_0092,A link to the chart that uses this color palette,pages
