tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,label
Organisations,,additional resources,refback,,,,Resources,,additional organisations,,,"Listing of data sources, cohorts, studies (etc)",
Networks,,features,ontology_array,,,CatalogueOntologies,Network features,,,,,Characterizations of the network,
Studies,,type,ontology,,,CatalogueOntologies,Study types,,,,,Select 1 of the following types of study,
Studies,,type other,,,,,,,,,,"If other, describe the type of study",
Resources,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Which of the following families of databanks best describe this data source,
Resources,,type other,text,,,,,,,,,"If other, describe the type of datasource",
Resources,,website,hyperlink,,,,,,,,,Link to the website or homepage,
Networks,,website,hyperlink,,,,,,,,,Link to the website or homepage,
Models,,website,hyperlink,,,,,,,,,Link to the website or homepage,
Studies,,website,hyperlink,,,,,,,,,Link to the website or homepage,
Organisations,,website,hyperlink,,,,,,,,,Link to the website or homepage,
Resources,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,
Studies,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,
Networks,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,
Models,,lead organisation,ref_array,,,,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,
Resources,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,
Studies,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,
Networks,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,
Models,,additional organisations,ref_array,,,,Organisations,,,,,List the names of any additional organisations that contributed to the resource,
Studies,,other organisations,text,,,,,,,,,List the names of any other organisations that are not listed and contributed to this resource,
Networks,,other organisations,text,,,,,,,,,List the names of any other organisations that are not listed and contributed to this resource,
Resources,,description,text,,,,,,,,,Short description,
Networks,,description,text,,,,,,,,,Short description,
Models,,description,text,,,,,,,,,Short description,
Studies,,description,text,,,,,,,,,Short description,
Organisations,,description,text,,,,,,,,,Short description,
Resources,,data collection description,text,,,,,,,,,Describe the process of collection and recording of data.,
Resources,,date established,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",
Resources,,start data collection,date,,,,,,,,,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",
Resources,,end data collection,date,,,,,,,,,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",
Resources,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)",
Studies,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)",
Networks,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)",
Models,,external identifiers,refback,,,,External identifiers,,resource,,,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)",
Studies,,status,ontology,,,CatalogueOntologies,Study status,,,,,Status of the study,
Models,,release frequency,int,,,,,,,,,Refreshing rate (in months),
Resources,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),
Networks,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),
Models,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),
Studies,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),
Organisations,,contacts,refback,,,,Contacts,,resource,,,Contact person(s),
Resources,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected,
Resources,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,
Studies,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,
Networks,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,
Models,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from,
Resources,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this resource largely originate from,
Resources,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are captured in this resource? Select all that are relevant.,
Resources,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,
Resources,,population entry other,text,,,,,,,,,"If other, specify the causes of entry to the underlying population",
Resources,,population exit,ontology_array,,,CatalogueOntologies,Population exit,,,,,Select the possible causes / events that trigger the de-registration of a person in the data source,
Resources,,population exit other,text,,,,,,,,,"If other, specify the causes of exit from the underlying population",
Resources,,population coverage,text,,,,,,,,,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.,
Resources,,population not covered,text,,,,,,,,,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care) ",
Resources,,quantantitative information,refback,,,,Quantitative information,,resource,,,Numerical summaries describing data bank population,
Resources,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information ds,,,,,Areas of information that were collected,
Resources,,quality of life other,text,,,,,,,,,"If other, specify additional quality of life measures",
Resources,,cause of death code other,text,,,,,,,,,"If 'other,' what cause of death vocabulary is used?",
Resources,,indication vocabulary other,text,,,,,,,,,"If 'other,' what indication for use vocabulary is used?",
Resources,,genetic data vocabulary other,text,,,,,,,,,"If 'other,' what genetic data vocabulary is used?",
Resources,,care setting other,text,,,,,,,,,"If 'other,' description of the setting of care",
Resources,,medicinal product vocabulary other,text,,,,,,,,,"If 'other,' description of the medicinal product vocabulary",
Resources,,prescriptions vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Resources,,dispensings vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Resources,,procedures vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Resources,,biomarker data vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Resources,,diagnosis medical event vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Resources,,disease details,ontology_array,,,CatalogueOntologies,MedDRA,,,,,"If data on a specific disease is collected, which diseases does the data source collect information on",
Resources,,disease details other,text,,,,,,,,,Specify disease details if not present in MedDRA,
Resources,,languages,ontology_array,,,CatalogueOntologies,Languages,,,,,"Languages in which that the records are recorded (in ISO 639, https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes)",
Resources,,record trigger,text,,,,,,,,,"What triggers the creation of a record in the data bank? e.g., hospital discharge, specialist encounter, dispensation of a medicinal product, recording of a congenital anomaly",
Resources,,prelinked,bool,,,,,,,,,Is the data from this data source linked to other data sources?,
Resources,,linkage description,text,,,,,,,,,Provide a high-level description of the linkages that are currently available between data sources in the data source (when pre-linked = yes),
Resources,,linkage possibility,bool,,,,,,,,,Can this data source be linked to other data sources?,
Resources,,linkage possibility description,text,,,,,,,,,Can the data from this data source be linked to other data sources?,
Resources,,linked resources,refback,,,,Linked resources,,main resource,,,List of resources that are or can be linked to this main resource,
Resources,,data holder,ref,,,,Organisations,,,,,The name of the organisation that is responsible for governance of the data bank,
Resources,,informed consent,ontology,,,CatalogueOntologies,Informed consents,,,,,Is informed consent required for use of the data for research purposes?,
Resources,,informed consent other,text,,,,,,,,,"If other, describe the conditions when informed consent is required",
Resources,,access subject details,bool,,,,,,,,,Can individual patients/practitioners/practices be contacted in the data bank?,
Resources,,biospecimen access,bool,,,,,,,,,"If the data bank contains biospecimens (e.g., tissue samples), can these be retrieved?",
Resources,,biospecimen access conditions,text,,,,,,,,,"If yes above, describe the conditions under which permission to retrieve biospecimens may be granted",
Resources,,approval for publication,bool,,,,,,,,,Is an approval needed to publish the results of a study using the data,
Resources,,preservation,bool,,,,,,,,,Are records preserved in the data bank indefinitely?,
Resources,,preservation duration,int,,,,,,,,,"If no to the above, for how long (in years) are records preserved in the data bank?",
Resources,,refresh period,ontology_array,,,CatalogueOntologies,Refresh periods,,,,,"If data are refreshed on fixed dates (e.g., every June and December), when are the refreshes scheduled? Select all that apply from the following:",
Resources,,date last refresh,date,,,,,,,,,Date of last update/refresh,
Resources,,qualification,bool,,,,,,,,,"Has the data source successfully undergone a formal qualification process (e.g., from the EMA, or ISO or other certifications)?",
Resources,,qualifications description,text,,,,,,,,,"Has the resource successfully undergone a qualification process (e.g., from the EMA)? If yes, describe the qualification(s) granted",
Resources,,access for validation,bool,,,,,,,,,"Can validity of the data in the data bank be verified, e.g., by review of origin medical charts?",
Resources,,cdms,refback,,,,Mappings,,source,,,Common data models used or ETL-ed to by this data source,
Resources,,cdms other,text,,,,,,,,,"If not in list above, give the name of cdm(s) used by this data source",
Resources,,publications,ref_array,,,,Publications,,,,,Other publication(s) about this resource,
Studies,,publications,ref_array,,,,Publications,,,,,Other publication(s) about this resource,
Networks,,publications,ref_array,,,,Publications,,,,,Other publication(s) about this resource,
Models,,publications,ref_array,,,,Publications,,,,,Other publication(s) about this resource,
Resources,,funding sources,ontology_array,,,CatalogueOntologies,Funding types,,,,,Specify the main financial support sources for the data source in the last 3 years. Select all that apply,
Studies,,funding scheme,ontology_array,,,CatalogueOntologies,Study funding,,,,,The source of funding for the study. Select all that apply,
Resources,,funding statement,text,,,,,,,,,Statement listing funding that was obtained for this resource,
Studies,,funding statement,text,,,,,,,,,Statement listing funding that was obtained for this resource,
Networks,,funding statement,text,,,,,,,,,Statement listing funding that was obtained for this resource,
Models,,funding statement,text,,,,,,,,,Statement listing funding that was obtained for this resource,
Resources,,documentation,refback,,,,Documentation,,resource,,,"Descriptive document(s) available for this resource, e.g. informed consent",
Studies,,documentation,refback,,,,Documentation,,resource,,,"Descriptive document(s) available for this resource, e.g. informed consent",
Networks,,documentation,refback,,,,Documentation,,resource,,,"Descriptive document(s) available for this resource, e.g. informed consent",
Models,,documentation,refback,,,,Documentation,,resource,,,"Descriptive document(s) available for this resource, e.g. informed consent",
Studies,,networks,ref_array,,,,Networks,,,,,The consortia or networks that this study is part of,
Resources,,networks,refback,,,,Networks,,data sources,,,List of networks that this datasource is associated with,
Resources,,studies,refback,,,,Studies,,data sources,,,List of studies that this datasource is associated with,
Publications,,doi,,1,true,,,,,,,Digital object identifier,
Publications,,title,text,,,,,,,,,Publication title,
Contacts,,,,,,,,,,,,Listing of contact persons per resource,
Contacts,,resource,ref,1,true,,Resources,,,,,Resource the contact is affiliated with,
Contacts,,role,ontology_array,,,CatalogueOntologies,Contribution types,,,,,Type(s) of contribution or role in the resource,
Contacts,,first name,,1,true,,,,,,,First name of the contact person,
Contacts,,last name,,1,true,,,,,,,Last name of the contact person,
Contacts,,title,ontology,,,CatalogueOntologies,Titles,,,,,Title of the contact person,
Contacts,,organisation,ref,,,,Organisations,,,,,Affiliated organisation of the contact person,
Documentation,,resource,ref,1,true,,Resources,,,,,The resource this documentation is for,
Documentation,,name,,1,true,,,,,,,Document name,
Documentation,,type,ontology,,,CatalogueOntologies,Document types,,,,,Type of documentation,
Documentation,,url,hyperlink,,,,,,,,,Hyperlink to the source of the documentation,
Documentation,,file,file,,,,,,,,,Optional file attachment containing the documentation,
Linked resources,,,,,,,,,,,,Links between datasource and databank,
Linked resources,,main resource,ref,1,true,,Resources,,,,,,
Linked resources,,linked resource,ref,1,true,,Resources,,,,,,
Linked resources,,other linked resource,,,,,,,,,,"If other linked data source, enter the name of the data source (default = not applicable)",
Linked resources,,linkage strategy,ontology,,,CatalogueOntologies,Linkage strategies,,,,,The linkage method that was used to link data banks. One entry per data bank,
Linked resources,,linkage variable,text,,,,,,,,,"If a single variable (or linkage key) is used to link a data bank to others, a name and description of the variable is provided. One entry per data bank",
Linked resources,,linkage completeness,text,,,,,,,,,Provide a high-level description of the completeness of linkages that are currently available between data banks in the data source (max 100 words),
Linked resources,,pre linked,bool,,,,,,,,,Does the data source constitute of linked data sources?,
Quantitative information,,,,,,,,,,,,Quantitative information on the resource,
Quantitative information,,resource,ref,1,,,Resources,,,,,,
Quantitative information,,age group,ontology,1,,CatalogueOntologies,Age groups,,,,,Select the relevant age group for this quantitative information,
Quantitative information,,population size,int,,,,,,,,,"Total number of unique individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year",
Quantitative information,,active size,int,,,,,,,,,"Number of unique, active, or currently registered individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year",
Quantitative information,,mean observation years,int,,,,,,,,,Median years for which unique individuals with records captured in the data source are observable (most recent count),
Quantitative information,,mean years active,int,,,,,,,,,Median time for which unique individuals with records captured in the data source are observable (most recent count),
Networks,,data sources,ref_array,,,,Data sources,,,,,,
Networks,,studies,refback,,,,Studies,,networks,,,,
Studies,,study requirements,ontology_array,,,CatalogueOntologies,Study requirements,,,,,Study requirements,
Studies,,regulatory procedure number,string,,,,,,,,,"Regulatory procedure number, for RMP Category 1 and 2 studies only",
Studies,,date of signing funding contract planned,date,,,,,,,,,"Date when funding contract was signed, planned",
Studies,,date of signing funding contract actual,date,,,,,,,,,"Date when funding contract was signed, actual",
Studies,,collection start planned,date,,,,,,,,,When was the data collection planned to start?,
Studies,,collection start actual,date,,,,,,,,,When was the data collection actually start?,
Studies,,analysis start planned,date,,,,,,,,,When was the data analysis planned to start?,
Studies,,analysis start actual,date,,,,,,,,,When did the data analysis actually start?,
Studies,,interim report planned,date,,,,,,,,,"Planned date of interim report, if expected",
Studies,,interim report actual,date,,,,,,,,,"Actual date of interim report, if expected",
Studies,,final report planned,date,,,,,,,,,"Date of final study report, planned",
Studies,,final report actual,date,,,,,,,,,"Date of final study report, actual",
Studies,,data sources,ref_array,,,,Data sources,,,,,Data sources that provided data into this study,
Studies,,data sources other,text,,,,,,,,,Other not listed data sources that provided data into this study,
Studies,,cdms,refback,,,,Mappings,,source,,,Common data model(s) used in this study,
Studies,,study features,ontology_array,,,CatalogueOntologies,Study features,,,,,Data features,
Studies,,data characterisation details,text,,,,,,,,,Provide a summary description of the data characterisation or quality check process,
Studies,,data source types,ontology_array,,,CatalogueOntologies,Study datasource types,,,,,Types of data sources used,
Studies,,data source types other,text,,,,,,,,,"Sources of data, if other",
Studies,,quality marks,ontology_array,,,CatalogueOntologies,Study quality marks,,,,,"Quality marks, such as ENCePP seal",
Studies,,number of data sources,,,,,,,,,,Total number of data sources included in the study,
Studies,,medicines studied INN codes,ontology_array,,,CatalogueOntologies,INN,,,,,INN codes of medicines studied,
Studies,,medicines studied ATC codes,ontology_array,,,CatalogueOntologies,ATC,,,,,ATC codes of medicines studied,
Studies,,medicines studies brands,ontology_array,,,CatalogueOntologies,Medicine brand names,,,,,Brand names of the medicines studied,
Studies,,medicines studied other,text,,,,,,,,,If the medicinal product information (e.g. brand name or active substance or ATC code) does not appear in the available look-ups please enter it here,
Studies,,medical conditions studied,ontology_array,,,CatalogueOntologies,MedDRA,,,,,Codes of the medical conditions studied,
Studies,,medical conditions studied other,text,,,,,,,,,Codes of the medical conditions studied,
Studies,,population description,text,,,,,,,,,A short description of the study population,
Studies,,number of subjects,int,,,,,,,,,Estimated number of subjects,
Studies,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are studied,
Studies,,objectives,text,,,,,,,,,A short description of the study objective,
Studies,,interventions,text,,,,,,,,,A short description of the study interventions,
Studies,,comparators,text,,,,,,,,,A short description of the study comparators,
Studies,,outcomes,text,,,,,,,,,A short description of the study outcomes,
Studies,,study design,text,,,,,,,,,A brief summary of the study design,
Studies,,results,text,,,,,,,,,A brief summary of the results of the study on study completion (from abstract),
Studies,,topic,ontology_array,,,CatalogueOntologies,Study topics,,,,,An initial classification of the study purpose,
Studies,,topic other,text,,,,,,,,,"If the study is not concerning any of the proposed categories, please specify the details",
Studies,,trial regulatory scope,ontology_array,,,CatalogueOntologies,Study trial regulatory scopes,,,,,Classification of the clinical trial in relation to the medicines authorisation,
Studies,,study design classification,ontology_array,,,CatalogueOntologies,Study design classification,,,,,Study design classifications,
Studies,,study design classification other,text,,,,,,,,,Further details on design,
Studies,,study scope,ontology_array,,,CatalogueOntologies,Study scopes,,,,,Scope of the study,
Studies,,study scope other,text,,,,,,,,,If scope 'other',
Studies,,population of interest,ontology_array,,,CatalogueOntologies,Population of interest,,,,,"If population of interest is 'Other', please specify which other population has been studied",
Studies,,population of interest other,text,,,,,,,,,"If population of interest is 'Other', please specify which other population has been studied",
Mappings,,,,,,,,,,,,"Mapping from collected datasets to standard/harmonised datasets, optionally including ETL syntaxes",
Mappings,,source,ref,1,true,,Resources,,,,,Data source that is being mapped to a (common) data model,
Mappings,,source version,string,,,,,,,,,version of the datasource that is being mapped,
Mappings,,target,ref,1,true,,Models,,,,,model being mapped to,
Mappings,,target version,string,,,,,,,,,version of the model being mapped to,
Mappings,,cdms other,,,,,,,,,,"if cdm is not under targets, which cdm was mapped to? (default = not applicable)",
Mappings,,mapping status,ontology,,,CatalogueOntologies,Mapping status,,,,,"Mapping from collected datasets to standard/harmonised datasets, optionally including ETL syntaxes",
Mappings,,ETL frequency,int,,,,,,,,,"The frequency of the ETL process, in months",
Mappings,,ETL specification url,hyperlink,,,,,,,,,Link to ETL specification documentation,
Mappings,,ETL specification document,file,,,,,,,,,Documentation concerning ETL details,
Submissions,,,,,,,,,,,,Documentation of data submissions related to a resource,
Submissions,,submission date,datetime,1,true,,,,,,,Date of submission,
Submissions,,resources,ref_array,,true,,Resources,,,,,Resource(s) that this submission is related to,
Submissions,,submission type,ontology,,,CatalogueOntologies,Submission types,,,,,"Type of submission, e.g. 'new entry', 'correction'",
Submissions,,submission description,text,,,,,,,,,"Description of the submission, if applicable",
Submissions,,acceptance date,datetime,,,,,,,,,Date submission was accepted,
External identifiers,,,,,,,,,,,,External identifier(s) for this resource,
External identifiers,,resource,ref,1,true,,Resources,,,,,Resource that this external identifier belongs to,
External identifiers,,identifier,text,1,true,,,,,,,External identifier,
External identifiers,,external identifier type,ontology,,,CatalogueOntologies,External identifier types,,,,,External identifier type,
