tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,visible
Collections,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:spatial,Geographical regions where data from this resource largely originate from,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are captured in this resource? Select all that are relevant.,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,inclusion criteria,ontology_array,,,CatalogueOntologies,Inclusion criteria,,,,,Inclusion criteria applied to the participants of this resource,['Cohort'].includes(collectionType?.name)
Collections,,other inclusion criteria,text,,,,,,,,,Other inclusion criteria applied to the participants of this resource,['Cohort'].includes(collectionType?.name)
Collections,,start year,int,,,,,,,,,Year when first data was collected,['Cohort'].includes(collectionType?.name)
Collections,,end year,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing,['Cohort'].includes(collectionType?.name)
Collections,,start year,int,,,,,,,,,Year when the network was created,['Network'].includes(collectionType?.name)
Collections,,end year,int,,,,,,,,,Year when the network ended,['Network'].includes(collectionType?.name)
Collections,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population entry other,text,,,,,,,,,"If other, specify the causes of entry to the underlying population","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population exit,ontology_array,,,CatalogueOntologies,Population exit,,,,,Select the possible causes / events that trigger the de-registration of a person in the data source,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population exit other,text,,,,,,,,,"If other, specify the causes of exit from the underlying population","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population disease,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Does the resource collect information on a specific disease subpopulation (e.g., as in a disease-specific registry)?","['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population oncology topology,ontology_array,,,CatalogueOntologies,ICDO topologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select topology specifications.","['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population oncology morphology,ontology_array,,,CatalogueOntologies,ICDO morphologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select morphology specifications.","['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population coverage,text,,,,,,,,,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population not covered,text,,,,,,,,,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care) ","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,contents,heading,,,,,,,,,Data model and contents,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information ds,,,,,Areas of information that were collected,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,quality of life other,text,,,,,,,,,"If other, specify additional quality of life measures","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,cause of death code other,text,,,,,,,,,"If 'other,' what cause of death vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,indication vocabulary other,text,,,,,,,,,"If 'other,' what indication for use vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,genetic data vocabulary other,text,,,,,,,,,"If 'other,' what genetic data vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,care setting other,text,,,,,,,,,"If 'other,' description of the setting of care","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,medicinal product vocabulary other,text,,,,,,,,,"If 'other,' description of the medicinal product vocabulary","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,prescriptions vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,dispensings vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,procedures vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,biomarker data vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,diagnosis medical event vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,data dictionary available,bool,,,,,,,,,Are a data dictionary and a data model available?,['Databank'].includes(collectionType?.name)
Collections,,disease details,ontology_array,,,CatalogueOntologies,MedDRA,,,,,"If data on a specific disease is collected, which diseases does the data source collect information on","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,disease details other,text,,,,,,,,,Specify disease details if not present in MedDRA,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,biospecimen collected,ontology_array,,,CatalogueOntologies,Biospecimens,,,,,"If the data bank contains biospecimens, what types of specimen","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,languages,ontology_array,,,CatalogueOntologies,Languages,,,,,"Languages in which that the records are recorded (in ISO 639, https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes)","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,record trigger,text,,,,,,,,,"What triggers the creation of a record in the data bank? e.g., hospital discharge, specialist encounter, dispensation of a medicinal product, recording of a congenital anomaly","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,unit of observation,text,,,,,,,,,"Based on the prompt, what is the unit of observation of a record (e.g., person, prescription)?",['Databank'].includes(collectionType?.name)
Collections,,multiple entries,bool,,,,,,,,,"Can there be multiple entries for a single person in the data bank? For example, may a person contribute multiple records to the data bank?",['Databank'].includes(collectionType?.name)
Collections,,linkage,heading,,,,,,,,,Data linkage,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,has identifier,bool,,,,,,,,,Is there a unique identifier for a person in the data bank?,['Databank'].includes(collectionType?.name)
Collections,,identifier description,text,,,,,,,,,"Describe the variable that is used as a unique identifier for a person in the data bank? If the unique identifier is not at level of a person (for example hospital encounter), describe how this translated to an individual level",['Databank'].includes(collectionType?.name)
Collections,,prelinked,bool,,,,,,,,,Is the data from this data source linked to other data sources?,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,linkage description,text,,,,,,,,,Provide a high-level description of the linkages that are currently available between data sources in the data source (when pre-linked = yes),"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,linkage possibility,bool,,,,,,,,,Can this data source be linked to other data sources?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,linkage possibility description,text,,,,,,,,,Can the data from this data source be linked to other data sources?,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,release type,ontology,,,CatalogueOntologies,Release types,,,,,Select whether this resource is a closed dataset or whether new data is released continuously or at a termly basis,['Cohort'].includes(collectionType?.name)
Collections,,release description,text,,,,,,,,,Description of the release cycle of this resource,['Cohort'].includes(collectionType?.name)
Collections,,linkage options,text,,,,,,,,,Linkage options with additional data sources that are available for this resource,['Cohort'].includes(collectionType?.name)
Collections,,access,heading,,,,,,,,,Access and validation information,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,data holder,ref,,,,Organisations,,,,,The name of the organisation that is responsible for governance of the data bank,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,reason sustained,text,,,,,,,,,"Description of the reason why the data bank is sustained by the organisation (e.g., for surveillance, clinical purposes, financial or administrative purposes, research purposes)",['Databank'].includes(collectionType?.name)
Collections,,data access conditions,ontology_array,,,CatalogueOntologies,Data access conditions,,,,,Codes defining data access terms and conditions,['Cohort'].includes(collectionType?.name)
Collections,,data use conditions,ontology_array,,,CatalogueOntologies,Data use conditions,,,,,Codes defining data use terms and conditions,['Cohort'].includes(collectionType?.name)
Collections,,data access conditions description,text,,,,,,,,,Description of data access terms and use conditions,['Cohort'].includes(collectionType?.name)
Collections,,data access fee,bool,,,,,,,,,Does a fee apply to gain access to data of this cohort?,['Cohort'].includes(collectionType?.name)
Collections,,informed consent,ontology,,,CatalogueOntologies,Informed consents,,,,,Is informed consent required for use of the data for research purposes?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,informed consent other,text,,,,,,,,,"If other, describe the conditions when informed consent is required","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,access identifiable data,text,,,,,,,,,Can identifiable data be accessed in the data bank (including patient/practitioner name/practice name)?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,access identifiable data route,text,,,,,,,,,"If yes above, what is the route to access or process this information? What permission is required?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,access subject details,bool,,,,,,,,,Can individual patients/practitioners/practices be contacted in the data bank?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,access subject details route,text,,,,,,,,,"If yes above, what is the route to access or process this information? What permission is required?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,audit possible,bool,,,,,,,,,"Are external parties allowed to audit the data? For example, is it possible for an external party to audit the quality or validity of the data source?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,access third party,bool,,,,,,,,,Can (an extract of) the data bank be accessed with permission by a third party?,['Databank'].includes(collectionType?.name)
Collections,,access third party conditions,text,,,,,,,,,"If above is 'yes', describe the conditions under which third-party access may be granted",['Databank'].includes(collectionType?.name)
Collections,,access non EU,bool,,,,,,,,,Can (an extract of) the data bank be accessed with permission by a non-EU/EEA institution?,['Databank'].includes(collectionType?.name)
Collections,,access non EU conditions,text,,,,,,,,,"If yes above, describe the conditions under which non-EU/EEA access may be granted",['Databank'].includes(collectionType?.name)
Collections,,standard operating procedures,bool,,,,,,,,,Is there a standard operating procedure document that defines the processes and procedures for data capture and management?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,biospecimen access,bool,,,,,,,,,"If the data bank contains biospecimens (e.g., tissue samples), can these be retrieved?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,biospecimen access conditions,text,,,,,,,,,"If yes above, describe the conditions under which permission to retrieve biospecimens may be granted","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,governance details,text,,,,,,,,,"If available, provide a link to documents or webpages that describe the overall governance of the data source bank (governing data access or utilisation for research purposes by existing DAPs)","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,approval for publication,bool,,,,,,,,,Is an approval needed to publish the results of a study using the data,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,updates,heading,,,,,,,,,Information on the regularity of updates and time lags,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,refresh,int,,,,,,,,,Average number of days between refresh of data bank with new records,['Databank'].includes(collectionType?.name)
Collections,,lag time,int,,,,,,,,,"How many days is the lag time after refresh before a record can be extracted? (e.g., a lag time may occur if the originator conducts quality checks)",['Databank'].includes(collectionType?.name)
Collections,,preservation,bool,,,,,,,,,Are records preserved in the data bank indefinitely?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,preservation duration,int,,,,,,,,,"If no to the above, for how long (in years) are records preserved in the data bank?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,refresh period,ontology_array,,,CatalogueOntologies,Refresh periods,,,,,"If data are refreshed on fixed dates (e.g., every June and December), when are the refreshes scheduled? Select all that apply from the following:","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,date last refresh,date,,,,,,,,,Date of last update/refresh,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,quality,heading,,,,,,,,,List of relevant studies conducted using the data bank,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,qualification,bool,,,,,,,,,"Has the data source successfully undergone a formal qualification process (e.g., from the EMA, or ISO or other certifications)?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,qualifications description,text,,,,,,,,,"Has the resource successfully undergone a qualification process (e.g., from the EMA)? If yes, describe the qualification(s) granted","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,number of records,int,,,,,,,,,Total number of unique records captured in the data bank (most recent count),['Databank'].includes(collectionType?.name)
Collections,,completeness,text,,,,,,,,,"Describe the completeness of the data bank (e.g., variables with more or fewer missing values)",['Databank'].includes(collectionType?.name)
Collections,,completeness over time,text,,,,,,,,,"Describe any changes in completeness of the data bank (e.g., variables with more or fewer missing values) that have occurred  over time",['Databank'].includes(collectionType?.name)
Collections,,completeness results,text,,,,,,,,,What methods or processes are applied to check completeness of the data bank?,['Databank'].includes(collectionType?.name)
Collections,,quality description,text,,,,,,,,,"Describe the quality of the data bank (e.g., variables with more or fewer missing values)",['Databank'].includes(collectionType?.name)
Collections,,quality over time,text,,,,,,,,,Describe any changes in quality of the data bank that have occurred  over time,['Databank'].includes(collectionType?.name)
Collections,,access for validation,bool,,,,,,,,,"Can validity of the data in the data bank be verified, e.g., by review of origin medical charts?","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,quality validation frequency,text,,,,,,,,,How often are data quality checks and validation steps conducted on the data bank?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,quality validation methods,text,,,,,,,,,What methods or processes are applied for data quality checks and validation steps conducted on the data bank?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,correction methods,text,,,,,,,,,What methods or processes are applied to correct illogical values in the data bank?,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,quality validation results,,,,,,,,,,"If available, provide a link to a publication of the data quality check and validation results","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,standards,heading,,,,,,,,,Use of standard data models and ontologies,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,cdms other,text,,,,,,,,,"If not in list above, give the name of cdm(s) used by this data source","['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,ETL standard vocabularies,ontology_array,,,CatalogueOntologies,Vocabularies,,,,,"Are data mapped to standardised vocabularies during ETL to the CDM? If yes, what vocabularies are used for events, such as diagnoses?",['Databank'].includes(collectionType?.name)
Collections,,ETL standard vocabularies other,text,,,,,,,,,"If other, what other vocabularies are used?",['Databank'].includes(collectionType?.name)
Collections,,information,heading,,,,,,,,,Other information,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,design paper,ref_array,,,,Publications,,,,,Publication(s) that describe(s) the design of this resource,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,publications,ref_array,,,,Publications,,,,,Other publication(s) about this resource,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,informed consent type,ontology,,,CatalogueOntologies,Informed consent types,,,,,What type of informed consent was given for data collection?,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,funding sources,ontology_array,,,CatalogueOntologies,Funding types,,,,,Specify the main financial support sources for the data source in the last 3 years. Select all that apply,"['Databank', 'Data source'].includes(collectionType?.name)"
Collections,,funding scheme,ontology_array,,,CatalogueOntologies,Study funding,,,,,The source of funding for the study. Select all that apply,['Study'].includes(collectionType?.name)
Collections,,funding statement,text,,,,,,,,,Statement listing funding that was obtained for this resource,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,acknowledgements,text,,,,,,,,,Acknowledgement statement and citation regulation for this resource,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,supplementary information,text,,,,,,,,,Any other information that needs to be disclosed for this resource,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,collaborations,heading,,,,,,,,,List of relevant collaborations,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,networks,ref_array,,,,Collections,,,,,The consortia or networks that this study is part of,['Study'].includes(collectionType?.name)
Collections,,networks other,text,,,,,,,,,List the names of any other networks that are not listed and this resource is involved in,['Study'].includes(collectionType?.name)
Publications,,,,,,,,,,,,Publications following bibtex format,
Publications,,doi,hyperlink,1,true,,,,,,,Digital object identifier,
Publications,,title,text,,,,,,,,,Publication title,
Publications,,authors,string_array,,,,,,,,,"List of authors, one entry per author",
Publications,,year,int,,,,,,,,,"Year of publication (or, if unpublished, year of creation)",
Publications,,journal,,,,,,,,,,Journal or magazine the work was published in,
Publications,,volume,int,,,,,,,,,Journal or magazine volume,
Publications,,number,int,,,,,,,,,Journal or maragzine issue number,
Publications,,pagination,,,,,,,,,,"Page numbers, separated either by commas or double-hyphens",
Publications,,publisher,,,,,,,,,,Publisher's name,
Publications,,school,,,,,,,,,,School where the thesis was written (in case of thesis),
Publications,,abstract,text,,,,,,,,,Publication abstract,
Publications,,resources,refback,,,,Collections,,publications,,,List of resources that refer to this publication,
Contacts,,,,,,,,,,,vcard:Individual,Listing of contact persons per resource,
Contacts,,resource,ref,1,true,,Collections,,,,,Resource the contact is affiliated with,
Contacts,,role,ontology_array,,,CatalogueOntologies,Contribution types,,,,vcard:hasRole,Type(s) of contribution or role in the resource,
Contacts,,role description,text,,,,,,,,,Description of the role,
Contacts,,first name,,1,true,,,,,,,First name of the contact person,
Contacts,,last name,,1,true,,,,,,,Last name of the contact person,
Contacts,,prefix,,,,,,,,,,"Surname prefix, if applicable",
Contacts,,initials,,,,,,,,,,Initials of the contact person,
Contacts,,title,ontology,,,CatalogueOntologies,Titles,,,,,Title of the contact person,
Contacts,,organisation,ref,,,,Organisations,,,,,Affiliated organisation of the contact person,
Contacts,,email,,,,,,,,,vcard:hasEmail,Contact's email address,
Contacts,,orcid,,,,,,,,,,Orcid of the contact person,
Contacts,,homepage,,,,,,,,,,Link to contact's homepage,
Contacts,,photo,file,,,,,,,,,Contact's photograph,
Contacts,,expertise,,,,,,,,,,Description of contact's expertise,
Documentation,,,,,,,,,,,,Documentation attached to a resource,
Documentation,,resource,ref,1,true,,Collections,,,,,The resource this documentation is for,
Documentation,,name,,1,true,,,,,,,Document name,
Documentation,,type,ontology,,,CatalogueOntologies,Document types,,,,,Type of documentation,
Documentation,,description,text,,,,,,,,,Description of the document,
Documentation,,url,hyperlink,,,,,,,,,Hyperlink to the source of the documentation,
Documentation,,file,file,,,,,,,,,Optional file attachment containing the documentation,
Linked resources,,,,,,,,,,,,Links between datasource and databank,
Linked resources,,main resource,ref,1,true,,Collections,,,,,,
Linked resources,,linked resource,ref,1,true,,Collections,,,,,,
Linked resources,,other linked resource,,,,,,,,,,"If other linked data source, enter the name of the data source (default = not applicable)",
Linked resources,,linkage strategy,ontology,,,CatalogueOntologies,Linkage strategies,,,,,The linkage method that was used to link data banks. One entry per data bank,
Linked resources,,linkage variable,text,,,,,,,,,"If a single variable (or linkage key) is used to link a data bank to others, a name and description of the variable is provided. One entry per data bank",
Linked resources,,linkage variable unique,bool,,,,,,,,,"If a single variable is used to link a data bank to others, is the variable a unique identifier? One entry per data bank",
Linked resources,,linkage completeness,text,,,,,,,,,Provide a high-level description of the completeness of linkages that are currently available between data banks in the data source (max 100 words),
Linked resources,,pre linked,bool,,,,,,,,,Does the data source constitute of linked data sources?,
Quantitative information,,,,,,,,,,,,Quantitative information on the resource,
Quantitative information,,resource,ref,1,,,Collections,,,,,,
Quantitative information,,age group,ontology,1,,CatalogueOntologies,Age groups,,,,,Select the relevant age group for this quantitative information,
Quantitative information,,population size,int,,,,,,,,,"Total number of unique individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year",
Quantitative information,,active size,int,,,,,,,,,"Number of unique, active, or currently registered individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year",
Quantitative information,,no individuals with samples,int,,,,,,,,,"Number of unique individuals with records of biological samples (e.g., blood, urine) (most recent count). In the catalogue, this will accommodate counts per year ",
Quantitative information,,mean observation years,int,,,,,,,,,Median years for which unique individuals with records captured in the data source are observable (most recent count),
Quantitative information,,mean years active,int,,,,,,,,,Median time for which unique individuals with records captured in the data source are observable (most recent count),
Quantitative information,,median age,int,,,,,,,,,Median age of individuals within data source,
Quantitative information,,proportion female,int,,,,,,,,,Proportion of females in the data source,
Collection events,,,,,,,,,,,dcterms:PeriodOfTime,Definition of a data collection event for a resource,
Collection events,,resource,ref,1,true,,Collections,,,,dcterms:isPartOf,Resource this collection event is part of,
Collection events,,name,,1,true,,,,,,dcterms:title,Name of the collection event,
Collection events,,description,text,,,,,,,,dcterms:description,Description of the collection event,
