name,code,order,definition,comments,parent,ontologyTermURI
Other and unspecified lifestyle information,Other_lifestyle,30,,,Lifestyle and behaviours,
"Birth, pregnancy and reproductive health history",Reproductive history,31,,,,
"Puberty, menstruation, menopause and andropause",Menstr_menop_andropause,32,,,"Birth, pregnancy and reproductive health history",
Contraception,Contraception,33,,,"Birth, pregnancy and reproductive health history",
"Pregnancy, delivery and birth",Pregnancy_delivery,34,,,"Birth, pregnancy and reproductive health history",
Fertility and sexual health,Reprod_sexual_problems,35,,,"Birth, pregnancy and reproductive health history",
Other reproductive health-related information,Other_reproductive,36,,,"Birth, pregnancy and reproductive health history",
"Perception of health, quality of life, development and functional limitations",Health_status_functional_limitations,37,,,,
Perception of health,Perc_health,38,,,"Perception of health, quality of life, development and functional limitations",
Quality of life,Qual_life,39,,,"Perception of health, quality of life, development and functional limitations",
Life course development,Life_dev,40,,,"Perception of health, quality of life, development and functional limitations",
Functional limitations,Act_daily_living,41,,,"Perception of health, quality of life, development and functional limitations",
Use of assistive devices,Use_devices,42,,,"Perception of health, quality of life, development and functional limitations",
"Other perception of health, quality of life and functional limitation-related information",Other,43,,,"Perception of health, quality of life, development and functional limitations",
Symptoms and signs,Symptoms_signs,44,,,,
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Circulatory_respiratory_sympt,45,,,Symptoms and signs,
Symptoms and signs involving the digestive system and abdomen (R10-R19),Digestive_sympt,46,,,Symptoms and signs,
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Skin_subcut_sympt,47,,,Symptoms and signs,
Symptoms and signs involving nervous and musculoskeletal systems (R25-R29),Nervous_musculoskeletal_sympt,48,,,Symptoms and signs,
Symptoms and signs involving the urinary system (R30-R39),Urinary_sympt,49,,,Symptoms and signs,
"Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)",Cognitive_perc_emotional_sympt,50,,,Symptoms and signs,
Symptoms and signs involving speech and voice (R47-R49),Speech_voice_sympt,51,,,Symptoms and signs,
General symptoms and signs (R50-R69),General_sympt,52,,,Symptoms and signs,
Symptoms related to multiple categories,Other_sympt,53,,,Symptoms and signs,
Medication and supplements,Medication_supplements,54,,,,
Medication and supplement intake,Medication_suppl,55,,,Medication and supplements,
Chemotherapy interventions,Chemotherapy_inter,56,,,Medication and supplements,
Posology and protocol of administration,Posology_protocol,57,,,Medication and supplements,
Other and unspecified pharmacological interventions,Other_pharmacological_inter,58,,,Medication and supplements,
Non-pharmacological interventions,Non_pharmacological_interventions,59,,,,
Surgical interventions,Surgical_inter,60,,,Non-pharmacological interventions,
Radiological interventions,Radiological_inter,61,,,Non-pharmacological interventions,
Radiotherapy interventions,Radiotherapy_inter,62,,,Non-pharmacological interventions,
Physical therapy interventions,Physical_inter,63,,,Non-pharmacological interventions,
"Cognitive, psychological and sensory interventions",Cognitive_psycho_sensory_inter,64,,,Non-pharmacological interventions,
Educational and health promotion interventions,Educational_inter,65,,,Non-pharmacological interventions,
Laboratory diagnosis interventions,Biosample_analyses,66,,,Non-pharmacological interventions,
Other and unspecified non-pharmacological interventions,Other_non_pharmacological_inter,67,,,Non-pharmacological interventions,
Health and community care services utilization,Health_community_care_utilization,68,,,,
Visits to health professionals,Visit_health_prof,69,,,Health and community care services utilization,
Hospitalizations,Hospitalizations,70,,,Health and community care services utilization,
Community and social care,Community_care,71,,,Health and community care services utilization,
Other health and community care,Other_health_and_community_care,72,,,Health and community care services utilization,
Death,End_of_life,73,,,,
Vital status,Life_status,74,,,Death,
Cause of death,Cause_death,75,,,Death,
Other end of life or death-related information,Other_death,76,,,Death,
Physical measures and assessments,Physical_measures,77,,,,
Physical characteristics,Physical_characteristics,78,,,Physical measures and assessments,
Anthropometry,Anthropo_measures,79,,,Physical measures and assessments,
Circulation and respiration,Circulation_respiration,80,,,Physical measures and assessments,
"Muscles, skeleton and mobility",Muscles_skeleton_mobility,81,,,Physical measures and assessments,
Sensory and pain,Sensory_pain,82,,,Physical measures and assessments,
Brain and nerves,Brain_nerves,83,,,Physical measures and assessments,
Skin and subcutaneous tissue,Skin_subcutaneous,84,,,Physical measures and assessments,
Speech and voice,Speech_voice,85,,,Physical measures and assessments,
Digestion,Digestion,86,,,Physical measures and assessments,
Reproduction,Reproduction,87,,,Physical measures and assessments,
Other physical measures and assessments,Other_phys_measures,88,,,Physical measures and assessments,
Laboratory measures,Laboratory_measures,89,,,,
Hematology,Hematology,90,,,Laboratory measures,
Biochemistry,Biochemistry,91,,,Laboratory measures,
Microbiology,Microbiology,92,,,Laboratory measures,
Virology,Virology,93,,,Laboratory measures,
Immunology,Immunology,94,,,Laboratory measures,
Toxicology,Toxicology,95,,,Laboratory measures,
Histology,Histology,96,,,Laboratory measures,
Genomics,Genomics,97,,,Laboratory measures,
Other laboratory measures,Other_lab_measures,98,,,Laboratory measures,
"Cognition, personality and psychological measures and assessments",Cognitive_psychological_measures,99,,,,
Cognitive functioning,Cognitive_functioning,100,,,"Cognition, personality and psychological measures and assessments",
Personality,Personality,101,,,"Cognition, personality and psychological measures and assessments",
Psychological distress and emotions,Psychological_emotional_distress,102,,,"Cognition, personality and psychological measures and assessments",
Other psychological measures and assessments,Other_psycholog_measures,103,,,"Cognition, personality and psychological measures and assessments",
"Life events, life plans, beliefs and values",Life_events_plans_beliefs,104,,,,
Life events,Life_events,105,,,"Life events, life plans, beliefs and values",
Life plans,Life_plans,106,,,"Life events, life plans, beliefs and values",
Beliefs and values,Beliefs_values,107,,,"Life events, life plans, beliefs and values",
"Other life events, plans and beliefs",Other_life_events,108,,,"Life events, life plans, beliefs and values",
"Preschool, school and work life",Preschool_school_work,109,,,,
Preschool life,Preschool,110,,,"Preschool, school and work life",
School life,School,111,,,"Preschool, school and work life",
Work life,Work,112,,,"Preschool, school and work life",
"Other preschool, school or work life-related information",Other_school_work,113,,,"Preschool, school and work life",
Social environment and relationships,Social_environment,114,,,,
Social network,Soc_network,115,,,Social environment and relationships,
Social participation,Soc_participation,116,,,Social environment and relationships,
Social support,Soc_support,117,,,Social environment and relationships,
Parenting and familial environment,Parenting,118,,,Social environment and relationships,
Other social environment characteristics,Other_soc_characteristics,119,,,Social environment and relationships,
Physical environment,Physical_environment,120,,,,
Housing characteristics,Housing,121,,,Physical environment,
Built environment/neighbourhood characteristics,Neighborhood,122,,,Physical environment,
Workplace characteristics,Workplace,123,,,Physical environment,
Radiation exposure,Radiation_exp,124,,,Physical environment,
Chemical exposure,Chemical_exp,125,,,Physical environment,
Biological exposure,Biological_exp,126,,,Physical environment,
Other physical environment characteristics,Other_environment,127,,,Physical environment,
Administrative information,Administrative_information,128,,,,
Identifiers,Identifiers,129,,,Administrative information,
Date and time-related information,Date_time_related_info,130,,,Administrative information,
Questionnaire and interview-related information,Questionnaire_interview_related_info,131,,,Administrative information,
Physical and cognitive measure and biosample-related information,Physical_measure_biosamp_related_info,132,,,Administrative information,
Data and sample collection center-related information,Data_sample_center,133,,,Administrative information,
Other administrative information,Other_admin_info,134,,,Administrative information,
