directory_table,directory_id,directory_name,catalogue_table,catalogue_id,mapping_rule,disposition,flag_reason,from_UMCG,notes,data_quality_error,data_quality_reason,collections_fold_review,name_coherence,part_of_possible_facts_fold
Biobanks,bbmri-eric:ID:FR_BB-0033-00029,Biobanque Cardiovasculaire - Hopital Bichat,Collections,bbmri-eric:ID:FR_BB-0033-00029:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00012,Myobank-AFM de l'Institut de Myologie,Collections,bbmri-eric:ID:FR_BB-0033-00012:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00014,Biobanque CHU de Toulouse,Collections,bbmri-eric:ID:FR_BB-0033-00014:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00046,CRB - HCL,Collections,bbmri-eric:ID:FR_BB-0033-00046:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00015,Tumorotheque CLCC Paul Strauss,Collections,bbmri-eric:ID:FR_BB-0033-00015:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00016,CRB de l'Institut Jerome Lejeune,Collections,bbmri-eric:ID:FR_BB-0033-00016:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00022,CRB SAT APHP.SU,Collections,bbmri-eric:ID:FR_BB-0033-00022:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00030,CIC-CRB Lille,Collections,bbmri-eric:ID:FR_BB-0033-00030:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00032,Centre de Ressources Biologiques du CHU de Nimes,Collections,bbmri-eric:ID:FR_BB-0033-00032:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00033,Cerebrotheque Toulouse,Collections,bbmri-eric:ID:FR_BB-0033-00033:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,True,"[JuridicalPersonIsPerson] juridical_person 'Cerebrotheque Toulouse' has person-name shape (2-3 capitalized tokens, no institute keyword) -- verify",,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00031,CRB - CHU de Montpellier,Collections,bbmri-eric:ID:FR_BB-0033-00031:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00035,CRB-CBMP Nancy,Collections,bbmri-eric:ID:FR_BB-0033-00035:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00037,CRB-Sante-Brest,Collections,bbmri-eric:ID:FR_BB-0033-00037:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00028,EREN,Collections,bbmri-eric:ID:FR_BB-0033-00028:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00038,CRB CHU d'Angers,Collections,bbmri-eric:ID:FR_BB-0033-00038:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00039,CRB-Clermont-Ferrand,Collections,bbmri-eric:ID:FR_BB-0033-00039:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00043,CRB pour l'Etude epidemiologique des facteurs gene,Collections,bbmri-eric:ID:FR_BB-0033-00043:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00051,CRB-IGE-PCV-Nancy,Collections,bbmri-eric:ID:FR_BB-0033-00051:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00053,CRB Measles,Collections,bbmri-eric:ID:FR_BB-0033-00053:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00078,Biobanque Hopital Beaujon,Collections,bbmri-eric:ID:FR_BB-0033-00078:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00058,CRB-Banque de cellules Cochin APHP,Collections,bbmri-eric:ID:FR_BB-0033-00058:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00065,PRB Necker - Paris,Collections,bbmri-eric:ID:FR_BB-0033-00065:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00082,APHP - Neuropathologie du developpement,Collections,bbmri-eric:ID:FR_BB-0033-00082:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00076,Biobanque d'ADN Hopital Debre,Collections,bbmri-eric:ID:FR_BB-0033-00076:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00080,INRA - CIRM,Collections,bbmri-eric:ID:FR_BB-0033-00080:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00081,CECOS Germetheque,Collections,bbmri-eric:ID:FR_BB-0033-00081:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00018,CRB/CIC-P,Collections,bbmri-eric:ID:FR_BB-0033-00018:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00088,Tumorotheque IRCNA-NANTES,Collections,bbmri-eric:ID:FR_BB-0033-00088:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00083,ANSES,Collections,bbmri-eric:ID:FR_BB-0033-00083:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00085,Reseau CRB Foie,Collections,bbmri-eric:ID:FR_BB-0033-00085:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00087,Cell&Co,Collections,bbmri-eric:ID:FR_BB-0033-00087:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00089,"CRB Paris Sud/G H Paris Sud, Kremlin Bicetre",Collections,bbmri-eric:ID:FR_BB-0033-00089:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00092,CRB-O CRCM,Collections,bbmri-eric:ID:FR_BB-0033-00092:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00041,CRB-CHU-Saint Etienne,Collections,bbmri-eric:ID:FR_BB-0033-00041:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00046-2,HCL-CBC Biotec,Collections,bbmri-eric:ID:FR_BB-0033-00046-2:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00094,CRB du CHU de Bordeaux - Bordeaux Biotheques Sante,Collections,bbmri-eric:ID:FR_BB-0033-00094:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00045,CRB-CHU Perpignan,Collections,bbmri-eric:ID:FR_BB-0033-00045:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00090,CRB - Filiere Microbiologie,Collections,bbmri-eric:ID:FR_BB-0033-00090:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00044,CRB Ferdinand Cabanne - Dijon,Collections,bbmri-eric:ID:FR_BB-0033-00044:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00096,CRB de l'hopital Marie Lannelongue,Collections,bbmri-eric:ID:FR_BB-0033-00096:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,True,[SuspiciousContent] description: placeholder value '-',,,
Biobanks,bbmri-eric:ID:BE_71014391000,BiobankUZ Brussel,Biobanks,bbmri-eric:ID:BE_71014391000,biobank 2+coll -> Biobanks holding 3,auto,,False,part of legal entity 'Vrije Universiteit Brussel',False,,distinct_collections,1.0,
Biobanks,bbmri-eric:ID:FR_BB-0033-00046-3,CRB-HCL-Immunobiotec,Collections,bbmri-eric:ID:FR_BB-0033-00046-3:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00047,CRB-ICR,Collections,bbmri-eric:ID:FR_BB-0033-00047:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00054,EML-BRC,Collections,bbmri-eric:ID:FR_BB-0033-00054:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00055,CRB Saints-Peres - EPIGENETEC - Paris,Collections,bbmri-eric:ID:FR_BB-0033-00055:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00062,ICAReB-Paris,Collections,bbmri-eric:ID:FR_BB-0033-00062:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00079,EVA (European Virus Archive),Collections,bbmri-eric:ID:FR_BB-0033-00079:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00064,CRB Lariboisiere,Collections,bbmri-eric:ID:FR_BB-0033-00064:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00067,Tumorotheque Hopital Saint-Louis,Collections,bbmri-eric:ID:FR_BB-0033-00067:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:AT_MUI,Biobank Innsbruck,Biobanks,bbmri-eric:ID:AT_MUI,biobank 2+coll -> Biobanks holding 44,auto,,False,part of legal entity 'Medical University of Innsbruck',True,"[GeoCoordsWithinCountry] coordinates present but unparseable: lat='47,259917', lon='11,387718'",mixed,0.2,
Biobanks,bbmri-eric:ID:FR_BB-0033-00063,PRB - HEGP,Collections,bbmri-eric:ID:FR_BB-0033-00063:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00068,Biobanque CHU Poitiers - Biotheque CIC0802,Collections,bbmri-eric:ID:FR_BB-0033-00068:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:BE_71067049,HIRUZ Biobank,Biobanks,bbmri-eric:ID:BE_71067049,biobank 2+coll -> Biobanks holding 2,auto,,False,part of legal entity 'University Hospital Ghent',False,,collections_are_facts,1.0,
Biobanks,bbmri-eric:ID:FR_BB-0033-00077,Hematobiobanque,Collections,bbmri-eric:ID:FR_BB-0033-00077:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00091,CEPH Biobank,Collections,bbmri-eric:ID:FR_BB-0033-00091:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00013,GIS-CRB,Collections,bbmri-eric:ID:FR_BB-0033-00013:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00066,Tumorothèque Caen Basse Normandie,Collections,bbmri-eric:ID:FR_BB-0033-00066:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00071,LAG-CRB,Collections,bbmri-eric:ID:FR_BB-0033-00071:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:BE_71030031000,Biobank Antwerpen,Biobanks,bbmri-eric:ID:BE_71030031000,biobank 2+coll -> Biobanks holding 5,auto,,False,part of legal entity 'Universitair Ziekenhuis Antwerpen',False,,distinct_collections,0.0,
Biobanks,bbmri-eric:ID:BE_B0383,Biobank-University Hospitals Leuven,Biobanks,bbmri-eric:ID:BE_B0383,biobank 2+coll -> Biobanks holding 6,auto,,False,part of legal entity 'University Hospitals Leuven (B0383)',False,,collections_are_facts,0.0,
Biobanks,bbmri-eric:ID:BE_BBOR1,Biothèque de l'Institut Jules Bordet Oncology,Collections,bbmri-eric:ID:BE_BBOR1:collection:all_samples,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:CH_SunBioscience,DOPPL SA,Collections,bbmri-eric:ID:CH_SunBioscience:collection:CH_Biole,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00074,CRB IGR,Collections,bbmri-eric:ID:FR_BB-0033-00074:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:BE_BBRU1,CHU Brugmann - BruTus Oncology,Biobanks,bbmri-eric:ID:BE_BBRU1,biobank 1:1 real-org -> Biobanks holding 1 (has quality/services),needs_curation,is-it-a-real-org? (1:1 triage),False,part of legal entity 'CHU Brugmann',False,,,,
Biobanks,bbmri-eric:ID:BG_MMC,MMC biobank,Biobanks,bbmri-eric:ID:BG_MMC,biobank 2+coll -> Biobanks holding 22,auto,,False,part of legal entity 'kaneva@mmcbg.org',False,,collections_are_facts,0.08,
Biobanks,bbmri-eric:ID:FR_BB-0033-00093,BCB glioblastomes,Collections,bbmri-eric:ID:FR_BB-0033-00093:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:BE_BCHA1,ISPPC - Charleroi,Collections,bbmri-eric:ID:BE_BCHA1:collection:all_samples,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:CH_UZH,University of Zürich,Collections,bbmri-eric:ID:CH_CHUV:collection:CH_GvHD-IMM,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00073,Goelamstheque CHU Cochin,Collections,bbmri-eric:ID:FR_BB-0033-00073:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00097,"CRB du CHU de la Timone, Marseille",Collections,bbmri-eric:ID:FR_BB-0033-00097:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00086,BIOCAP,Collections,bbmri-eric:ID:FR_BB-0033-00086:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:BE_BIPG1,IPG-Biobank,Collections,bbmri-eric:ID:BE_BIPG1:collection:all_samples,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:BE_CMGO1,Biobanque du CHU UCL Namur,Biobanks,bbmri-eric:ID:BE_CMGO1,biobank 2+coll -> Biobanks holding 2,auto,,False,part of legal entity 'CHU UCL Namur',False,,mixed,0.0,
Biobanks,bbmri-eric:ID:CH_DavosBiosciences,Davos BioSciences AG,Collections,bbmri-eric:ID:CH_DavosBiosciences:collection:CH_CK-CARE,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:AT_MUW,MedUni Wien Biobank,Biobanks,bbmri-eric:ID:AT_MUW,biobank 2+coll -> Biobanks holding 343,auto,,False,part of legal entity 'Medical University of Vienna',True,"[GeoCoordsWithinCountry] coordinates present but unparseable: lat='48,220937', lon='16,345041'",distinct_collections,0.03,
Biobanks,bbmri-eric:ID:BE_GZA,GZA biobank,Biobanks,bbmri-eric:ID:BE_GZA,biobank 2+coll -> Biobanks holding 2,auto,,False,part of legal entity 'To be filled in',False,,collections_are_facts,1.0,
Biobanks,bbmri-eric:ID:BE_ITG,ITG Biobank,Collections,bbmri-eric:ID:BE_ITG:collection:ITGcollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:CH_USZ,Universitätsspital Zürich,Biobanks,bbmri-eric:ID:CH_USZ,biobank 2+coll -> Biobanks holding 3,auto,,False,,False,,distinct_collections,0.0,
Biobanks,bbmri-eric:ID:FR_BB-0033-00025,Biobanque du CHU de Nice,Collections,bbmri-eric:ID:FR_BB-0033-00025:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:BE_Jessa,Jessa Biobank,Collections,bbmri-eric:ID:BE_Jessa:collection:all_samples,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
