name,label,order,definition,parent,ontologyTermURI
Sociodemographics: Other,Other,25,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000031076
Sociodemographics: Not captured,Not captured,26,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000031078
Lifestyle,,27,,,
Tobacco use,,28,,Lifestyle,https://spor.ema.europa.eu/rmswi/#/lists/200000030156/terms/200000030157
Alcohol use,,29,,Lifestyle,https://spor.ema.europa.eu/rmswi/#/lists/200000030156/terms/200000030158
Frequency of exercise,,30,,Lifestyle,https://spor.ema.europa.eu/rmswi/#/lists/200000030156/terms/200000030159
Diet,,31,,Lifestyle,https://spor.ema.europa.eu/rmswi/#/lists/200000030156/terms/200000030160
Lifestyle: Other,,32,Other,Lifestyle,https://spor.ema.europa.eu/rmswi/#/lists/200000030156/terms/200000031081
Lifestyle: Not captured,,33,Not captured,Lifestyle,https://spor.ema.europa.eu/rmswi/#/lists/200000030156/terms/200000031082
Clinical data,,34,,,
Disease data,,35,Does the data source collect information on a specific disease?,Clinical data,
Diagnostic codes included,,36,"Is information on diagnostic codes or medical events included, select all vocabulary items that apply",Clinical data,
Diagnostic codes vocabulary,,37,,Clinical data,
Diagnostic codes vocabulary: ICD-9,ICD-9,38,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICD-10,ICD-10,39,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICD,ICD,40,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICD-11,ICD-11,41,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICD-10-CM,ICD-10-CM,42,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICD-9-CM,ICD-9-CM,43,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICPC,ICPC,44,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICPC-1,ICPC-1,45,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: ICPC-2,ICPC-2,46,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: HCPCS,HCPCS,47,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: Read,Read,48,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: SNOMED,SNOMED,49,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: SNOMED CT,SNOMED CT,50,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: MedDRA,MedDRA,51,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: OPCS,OPCS,52,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: CCS,CCS,53,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: EDC,EDC,54,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: CPT,CPT,55,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: dm+d,dm+d,56,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: Orphacode,Orphacode,57,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: Orphanet Rare Disease Ontology (ORDO),Orphanet Rare Disease Ontology (ORDO),58,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: Human Phenotype Ontology (HPO),Human Phenotype Ontology (HPO),59,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: OPS,OPS,60,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: OMIM,OMIM,61,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: Not coded (Free text),Not coded (Free text),62,,Diagnostic codes vocabulary,
Diagnostic codes vocabulary: Other,Other,63,,Diagnostic codes vocabulary,
Hospital admission discharge,,64,Is information on hospital admission and/or discharge available?,Clinical data,
ICU admission,,65,Is information on intensive care unit admission available?,Clinical data,
Cause of death,,66,Is cause of death available?,Clinical data,
Cause of death vocabulary,,67,What cause of death vocabulary is used? Select from the following:,Clinical data,
Cause of death vocabulary: ICD-9,ICD-9,68,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032179
Cause of death vocabulary: ICD-10,ICD-10,69,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032180
Cause of death vocabulary: ICD,ICD,70,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032181
Cause of death vocabulary: ICD-11,ICD-11,71,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030108
Cause of death vocabulary: ICD-10-CM,ICD-10-CM,72,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032182
Cause of death vocabulary: ICD-9-CM,ICD-9-CM,73,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032209
Cause of death vocabulary: ICPC,ICPC,74,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030105
Cause of death vocabulary: ICPC-1,ICPC-1,75,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032210
Cause of death vocabulary: ICPC-2,ICPC-2,76,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032211
Cause of death vocabulary: HCPCS,HCPCS,77,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032212
Cause of death vocabulary: Read,Read,78,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030109
Cause of death vocabulary: SNOMED,SNOMED,79,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030110
Cause of death vocabulary: SNOMED CT,SNOMED CT,80,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030111
Cause of death vocabulary: MedDRA,MedDRA,81,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030112
Cause of death vocabulary: OPCS,OPCS,82,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030113
Cause of death vocabulary: CCS,CCS,83,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030114
Cause of death vocabulary: EDC,EDC,84,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000030115
Cause of death vocabulary: CPT,CPT,85,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032213
Cause of death vocabulary: dm+d,dm+d,86,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032214
Cause of death vocabulary: Orphacode,Orphacode,87,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032215
Cause of death vocabulary: Orphanet Rare Disease Ontology (ORDO),Orphanet Rare Disease Ontology (ORDO),88,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032216
Cause of death vocabulary: Human Phenotype Ontology (HPO),Human Phenotype Ontology (HPO),89,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032217
Cause of death vocabulary: Not coded (Free text),Not coded (Free text),90,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032218
Cause of death vocabulary: Other,Other,91,,Cause of death vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030061/terms/200000032219
Rare diseases,,92,Are rare diseases (<1 in 2000 people) captured?,Clinical data,
Prescriptions included,,93,Is information on prescriptions or dispensings of medications included?,Clinical data,
Prescriptions included: ATC,ATC,94,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030121
Prescriptions included: RxNorm,RxNorm,95,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030122
Prescriptions included: EphMRA,EphMRA,96,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030123
Prescriptions included: ALT,ALT,97,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030124
Prescriptions included: DrugBank,DrugBank,98,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030125
Prescriptions included: NDC,NDC,99,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000041060
Prescriptions included: Other,Other,100,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000031091
Prescriptions included: Not coded (Free text),Not coded (Free text),101,,Prescriptions included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000031092
Dispensings included,,102,Is information on prescriptions or dispensings of medications included?,Clinical data,
Dispensings included: ATC,ATC,103,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030121
Dispensings included: RxNorm,RxNorm,104,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030122
Dispensings included: EphMRA,EphMRA,105,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030123
Dispensings included: ALT,ALT,106,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030124
Dispensings included: DrugBank,DrugBank,107,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000030125
Dispensings included: NDC,NDC,108,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000041060
Dispensings included: Other,Other,109,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000031091
Dispensings included: Not coded (Free text),Not coded (Free text),110,,Dispensings included,https://spor.ema.europa.eu/rmswi/#/lists/200000029972/terms/200000031092
Product information,,111,Is product information available? Select all items that apply,Clinical data,
Brand name,,112,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030201
Batch number,,113,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030202
Formulation,,114,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030203
Strength,,115,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030204
Package size,,116,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030205
Dose,,117,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030206
Dosage regime,,118,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030207
Route of administration,,119,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030208
Active ingredient(s),,120,,Product information,https://spor.ema.europa.eu/rmswi/#/lists/200000030191/terms/200000030209
Product information vocabulary,,121,Is medicinal product information available? Select all items vocabularies that apply,Clinical data,
Product information vocabulary: ART 57,ART 57,122,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000030166
Product information vocabulary: IFA GmbH,IFA GmbH,123,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000030167
Product information vocabulary: EQDM,EQDM,124,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000030168
Product information vocabulary: SPN,SPN,125,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000030169
Product information vocabulary: MTHSPL,MTHSPL,126,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000030170
Product information vocabulary: SNOMED,SNOMED,127,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031097
Product information vocabulary: ATC,ATC,128,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031098
Product information vocabulary: WHO Drug,WHO Drug,129,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031099
Product information vocabulary: AIC,AIC,130,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031100
Product information vocabulary: CNF,CNF,131,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031101
Product information vocabulary: DIN,DIN,132,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031103
Product information vocabulary: Gemscript,Gemscript,133,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031104
Product information vocabulary: dm+d,dm+d,134,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031105
Product information vocabulary: Z-index (G-standard),Z-index (G-standard),135,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031106
Product information vocabulary: GTIN,GTIN,136,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031107
Product information vocabulary: NDC,NDC,137,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031108
Product information vocabulary: RxNorm,RxNorm,138,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031109
Product information vocabulary: NDF,NDF,139,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000032231
Product information vocabulary: Not coded (Free text),Not coded (Free text),140,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031110
Product information vocabulary: Other,Other,141,,Product information vocabulary,https://spor.ema.europa.eu/rmswi/#/lists/200000030165/terms/200000031111
ATMP,,142,Is information on advanced therapy medicinal products included?,Clinical data,
Contraception,,143,Is information on contraceptives included?,,
Indication for use,,144,"If medicines information is captured, is the indication for use recorded? ",Clinical data,
Indication vocabulary,,145,Select all items vocabularies that apply,,
Indication vocabulary: ICD-9,ICD-9,146,,Indication vocabulary,
Indication vocabulary: ICD-10,ICD-10,147,,Indication vocabulary ,
Indication vocabulary: ICD,ICD,148,,Indication vocabulary,
Indication vocabulary: ICD-11,ICD-11,149,,Indication vocabulary,
Indication vocabulary: ICD-10-CM,ICD-10-CM,150,,Indication vocabulary,
Indication vocabulary: ICD-9-CM,ICD-9-CM,151,,Indication vocabulary,
Indication vocabulary: ICPC,ICPC,152,,Indication vocabulary,
Indication vocabulary: ICPC-1,ICPC-1,153,,Indication vocabulary,
Indication vocabulary: ICPC-2,ICPC-2,154,,Indication vocabulary,
Indication vocabulary: HCPCS,HCPCS,155,,Indication vocabulary,
Indication vocabulary: Read,Read,156,,Indication vocabulary,
Indication vocabulary: SNOMED,SNOMED,157,,Indication vocabulary,
Indication vocabulary: SNOMED CT,SNOMED CT,158,,Indication vocabulary,
Indication vocabulary: MedDRA,MedDRA,159,,Indication vocabulary,
Indication vocabulary: OPCS,OPCS,160,,Indication vocabulary,
Indication vocabulary: CCS,CCS,161,,Indication vocabulary,
Indication vocabulary: EDC,EDC,162,,Indication vocabulary,
Indication vocabulary: CPT,CPT,163,,Indication vocabulary,
Indication vocabulary: dm+d,dm+d,164,,Indication vocabulary,
Indication vocabulary: Orphacode,Orphacode,165,,Indication vocabulary,
Indication vocabulary: Orphanet Rare Disease Ontology (ORDO),Orphanet Rare Disease Ontology (ORDO),166,,Indication vocabulary,
Indication vocabulary: Human Phenotype Ontology (HPO),Human Phenotype Ontology (HPO),167,,Indication vocabulary,
Indication vocabulary: Not coded (Free text),Not coded (Free text),168,,Indication vocabulary,
Indication vocabulary: Other,Other,169,,Indication vocabulary,
Administration vaccines,,170,Administration vaccines included,,
Administration other injectable medicines,,171,,,
Medical devices,,172,Is information on medical devices included?,Clinical data,
Procedures,,173,"Is information on procedures (e.g., diagnostic tests, therapeutic, surgical) included?",Clinical data,
Procedures vocabulary,,174,"If information on medical procedures is captured, select all vocabularies that apply",Clinical data,
Procedures vocabulary: ICD-9,ICD-9,175,,Procedures vocabulary,
Procedures vocabulary: ICD-10,ICD-10,176,,Procedures vocabulary,
Procedures vocabulary: ICD,ICD,177,,Procedures vocabulary,
Procedures vocabulary: ICD-11,ICD-11,178,,Procedures vocabulary,
Procedures vocabulary: ICD-10-CM,ICD-10-CM,179,,Procedures vocabulary,
Procedures vocabulary: ICD-9-CM,ICD-9-CM,180,,Procedures vocabulary,
Procedures vocabulary: ICPC,ICPC,181,,Procedures vocabulary,
Procedures vocabulary: ICPC-1,ICPC-1,182,,Procedures vocabulary,
Procedures vocabulary: ICPC-2,ICPC-2,183,,Procedures vocabulary,
Procedures vocabulary: HCPCS,HCPCS,184,,Procedures vocabulary,
Procedures vocabulary: Read,Read,185,,Procedures vocabulary,
Procedures vocabulary: SNOMED,SNOMED,186,,Procedures vocabulary,
Procedures vocabulary: SNOMED CT,SNOMED CT,187,,Procedures vocabulary,
Procedures vocabulary: MedDRA,MedDRA,188,,Procedures vocabulary,
Procedures vocabulary: OPCS,OPCS,189,,Procedures vocabulary,
Procedures vocabulary: CCS,CCS,190,,Procedures vocabulary,
Procedures vocabulary: EDC,EDC,191,,Procedures vocabulary,
Procedures vocabulary: CPT,CPT,192,,Procedures vocabulary,
Procedures vocabulary: dm+d,dm+d,193,,Procedures vocabulary,
Procedures vocabulary: Orphacode,Orphacode,194,,Procedures vocabulary,
Procedures vocabulary: Orphanet Rare Disease Ontology (ORDO),Orphanet Rare Disease Ontology (ORDO),195,,Procedures vocabulary,
Procedures vocabulary: Human Phenotype Ontology (HPO),Human Phenotype Ontology (HPO),196,,Procedures vocabulary,
Procedures vocabulary: Not coded (Free text),Not coded (Free text),197,,Procedures vocabulary,
Procedures vocabulary: Other,Other,198,,Procedures vocabulary,
Clinical measures,,199,"Is information on clinical measures included (e.g., BMI, blood pressure)?",Clinical data,
Healthcare centre,,200,"Is information on the healthcare centre (e.g., pharmacy, general practice, hospital) available?",,
Healthcare provider,,201,"Is information on the person providing healthcare (e.g., physician, pharmacist, specialist) available?",,
Genetic data,,202,Is genotyping information available? Select all vocabularies that apply,,
OGG,,203,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000030150
FG,,204,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000030151
GO,,205,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000030152
EGO,,206,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000030153
SOPHARM,,207,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000030154
PHARE,,208,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000030155
HGVS,,209,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000041064
Genetic data: OMIM,OMIM,210,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000041065
HGNC,,211,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000031072
Genetic data: Other,Other,212,,Genetic data,https://spor.ema.europa.eu/rmswi/#/lists/200000030149/terms/200000031070
Biomarker data,,213,"Is biomarker information available, select all vocabularies that apply",,
BMO,,214,,Biomarker data,https://spor.ema.europa.eu/rmswi/#/lists/200000029928/terms/200000029933
SMASH,,215,,Biomarker data,https://spor.ema.europa.eu/rmswi/#/lists/200000029928/terms/200000029934
FOBI,,216,,Biomarker data,https://spor.ema.europa.eu/rmswi/#/lists/200000029928/terms/200000029935
HPO,,217,,Biomarker data,https://spor.ema.europa.eu/rmswi/#/lists/200000029928/terms/200000029936
Biomarker data: Other,Other,218,,Biomarker data,https://spor.ema.europa.eu/rmswi/#/lists/200000029928/terms/200000031074
Patient-generated data,,219,"Is patient-generated information (e.g.,from wearable devices) available?",,
Patient-reported data,,220,Are patient-reported outcomes (e.g quality of life) available?,,
Quality of life,,221,Are quality of life measures available? Select all that apply,,
AQoL-8D,,222,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030222
QOLS,,223,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030223
MQOL,,224,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030224
MQOL-E,,225,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030225
HRQOL,,226,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030226
WHOQOL,,227,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030227
EQ5D,,228,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030228
15D,,229,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030229
SF-36,,230,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/2200000030210/terms/200000030230
SF-6D,,231,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030231
SF-12,,232,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000041061
HUI,,233,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000030232
Quality of life: Not captured,Not captured,234,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000031093
Quality of life: Not coded (Free text),Not coded (Free text),235,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000031094
Quality of life: Other,Other,236,,Quality of life,https://spor.ema.europa.eu/rmswi/#/lists/200000030210/terms/200000031095
Health care costs,,237,Is information on costs of healthcare available?,,
Free text,,238,Is free text information available?,,
Care setting,,239,,,
"Primary care - GP, community pharmacist level",,240,,Care setting,https://spor.ema.europa.eu/rmswi/#/lists/200000029968/terms/200000029982
Primary care - specialist level (e.g. paediatricians),,241,,Care setting,https://spor.ema.europa.eu/rmswi/#/lists/200000029968/terms/200000029983
Secondary care - specialist level (ambulatory),,242,,Care setting,https://spor.ema.europa.eu/rmswi/#/lists/200000029968/terms/200000029984
Hospital inpatient care,,243,,Care setting,https://spor.ema.europa.eu/rmswi/#/lists/200000029968/terms/200000029985
Hospital outpatient care,,244,,Care setting,https://spor.ema.europa.eu/rmswi/#/lists/200000029968/terms/200000029986
Care setting: Other,Other,245,,Care setting,https://spor.ema.europa.eu/rmswi/#/lists/200000029968/terms/200000031055
Population pregnancy and neonates,,246,,,
