name,parent,codesystem,code,ontologyTermURI,definition
Transcription factors and regulatory sites,Gene expression,edam,EDAM_0749,http://edamontology.org/topic_0749,"Proteins that bind to DNA and control transcription of DNA to mRNA (transcription factors) and also transcriptional regulatory sites, elements and regions (such as promoters, enhancers, silencers and boundary elements / insulators) in nucleotide sequences.; This includes CpG rich regions (isochores) in a nucleotide sequence.; This includes promoters, CAAT signals, TATA signals, -35 signals, -10 signals, GC signals, primer binding sites for initiation of transcription or reverse transcription, enhancer, attenuator, terminators and ribosome binding sites.; Transcription factor proteins either promote (as an activator) or block (as a repressor) the binding to DNA of RNA polymerase. Regulatory sites including transcription factor binding site as well as promoters, enhancers, silencers and boundary elements / insulators."
Genetic variation,Molecular genetics,edam,EDAM_0199,http://edamontology.org/topic_0199,"Stable, naturally occurring mutations in a nucleotide sequence including alleles, naturally occurring mutations such as single base nucleotide substitutions, deletions and insertions, RFLPs and other polymorphisms."
DNA polymorphism,Genetic variation,edam,EDAM_2885,http://edamontology.org/topic_2885,"DNA polymorphism.; Includes microsatellite polymorphism in a DNA sequence. A microsatellite polymorphism is a very short subsequence that is repeated a variable number of times between individuals. These repeats consist of the nucleotides cytosine and adenosine.; Includes restriction fragment length polymorphisms (RFLP) in a DNA sequence. An RFLP is defined by the presence or absence of a specific restriction site of a bacterial restriction enzyme.; Includes single nucleotide polymorphisms (SNP) and associated data, for example, the discovery and annotation of SNPs. A SNP is a DNA sequence variation where a single nucleotide differs between members of a species or paired chromosomes in an individual.; Includes variable number of tandem repeat (VNTR) polymorphism in a DNA sequence. VNTRs occur in non-coding regions of DNA and consists sub-sequence that is repeated a multiple (and varied) number of times."
DNA mutation,Genetic variation,edam,EDAM_2533,http://edamontology.org/topic_2533,DNA mutation.
Structural variation,Genetic variation,edam,EDAM_3175,http://edamontology.org/topic_3175,"Variation in chromosome structure including microscopic and submicroscopic types of variation such as deletions, duplications, copy-number variants, insertions, inversions and translocations."
Copy number variation,Structural variation,edam,EDAM_3958,http://edamontology.org/topic_3958,"A DNA structural variation, specifically a duplication or deletion event, resulting in sections of the genome to be repeated, or the number of repeats in the genome to vary between individuals."
Gene structure,Molecular genetics,edam,EDAM_0114,http://edamontology.org/topic_0114,"Gene structure, regions which make an RNA product and features such as promoters, coding regions, gene fusion, splice sites etc.; This includes the study of promoters, coding regions etc.; This includes operons (operators, promoters and genes) from a bacterial genome. For example the operon leader and trailer gene, gene composition of the operon and associated information."
Gene transcripts,Gene structure,edam,EDAM_3512,http://edamontology.org/topic_3512,"Transcription of DNA into RNA and features of a messenger RNA (mRNA) molecules including precursor RNA, primary (unprocessed) transcript and fully processed molecules.; This includes 5'untranslated region (5'UTR), coding sequences (CDS), exons, intervening sequences (intron) and 3'untranslated regions (3'UTR).; This includes Introns, and protein-coding regions including coding sequences (CDS), exons, translation initiation sites and open reading frames. Also expressed sequence tag (EST) or complementary DNA (cDNA) sequences.; This includes coding sequences for a signal or transit peptide. A signal peptide coding sequence encodes an N-terminal domain of a secreted protein, which is involved in attaching the polypeptide to a membrane leader sequence. A transit peptide coding sequence encodes an N-terminal domain of a nuclear-encoded organellar protein; which is involved in import of the protein into the organelle.; This includes regions or sites in a eukaryotic and eukaryotic viral RNA sequence which directs endonuclease cleavage or polyadenylation of an RNA transcript. A polyA signal is required for endonuclease cleavage of an RNA transcript that is followed by polyadenylation. A polyA site is a site on an RNA transcript to which adenine residues will be added during post-transcriptional polyadenylation."
Mobile genetic elements,Gene structure,edam,EDAM_0798,http://edamontology.org/topic_0798,"Mobile genetic elements, such as transposons, Plasmids, Bacteriophage elements and Group II introns."
"Functional, regulatory and non-coding RNA",Gene structure,edam,EDAM_0659,http://edamontology.org/topic_0659,"Non-coding or functional RNA sequences, including regulatory RNA sequences, ribosomal RNA (rRNA) and transfer RNA (tRNA).; Non-coding RNA includes piwi-interacting RNA (piRNA), small nuclear RNA (snRNA) and small nucleolar RNA (snoRNA). Regulatory RNA includes microRNA (miRNA) - short single stranded RNA molecules that regulate gene expression, and small interfering RNA (siRNA)."
Cytogenetics,Molecular genetics,edam,EDAM_3959,http://edamontology.org/topic_3959,"The branch of genetics concerned with the relationships between chromosomes and cellular behaviour, especially during mitosis and meiosis."
Gene and protein families,Molecular genetics,edam,EDAM_0623,http://edamontology.org/topic_0623,"Particular gene(s), gene family or other gene group or system and their encoded proteins.Primarily the classification of proteins (from sequence or structural data) into clusters, groups, families etc., curation of a particular protein or protein family, or any other proteins that have been classified as members of a common group.; A protein families database might include the classifier (e.g. a sequence profile) used to build the classification."
Immunoproteins and antigens,Gene and protein families,edam,EDAM_2830,http://edamontology.org/topic_2830,"Immunity-related proteins and their ligands.; This includes T cell receptors (TR), major histocompatibility complex (MHC), immunoglobulin superfamily (IgSF) / antibodies, major histocompatibility complex superfamily (MhcSF), etc."""
Immunogenetics,Genetics,edam,EDAM_3930,http://edamontology.org/topic_3930,"A biomedical field that bridges immunology and genetics, to study the genetic basis of the immune system.; This involves the study of often complex genetic traits underlying diseases involving defects in the immune system. For example, identifying target genes for therapeutic approaches, or genetic variations involved in immunological pathology."
Genetic engineering,Genetics,edam,EDAM_3912,http://edamontology.org/topic_3912,The application of biotechnology to directly manipulate an organism's genes.
Genotype and phenotype,Genetics,edam,EDAM_0625,http://edamontology.org/topic_0625,"The study of genetic constitution of a living entity, such as an individual, and organism, a cell and so on, typically with respect to a particular observable phenotypic traits, or resources concerning such traits, which might be an aspect of biochemistry, physiology, morphology, anatomy, development and so on."
Quantitative genetics,Genotype and phenotype,edam,EDAM_3055,http://edamontology.org/topic_3055,The genes and genetic mechanisms such as Mendelian inheritance that underly continuous phenotypic traits (such as height or weight).
Epistasis,Genotype and phenotype,edam,EDAM_3974,http://edamontology.org/topic_3974,"Epistasis can be defined as the ability of the genotype at one locus to supersede the phenotypic effect of a mutation at another locus. This interaction between genes can occur at different level: gene expression, protein levels, etc..."
Molecular evolution,Genotype and phenotype,edam,EDAM_3945,http://edamontology.org/topic_3945,"The study of the process and mechanism of change of biomolecules such as DNA, RNA, and proteins across generations."
Phenomics,Genotype and phenotype,edam,EDAM_3298,http://edamontology.org/topic_3298,"Phenomes, or the study of the change in phenotype (the physical and biochemical traits of organisms) in response to genetic and environmental factors."
Epigenetics,Genetics,edam,EDAM_3295,http://edamontology.org/topic_3295,"Topic concerning the study of heritable changes, for example in gene expression or phenotype, caused by mechanisms other than changes in the DNA sequence.; This includes sub-topics such as histone modification and DNA methylation (methylation sites and analysis, for example of patterns and profiles of DNA methylation in a population, tissue etc.)"
Genomic imprinting,Epigenetics,edam,EDAM_4037,http://edamontology.org/topic_4037,"Genomic imprinting is a gene regulation mechanism by which a subset of genes are expressed from one of the two parental chromosomes only. Imprinted genes are organized in clusters, their silencing/activation of the imprinted loci involves epigenetic marks (DNA methylation, etc) and so-called imprinting control regions (ICR). It has been described in mammals, but also plants and insects."
Epigenomics,Epigenetics,edam,EDAM_3173,http://edamontology.org/topic_3173,"The study of the epigenetic modifications of a whole cell, tissue, organism etc.; Epigenetics concerns the heritable changes in gene expression owing to mechanisms other than DNA sequence variation."
Molecular biology,Biology,edam,EDAM_3047,http://edamontology.org/topic_3047,"The molecular basis of biological activity, particularly the macromolecules (e.g. proteins and nucleic acids) that are essential to life."
Human biology,Biology,edam,EDAM_2815,http://edamontology.org/topic_2815,"The study of human beings in general, including the human genome and proteome."
Marine biology,Biology,edam,EDAM_3387,http://edamontology.org/topic_3387,The study of organisms in the ocean or brackish waters.
Systems biology,Biology,edam,EDAM_2259,http://edamontology.org/topic_2259,The holistic modelling and analysis of complex biological systems and the interactions therein.; This includes databases of models and methods to construct or analyse a model.
Cell biology,Biology,edam,EDAM_2229,http://edamontology.org/topic_2229,"Cells, such as key genes and proteins involved in the cell cycle."
Structural biology,Biology,edam,EDAM_1317,http://edamontology.org/topic_1317,"The molecular structure of biological molecules, particularly macromolecules such as proteins and nucleic acids.; This includes experimental methods for biomolecular structure determination, such as X-ray crystallography, nuclear magnetic resonance (NMR), circular dichroism (CD) spectroscopy, microscopy etc., including the assignment or modelling of molecular structure from such data."
Neutron diffraction,Structural biology,edam,EDAM_3448,http://edamontology.org/topic_3448,"The study of matter by studying the diffraction pattern from firing neutrons at a sample, typically to determine atomic and/or magnetic structure."
X-ray diffraction,Structural biology,edam,EDAM_2828,http://edamontology.org/topic_2828,"The study of matter and their structure by means of the diffraction of X-rays, typically the diffraction pattern caused by the regularly spaced atoms of a crystalline sample."
Structural genomics,Structural biology,edam,EDAM_0122,http://edamontology.org/topic_0122,The elucidation of the three dimensional structure for all (available) proteins in a given organism.
Electron microscopy,Structural biology,edam,EDAM_0611,http://edamontology.org/topic_0611,"The study of matter by studying the interference pattern from firing electrons at a sample, to analyse structures at resolutions higher than can be achieved using light."
Cryogenic electron microscopy,Electron microscopy,edam,EDAM_4017,http://edamontology.org/topic_4017,A method for studying biomolecules and other structures at very low (cryogenic) temperature using electron microscopy.
NMR,Structural biology,edam,EDAM_0593,http://edamontology.org/topic_0593,"An analytical technique that exploits the magenetic properties of certain atomic nuclei to provide information on the structure, dynamics, reaction state and chemical environment of molecules."
Chemical biology,Biology,edam,EDAM_3369,http://edamontology.org/topic_3369,The use of synthetic chemistry to study and manipulate biological systems.
Biomarkers,Biology,edam,EDAM_3360,http://edamontology.org/topic_3360,"Objective indicators of biological state often used to assess health, and determinate treatment."
Biophysics,Biology,edam,EDAM_3306,http://edamontology.org/topic_3306,The use of physics to study biological system.
Virology,Biology,edam,EDAM_0781,http://edamontology.org/topic_0781,"Study of viruses, e.g. sequence and structural data, interactions of viral proteins, or a viral genome including molecular sequences, genes and annotation."
Plant biology,Biology,edam,EDAM_0780,http://edamontology.org/topic_0780,"Plants, e.g. information on a specific plant genome including molecular sequences, genes and annotation.; The resource may be specific to a plant, a group of plants or all plants."
Model organisms,Biology,edam,EDAM_0621,http://edamontology.org/topic_0621,"A specific organism, or group of organisms, used to study a particular aspect of biology.; This may include information on the genome (including molecular sequences and map, genes and annotation), proteome, as well as more general information about an organism."
Microbiology,Biology,edam,EDAM_3301,http://edamontology.org/topic_3301,The biology of microorganisms.
Microbial ecology,Microbiology,edam,EDAM_3697,http://edamontology.org/topic_3697,The ecology of microorganisms including their relationship with one another and their environment.
Metabarcoding,Microbial ecology,edam,EDAM_4038,http://edamontology.org/topic_4038,"Metabarcoding is the barcoding of (environmental) DNA or RNA to identify multiple taxa from the same sample.; Typically, high-throughput sequencing is performed and the resulting sequence reads are matched to DNA barcodes in a reference database."
Antimicrobial resistance,Microbiology,edam,EDAM_4013,http://edamontology.org/topic_4013,Microbial mechanisms for protecting microorganisms against antimicrobial agents.
Evolutionary biology,Biology,edam,EDAM_3299,http://edamontology.org/topic_3299,"The evolutionary processes, from the genetic to environmental scale, that produced life in all its diversity."
Molecular evolution,Evolutionary biology,edam,EDAM_3945,http://edamontology.org/topic_3945,"The study of the process and mechanism of change of biomolecules such as DNA, RNA, and proteins across generations."
Taxonomy,Evolutionary biology,edam,EDAM_0637,http://edamontology.org/topic_0637,"Organism classification, identification and naming."
Phylogeny,Evolutionary biology,edam,EDAM_0084,http://edamontology.org/topic_0084,"The study of evolutionary relationships amongst organisms.; This includes diverse phylogenetic methods, including phylogenetic tree construction, typically from molecular sequence or morphological data, methods that simulate DNA sequence evolution, a phylogenetic tree or the underlying data, or which estimate or use molecular clock and stratigraphic (age) data, methods for studying gene evolution etc."
Cladistics,Phylogeny,edam,EDAM_3944,http://edamontology.org/topic_3944,"The biological classification of organisms by categorizing them in groups (""clades"") based on their most recent common ancestor."
Phylogenetics,Phylogeny,edam,EDAM_3293,http://edamontology.org/topic_3293,The study of evolutionary relationships amongst organisms from analysis of genetic information (typically gene or protein sequences).
Phenomics,Evolutionary biology,edam,EDAM_3298,http://edamontology.org/topic_3298,"Phenomes, or the study of the change in phenotype (the physical and biochemical traits of organisms) in response to genetic and environmental factors."
Biotechnology,Biology,edam,EDAM_3297,http://edamontology.org/topic_3297,"The exploitation of biological process, structure and function for industrial purposes, for example the genetic manipulation of microorganisms for the antibody production."
Synthetic biology,Biotechnology,edam,EDAM_3895,http://edamontology.org/topic_3895,The application of multi-disciplinary science and technology for the construction of artificial biological systems for diverse applications.
Medical biotechnology,Biotechnology,edam,EDAM_3576,http://edamontology.org/topic_3576,Biotechnology applied to the medical sciences and the development of medicines.
Bioengineering,Biotechnology,edam,EDAM_3398,http://edamontology.org/topic_3398,The application of biological concepts and methods to the analytical and synthetic methodologies of engineering.
Biomaterials,Biotechnology,edam,EDAM_3368,http://edamontology.org/topic_3368,"Any matter, surface or construct that interacts with a biological system."
Microfluidics,Biotechnology,edam,EDAM_4030,http://edamontology.org/topic_4030,"Interdisplinary study of behavior, precise control, and manipulation of low (microlitre) volume fluids in constrained space."
Metabolic engineering,Biotechnology,edam,EDAM_3939,http://edamontology.org/topic_3939,Biotechnology approach that seeks to optimize cellular genetic and regulatory processes in order to increase the cells' production of a certain substance.
Genetic engineering,Biotechnology,edam,EDAM_3912,http://edamontology.org/topic_3912,The application of biotechnology to directly manipulate an organism's genes.
Biochemistry,Biology,edam,EDAM_3292,http://edamontology.org/topic_3292,Chemical substances and physico-chemical processes and that occur within living organisms.
Microfluidics,Biochemistry,edam,EDAM_4030,http://edamontology.org/topic_4030,"Interdisplinary study of behavior, precise control, and manipulation of low (microlitre) volume fluids in constrained space."
Omics,,edam,EDAM_3391,http://edamontology.org/topic_3391,"The collective characterisation and quantification of pools of biological molecules that translate into the structure, function, and dynamics of an organism or organisms."
Metabolomics,Omics,edam,EDAM_3172,http://edamontology.org/topic_3172,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism."
Lipidomics,Metabolomics,edam,EDAM_0153,http://edamontology.org/topic_0153,Lipids and their structures.
Proteomics,Omics,edam,EDAM_0121,http://edamontology.org/topic_0121,"Protein and peptide identification, especially in the study of whole proteomes of organisms.; Includes metaproteomics: proteomics analysis of an environmental sample.; Proteomics includes any methods (especially high-throughput) that separate, characterize and identify expressed proteins such as mass spectrometry, two-dimensional gel electrophoresis and protein microarrays, as well as in-silico methods that perform proteolytic or mass calculations on a protein sequence and other analyses of protein production data, for example in different cells or tissues."
Multiomics,Omics,edam,EDAM_4021,http://edamontology.org/topic_4021,"Multiomics concerns integration of data from multiple omics (e.g. transcriptomics, proteomics, epigenomics)."
Immunomics,Omics,edam,EDAM_3967,http://edamontology.org/topic_3967,"The study of immune system as a whole, its regulation and response to pathogens using genome-wide approaches."
Fluxomics,Omics,edam,EDAM_3955,http://edamontology.org/topic_3955,"Experimental approaches to determine the rates of metabolic reactions - the metabolic fluxes - within a biological entity.; The ""fluxome"" is the complete set of metabolic fluxes in a cell, and is a dynamic aspect of phenotype."
Molecular evolution,Omics,edam,EDAM_3945,http://edamontology.org/topic_3945,"The study of the process and mechanism of change of biomolecules such as DNA, RNA, and proteins across generations."
Genomics,Omics,edam,EDAM_0622,http://edamontology.org/topic_0622,"Whole genomes of one or more organisms, or genomes in general, such as meta-information on genomes, genome projects, gene names etc."
Population genomics,Genomics,edam,EDAM_3796,http://edamontology.org/topic_3796,Large-scale study (typically comparison) of DNA sequences of populations.
Pharmacogenomics,Genomics,edam,EDAM_0208,http://edamontology.org/topic_0208,"The influence of genotype on drug response, for example by correlating gene expression or single-nucleotide polymorphisms with drug efficacy or toxicity."
Genetic variation,Genomics,edam,EDAM_0199,http://edamontology.org/topic_0199,"Stable, naturally occurring mutations in a nucleotide sequence including alleles, naturally occurring mutations such as single base nucleotide substitutions, deletions and insertions, RFLPs and other polymorphisms."
DNA polymorphism,Genetic variation,edam,EDAM_2885,http://edamontology.org/topic_2885,"DNA polymorphism.; Includes microsatellite polymorphism in a DNA sequence. A microsatellite polymorphism is a very short subsequence that is repeated a variable number of times between individuals. These repeats consist of the nucleotides cytosine and adenosine.; Includes restriction fragment length polymorphisms (RFLP) in a DNA sequence. An RFLP is defined by the presence or absence of a specific restriction site of a bacterial restriction enzyme.; Includes single nucleotide polymorphisms (SNP) and associated data, for example, the discovery and annotation of SNPs. A SNP is a DNA sequence variation where a single nucleotide differs between members of a species or paired chromosomes in an individual.; Includes variable number of tandem repeat (VNTR) polymorphism in a DNA sequence. VNTRs occur in non-coding regions of DNA and consists sub-sequence that is repeated a multiple (and varied) number of times."
DNA mutation,Genetic variation,edam,EDAM_2533,http://edamontology.org/topic_2533,DNA mutation.
Structural variation,Genetic variation,edam,EDAM_3175,http://edamontology.org/topic_3175,"Variation in chromosome structure including microscopic and submicroscopic types of variation such as deletions, duplications, copy-number variants, insertions, inversions and translocations."
Copy number variation,Structural variation,edam,EDAM_3958,http://edamontology.org/topic_3958,"A DNA structural variation, specifically a duplication or deletion event, resulting in sections of the genome to be repeated, or the number of repeats in the genome to vary between individuals."
Phylogenomics,Genomics,edam,EDAM_0194,http://edamontology.org/topic_0194,"The integrated study of evolutionary relationships and whole genome data, for example, in the analysis of species trees, horizontal gene transfer and evolutionary reconstruction."
Comparative genomics,Genomics,edam,EDAM_0797,http://edamontology.org/topic_0797,"The study (typically comparison) of the sequence, structure or function of multiple genomes."
Structural genomics,Genomics,edam,EDAM_0122,http://edamontology.org/topic_0122,The elucidation of the three dimensional structure for all (available) proteins in a given organism.
Transcriptomics,Genomics,edam,EDAM_3308,http://edamontology.org/topic_3308,"The analysis of transcriptomes, or a set of all the RNA molecules in a specific cell, tissue etc."
Ribosome Profiling,Transcriptomics,edam,EDAM_4027,http://edamontology.org/topic_4027,"With ribosome profiling, ribosome-protected mRNA fragments are analyzed with RNA-seq techniques leading to a genome-wide measurement of the translation landscape."
Metatranscriptomics,Transcriptomics,edam,EDAM_3941,http://edamontology.org/topic_3941,The study of microbe gene expression within natural environments (i.e. the metatranscriptome).; Metatranscriptomics methods can be used for whole gene expression profiling of complex microbial communities.
Paleogenomics,Genomics,edam,EDAM_3943,http://edamontology.org/topic_3943,The reconstruction and analysis of genomic information in extinct species.
Proteogenomics,Genomics,edam,EDAM_3922,http://edamontology.org/topic_3922,"A field of biological research focused on the discovery and identification of peptides, typically by comparing mass spectra against a protein database."
Functional genomics,Genomics,edam,EDAM_0085,http://edamontology.org/topic_0085,"The study of gene or protein functions and their interactions in totality in a given organism, tissue, cell etc."
Metagenomics,Genomics,edam,EDAM_3174,http://edamontology.org/topic_3174,"The study of genetic material recovered from environmental samples, and associated environmental data."
Epigenomics,Genomics,edam,EDAM_3173,http://edamontology.org/topic_3173,"The study of the epigenetic modifications of a whole cell, tissue, organism etc.; Epigenetics concerns the heritable changes in gene expression owing to mechanisms other than DNA sequence variation."
Phenomics,Omics,edam,EDAM_3298,http://edamontology.org/topic_3298,"Phenomes, or the study of the change in phenotype (the physical and biochemical traits of organisms) in response to genetic and environmental factors."
Biomedical science,,edam,EDAM_3344,http://edamontology.org/topic_3344,Topic concerning biological science that is (typically) performed in the context of medicine.
Anatomy,Biomedical science,edam,EDAM_3067,http://edamontology.org/topic_3067,The form and function of the structures of living organisms.
Regenerative medicine,Biomedical science,edam,EDAM_3395,http://edamontology.org/topic_3395,Biomedical approaches to clinical interventions that involve the use of stem cells.
Nutritional science,Biomedical science,edam,EDAM_3390,http://edamontology.org/topic_3390,"The study of the effects of food components on the metabolism, health, performance and disease resistance of humans and animals. It also includes the study of human behaviours related to food choices."
Laboratory animal science,Biomedical science,edam,EDAM_3386,http://edamontology.org/topic_3386,The use of animals and alternatives in experimental research.
Animal study,Laboratory animal science,edam,EDAM_3679,http://edamontology.org/topic_3679,The design of an experiment involving non-human animals.
Medicines research and development,Biomedical science,edam,EDAM_3376,http://edamontology.org/topic_3376,"The discovery, development and approval of medicines."
Regulatory affairs,Medicines research and development,edam,EDAM_3394,http://edamontology.org/topic_3394,"The protection of public health by controlling the safety and efficacy of products in areas including pharmaceuticals, veterinary medicine, medical devices, pesticides, agrochemicals, cosmetics, and complementary medicines."
Quality affairs,Medicines research and development,edam,EDAM_3393,http://edamontology.org/topic_3393,The processes that need to be in place to ensure the quality of products for human or animal use.
Preclinical and clinical studies,Medicines research and development,edam,EDAM_3379,http://edamontology.org/topic_3379,"The testing of new medicines, vaccines or procedures on animals (preclinical) and humans (clinical) prior to their approval by regulatory authorities."
Safety sciences,Medicines research and development,edam,EDAM_3377,http://edamontology.org/topic_3377,The safety (or lack) of drugs and other medical interventions.
Toxicology,Safety sciences,edam,EDAM_2840,http://edamontology.org/topic_2840,Toxins and the adverse effects of these chemical substances on living organisms.
Pharmacovigilance,Safety sciences,edam,EDAM_3378,http://edamontology.org/topic_3378,"The detection, assessment, understanding and prevention of adverse effects of medicines.; Pharmacovigilence concerns safety once a drug has gone to market."
Drug metabolism,Medicines research and development,edam,EDAM_3375,http://edamontology.org/topic_3375,The study of how a drug interacts with the body.
Biotherapeutics,Medicines research and development,edam,EDAM_3374,http://edamontology.org/topic_3374,The process of formulating and administering a pharmaceutical compound to achieve a therapeutic effect.
Drug development,Medicines research and development,edam,EDAM_3373,http://edamontology.org/topic_3373,The process of bringing a new drug to market once a lead compounds has been identified through drug discovery.
Drug discovery,Medicines research and development,edam,EDAM_3336,http://edamontology.org/topic_3336,"The discovery and design of drugs or potential drug compounds.; This includes methods that search compound collections, generate or analyse drug 3D conformations, identify drug targets with structural docking etc."
Medicinal chemistry,Drug discovery,edam,EDAM_0209,http://edamontology.org/topic_0209,"The design and chemical synthesis of bioactive molecules, for example drugs or potential drug compounds, for medicinal purposes.; This includes methods that search compound collections, generate or analyse drug 3D conformations, identify drug targets with structural docking etc."
Compound libraries and screening,Drug discovery,edam,EDAM_3343,http://edamontology.org/topic_3343,"Collections of chemicals, typically for use in high-throughput screening experiments."
Vaccinology,Medicines research and development,edam,EDAM_3966,http://edamontology.org/topic_3966,"The design of vaccines to protect against a particular pathogen, including antigens, delivery systems, and adjuvants to elicit a predictable immune response against specific epitopes."
Pharmacology,Biomedical science,edam,EDAM_0202,http://edamontology.org/topic_0202,The study of drugs and their effects or responses in living systems.
Pharmacogenomics,Pharmacology,edam,EDAM_0208,http://edamontology.org/topic_0208,"The influence of genotype on drug response, for example by correlating gene expression or single-nucleotide polymorphisms with drug efficacy or toxicity."
Immunology,Biomedical science,edam,EDAM_0804,http://edamontology.org/topic_0804,"The application of information technology to immunology such as immunological processes, immunological genes, proteins and peptide ligands, antigens and so on."
Immunoproteins and antigens,Immunology,edam,EDAM_2830,http://edamontology.org/topic_2830,"Immunity-related proteins and their ligands.; This includes T cell receptors (TR), major histocompatibility complex (MHC), immunoglobulin superfamily (IgSF) / antibodies, major histocompatibility complex superfamily (MhcSF), etc."""
Immunoinformatics,Immunology,edam,EDAM_3948,http://edamontology.org/topic_3948,"Immunoinformatics is the field of computational biology that deals with the study of immunoloogical questions. Immunoinformatics is at the interface between immunology and computer science. It takes advantage of computational, statistical, mathematical approaches and enhances the understanding of immunological knowledge.; This involves the study of often complex genetic traits underlying diseases involving defects in the immune system. For example, identifying target genes for therapeutic approaches, or genetic variations involved in immunological pathology."
Immunogenetics,Immunology,edam,EDAM_3930,http://edamontology.org/topic_3930,"A biomedical field that bridges immunology and genetics, to study the genetic basis of the immune system.; This involves the study of often complex genetic traits underlying diseases involving defects in the immune system. For example, identifying target genes for therapeutic approaches, or genetic variations involved in immunological pathology."
Neurobiology,Biomedical science,edam,EDAM_3304,http://edamontology.org/topic_3304,"The study of the nervous system and brain; its anatomy, physiology and function."
Parasitology,Biomedical science,edam,EDAM_3302,http://edamontology.org/topic_3302,The biology of parasites.
Sample collections,Biomedical science,edam,EDAM_3277,http://edamontology.org/topic_3277,Biological samples and specimens.
Clone library,Sample collections,edam,EDAM_3341,http://edamontology.org/topic_3341,"Collections of DNA, including both collections of cloned molecules, and populations of micro-organisms that store and propagate cloned DNA."
Cell culture collection,Sample collections,edam,EDAM_3340,http://edamontology.org/topic_3340,"Collections of cells grown under laboratory conditions, specifically, cells from multi-cellular eukaryotes and especially animal cells."
Microbial collection,Sample collections,edam,EDAM_3339,http://edamontology.org/topic_3339,"Collections of microbial cells including bacteria, yeasts and moulds."
Mouse clinic,Sample collections,edam,EDAM_3338,http://edamontology.org/topic_3338,"Laboratory study of mice, for example, phenotyping, and mutagenesis of mouse cell lines."
Biobank,Sample collections,edam,EDAM_3337,http://edamontology.org/topic_3337,"Repositories of biological samples, typically human, for basic biological and clinical research."
Computational biology,,edam,EDAM_3307,http://edamontology.org/topic_3307,"The development and application of theory, analytical methods, mathematical models and computational simulation of biological systems.; This includes the modeling and treatment of biological processes and systems in mathematical terms (theoretical biology)."
Biomolecular simulation,Computational biology,edam,EDAM_3892,http://edamontology.org/topic_3892,"The study and simulation of molecular conformations using a computational model and computer simulations.; This includes methods such as Molecular Dynamics, Coarse-grained dynamics, metadynamics, Quantum Mechanics, QM/MM, Markov State Models, etc."
