name,parent,codesystem,code,ontologyTermURI,definition
Comparative genomics,Genomics,edam,EDAM_0797,http://edamontology.org/topic_0797,"The study (typically comparison) of the sequence, structure or function of multiple genomes."
Complementary medicine,Medicine,edam,EDAM_3423,http://edamontology.org/topic_3423,Medical therapies that fall beyond the scope of conventional medicine but may be used alongside it in the treatment of disease and ill health.
Drug discovery,Medicines research and development,edam,EDAM_3336,http://edamontology.org/topic_3336,"The discovery and design of drugs or potential drug compounds.; This includes methods that search compound collections, generate or analyse drug 3D conformations, identify drug targets with structural docking etc."
Compound libraries and screening,Drug discovery,edam,EDAM_3343,http://edamontology.org/topic_3343,"Collections of chemicals, typically for use in high-throughput screening experiments."
Copy number variation,,edam,EDAM_3958,http://edamontology.org/topic_3958,"A DNA structural variation, specifically a duplication or deletion event, resulting in sections of the genome to be repeated, or the number of repeats in the genome to vary between individuals."
Critical care medicine,Medicine,edam,EDAM_3403,http://edamontology.org/topic_3403,"The multidisciplinary that cares for patients with acute, life-threatening illness or injury."
Electron microscopy,Structural biology,edam,EDAM_0611,http://edamontology.org/topic_0611,"The study of matter by studying the interference pattern from firing electrons at a sample, to analyse structures at resolutions higher than can be achieved using light."
Cryogenic electron microscopy,Electron microscopy,edam,EDAM_4017,http://edamontology.org/topic_4017,A method for studying biomolecules and other structures at very low (cryogenic) temperature using electron microscopy.
Cytogenetics,,edam,EDAM_3959,http://edamontology.org/topic_3959,"The branch of genetics concerned with the relationships between chromosomes and cellular behaviour, especially during mitosis and meiosis."
Dentistry,Medicine,edam,EDAM_3405,http://edamontology.org/topic_3405,"The study, diagnosis, prevention and treatments of disorders of the oral cavity, maxillofacial area and adjacent structures."
Dermatology,Medicine,edam,EDAM_3404,http://edamontology.org/topic_3404,"The branch of medicine that deals with prevention, diagnosis and treatment of disorders of the skin, scalp, hair and nails."
Developmental biology,Biology,edam,EDAM_3064,http://edamontology.org/topic_3064,How organisms grow and develop.
Nucleic acids,Computational biology,edam,EDAM_0077,http://edamontology.org/topic_0077,"The processing and analysis of nucleic acid sequence, structural and other data."
DNA,Nucleic acids,edam,EDAM_0654,http://edamontology.org/topic_0654,"DNA sequences and structure, including processes such as methylation and replication.; The DNA sequences might be coding or non-coding sequences."
DNA binding sites,,edam,EDAM_3125,http://edamontology.org/topic_3125,"Nucleic acids binding to some other molecule.; This includes ribosome binding sites (Shine-Dalgarno sequence in prokaryotes), restriction enzyme recognition sites (restriction sites) etc.; This includes sites involved with DNA replication and recombination. This includes binding sites for initiation of replication (origin of replication), regions where transfer is initiated during the conjugation or mobilisation (origin of transfer), starting sites for DNA duplication (origin of replication) and regions which are eliminated through any of kind of recombination. Also nucleosome exclusion regions, i.e. specific patterns or regions which exclude nucleosomes (the basic structural units of eukaryotic chromatin which play a significant role in regulating gene expression)."
DNA mutation,,edam,EDAM_2533,http://edamontology.org/topic_2533,DNA mutation.
DNA packaging,DNA,edam,EDAM_3176,http://edamontology.org/topic_3176,"DNA-histone complexes (chromatin), organisation of chromatin into nucleosomes and packaging into higher-order structures."
DNA polymorphism,,edam,EDAM_2885,http://edamontology.org/topic_2885,"DNA polymorphism.; Includes microsatellite polymorphism in a DNA sequence. A microsatellite polymorphism is a very short subsequence that is repeated a variable number of times between individuals. These repeats consist of the nucleotides cytosine and adenosine.; Includes restriction fragment length polymorphisms (RFLP) in a DNA sequence. An RFLP is defined by the presence or absence of a specific restriction site of a bacterial restriction enzyme.; Includes single nucleotide polymorphisms (SNP) and associated data, for example, the discovery and annotation of SNPs. A SNP is a DNA sequence variation where a single nucleotide differs between members of a species or paired chromosomes in an individual.; Includes variable number of tandem repeat (VNTR) polymorphism in a DNA sequence. VNTRs occur in non-coding regions of DNA and consists sub-sequence that is repeated a multiple (and varied) number of times."
DNA replication and recombination,DNA,edam,EDAM_3127,http://edamontology.org/topic_3127,DNA replication or recombination.
Drug development,Medicines research and development,edam,EDAM_3373,http://edamontology.org/topic_3373,The process of bringing a new drug to market once a lead compounds has been identified through drug discovery.
Drug metabolism,Medicines research and development,edam,EDAM_3375,http://edamontology.org/topic_3375,The study of how a drug interacts with the body.
"Ear, nose and throat medicine",Medicine,edam,EDAM_3406,http://edamontology.org/topic_3406,"The branch of medicine that deals with the prevention, diagnosis, and treatment of disorders of the ear, nose and throat."
Physiology,Medicine,edam,EDAM_3300,http://edamontology.org/topic_3300,The functions of living organisms and their constituent parts.
Electrocardiography,Physiology,edam,EDAM_4016,http://edamontology.org/topic_4016,The monitoring method for measuring electrical activity in the heart.
Electroencephalography,Physiology,edam,EDAM_4014,http://edamontology.org/topic_4014,The monitoring method for measuring electrical activity in the brain.
Structural biology,Biology,edam,EDAM_1317,http://edamontology.org/topic_1317,"The molecular structure of biological molecules, particularly macromolecules such as proteins and nucleic acids.; This includes experimental methods for biomolecular structure determination, such as X-ray crystallography, nuclear magnetic resonance (NMR), circular dichroism (CD) spectroscopy, microscopy etc., including the assignment or modelling of molecular structure from such data."
Embryology,Developmental biology,edam,EDAM_3065,http://edamontology.org/topic_3065,The development of organisms between the one-cell stage (typically the zygote) and the end of the embryonic stage.
Endocrinology and metabolism,Medicine,edam,EDAM_3407,http://edamontology.org/topic_3407,"The branch of medicine dealing with diseases of endocrine organs, hormone systems, their target organs, and disorders of the pathways of glucose and lipid metabolism."
Proteins,Computational biology,edam,EDAM_0078,http://edamontology.org/topic_0078,"Archival, processing and analysis of protein data, typically molecular sequence and structural data."
Enzymes,Proteins,edam,EDAM_0821,http://edamontology.org/topic_0821,"Proteins that catalyze chemical reaction, the kinetics of enzyme-catalysed reactions, enzyme nomenclature etc."
Epigenetics,Genetics,edam,EDAM_3295,http://edamontology.org/topic_3295,"Topic concerning the study of heritable changes, for example in gene expression or phenotype, caused by mechanisms other than changes in the DNA sequence.; This includes sub-topics such as histone modification and DNA methylation (methylation sites and analysis, for example of patterns and profiles of DNA methylation in a population, tissue etc.)"
Epigenomics,,edam,EDAM_3173,http://edamontology.org/topic_3173,"The study of the epigenetic modifications of a whole cell, tissue, organism etc.; Epigenetics concerns the heritable changes in gene expression owing to mechanisms other than DNA sequence variation."
Epistasis,Genotype and phenotype,edam,EDAM_3974,http://edamontology.org/topic_3974,"Epistasis can be defined as the ability of the genotype at one locus to supersede the phenotypic effect of a mutation at another locus. This interaction between genes can occur at different level: gene expression, protein levels, etc..."
Evolutionary biology,Biology,edam,EDAM_3299,http://edamontology.org/topic_3299,"The evolutionary processes, from the genetic to environmental scale, that produced life in all its diversity."
Omics,,edam,EDAM_3391,http://edamontology.org/topic_3391,"The collective characterisation and quantification of pools of biological molecules that translate into the structure, function, and dynamics of an organism or organisms."
Fluxomics,Omics,edam,EDAM_3955,http://edamontology.org/topic_3955,"Experimental approaches to determine the rates of metabolic reactions - the metabolic fluxes - within a biological entity.; The ""fluxome"" is the complete set of metabolic fluxes in a cell, and is a dynamic aspect of phenotype."
Freshwater biology,Biology,edam,EDAM_3573,http://edamontology.org/topic_3573,The study of organisms in freshwater ecosystems.
Function analysis,Computational biology,edam,EDAM_1775,http://edamontology.org/topic_1775,The study of gene and protein function including the prediction of functional properties of a protein.
Functional genomics,,edam,EDAM_0085,http://edamontology.org/topic_0085,"The study of gene or protein functions and their interactions in totality in a given organism, tissue, cell etc."
"Functional, regulatory and non-coding RNA",,edam,EDAM_0659,http://edamontology.org/topic_0659,"Non-coding or functional RNA sequences, including regulatory RNA sequences, ribosomal RNA (rRNA) and transfer RNA (tRNA).; Non-coding RNA includes piwi-interacting RNA (piRNA), small nuclear RNA (snRNA) and small nucleolar RNA (snoRNA). Regulatory RNA includes microRNA (miRNA) - short single stranded RNA molecules that regulate gene expression, and small interfering RNA (siRNA)."
Gastroenterology,Medicine,edam,EDAM_3409,http://edamontology.org/topic_3409,"The branch of medicine that deals with disorders of the oesophagus, stomach, duodenum, jejenum, ileum, large intestine, sigmoid colon and rectum."
Gender medicine,Medicine,edam,EDAM_3410,http://edamontology.org/topic_3410,The study of the biological and physiological differences between males and females and how they effect differences in disease presentation and management.
Gene and protein families,,edam,EDAM_0623,http://edamontology.org/topic_0623,"Particular gene(s), gene family or other gene group or system and their encoded proteins.Primarily the classification of proteins (from sequence or structural data) into clusters, groups, families etc., curation of a particular protein or protein family, or any other proteins that have been classified as members of a common group.; A protein families database might include the classifier (e.g. a sequence profile) used to build the classification."
Gene expression,,edam,EDAM_0203,http://edamontology.org/topic_0203,"The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.; Gene expression levels are analysed by identifying, quantifying or comparing mRNA transcripts, for example using microarrays, RNA-seq, northern blots, gene-indexed expression profiles etc.; This includes the study of codon usage in nucleotide sequence(s), genetic codes and so on."
Gene regulation,,edam,EDAM_0204,http://edamontology.org/topic_0204,The regulation of gene expression.
Gene structure,,edam,EDAM_0114,http://edamontology.org/topic_0114,"Gene structure, regions which make an RNA product and features such as promoters, coding regions, gene fusion, splice sites etc.; This includes the study of promoters, coding regions etc.; This includes operons (operators, promoters and genes) from a bacterial genome. For example the operon leader and trailer gene, gene composition of the operon and associated information."
Gene transcripts,,edam,EDAM_3512,http://edamontology.org/topic_3512,"Transcription of DNA into RNA and features of a messenger RNA (mRNA) molecules including precursor RNA, primary (unprocessed) transcript and fully processed molecules.; This includes 5'untranslated region (5'UTR), coding sequences (CDS), exons, intervening sequences (intron) and 3'untranslated regions (3'UTR).; This includes Introns, and protein-coding regions including coding sequences (CDS), exons, translation initiation sites and open reading frames. Also expressed sequence tag (EST) or complementary DNA (cDNA) sequences.; This includes coding sequences for a signal or transit peptide. A signal peptide coding sequence encodes an N-terminal domain of a secreted protein, which is involved in attaching the polypeptide to a membrane leader sequence. A transit peptide coding sequence encodes an N-terminal domain of a nuclear-encoded organellar protein; which is involved in import of the protein into the organelle.; This includes regions or sites in a eukaryotic and eukaryotic viral RNA sequence which directs endonuclease cleavage or polyadenylation of an RNA transcript. A polyA signal is required for endonuclease cleavage of an RNA transcript that is followed by polyadenylation. A polyA site is a site on an RNA transcript to which adenine residues will be added during post-transcriptional polyadenylation."
Genetic engineering,,edam,EDAM_3912,http://edamontology.org/topic_3912,The application of biotechnology to directly manipulate an organism's genes.
Genetic variation,,edam,EDAM_0199,http://edamontology.org/topic_0199,"Stable, naturally occurring mutations in a nucleotide sequence including alleles, naturally occurring mutations such as single base nucleotide substitutions, deletions and insertions, RFLPs and other polymorphisms."
Genetics,Biology,edam,EDAM_3053,http://edamontology.org/topic_3053,"The study of genes, genetic variation and heredity in living organisms."
Genomic imprinting,Epigenetics,edam,EDAM_4037,http://edamontology.org/topic_4037,"Genomic imprinting is a gene regulation mechanism by which a subset of genes are expressed from one of the two parental chromosomes only. Imprinted genes are organized in clusters, their silencing/activation of the imprinted loci involves epigenetic marks (DNA methylation, etc) and so-called imprinting control regions (ICR). It has been described in mammals, but also plants and insects."
Genotype and phenotype,Genetics,edam,EDAM_0625,http://edamontology.org/topic_0625,"The study of genetic constitution of a living entity, such as an individual, and organism, a cell and so on, typically with respect to a particular observable phenotypic traits, or resources concerning such traits, which might be an aspect of biochemistry, physiology, morphology, anatomy, development and so on."
Geriatric medicine,Medicine,edam,EDAM_3399,http://edamontology.org/topic_3399,"The branch of medicine dealing with the diagnosis, treatment and prevention of disease in older people, and the problems specific to aging."
Gynaecology and obstetrics,Medicine,edam,EDAM_3411,http://edamontology.org/topic_3411,"The branch of medicine that deals with the health of the female reproductive system, pregnancy and birth."
Haematology,Medicine,edam,EDAM_3408,http://edamontology.org/topic_3408,"The branch of medicine that deals with the blood, blood-forming organs and blood diseases."
Hepatic and biliary medicine,Medicine,edam,EDAM_3412,http://edamontology.org/topic_3412,"The branch of medicine that deals with the liver, gallbladder, bile ducts and bile."
Human biology,Biology,edam,EDAM_2815,http://edamontology.org/topic_2815,"The study of human beings in general, including the human genome and proteome."
Human genetics,Genetics,edam,EDAM_3574,http://edamontology.org/topic_3574,The study of inheritance in human beings.
Immunogenetics,,edam,EDAM_3930,http://edamontology.org/topic_3930,"A biomedical field that bridges immunology and genetics, to study the genetic basis of the immune system.; This involves the study of often complex genetic traits underlying diseases involving defects in the immune system. For example, identifying target genes for therapeutic approaches, or genetic variations involved in immunological pathology."
Immunology,Biomedical science,edam,EDAM_0804,http://edamontology.org/topic_0804,"The application of information technology to immunology such as immunological processes, immunological genes, proteins and peptide ligands, antigens and so on."
Immunoinformatics,Immunology,edam,EDAM_3948,http://edamontology.org/topic_3948,"Immunoinformatics is the field of computational biology that deals with the study of immunoloogical questions. Immunoinformatics is at the interface between immunology and computer science. It takes advantage of computational, statistical, mathematical approaches and enhances the understanding of immunological knowledge.; This involves the study of often complex genetic traits underlying diseases involving defects in the immune system. For example, identifying target genes for therapeutic approaches, or genetic variations involved in immunological pathology."
Immunomics,Omics,edam,EDAM_3967,http://edamontology.org/topic_3967,"The study of immune system as a whole, its regulation and response to pathogens using genome-wide approaches."
Immunoproteins and antigens,,edam,EDAM_2830,http://edamontology.org/topic_2830,"Immunity-related proteins and their ligands.; This includes T cell receptors (TR), major histocompatibility complex (MHC), immunoglobulin superfamily (IgSF) / antibodies, major histocompatibility complex superfamily (MhcSF), etc."""
Pathology,Medicine,edam,EDAM_0634,http://edamontology.org/topic_0634,"Diseases, including diseases in general and the genes, gene variations and proteins involved in one or more specific diseases."
Infectious disease,Pathology,edam,EDAM_3324,http://edamontology.org/topic_3324,"The branch of medicine that deals with the prevention, diagnosis and management of transmissible disease with clinically evident illness resulting from infection with pathogenic biological agents (viruses, bacteria, fungi, protozoa, parasites and prions)."
Lipidomics,,edam,EDAM_0153,http://edamontology.org/topic_0153,Lipids and their structures.
Sequence analysis,Computational biology,edam,EDAM_0080,http://edamontology.org/topic_0080,"The archival, processing and analysis of molecular sequences (monomer composition of polymers) including molecular sequence data resources, sequence sites, alignments, motifs and profiles."
Mapping,Sequence analysis,edam,EDAM_0102,http://edamontology.org/topic_0102,"The mapping of complete (typically nucleotide) sequences. Mapping (in the sense of short read alignment, or more generally, just alignment) has application in RNA-Seq analysis (mapping of transcriptomics reads), variant discovery (e.g. mapping of exome capture), and re-sequencing (mapping of WGS reads).; This includes resources that aim to identify, map or analyse genetic markers in DNA sequences, for example to produce a genetic (linkage) map of a chromosome or genome or to analyse genetic linkage and synteny. It also includes resources for physical (sequence) maps of a DNA sequence showing the physical distance (base pairs) between features or landmarks such as restriction sites, cloned DNA fragments, genes and other genetic markers. It also covers for example the alignment of sequences of (typically millions) of short reads to a reference genome."
Marine biology,Biology,edam,EDAM_3387,http://edamontology.org/topic_3387,The study of organisms in the ocean or brackish waters.
Medical biotechnology,Biotechnology,edam,EDAM_3576,http://edamontology.org/topic_3576,Biotechnology applied to the medical sciences and the development of medicines.
Medical toxicology,Medicine,edam,EDAM_3415,http://edamontology.org/topic_3415,"The branch of medicine that deals with the diagnosis, management and prevention of poisoning and other adverse health effects caused by medications, occupational and environmental toxins, and biological agents."
Medicinal chemistry,Drug discovery,edam,EDAM_0209,http://edamontology.org/topic_0209,"The design and chemical synthesis of bioactive molecules, for example drugs or potential drug compounds, for medicinal purposes.; This includes methods that search compound collections, generate or analyse drug 3D conformations, identify drug targets with structural docking etc."
Membrane and lipoproteins,Proteins,edam,EDAM_0820,http://edamontology.org/topic_0820,"Lipoproteins (protein-lipid assemblies), and proteins or region of a protein that spans or are associated with a membrane."
Metabarcoding,,edam,EDAM_4038,http://edamontology.org/topic_4038,"Metabarcoding is the barcoding of (environmental) DNA or RNA to identify multiple taxa from the same sample.; Typically, high-throughput sequencing is performed and the resulting sequence reads are matched to DNA barcodes in a reference database."
Metabolic engineering,Biotechnology,edam,EDAM_3939,http://edamontology.org/topic_3939,Biotechnology approach that seeks to optimize cellular genetic and regulatory processes in order to increase the cells' production of a certain substance.
Metabolomics,Omics,edam,EDAM_3172,http://edamontology.org/topic_3172,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism."
Metagenomics,,edam,EDAM_3174,http://edamontology.org/topic_3174,"The study of genetic material recovered from environmental samples, and associated environmental data."
Metatranscriptomics,,edam,EDAM_3941,http://edamontology.org/topic_3941,The study of microbe gene expression within natural environments (i.e. the metatranscriptome).; Metatranscriptomics methods can be used for whole gene expression profiling of complex microbial communities.
Microbial collection,Sample collections,edam,EDAM_3339,http://edamontology.org/topic_3339,"Collections of microbial cells including bacteria, yeasts and moulds."
Microbial ecology,,edam,EDAM_3697,http://edamontology.org/topic_3697,The ecology of microorganisms including their relationship with one another and their environment.
Microbiology,Biology,edam,EDAM_3301,http://edamontology.org/topic_3301,The biology of microorganisms.
Microfluidics,,edam,EDAM_4030,http://edamontology.org/topic_4030,"Interdisplinary study of behavior, precise control, and manipulation of low (microlitre) volume fluids in constrained space."
Mobile genetic elements,,edam,EDAM_0798,http://edamontology.org/topic_0798,"Mobile genetic elements, such as transposons, Plasmids, Bacteriophage elements and Group II introns."
Model organisms,Biology,edam,EDAM_0621,http://edamontology.org/topic_0621,"A specific organism, or group of organisms, used to study a particular aspect of biology.; This may include information on the genome (including molecular sequences and map, genes and annotation), proteome, as well as more general information about an organism."
Molecular biology,Biology,edam,EDAM_3047,http://edamontology.org/topic_3047,"The molecular basis of biological activity, particularly the macromolecules (e.g. proteins and nucleic acids) that are essential to life."
Molecular dynamics,,edam,EDAM_0176,http://edamontology.org/topic_0176,"The study and simulation of molecular (typically protein) conformation using a computational model of physical forces and computer simulation.; This includes methods such as Molecular Dynamics, Coarse-grained dynamics, metadynamics, Quantum Mechanics, QM/MM, Markov State Models, etc. This includes resources concerning flexibility and motion in protein and other molecular structures."
Molecular evolution,,edam,EDAM_3945,http://edamontology.org/topic_3945,"The study of the process and mechanism of change of biomolecules such as DNA, RNA, and proteins across generations."
Molecular genetics,,edam,EDAM_3321,http://edamontology.org/topic_3321,The structure and function of genes at a molecular level.
"Molecular interactions, pathways and networks",Computational biology,edam,EDAM_0602,http://edamontology.org/topic_0602,"Molecular interactions, biological pathways, networks and other models."
Translational medicine,Medicine,edam,EDAM_3342,http://edamontology.org/topic_3342,"'translating' the output of basic and biomedical research into better diagnostic tools, medicines, medical procedures, policies and advice."
Molecular medicine,Translational medicine,edam,EDAM_3388,http://edamontology.org/topic_3388,The identification of molecular and genetic causes of disease and the development of interventions to correct them.
Structure prediction,Structure analysis,edam,EDAM_0082,http://edamontology.org/topic_0082,"The prediction of molecular structure, including the prediction, modelling, recognition or design of protein secondary or tertiary structure or other structural features, and the folding of nucleic acid molecules and the prediction or design of nucleic acid (typically RNA) sequences with specific conformations.; This includes the recognition (prediction and assignment) of known protein structural domains or folds in protein sequence(s), for example by threading, or the alignment of molecular sequences to structures, structural (3D) profiles or templates (representing a structure or structure alignment)."
Molecular modelling,Structure prediction,edam,EDAM_2275,http://edamontology.org/topic_2275,"The construction, analysis, evaluation, refinement etc. of models of a molecules properties or behaviour, including the modelling the structure of proteins in complex with small molecules or other macromolecules (docking)."
Mouse clinic,Sample collections,edam,EDAM_3338,http://edamontology.org/topic_3338,"Laboratory study of mice, for example, phenotyping, and mutagenesis of mouse cell lines."
Multiomics,Omics,edam,EDAM_4021,http://edamontology.org/topic_4021,"Multiomics concerns integration of data from multiple omics (e.g. transcriptomics, proteomics, epigenomics)."
Musculoskeletal medicine,Medicine,edam,EDAM_3416,http://edamontology.org/topic_3416,"The branch of medicine that deals with the prevention, diagnosis, and treatment of disorders of the muscle, bone and connective tissue. It incorporates aspects of orthopaedics, rheumatology, rehabilitation medicine and pain medicine."
Neurobiology,Biomedical science,edam,EDAM_3304,http://edamontology.org/topic_3304,"The study of the nervous system and brain; its anatomy, physiology and function."
Neurology,Medicine,edam,EDAM_3334,http://edamontology.org/topic_3334,"The branch of medicine that deals with the anatomy, functions and disorders of the nervous system."
Neutron diffraction,Structural biology,edam,EDAM_3448,http://edamontology.org/topic_3448,"The study of matter by studying the diffraction pattern from firing neutrons at a sample, typically to determine atomic and/or magnetic structure."
NMR,Structural biology,edam,EDAM_0593,http://edamontology.org/topic_0593,"An analytical technique that exploits the magenetic properties of certain atomic nuclei to provide information on the structure, dynamics, reaction state and chemical environment of molecules."
"Nucleic acid sites, features and motifs",,edam,EDAM_3511,http://edamontology.org/topic_3511,"The biology, archival, detection, prediction and analysis of positional features such as functional and other key sites, in nucleic acid sequences and the conserved patterns (motifs, profiles etc.) that may be used to describe them.; Sequence tagged sites are short DNA sequences that are unique within a genome and serve as a mapping landmark, detectable by PCR they allow a genome to be mapped via an ordering of STSs."
Nucleic acid structure analysis,,edam,EDAM_0097,http://edamontology.org/topic_0097,"The archival, curation, processing and analysis of nucleic acid structural information, such as whole structures, structural features and alignments, and associated annotation.; Includes secondary and tertiary nucleic acid structural data, nucleic acid thermodynamic, thermal and conformational properties including DNA or DNA/RNA denaturation (melting) etc."
Nutritional science,Biomedical science,edam,EDAM_3390,http://edamontology.org/topic_3390,"The study of the effects of food components on the metabolism, health, performance and disease resistance of humans and animals. It also includes the study of human behaviours related to food choices."
Oncology,Medicine,edam,EDAM_2640,http://edamontology.org/topic_2640,"The study of cancer, for example, genes and proteins implicated in cancer."
Ophthalmology,Medicine,edam,EDAM_3417,http://edamontology.org/topic_3417,"The branch of medicine that deals with disorders of the eye, including eyelid, optic nerve/visual pathways and occular muscles."
Paediatrics,Medicine,edam,EDAM_3418,http://edamontology.org/topic_3418,"The branch of medicine that deals with the medical care of infants, children and adolescents."
Pain medicine,Medicine,edam,EDAM_3401,http://edamontology.org/topic_3401,"The prevention of pain and the evaluation, treatment and rehabilitation of persons in pain."
Paleogenomics,Genomics,edam,EDAM_3943,http://edamontology.org/topic_3943,The reconstruction and analysis of genomic information in extinct species.
Parasitology,Biomedical science,edam,EDAM_3302,http://edamontology.org/topic_3302,The biology of parasites.
Personalised medicine,Medicine,edam,EDAM_3577,http://edamontology.org/topic_3577,"An approach to medicine whereby decisions, practices and are tailored to the individual patient based on their predicted response or risk of disease."
Pharmacogenomics,,edam,EDAM_0208,http://edamontology.org/topic_0208,"The influence of genotype on drug response, for example by correlating gene expression or single-nucleotide polymorphisms with drug efficacy or toxicity."
Pharmacology,Biomedical science,edam,EDAM_0202,http://edamontology.org/topic_0202,The study of drugs and their effects or responses in living systems.
Safety sciences,Medicines research and development,edam,EDAM_3377,http://edamontology.org/topic_3377,The safety (or lack) of drugs and other medical interventions.
Pharmacovigilance,Safety sciences,edam,EDAM_3378,http://edamontology.org/topic_3378,"The detection, assessment, understanding and prevention of adverse effects of medicines.; Pharmacovigilence concerns safety once a drug has gone to market."
Phenomics,,edam,EDAM_3298,http://edamontology.org/topic_3298,"Phenomes, or the study of the change in phenotype (the physical and biochemical traits of organisms) in response to genetic and environmental factors."
