order,name,parent,codesystem,code,ontologyTermURI,definition
15,15,,NCIT,NCIT_C13210,http://purl.obolibrary.org/obo/NCIT_C13210,The designation for each member of the fifteenth largest human autosomal chromosome pair. Chromosome 15 spans about 106 million base pairs and represents between 3 and 3.5% of the total DNA in normal diploid cells.
16,16,,NCIT,NCIT_C13211,http://purl.obolibrary.org/obo/NCIT_C13211,The designation for each member of the sixteenth largest human autosomal chromosome pair. Chromosome 16 spans about 90 million base pairs and represents just under 3% of the total DNA in normal diploid cells.
17,17,,NCIT,NCIT_C13212,http://purl.obolibrary.org/obo/NCIT_C13212,The designation for each member of the seventeenth largest human autosomal chromosome pair. Chromosome 17 spans more than 81 million base pairs and represents between 2.5 and 3% of the total DNA in normal diploid cells.
18,18,,NCIT,NCIT_C13213,http://purl.obolibrary.org/obo/NCIT_C13213,The designation for each member of the eighteenth largest human autosomal chromosome pair. Chromosome 18 spans about 76 million base pairs and represents about 2.5% of the total DNA in normal diploid cells.
19,19,,NCIT,NCIT_C13214,http://purl.obolibrary.org/obo/NCIT_C13214,The designation for each member of the nineteenth largest human autosomal chromosome pair. Chromosome 19 spans more than 63 million base pairs and represents between 2 and 2.5% of the total DNA in normal diploid cells.
20,20,,NCIT,NCIT_C13216,http://purl.obolibrary.org/obo/NCIT_C13216,The designation for each member of the third smallest human autosomal chromosome pair. Chromosome 20 spans around 63 million base pairs and represents between 2 and 2.5% of the total DNA in normal diploid cells.
21,21,,NCIT,NCIT_C13217,http://purl.obolibrary.org/obo/NCIT_C13217,The designation for each member of the second smallest human autosomal chromosome pair. Chromosome 21 spans around 47 million nucleotides and represents about 1.5% of the total DNA in normal diploid cells.
22,22,,NCIT,NCIT_C13218,http://purl.obolibrary.org/obo/NCIT_C13218,The designation for each member of the smallest human autosomal chromosome pair. Chromosome 22 spans about 49 million base pairs and represents between 1.5 and 2% of the total DNA in normal diploid cells.
23,23,,NCIT,NCIT_C33542,http://purl.obolibrary.org/obo/NCIT_C33542,"The X or Y chromosome in human beings that determines the sex of an individual. Females have two X chromosomes in diploid cells; males have an X and a Y chromosome. The sex chromosomes comprise the 23rd chromosome pair in a human karyotype."
24,X,,NCIT,NCIT_C13285,http://purl.obolibrary.org/obo/NCIT_C13285,The larger of the two human sex chromosomes. It is usually present singly in males and doubly in females.
25,Y,,NCIT,NCIT_C13286,http://purl.obolibrary.org/obo/NCIT_C13286,"The smaller of the two human sex chromosome. Its presence usually determines the development of a fetus as male, while its absence usually determines the development of a fetus as female."
