name,parent,codesystem,code,ontologyTermURI,definition
"5' Untranslated Region SNP",Untranslated Region SNP,ncit,NCIT_C45393,http://purl.obolibrary.org/obo/NCIT_C45393,"A 5' Untranslated Region SNP consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within the sequence region at the 5' end of a messenger RNA (preceding the initiation codon) that is not translated into protein and may contain the ribosome binding site and other transcription and translation regulating sequences."
Intronic SNP,Single Nucleotide Polymorphism,ncit,NCIT_C45387,http://purl.obolibrary.org/obo/NCIT_C45387,"Single Nucleotide Polymorphism in Intronic Sequences (Intronic SNP) consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within a transcribed non-coding intervening DNA sequence separating protein-coding sequences (exons) in an eukaryotic nuclear gene. Poorly conserved and of variable length and number, intron sequences are removed from nascent message RNA transcripts in the nucleus after the 5' cap and polyA tail have been added. Self-complementary sequences at exon-intron junctions form a hairpin structure recognized by enzymes that splice exons together into a mature mRNA that is ready for translation in the cytoplasm. When the intron is removed, the donor junction at the 5' end of the intron is spliced to the acceptor junction at the 3' end of the intron."
Splice Site SNP,Intronic SNP,ncit,NCIT_C45574,http://purl.obolibrary.org/obo/NCIT_C45574,"An inherited single base substitution in a sequence of eukaryotic DNA located in either an acceptor (3' or downstream) or donor (5' or upstream) splice site of a gene. Functional single nucleotide polymorphisms in these intron-exon junctions can cause incorrect RNA splicing which, in turn, alters gene expression."
Donor Splice Site SNP,Splice Site SNP,ncit,NCIT_C45390,http://purl.obolibrary.org/obo/NCIT_C45390,"An inherited single base change at a donor splice site in a genomic DNA sequence that results in an allelic variant of the wild-type gene. Donor splice sites are located at exon to intron junctions at the 5' end of the intron."
Acceptor Splice Site SNP,Splice Site SNP,ncit,NCIT_C45389,http://purl.obolibrary.org/obo/NCIT_C45389,"A heritable single nucleotide polymorphism located at the acceptor splice site in certain allelic variants of eukaryotic genes. These sites are located in genes at intron to exon junctions at the 3' end of the intron."
Intergenic SNP,Single Nucleotide Polymorphism,ncit,NCIT_C45384,http://purl.obolibrary.org/obo/NCIT_C45384,"Single Nucleotide Polymorphism in Intergenic Sequences consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within a DNA sequence of genetic material that lies between the boundaries of adjacent genes. SNPs occur, on average, once every 1000 bases and can be used in gene mapping and linkage analysis."
Regulatory Region SNP,Single Nucleotide Polymorphism,ncit,NCIT_C41010,http://purl.obolibrary.org/obo/NCIT_C41010,"Single Nucleotide Polymorphism in Regulatory Sequences (Regulatory Region SNP) consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within a gene region that is involved in the regulation of genetic processes, such as transcription and replication."
Upstream Region SNP,Regulatory Region SNP,ncit,NCIT_C45575,http://purl.obolibrary.org/obo/NCIT_C45575,"An inherited single base substitution in a sequence of eukaryotic DNA located within a region 5' to the transcription start site of a gene. This type of single nucleotide polymorphism may affect gene expression if it occurs in the promoter region of a gene and alters the recognition sequence of a specific promoter protein."
Single Nucleotide Polymorphism in Coding Sequence,Single Nucleotide Polymorphism,ncit,NCIT_C18518,http://purl.obolibrary.org/obo/NCIT_C18518,"Single Nucleotide Polymorphisms in Coding Sequences consist of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within a protein-coding region of a gene that may or may not cause an amino acid change in the protein product and a detectable phenotypic effect."
Non-synonymous Coding SNP,Single Nucleotide Polymorphism in Coding Sequence,ncit,NCIT_C45397,http://purl.obolibrary.org/obo/NCIT_C45397,"A Non-synonymous Coding SNP consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within a protein-coding region of a gene that causes an alteration of the translation of the affected codon into a different amino acid in the protein product. A missense non-synonymous SNP results in an amino acid change in the protein product due to a codon change, while a nonsense non-synonymous SNP results in a termination codon."
Synonymous Coding SNP,Single Nucleotide Polymorphism in Coding Sequence,ncit,NCIT_C45396,http://purl.obolibrary.org/obo/NCIT_C45396,"Synonymous Coding SNP consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within a protein-coding region of a gene that causes no amino acid change in the protein product and no detectable phenotypic effect; a silent mutation."
Single-Stranded Conformational Polymorphism,Genetic Polymorphism,ncit,NCIT_C17762,http://purl.obolibrary.org/obo/NCIT_C17762,"A Single-Stranded Conformational Polymorphism consists of nucleotide sequence variation in the same region of DNA between individuals within a species, or between alleles in an individual, that cause partially denatured DNA fragments to take on different conformations as a result of their nucleotide sequences differences. These conformation differences can be detected through various gel-separation techniques."
Restriction Fragment Length Polymorphism,Genetic Polymorphism,ncit,NCIT_C17093,http://purl.obolibrary.org/obo/NCIT_C17093,Variation occurring within a species in the length of DNA fragments generated by a specific endonuclease. Such variations are generated by mutations that create or abolish recognition sites for these enzymes.
Variant Pathogenic/Likely Pathogenic,,ncit,NCIT_C168803,http://purl.obolibrary.org/obo/NCIT_C168803,An ad hoc category that describes genetic variants with 90% or greater certainty of contributing to the development of a disease.
Variant Benign,,ncit,NCIT_C168802,http://purl.obolibrary.org/obo/NCIT_C168802,A genetic variant that is known to not contribute to the development of a disease.
Variant Likely Benign,,ncit,NCIT_C168801,http://purl.obolibrary.org/obo/NCIT_C168801,"A genetic variant that is not expected to contribute to the development of a disease, but the scientific evidence may be insufficient to prove this conclusively."
Likely Pathogenic Variant,,ncit,NCIT_C168800,http://purl.obolibrary.org/obo/NCIT_C168800,A genetic variant that is known to have a high likelihood (greater than 90% certainty) to contribute to the development of a disease.
Pathogenic Variant,,ncit,NCIT_C168799,http://purl.obolibrary.org/obo/NCIT_C168799,A genetic variant that is known to directly contribute to the development of disease.
Single Nucleotide Variant,,ncit,NCIT_C164674,http://purl.obolibrary.org/obo/NCIT_C164674,"A variation of a single nucleotide at a specific location of the genome due to base substitution, which is found at any frequency in the population."
