name,definition,codesystem,code,ontologyTermURI
binary format,binary format,EDAM,format_2333,http://edamontology.org/format_2333
BioC,BioC,EDAM,format_3782,http://edamontology.org/format_3782
Biodiversity data format,Biodiversity data format,EDAM,format_3706,http://edamontology.org/format_3706
BioJSON (BioXSD),BioJSON (BioXSD),EDAM,format_3772,http://edamontology.org/format_3772
BioJSON (Jalview),BioJSON (Jalview),EDAM,format_3774,http://edamontology.org/format_3774
Biological pathway or network format,Biological pathway or network format,EDAM,format_2013,http://edamontology.org/format_2013
Biological pathway or network report format,Biological pathway or network report format,EDAM,format_3166,http://edamontology.org/format_3166
BIOM format,BIOM format,EDAM,format_3746,http://edamontology.org/format_3746
BioNLP Shared Task format,BioNLP Shared Task format,EDAM,format_3785,http://edamontology.org/format_3785
BioPAX,BioPAX,EDAM,format_3156,http://edamontology.org/format_3156
BioPAX Manchester OWL Syntax format,BioPAX Manchester OWL Syntax format,SWO,SWO_3000056,http://www.ebi.ac.uk/swo/data/SWO_3000056
BioPAX RDF/XML format,BioPAX RDF/XML format,SWO,SWO_3000055,http://www.ebi.ac.uk/swo/data/SWO_3000055
BioXSD (XML),BioXSD (XML),EDAM,format_2352,http://edamontology.org/format_2352
BioYAML,BioYAML,EDAM,format_3773,http://edamontology.org/format_3773
BLAST results,BLAST results,EDAM,format_1333,http://edamontology.org/format_1333
BLAST XML results format,BLAST XML results format,EDAM,format_3331,http://edamontology.org/format_3331
BLAST XML v2 results format,BLAST XML v2 results format,EDAM,format_3836,http://edamontology.org/format_3836
BLC,BLC,EDAM,format_3313,http://edamontology.org/format_3313
bmp,bmp,EDAM,format_3592,http://edamontology.org/format_3592
BPMAP,BPMAP,SWO,SWO_1100035,http://www.ebi.ac.uk/swo/SWO_1100035
BSML,BSML,EDAM,format_3487,http://edamontology.org/format_3487
BTrack,BTrack,EDAM,format_3776,http://edamontology.org/format_3776
CAF,CAF,EDAM,format_1630,http://edamontology.org/format_1630
CATH domain report format,CATH domain report format,EDAM,format_3100,http://edamontology.org/format_3100
CDF ASCII format,CDF ASCII format,SWO,SWO_3000057,http://www.ebi.ac.uk/swo/data/SWO_3000057
CDF binary format,CDF binary format,SWO,SWO_1100054,http://www.ebi.ac.uk/swo/SWO_1100054
cdsxml,cdsxml,EDAM,format_2184,http://edamontology.org/format_2184
cdt,cdt,SWO,SWO_0000493,http://www.ebi.ac.uk/swo/SWO_0000493
cel,cel,EDAM,format_1638,http://edamontology.org/format_1638
CEL ASCII format,CEL ASCII format,SWO,SWO_3000059,http://www.ebi.ac.uk/swo/data/SWO_3000059
CEL binary format,CEL binary format,SWO,SWO_0000084,http://www.ebi.ac.uk/swo/SWO_0000084
CellML,CellML,EDAM,format_3240,http://edamontology.org/format_3240
Chemical data format,Chemical data format,EDAM,format_2030,http://edamontology.org/format_2030
Chemical formula format,Chemical formula format,EDAM,format_2035,http://edamontology.org/format_2035
CHP,CHP,EDAM,format_1644,http://edamontology.org/format_1644
CHP binary format,CHP binary format,SWO,SWO_1100122,http://www.ebi.ac.uk/swo/SWO_1100122
chrominfo,chrominfo,EDAM,format_3587,http://edamontology.org/format_3587
CiteXplore-all,CiteXplore-all,EDAM,format_1737,http://edamontology.org/format_1737
CiteXplore-core,CiteXplore-core,EDAM,format_1736,http://edamontology.org/format_1736
cls,cls,SWO,SWO_0000498,http://www.ebi.ac.uk/swo/SWO_0000498
ClustalW dendrogram,ClustalW dendrogram,EDAM,format_1424,http://edamontology.org/format_1424
ClustalW format,ClustalW format,EDAM,format_1982,http://edamontology.org/format_1982
codata,codata,EDAM,format_1925,http://edamontology.org/format_1925
COMBINE OMEX,COMBINE OMEX,EDAM,format_3686,http://edamontology.org/format_3686
completely unambiguous,completely unambiguous,EDAM,format_2566,http://edamontology.org/format_2566
completely unambiguous pure,completely unambiguous pure,EDAM,format_2567,http://edamontology.org/format_2567
completely unambiguous pure dna,completely unambiguous pure dna,EDAM,format_2569,http://edamontology.org/format_2569
completely unambiguous pure nucleotide,completely unambiguous pure nucleotide,EDAM,format_2568,http://edamontology.org/format_2568
completely unambiguous pure protein,completely unambiguous pure protein,EDAM,format_2607,http://edamontology.org/format_2607
completely unambiguous pure rna sequence,completely unambiguous pure rna sequence,EDAM,format_2570,http://edamontology.org/format_2570
consensus,consensus,EDAM,format_1209,http://edamontology.org/format_1209
consensusXML,consensusXML,EDAM,format_3832,http://edamontology.org/format_3832
CopasiML,CopasiML,EDAM,format_3239,http://edamontology.org/format_3239
crai,CRAI,,,
CRAM,Reference-based compression of alignment format,EDAM,format_3462,http://edamontology.org/format_3462
csfasta,csfasta,EDAM,format_3589,http://edamontology.org/format_3589
CSV,CSV,EDAM,format_3752,http://edamontology.org/format_3752
CT,CT,EDAM,format_3309,http://edamontology.org/format_3309
customtrack,customtrack,EDAM,format_3588,http://edamontology.org/format_3588
Cytoband format,Cytoband format,EDAM,format_3235,http://edamontology.org/format_3235
Cytoscape input file format,Cytoscape input file format,EDAM,format_3477,http://edamontology.org/format_3477
daf,daf,EDAM,format_1393,http://edamontology.org/format_1393
DAS format,DAS format,EDAM,format_1967,http://edamontology.org/format_1967
dasdna,dasdna,EDAM,format_1968,http://edamontology.org/format_1968
DASGFF,DASGFF,EDAM,format_1978,http://edamontology.org/format_1978
dat,dat,EDAM,format_1637,http://edamontology.org/format_1637
Data File Standard for Flow Cytometry,Data File Standard for Flow Cytometry,SWO,SWO_3000061,http://www.ebi.ac.uk/swo/data/SWO_3000061
Data index format,Data index format,EDAM,format_3326,http://edamontology.org/format_3326
Database hits (sequence) format,Database hits (sequence) format,EDAM,format_2066,http://edamontology.org/format_2066
dbGaP format,dbGaP format,EDAM,format_3729,http://edamontology.org/format_3729
dbid,dbid,EDAM,format_1926,http://edamontology.org/format_1926
dcf,dcf,SWO,SWO_0000518,http://www.ebi.ac.uk/swo/SWO_0000518
debug,debug,EDAM,format_1983,http://edamontology.org/format_1983
debug-feat,debug-feat,EDAM,format_1979,http://edamontology.org/format_1979
debug-seq,debug-seq,EDAM,format_1969,http://edamontology.org/format_1969
dhf,dhf,EDAM,format_1336,http://edamontology.org/format_1336
DIALIGN format,DIALIGN format,EDAM,format_1392,http://edamontology.org/format_1392
DICOM format,DICOM format,EDAM,format_3548,http://edamontology.org/format_3548
Dirichlet distribution format,Dirichlet distribution format,EDAM,format_2074,http://edamontology.org/format_2074
dna,dna,EDAM,format_1212,http://edamontology.org/format_1212
Document format,Document format,EDAM,format_3507,http://edamontology.org/format_3507
docx,docx,EDAM,format_3506,http://edamontology.org/format_3506
Dot-bracket format,Dot-bracket format,EDAM,format_1457,http://edamontology.org/format_1457
dssp,dssp,EDAM,format_1454,http://edamontology.org/format_1454
DSV,DSV,EDAM,format_3751,http://edamontology.org/format_3751
dta,dta,EDAM,format_3652,http://edamontology.org/format_3652
EBI Application Result XML,EBI Application Result XML,EDAM,format_3157,http://edamontology.org/format_3157
ebwt,ebwt,EDAM,format_3484,http://edamontology.org/format_3484
ebwtl,ebwtl,EDAM,format_3491,http://edamontology.org/format_3491
ELAND format,ELAND format,EDAM,format_3818,http://edamontology.org/format_3818
EMBL feature location,EMBL feature location,EDAM,format_1248,http://edamontology.org/format_1248
EMBL format,EMBL format,EDAM,format_1927,http://edamontology.org/format_1927
EMBL format (XML),EMBL format (XML),EDAM,format_2204,http://edamontology.org/format_2204
EMBL-HTML,EMBL-HTML,EDAM,format_2311,http://edamontology.org/format_2311
EMBL-like (text),EMBL-like (text),EDAM,format_2181,http://edamontology.org/format_2181
EMBL-like (XML),EMBL-like (XML),EDAM,format_2558,http://edamontology.org/format_2558
EMBL-like format,EMBL-like format,EDAM,format_2543,http://edamontology.org/format_2543
EMBLXML,EMBLXML,EDAM,format_2183,http://edamontology.org/format_2183
EMBOSS repeat,EMBOSS repeat,EDAM,format_1297,http://edamontology.org/format_1297
EMBOSS sequence pattern,EMBOSS sequence pattern,EDAM,format_1357,http://edamontology.org/format_1357
EMBOSS simple format,EMBOSS simple format,EDAM,format_2001,http://edamontology.org/format_2001
ENCODE broad peak format,ENCODE broad peak format,EDAM,format_3614,http://edamontology.org/format_3614
ENCODE narrow peak format,ENCODE narrow peak format,EDAM,format_3613,http://edamontology.org/format_3613
ENCODE peak format,ENCODE peak format,EDAM,format_3612,http://edamontology.org/format_3612
Ensembl variation file format,Ensembl variation file format,EDAM,format_3499,http://edamontology.org/format_3499
Enzyme kinetics report format,Enzyme kinetics report format,EDAM,format_2027,http://edamontology.org/format_2027
EPS,EPS,EDAM,format_3466,http://edamontology.org/format_3466
est2genome format,est2genome format,EDAM,format_1316,http://edamontology.org/format_1316
EXP,EXP,EDAM,format_1631,http://edamontology.org/format_1631
Experiment annotation format,Experiment annotation format,EDAM,format_3167,http://edamontology.org/format_3167
FASTA,FASTA,EDAM,format_1929,http://edamontology.org/format_1929
FASTA format,FASTA format,EDAM,format_1929,http://edamontology.org/format_1929
FASTA search results format,FASTA search results format,EDAM,format_1332,http://edamontology.org/format_1332
FASTA-aln,FASTA-aln,EDAM,format_1984,http://edamontology.org/format_1984
FASTA-HTML,FASTA-HTML,EDAM,format_2310,http://edamontology.org/format_2310
FASTA-like,FASTA-like,EDAM,format_2546,http://edamontology.org/format_2546
FASTA-like (text),FASTA-like (text),EDAM,format_2200,http://edamontology.org/format_2200
FASTG,FASTG,EDAM,format_3823,http://edamontology.org/format_3823
FASTQ,FASTQ short read format ignoring quality scores.,EDAM,format_1930,http://edamontology.org/format_1930
FASTQ-illumina,FASTQ-illumina,EDAM,format_1931,http://edamontology.org/format_1931
FASTQ-like format,FASTQ-like format,EDAM,format_2545,http://edamontology.org/format_2545
FASTQ-like format (text),FASTQ-like format (text),EDAM,format_2182,http://edamontology.org/format_2182
FASTQ-sanger,FASTQ-sanger,EDAM,format_1932,http://edamontology.org/format_1932
FASTQ-solexa,FASTQ-solexa,EDAM,format_1933,http://edamontology.org/format_1933
FASTQ1,FASTQ1,EDAM,format_1930,http://edamontology.org/format_1930
FASTQ2,FASTQ2,EDAM,format_1930,http://edamontology.org/format_1930
FCS3.0,FCS3.0,SWO,SWO_3000062,http://www.ebi.ac.uk/swo/data/SWO_3000062
featureXML,featureXML,EDAM,format_3833,http://edamontology.org/format_3833
FieldML,FieldML,SWO,SWO_3000075,http://www.ebi.ac.uk/swo/data/SWO_3000075
findkm,findkm,EDAM,format_1582,http://edamontology.org/format_1582
fitch program,fitch program,EDAM,format_1934,http://edamontology.org/format_1934
Format,Format,EDAM,format_1915,http://edamontology.org/format_1915
Format (by type of data),Format (by type of data),EDAM,format_2350,http://edamontology.org/format_2350
GCDML,GCDML,EDAM,format_3163,http://edamontology.org/format_3163
GCG,GCG,EDAM,format_1935,http://edamontology.org/format_1935
GCG format variant,GCG format variant,EDAM,format_3486,http://edamontology.org/format_3486
GCG MSF,GCG MSF,EDAM,format_1947,http://edamontology.org/format_1947
gct,gct,SWO,SWO_0000548,http://www.ebi.ac.uk/swo/SWO_0000548
GCT/Res format,GCT/Res format,EDAM,format_3709,http://edamontology.org/format_3709
GDE,GDE,EDAM,format_3312,http://edamontology.org/format_3312
GelML,GelML,EDAM,format_3249,http://edamontology.org/format_3249
Gemini SQLite format,Gemini SQLite format,EDAM,format_3622,http://edamontology.org/format_3622
GEN,GEN,EDAM,format_3812,http://edamontology.org/format_3812
GenBank format,GenBank format,EDAM,format_1936,http://edamontology.org/format_1936
GenBank-HTML,GenBank-HTML,EDAM,format_2532,http://edamontology.org/format_2532
GenBank-like format,GenBank-like format,EDAM,format_2559,http://edamontology.org/format_2559
GenBank-like format (text),GenBank-like format (text),EDAM,format_2205,http://edamontology.org/format_2205
Gene annotation format,Gene annotation format,EDAM,format_2031,http://edamontology.org/format_2031
Gene expression report format,Gene expression report format,EDAM,format_2058,http://edamontology.org/format_2058
genePred,genePred,EDAM,format_3011,http://edamontology.org/format_3011
geneseq,geneseq,EDAM,format_2186,http://edamontology.org/format_2186
genpept,genpept,EDAM,format_1937,http://edamontology.org/format_1937
GEO Matrix Series format,GEO Matrix Series format,SWO,SWO_1100126,http://www.ebi.ac.uk/swo/SWO_1100126
GFF,GFF,EDAM,format_2305,http://edamontology.org/format_2305
GFF2,GFF2,EDAM,format_1974,http://edamontology.org/format_1974
GFF2-seq,GFF2-seq,EDAM,format_1938,http://edamontology.org/format_1938
GFF3,GFF3,EDAM,format_1975,http://edamontology.org/format_1975
GFF3-seq,GFF3-seq,EDAM,format_1939,http://edamontology.org/format_1939
GIF,GIF,EDAM,format_3467,http://edamontology.org/format_3467
giFASTA format,giFASTA format,EDAM,format_1940,http://edamontology.org/format_1940
GML,GML,EDAM,format_3822,http://edamontology.org/format_3822
GPML,GPML,EDAM,format_3657,http://edamontology.org/format_3657
GPR,GPR,EDAM,format_3829,http://edamontology.org/format_3829
gpr format,gpr format,SWO,SWO_0000566,http://www.ebi.ac.uk/swo/SWO_0000566
Graph format,Graph format,EDAM,format_3617,http://edamontology.org/format_3617
GSuite,GSuite,EDAM,format_3775,http://edamontology.org/format_3775
GTF,GTF,EDAM,format_2306,http://edamontology.org/format_2306
gtr,gtr,SWO,SWO_0000569,http://www.ebi.ac.uk/swo/SWO_0000569
GTrack,"GTrack",EDAM,format_3164,http://edamontology.org/format_3164
gVCF,"Genomic Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation).",EDAM,format:3016,http://edamontology.org/format_3016
GVF,GVF,EDAM,format_3019,http://edamontology.org/format_3019
gxl format,gxl format,SWO,SWO_0000570,http://www.ebi.ac.uk/swo/SWO_0000570
hdf5,hdf5,EDAM,format_3590,http://edamontology.org/format_3590
hennig86,hennig86,EDAM,format_1941,http://edamontology.org/format_1941
HET group dictionary entry format,HET group dictionary entry format,EDAM,format_1705,http://edamontology.org/format_1705
Hidden Markov model format,Hidden Markov model format,EDAM,format_2072,http://edamontology.org/format_2072
HMM emission and transition counts format,HMM emission and transition counts format,EDAM,format_2075,http://edamontology.org/format_2075
HMMER Dirichlet prior,HMMER Dirichlet prior,EDAM,format_1349,http://edamontology.org/format_1349
HMMER emission and transition,HMMER emission and transition,EDAM,format_1351,http://edamontology.org/format_1351
HMMER format,HMMER format,EDAM,format_1370,http://edamontology.org/format_1370
HMMER profile alignment (HMM versus sequences),HMMER profile alignment (HMM versus sequences),EDAM,format_1422,http://edamontology.org/format_1422
HMMER profile alignment (sequences versus HMMs),HMMER profile alignment (sequences versus HMMs),EDAM,format_1421,http://edamontology.org/format_1421
HMMER-aln,HMMER-aln,EDAM,format_1391,http://edamontology.org/format_1391
HMMER2,HMMER2,EDAM,format_3328,http://edamontology.org/format_3328
HMMER3,HMMER3,EDAM,format_3329,http://edamontology.org/format_3329
hssp,hssp,EDAM,format_1455,http://edamontology.org/format_1455
html,html,EDAM,format_2331,http://edamontology.org/format_2331
ibd,ibd,EDAM,format_3839,http://edamontology.org/format_3839
IDAT,IDAT,EDAM,format_3578,http://edamontology.org/format_3578
idXML,idXML,EDAM,format_3764,http://edamontology.org/format_3764
ig,ig,EDAM,format_1942,http://edamontology.org/format_1942
igstrict,igstrict,EDAM,format_1943,http://edamontology.org/format_1943
iHOP format,iHOP format,EDAM,format_1740,http://edamontology.org/format_1740
im,im,EDAM,format_3593,http://edamontology.org/format_3593
Image format,Image format,EDAM,format_3547,http://edamontology.org/format_3547
imzML metadata file,imzML metadata file,EDAM,format_3682,http://edamontology.org/format_3682
InChI,InChI,EDAM,format_1197,http://edamontology.org/format_1197
InChIKey,InChIKey,EDAM,format_1199,http://edamontology.org/format_1199
Individual genetic data format,Individual genetic data format,EDAM,format_3287,http://edamontology.org/format_3287
insdxml,insdxml,EDAM,format_2185,http://edamontology.org/format_2185
InterPro hits format,InterPro hits format,EDAM,format_1341,http://edamontology.org/format_1341
InterPro match table format,InterPro match table format,EDAM,format_1343,http://edamontology.org/format_1343
InterPro protein view report format,InterPro protein view report format,EDAM,format_1342,http://edamontology.org/format_1342
ISA-TAB,ISA-TAB,EDAM,format_3687,http://edamontology.org/format_3687
jackknifer,jackknifer,EDAM,format_1944,http://edamontology.org/format_1944
jackknifernon,jackknifernon,EDAM,format_1970,http://edamontology.org/format_1970
JASPAR format,JASPAR format,EDAM,format_1367,http://edamontology.org/format_1367
JPG,JPG,EDAM,format_3579,http://edamontology.org/format_3579
JSON,JSON,EDAM,format_3464,http://edamontology.org/format_3464
JSON-LD,JSON-LD,EDAM,format_3749,http://edamontology.org/format_3749
K-mer countgraph,K-mer countgraph,EDAM,format_3665,http://edamontology.org/format_3665
KGML,KGML,SWO,SWO_0000249,http://www.ebi.ac.uk/swo/SWO_0000249
KNIME datatable format,KNIME datatable format,EDAM,format_3765,http://edamontology.org/format_3765
KRSS2 Syntax,KRSS2 Syntax,EDAM,format_3254,http://edamontology.org/format_3254
latex,latex,EDAM,format_3817,http://edamontology.org/format_3817
LAV,LAV,EDAM,format_3014,http://edamontology.org/format_3014
lhf,lhf,EDAM,format_1337,http://edamontology.org/format_1337
Linked data format,Linked data format,EDAM,format_3748,http://edamontology.org/format_3748
lma,lma,SWO,SWO_0000596,http://www.ebi.ac.uk/swo/SWO_0000596
LocARNA PP,LocARNA PP,EDAM,format_3728,http://edamontology.org/format_3728
MAF,MAF,EDAM,format_3008,http://edamontology.org/format_3008
MAGE-ML,MAGE-ML,EDAM,format_3161,http://edamontology.org/format_3161
MAGE-TAB,MAGE-TAB,EDAM,format_3162,http://edamontology.org/format_3162
Manchester OWL Syntax,Manchester OWL Syntax,EDAM,format_3253,http://edamontology.org/format_3253
MAP,MAP,EDAM,format_3285,http://edamontology.org/format_3285
Map format,Map format,EDAM,format_2060,http://edamontology.org/format_2060
markx0,markx0,EDAM,format_1985,http://edamontology.org/format_1985
markx0 variant,markx0 variant,EDAM,format_2922,http://edamontology.org/format_2922
markx1,markx1,EDAM,format_1986,http://edamontology.org/format_1986
markx10,markx10,EDAM,format_1987,http://edamontology.org/format_1987
markx2,markx2,EDAM,format_1988,http://edamontology.org/format_1988
markx3,markx3,EDAM,format_1989,http://edamontology.org/format_1989
mas5 format,mas5 format,SWO,SWO_0000615,http://www.ebi.ac.uk/swo/SWO_0000615
Mascot .dat file,Mascot .dat file,EDAM,format_3713,http://edamontology.org/format_3713
mase format,mase format,EDAM,format_1945,http://edamontology.org/format_1945
Mass spectrometry data format,Mass spectrometry data format,EDAM,format_3245,http://edamontology.org/format_3245
MAT,MAT,EDAM,format_3626,http://edamontology.org/format_3626
match,match,EDAM,format_1990,http://edamontology.org/format_1990
MathML 2.0,MathML 2.0,SWO,SWO_3000074,http://www.ebi.ac.uk/swo/data/SWO_3000074
Matrix format,Matrix format,EDAM,format_3033,http://edamontology.org/format_3033
MaxQuant APL peaklist format,MaxQuant APL peaklist format,EDAM,format_3714,http://edamontology.org/format_3714
MCPD,"MCPD",EDAM,format_3777,http://edamontology.org/format_3777
md5,MD5 Checksum,NCIT,NCIT_C171276,http://purl.obolibrary.org/obo/NCIT_C171276
medline,medline,EDAM,format_2194,http://edamontology.org/format_2194
Medline Display Format,Medline Display Format,EDAM,format_1735,http://edamontology.org/format_1735
mega,mega,EDAM,format_1991,http://edamontology.org/format_1991
mega variant,mega variant,EDAM,format_2923,http://edamontology.org/format_2923
mega-seq,mega-seq,EDAM,format_1946,http://edamontology.org/format_1946
meganon,meganon,EDAM,format_1992,http://edamontology.org/format_1992
MEME background Markov model,MEME background Markov model,EDAM,format_1369,http://edamontology.org/format_1369
MEME Dirichlet prior,MEME Dirichlet prior,EDAM,format_1350,http://edamontology.org/format_1350
meme-motif,meme-motif,EDAM,format_1360,http://edamontology.org/format_1360
mf,mf,EDAM,format_1198,http://edamontology.org/format_1198
MGF,MGF,EDAM,format_3651,http://edamontology.org/format_3651
mhd,mhd,EDAM,format_3550,http://edamontology.org/format_3550
MHTML,MHTML,EDAM,format_3556,http://edamontology.org/format_3556
Microarray experiment data format,Microarray experiment data format,EDAM,format_2056,http://edamontology.org/format_2056
mira,mira,EDAM,format_1629,http://edamontology.org/format_1629
mmCIF,mmCIF,EDAM,format_1477,http://edamontology.org/format_1477
Mol2,Mol2,EDAM,format_3816,http://edamontology.org/format_3816
Molfile,Molfile,EDAM,format_3815,http://edamontology.org/format_3815
MSF,MSF,EDAM,format_3702,http://edamontology.org/format_3702
mspcrunch,mspcrunch,EDAM,format_1334,http://edamontology.org/format_1334
mzData,mzData,EDAM,format_3834,http://edamontology.org/format_3834
mzIdentML,mzIdentML,EDAM,format_3247,http://edamontology.org/format_3247
mzML,mzML,EDAM,format_3244,http://edamontology.org/format_3244
mzQuantML,mzQuantML,EDAM,format_3248,http://edamontology.org/format_3248
mzTab,mzTab,EDAM,format_3681,http://edamontology.org/format_3681
mzXML,mzXML,EDAM,format_3654,http://edamontology.org/format_3654
N-Triples,N-Triples,EDAM,format_3256,http://edamontology.org/format_3256
nbrf/pir,nbrf/pir,EDAM,format_1948,http://edamontology.org/format_1948
NCBI format,NCBI format,EDAM,format_1972,http://edamontology.org/format_1972
netCDF,netCDF,EDAM,format_3650,http://edamontology.org/format_3650
newick,newick,EDAM,format_1910,http://edamontology.org/format_1910
NeXML,NeXML,EDAM,format_3160,http://edamontology.org/format_3160
Nexus format,Nexus format,EDAM,format_1912,http://edamontology.org/format_1912
nexus-seq,nexus-seq,EDAM,format_1949,http://edamontology.org/format_1949
nexusnon,nexusnon,EDAM,format_1973,http://edamontology.org/format_1973
nii,nii,EDAM,format_3549,http://edamontology.org/format_3549
nmrML,nmrML,EDAM,format_3825,http://edamontology.org/format_3825
Notation3,Notation3,EDAM,format_3257,http://edamontology.org/format_3257
nrrd,nrrd,EDAM,format_3551,http://edamontology.org/format_3551
Nucleic acid features (primers) format,Nucleic acid features (primers) format,EDAM,format_2061,http://edamontology.org/format_2061
Nucleic acid features (restriction sites) format,Nucleic acid features (restriction sites) format,EDAM,format_2158,http://edamontology.org/format_2158
nucleotide,nucleotide,EDAM,format_1207,http://edamontology.org/format_1207
OBO,OBO,EDAM,format_2549,http://edamontology.org/format_2549
OBO Flat File Format,OBO Flat File Format,EDAM,format_2549,http://edamontology.org/format_2549
OBO format,OBO format,EDAM,format_2196,http://edamontology.org/format_2196
OBO-XML,OBO-XML,EDAM,format_2550,http://edamontology.org/format_2550
OME-TIFF,OME-TIFF,EDAM,format_3727,http://edamontology.org/format_3727
Ontology format,Ontology format,EDAM,format_2195,http://edamontology.org/format_2195
Open Annotation format,Open Annotation format,EDAM,format_3784,http://edamontology.org/format_3784
OSCAR format,OSCAR format,EDAM,format_1741,http://edamontology.org/format_1741
OWL format,OWL format,EDAM,format_2197,http://edamontology.org/format_2197
OWL Functional Syntax,OWL Functional Syntax,EDAM,format_3252,http://edamontology.org/format_3252
OWL-XML,OWL-XML,SWO,SWO_3000038,http://www.ebi.ac.uk/swo/data/SWO_3000038
OWL/XML,OWL/XML,EDAM,format_3262,http://edamontology.org/format_3262
OWL2-XML,OWL2-XML,SWO,SWO_3000039,http://www.ebi.ac.uk/swo/data/SWO_3000039
pair,pair,EDAM,format_1996,http://edamontology.org/format_1996
pbm,pbm,EDAM,format_3601,http://edamontology.org/format_3601
pcd,pcd,EDAM,format_3594,http://edamontology.org/format_3594
Pcons report format,Pcons report format,EDAM,format_1551,http://edamontology.org/format_1551
pcx,pcx,EDAM,format_3595,http://edamontology.org/format_3595
PDB,PDB,EDAM,format_1476,http://edamontology.org/format_1476
PDB database entry format,PDB database entry format,EDAM,format_1475,http://edamontology.org/format_1475
