name,order,code,parent,ontologyTermURI,definition,codesystem
A04 Other bacterial intestinal infections,27,A04,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04,,ICD10
A04.0 Other bacterial intestinal infections - Enteropathogenic Escherichia coli infection,28,A04.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.0,,ICD10
A04.1 Other bacterial intestinal infections - Enterotoxigenic Escherichia coli infection,29,A04.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.1,,ICD10
A04.2 Other bacterial intestinal infections - Enteroinvasive Escherichia coli infection,30,A04.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.2,,ICD10
A04.3 Other bacterial intestinal infections - Enterohaemorrhagic Escherichia coli infection,31,A04.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.3,,ICD10
A04.4 Other intestinal Escherichia coli infections,32,A04.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.4,,ICD10
A04.5 Other bacterial intestinal infections - Campylobacter enteritis,33,A04.5,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.5,,ICD10
A04.6 Other bacterial intestinal infections - Enteritis due to Yersinia enterocolitica,34,A04.6,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.6,,ICD10
A04.7 Other bacterial intestinal infections - Enterocolitis due to Clostridium difficile,35,A04.7,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.7,,ICD10
A04.8 Other specified bacterial intestinal infections,36,A04.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.8,ORPHAcode: 90078 Invasive infections due to vancomycin-resistant enterococci,ICD10
"A04.9 Bacterial intestinal infection, unspecified",37,A04.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A04.9,,ICD10
"A05 Other bacterial foodborne intoxications, not elsewhere classified",38,A05,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05,,ICD10
A05.0 Foodborne staphylococcal intoxication,39,A05.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.0,,ICD10
"A05.1 Other bacterial foodborne intoxications, not elsewhere classified - Botulism",40,A05.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.1,ORPHAcode: 1267 Botulism,ICD10
A05.2 Foodborne Clostridium perfringens [Clostridium welchii] intoxication,41,A05.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.2,,ICD10
A05.3 Foodborne Vibrio parahaemolyticus intoxication,42,A05.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.3,,ICD10
A05.4 Foodborne Bacillus cereus intoxication,43,A05.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.4,,ICD10
A05.8 Other specified bacterial foodborne intoxications,44,A05.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.8,,ICD10
"A05.9 Bacterial foodborne intoxication, unspecified",45,A05.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A05.9,,ICD10
A06 Amoebiasis,46,A06,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06,,ICD10
A06.0 Amoebiasis - Acute amoebic dysentery,47,A06.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.0,ORPHAcode: 67 Amoebiasis due to Entamoeba histolytica,ICD10
A06.1 Chronic intestinal amoebiasis,48,A06.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.1,,ICD10
A06.2 Amoebiasis - Amoebic nondysenteric colitis,49,A06.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.2,,ICD10
A06.3 Amoebiasis - Amoeboma of intestine,50,A06.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.3,,ICD10
A06.4 Amoebiasis - Amoebic liver abscess,51,A06.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.4,,ICD10
A06.5 Amoebiasis - Amoebic lung abscess,52,A06.5,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.5,,ICD10
A06.6 Amoebiasis - Amoebic brain abscess,53,A06.6,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.6,,ICD10
A06.7 Cutaneous amoebiasis,54,A06.7,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.7,,ICD10
A06.8 Amoebiasis - Amoebic infection of other sites,55,A06.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.8,,ICD10
"A06.9 Amoebiasis, unspecified",56,A06.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A06.9,,ICD10
A07 Other protozoal intestinal diseases,57,A07,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07,,ICD10
A07.0 Other protozoal intestinal diseases - Balantidiasis,58,A07.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.0,ORPHAcode: 1223 Balantidiasis,ICD10
A07.1 Other protozoal intestinal diseases - Giardiasis [lambliasis],59,A07.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.1,,ICD10
"A15.3 Tuberculosis of lung, confirmed by unspecified means",60,A15.3,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.3,,ICD10
A07.2 Other protozoal intestinal diseases - Cryptosporidiosis,61,A07.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.2,ORPHAcode: 1549 Cryptosporidiosis,ICD10
A07.3 Other protozoal intestinal diseases - Isosporiasis,62,A07.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.3,ORPHAcode: 210 Cyclosporosis,ICD10
A07.8 Other specified protozoal intestinal diseases,63,A07.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.8,ORPHAcode: 54368 Sarcocystosis,ICD10
"A07.9 Protozoal intestinal disease, unspecified",64,A07.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A07.9,,ICD10
A08 Viral and other specified intestinal infections,65,A08,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08,,ICD10
A08.0 Rotaviral enteritis,66,A08.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.0,,ICD10
A08.1 Viral and other specified intestinal infections - Acute gastroenteropathy due to Norwalk agent,67,A08.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.1,,ICD10
A08.2 Adenoviral enteritis,68,A08.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.2,,ICD10
A08.3 Other viral enteritis,69,A08.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.3,,ICD10
"A08.4 Viral intestinal infection, unspecified",70,A08.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.4,,ICD10
A08.5 Other specified intestinal infections,71,A08.5,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A08.5,,ICD10
A09 Other gastroenteritis and colitis of infectious and unspecified origin,72,A09,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A09,,ICD10
A09.0 Other and unspecified gastroenteritis and colitis of infectious origin,73,A09.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A09.0,,ICD10
A09.9 Gastroenteritis and colitis of unspecified origin,74,A09.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A09.9,,ICD10
A15-A19 Tuberculosis,75,,I Certain infectious and parasitic diseases,,,ICD10
"A15 Respiratory tuberculosis, bacteriologically and histologically confirmed",76,A15,A15-A19 Tuberculosis,http://identifiers.org/icd/A15,,ICD10
"A15.0 Tuberculosis of lung, confirmed by sputum microscopy with or without culture",77,A15.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.0,,ICD10
"A15.1 Tuberculosis of lung, confirmed by culture only",78,A15.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.1,,ICD10
"A15.2 Tuberculosis of lung, confirmed histologically",79,A15.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.2,,ICD10
B74 Filariasis,80,B74,B65-B83 Helminthiases,http://identifiers.org/icd/B74,,ICD10
"A15.4 Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",81,A15.4,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.4,,ICD10
"A15.5 Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",82,A15.5,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.5,,ICD10
"A15.6 Tuberculous pleurisy, confirmed bacteriologically and histologically",83,A15.6,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.6,,ICD10
"A15.7 Primary respiratory tuberculosis, confirmed bacteriologically and histologically",84,A15.7,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.7,,ICD10
"A15.8 Other respiratory tuberculosis, confirmed bacteriologically and histologically",85,A15.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.8,,ICD10
"A15.9 Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",86,A15.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.9,,ICD10
"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",87,A16,A15-A19 Tuberculosis,http://identifiers.org/icd/A16,,ICD10
"A16.0 Tuberculosis of lung, bacteriologically and histologically negative",88,A16.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.0,,ICD10
"A16.1 Tuberculosis of lung, bacteriological and histological examination not done",89,A16.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.1,,ICD10
"A16.2 Tuberculosis of lung, without mention of bacteriological or histological confirmation",90,A16.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.2,,ICD10
"A16.3 Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",91,A16.3,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.3,,ICD10
"A16.4 Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",92,A16.4,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.4,,ICD10
"A16.5 Tuberculous pleurisy, without mention of bacteriological or histological confirmation",93,A16.5,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.5,,ICD10
A16.7 Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,94,A16.7,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.7,,ICD10
"A16.8 Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",95,A16.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.8,,ICD10
"A16.9 Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",96,A16.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.9,,ICD10
A17 Tuberculosis of nervous system,97,A17,A15-A19 Tuberculosis,http://identifiers.org/icd/A17,ORPHAcode: 3389 Tuberculosis,ICD10
A17.0 Tuberculosis of nervous system - Tuberculous meningitis,98,A17.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.0,ORPHAcode: 499004 Tuberculous meningitis,ICD10
A17.1 Tuberculosis of nervous system - Meningeal tuberculoma,99,A17.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.1,,ICD10
A17.8 Other tuberculosis of nervous system,100,A17.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.8,,ICD10
"A17.9 Tuberculosis of nervous system, unspecified",101,A17.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.9,,ICD10
A18 Tuberculosis of other organs,102,A18,A15-A19 Tuberculosis,http://identifiers.org/icd/A18,,ICD10
A18.0 Tuberculosis of bones and joints,103,A18.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.0,,ICD10
A18.1 Tuberculosis of genitourinary system,104,A18.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.1,,ICD10
A18.2 Tuberculosis of other organs - Tuberculous peripheral lymphadenopathy,105,A18.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.2,,ICD10
"A18.3 Tuberculosis of intestines, peritoneum and mesenteric glands",106,A18.3,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.3,,ICD10
A18.4 Tuberculosis of skin and subcutaneous tissue,107,A18.4,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.4,,ICD10
A18.5 Tuberculosis of eye,108,A18.5,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.5,,ICD10
A18.6 Tuberculosis of ear,109,A18.6,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.6,,ICD10
A18.7 Tuberculosis of adrenal glands,110,A18.7,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.7,,ICD10
A18.8 Tuberculosis of other specified organs,111,A18.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.8,,ICD10
A19 Miliary tuberculosis,112,A19,A15-A19 Tuberculosis,http://identifiers.org/icd/A19,,ICD10
A19.0 Acute miliary tuberculosis of a single specified site,113,A19.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.0,,ICD10
A19.1 Acute miliary tuberculosis of multiple sites,114,A19.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.1,,ICD10
"A19.2 Acute miliary tuberculosis, unspecified",115,A19.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.2,,ICD10
A19.8 Other miliary tuberculosis,116,A19.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.8,,ICD10
"A19.9 Miliary tuberculosis, unspecified",117,A19.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.9,,ICD10
A20-A28 Certain zoonotic bacterial diseases,118,,I Certain infectious and parasitic diseases,,,ICD10
A20 Plague,119,A20,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20,,ICD10
A20.0 Bubonic plague,120,A20.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.0,ORPHAcode: 707 Plague,ICD10
A20.1 Cellulocutaneous plague,121,A20.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.1,,ICD10
A20.2 Pneumonic plague,122,A20.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.2,,ICD10
A20.3 Plague meningitis,123,A20.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.3,,ICD10
A20.7 Septicaemic plague,124,A20.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.7,,ICD10
A20.8 Other forms of plague,125,A20.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.8,,ICD10
"A20.9 Plague, unspecified",126,A20.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.9,,ICD10
A21 Tularaemia,127,A21,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21,,ICD10
A21.0 Ulceroglandular tularaemia,128,A21.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.0,ORPHAcode: 3392 Tularemia,ICD10
A21.1 Oculoglandular tularaemia,129,A21.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.1,,ICD10
A21.2 Pulmonary tularaemia,130,A21.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.2,,ICD10
A21.3 Gastrointestinal tularaemia,131,A21.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.3,,ICD10
A21.7 Generalized tularaemia,132,A21.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.7,,ICD10
A21.8 Other forms of tularaemia,133,A21.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.8,,ICD10
"A21.9 Tularaemia, unspecified",134,A21.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.9,,ICD10
A22 Anthrax,135,A22,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22,,ICD10
A22.0 Cutaneous anthrax,136,A22.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.0,,ICD10
A22.1 Pulmonary anthrax,137,A22.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.1,ORPHAcode: 247257 Inhalational anthrax,ICD10
A22.2 Gastrointestinal anthrax,138,A22.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.2,,ICD10
A22.7 Anthrax sepsis,139,A22.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.7,,ICD10
A22.8 Other forms of anthrax,140,A22.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.8,,ICD10
"A22.9 Anthrax, unspecified",141,A22.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.9,,ICD10
A23 Brucellosis,142,A23,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23,,ICD10
A23.0 Brucellosis due to Brucella melitensis,143,A23.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.0,,ICD10
A23.1 Brucellosis due to Brucella abortus,144,A23.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.1,,ICD10
A23.2 Brucellosis due to Brucella suis,145,A23.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.2,,ICD10
A23.3 Brucellosis due to Brucella canis,146,A23.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.3,ORPHAcode: 1304 Brucellosis,ICD10
A23.8 Other brucellosis,147,A23.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.8,,ICD10
"A23.9 Brucellosis, unspecified",148,A23.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.9,,ICD10
A24 Glanders and melioidosis,149,A24,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24,,ICD10
A24.0 Glanders,150,A24.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.0,,ICD10
A24.1 Acute and fulminating melioidosis,151,A24.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.1,ORPHAcode: 31202 Melioidosis,ICD10
A24.2 Subacute and chronic melioidosis,152,A24.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.2,,ICD10
A24.3 Other melioidosis,153,A24.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.3,,ICD10
"A24.4 Melioidosis, unspecified",154,A24.4,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.4,,ICD10
A25 Rat-bite fevers,155,A25,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25,,ICD10
A25.0 Rat-bite fevers - Spirillosis,156,A25.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25.0,ORPHAcode: 31205 Rat-bite fever,ICD10
A25.1 Rat-bite fevers - Streptobacillosis,157,A25.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25.1,,ICD10
"A25.9 Rat-bite fevers - Rat-bite fever, unspecified",158,A25.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25.9,,ICD10
A26 Erysipeloid,159,A26,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26,,ICD10
A26.0 Cutaneous erysipeloid,160,A26.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.0,,ICD10
A26.7 Erysipeloid - Erysipelothrix sepsis,161,A26.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.7,,ICD10
A26.8 Other forms of erysipeloid,162,A26.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.8,,ICD10
"A26.9 Erysipeloid, unspecified",163,A26.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.9,,ICD10
A27 Leptospirosis,164,A27,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27,,ICD10
A27.0 Leptospirosis icterohaemorrhagica,165,A27.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27.0,,ICD10
A27.8 Other forms of leptospirosis,166,A27.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27.8,ORPHAcode: 509 Leptospirosis,ICD10
"A27.9 Leptospirosis, unspecified",167,A27.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27.9,,ICD10
"A28 Other zoonotic bacterial diseases, not elsewhere classified",168,A28,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A28,,ICD10
"A28.0 Other zoonotic bacterial diseases, not elsewhere classified - Pasteurellosis",169,A28.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A28.0,,ICD10
A30-A49 Other bacterial diseases,170,,I Certain infectious and parasitic diseases,,,ICD10
A30 Leprosy [Hansen disease],171,A30,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30,,ICD10
A30.0 Indeterminate leprosy,172,A30.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.0,ORPHAcode: 548 Leprosy,ICD10
A30.1 Tuberculoid leprosy,173,A30.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.1,,ICD10
A30.2 Borderline tuberculoid leprosy,174,A30.2,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.2,,ICD10
A30.3 Borderline leprosy,175,A30.3,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.3,,ICD10
A30.4 Borderline lepromatous leprosy,176,A30.4,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.4,,ICD10
A30.5 Lepromatous leprosy,177,A30.5,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.5,,ICD10
A30.8 Other forms of leprosy,178,A30.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.8,,ICD10
"A30.9 Leprosy, unspecified",179,A30.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.9,,ICD10
A31 Infection due to other mycobacteria,180,A31,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31,,ICD10
A31.0 Pulmonary mycobacterial infection,181,A31.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.0,ORPHAcode: 411703 Pulmonary non-tuberculous mycobacterial infection,ICD10
A31.1 Cutaneous mycobacterial infection,182,A31.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.1,,ICD10
A31.8 Other mycobacterial infections,183,A31.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.8,,ICD10
"A31.9 Mycobacterial infection, unspecified",184,A31.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.9,,ICD10
A32 Listeriosis,185,A32,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32,,ICD10
A32.0 Cutaneous listeriosis,186,A32.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.0,ORPHAcode: 533 Listeriosis,ICD10
A32.1 Listeriosis - Listerial meningitis and meningoencephalitis,187,A32.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.1,,ICD10
A32.7 Listeriosis - Listerial sepsis,188,A32.7,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.7,,ICD10
A32.8 Other forms of listeriosis,189,A32.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.8,,ICD10
"A32.9 Listeriosis, unspecified",190,A32.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.9,,ICD10
A33 Tetanus neonatorum,191,A33,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A33,ORPHAcode: 3299 Tetanus,ICD10
A34 Obstetrical tetanus,192,A34,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A34,,ICD10
A35 Other tetanus,193,A35,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A35,,ICD10
A36 Diphtheria,194,A36,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36,,ICD10
A36.0 Pharyngeal diphtheria,195,A36.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.0,,ICD10
A36.1 Nasopharyngeal diphtheria,196,A36.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.1,ORPHAcode: 1679 Diphtheria,ICD10
A36.2 Laryngeal diphtheria,197,A36.2,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.2,,ICD10
