name,label,parent,codesystem,code,ontologyTermURI,definition
Administrative healthcare claims,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030057,
Spontaneous reporting of adverse drug reactions,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030058,
Specialist ambulatory care records,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030059,
Health records other,,Health records,,,,
Clinical trial,,,,,,
Clinical Trial Randomisation,,Clinical trial,,,,
Randomised clinical trial,,Clinical Trial Randomisation,,,,
Non-randomised clinical trial,,Clinical Trial Randomisation,,,,
Low-interventional clinical trial,,Clinical trial,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030925/terms/200000030936,
Single-arm trial,,Clinical trial,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030925/terms/200000030937,
Large simple trial,,Clinical trial,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030925/terms/200000030938,
Pragmatic clinical trial,,Clinical trial,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030925/terms/200000030939,
Cluster randomised trial,,Clinical trial,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030925/terms/200000030940,
Clinical trial other,,Clinical trial,,,,
Clinical trial phase,,Clinical trial,,,,
Human pharmacology (Phase I),,Clinical trial phase,,,https://spor.ema.europa.eu/rmswi/#/lists/100000075935/terms/100000076036,
Therapeutic exploratory (Phase II),,Clinical trial phase,,,https://spor.ema.europa.eu/rmswi/#/lists/100000075935/terms/100000076040,
Therapeutic confirmatory (Phase III),,Clinical trial phase,,,https://spor.ema.europa.eu/rmswi/#/lists/100000075935/terms/100000076041,
Therapeutic use (Phase IV),,Clinical trial phase,,,https://spor.ema.europa.eu/rmswi/#/lists/100000075935/terms/100000076042,
Data collection methods,,,,,,
Primary data collection,,Data collection methods,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030956/terms/200000030957,
Secondary data collection,,Data collection methods,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030956/terms/200000030958,
Combined primary and secondary data collection,,Data collection methods,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030956/terms/200000030959,
No individual level data collected for the purpose of the study,,Data collection methods,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030956/terms/200000031039,
Network,,,,,,
h2020,,Network,,,,
harmonization,,Network,,,,
Topical network,,Network,,,,
RIA - Data science,,Network,,,,
Initiative,,Network,,,,
CSA,,Network,,,,
Data science,,Network,,,,
EU4health - Diagnosis and Treatment,,Network,,,,
RIA - Quality of Life,,Network,,,,
CSA - Data science,,Network,,,,
RIA - Prevention and Early Detection,,Network,,,,
RIA - Diagnosis and treatment,,Network,,,,
Research and development,,Network,,,,
IMI - Research and Innovation,,Network,,,,
Diagnosis and Treatment,,Network,,,,
Training & Research Networks,,Network,,,,
EU4health - Prevention,,Network,,,,
EU4health - Early Detection,,Network,,,,
Joint Action,,Network,,,,
EU4health - Quality of Life,,Network,,,,
Prognostics,,Network,,,,
Research Group,,Network,,,,
RIA - Research and Innovation,,Network,,,,
RIA,,Network,,,,
ERC - Research,,Network,,,,
