name,code,order,parent,ontologyTermURI
A01AB12 (hexetidine),A01AB12,54,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093575
A01AB13 (tetracycline),A01AB13,55,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093576
A01AB14 (benzoxonium chloride),A01AB14,56,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093577
A01AB15 (tibezonium iodide),A01AB15,57,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093578
A01AB16 (mepartricin),A01AB16,58,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093579
A01AB17 (metronidazole),A01AB17,59,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093580
A01AB18 (clotrimazole),A01AB18,60,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093581
A01AB19 (sodium perborate),A01AB19,61,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093582
A01AB21 (chlortetracycline),A01AB21,62,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093583
A01AB22 (doxycycline),A01AB22,63,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093584
A01AB23 (minocycline),A01AB23,64,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093585
A01AC (Corticosteroids for local oral treatment),A01AC,65,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093586
A01AC01 (triamcinolone),A01AC01,66,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093587
A01AC02 (dexamethasone),A01AC02,67,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093588
A01AC03 (hydrocortisone),A01AC03,68,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093589
"A01AC54 (prednisolone, combinations)",A01AC54,69,A01AC (Corticosteroids for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093590
A07DA04 (difenoxin),A07DA04,70,A07DA (Antipropulsives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093591
A07DA05 (loperamide oxide),A07DA05,71,A07DA (Antipropulsives),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093592
A02AB03 (aluminium phosphate),A02AB03,72,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093593
A02AB04 (dihydroxialumini sodium carbonate),A02AB04,73,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093594
A02AB05 (aluminium acetoacetate),A02AB05,74,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093595
A02AB06 (aloglutamol),A02AB06,75,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093596
A02AB07 (aluminium glycinate),A02AB07,76,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093597
A02AB10 (combinations),A02AB10,77,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093598
A02AC (Calcium compounds),A02AC,78,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093599
A02AC01 (calcium carbonate),A02AC01,79,A02AC (Calcium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093600
A02AC02 (calcium silicate),A02AC02,80,A02AC (Calcium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093601
A02AC10 (combinations),A02AC10,81,A02AC (Calcium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093602
"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",A02AD,82,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093603
A02AD01 (ordinary salt combinations),A02AD01,83,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093604
A02AD02 (magaldrate),A02AD02,84,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093605
A02AD03 (almagate),A02AD03,85,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093606
A02AD04 (hydrotalcite),A02AD04,86,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093607
A02AD05 (almasilate),A02AD05,87,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093608
A02AF (Antacids with antiflatulents),A02AF,88,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093609
A02AF01 (magaldrate and antiflatulents),A02AF01,89,A02AF (Antacids with antiflatulents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093610
A02AF02 (ordinary salt combinations and antiflatulents),A02AF02,90,A02AF (Antacids with antiflatulents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093611
A02AG (Antacids with antispasmodics),A02AG,91,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093612
A02AH (Antacids with sodium bicarbonate),A02AH,92,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093613
"A02AX (Antacids, other combinations)",A02AX,93,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093614
A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),A02B,94,A02 (DRUGS FOR ACID RELATED DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093615
A02BA (H2-receptor antagonists),A02BA,95,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093616
A02BA01 (cimetidine),A02BA01,96,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093617
A02BA02 (ranitidine),A02BA02,97,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093618
A02BA03 (famotidine),A02BA03,98,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093619
A02BA04 (nizatidine),A02BA04,99,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093620
A02BA05 (niperotidine),A02BA05,100,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093621
A02BA06 (roxatidine),A02BA06,101,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093622
A02BA07 (ranitidine bismuth citrate),A02BA07,102,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093623
A02BA08 (lafutidine),A02BA08,103,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093624
"A02BA51 (cimetidine, combinations)",A02BA51,104,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093625
"A02BA53 (famotidine, combinations)",A02BA53,105,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093626
A02BB (Prostaglandins),A02BB,106,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093627
A02BB01 (misoprostol),A02BB01,107,A02BB (Prostaglandins),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093628
A02BB02 (enprostil),A02BB02,108,A02BB (Prostaglandins),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093629
A02BC (Proton pump inhibitors),A02BC,109,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093630
A02BC01 (omeprazole),A02BC01,110,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093631
A02BC02 (pantoprazole),A02BC02,111,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093632
A02BC03 (lansoprazole),A02BC03,112,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093633
A02BC04 (rabeprazole),A02BC04,113,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093634
A02BC05 (esomeprazole),A02BC05,114,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093635
A02BD (Combinations for eradication of Helicobacter pylori),A02BD,115,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093636
"A02BD01 (omeprazole, amoxicillin and metronidazole)",A02BD01,116,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093637
"A02BD02 (lansoprazole, tetracycline and metronidazole)",A02BD02,117,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093638
"A02BD03 (lansoprazole, amoxicillin and metronidazole)",A02BD03,118,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093639
"A02BD04 (pantoprazole, amoxicillin and clarithromycin)",A02BD04,119,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093640
"A02BD05 (omeprazole, amoxicillin and clarithromycin)",A02BD05,120,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093641
"A02BD06 (esomeprazole, amoxicillin and clarithromycin)",A02BD06,121,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093642
A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),A02BX,122,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093643
A02BX01 (carbenoxolone),A02BX01,123,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093644
A02BX02 (sucralfate),A02BX02,124,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093645
A02BX03 (pirenzepine),A02BX03,125,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093646
A02BX04 (methiosulfonium chloride),A02BX04,126,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093647
A02BX05 (bismuth subcitrate),A02BX05,127,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093648
A02BX06 (proglumide),A02BX06,128,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093649
A02BX07 (gefarnate),A02BX07,129,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093650
A02BX08 (sulglicotide),A02BX08,130,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093651
A02BX09 (acetoxolone),A02BX09,131,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093652
A02BX10 (zolimidine),A02BX10,132,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093653
A02BX11 (troxipide),A02BX11,133,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093654
A02BX12 (bismuth subnitrate),A02BX12,134,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093655
A02BX13 (alginic acid),A02BX13,135,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093656
"A02BX51 (carbenoxolone, combinations excl. psycholeptics)",A02BX51,136,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093657
"A02BX71 (carbenoxolone, combinations with psycholeptics)",A02BX71,137,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093658
"A02BX77 (gefarnate, combinations with psycholeptics)",A02BX77,138,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093659
A02X (OTHER DRUGS FOR ACID RELATED DISORDERS),A02X,139,A02 (DRUGS FOR ACID RELATED DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093660
A03 (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),A03,140,A (ALIMENTARY TRACT AND METABOLISM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093661
A03A (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),A03A,141,A03 (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093662
"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",A03AA,142,A03A (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093663
A03AA01 (oxyphencyclimine),A03AA01,143,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093664
A03AA03 (camylofin),A03AA03,144,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093665
A03AA04 (mebeverine),A03AA04,145,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093666
A03AA05 (trimebutine),A03AA05,146,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093667
A03AA06 (rociverine),A03AA06,147,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093668
A03AA07 (dicycloverine),A03AA07,148,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093669
A03AA08 (dihexyverine),A03AA08,149,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093670
A03AA09 (difemerine),A03AA09,150,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093671
A03AA30 (piperidolate),A03AA30,151,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093672
"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",A03AB,152,A03A (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093673
A03AB01 (benzilone),A03AB01,153,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093674
A03AB02 (glycopyrronium bromide),A03AB02,154,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093675
A03AB03 (oxyphenonium),A03AB03,155,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093676
A03AB04 (penthienate),A03AB04,156,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093677
A03AB05 (propantheline),A03AB05,157,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093678
A03AB06 (otilonium bromide),A03AB06,158,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093679
A03AB07 (methantheline),A03AB07,159,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093680
A03AB08 (tridihexethyl),A03AB08,160,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093681
A03AB09 (isopropamide),A03AB09,161,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093682
A03AB10 (hexocyclium),A03AB10,162,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093683
A03AB11 (poldine),A03AB11,163,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093684
A03AB12 (mepenzolate),A03AB12,164,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093685
