order,name,label,codesystem,code,definition,ontologyTermURI
,ABCA15P,ABCA15P,HGNC,HGNC:34405,"ATP binding cassette subfamily A member 15, pseudogene",https://identifiers.org/hgnc:34405
,ABCA16P,ABCA16P,HGNC,HGNC:55707,"ATP binding cassette subfamily A member 16, pseudogene",https://identifiers.org/hgnc:55707
,ABCA17P,ABCA17P,HGNC,HGNC:32972,"ATP binding cassette subfamily A member 17, pseudogene",https://identifiers.org/hgnc:32972
,ABCB1,ABCB1,HGNC,HGNC:40,ATP binding cassette subfamily B member 1,https://identifiers.org/hgnc:40
,ABCB4,ABCB4,HGNC,HGNC:45,ATP binding cassette subfamily B member 4,https://identifiers.org/hgnc:45
,ABCB4P1,ABCB4P1,HGNC,HGNC:59206,ABCB4 pseudogene 1,https://identifiers.org/hgnc:59206
,ABCB5,ABCB5,HGNC,HGNC:46,ATP binding cassette subfamily B member 5,https://identifiers.org/hgnc:46
,ABCB6,ABCB6,HGNC,HGNC:47,ATP binding cassette subfamily B member 6 (LAN blood group),https://identifiers.org/hgnc:47
,ABCB7,ABCB7,HGNC,HGNC:48,ATP binding cassette subfamily B member 7,https://identifiers.org/hgnc:48
,ABCB8,ABCB8,HGNC,HGNC:49,ATP binding cassette subfamily B member 8,https://identifiers.org/hgnc:49
,ABCB9,ABCB9,HGNC,HGNC:50,ATP binding cassette subfamily B member 9,https://identifiers.org/hgnc:50
,ABCB10,ABCB10,HGNC,HGNC:41,ATP binding cassette subfamily B member 10,https://identifiers.org/hgnc:41
,ABCB10P1,ABCB10P1,HGNC,HGNC:14114,ABCB10 pseudogene 1,https://identifiers.org/hgnc:14114
,ABCB10P3,ABCB10P3,HGNC,HGNC:31129,ABCB10 pseudogene 3,https://identifiers.org/hgnc:31129
,ABCB10P4,ABCB10P4,HGNC,HGNC:31130,ABCB10 pseudogene 4,https://identifiers.org/hgnc:31130
,ABCB11,ABCB11,HGNC,HGNC:42,ATP binding cassette subfamily B member 11,https://identifiers.org/hgnc:42
,ABCC1,ABCC1,HGNC,HGNC:51,ATP binding cassette subfamily C member 1 (ABCC1 blood group),https://identifiers.org/hgnc:51
,ABCC2,ABCC2,HGNC,HGNC:53,ATP binding cassette subfamily C member 2,https://identifiers.org/hgnc:53
,ABCC3,ABCC3,HGNC,HGNC:54,ATP binding cassette subfamily C member 3,https://identifiers.org/hgnc:54
,ABCC4,ABCC4,HGNC,HGNC:55,ATP binding cassette subfamily C member 4 (PEL blood group),https://identifiers.org/hgnc:55
,ABCC5,ABCC5,HGNC,HGNC:56,ATP binding cassette subfamily C member 5,https://identifiers.org/hgnc:56
,ABCC5-AS1,ABCC5-AS1,HGNC,HGNC:40055,ABCC5 antisense RNA 1,https://identifiers.org/hgnc:40055
,ABCC6,ABCC6,HGNC,HGNC:57,ATP binding cassette subfamily C member 6,https://identifiers.org/hgnc:57
,ABCC6P1,ABCC6P1,HGNC,HGNC:33352,ATP binding cassette subfamily C member 6 pseudogene 1,https://identifiers.org/hgnc:33352
,ABCC6P2,ABCC6P2,HGNC,HGNC:33353,ATP binding cassette subfamily C member 6 pseudogene 2,https://identifiers.org/hgnc:33353
,ABCC8,ABCC8,HGNC,HGNC:59,ATP binding cassette subfamily C member 8,https://identifiers.org/hgnc:59
,ABCC9,ABCC9,HGNC,HGNC:60,ATP binding cassette subfamily C member 9,https://identifiers.org/hgnc:60
,ABCC10,ABCC10,HGNC,HGNC:52,ATP binding cassette subfamily C member 10,https://identifiers.org/hgnc:52
,ABCC11,ABCC11,HGNC,HGNC:14639,ATP binding cassette subfamily C member 11,https://identifiers.org/hgnc:14639
,ABCC12,ABCC12,HGNC,HGNC:14640,ATP binding cassette subfamily C member 12,https://identifiers.org/hgnc:14640
,ABCC13,ABCC13,HGNC,HGNC:16022,ATP binding cassette subfamily C member 13 (pseudogene),https://identifiers.org/hgnc:16022
,ABCD1,ABCD1,HGNC,HGNC:61,ATP binding cassette subfamily D member 1,https://identifiers.org/hgnc:61
,ABCD1P1,ABCD1P1,HGNC,HGNC:62,ATP binding cassette subfamily D member 1 pseudogene 1,https://identifiers.org/hgnc:62
,ABCD1P2,ABCD1P2,HGNC,HGNC:63,ATP binding cassette subfamily D member 1 pseudogene 2,https://identifiers.org/hgnc:63
,ABCD1P3,ABCD1P3,HGNC,HGNC:64,ATP binding cassette subfamily D member 1 pseudogene 3,https://identifiers.org/hgnc:64
,ABCD1P4,ABCD1P4,HGNC,HGNC:65,ATP binding cassette subfamily D member 1 pseudogene 4,https://identifiers.org/hgnc:65
,ABCD1P5,ABCD1P5,HGNC,HGNC:42662,ATP binding cassette subfamily D member 1 pseudogene 5,https://identifiers.org/hgnc:42662
,ABCD2,ABCD2,HGNC,HGNC:66,ATP binding cassette subfamily D member 2,https://identifiers.org/hgnc:66
,ABCD3,ABCD3,HGNC,HGNC:67,ATP binding cassette subfamily D member 3,https://identifiers.org/hgnc:67
,ABCD4,ABCD4,HGNC,HGNC:68,ATP binding cassette subfamily D member 4,https://identifiers.org/hgnc:68
,ABCE1,ABCE1,HGNC,HGNC:69,ATP binding cassette subfamily E member 1,https://identifiers.org/hgnc:69
,ABCE1P1,ABCE1P1,HGNC,HGNC:58656,ABCE1 pseudogene 1,https://identifiers.org/hgnc:58656
,ABCE1P2,ABCE1P2,HGNC,HGNC:58657,ABCE1 pseudogene 2,https://identifiers.org/hgnc:58657
,ABCE1P3,ABCE1P3,HGNC,HGNC:58658,ABCE1 pseudogene 3,https://identifiers.org/hgnc:58658
,ABCF1,ABCF1,HGNC,HGNC:70,ATP binding cassette subfamily F member 1,https://identifiers.org/hgnc:70
,ABCF1-DT,ABCF1-DT,HGNC,HGNC:53628,ABCF1 divergent transcript,https://identifiers.org/hgnc:53628
,ABCF2,ABCF2,HGNC,HGNC:71,ATP binding cassette subfamily F member 2,https://identifiers.org/hgnc:71
,readthrough,readthrough,HGNC,HGNC:00010,,https://identifiers.org/hgnc:00010
,ABCF2-H2BK1,ABCF2-H2BK1,HGNC,HGNC:54751,ABCF2-H2BK1 readthrough,https://identifiers.org/hgnc:54751
,ABCF2P1,ABCF2P1,HGNC,HGNC:48841,ATP binding cassette subfamily F member 2 pseudogene 1,https://identifiers.org/hgnc:48841
,ABCF2P2,ABCF2P2,HGNC,HGNC:48842,ATP binding cassette subfamily F member 2 pseudogene 2,https://identifiers.org/hgnc:48842
,ABCF3,ABCF3,HGNC,HGNC:72,ATP binding cassette subfamily F member 3,https://identifiers.org/hgnc:72
,ABCG1,ABCG1,HGNC,HGNC:73,ATP binding cassette subfamily G member 1,https://identifiers.org/hgnc:73
,ABCG2,ABCG2,HGNC,HGNC:74,ATP binding cassette subfamily G member 2 (JR blood group),https://identifiers.org/hgnc:74
,ABCG4,ABCG4,HGNC,HGNC:13884,ATP binding cassette subfamily G member 4,https://identifiers.org/hgnc:13884
,ABCG5,ABCG5,HGNC,HGNC:13886,ATP binding cassette subfamily G member 5,https://identifiers.org/hgnc:13886
,ABCG8,ABCG8,HGNC,HGNC:13887,ATP binding cassette subfamily G member 8,https://identifiers.org/hgnc:13887
,ABHD1,ABHD1,HGNC,HGNC:17553,abhydrolase domain containing 1,https://identifiers.org/hgnc:17553
,ABHD2,ABHD2,HGNC,HGNC:18717,"abhydrolase domain containing 2, acylglycerol lipase",https://identifiers.org/hgnc:18717
,ABHD3,ABHD3,HGNC,HGNC:18718,"abhydrolase domain containing 3, phospholipase",https://identifiers.org/hgnc:18718
,ABHD4,ABHD4,HGNC,HGNC:20154,"abhydrolase domain containing 4, N-acyl phospholipase B",https://identifiers.org/hgnc:20154
,ABHD5,ABHD5,HGNC,HGNC:21396,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",https://identifiers.org/hgnc:21396
,ABHD6,ABHD6,HGNC,HGNC:21398,"abhydrolase domain containing 6, acylglycerol lipase",https://identifiers.org/hgnc:21398
,ABHD8,ABHD8,HGNC,HGNC:23759,abhydrolase domain containing 8,https://identifiers.org/hgnc:23759
,ABHD10,ABHD10,HGNC,HGNC:25656,"abhydrolase domain containing 10, depalmitoylase",https://identifiers.org/hgnc:25656
,ABHD11,ABHD11,HGNC,HGNC:16407,abhydrolase domain containing 11,https://identifiers.org/hgnc:16407
,ABHD12,ABHD12,HGNC,HGNC:15868,"abhydrolase domain containing 12, lysophospholipase",https://identifiers.org/hgnc:15868
,ABHD12B,ABHD12B,HGNC,HGNC:19837,abhydrolase domain containing 12B,https://identifiers.org/hgnc:19837
,ABHD13,ABHD13,HGNC,HGNC:20293,abhydrolase domain containing 13,https://identifiers.org/hgnc:20293
,ABHD14A,ABHD14A,HGNC,HGNC:24538,abhydrolase domain containing 14A,https://identifiers.org/hgnc:24538
,ABHD14A-ACY1,ABHD14A-ACY1,HGNC,HGNC:38856,ABHD14A-ACY1 readthrough,https://identifiers.org/hgnc:38856
,ABHD14B,ABHD14B,HGNC,HGNC:28235,abhydrolase domain containing 14B,https://identifiers.org/hgnc:28235
,ABHD15,ABHD15,HGNC,HGNC:26971,abhydrolase domain containing 15,https://identifiers.org/hgnc:26971
,ABHD15-AS1,ABHD15-AS1,HGNC,HGNC:49685,ABHD15 antisense RNA 1,https://identifiers.org/hgnc:49685
,ABHD16A,ABHD16A,HGNC,HGNC:13921,"abhydrolase domain containing 16A, phospholipase",https://identifiers.org/hgnc:13921
,ABHD16A-AS1,ABHD16A-AS1,HGNC,HGNC:59161,ABHD16A antisense RNA 1,https://identifiers.org/hgnc:59161
,ABHD16B,ABHD16B,HGNC,HGNC:16128,abhydrolase domain containing 16B,https://identifiers.org/hgnc:16128
,ABHD16B-AS1,ABHD16B-AS1,HGNC,HGNC:58392,ABHD16B antisense RNA 1,https://identifiers.org/hgnc:58392
,ABHD17A,ABHD17A,HGNC,HGNC:28756,"abhydrolase domain containing 17A, depalmitoylase",https://identifiers.org/hgnc:28756
,ABHD17AP1,ABHD17AP1,HGNC,HGNC:28394,ABHD17A pseudogene 1,https://identifiers.org/hgnc:28394
,ABHD17AP3,ABHD17AP3,HGNC,HGNC:34041,ABHD17A pseudogene 3,https://identifiers.org/hgnc:34041
,ABHD17AP4,ABHD17AP4,HGNC,HGNC:34042,ABHD17A pseudogene 4,https://identifiers.org/hgnc:34042
,ABHD17AP5,ABHD17AP5,HGNC,HGNC:34043,ABHD17A pseudogene 5,https://identifiers.org/hgnc:34043
,ABHD17AP6,ABHD17AP6,HGNC,HGNC:34044,ABHD17A pseudogene 6,https://identifiers.org/hgnc:34044
,ABHD17AP7,ABHD17AP7,HGNC,HGNC:38508,ABHD17A pseudogene 7,https://identifiers.org/hgnc:38508
,ABHD17AP8,ABHD17AP8,HGNC,HGNC:38509,ABHD17A pseudogene 8,https://identifiers.org/hgnc:38509
,ABHD17AP9,ABHD17AP9,HGNC,HGNC:38510,ABHD17A pseudogene 9,https://identifiers.org/hgnc:38510
,ABHD17B,ABHD17B,HGNC,HGNC:24278,"abhydrolase domain containing 17B, depalmitoylase",https://identifiers.org/hgnc:24278
,ABHD17C,ABHD17C,HGNC,HGNC:26925,"abhydrolase domain containing 17C, depalmitoylase",https://identifiers.org/hgnc:26925
,ABHD18,ABHD18,HGNC,HGNC:26111,abhydrolase domain containing 18,https://identifiers.org/hgnc:26111
,ABI1,ABI1,HGNC,HGNC:11320,abl interactor 1,https://identifiers.org/hgnc:11320
,ABI1P1,ABI1P1,HGNC,HGNC:20035,abl interactor 1 pseudogene 1,https://identifiers.org/hgnc:20035
,ABI2,ABI2,HGNC,HGNC:24011,abl interactor 2,https://identifiers.org/hgnc:24011
,ABI3,ABI3,HGNC,HGNC:29859,ABI family member 3,https://identifiers.org/hgnc:29859
,ABI3BP,ABI3BP,HGNC,HGNC:17265,ABI family member 3 binding protein,https://identifiers.org/hgnc:17265
,ABITRAM,ABITRAM,HGNC,HGNC:1364,actin binding transcription modulator,https://identifiers.org/hgnc:1364
,ABITRAMP1,ABITRAMP1,HGNC,HGNC:39851,ABITRAM pseudogene 1,https://identifiers.org/hgnc:39851
,ABL1,ABL1,HGNC,HGNC:76,"ABL proto-oncogene 1, non-receptor tyrosine kinase",https://identifiers.org/hgnc:76
,ABL2,ABL2,HGNC,HGNC:77,"ABL proto-oncogene 2, non-receptor tyrosine kinase",https://identifiers.org/hgnc:77
,ABLIM1,ABLIM1,HGNC,HGNC:78,actin binding LIM protein 1,https://identifiers.org/hgnc:78
,ABLIM2,ABLIM2,HGNC,HGNC:19195,actin binding LIM protein family member 2,https://identifiers.org/hgnc:19195
,ABLIM2-DT,ABLIM2-DT,HGNC,HGNC:58727,ABLIM2 divergent transcript,https://identifiers.org/hgnc:58727
,ABLIM3,ABLIM3,HGNC,HGNC:29132,actin binding LIM protein family member 3,https://identifiers.org/hgnc:29132
,ABO,ABO,HGNC,HGNC:79,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",https://identifiers.org/hgnc:79
,ABR,ABR,HGNC,HGNC:81,ABR activator of RhoGEF and GTPase,https://identifiers.org/hgnc:81
,ABR-AS1,ABR-AS1,HGNC,HGNC:55674,ABR antisense RNA 1,https://identifiers.org/hgnc:55674
,ABRA,ABRA,HGNC,HGNC:30655,actin binding Rho activating protein,https://identifiers.org/hgnc:30655
,ABRACL,ABRACL,HGNC,HGNC:21230,ABRA C-terminal like,https://identifiers.org/hgnc:21230
,ABRAXAS1,ABRAXAS1,HGNC,HGNC:25829,"abraxas 1, BRCA1 A complex subunit",https://identifiers.org/hgnc:25829
,ABRAXAS1P1,ABRAXAS1P1,HGNC,HGNC:56461,ABRAXAS1 pseudogene 1,https://identifiers.org/hgnc:56461
,ABRAXAS1P2,ABRAXAS1P2,HGNC,HGNC:56462,ABRAXAS1 pseudogene 2,https://identifiers.org/hgnc:56462
,ABRAXAS2,ABRAXAS2,HGNC,HGNC:28975,"abraxas 2, BRISC complex subunit",https://identifiers.org/hgnc:28975
,ABT1,ABT1,HGNC,HGNC:17369,activator of basal transcription 1,https://identifiers.org/hgnc:17369
,ABT1P1,ABT1P1,HGNC,HGNC:39557,activator of basal transcription 1 pseudogene 1,https://identifiers.org/hgnc:39557
,ABTB1,ABTB1,HGNC,HGNC:18275,ankyrin repeat and BTB domain containing 1,https://identifiers.org/hgnc:18275
,ABTB2,ABTB2,HGNC,HGNC:23842,ankyrin repeat and BTB domain containing 2,https://identifiers.org/hgnc:23842
,ABTB3,ABTB3,HGNC,HGNC:23844,ankyrin repeat and BTB domain containing 3,https://identifiers.org/hgnc:23844
,ACAA1,ACAA1,HGNC,HGNC:82,acetyl-CoA acyltransferase 1,https://identifiers.org/hgnc:82
,ACAA2,ACAA2,HGNC,HGNC:83,acetyl-CoA acyltransferase 2,https://identifiers.org/hgnc:83
,ACAA2P1,ACAA2P1,HGNC,HGNC:55880,ACAA2 pseudogene 1,https://identifiers.org/hgnc:55880
,ACACA,ACACA,HGNC,HGNC:84,acetyl-CoA carboxylase alpha,https://identifiers.org/hgnc:84
,ACACB,ACACB,HGNC,HGNC:85,acetyl-CoA carboxylase beta,https://identifiers.org/hgnc:85
,ACAD8,ACAD8,HGNC,HGNC:87,acyl-CoA dehydrogenase family member 8,https://identifiers.org/hgnc:87
,ACAD9,ACAD9,HGNC,HGNC:21497,acyl-CoA dehydrogenase family member 9,https://identifiers.org/hgnc:21497
,ACAD9-DT,ACAD9-DT,HGNC,HGNC:56086,ACAD9 divergent transcript,https://identifiers.org/hgnc:56086
,ACAD10,ACAD10,HGNC,HGNC:21597,acyl-CoA dehydrogenase family member 10,https://identifiers.org/hgnc:21597
,ACAD11,ACAD11,HGNC,HGNC:30211,acyl-CoA dehydrogenase family member 11,https://identifiers.org/hgnc:30211
,ACADL,ACADL,HGNC,HGNC:88,acyl-CoA dehydrogenase long chain,https://identifiers.org/hgnc:88
,ACADM,ACADM,HGNC,HGNC:89,acyl-CoA dehydrogenase medium chain,https://identifiers.org/hgnc:89
,ACADS,ACADS,HGNC,HGNC:90,acyl-CoA dehydrogenase short chain,https://identifiers.org/hgnc:90
,ACADSB,ACADSB,HGNC,HGNC:91,acyl-CoA dehydrogenase short/branched chain,https://identifiers.org/hgnc:91
,ACADVL,ACADVL,HGNC,HGNC:92,acyl-CoA dehydrogenase very long chain,https://identifiers.org/hgnc:92
,ACAN,ACAN,HGNC,HGNC:319,aggrecan,https://identifiers.org/hgnc:319
,ACAP1,ACAP1,HGNC,HGNC:16467,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",https://identifiers.org/hgnc:16467
,ACAP2,ACAP2,HGNC,HGNC:16469,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",https://identifiers.org/hgnc:16469
,ACAP2-IT1,ACAP2-IT1,HGNC,HGNC:41426,ACAP2 intronic transcript 1,https://identifiers.org/hgnc:41426
,ACAP3,ACAP3,HGNC,HGNC:16754,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",https://identifiers.org/hgnc:16754
,ACAT1,ACAT1,HGNC,HGNC:93,acetyl-CoA acetyltransferase 1,https://identifiers.org/hgnc:93
,ACAT2,ACAT2,HGNC,HGNC:94,acetyl-CoA acetyltransferase 2,https://identifiers.org/hgnc:94
,ACBD3,ACBD3,HGNC,HGNC:15453,acyl-CoA binding domain containing 3,https://identifiers.org/hgnc:15453
,ACBD3-AS1,ACBD3-AS1,HGNC,HGNC:40701,ACBD3 antisense RNA 1,https://identifiers.org/hgnc:40701
,ACBD4,ACBD4,HGNC,HGNC:23337,acyl-CoA binding domain containing 4,https://identifiers.org/hgnc:23337
,ACBD5,ACBD5,HGNC,HGNC:23338,acyl-CoA binding domain containing 5,https://identifiers.org/hgnc:23338
,ACBD6,ACBD6,HGNC,HGNC:23339,acyl-CoA binding domain containing 6,https://identifiers.org/hgnc:23339
,ACBD7,ACBD7,HGNC,HGNC:17715,acyl-CoA binding domain containing 7,https://identifiers.org/hgnc:17715
,ACBD7P1,ACBD7P1,HGNC,HGNC:58659,ACBD7 pseudogene 1,https://identifiers.org/hgnc:58659
,ACCS,ACCS,HGNC,HGNC:23989,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),https://identifiers.org/hgnc:23989
,ACCSL,ACCSL,HGNC,HGNC:34391,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,https://identifiers.org/hgnc:34391
,ACCSLP1,ACCSLP1,HGNC,HGNC:56899,ACCSL pseudogene 1,https://identifiers.org/hgnc:56899
,ACD,ACD,HGNC,HGNC:25070,ACD shelterin complex subunit and telomerase recruitment factor,https://identifiers.org/hgnc:25070
,ACE,ACE,HGNC,HGNC:2707,angiotensin I converting enzyme,https://identifiers.org/hgnc:2707
,ACE2,ACE2,HGNC,HGNC:13557,angiotensin converting enzyme 2,https://identifiers.org/hgnc:13557
,ACE2-DT,ACE2-DT,HGNC,HGNC:56255,ACE2 divergent transcript,https://identifiers.org/hgnc:56255
,ACE3P,ACE3P,HGNC,HGNC:44365,"angiotensin I converting enzyme 3, pseudogene",https://identifiers.org/hgnc:44365
,ACER1,ACER1,HGNC,HGNC:18356,alkaline ceramidase 1,https://identifiers.org/hgnc:18356
,ACER2,ACER2,HGNC,HGNC:23675,alkaline ceramidase 2,https://identifiers.org/hgnc:23675
,ACER2P1,ACER2P1,HGNC,HGNC:54674,ACER2 pseudogene 1,https://identifiers.org/hgnc:54674
,ACER3,ACER3,HGNC,HGNC:16066,alkaline ceramidase 3,https://identifiers.org/hgnc:16066
,ACER3-AS1,ACER3-AS1,HGNC,HGNC:58067,ACER antisense RNA 1,https://identifiers.org/hgnc:58067
,ACHE,ACHE,HGNC,HGNC:108,acetylcholinesterase (Yt blood group),https://identifiers.org/hgnc:108
,ACIN1,ACIN1,HGNC,HGNC:17066,apoptotic chromatin condensation inducer 1,https://identifiers.org/hgnc:17066
,ACKR1,ACKR1,HGNC,HGNC:4035,atypical chemokine receptor 1 (Duffy blood group),https://identifiers.org/hgnc:4035
,ACKR2,ACKR2,HGNC,HGNC:1565,atypical chemokine receptor 2,https://identifiers.org/hgnc:1565
,ACKR3,ACKR3,HGNC,HGNC:23692,atypical chemokine receptor 3,https://identifiers.org/hgnc:23692
,ACKR4,ACKR4,HGNC,HGNC:1611,atypical chemokine receptor 4,https://identifiers.org/hgnc:1611
