order,name,code,parent,ontologyTermURI,definition
99,Skin and subcutaneous tissue,Skin_subcutaneous,Physical measures and assessments,,
100,Speech and voice,Speech_voice,Physical measures and assessments,,
101,Digestion,Digestion,Physical measures and assessments,,
102,Reproduction,Reproduction,Physical measures and assessments,,
103,Other physical measures and assessments,Other_phys_measures,Physical measures and assessments,,
104,Laboratory measures,Laboratory_measures,,,
105,Hematology,Hematology,Laboratory measures,,
106,Biochemistry,Biochemistry,Laboratory measures,,
107,Microbiology,Microbiology,Laboratory measures,,
108,Virology,Virology,Laboratory measures,,
109,Immunology,Immunology,Laboratory measures,,
110,Toxicology,Toxicology,Laboratory measures,,
111,Histology,Histology,Laboratory measures,,
112,Genomics,Genomics,Laboratory measures,,
113,Other laboratory measures,Other_lab_measures,Laboratory measures,,
114,"Cognition, personality and psychological measures and assessments",Cognitive_psychological_measures,,,
115,Cognitive functioning,Cognitive_functioning,"Cognition, personality and psychological measures and assessments",,
116,Personality,Personality,"Cognition, personality and psychological measures and assessments",,
117,Psychological distress and emotions,Psychological_emotional_distress,"Cognition, personality and psychological measures and assessments",,Psychosocial and mental stress
118,Other psychological measures and assessments,Other_psycholog_measures,"Cognition, personality and psychological measures and assessments",,
119,"Life events, life plans, beliefs and values",Life_events_plans_beliefs,,,
120,Life events,Life_events,"Life events, life plans, beliefs and values",,
121,Life plans,Life_plans,"Life events, life plans, beliefs and values",,
122,Beliefs and values,Beliefs_values,"Life events, life plans, beliefs and values",,
123,"Other life events, plans and beliefs",Other_life_events,"Life events, life plans, beliefs and values",,
124,"Preschool, school and work life",Preschool_school_work,,,
125,Preschool life,Preschool,"Preschool, school and work life",,
126,School life,School,"Preschool, school and work life",,
127,Work life,Work,"Preschool, school and work life",,
128,"Other preschool, school or work life-related information",Other_school_work,"Preschool, school and work life",,
129,Social environment and relationships,Social_environment,,,
130,Social network,Soc_network,Social environment and relationships,,
131,Social participation,Soc_participation,Social environment and relationships,,
132,Social support,Soc_support,Social environment and relationships,,
133,Parenting and familial environment,Parenting,Social environment and relationships,,
134,Other social environment characteristics,Other_soc_characteristics,Social environment and relationships,,
135,Physical environment,Physical_environment,,,
136,Housing characteristics,Housing,Physical environment,,
137,Geocodes for residential address,Geocodes_for_residential_address,Physical environment,,Geographical coordinates of participants’ homes used to link with environmental data
138,Built environment/neighbourhood characteristics,Neighborhood,Physical environment,,
139,Workplace characteristics,Workplace,Physical environment,,"Assessment of exposure to dust, solvents, metals, pesticides, or shift work"
140,Radiation exposure,Radiation_exp,Physical environment,,
141,Chemical exposure,Chemical_exp,Physical environment,,
142,Biological exposure,Biological_exp,Physical environment,,
143,Food environment,Food_environment,Physical environment,,Availability of healthy or unhealthy food outlets near home or school
144,Natural environment,Natural_environment,Physical environment,,"Proximity and access to green, blue, or grey spaces surrounding the residence"
145,Air pollution (outdoor),,Physical environment,,Ambient air pollution measures
146,Air pollution (indoor),Air_pollution_indoor,Physical environment,,"Household exposure to pollutants from cooking, heating, or tobacco smoke"
147,"Noise, traffic, or light",,Physical environment,,
148,Meteorology,,Physical environment,,"Exposure to temperature, humidity, UV radiation"
149,Other physical environment characteristics,Other_environment,Physical environment,,
150,Chemicals,Chemicals,Chemical exposure,,
151,Persistent organic pollutants,,Chemicals,,"Exposure to persistent organic pollutant, such as PCBs, DDT, DDE, PFASs, PBDEs, etc."
152,Metals & elements,,Chemicals,,Exposure to metals and elements
153,Other chemicals,,Chemicals,,"Exposure to other chemicals, such as PAHs, VOCs, THMs, etc."
154,Water DBPs,Water_DBPs,Chemicals,,"Water desinfection by products (Trihalomethanes (THMs), haloacetic acids, chlorate, bromate)"
155,Non-targeted / suspect screening of chemicals,Nontargeted_suspect_screening_of_chemicals,Chemicals,,"High-resolution mass spectrometry (HRMS), untargeted exposomics"
156,Light,Light,Other physical environment characteristics,,
