order,name,codesystem,code,ontologyTermURI,definition
27,Testicular gonadoblastoma,HP,HP:0000030,http://purl.obolibrary.org/obo/HP_0000030,The presence of a gonadoblastoma of the testis.
28,Epididymitis,HP,HP:0000031,http://purl.obolibrary.org/obo/HP_0000031,The presence of inflammation of the epididymis.
29,Abnormal male external genitalia morphology,HP,HP:0000032,http://purl.obolibrary.org/obo/HP_0000032,Any structural abnormality of male external genitalia.
30,"Ambiguous genitalia, male",HP,HP:0000033,http://purl.obolibrary.org/obo/HP_0000033,Ambiguous genitalia in an individual with XY genetic gender.
31,Hydrocele testis,HP,HP:0000034,http://purl.obolibrary.org/obo/HP_0000034,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.
32,Abnormal testis morphology,HP,HP:0000035,http://purl.obolibrary.org/obo/HP_0000035,An anomaly of the testicle (the male gonad).
33,Abnormal penis morphology,HP,HP:0000036,http://purl.obolibrary.org/obo/HP_0000036,Abnormality of the male external sex organ.
34,Male pseudohermaphroditism,HP,HP:0000037,http://purl.obolibrary.org/obo/HP_0000037,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes."
35,Epispadias,HP,HP:0000039,http://purl.obolibrary.org/obo/HP_0000039,"Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias."
36,Long penis,HP,HP:0000040,http://purl.obolibrary.org/obo/HP_0000040,Penile length more than 2 SD above the mean for age.
37,Chordee,HP,HP:0000041,http://purl.obolibrary.org/obo/HP_0000041,"Ventral (i.e., downward), lateral, or ventrolateral curvature of the shaft and glans penis of more than 30 degrees."
38,Absent external genitalia,HP,HP:0000042,http://purl.obolibrary.org/obo/HP_0000042,Lack of external genitalia in a male or female individual.
39,Hypogonadotropic hypogonadism,HP,HP:0000044,http://purl.obolibrary.org/obo/HP_0000044,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).
40,Abnormal scrotum morphology,HP,HP:0000045,http://purl.obolibrary.org/obo/HP_0000045,"Any structural abnormality of the scrotum, i.e., the sac that contains the testes, epididymis, and the lower part of the spermatic cord."
41,Small scrotum,HP,HP:0000046,http://purl.obolibrary.org/obo/HP_0000046,Apparently small scrotum for age.
42,Hypospadias,HP,HP:0000047,http://purl.obolibrary.org/obo/HP_0000047,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum."
43,Bifid scrotum,HP,HP:0000048,http://purl.obolibrary.org/obo/HP_0000048,Midline indentation or cleft of the scrotum.
44,Shawl scrotum,HP,HP:0000049,http://purl.obolibrary.org/obo/HP_0000049,Superior margin of the scrotum superior to the base of the penis.
45,Hypoplastic male external genitalia,HP,HP:0000050,http://purl.obolibrary.org/obo/HP_0000050,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra)."
46,Perineal hypospadias,HP,HP:0000051,http://purl.obolibrary.org/obo/HP_0000051,Hypospadias with location of the urethral meatus in the perineal region.
47,"Urethral atresia, male",HP,HP:0000052,http://purl.obolibrary.org/obo/HP_0000052,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.
48,Macroorchidism,HP,HP:0000053,http://purl.obolibrary.org/obo/HP_0000053,The presence of abnormally large testes.
49,Micropenis,HP,HP:0000054,http://purl.obolibrary.org/obo/HP_0000054,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm."
50,Abnormal female external genitalia morphology,HP,HP:0000055,http://purl.obolibrary.org/obo/HP_0000055,Any structural abnormality of the female external genitalia.
51,Abnormal clitoris morphology,HP,HP:0000056,http://purl.obolibrary.org/obo/HP_0000056,Any structural abnormality of the clitoris.
52,obsolete Clitoromegaly,HP,HP:0000057,http://purl.obolibrary.org/obo/HP_0000057,
53,Abnormal labia morphology,HP,HP:0000058,http://purl.obolibrary.org/obo/HP_0000058,"An anomaly of the labia, the externally visible portions of the vulva."
54,Hypoplastic labia majora,HP,HP:0000059,http://purl.obolibrary.org/obo/HP_0000059,Undergrowth of the outer labia.
55,Clitoral hypoplasia,HP,HP:0000060,http://purl.obolibrary.org/obo/HP_0000060,Developmental hypoplasia of the clitoris.
56,"Ambiguous genitalia, female",HP,HP:0000061,http://purl.obolibrary.org/obo/HP_0000061,Ambiguous genitalia in an individual with XX genetic gender.
57,Ambiguous genitalia,HP,HP:0000062,http://purl.obolibrary.org/obo/HP_0000062,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.
58,Fused labia minora,HP,HP:0000063,http://purl.obolibrary.org/obo/HP_0000063,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.
59,Hypoplastic labia minora,HP,HP:0000064,http://purl.obolibrary.org/obo/HP_0000064,
60,Labial hypertrophy,HP,HP:0000065,http://purl.obolibrary.org/obo/HP_0000065,
61,Labial hypoplasia,HP,HP:0000066,http://purl.obolibrary.org/obo/HP_0000066,
62,"Urethral atresia, female",HP,HP:0000067,http://purl.obolibrary.org/obo/HP_0000067,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.
63,Urethral atresia,HP,HP:0000068,http://purl.obolibrary.org/obo/HP_0000068,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.
64,Abnormality of the ureter,HP,HP:0000069,http://purl.obolibrary.org/obo/HP_0000069,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.
65,Ureterocele,HP,HP:0000070,http://purl.obolibrary.org/obo/HP_0000070,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.
66,Ureteral stenosis,HP,HP:0000071,http://purl.obolibrary.org/obo/HP_0000071,"The presence of a stenotic, i.e., constricted ureter."
67,Hydroureter,HP,HP:0000072,http://purl.obolibrary.org/obo/HP_0000072,The distention of the ureter with urine.
68,Ureteral duplication,HP,HP:0000073,http://purl.obolibrary.org/obo/HP_0000073,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder."
69,Ureteropelvic junction obstruction,HP,HP:0000074,http://purl.obolibrary.org/obo/HP_0000074,Blockage of urine flow from the renal pelvis to the proximal ureter.
70,Renal duplication,HP,HP:0000075,http://purl.obolibrary.org/obo/HP_0000075,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters."
71,Vesicoureteral reflux,HP,HP:0000076,http://purl.obolibrary.org/obo/HP_0000076,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.
72,Abnormality of the kidney,HP,HP:0000077,http://purl.obolibrary.org/obo/HP_0000077,An abnormality of the kidney.
73,Abnormality of the genital system,HP,HP:0000078,http://purl.obolibrary.org/obo/HP_0000078,An abnormality of the genital system.
74,Abnormality of the urinary system,HP,HP:0000079,http://purl.obolibrary.org/obo/HP_0000079,An abnormality of the urinary system.
75,Abnormality of reproductive system physiology,HP,HP:0000080,http://purl.obolibrary.org/obo/HP_0000080,An abnormal functionality of the genital system.
76,Duplicated collecting system,HP,HP:0000081,http://purl.obolibrary.org/obo/HP_0000081,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice."
77,Renal insufficiency,HP,HP:0000083,http://purl.obolibrary.org/obo/HP_0000083,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism."
78,Horseshoe kidney,HP,HP:0000085,http://purl.obolibrary.org/obo/HP_0000085,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.
79,Ectopic kidney,HP,HP:0000086,http://purl.obolibrary.org/obo/HP_0000086,A developmental defect in which a kidney is located in an abnormal anatomic position.
80,Renal hypoplasia,HP,HP:0000089,http://purl.obolibrary.org/obo/HP_0000089,Hypoplasia of the kidney.
81,Nephronophthisis,HP,HP:0000090,http://purl.obolibrary.org/obo/HP_0000090,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.
82,Abnormal renal tubule morphology,HP,HP:0000091,http://purl.obolibrary.org/obo/HP_0000091,An abnormality of the renal tubules.
83,Renal tubular atrophy,HP,HP:0000092,http://purl.obolibrary.org/obo/HP_0000092,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules."
84,Proteinuria,HP,HP:0000093,http://purl.obolibrary.org/obo/HP_0000093,Increased levels of protein in the urine.
85,Abnormal renal glomerulus morphology,HP,HP:0000095,http://purl.obolibrary.org/obo/HP_0000095,A structural anomaly of the glomerulus.
86,Glomerular sclerosis,HP,HP:0000096,http://purl.obolibrary.org/obo/HP_0000096,Accumulation of scar tissue within the glomerulus.
87,Focal segmental glomerulosclerosis,HP,HP:0000097,http://purl.obolibrary.org/obo/HP_0000097,Segmental accumulation of scar tissue in individual (but not all) glomeruli.
88,Tall stature,HP,HP:0000098,http://purl.obolibrary.org/obo/HP_0000098,A height above that which is expected according to age and gender norms.
89,Glomerulonephritis,HP,HP:0000099,http://purl.obolibrary.org/obo/HP_0000099,Inflammation of the renal glomeruli.
90,Nephrotic syndrome,HP,HP:0000100,http://purl.obolibrary.org/obo/HP_0000100,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia."
91,Polyuria,HP,HP:0000103,http://purl.obolibrary.org/obo/HP_0000103,An increased rate of urine production.
92,Renal agenesis,HP,HP:0000104,http://purl.obolibrary.org/obo/HP_0000104,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development."
93,Enlarged kidney,HP,HP:0000105,http://purl.obolibrary.org/obo/HP_0000105,An abnormal increase in the size of the kidney.
94,Renal cyst,HP,HP:0000107,http://purl.obolibrary.org/obo/HP_0000107,A fluid filled sac in the kidney.
95,Renal corticomedullary cysts,HP,HP:0000108,http://purl.obolibrary.org/obo/HP_0000108,The presence of multiple cysts at the border between the renal cortex and medulla.
96,Renal dysplasia,HP,HP:0000110,http://purl.obolibrary.org/obo/HP_0000110,The presence of developmental dysplasia of the kidney.
97,Renal juxtaglomerular cell hypertrophy/hyperplasia,HP,HP:0000111,http://purl.obolibrary.org/obo/HP_0000111,Increased number and size of the juxtaglomerular cells.
98,Nephropathy,HP,HP:0000112,http://purl.obolibrary.org/obo/HP_0000112,A nonspecific term referring to disease or damage of the kidneys.
99,Polycystic kidney dysplasia,HP,HP:0000113,http://purl.obolibrary.org/obo/HP_0000113,The presence of multiple cysts in both kidneys.
100,Proximal tubulopathy,HP,HP:0000114,http://purl.obolibrary.org/obo/HP_0000114,"Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle."
101,Renal phosphate wasting,HP,HP:0000117,http://purl.obolibrary.org/obo/HP_0000117,High urine phosphate in the presence of hypophosphatemia.
102,Phenotypic abnormality,HP,HP:0000118,http://purl.obolibrary.org/obo/HP_0000118,A phenotypic abnormality.
103,Abnormality of the genitourinary system,HP,HP:0000119,http://purl.obolibrary.org/obo/HP_0000119,The presence of any abnormality of the genitourinary system.
104,Nephrocalcinosis,HP,HP:0000121,http://purl.obolibrary.org/obo/HP_0000121,Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.
105,Unilateral renal agenesis,HP,HP:0000122,http://purl.obolibrary.org/obo/HP_0000122,A unilateral form of agenesis of the kidney.
106,Nephritis,HP,HP:0000123,http://purl.obolibrary.org/obo/HP_0000123,The presence of inflammation affecting the kidney.
107,Renal tubular dysfunction,HP,HP:0000124,http://purl.obolibrary.org/obo/HP_0000124,"Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid."
108,Pelvic kidney,HP,HP:0000125,http://purl.obolibrary.org/obo/HP_0000125,A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.
109,Hydronephrosis,HP,HP:0000126,http://purl.obolibrary.org/obo/HP_0000126,Severe distention of the kidney with dilation of the renal pelvis and calices.
110,Renal salt wasting,HP,HP:0000127,http://purl.obolibrary.org/obo/HP_0000127,A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).
111,Renal potassium wasting,HP,HP:0000128,http://purl.obolibrary.org/obo/HP_0000128,High urine potassium in the presence of hypokalemia.
112,Abnormality of the uterus,HP,HP:0000130,http://purl.obolibrary.org/obo/HP_0000130,An abnormality of the uterus.
113,Uterine leiomyoma,HP,HP:0000131,http://purl.obolibrary.org/obo/HP_0000131,The presence of a leiomyoma of the uterus.
114,Menorrhagia,HP,HP:0000132,http://purl.obolibrary.org/obo/HP_0000132,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days.
115,Gonadal dysgenesis,HP,HP:0000133,http://purl.obolibrary.org/obo/HP_0000133,"Gonadal dysgenesis is the name given to any of a multitude of conditions that can cause impaired development of the gonads, i.e., the testes or ovaries, or to the related phenotypic features. The term is to be avoided if possible for new annotations, and more specific terms should be chosen."
116,Female hypogonadism,HP,HP:0000134,http://purl.obolibrary.org/obo/HP_0000134,"Decreased functionality of the female gonads, i.e., of the ovary."
117,Hypogonadism,HP,HP:0000135,http://purl.obolibrary.org/obo/HP_0000135,A decreased functionality of the gonad.
118,Bifid uterus,HP,HP:0000136,http://purl.obolibrary.org/obo/HP_0000136,The presence of a bifid uterus.
119,Abnormality of the ovary,HP,HP:0000137,http://purl.obolibrary.org/obo/HP_0000137,An abnormality of the ovary.
120,Ovarian cyst,HP,HP:0000138,http://purl.obolibrary.org/obo/HP_0000138,The presence of one or more cysts of the ovary.
121,Uterine prolapse,HP,HP:0000139,http://purl.obolibrary.org/obo/HP_0000139,The presence of prolapse of the uterus.
122,Abnormality of the menstrual cycle,HP,HP:0000140,http://purl.obolibrary.org/obo/HP_0000140,An abnormality of the ovulation cycle.
123,Amenorrhea,HP,HP:0000141,http://purl.obolibrary.org/obo/HP_0000141,Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months.
124,Abnormal vagina morphology,HP,HP:0000142,http://purl.obolibrary.org/obo/HP_0000142,Any structural abnormality of the vagina.
125,Rectovaginal fistula,HP,HP:0000143,http://purl.obolibrary.org/obo/HP_0000143,The presence of a fistula between the vagina and the rectum.
126,Decreased fertility,HP,HP:0000144,http://purl.obolibrary.org/obo/HP_0000144,
127,Transverse vaginal septum,HP,HP:0000145,http://purl.obolibrary.org/obo/HP_0000145,
128,Polycystic ovaries,HP,HP:0000147,http://purl.obolibrary.org/obo/HP_0000147,
129,Vaginal atresia,HP,HP:0000148,http://purl.obolibrary.org/obo/HP_0000148,Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.
130,Ovarian gonadoblastoma,HP,HP:0000149,http://purl.obolibrary.org/obo/HP_0000149,The presence of a gonadoblastoma of the ovary.
131,Gonadoblastoma,HP,HP:0000150,http://purl.obolibrary.org/obo/HP_0000150,"The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements."
132,Aplasia of the uterus,HP,HP:0000151,http://purl.obolibrary.org/obo/HP_0000151,A congenital defect characterized by absence of the uterus. Aplasia refers to the failure of an organ to develop during embryonic growth and development due to the absence of primordial tissue.
133,Abnormality of head or neck,HP,HP:0000152,http://purl.obolibrary.org/obo/HP_0000152,An abnormality of head and neck.
134,Abnormality of the mouth,HP,HP:0000153,http://purl.obolibrary.org/obo/HP_0000153,An abnormality of the mouth.
135,Wide mouth,HP,HP:0000154,http://purl.obolibrary.org/obo/HP_0000154,"Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective)."
136,Oral ulcer,HP,HP:0000155,http://purl.obolibrary.org/obo/HP_0000155,"Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue."
137,Abnormality of the tongue,HP,HP:0000157,http://purl.obolibrary.org/obo/HP_0000157,Any abnormality of the tongue.
138,Macroglossia,HP,HP:0000158,http://purl.obolibrary.org/obo/HP_0000158,Increased length and width of the tongue.
139,Abnormal lip morphology,HP,HP:0000159,http://purl.obolibrary.org/obo/HP_0000159,An abnormality of the lip.
140,Narrow mouth,HP,HP:0000160,http://purl.obolibrary.org/obo/HP_0000160,"Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective)."
141,Median cleft upper lip,HP,HP:0000161,http://purl.obolibrary.org/obo/HP_0000161,A type of cleft lip presenting as a midline (median) gap in the upper lip.
142,Glossoptosis,HP,HP:0000162,http://purl.obolibrary.org/obo/HP_0000162,"Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly."
143,Abnormal oral cavity morphology,HP,HP:0000163,http://purl.obolibrary.org/obo/HP_0000163,"Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth."
144,Abnormality of the dentition,HP,HP:0000164,http://purl.obolibrary.org/obo/HP_0000164,Any abnormality of the teeth.
145,Severe periodontitis,HP,HP:0000166,http://purl.obolibrary.org/obo/HP_0000166,A severe form of periodontitis.
146,Abnormality of the gingiva,HP,HP:0000168,http://purl.obolibrary.org/obo/HP_0000168,Any abnormality of the gingiva (also known as gums).
147,Gingival fibromatosis,HP,HP:0000169,http://purl.obolibrary.org/obo/HP_0000169,The presence of fibrosis of the gingiva.
148,Microglossia,HP,HP:0000171,http://purl.obolibrary.org/obo/HP_0000171,Decreased length and width of the tongue.
149,Abnormal uvula morphology,HP,HP:0000172,http://purl.obolibrary.org/obo/HP_0000172,"Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate."
150,Abnormal palate morphology,HP,HP:0000174,http://purl.obolibrary.org/obo/HP_0000174,"Any abnormality of the palate, i.e., of roof of the mouth."
151,Cleft palate,HP,HP:0000175,http://purl.obolibrary.org/obo/HP_0000175,Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).
152,Submucous cleft hard palate,HP,HP:0000176,http://purl.obolibrary.org/obo/HP_0000176,Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate.
153,Abnormal upper lip morphology,HP,HP:0000177,http://purl.obolibrary.org/obo/HP_0000177,An abnormality of the upper lip.
154,Abnormal lower lip morphology,HP,HP:0000178,http://purl.obolibrary.org/obo/HP_0000178,An abnormality of the lower lip.
155,Thick lower lip vermilion,HP,HP:0000179,http://purl.obolibrary.org/obo/HP_0000179,"Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective)."
156,Lobulated tongue,HP,HP:0000180,http://purl.obolibrary.org/obo/HP_0000180,Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour.
157,Movement abnormality of the tongue,HP,HP:0000182,http://purl.obolibrary.org/obo/HP_0000182,
158,Tongue muscle weakness,HP,HP:0000183,http://purl.obolibrary.org/obo/HP_0000183,"Reduced strength of the tongue musculature, resulting in difficulties moving the tongue and possible accompanied by dysarthria or dysphagia."
159,Cleft soft palate,HP,HP:0000185,http://purl.obolibrary.org/obo/HP_0000185,"Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency."
160,Broad alveolar ridges,HP,HP:0000187,http://purl.obolibrary.org/obo/HP_0000187,
161,Short upper lip,HP,HP:0000188,http://purl.obolibrary.org/obo/HP_0000188,Decreased width of the upper lip.
162,Narrow palate,HP,HP:0000189,http://purl.obolibrary.org/obo/HP_0000189,Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).
163,Abnormal oral frenulum morphology,HP,HP:0000190,http://purl.obolibrary.org/obo/HP_0000190,"An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity."
164,Accessory oral frenulum,HP,HP:0000191,http://purl.obolibrary.org/obo/HP_0000191,Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip.
165,Bifid uvula,HP,HP:0000193,http://purl.obolibrary.org/obo/HP_0000193,Uvula separated into two parts most easily seen at the tip.
166,Open mouth,HP,HP:0000194,http://purl.obolibrary.org/obo/HP_0000194,A facial appearance characterized by a permanently or nearly permanently opened mouth.
167,Lower lip pit,HP,HP:0000196,http://purl.obolibrary.org/obo/HP_0000196,"Depression located on the vermilion of the lower lip, usually paramedian."
168,Abnormal parotid gland morphology,HP,HP:0000197,http://purl.obolibrary.org/obo/HP_0000197,"Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear."
169,Absence of Stensen duct,HP,HP:0000198,http://purl.obolibrary.org/obo/HP_0000198,
170,Tongue nodules,HP,HP:0000199,http://purl.obolibrary.org/obo/HP_0000199,
171,Short lingual frenulum,HP,HP:0000200,http://purl.obolibrary.org/obo/HP_0000200,The presence of an abnormally short lingual frenulum.
172,Pierre-Robin sequence,HP,HP:0000201,http://purl.obolibrary.org/obo/HP_0000201,"Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate."
