order,collection,research center,primary tumor site,metastasis,year of diagnosis,sex,n
34,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2011-2015,Female,7
35,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2006-2010,Male,3
36,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2006-2010,Female,10
37,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2001-2005,Male,2
38,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2001-2005,Female,2
39,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,1991-2000,Male,8
40,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,1991-2000,Female,17
41,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,<1991,Male,3
42,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,<1991,Female,0
43,FORCE-NEN collections,AvL,COLON,Yes,2021-2025,Male,18
44,FORCE-NEN collections,AvL,COLON,Yes,2021-2025,Female,20
45,FORCE-NEN collections,AvL,COLON,Yes,2016-2020,Male,15
46,FORCE-NEN collections,AvL,COLON,Yes,2016-2020,Female,10
47,FORCE-NEN collections,AvL,COLON,Yes,2011-2015,Male,5
48,FORCE-NEN collections,AvL,COLON,Yes,2011-2015,Female,20
49,FORCE-NEN collections,AvL,COLON,Yes,2006-2010,Male,4
50,FORCE-NEN collections,AvL,COLON,Yes,2006-2010,Female,11
51,FORCE-NEN collections,AvL,COLON,Yes,2001-2005,Male,12
52,FORCE-NEN collections,AvL,COLON,Yes,2001-2005,Female,3
53,FORCE-NEN collections,AvL,COLON,Yes,1991-2000,Male,2
54,FORCE-NEN collections,AvL,COLON,Yes,1991-2000,Female,20
55,FORCE-NEN collections,AvL,COLON,Yes,<1991,Male,5
56,FORCE-NEN collections,AvL,COLON,Yes,<1991,Female,15
57,FORCE-NEN collections,AvL,COLON,No,2021-2025,Male,10
58,FORCE-NEN collections,AvL,COLON,No,2021-2025,Female,12
59,FORCE-NEN collections,AvL,COLON,No,2016-2020,Male,16
60,FORCE-NEN collections,AvL,COLON,No,2016-2020,Female,3
61,FORCE-NEN collections,AvL,COLON,No,2011-2015,Male,19
62,FORCE-NEN collections,AvL,COLON,No,2011-2015,Female,6
63,FORCE-NEN collections,AvL,COLON,No,2006-2010,Male,3
64,FORCE-NEN collections,AvL,COLON,No,2006-2010,Female,10
65,FORCE-NEN collections,AvL,COLON,No,2001-2005,Male,4
66,FORCE-NEN collections,AvL,COLON,No,2001-2005,Female,12
67,FORCE-NEN collections,AvL,COLON,No,1991-2000,Male,7
68,FORCE-NEN collections,AvL,COLON,No,1991-2000,Female,14
69,FORCE-NEN collections,AvL,COLON,No,<1991,Male,3
70,FORCE-NEN collections,AvL,COLON,No,<1991,Female,18
71,FORCE-NEN collections,AvL,COLON,Unknown,2021-2025,Male,17
72,FORCE-NEN collections,AvL,COLON,Unknown,2021-2025,Female,10
73,FORCE-NEN collections,AvL,COLON,Unknown,2016-2020,Male,9
74,FORCE-NEN collections,AvL,COLON,Unknown,2016-2020,Female,8
75,FORCE-NEN collections,AvL,COLON,Unknown,2011-2015,Male,8
76,FORCE-NEN collections,AvL,COLON,Unknown,2011-2015,Female,10
77,FORCE-NEN collections,AvL,COLON,Unknown,2006-2010,Male,13
78,FORCE-NEN collections,AvL,COLON,Unknown,2006-2010,Female,6
79,FORCE-NEN collections,AvL,COLON,Unknown,2001-2005,Male,20
80,FORCE-NEN collections,AvL,COLON,Unknown,2001-2005,Female,3
81,FORCE-NEN collections,AvL,COLON,Unknown,1991-2000,Male,16
82,FORCE-NEN collections,AvL,COLON,Unknown,1991-2000,Female,7
83,FORCE-NEN collections,AvL,COLON,Unknown,<1991,Male,19
84,FORCE-NEN collections,AvL,COLON,Unknown,<1991,Female,5
85,FORCE-NEN collections,AvL,RECTUM,Yes,2021-2025,Male,16
86,FORCE-NEN collections,AvL,RECTUM,Yes,2021-2025,Female,4
87,FORCE-NEN collections,AvL,RECTUM,Yes,2016-2020,Male,16
88,FORCE-NEN collections,AvL,RECTUM,Yes,2016-2020,Female,5
89,FORCE-NEN collections,AvL,RECTUM,Yes,2011-2015,Male,17
90,FORCE-NEN collections,AvL,RECTUM,Yes,2011-2015,Female,8
91,FORCE-NEN collections,AvL,RECTUM,Yes,2006-2010,Male,1
92,FORCE-NEN collections,AvL,RECTUM,Yes,2006-2010,Female,5
93,FORCE-NEN collections,AvL,RECTUM,Yes,2001-2005,Male,4
94,FORCE-NEN collections,AvL,RECTUM,Yes,2001-2005,Female,17
95,FORCE-NEN collections,AvL,RECTUM,Yes,1991-2000,Male,2
96,FORCE-NEN collections,AvL,RECTUM,Yes,1991-2000,Female,9
97,FORCE-NEN collections,AvL,RECTUM,Yes,<1991,Male,19
98,FORCE-NEN collections,AvL,RECTUM,Yes,<1991,Female,9
99,FORCE-NEN collections,AvL,RECTUM,No,2021-2025,Male,14
100,FORCE-NEN collections,AvL,RECTUM,No,2021-2025,Female,18
101,FORCE-NEN collections,AvL,RECTUM,No,2016-2020,Male,1
102,FORCE-NEN collections,AvL,RECTUM,No,2016-2020,Female,6
103,FORCE-NEN collections,AvL,RECTUM,No,2011-2015,Male,12
104,FORCE-NEN collections,AvL,RECTUM,No,2011-2015,Female,12
105,FORCE-NEN collections,AvL,RECTUM,No,2006-2010,Male,4
106,FORCE-NEN collections,AvL,RECTUM,No,2006-2010,Female,19
107,FORCE-NEN collections,AvL,RECTUM,No,2001-2005,Male,16
108,FORCE-NEN collections,AvL,RECTUM,No,2001-2005,Female,1
109,FORCE-NEN collections,AvL,RECTUM,No,1991-2000,Male,12
110,FORCE-NEN collections,AvL,RECTUM,No,1991-2000,Female,18
111,FORCE-NEN collections,AvL,RECTUM,No,<1991,Male,13
112,FORCE-NEN collections,AvL,RECTUM,No,<1991,Female,19
113,FORCE-NEN collections,AvL,RECTUM,Unknown,2021-2025,Male,16
114,FORCE-NEN collections,AvL,RECTUM,Unknown,2021-2025,Female,0
115,FORCE-NEN collections,AvL,RECTUM,Unknown,2016-2020,Male,8
116,FORCE-NEN collections,AvL,RECTUM,Unknown,2016-2020,Female,17
117,FORCE-NEN collections,AvL,RECTUM,Unknown,2011-2015,Male,6
118,FORCE-NEN collections,AvL,RECTUM,Unknown,2011-2015,Female,16
119,FORCE-NEN collections,AvL,RECTUM,Unknown,2006-2010,Male,11
120,FORCE-NEN collections,AvL,RECTUM,Unknown,2006-2010,Female,20
121,FORCE-NEN collections,AvL,RECTUM,Unknown,2001-2005,Male,6
122,FORCE-NEN collections,AvL,RECTUM,Unknown,2001-2005,Female,6
123,FORCE-NEN collections,AvL,RECTUM,Unknown,1991-2000,Male,20
124,FORCE-NEN collections,AvL,RECTUM,Unknown,1991-2000,Female,2
125,FORCE-NEN collections,AvL,RECTUM,Unknown,<1991,Male,1
126,FORCE-NEN collections,AvL,RECTUM,Unknown,<1991,Female,0
127,FORCE-NEN collections,AvL,Appendix,Yes,2021-2025,Male,3
128,FORCE-NEN collections,AvL,Appendix,Yes,2021-2025,Female,15
129,FORCE-NEN collections,AvL,Appendix,Yes,2016-2020,Male,14
130,FORCE-NEN collections,AvL,Appendix,Yes,2016-2020,Female,9
131,FORCE-NEN collections,AvL,Appendix,Yes,2011-2015,Male,9
132,FORCE-NEN collections,AvL,Appendix,Yes,2011-2015,Female,19
133,FORCE-NEN collections,AvL,Appendix,Yes,2006-2010,Male,20
134,FORCE-NEN collections,AvL,Appendix,Yes,2006-2010,Female,14
135,FORCE-NEN collections,AvL,Appendix,Yes,2001-2005,Male,20
136,FORCE-NEN collections,AvL,Appendix,Yes,2001-2005,Female,20
137,FORCE-NEN collections,AvL,Appendix,Yes,1991-2000,Male,7
138,FORCE-NEN collections,AvL,Appendix,Yes,1991-2000,Female,15
139,FORCE-NEN collections,AvL,Appendix,Yes,<1991,Male,16
140,FORCE-NEN collections,AvL,Appendix,Yes,<1991,Female,1
141,FORCE-NEN collections,AvL,Appendix,No,2021-2025,Male,2
142,FORCE-NEN collections,AvL,Appendix,No,2021-2025,Female,20
143,FORCE-NEN collections,AvL,Appendix,No,2016-2020,Male,5
144,FORCE-NEN collections,AvL,Appendix,No,2016-2020,Female,14
145,FORCE-NEN collections,AvL,Appendix,No,2011-2015,Male,6
146,FORCE-NEN collections,AvL,Appendix,No,2011-2015,Female,3
147,FORCE-NEN collections,AvL,Appendix,No,2006-2010,Male,16
148,FORCE-NEN collections,AvL,Appendix,No,2006-2010,Female,2
149,FORCE-NEN collections,AvL,Appendix,No,2001-2005,Male,14
150,FORCE-NEN collections,AvL,Appendix,No,2001-2005,Female,18
151,FORCE-NEN collections,AvL,Appendix,No,1991-2000,Male,20
152,FORCE-NEN collections,AvL,Appendix,No,1991-2000,Female,13
153,FORCE-NEN collections,AvL,Appendix,No,<1991,Male,9
154,FORCE-NEN collections,AvL,Appendix,No,<1991,Female,5
155,FORCE-NEN collections,AvL,Appendix,Unknown,2021-2025,Male,20
156,FORCE-NEN collections,AvL,Appendix,Unknown,2021-2025,Female,20
157,FORCE-NEN collections,AvL,Appendix,Unknown,2016-2020,Male,3
158,FORCE-NEN collections,AvL,Appendix,Unknown,2016-2020,Female,0
159,FORCE-NEN collections,AvL,Appendix,Unknown,2011-2015,Male,2
160,FORCE-NEN collections,AvL,Appendix,Unknown,2011-2015,Female,10
161,FORCE-NEN collections,AvL,Appendix,Unknown,2006-2010,Male,19
162,FORCE-NEN collections,AvL,Appendix,Unknown,2006-2010,Female,0
163,FORCE-NEN collections,AvL,Appendix,Unknown,2001-2005,Male,4
164,FORCE-NEN collections,AvL,Appendix,Unknown,2001-2005,Female,19
165,FORCE-NEN collections,AvL,Appendix,Unknown,1991-2000,Male,16
166,FORCE-NEN collections,AvL,Appendix,Unknown,1991-2000,Female,6
167,FORCE-NEN collections,AvL,Appendix,Unknown,<1991,Male,6
168,FORCE-NEN collections,AvL,Appendix,Unknown,<1991,Female,14
169,FORCE-NEN collections,AvL,STOMACH,Yes,2021-2025,Male,15
170,FORCE-NEN collections,AvL,STOMACH,Yes,2021-2025,Female,18
171,FORCE-NEN collections,AvL,STOMACH,Yes,2016-2020,Male,1
172,FORCE-NEN collections,AvL,STOMACH,Yes,2016-2020,Female,20
173,FORCE-NEN collections,AvL,STOMACH,Yes,2011-2015,Male,18
174,FORCE-NEN collections,AvL,STOMACH,Yes,2011-2015,Female,13
175,FORCE-NEN collections,AvL,STOMACH,Yes,2006-2010,Male,15
176,FORCE-NEN collections,AvL,STOMACH,Yes,2006-2010,Female,13
177,FORCE-NEN collections,AvL,STOMACH,Yes,2001-2005,Male,12
178,FORCE-NEN collections,AvL,STOMACH,Yes,2001-2005,Female,0
179,FORCE-NEN collections,AvL,STOMACH,Yes,1991-2000,Male,16
180,FORCE-NEN collections,AvL,STOMACH,Yes,1991-2000,Female,10
181,FORCE-NEN collections,AvL,STOMACH,Yes,<1991,Male,16
182,FORCE-NEN collections,AvL,STOMACH,Yes,<1991,Female,5
183,FORCE-NEN collections,AvL,STOMACH,No,2021-2025,Male,7
184,FORCE-NEN collections,AvL,STOMACH,No,2021-2025,Female,14
185,FORCE-NEN collections,AvL,STOMACH,No,2016-2020,Male,13
186,FORCE-NEN collections,AvL,STOMACH,No,2016-2020,Female,12
187,FORCE-NEN collections,AvL,STOMACH,No,2011-2015,Male,11
188,FORCE-NEN collections,AvL,STOMACH,No,2011-2015,Female,5
189,FORCE-NEN collections,AvL,STOMACH,No,2006-2010,Male,5
190,FORCE-NEN collections,AvL,STOMACH,No,2006-2010,Female,9
191,FORCE-NEN collections,AvL,STOMACH,No,2001-2005,Male,2
192,FORCE-NEN collections,AvL,STOMACH,No,2001-2005,Female,17
193,FORCE-NEN collections,AvL,STOMACH,No,1991-2000,Male,5
194,FORCE-NEN collections,AvL,STOMACH,No,1991-2000,Female,14
195,FORCE-NEN collections,AvL,STOMACH,No,<1991,Male,0
196,FORCE-NEN collections,AvL,STOMACH,No,<1991,Female,1
197,FORCE-NEN collections,AvL,STOMACH,Unknown,2021-2025,Male,3
198,FORCE-NEN collections,AvL,STOMACH,Unknown,2021-2025,Female,10
199,FORCE-NEN collections,AvL,STOMACH,Unknown,2016-2020,Male,11
200,FORCE-NEN collections,AvL,STOMACH,Unknown,2016-2020,Female,9
201,FORCE-NEN collections,AvL,STOMACH,Unknown,2011-2015,Male,17
202,FORCE-NEN collections,AvL,STOMACH,Unknown,2011-2015,Female,18
203,FORCE-NEN collections,AvL,STOMACH,Unknown,2006-2010,Male,2
204,FORCE-NEN collections,AvL,STOMACH,Unknown,2006-2010,Female,20
205,FORCE-NEN collections,AvL,STOMACH,Unknown,2001-2005,Male,14
206,FORCE-NEN collections,AvL,STOMACH,Unknown,2001-2005,Female,17
207,FORCE-NEN collections,AvL,STOMACH,Unknown,1991-2000,Male,0
208,FORCE-NEN collections,AvL,STOMACH,Unknown,1991-2000,Female,20
209,FORCE-NEN collections,AvL,STOMACH,Unknown,<1991,Male,12
210,FORCE-NEN collections,AvL,STOMACH,Unknown,<1991,Female,5
211,FORCE-NEN collections,AvL,PANCREAS,Yes,2021-2025,Male,13
212,FORCE-NEN collections,AvL,PANCREAS,Yes,2021-2025,Female,3
213,FORCE-NEN collections,AvL,PANCREAS,Yes,2016-2020,Male,9
214,FORCE-NEN collections,AvL,PANCREAS,Yes,2016-2020,Female,13
215,FORCE-NEN collections,AvL,PANCREAS,Yes,2011-2015,Male,5
216,FORCE-NEN collections,AvL,PANCREAS,Yes,2011-2015,Female,9
217,FORCE-NEN collections,AvL,PANCREAS,Yes,2006-2010,Male,16
218,FORCE-NEN collections,AvL,PANCREAS,Yes,2006-2010,Female,8
219,FORCE-NEN collections,AvL,PANCREAS,Yes,2001-2005,Male,13
220,FORCE-NEN collections,AvL,PANCREAS,Yes,2001-2005,Female,9
221,FORCE-NEN collections,AvL,PANCREAS,Yes,1991-2000,Male,0
222,FORCE-NEN collections,AvL,PANCREAS,Yes,1991-2000,Female,6
223,FORCE-NEN collections,AvL,PANCREAS,Yes,<1991,Male,5
224,FORCE-NEN collections,AvL,PANCREAS,Yes,<1991,Female,4
225,FORCE-NEN collections,AvL,PANCREAS,No,2021-2025,Male,15
226,FORCE-NEN collections,AvL,PANCREAS,No,2021-2025,Female,3
227,FORCE-NEN collections,AvL,PANCREAS,No,2016-2020,Male,2
228,FORCE-NEN collections,AvL,PANCREAS,No,2016-2020,Female,18
229,FORCE-NEN collections,AvL,PANCREAS,No,2011-2015,Male,6
230,FORCE-NEN collections,AvL,PANCREAS,No,2011-2015,Female,5
231,FORCE-NEN collections,AvL,PANCREAS,No,2006-2010,Male,0
232,FORCE-NEN collections,AvL,PANCREAS,No,2006-2010,Female,10
233,FORCE-NEN collections,AvL,PANCREAS,No,2001-2005,Male,19
234,FORCE-NEN collections,AvL,PANCREAS,No,2001-2005,Female,15
235,FORCE-NEN collections,AvL,PANCREAS,No,1991-2000,Male,16
236,FORCE-NEN collections,AvL,PANCREAS,No,1991-2000,Female,18
237,FORCE-NEN collections,AvL,PANCREAS,No,<1991,Male,2
238,FORCE-NEN collections,AvL,PANCREAS,No,<1991,Female,20
239,FORCE-NEN collections,AvL,PANCREAS,Unknown,2021-2025,Male,7
240,FORCE-NEN collections,AvL,PANCREAS,Unknown,2021-2025,Female,8
241,FORCE-NEN collections,AvL,PANCREAS,Unknown,2016-2020,Male,0
242,FORCE-NEN collections,AvL,PANCREAS,Unknown,2016-2020,Female,2
243,FORCE-NEN collections,AvL,PANCREAS,Unknown,2011-2015,Male,14
244,FORCE-NEN collections,AvL,PANCREAS,Unknown,2011-2015,Female,8
245,FORCE-NEN collections,AvL,PANCREAS,Unknown,2006-2010,Male,5
246,FORCE-NEN collections,AvL,PANCREAS,Unknown,2006-2010,Female,1
247,FORCE-NEN collections,AvL,PANCREAS,Unknown,2001-2005,Male,8
248,FORCE-NEN collections,AvL,PANCREAS,Unknown,2001-2005,Female,7
249,FORCE-NEN collections,AvL,PANCREAS,Unknown,1991-2000,Male,9
250,FORCE-NEN collections,AvL,PANCREAS,Unknown,1991-2000,Female,7
251,FORCE-NEN collections,AvL,PANCREAS,Unknown,<1991,Male,9
252,FORCE-NEN collections,AvL,PANCREAS,Unknown,<1991,Female,6
253,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2021-2025,Male,10
254,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2021-2025,Female,0
255,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2016-2020,Male,4
256,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2016-2020,Female,2
257,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2011-2015,Male,18
258,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2011-2015,Female,15
259,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2006-2010,Male,10
260,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2006-2010,Female,7
261,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2001-2005,Male,10
262,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,2001-2005,Female,12
263,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,1991-2000,Male,2
264,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,1991-2000,Female,0
265,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,<1991,Male,13
266,FORCE-NEN collections,AvL,SMALL INTESTINE,Yes,<1991,Female,6
267,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2021-2025,Male,13
268,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2021-2025,Female,1
269,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2016-2020,Male,9
270,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2016-2020,Female,12
271,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2011-2015,Male,8
272,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2011-2015,Female,14
273,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2006-2010,Male,16
274,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2006-2010,Female,9
275,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2001-2005,Male,17
276,FORCE-NEN collections,AvL,SMALL INTESTINE,No,2001-2005,Female,8
277,FORCE-NEN collections,AvL,SMALL INTESTINE,No,1991-2000,Male,0
278,FORCE-NEN collections,AvL,SMALL INTESTINE,No,1991-2000,Female,0
279,FORCE-NEN collections,AvL,SMALL INTESTINE,No,<1991,Male,0
280,FORCE-NEN collections,AvL,SMALL INTESTINE,No,<1991,Female,8
281,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2021-2025,Male,12
282,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2021-2025,Female,11
283,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2016-2020,Male,2
284,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2016-2020,Female,16
285,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2011-2015,Male,12
286,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2011-2015,Female,5
287,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2006-2010,Male,17
288,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2006-2010,Female,20
289,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2001-2005,Male,18
290,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,2001-2005,Female,6
291,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,1991-2000,Male,4
292,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,1991-2000,Female,4
293,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,<1991,Male,4
294,FORCE-NEN collections,AvL,SMALL INTESTINE,Unknown,<1991,Female,16
295,FORCE-NEN collections,AvL,Unknown primary site,Yes,2021-2025,Male,1
296,FORCE-NEN collections,AvL,Unknown primary site,Yes,2021-2025,Female,4
297,FORCE-NEN collections,AvL,Unknown primary site,Yes,2016-2020,Male,10
298,FORCE-NEN collections,AvL,Unknown primary site,Yes,2016-2020,Female,17
299,FORCE-NEN collections,AvL,Unknown primary site,Yes,2011-2015,Male,10
300,FORCE-NEN collections,AvL,Unknown primary site,Yes,2011-2015,Female,12
301,FORCE-NEN collections,AvL,Unknown primary site,Yes,2006-2010,Male,19
302,FORCE-NEN collections,AvL,Unknown primary site,Yes,2006-2010,Female,3
303,FORCE-NEN collections,AvL,Unknown primary site,Yes,2001-2005,Male,4
304,FORCE-NEN collections,AvL,Unknown primary site,Yes,2001-2005,Female,1
305,FORCE-NEN collections,AvL,Unknown primary site,Yes,1991-2000,Male,4
306,FORCE-NEN collections,AvL,Unknown primary site,Yes,1991-2000,Female,1
307,FORCE-NEN collections,AvL,Unknown primary site,Yes,<1991,Male,6
308,FORCE-NEN collections,AvL,Unknown primary site,Yes,<1991,Female,8
309,FORCE-NEN collections,AvL,Unknown primary site,No,2021-2025,Male,3
310,FORCE-NEN collections,AvL,Unknown primary site,No,2021-2025,Female,16
311,FORCE-NEN collections,AvL,Unknown primary site,No,2016-2020,Male,6
312,FORCE-NEN collections,AvL,Unknown primary site,No,2016-2020,Female,18
313,FORCE-NEN collections,AvL,Unknown primary site,No,2011-2015,Male,16
314,FORCE-NEN collections,AvL,Unknown primary site,No,2011-2015,Female,11
315,FORCE-NEN collections,AvL,Unknown primary site,No,2006-2010,Male,8
316,FORCE-NEN collections,AvL,Unknown primary site,No,2006-2010,Female,6
317,FORCE-NEN collections,AvL,Unknown primary site,No,2001-2005,Male,6
318,FORCE-NEN collections,AvL,Unknown primary site,No,2001-2005,Female,12
319,FORCE-NEN collections,AvL,Unknown primary site,No,1991-2000,Male,10
320,FORCE-NEN collections,AvL,Unknown primary site,No,1991-2000,Female,19
321,FORCE-NEN collections,AvL,Unknown primary site,No,<1991,Male,16
322,FORCE-NEN collections,AvL,Unknown primary site,No,<1991,Female,17
323,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2021-2025,Male,20
324,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2021-2025,Female,15
325,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2016-2020,Male,14
326,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2016-2020,Female,6
327,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2011-2015,Male,13
328,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2011-2015,Female,13
329,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2006-2010,Male,6
330,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2006-2010,Female,5
331,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2001-2005,Male,20
332,FORCE-NEN collections,AvL,Unknown primary site,Unknown,2001-2005,Female,7
333,FORCE-NEN collections,AvL,Unknown primary site,Unknown,1991-2000,Male,12
334,FORCE-NEN collections,AvL,Unknown primary site,Unknown,1991-2000,Female,8
335,FORCE-NEN collections,AvL,Unknown primary site,Unknown,<1991,Male,8
336,FORCE-NEN collections,AvL,Unknown primary site,Unknown,<1991,Female,18
337,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2021-2025,Male,20
338,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2021-2025,Female,1
339,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2016-2020,Male,11
340,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2016-2020,Female,14
341,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2011-2015,Male,4
342,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2011-2015,Female,2
343,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2006-2010,Male,17
344,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2006-2010,Female,10
345,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2001-2005,Male,6
346,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,2001-2005,Female,3
347,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,1991-2000,Male,7
348,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,1991-2000,Female,16
349,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,<1991,Male,14
350,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,Yes,<1991,Female,5
351,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,No,2021-2025,Male,15
352,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,No,2021-2025,Female,15
353,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,No,2016-2020,Male,3
354,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,No,2016-2020,Female,16
355,FORCE-NEN collections,FORCE-NEN collections AUMC,ESOPHAGUS,No,2011-2015,Male,2
