id,name,acronym,description,location,latitude,longitude,also_known,url,juridical_person,contact,parent_network,common_network_elements,national_node,withdrawn
bbmri-eric:networkID:PL_BBMRI,BBMRI.PL,BBMRI.PL,BBMRI.PL started officialy in January 2017 when the consortium of Polish biobanks received funding in order to create a national infrastructure. The directory consists of biobanks who are directly involved in creation of BBMRI.pl.,Wrocław,51.171867,16.903032,,http://www.bbmri.pl/,"National Biobanking Node, Wroclaw Research Centre EIT+",bbmri-eric:contactID:PL_BBMRI,,url,PL,false
bbmri-eric:networkID:DE_DKTK,Deutsches Konsortium für Translationale Krebsforschung,DKTK,"Promising new cancer research findings need to reach clinical development and practice as quickly as possible. The German Cancer Consortium (DKTK), one of six German Health Research Centers (DZG), was founded in 2012 to support this aim. More than 20 academic research institutes and university hospitals at seven partner locations cooperate with the German Cancer Research Center (DKFZ), the consortium’s core center.",,,,,https://dktk.dkfz.de/de/home,,bbmri-eric:contactID:DE_HUMMEL,,,DE,false
bbmri-eric:networkID:DE_DZIF,Deutsches Zentrum für Infektionsforschung,DZIF,"The German Center for Infection Research (DZIF) coordinates translational infection research in Germany and aligns it strategically.
Its mission is to transfer results from basic infectious research to clinical research and bring them to patients. 35 DZIF research institutions work together against the global threat of infectious diseases.",,,,,https://www.dzif.de,,bbmri-eric:contactID:DE_ANTON,,,DE,false
bbmri-eric:networkID:DE_DZL,Deutsches Zentrum für Lungenforschung,DZL,"The German Center for Lung Research (DZL) is an association of the leading university and non-university institutions dedicated to lung research in Germany.  Using translational research methods, the DZL seeks to jointly develop new approaches for the prevention, diagnosis and therapy of serious lung diseases including asthma, chronic obstructive pulmonary disease (COPD) , cystic fibrosis, diffuse parenchymal lung disease (DPLD), endstage lung disease, lung cancer, pneumonia and acute lung injury, and pulmonary hypertension.",,,,,https://www.dzl.de/index.php/de/,,bbmri-eric:contactID:DE_Ruppert,,,DE,false
bbmri-eric:networkID:DE_GBA,BBMRI.DE - German Biobank Alliance,GBA,"Under the leadership of GBN, German biobank locations have merged to form the German Biobank Alliance",,52.52437,13.41053,,http://www.bbmri.de/,Charité Berlin,bbmri-eric:contactID:DE_HUMMEL,,,DE,false
bbmri-eric:networkID:DE_JBM,Joint Biobank Munich,JBM,"The Joint Biobank Munich (JBM) is a network of Munich biobanks, consisting of the biobank of the  Helmholtz Center Munich (HMGU), the integrated biobank of  the Ludwig-Maximilians-University Clinic Munich (Klinikum der LMU) and the integrated biobank of the clinic of the  technical university Munich (TUM-MRI).  JBM collects tissue and liquids from distinct patient and proband groups on the basis of a common data base according to common high quality standards.",,,,,http://www.jbm-muc.de/en/index.html,Helmholtz Zentrum München,bbmri-eric:contactID:DE_ANTON,,,DE,false
bbmri-eric:networkID:DE_LSUB,Lower Saxony Unified Biobank,LSUB,,,,,,,,bbmri-eric:contactID:DE_LSUB,,,DE,false
bbmri-eric:networkID:IT_474ed7c85cd74ce,BioBanca Istituzionale,BBI,"The Institutional BioBank (BBI), is a unit of the Scientific Direction of INT-IRCCS Fondazione Pascale, collecting human biological materials for a Scientific Research purpose. BBI  takes part to the National Network of Oncological Biobanks “RIBBO”  and   “BBMRI”.. BBI  stores cancer tissues, blood samples and other biological fluids. Specimens are stored in specific cryopreservation facilities  and are archived as FFPE samples too.  BBI main aim is to support medical-scientific research, providing Research Institutes with high quality biological samples, associated with clinical data. BBI guarantees that biological samples are collected and stored using the highest technological standards, with donor approval and in respect of ethic-legal laws.  . BBI Regulation has been approved by the General Director with Deliberation N. 15 del 20/01/2016 and is supported by  operating procedures (SOPs) according to the international guidelines (POG 07-GESTIONE DEI CAMPIONI SOLIDI BBI). .",,40.8627859,14.2203156,,,Gerardo Botti,bbmri-eric:contactID:IT_817460dceceb4b2,,,IT,false
bbmri-eric:networkID:DE_P2N,Popgen 2.0-Network,P2N,"The PopGen 2.0 Network (P2N) is an association of scientific biobanks at the Kiel Campus of the University Medical Center Schleswig-Holstein (UKSH), the Medical Faculty of the Kiel University and at the Research Center Borstel. Through this networking under the umbrella of a common governance, biospecimens and associated data collected in compliance with relevant data protection requirements and ethical principles are made available for medical research on a national and international scale. The goal of P2N is to establish a sustainable biobank infrastructure at UKSH, Campus Kiel and Kiel University to ensure scientific research with quality-controlled human biomaterial. P2N and its members were funded by the Federal Ministry of Education and Research between 2011 and 2016 as part of the national biobanking initiative (cBMB). The goal of all cBMB sites was to optimize and professionalize the operation and use of their pre-existing local biobanks. P2N established administrative umbrella structures for a central biobank of the Medical Faculty at the University Medical Center of Schleswig-Holstein (UKSH), Campus Kiel, including rules of procedure, uniform steering and governance structures, forms and regulations for sample submission, uniform database software (CentraXX), the regulation of ethical and legal issues and quality management. Since 2019 all applications for biospecimens and medical data for research projects at P2N are processed through an online application portal, which comprises semi-automatic negotiation and processing of requests via the P2N central office with all involved parties (P2N-biobanks, local ethics commission, P2N-director and use&access board). The portal can be reached at https://portal.popgen.de",,,,,http://www.p2n-sh.de,Christian-Albrechts-Universität zu Kiel (CAU),bbmri-eric:contactID:DE_CRoder,bbmri-eric:networkID:DE_GBA,,DE,false
bbmri-eric:networkID:ES_PISCIIIBB,Platform ISCIII Biobanks and Biomodels,PISCIIIBB,"The Coordination team has organised the Platform’s structure into four scientific-technological HUBS, which include: Biobanks, Organoids, Animal Models and 3D Printing. This structure makes it possible to manage and supply biological samples and associated clinical data. In the interest of promoting and incrementing scientific-technological resources in biomedical research, the PISCIIIBB’s services include organoids, animal models and 3D printing.",,,,,https://www.isciiibiobanksbiomodels.es/en/,,bbmri-eric:contactID:ES_PISCIIIBB,,"focus,charter,sample_access_policy,mta,image_access_policy,image_mta,representation,url",ES,false
bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,COVID_19,COVID-19,Member COVID-19 Network,,,,,,,bbmri-eric:contactID:EU_BBMRI-ERIC,,focus,EU,false
bbmri-eric:networkID:EU_BBMRI-ERIC:networks:CRC-Cohort,CRC-Cohort,,,,,,,,,bbmri-eric:contactID:EU_BBMRI-ERIC,,,EU,false
bbmri-eric:networkID:EU_BCNET,Biobank and Cohort Building Network,BCNet,"The Biobank and Cohort Building Network (BCNet) initiative arose from the realization that despite improvements in developed countries, population cohorts and biobanking facilities are either underdeveloped or non-existent in LMICs. In this context and in line with IARC’s mission to contribute to worldwide cancer research, BCNet was set up as an opportunity for LMICs to work together in a coordinated and effective manner and jointly address the many challenges in biobanking infrastructure, including ethical, legal, and social issues (ELSIs). In addition, BCNet facilitate the sharing of resources (e.g. expertise, protocols) and the development of joint projects, strengthening the competitiveness of LMIC biobanks in applying for international funding.",,,,,http://bcnet.iarc.fr,International Agency for Research on Cancer,bbmri-eric:contactID:EU_BCNET,,,EU,false
bbmri-eric:networkID:EU_esbb,"European, Middle Eastern & African Society for Biopreservation and Biobanking",ESBB,,,,,,https://esbb.org/,,bbmri-eric:contactID:EU_ESBB,,,EU,false
bbmri-eric:networkID:EU_isber-irl,International Society for Biological and Environmental Repositories - International Repository Locator,ISBER-IRL,,,,,,https://www.irlocator.isber.org/,,bbmri-eric:contactID:EU_ISBER,,,EU,false
bbmri-eric:networkID:IT_68e869d490ef443,BBMRI.it Network,BBMRI.it,Network with all Italian BBMRi.it Biobanks,,,,,https://www.bbmri.it,Marialuisa Lavitrano,bbmri-eric:contactID:IT_ec43619f295648f,,,IT,false
bbmri-eric:networkID:NO_BiobanNorway,Biobank Norway,bbmri.no,A  national biobank infrastructure,,,,,https://bbmri.no,,bbmri-eric:contactID:NO_biobanknorway,,,NO,false
bbmri-eric:networkID:FI_CoCoBi,Connecting Cohorts With Biobanks,CoCoBi,"CoCoBi is a cohort formed to study healthy aging. It contains 1.39M unique sample donors from Arctic Biobank, Biobank Borealis of Northern Finland and THL Biobank. The joint resource contains harmonized health and lifestyle data, and data to assess metabolic health from over 100,000 Finnish birth and population cohort participants. Electronic health care data is integrated to the dataset from 450,000 hospital biobank sample donors. Additionally, for c.880,000 sample donors’ pregnancy data and serum sample analysis results are available. With significant overlap of cohort and hospital sample donors the CoCoBi cohort provides possibilities to study longitudinal data collection points and to dive deeper into assessment of aging persons’ health status. The cohort can be complemented with other biobank data and samples, i.e. genomic data is available for over 100,000 sample donors and biobank sample types include DNA, plasma, serum, cerebrospinal fluid, fresh frozen tissue and FFPE samples.",,,,,,,bbmri-eric:contactID:FI_012,,"focus,data_access_policy,sample_access_policy,representation",FI,false
bbmri-eric:networkID:FI_bbmri_fi,BBMRI.FI,BBMRI.FI,BBMRI.fi is the Finnish National Node of BBMRI-ERIC. The major goal of BBMRI is to develop a research infrastructure that will facilitate high quality research use of comprehensive collections of biological samples and associated data.,,,,,http://www.bbmri.fi,,bbmri-eric:contactID:FI_000,,,FI,false
bbmri-eric:networkID:FI_finbb,Finnish Biobanks Cooperative,FINBB,FINBB - Finnish Biobank Cooperative is the Finnish National Node of BBMRI-ERIC. The major goal of FINBB is to develop a research infrastructure that will facilitate high quality research use of comprehensive collections of biological samples and associated data.,,,,,http://www.finbb.fi,,bbmri-eric:contactID:FI_finbb,bbmri-eric:networkID:FI_bbmri_fi,,FI,false
bbmri-eric:networkID:GR_bbmri_gr,BBMRI.gr,BBMRI-GR,Panhellenic Biobank Network,Athens,37.9923471,23.7799255,,https://www.bbmri.gr/,,bbmri-eric:contactID:GR_Ioannis_Michalopoulos,,,GR,false
bbmri-eric:networkID:HU_HBN,Hungarian Biobank Node,HU_HBN,"The Hungarian Biobank Node (HBN) is the umbrella organization of the largest biobanks in Hungary and represents the Hungarian research community within BBMRI-ERIC, the largest biobank network in Europe. These biobanks are collecting several types of biospecimens and associated data elements. HBN is supported by the Hungarian Research and Innovation Office, and is the primary contact in Hungary for all stakeholders involved in biobanking.",,,,,,,bbmri-eric:contactID:HU_MariaJuditMolnar,,focus,HU,false
bbmri-eric:networkID:IT_08d54d54ee3445b,RD_Connect_IT,RDConnectIT,Network for biobanks belonging to the rare disease project,,,,,,Università di Milano Bicocca,bbmri-eric:contactID:IT_ec43619f295648f,,,IT,false
bbmri-eric:networkID:IT_1607342930234295,Telethon Network of Genetic Biobanks,TNGB,"The Telethon Network of Genetic Biobanks (TNGB), presently composed of 11 Italian Biobanks, was founded in 2007 in the framework of a research project financially supported by Fondazione Telethon.",,,,,,Fondazione Telethon,bbmri-eric:contactID:IT_1444717627472622,,"focus,charter,sops,data_access_policy,sample_access_policy,mta,url",IT,false
