id,name,acronym,description,url,location,country,latitude,longitude,head,contact,national_node,withdrawn,parent_collection,biobank,biobank_label,network,combined_network,also_known,type,data_categories,order_of_magnitude,size,categories,timestamp,number_of_donors,order_of_magnitude_donors,sex,diagnosis_available,age_low,age_high,age_unit,materials,storage_temperatures,body_part_examined,imaging_modality,image_dataset_type,collaboration_commercial,collaboration_non_for_profit,data_use,commercial_use,access_fee,access_joint_project,access_description,access_uri,sop,combined_quality
bbmri-eric:ID:BE_71030031000:collection:COVID19,Existing collection of COVID-19 cases,COVID-19,Existing collection of COVID-19 cases,,,BE,,,bbmri-eric:contactID:BE_71030031000_002,bbmri-eric:contactID:BE_71030031000_002,BE,false,,bbmri-eric:ID:BE_71030031000,Biobank Antwerpen,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE","bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19",,DISEASE_SPECIFIC,"BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,CT,DiseaseDuration,MEDICAL_RECORDS,TREATMENT_PROTOCOL",3,10000,covid19,,1500,3,,"urn:miriam:icd:U07.1,urn:miriam:icd:U07.2",,,,"BUFFY_COAT,CDNA,NASAL_SWAB,PLASMA,SERUM,WHOLE_BLOOD",,,,,,,,true,,,,,,
bbmri-eric:ID:BE_71030031000:collection:COVID19PROSPECTIVE,Prospective COVID19 collections,COVID-19,Ability to prospectively collect COVID-19 cases for new research collaborations.,,,BE,,,bbmri-eric:contactID:BE_71030031000_002,bbmri-eric:contactID:BE_71030031000_002,BE,false,,bbmri-eric:ID:BE_71030031000,Biobank Antwerpen,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE","bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19",,"DISEASE_SPECIFIC,PROSPECTIVE_COLLECTION","BIOLOGICAL_SAMPLES,BLOOD,CLINICAL_SYMPTOMS,CT,DiseaseDuration,MEDICAL_RECORDS,TREATMENT_PROTOCOL",0,,covid19,,,,,"urn:miriam:icd:U07.1,urn:miriam:icd:U07.2",,,,"BUFFY_COAT,CDNA,NASAL_SWAB,PLASMA,SERUM,WHOLE_BLOOD",,,,,,,,true,,,,,,
bbmri-eric:ID:BE_71067049:collection:001,Hospital biobank collections,,,,,BE,51.025612,3.724091,,bbmri-eric:contactID:BE_71067049_001,BE,false,,bbmri-eric:ID:BE_71067049,HIRUZ Biobank,"bbmri-eric:networkID:BE_CMI,bbmri-eric:networkID:BE_BBMRIBE","bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_CMI,bbmri-eric:networkID:BE_BBMRIBE",,"LONGITUDINAL,DISEASE_SPECIFIC,HOSPITAL,POPULATION_BASED","SURVEY_DATA,GENEALOGICAL_RECORDS,BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS",4,197958,cancer,2016-01-01 11:00:00.0,,,"MALE,FEMALE","urn:miriam:icd:C22.0,urn:miriam:icd:K72,urn:miriam:icd:K74,urn:miriam:icd:K70,urn:miriam:icd:K76,urn:miriam:icd:K51,urn:miriam:icd:K75,urn:miriam:icd:M06.9,urn:miriam:icd:Z94.4,urn:miriam:icd:B16,urn:miriam:icd:E83.0,urn:miriam:icd:K77,urn:miriam:icd:B17,urn:miriam:icd:K50,urn:miriam:icd:B18,urn:miriam:icd:K71,urn:miriam:icd:K52,urn:miriam:icd:K73",,,YEAR,"DNA,PLASMA,SERUM,FECES,OTHER,WHOLE_BLOOD,TISSUE_FROZEN,CELL_LINES,PERIPHERAL_BLOOD_CELLS,RNA,TISSUE_PARAFFIN_EMBEDDED,URINE","temperature-60to-85,temperature-18to-35,temperatureLN,temperatureRoom",,,,true,true,,true,,,,,,
bbmri-eric:ID:BE_71067049:collection:002,Oncological collections,,,,,BE,51.025612,3.724091,,bbmri-eric:contactID:BE_71067049_002,BE,false,,bbmri-eric:ID:BE_71067049,HIRUZ Biobank,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE","bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE",,"LONGITUDINAL,DISEASE_SPECIFIC","BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS",4,25484,cancer,2017-03-01 11:00:00.0,,,"MALE,FEMALE","urn:miriam:icd:D10,urn:miriam:icd:D11,urn:miriam:icd:D12,urn:miriam:icd:D13,urn:miriam:icd:D14,urn:miriam:icd:D15,urn:miriam:icd:D16,urn:miriam:icd:D17,urn:miriam:icd:D18,urn:miriam:icd:D19,urn:miriam:icd:D20,urn:miriam:icd:D21,urn:miriam:icd:D22,urn:miriam:icd:D23,urn:miriam:icd:D24,urn:miriam:icd:D25,urn:miriam:icd:D26,urn:miriam:icd:D27,urn:miriam:icd:D28,urn:miriam:icd:D29,urn:miriam:icd:D30,urn:miriam:icd:D31,urn:miriam:icd:D32,urn:miriam:icd:D33,urn:miriam:icd:D34,urn:miriam:icd:D35,urn:miriam:icd:D36,urn:miriam:icd:D37,urn:miriam:icd:D38,urn:miriam:icd:D39,urn:miriam:icd:D40,urn:miriam:icd:D41,urn:miriam:icd:D42,urn:miriam:icd:D43,urn:miriam:icd:D44,urn:miriam:icd:D45,urn:miriam:icd:D46,urn:miriam:icd:D47,urn:miriam:icd:D48,urn:miriam:icd:C00,urn:miriam:icd:C01,urn:miriam:icd:C02,urn:miriam:icd:C03,urn:miriam:icd:C04,urn:miriam:icd:C05,urn:miriam:icd:C06,urn:miriam:icd:C07,urn:miriam:icd:C08,urn:miriam:icd:C09,urn:miriam:icd:C10,urn:miriam:icd:C11,urn:miriam:icd:C12,urn:miriam:icd:C13,urn:miriam:icd:C14,urn:miriam:icd:C15,urn:miriam:icd:C16,urn:miriam:icd:C17,urn:miriam:icd:C18,urn:miriam:icd:C19,urn:miriam:icd:C20,urn:miriam:icd:C21,urn:miriam:icd:C22,urn:miriam:icd:C23,urn:miriam:icd:C24,urn:miriam:icd:C25,urn:miriam:icd:C26,urn:miriam:icd:C30,urn:miriam:icd:C31,urn:miriam:icd:C32,urn:miriam:icd:C33,urn:miriam:icd:C34,urn:miriam:icd:C37,urn:miriam:icd:C38,urn:miriam:icd:C39,urn:miriam:icd:C40,urn:miriam:icd:C41,urn:miriam:icd:C43,urn:miriam:icd:C44,urn:miriam:icd:C45,urn:miriam:icd:C46,urn:miriam:icd:C47,urn:miriam:icd:C48,urn:miriam:icd:C49,urn:miriam:icd:C50,urn:miriam:icd:C51,urn:miriam:icd:C52,urn:miriam:icd:C53,urn:miriam:icd:C54,urn:miriam:icd:C55,urn:miriam:icd:C56,urn:miriam:icd:C57,urn:miriam:icd:C58,urn:miriam:icd:C60,urn:miriam:icd:C61,urn:miriam:icd:C62,urn:miriam:icd:C63,urn:miriam:icd:C64,urn:miriam:icd:C65,urn:miriam:icd:C66,urn:miriam:icd:C67,urn:miriam:icd:C68,urn:miriam:icd:C69,urn:miriam:icd:C70,urn:miriam:icd:C71,urn:miriam:icd:C72,urn:miriam:icd:C73,urn:miriam:icd:C74,urn:miriam:icd:C75,urn:miriam:icd:C76,urn:miriam:icd:C77,urn:miriam:icd:C78,urn:miriam:icd:C79,urn:miriam:icd:C80,urn:miriam:icd:C81,urn:miriam:icd:C82,urn:miriam:icd:C83,urn:miriam:icd:C84,urn:miriam:icd:C85,urn:miriam:icd:C86,urn:miriam:icd:C88,urn:miriam:icd:C90,urn:miriam:icd:C91,urn:miriam:icd:C92,urn:miriam:icd:C93,urn:miriam:icd:C94,urn:miriam:icd:C95,urn:miriam:icd:C96,urn:miriam:icd:C97",,,YEAR,"OTHER,TISSUE_FROZEN,TISSUE_PARAFFIN_EMBEDDED,PLASMA,SERUM","temperatureRoom,temperature-60to-85",,,,true,true,,true,,,,,,
bbmri-eric:ID:BE_B0383:collection:HBC,Hepatitis B_C,,,,,BE,50.877449,4.673402,,bbmri-eric:contactID:BE_B0383_HBC,BE,false,,bbmri-eric:ID:BE_B0383,Biobank-University Hospitals Leuven,bbmri-eric:networkID:BE_BBMRIBE,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE",,DISEASE_SPECIFIC,"SURVEY_DATA,GENEALOGICAL_RECORDS,BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,IMAGING_DATA,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,NATIONAL_REGISTRIES",4,,,,,,"MALE,FEMALE",urn:miriam:icd:B18,,,YEAR,"PLASMA,SERUM,OTHER",,,,,true,true,,true,,,,,,
bbmri-eric:ID:BE_BERA1:collection:all_samples,Biobanque Hôpital Erasme-ULB,BERA,,,,BE,50.814607,4.2706,bbmri-eric:contactID:BE_salmon,bbmri-eric:contactID:BE_BERA1,BE,false,,bbmri-eric:ID:BE_BERA1,Biobanque Hôpital Erasme-ULB,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1,bbmri-eric:networkID:BE_BBMRIBE","bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_NBWB1",,"CASE_CONTROL,DISEASE_SPECIFIC,LONGITUDINAL,QUALITY_CONTROL,TWIN_STUDY","BIOLOGICAL_SAMPLES,GENEALOGICAL_RECORDS,IMAGING_DATA,MEDICAL_RECORDS,SURVEY_DATA",4,19500,"paediatric_included,cancer",2007-03-10 11:00:00.0,,,"FEMALE,MALE,UNKNOWN","urn:miriam:icd:C00,urn:miriam:icd:C01,urn:miriam:icd:C02,urn:miriam:icd:C03,urn:miriam:icd:C04,urn:miriam:icd:C05,urn:miriam:icd:C06,urn:miriam:icd:C07,urn:miriam:icd:C08,urn:miriam:icd:C09,urn:miriam:icd:C10,urn:miriam:icd:C11,urn:miriam:icd:C12,urn:miriam:icd:C13,urn:miriam:icd:C14,urn:miriam:icd:C15,urn:miriam:icd:C16,urn:miriam:icd:C17,urn:miriam:icd:C18,urn:miriam:icd:C19,urn:miriam:icd:C20,urn:miriam:icd:C21,urn:miriam:icd:C22,urn:miriam:icd:C23,urn:miriam:icd:C24,urn:miriam:icd:C25,urn:miriam:icd:C26,urn:miriam:icd:C30,urn:miriam:icd:C31,urn:miriam:icd:C32,urn:miriam:icd:C33,urn:miriam:icd:C34,urn:miriam:icd:C37,urn:miriam:icd:C38,urn:miriam:icd:C39,urn:miriam:icd:C40,urn:miriam:icd:C41,urn:miriam:icd:C43,urn:miriam:icd:C44,urn:miriam:icd:C45,urn:miriam:icd:C46,urn:miriam:icd:C47,urn:miriam:icd:C48,urn:miriam:icd:C49,urn:miriam:icd:C50,urn:miriam:icd:C51,urn:miriam:icd:C52,urn:miriam:icd:C53,urn:miriam:icd:C54,urn:miriam:icd:C55,urn:miriam:icd:C56,urn:miriam:icd:C57,urn:miriam:icd:C58,urn:miriam:icd:C60,urn:miriam:icd:C61,urn:miriam:icd:C62,urn:miriam:icd:C63,urn:miriam:icd:C64,urn:miriam:icd:C65,urn:miriam:icd:C66,urn:miriam:icd:C67,urn:miriam:icd:C68,urn:miriam:icd:C69,urn:miriam:icd:C70,urn:miriam:icd:C71,urn:miriam:icd:C72,urn:miriam:icd:C73,urn:miriam:icd:C74,urn:miriam:icd:C75,urn:miriam:icd:C76,urn:miriam:icd:C77,urn:miriam:icd:C78,urn:miriam:icd:C79,urn:miriam:icd:C80,urn:miriam:icd:C81,urn:miriam:icd:C82,urn:miriam:icd:C83,urn:miriam:icd:C84,urn:miriam:icd:C85,urn:miriam:icd:C86,urn:miriam:icd:C88,urn:miriam:icd:C90,urn:miriam:icd:C91,urn:miriam:icd:C92,urn:miriam:icd:C93,urn:miriam:icd:C94,urn:miriam:icd:C95,urn:miriam:icd:C96,urn:miriam:icd:C97",0,99,YEAR,"DNA,OTHER,RNA,TISSUE_PARAFFIN_EMBEDDED,TISSUE_FROZEN","temperature-18to-35,temperature-60to-85,temperature2to10,temperatureLN,temperatureRoom",,,,true,true,,true,,,,,,accredited
bbmri-eric:ID:BE_B0383:collection:IBD,Inflammatory Bowel Disease,IBD,,,,BE,50.877449,4.673402,,bbmri-eric:contactID:BE_B0383_IBD,BE,false,,bbmri-eric:ID:BE_B0383,Biobank-University Hospitals Leuven,bbmri-eric:networkID:BE_BBMRIBE,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE",,DISEASE_SPECIFIC,"SURVEY_DATA,GENEALOGICAL_RECORDS,BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,IMAGING_DATA,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,NATIONAL_REGISTRIES",5,,,,,,"MALE,FEMALE","urn:miriam:icd:K50,urn:miriam:icd:K51",,,YEAR,"DNA,PLASMA,SERUM,URINE,SALIVA,FECES,OTHER,RNA,TISSUE_FROZEN",,,,,true,true,,true,,,,,,
bbmri-eric:ID:BE_B0383:collection:LTC,Leuven Tumour Collection,,,,,BE,50.877449,4.673402,,bbmri-eric:contactID:BE_B0383_LTC,BE,false,,bbmri-eric:ID:BE_B0383,Biobank-University Hospitals Leuven,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE","bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE",,DISEASE_SPECIFIC,"SURVEY_DATA,GENEALOGICAL_RECORDS,BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,IMAGING_DATA,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,NATIONAL_REGISTRIES",4,,cancer,,,,"MALE,FEMALE","urn:miriam:icd:D10,urn:miriam:icd:D11,urn:miriam:icd:D12,urn:miriam:icd:D13,urn:miriam:icd:D14,urn:miriam:icd:D15,urn:miriam:icd:D16,urn:miriam:icd:D17,urn:miriam:icd:D18,urn:miriam:icd:D19,urn:miriam:icd:D20,urn:miriam:icd:D21,urn:miriam:icd:D22,urn:miriam:icd:D23,urn:miriam:icd:D24,urn:miriam:icd:D25,urn:miriam:icd:D26,urn:miriam:icd:D27,urn:miriam:icd:D28,urn:miriam:icd:D29,urn:miriam:icd:D30,urn:miriam:icd:D31,urn:miriam:icd:D32,urn:miriam:icd:D33,urn:miriam:icd:D34,urn:miriam:icd:D35,urn:miriam:icd:D36,urn:miriam:icd:D37,urn:miriam:icd:D38,urn:miriam:icd:D39,urn:miriam:icd:D40,urn:miriam:icd:D41,urn:miriam:icd:D42,urn:miriam:icd:D43,urn:miriam:icd:D44,urn:miriam:icd:D45,urn:miriam:icd:D46,urn:miriam:icd:D47,urn:miriam:icd:D48,urn:miriam:icd:C00,urn:miriam:icd:C01,urn:miriam:icd:C02,urn:miriam:icd:C03,urn:miriam:icd:C04,urn:miriam:icd:C05,urn:miriam:icd:C06,urn:miriam:icd:C07,urn:miriam:icd:C08,urn:miriam:icd:C09,urn:miriam:icd:C10,urn:miriam:icd:C11,urn:miriam:icd:C12,urn:miriam:icd:C13,urn:miriam:icd:C14,urn:miriam:icd:C15,urn:miriam:icd:C16,urn:miriam:icd:C17,urn:miriam:icd:C18,urn:miriam:icd:C19,urn:miriam:icd:C20,urn:miriam:icd:C21,urn:miriam:icd:C22,urn:miriam:icd:C23,urn:miriam:icd:C24,urn:miriam:icd:C25,urn:miriam:icd:C26,urn:miriam:icd:C30,urn:miriam:icd:C31,urn:miriam:icd:C32,urn:miriam:icd:C33,urn:miriam:icd:C34,urn:miriam:icd:C37,urn:miriam:icd:C38,urn:miriam:icd:C39,urn:miriam:icd:C40,urn:miriam:icd:C41,urn:miriam:icd:C43,urn:miriam:icd:C44,urn:miriam:icd:C45,urn:miriam:icd:C46,urn:miriam:icd:C47,urn:miriam:icd:C48,urn:miriam:icd:C49,urn:miriam:icd:C50,urn:miriam:icd:C51,urn:miriam:icd:C52,urn:miriam:icd:C53,urn:miriam:icd:C54,urn:miriam:icd:C55,urn:miriam:icd:C56,urn:miriam:icd:C57,urn:miriam:icd:C58,urn:miriam:icd:C60,urn:miriam:icd:C61,urn:miriam:icd:C62,urn:miriam:icd:C63,urn:miriam:icd:C64,urn:miriam:icd:C65,urn:miriam:icd:C66,urn:miriam:icd:C67,urn:miriam:icd:C68,urn:miriam:icd:C69,urn:miriam:icd:C70,urn:miriam:icd:C71,urn:miriam:icd:C72,urn:miriam:icd:C73,urn:miriam:icd:C74,urn:miriam:icd:C75,urn:miriam:icd:C76,urn:miriam:icd:C77,urn:miriam:icd:C78,urn:miriam:icd:C79,urn:miriam:icd:C80,urn:miriam:icd:C81,urn:miriam:icd:C82,urn:miriam:icd:C83,urn:miriam:icd:C84,urn:miriam:icd:C85,urn:miriam:icd:C86,urn:miriam:icd:C88,urn:miriam:icd:C90,urn:miriam:icd:C91,urn:miriam:icd:C92,urn:miriam:icd:C93,urn:miriam:icd:C94,urn:miriam:icd:C95,urn:miriam:icd:C96,urn:miriam:icd:C97",,,YEAR,"DNA,OTHER,TISSUE_FROZEN,TISSUE_PARAFFIN_EMBEDDED",,,,,true,true,,true,,,,,,
bbmri-eric:ID:BE_B0383:collection:PEARL,Prostate Cancer,PEARL,,,,BE,50.877449,4.673402,,bbmri-eric:contactID:BE_B0383_PEARL,BE,false,,bbmri-eric:ID:BE_B0383,Biobank-University Hospitals Leuven,bbmri-eric:networkID:BE_BBMRIBE,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE",,DISEASE_SPECIFIC,"SURVEY_DATA,GENEALOGICAL_RECORDS,BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,IMAGING_DATA,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,NATIONAL_REGISTRIES",3,,cancer,,,,MALE,urn:miriam:icd:C61,,,YEAR,"PLASMA,SERUM,URINE,OTHER,TISSUE_FROZEN,TISSUE_PARAFFIN_EMBEDDED",,,,,true,true,,true,,,,,,
bbmri-eric:ID:BE_B0383:collection:RA,Rheumatoid Arthritis,RA,,,,BE,50.877449,4.673402,,bbmri-eric:contactID:BE_B0383_RA,BE,false,,bbmri-eric:ID:BE_B0383,Biobank-University Hospitals Leuven,bbmri-eric:networkID:BE_BBMRIBE,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE",,DISEASE_SPECIFIC,"SURVEY_DATA,GENEALOGICAL_RECORDS,BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,IMAGING_DATA,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,NATIONAL_REGISTRIES",4,,,,,,"MALE,FEMALE","urn:miriam:icd:M05,urn:miriam:icd:M06",,,YEAR,"SERUM,URINE,OTHER",,,,,true,true,,true,,,,,,
bbmri-eric:ID:CZ_REVMA:collection:M10:PBMC-or-PAXblood,PBMC or full blood cells PAX  for gout (inflammatory arthritis),,Sub-collection of peripheral blood mononuclear cells (PBMC) or PAX cells from patients with gout,,,CZ,,,,bbmri-eric:contactID:CZ_REVMA,CZ,false,bbmri-eric:ID:CZ_REVMA:collection:M10,bbmri-eric:ID:CZ_REVMA,"Bank of Biological Material, Institute of Rheumatology",bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,,"HOSPITAL,SAMPLE,DISEASE_SPECIFIC","BIOLOGICAL_SAMPLES,GENEALOGICAL_RECORDS,MEDICAL_RECORDS,SURVEY_DATA,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,OTHER",2,235,,2019-05-21 00:00:00.0,,,"MALE,FEMALE",urn:miriam:icd:M10,18,100,YEAR,WHOLE_BLOOD,,,,,true,true,,true,,"samples,data","Study approval from ethics committee, material transfer agreement",https://www.revma.cz/,,
bbmri-eric:ID:BE_B0383:collection:SCIBMO,Spinal Cord,SCIBMO,,,,BE,50.877449,4.673402,,bbmri-eric:contactID:BE_B0383_SCIBMO,BE,false,,bbmri-eric:ID:BE_B0383,Biobank-University Hospitals Leuven,bbmri-eric:networkID:BE_BBMRIBE,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE",,DISEASE_SPECIFIC,"SURVEY_DATA,GENEALOGICAL_RECORDS,BIOLOGICAL_SAMPLES,OTHER,MEDICAL_RECORDS,IMAGING_DATA,PHYSIOLOGICAL_BIOCHEMICAL_MEASUREMENTS,NATIONAL_REGISTRIES",2,,cancer,,,,"MALE,FEMALE","urn:miriam:icd:C72,urn:miriam:icd:G00,urn:miriam:icd:G01,urn:miriam:icd:G02,urn:miriam:icd:G03,urn:miriam:icd:G04,urn:miriam:icd:G05,urn:miriam:icd:G06,urn:miriam:icd:G07,urn:miriam:icd:G08,urn:miriam:icd:G09,urn:miriam:icd:G10,urn:miriam:icd:G11,urn:miriam:icd:G12,urn:miriam:icd:G13,urn:miriam:icd:G14,urn:miriam:icd:G20,urn:miriam:icd:G21,urn:miriam:icd:G22,urn:miriam:icd:G23,urn:miriam:icd:G24,urn:miriam:icd:G25,urn:miriam:icd:G26,urn:miriam:icd:G30,urn:miriam:icd:G31,urn:miriam:icd:G32,urn:miriam:icd:G35,urn:miriam:icd:G36,urn:miriam:icd:G37,urn:miriam:icd:G40,urn:miriam:icd:G41,urn:miriam:icd:G43,urn:miriam:icd:G44,urn:miriam:icd:G45,urn:miriam:icd:G46,urn:miriam:icd:G47,urn:miriam:icd:G50,urn:miriam:icd:G51,urn:miriam:icd:G52,urn:miriam:icd:G53,urn:miriam:icd:G54,urn:miriam:icd:G55,urn:miriam:icd:G56,urn:miriam:icd:G57,urn:miriam:icd:G58,urn:miriam:icd:G59,urn:miriam:icd:G60,urn:miriam:icd:G61,urn:miriam:icd:G62,urn:miriam:icd:G63,urn:miriam:icd:G64,urn:miriam:icd:G70,urn:miriam:icd:G71,urn:miriam:icd:G72,urn:miriam:icd:G73,urn:miriam:icd:G80,urn:miriam:icd:G81,urn:miriam:icd:G82,urn:miriam:icd:G83,urn:miriam:icd:G90,urn:miriam:icd:G91,urn:miriam:icd:G92,urn:miriam:icd:G93,urn:miriam:icd:G94,urn:miriam:icd:G95,urn:miriam:icd:G96,urn:miriam:icd:G97,urn:miriam:icd:G98,urn:miriam:icd:G99",,,YEAR,"PLASMA,SERUM,OTHER",,,,,true,true,,true,,,,,,
bbmri-eric:ID:BE_BBOR1:collection:all_samples,Biothèque de l'Institut Jules Bordet Oncology,BBOR,,,,BE,50.83362,4.347353,bbmri-eric:contactID:BE_larsimont,bbmri-eric:contactID:BE_BBOR1,BE,false,,bbmri-eric:ID:BE_BBOR1,Biothèque de l'Institut Jules Bordet Oncology,"bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1,bbmri-eric:networkID:BE_BBMRIBE","bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_NBWB1",,"CASE_CONTROL,DISEASE_SPECIFIC,LONGITUDINAL,QUALITY_CONTROL,TWIN_STUDY",BIOLOGICAL_SAMPLES,4,,"paediatric_included,cancer",,,,"FEMALE,MALE,UNKNOWN","urn:miriam:icd:D10,urn:miriam:icd:D11,urn:miriam:icd:D12,urn:miriam:icd:D13,urn:miriam:icd:D14,urn:miriam:icd:D15,urn:miriam:icd:D16,urn:miriam:icd:D17,urn:miriam:icd:D18,urn:miriam:icd:D19,urn:miriam:icd:D20,urn:miriam:icd:D21,urn:miriam:icd:D22,urn:miriam:icd:D23,urn:miriam:icd:D24,urn:miriam:icd:D25,urn:miriam:icd:D26,urn:miriam:icd:D27,urn:miriam:icd:D28,urn:miriam:icd:D29,urn:miriam:icd:D30,urn:miriam:icd:D31,urn:miriam:icd:D32,urn:miriam:icd:D33,urn:miriam:icd:D34,urn:miriam:icd:D35,urn:miriam:icd:D36,urn:miriam:icd:D37,urn:miriam:icd:D38,urn:miriam:icd:D39,urn:miriam:icd:D40,urn:miriam:icd:D41,urn:miriam:icd:D42,urn:miriam:icd:D43,urn:miriam:icd:D44,urn:miriam:icd:D45,urn:miriam:icd:D46,urn:miriam:icd:D47,urn:miriam:icd:D48,urn:miriam:icd:C00,urn:miriam:icd:C01,urn:miriam:icd:C02,urn:miriam:icd:C03,urn:miriam:icd:C04,urn:miriam:icd:C05,urn:miriam:icd:C06,urn:miriam:icd:C07,urn:miriam:icd:C08,urn:miriam:icd:C09,urn:miriam:icd:C10,urn:miriam:icd:C11,urn:miriam:icd:C12,urn:miriam:icd:C13,urn:miriam:icd:C14,urn:miriam:icd:C15,urn:miriam:icd:C16,urn:miriam:icd:C17,urn:miriam:icd:C18,urn:miriam:icd:C19,urn:miriam:icd:C20,urn:miriam:icd:C21,urn:miriam:icd:C22,urn:miriam:icd:C23,urn:miriam:icd:C24,urn:miriam:icd:C25,urn:miriam:icd:C26,urn:miriam:icd:C30,urn:miriam:icd:C31,urn:miriam:icd:C32,urn:miriam:icd:C33,urn:miriam:icd:C34,urn:miriam:icd:C37,urn:miriam:icd:C38,urn:miriam:icd:C39,urn:miriam:icd:C40,urn:miriam:icd:C41,urn:miriam:icd:C43,urn:miriam:icd:C44,urn:miriam:icd:C45,urn:miriam:icd:C46,urn:miriam:icd:C47,urn:miriam:icd:C48,urn:miriam:icd:C49,urn:miriam:icd:C50,urn:miriam:icd:C51,urn:miriam:icd:C52,urn:miriam:icd:C53,urn:miriam:icd:C54,urn:miriam:icd:C55,urn:miriam:icd:C56,urn:miriam:icd:C57,urn:miriam:icd:C58,urn:miriam:icd:C60,urn:miriam:icd:C61,urn:miriam:icd:C62,urn:miriam:icd:C63,urn:miriam:icd:C64,urn:miriam:icd:C65,urn:miriam:icd:C66,urn:miriam:icd:C67,urn:miriam:icd:C68,urn:miriam:icd:C69,urn:miriam:icd:C70,urn:miriam:icd:C71,urn:miriam:icd:C72,urn:miriam:icd:C73,urn:miriam:icd:C74,urn:miriam:icd:C75,urn:miriam:icd:C76,urn:miriam:icd:C77,urn:miriam:icd:C78,urn:miriam:icd:C79,urn:miriam:icd:C80,urn:miriam:icd:C81,urn:miriam:icd:C82,urn:miriam:icd:C83,urn:miriam:icd:C84,urn:miriam:icd:C85,urn:miriam:icd:C86,urn:miriam:icd:C88,urn:miriam:icd:C90,urn:miriam:icd:C91,urn:miriam:icd:C92,urn:miriam:icd:C93,urn:miriam:icd:C94,urn:miriam:icd:C95,urn:miriam:icd:C96,urn:miriam:icd:C97",0,99,YEAR,"OTHER,PLASMA,TISSUE_FROZEN,TISSUE_PARAFFIN_EMBEDDED,WHOLE_BLOOD","temperature-18to-35,temperature2to10,temperature-60to-85,temperatureLN,temperatureRoom",,,,true,true,,true,,,,,,
