id,collection,quality_standard,assess_level_col,certification_number,certification_report,certification_image_link,label
aaaaczxiszs676qwh2jo6paaam,bbmri-eric:ID:DE_mtbio:collection:pancreatic-cancer,cen-ts-16826-2-2015,eric,,,,cen-ts-16826-2-2015
aaaaczxiszs6z6qwh2jo6paaae,bbmri-eric:ID:AT_MUG:collection:HealthyAgeingStudy,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaaczxiszs6z6qwh2jo6paaai,bbmri-eric:ID:AT_MUG:collection:InterfastStudy,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaaczxiszs7f6qwh2jo6paaam,bbmri-eric:ID:FI_001:collection:Auria_BA-10,cen-ts-16835-2-2015,eric,,,,cen-ts-16835-2-2015
aaaaczxiszs7f6qwh2jo6paaaq,bbmri-eric:ID:FI_002:collection:Botnia,iso-20186-2,eric,,,,iso-20186-2
aaaaczxiszs7h6qwh2jo6paaae,bbmri-eric:ID:FI_002:collection:FINRISK,iso-20186-2,eric,,,,iso-20186-2
aaaaczxiszs7h6qwh2jo6paaai,bbmri-eric:ID:FI_002:collection:FSZ-FBP,iso-20186-2,eric,,,,iso-20186-2
aaaaczxiszs7h6qwh2jo6paaam,bbmri-eric:ID:FI_002:collection:GeneRISK,iso-20186-2,eric,,,,iso-20186-2
aaaaczxiszs7h6qwh2jo6paaaq,bbmri-eric:ID:FI_002:collection:H2000-2011,iso-20186-2,eric,,,,iso-20186-2
aaaaczxiszs7h6qwh2jo6paaau,bbmri-eric:ID:FI_002:collection:SUPER,iso-20186-2,eric,,,,iso-20186-2
aaaaczxiszs7j6qwh2jo6paaae,bbmri-eric:ID:LV_LGDB:collection:EndocrinologyCollection1,cen-ts-16835-2-2015,eric,,,,cen-ts-16835-2-2015
aaaaczxiszs7j6qwh2jo6paaai,bbmri-eric:ID:LV_LGDB:collection:TypeTwoDiabetesFollowUp,cen-ts-16835-2-2015,eric,,,,cen-ts-16835-2-2015
aaaadbcr72kjyaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M05:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr74xxgaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M34:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7alpeaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M45:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7hht4aanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M25:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7l7cqaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M10:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7poxiaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:health_control:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7saqgaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M08:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7ubq4aanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M33:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7v7ayaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M15:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcr7yoagaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:L40:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbcsaawxgaanhiuuxpiaae,bbmri-eric:ID:CZ_REVMA:collection:M32:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaadbzbyk3tkaanhiuuxpiaae,bbmri-eric:ID:AT_MUW:collection:BB9083,cen-ts-16835-2-2015,eric,,,,cen-ts-16835-2-2015
