id,pid,name,acronym,description,url,location,country,latitude,longitude,head,contact,juridical_person,network,also_known,capabilities,collaboration_commercial,collaboration_non_for_profit,national_node,withdrawn
bbmri-eric:ID:BE_BBOR1,21.12110/1.4b77-5ab5-b08a,Biothèque de l'Institut Jules Bordet Oncology,BBOR,"The Bordet Tumour Bank (BTB) offers to cancer researchers a broad range of high quality tissue samples and corresponding data, collected following stringent standardised procedures and ethical guidelines complying with national legislation and international guidelines. BTB contains fresh-frozen/ FFPE tumour and normal adjacent tissue and peripheral blood samples collected from more than 9000 patients. The clinical and non-clinical sample characteristics and patient consent are managed by a relational database. The BTB has allowed Belgian scientists and research investigators, to advance research programs in genetics and cell biology. BTB received ISO-9001:2000 Quality Certification in 2012.",http://www.bordet.be/nl/rd_nl/biobank/pratiek.htm,,BE,50.83362,4.347353,bbmri-eric:contactID:BE_larsimont,bbmri-eric:contactID:BE_BBOR1,Institut Jules Bordet,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",,,true,true,BE,false
bbmri-eric:ID:BE_CICP1,21.12110/1.5a20-b752-665f,CUSL Biobank,CUSL,"The Biological Library of King Albert II Institute was created in 2007 thanks to the ""Plan National Cancer"". With the aim of supporting research activities, the structure coordinates the collection, processing, and storage of residual material from human tissues and recently bone marrow aspirates. Nowadays, approximately 8000 well characterized frozen tissues have been collected following a standard procedure that ensures their high quality. FFPE samples are also available. Anonymized clinical information can be provided for each specimen. The Biological Library works in accordance with the Ethics Committee rules and national laws. All samples are coded to protect individual privacy.",http://www.centreducancer.be/fr/show/index/section/8/page/34,,BE,50.852246,4.4519,bbmri-eric:contactID:BE_marbaix,bbmri-eric:contactID:BE_CICP1,Cliniques universitaires Saint-Luc,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",,,true,true,BE,false
bbmri-eric:ID:BE_BBRU1,21.12110/1.e22a-6e6c-d1ca,CHU Brugmann - BruTus Oncology,BBRU,"BruTuS (or Brugmann Hospital Tumor bank Service) is located in the Pathology department of the CHU Brugmann in Northern Brussels. It is a repository of frozen and formalin-fixed paraffin-embedded tumor samples collected from surgical specimens originating from Brugmann hospital and from the neighboring Children's Hospital Reine Fabiola (HUDERF).In accordance with the activity of the two hospitals, breast and pediatric tumor samples are the most frequent in the biobank.",http://www.chu-brugmann.be/nl/med/anapath/,,BE,50.886017,4.332605,bbmri-eric:contactID:BE_duttmann,bbmri-eric:contactID:BE_BBRU1,CHU Brugmann,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",,"biomaterial-storage,pathology-archive-access",false,true,BE,false
bbmri-eric:ID:BE_BCHA1,21.12110/1.b222-475b-fdc8,ISPPC - Charleroi,BCHA,"ISPPC- Charleroi biobank stores a heterogeneous frozen and paraffin embedded sample collection, focussing on gastrointestinal tract and central nervous system tumour pathologies. Our mission is to support research in the development of improvements in disease diagnosis and treatment, especially in the development of new biomarkers. Comprehensive clinical data are available through the hospital information system to enable further translational and clinical research. All the collections are approved by the local ethics committee.",http://www.chu-charleroi.be/disciplines-medicales/anatomie-pathologique,,BE,50.413596,4.450733,bbmri-eric:contactID:BE_BCHA1,bbmri-eric:contactID:BE_BCHA1,ISPPC - Charleroi,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_NBWB1",,,true,true,BE,false
bbmri-eric:ID:BE_BERA1,21.12110/1.1cd8-d2d6-328d,Biobanque Hôpital Erasme-ULB,BERA,"The biobank hospital Erasme-ULB is a generalized biobanks network (more than 10) on Université Libre de Bruxelles - Erasme Campus (CBEU is located in Anderlecht) collecting and delivering human samples (frozen, FFPE, serum, plasma, DNA, and Tissue Micro Array) of normal, tumour and inflammatory diseases for retrospective and prospective studies. Additionally to the disposal of comprehensive clinical data, further investigations on those human samples are obtained by using molecular (NGS) and protein techniques. Overall, CBEU is managed by a multidisciplinary (MDs, researchers, technical staff) and motivated team. All information is available on request at info.cbeu@erasme.ulb.ac.be.",http://www.erasme.ulb.ac.be/page.asp?langue=FR&id=17929,,BE,50.814607,4.2706,bbmri-eric:contactID:BE_salmon,bbmri-eric:contactID:BE_BERA1,Hôpital Erasme,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",,covid19,true,true,BE,false
bbmri-eric:ID:BE_BIPG1,21.12110/1.b0dc-7773-6fea,IPG-Biobank,BIPG,"The IPG-Biobank is located at the Institute of Pathology and Genetics in modern purpose built facilities and is funded by the federal cancer plan. The institute is specialized in medical diagnosis related to anatomopathology, genetics, molecular biology and microbiology. The IPG has been accredited ISO 15189. The IPG-Biobank is a large multi-center collection facility, collecting tissues and blood from donors of many hospitals in Wallonia. High-quality biomaterial is supplied for our Biobank by a network of clinicians, surgeons and pathologists. The Biobank provides a coordinated and integrated program that collects and distributes tissue samples to support cancer research in Belgium.",http://www.ipg.be/biobanque/,,BE,50.472558,4.467883,bbmri-eric:contactID:BE_delree,bbmri-eric:contactID:BE_BIPG1,Institut de Pathologie et de Génétique,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_NBWB1",,"BSL2,covid19,PCR,VSF",true,true,BE,false
bbmri-eric:ID:BE_CBP,21.12110/1.fef3-126a-e183,Centraal Biobank Platform Sciensano,CBP,"The Central Biobank Platform provides support to the different biobank modules of Sciensano. These Sciensano Biobank modules are available for internal and external scientists who want to do research involving human body material. Samples can be registered, stored and made available for scientific research, according to the applicable ethical and legal framework for biobanks.",https://www.sciensano.be/en/projects/central-biobank-platform,,BE,,,bbmri-eric:contactID:BE_CBP,bbmri-eric:contactID:BE_CBP,Sciensano,bbmri-eric:networkID:BE_BBMRIBE,,"biomaterial-storage,data-storage,ProspectiveCollections",false,true,BE,false
bbmri-eric:ID:BE_CMGO1,21.12110/1.b563-5e25-e216,Biobanque du CHU UCL Namur,CGOD,"The biobank of the CHU UCL Namur, created in 2009, is mainly focused on neoplastic pathologies with a special interest for haematology (leukemias, myelomas, lymphomas…). We are using standard operating procedures to store samples (tissue, cells and corresponding plasma/serum) according different conservation modes (-80°C, liquid nitrogen, paraffin). All samples are associated to corresponding clinical/biological data (patient history, treatment received, molecular biology ...). If possible, samples are collected at different stages of the clinical course of the patient (diagnosis, remission, relapse…). The structure is flexible and can also meet most specific demands of researchers (prospective collection). Numerous collaborative projects are ongoing.",http://www.uclmontgodinne.be/gorganigeneral.php?action=servicedetail&serviceid=144,,BE,50.3591,4.883199,bbmri-eric:contactID:BE_graux,bbmri-eric:contactID:BE_CMGO1,CHU UCL Namur,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",,"covid19,PCR,ProspectiveCollections",true,true,BE,false
bbmri-eric:ID:BE_ITG,21.12110/1.93ba-0bcf-4735,ITG Biobank,,"The ITG Biobank is the biobank of the Institute of Tropical Medicine (ITM) in Antwerp. The biobank was officially registered in 2018 when the Belgium biobanking law has entered into force.
The ITM is specialised in diagnosis and research of infectious and neglected diseases. The ITM collaborates with (inter)national institutes for research and diagnostics and is home of several (inter)national reference laboratoria. The samples of the ITG Biobank are collected over many decades of infectiology research and diagnostics at ITM (travel)-clinic and (inter)national partner institutes. 
Samples stored are from human material as well as animal (including insects) and microorganisms.",http://www.itg.be,,BE,,,,bbmri-eric:contactID:BE_ITG,Instituut voor Tropische Geneeskunde Antwerpen,bbmri-eric:networkID:BE_BBMRIBE,,,,,BE,false
bbmri-eric:ID:BE_Jessa,21.12110/1.1f5a-eff4-9534,Jessa Biobank,,"The Jessa Biobank was initially established to store human body material, obtained by the clinical laboratory, for research purposes, However, if requested, the Jessa Biobank will also support other researchers that want to perform translational research. The goal of the Jessa Biobank is to collect, process and store high-quality biological material together with its associated data; and to make the stored biological material available for a broad group of clinically relevant studies. To this end, UBiLim applies the highest standards regarding biobanking. All activities of UBiLim, carried out at the various locations, are executed according to the Belgian law and Royal Decree on biobanking, and reconciled to the (inter)national guidelines on biobanking and research, including those at Flemish (BBMRI.be) and European level (ESFRI, ECRIN, ...). To manage the samples and associated data (collections and projects to which the sample belongs; informed consent of the donor; sample deliveries that have taken place, freeze-thaw cycles, etc.) a Biobank Information Management System (Labvantage Biobanking) is used, which makes it possible for UBiLim to offer the highest possible quality of service.",,,BE,50926132,5342096,bbmri-eric:contactID:BE_magerman,bbmri-eric:contactID:BE_71024388,Jessa Hospital,bbmri-eric:networkID:BE_BBMRIBE,,"biomaterial-storage,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access",true,true,BE,false
bbmri-eric:ID:BE_LCHU1,21.12110/1.bce5-d8d9-a7f0,Biothèque Hospitalo Universitaire de Liège,LCHU,"The “Biothèque Hospitalo-Universitaire de Liège” (BHUL) is a biobank which is in charge of the daily collection of human biological samples in the respect of ethical, legal and quality requirements. Over many years, we have built collections of samples in various topics (oncology, neurology, inflammatory disease, genetic disease…) and storage formats (freezers, liquid nitrogen). We can offer the selection of samples meeting researcher’s specific criteria, tissue slides for staining or immunohistochemistry, sections in tubes for extraction, serum, plasma, cells… Our biobank supply biological samples for scientific research and we are proud to offer clinical and technical data when available.",http://www.gigabiotheque.uliege.be,,BE,50.572026,5.564681,bbmri-eric:contactID:BE_beguin,bbmri-eric:contactID:BE_LCHU1,CHU de Liège,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",,"BSL2,BSL3,covid19,PCR",false,true,BE,false
bbmri-eric:ID:BE_UCL,21.12110/1.87ac-180d-046d,Biothèque UCLouvain,,,,,BE,,,,bbmri-eric:contactID:BE_UCL,UCLouvain university,bbmri-eric:networkID:BE_BBMRIBE,,,,,BE,false
bbmri-eric:ID:BG_MMC,21.12110/1.6936-aedf-0653,MMC biobank,,,http://mmcbg.org/,,BG,,,,bbmri-eric:contactID:BG_0001,kaneva@mmcbg.org,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,,"PCR,VSF",true,true,BG,false
bbmri-eric:ID:CH_CHUV,21.12110/1.3161-4152-7738,Centre Hospitalier Universitaire Vaudois,CHUV,,,,CH,,,,,CHUV,,bbmri-eric:akiID:CH_00001,,,,CH,false
bbmri-eric:ID:CH_EPFL,21.12110/1.ea33-eaa3-2946,Ecole Polytechnique Fédéral de Lausanne,EPFL,,,,CH,,,,,EPFL,,,,,,CH,false
bbmri-eric:ID:CH_ETH,21.12110/1.191a-afc0-03ef,Eidgenössisch Technische Hochschule,ETH,,,,CH,,,,,Eidgenössisch Technische Hochschule,,,,,,CH,false
bbmri-eric:ID:CH_FondazioneEpatocentroTicino,21.12110/1.731e-b792-115f,Fondazione Epatocentro Ticino SA,,,http://www.epatocentro.ch/it/La-Fondazione,,CH,,,bbmri-eric:contactID:CH_DiBartolomeo,bbmri-eric:contactID:CH_DiBartolomeo,Fondazione Epatocentro Ticino SA,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,,covid19,,,CH,false
bbmri-eric:ID:CH_HFR,21.12110/1.fa2f-9466-27f0,HFR biobank infrastructure,,,,,CH,,,,,HFR,,,,,,CH,false
bbmri-eric:ID:CH_HopitauxUniversitairesGeneve,21.12110/1.adcb-ed30-b081,Hôpitaux Universitaires Genève,HUG,,,,CH,,,,,Hôpitaux Universitaires Genève,,,,,,CH,false
bbmri-eric:ID:CH_ICH,21.12110/1.8ea9-f625-f50f,Institut Central des Hôpitaux de Sion,ICH,,,,CH,,,,,Institut Central des Hôpitaux de Sion,,,,,,CH,false
bbmri-eric:ID:CH_KinderspitalZurich,21.12110/1.4e00-135e-229e,Kinderspital Zürich,,,,,CH,,,,,Kinderspital Zürich,,,,,,CH,false
bbmri-eric:ID:CH_LBBservices,21.12110/1.bd51-ae28-97e2,Liquid Biobank Bern Infrastructure - Biobank Services,LBB Services,"The infrastructure of the Liquid Biobank Bern consists of state-of-the-art automated and standardized processes performed by lab automation, liquid handling robots and fully automated robotic -80° and N2 stores and provides tailored Biobank Services (BBS). The samples are tightly tracked by their barcodes and each time-point (from blood draw to storage) is set by robots/scanners to grant a high data quality. All robots are interfaced to a central IT system to avoid any manual inputs or file imports. The infrastructure is operated by the Center for Laboratory Medicine of the Inselspital. This infrastructure can be used by studies to allow long-term storage of their samples compliant to the Human Research Act.",https://www.biobankbern.ch/,,CH,,,bbmri-eric:contactID:CH_Largiader,bbmri-eric:contactID:CH_Froelich,Inselspital - Universitätspital Bern,bbmri-eric:networkID:CH_SBP,,,,,CH,false
bbmri-eric:ID:CH_LPA,21.12110/1.c4b7-1176-c199,Laboratoire Pré-Analytique,LPA,"Le laboratoire de l’unité de médecine de précision soutient les chercheurs du CHUV et de l'UNIL dans tous leurs besoins de traitement pré-analytique, d'extraction d'ADN et de stockage, dans le cadre d'un projet de recherche défini et/ou de leur biobanque.",https://www.chuv.ch/fr/medecine-precision/accueil/professionnels-de-la-sante/laboratoire-pre-analytique/,,CH,,,bbmri-eric:contactID:CH_Fellay,bbmri-eric:contactID:CH_Ristorcelli,CHUV - Centre Hospitalier Universitaire Vaudois,bbmri-eric:networkID:CH_SBP,,,,,CH,false
bbmri-eric:ID:CH_SCMB,21.12110/1.8c1b-556c-b8df,Swiss Center for Musculoskeletal Biobanking (Infrastructure),SCMB,"The Swiss Center for Musculoskeletal Biobanking is an open platform for the collection, storage, and analysis of tissue and fluid samples from patients with musculoskeletal diseases. The tissue samples and fluids are collected together with encrypted or (pseudo-)anonymized patient data. Our staff is happy to provide you with support for your research study.",https://scmb.balgristcampus.ch/,,CH,,,bbmri-eric:contactID:CH_Botter,bbmri-eric:contactID:CH_Botter,Balgrist Campus AG,bbmri-eric:networkID:CH_SBP,,"nucleic-acid-extraction,immunohistochemistry-staining,biomaterial-storage,BSL2,ProspectiveCollections,TrialSetupClinical,cell-culture,data-storage,digital-imaging,recontact",,,CH,false
bbmri-eric:ID:CH_SunBioscience,21.12110/1.8f94-7aa8-3c6d,Sun Bioscience,,,https://sunbioscience.ch/,,CH,,,bbmri-eric:contactID:CH_Brandenber,bbmri-eric:contactID:CH_Brandenber,Sun Bioscience,,,,,,CH,false
bbmri-eric:ID:CH_SwissParaplegicResearch,21.12110/1.9737-0628-4ed3,Swiss Paraplegic Research,,,https://www.paraplegie.ch/spf/en/biology-aging,,CH,,,bbmri-eric:contactID:CH_Stoyanov,bbmri-eric:contactID:CH_Schaniel,Swiss Paraplegic Research,,,,,,CH,false
bbmri-eric:ID:CH_UKBB,21.12110/1.44cf-6c55-9034,Universitäts-Kinderspital beider Basel,UKBB,,,,CH,,,,,Universitäts-Kinderspital beider Basel,,,,,,CH,false
bbmri-eric:ID:CH_USB,21.12110/1.a9e6-3a53-f8ab,Universitätsspital Basel,USB,,,,CH,,,,,Universitätsspital Basel (USB),,,,,,CH,false
bbmri-eric:ID:CH_USZ,21.12110/1.69e7-ce8a-5452,Universitätsspital Zürich,USZ,,,,CH,,,,,Universitätsspital Zürich,,,,,,CH,false
bbmri-eric:ID:CH_Unifr,21.12110/1.433d-0be5-d4b6,University of Fribourg,UNIFR,,,,CH,,,,,University of Fribourg,,,,,,CH,false
bbmri-eric:ID:CH_Unige,21.12110/1.4d40-faf6-165d,Université de Genève,,,,,CH,,,,,Université de Genève,,,,,,CH,false
bbmri-eric:ID:CH_UniversityOfBern,21.12110/1.2710-7c0c-b003,University of Bern,,,,,CH,,,,,University of Bern,,,,,,CH,false
bbmri-eric:ID:CY_ALLBIO,21.12110/1.1ba3-01ce-1a86,ALLBIO INTERNATIONAL,ALLBIO,"We collect and process human biospecimens (tissues, biofluids and their derivatives) within our network of hospitals for leading biomedical research institutions. 
All specimens are procured according to IRB approved protocols.
We cooperate with international logistics service providers experienced in biomedical material transportation and ship to Europe, the United States and Japan on a regular basis.",,Nicosia,CY,35.1748976,33.3638568,,bbmri-eric:contactID:CY_002,ALLBIO INTERNATIONAL LTD,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,,"BSL2,PCR,covid19",true,true,CY,false
bbmri-eric:ID:CY_cybiobank,21.12110/1.2600-933b-c26c,CY-biobank,CY,"CY-Biobank enrols volunteers of the general population as well as patients of several inherited or complex conditions in a targeted manner, based on specific ongoing projects.",,Nicosia,CY,35.12589,33.37766,bbmri-eric:contactID:CY_001,bbmri-eric:contactID:CY_003,Loizidou,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,,"BSL2,PCR,covid19",true,true,CY,false
bbmri-eric:ID:CZ_CUNI_HK,21.12110/1.130a-c3b1-7ebe,"Bank of Biological Material, Charles University - Hradec Králové",UK_HK,"Biobank at the Charles University Faculty of Medicine in Hradec Kralove (bbmri-eric:ID:CZ_CUNI_HK) was established at The Fingerland Department of Pathology. Majority of patients from whom the specimens are stored fall into one of the following categories: colorectal cancer, breast cancer, ovarian cancer, head&neck cancer, lung cancer, brain tumors. The tumor tissue is cryopreserved at the moment of operation for future analysis of both DNA and RNA. Formalin-fixed and paraffin embedded tissue of corresponding neoplasms is stored as well. The specimens are collected in close cooperation with clinical specialists (surgeons, oncologists, etc.).",https://www.fnhk.cz/fingerland/aktivity-ustavu/diagnostika/kryokonzervace,Hradec Králové,CZ,50.2001114,15.8244122,bbmri-eric:contactID:CZ_CUNI_HK,bbmri-eric:contactID:CZ_CUNI_HK,Charles University,bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,,"biomaterial-storage,cell-culture,data-analytics,digital-imaging,immunohistochemistry-scoring,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access,recontact,tma-creation",false,true,CZ,false
bbmri-eric:ID:CZ_CUNI_LF1,21.12110/1.fcfe-ca7a-a585,"Bank of Biological Material of the First Faculty of Medicine of Charles University, Prague",UK_LF1,"The Bank of Biological Material (BBM) of the First Faculty of Medicine of Charles University, Prague is primarily focused on the collection of tumour samples for future cancer research. The BBM collects samples of various types of tissues (tumour, metastases, non-tumour) classified by diagnosis, usually together with blood, serum, plasma, genomic DNA and/or urine samples taken at the time of surgery.",http://biobanka.lf1.cuni.cz/en,Prague,CZ,50.07460,14.42625,bbmri-eric:contactID:CZ_Zima,bbmri-eric:contactID:CZ_CUNI_LF1,Charles University,bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,,,false,true,CZ,false
bbmri-eric:ID:CZ_CUNI_PILS,21.12110/1.73d3-2724-17d4,"Bank of Biological Material, Charles University - Pilsen",UK_PILS,The Bank of Biological Material (BBM) of the Faculty of Medicine in Plzeň of Charles University has been established in the premises of the Department of Immunochemical Diagnostics of the University Hospital Plzeň. Currently the Biobank is systematically collecting for long term storage serum and plasma samples from patients with oncological diagnosis.,https://biobanka.fnplzen.cz/en/node/1626,Pilsen,CZ,49.736015,13.374591,bbmri-eric:contactID:CZ_CUNI_PILS,bbmri-eric:contactID:CZ_CUNI_PILS,Charles University,"bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19",,"biomaterial-storage,data-analytics",true,true,CZ,false
