resource,dataset,name,useExternalDefinition.resource,useExternalDefinition.dataset,useExternalDefinition.name,label,description,collection event,format,unit,since version,until version,repeat unit,repeat min,repeat max,example values,keywords,vocabularies,notes
testNetwork,testTable,smk_cess,,,,Smoking cessation,Age in years when the study participant stopped smoking. Provide repeated measures in long format with corresponding age in years.,c2,continuous,year,1.0.0,,,,,,,,
testNetwork,testTable,smk_cig,,,,"Smoking, number of cigarrettes",Average number of cigarettes smoked per day. Provide repeated measures in long format with corresponding age in years.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,smk_curr,,,,Current smoking status,Current smoking status. Provide repeated measures in long format with corresponding age in years.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,alc,,,,Alcohol intake,Does the study participant currently drink alcohol? Provide repeated measures in long format with corresponding age in years.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,alc_unit,,,,"Alcohol intake, units",Average units of alcohol per week. Provide repeated measures in long format with corresponding age in years.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,outdoor,,,,Child’s outdoor play duration,Time spent playing outdoors. Provide repeated measures in long format with corresponding age in years.,c1,continuous,hours/day,1.0.0,,,,,,,,
testNetwork,testTable,outdoor_season,,,,"Child’s outdoor play duration, season when asked",Season of outdoor collection. Provide repeated measures in long format with corresponding age in years.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,sedentary_time,,,,Sedentary behaviour,Total screen time per day (time spent watching TV / playing video games / using a tablet; a smartphone). Provide repeated measures in long format with corresponding age in years.,c1,continuous,hours/day,1.0.0,,,,,,,,
testNetwork,testTable,pa_mod_vig,,,,"Physical activity, moderate to vigorous",Total duration of moderate to vigorous physical activity per week. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,continuous,hours/week,1.0.0,,,,,,,,
testNetwork,testTable,pa_mod,,,,"Physical activity, moderate based on MET categories 3-6",Total duration of moderate physical activity per week based on METs classification (3-6 METs). Provide repeated measures in long format with corresponding age in years.,c1,continuous,hours/week,1.0.0,,,,,,,,
testNetwork,testTable,pa_vig,,,,"Physical activity, vigorous based on MET categories >6",Total duration of vigorous physical activity per week based on METs classification (>6 METs). Provide repeated measures in long format with corresponding age in years.,c2,continuous,hours/week,1.0.0,,,,,,,,
testNetwork,testTable,sleep_duration,,,,Sleep duration,Time spent sleeping per day. Provide repeated measures in long format with corresponding age in years.,c1,continuous,hours/day,1.0.0,,,,,,,,
testNetwork,testTable,diet_veg,,,,Vegetables without potatoes,"Vegetables intake, without potatoes. Provide repeated measures in long format with corresponding age in years and method for each measure.",c2,continuous,servings/day,1.0.0,,,,,,,,
testNetwork,testTable,diet_fruit,,,,Fruits,Fruits intake. Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,continuous,servings/day,1.0.0,,,,,,,,
testNetwork,testTable,diet_fish,,,,Fish and fish products,Fish and fish products intake. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,continuous,servings/day,1.0.0,,,,,,,,
testNetwork,testTable,diet_swebev,,,,Sugar-sweetened beverages,Sugar-sweetened beverages intake. Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,continuous,servings/day,1.0.0,,,,,,,,
testNetwork,testTable,diet_na,,,,Sodium intake,Sodium intake. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,continuous,mg/day,1.0.0,,,,,,,,
testNetwork,testTable,diet_kcal,,,,Daily kcal intake,Daily kcal intake. Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,continuous,kcal/day,1.0.0,,,,,,,,
testNetwork,testTable,ap_age,,,,Age at adiposity peak,Age at adiposity peak in days. Age when the individual experienced their highest BMI between birth and 2 years.,c2,continuous,day,1.0.0,,,,,,,,
testNetwork,testTable,ap_bmi,,,,BMI at adiposity peak,BMI at adiposity peak. Highest BMI reached between birth and 2 years.,c1,continuous,kg/m2,1.0.0,,,,,,,,
testNetwork,testTable,ar_age,,,,Age at adiposity reobund,Age at adiposity rebound in days. Age when the individual experienced their lowest BMI.,c2,continuous,day,1.0.0,,,,,,,,
testNetwork,testTable,ar_bmi,,,,BMI at adiposity rebound,BMI at adiposity rebound. BMI when the individual experienced their lowest adiposity.,c1,continuous,kg/m2,1.0.0,,,,,,,,
testNetwork,testTable,phv_age,,,,Age at peak height velocity,Age at which the individual experienced their fastest upward growth in their stature. Note: this can be estimated only if the participant has at least two height measures recorded between ages 5 and 20 years AND at least one of the height measures recorded at or after age 9 years,c2,continuous,year,1.0.0,,,,,,,,
testNetwork,testTable,voice_break_age,,,,Age at voice break,Age at which voice started to change/break (males only),c1,continuous,year,1.0.0,,,,,,,,
testNetwork,testTable,menarche_age,,,,Age at menarche,Age at menarche (females only),c2,continuous,year,1.0.0,,,,,,,,
testNetwork,testTable,chd_cabg,,,,"Coronary events and incidents, coronary artery bypass graft",Coronary events and incidents: Coronary artery bypass graft. Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,tanner_breast,,,,Tanner stages of breast development,Tanner stages (I-V) of breast development (females only). Provide repeated measures in long format. Age represents the age of the study participant in years at the time of the measurement.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,tanner_genit,,,,Tanner stages of genitalia development,"Tanner stages (I-V) of testes, scrotum, and penis development (males only). Provide repeated measures in long format. Age represents the age of the study participant in years at the time of the measurement.",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,death_cause,,,,"Mortality, cause of death",Cause of death.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,tanner_pubhair,,,,Tanner stages of pubic hair development,Tanner stages (I-V) of pubic hair development. Provide repeated measures in long format. Age represents the age of the study participant in years at the time of the measurement.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,menopause_age,,,,Age at menopause,Age at menopause in years (females only),c2,continuous,year,1.0.0,,,,,,,,
testNetwork,testTable,cimtmeanmax,,,,Mean or max carotid intima-media thickness,Is the reported carotid intima-media thickness mean or maximum? Provide repeated measures in long format with corresponding age in days.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,diab_t2_icd,,,,"Type 2 diabetes, ICD10 codes",Type 2 diabetes based on ICD10 code. Provide repeated measures in long format with corresponding age in years.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,diab_t2_sr,,,,"Type 2 diabetes, self reported",Type 2 diabetes based on self-reported measure. Provide repeated measures in long format with corresponding age in years.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,hypertension,,,,Hypertension,Hypertension status based on physician diagnosis: either being told by a physician or medical records.  Provide repeated measures in long format with corresponding age in years.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,hypertension_med,,,,"Hypertension, use of anti-hypertensive medication",Use of anti-hypertensive medication. Provide repeated measures in long format with corresponding age in years.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,chd_hard,,,,"Coronary events and incidents, hard definition",Has the study participant had coronary events (hard definition)? Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,chd_broad,,,,"Coronary events and incidents, broad definition",Has the study participant had coronary events (broad definition)? Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,visits_range,,,,"Health professional visits, age range",Time range to which following visit data refers to. Provide repeated measures in long format with corresponding age in years.,c2,continuous,month,1.0.0,,,,,,,,
testNetwork,testTable,chd_ap,,,,"Coronary events and incidents, angina pectoris",Coronary events and incidents: Angina pectoris. Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,chd_mi,,,,"Coronary events and incidents, myocardial infarction",Coronary events and incidents: Myocardial infarction. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,chd_acs,,,,"Coronary events and incidents, acute coronary syndrome",Coronary events and incidents: Acute coronary syndrome. Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,chd_revasc,,,,"Coronary events and incidents, coronary revascularisation procedures",Coronary events and incidents: Coronary revascularisation procedures. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,chd_si,,,,"Coronary events and incidents, silent ischemia",Coronary events and incidents: Silent ischemia. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,car_plaques,,,,Carotid plaques,Carotid plaques. Provide repeated measures in long format with corresponding age in years and method for each measure.,c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,death,,,,Mortality,Indicator variable for death of the individual. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,hosp,,,,Hospitalized as an inpatient,"Was the study participant hospitalized? Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (hosp_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,hosp_range,,,,"Hospitalized as an inpatient, time",Time range in months to which hosp refers to. Provide repeated measures in long format with corresponding age in years.,c1,continuous,month,1.0.0,,,,,,,,
testNetwork,testTable,hosp_n,,,,Number of hospitalizations,"How many times the study participant was hospitalized? Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (hosp_n_range).",c2,integer,,1.0.0,,,,,,,,
testNetwork,testTable,hosp_n_range,,,,"Number of hospitalizations, time",Time range in months to which hosp_n refers to. Provide repeated measures in long format with corresponding age in years.,c1,continuous,month,1.0.0,,,,,,,,
testNetwork,testTable,hosp_nights,,,,"Number of hospitalizations, number of nights",Total number of nights of hospitalization reported in hosp_n. Provide repeated measures in long format with corresponding age in years and method for each measure.,c2,integer,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_v,,,,"Drug use, V) Various drug use.","Drug use, V) Various drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,visits_dentist,,,,"Health professional visits, dentist or orthodontist","How many times the study participant has seen dentist or dental hygiensit? Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (visits_range).",c1,integer,,1.0.0,,,,,,,,
testNetwork,testTable,visits_orthodontist,,,,"Health professional visits, orthodontist","How many times the study participant has seen orthodontist? Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (visits_range).",c2,integer,,1.0.0,,,,,,,,
testNetwork,testTable,visits_gp,,,,"Health professional visits, GP (general practitioner) or family doctor","How many times the study participant has seen GP or family doctor? Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (visits_range).",c1,integer,,1.0.0,,,,,,,,
testNetwork,testTable,visits_specialist,,,,"Health professional visits, specialist","How many times the study participant has seen any health care specialist (i.e. non-GP visit)? Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (visits_range).",c2,integer,,1.0.0,,,,,,,,
testNetwork,testTable,visits_nurse,,,,"Health professional visits, nurse or midwife","How many times the study participant has seen nurse (incl. midwife, physician assistant, GP-assistant)? Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (visits_range).",c1,integer,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_range,,,,"Drug use, age range",Time range to which following drug use data refers to. Provide repeated measures in long format with corresponding age in years.,c2,continuous,month,1.0.0,,,,,,,,
testNetwork,testTable,drugs_a,,,,"Drug use, A) Alimentary tract and metabolism drug use.","Drug use, A) Alimentary tract and metabolism drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_b,,,,"Drug use, B) Blood and blood forming organs drug use.","Drug use, B) Blood and blood forming organs drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_c,,,,"Drug use, C) Cardiovascular system drug use.","Drug use, C) Cardiovascular system drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_d,,,,"Drug use, D) Dermatological drug use.","Drug use, D) Dermatological drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_g,,,,"Drug use, G) Genito-urinary system and sex hormones drug use.","Drug use, G) Genito-urinary system and sex hormones drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_h,,,,"Drug use, H) Systemic hormonal preparations, excluding sex hormones and insulins drug use.","Drug use, H) Systemic hormonal preparations, excluding sex hormones and insulins drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_j,,,,"Drug use, J) Anti-infectives for systemic drug use.","Drug use, J) Anti-infectives for systemic drug use. Also indicate the age or time range (drugs_range) to which visit data refers to.",c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_l,,,,"Drug use, L) Antineoplastic and immunomodulating agents drug use.","Drug use, L) Antineoplastic and immunomodulating agents drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_m,,,,"Drug use, M) Musculo-skeletal system drug use.","Drug use, M) Musculo-skeletal system drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_n,,,,"Drug use, N) Nervous system drug use.","Drug use, N) Nervous system drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_p,,,,"Drug use, P) Antiparasitic products, insecticides and repellents drug use.","Drug use, P) Antiparasitic products, insecticides and repellents drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c1,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_r,,,,"Drug use, R) Respiratory system drug use.","Drug use, R) Respiratory system drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c2,categorical,,1.0.0,,,,,,,,
testNetwork,testTable,drugs_s,,,,"Drug use, S) Sensory organs drug use.","Drug use, S) Sensory organs drug use. Provide repeated measures in long format with corresponding age in years, method for each measure and time range to which this refers to (drugs_range).",c1,categorical,,1.0.0,,,,,,,,
