resource,identifier,external identifier type,external identifier type other
P2N-TRIBanK,bbmri-eric:ID:DE_BMB-CCCKiel,,BBMRI id
BMBH,bbmri-eric:ID:DE_BMBH,,BBMRI id
BMBN,bbmri-eric:ID:DE_BMBN,,BBMRI id
BMBUKE,bbmri-eric:ID:DE_BMBUKE,,BBMRI id
BioMaSOTA,bbmri-eric:ID:DE_BioMaSOTA,,BBMRI id
BioPsy,bbmri-eric:ID:DE_BioPsy,,BBMRI id
Bonn_ViroHumanDiag,bbmri-eric:ID:DE_Bonn_ViroHumanDiag,,BBMRI id
CBBMR,bbmri-eric:ID:DE_CBBMR,,BBMRI id
COSYCONET,bbmri-eric:ID:DE_COSYCONET,,BBMRI id
CeBE,bbmri-eric:ID:DE_CeBE,,BBMRI id
CoBi,bbmri-eric:ID:DE_CoBi,,BBMRI id
DZHK Heart Bank,bbmri-eric:ID:DE_DZHK,,BBMRI id
DZIF Tx-Cohort e.V.,bbmri-eric:ID:DE_DZIFTX,,BBMRI id
EHEC,bbmri-eric:ID:DE_EHEC,,BBMRI id
FREEZE-Biobank,bbmri-eric:ID:DE_FREEZE-Biobank,,BBMRI id
FWS_BNITM,bbmri-eric:ID:DE_FWS,,BBMRI id
GCKD-Biobank,bbmri-eric:ID:DE_GCKD,,BBMRI id
HUB,bbmri-eric:ID:DE_HUB,,BBMRI id
HMGU,bbmri-eric:ID:DE_Helmholtz-MuenchenBiobank,,BBMRI id
IBBJ,bbmri-eric:ID:DE_IBBJ,,BBMRI id
IBM,bbmri-eric:ID:DE_IBM,,BBMRI id
ICB-L,bbmri-eric:ID:DE_ICBL,,BBMRI id
IPA-Biobank,bbmri-eric:ID:DE_IPA,,BBMRI id
IRB,bbmri-eric:ID:DE_IRB,,BBMRI id
InfektLMU,bbmri-eric:ID:DE_InfektLMU,,BBMRI id
LMB,bbmri-eric:ID:DE_LMB,,BBMRI id
LTX,bbmri-eric:ID:DE_LTX,,BBMRI id
Med Bonn,bbmri-eric:ID:DE_MedBonn,,BBMRI id
MikroBonn,bbmri-eric:ID:DE_MikroBonn,,BBMRI id
MIKROTUM,bbmri-eric:ID:DE_MikroTUM,,BBMRI id
NAPKON,bbmri-eric:ID:DE_NAPKON,,BBMRI id
NBT,bbmri-eric:ID:DE_NBT,,BBMRI id
NRCHD,bbmri-eric:ID:DE_NRCHD,,BBMRI id
PATH,bbmri-eric:ID:DE_PATH,,BBMRI id
PEPSI,bbmri-eric:ID:DE_PEPSI,,BBMRI id
P2N-Popgen,bbmri-eric:ID:DE_Popgen,,BBMRI id
RWTH cBMB,bbmri-eric:ID:DE_RWTHCBMB,,BBMRI id
TxChirTUM,bbmri-eric:ID:DE_TxChirTUM,,BBMRI id
UGMLC GI Biobank,bbmri-eric:ID:DE_UGMLC-Giessen,,BBMRI id
Central Biobank UMG,bbmri-eric:ID:DE_UMGB,,BBMRI id
UTZBD,bbmri-eric:ID:DE_UTZBD,,BBMRI id
VirTUM,bbmri-eric:ID:DE_VirTUM,,BBMRI id
WBE,bbmri-eric:ID:DE_WBE,,BBMRI id
ZBBMFM,bbmri-eric:ID:DE_ZBBMFM,,BBMRI id
ZBR,bbmri-eric:ID:DE_ZBR,,BBMRI id
ZeBanC,bbmri-eric:ID:DE_ZeBanC,,BBMRI id
cBMB-CCCT,bbmri-eric:ID:DE_cBMB-CCCT,,BBMRI id
iBDF,bbmri-eric:ID:DE_iBDF,,BBMRI id
ibdw,bbmri-eric:ID:DE_ibdw,,BBMRI id
MTBIO,bbmri-eric:ID:DE_mtbio,,BBMRI id
Research biobank,bbmri-eric:ID:EE_CCRMB,,BBMRI id
Estonian Biocentre,bbmri-eric:ID:EE_EBC,,BBMRI id
EGCUT,bbmri-eric:ID:EE_EGCUT,,BBMRI id
East-Tallinn Central Hospital,bbmri-eric:ID:EE_ETCH,,BBMRI id
The North Estonia Medical Centre,bbmri-eric:ID:EE_NEMC,,BBMRI id
National Institute for Health Development,bbmri-eric:ID:EE_NIHD,,BBMRI id
"University of Tartu, Department of Pediatrics",bbmri-eric:ID:EE_UTDP,,BBMRI id
BV,bbmri-eric:ID:ES_BV,,BBMRI id
HGUVBB,bbmri-eric:ID:ES_HGUVBB,,BBMRI id
IGTP-HUGTP Biobanc,bbmri-eric:ID:ES_IGTP-HUGTP,,BBMRI id
IVO,bbmri-eric:ID:ES_ivo,,BBMRI id
CC BBMRI-ERIC,bbmri-eric:ID:EU_BBMRI-ERIC,,BBMRI id
MRC-UCL,bbmri-eric:ID:EXT_168144,,BBMRI id
MTCC,bbmri-eric:ID:EXT_168284,,BBMRI id
DNA biobank of the Department of Molecular Genetics and Diagnostics,bbmri-eric:ID:EXT_168416,,BBMRI id
NLGIP,bbmri-eric:ID:EXT_168562,,BBMRI id
NMTB UL,bbmri-eric:ID:EXT_168694,,BBMRI id
Hacettepe DNA/Cell Bank for Rare Diseases,bbmri-eric:ID:EXT_173780,,BBMRI id
BioNER,bbmri-eric:ID:EXT_44001,,BBMRI id
CBK,bbmri-eric:ID:EXT_76823,,BBMRI id
ACU Biobank,bbmri-eric:ID:EXT_ACU,,BBMRI id
Audubon,bbmri-eric:ID:EXT_Audubon,,BBMRI id
BB-iMM,bbmri-eric:ID:EXT_BB-iMM,,BBMRI id
BCCHB,bbmri-eric:ID:EXT_BCCHB,,BBMRI id
Biobanx,bbmri-eric:ID:EXT_Biobanx,,BBMRI id
CHWTB,bbmri-eric:ID:EXT_CHWTB,,BBMRI id
DwarnaBio,bbmri-eric:ID:EXT_DwarnaBio,,BBMRI id
Newcastle MRC Centre Biobank for Rare and Neuromuscular Diseases,bbmri-eric:ID:EXT_GBR-1-198,,BBMRI id
IBG,bbmri-eric:ID:EXT_IBG,,BBMRI id
"Biobank, Institute for Regenerative Medicine, Sechenov First Moscow State Medical University (Sechenov University)",bbmri-eric:ID:EXT_NASBIO,,BBMRI id
NCB,bbmri-eric:ID:EXT_NCB,,BBMRI id
NHBR,bbmri-eric:ID:EXT_NHBR,,BBMRI id
PCRC Biobank,bbmri-eric:ID:EXT_PCRC,,BBMRI id
POB,bbmri-eric:ID:EXT_POB,,BBMRI id
QBB,bbmri-eric:ID:EXT_QBB,,BBMRI id
SCBBC,bbmri-eric:ID:EXT_SCBBC,,BBMRI id
Tissue Solutions,bbmri-eric:ID:EXT_TissueSolutions,,BBMRI id
UHN COVID-19 Biobank,bbmri-eric:ID:EXT_UHN,,BBMRI id
UNB,bbmri-eric:ID:EXT_UNB,,BBMRI id
USZ Biobank,bbmri-eric:ID:EXT_USZ,,BBMRI id
VTB,bbmri-eric:ID:EXT_VTB,,BBMRI id
iSpec,bbmri-eric:ID:EXT_iSpec,,BBMRI id
Auria,bbmri-eric:ID:FI_001,,BBMRI id
THLBB,bbmri-eric:ID:FI_002,,BBMRI id
FHRB,bbmri-eric:ID:FI_003,,BBMRI id
Helsinki Biobank,bbmri-eric:ID:FI_005,,BBMRI id
BOR,bbmri-eric:ID:FI_006,,BBMRI id
FCBT,bbmri-eric:ID:FI_007,,BBMRI id
BBEF,bbmri-eric:ID:FI_008,,BBMRI id
CFB,bbmri-eric:ID:FI_009,,BBMRI id
BSB,bbmri-eric:ID:FI_010,,BBMRI id
ArcticBB,bbmri-eric:ID:FI_012,,BBMRI id
FINBB,bbmri-eric:ID:FI_NN,,BBMRI id
BACG,bbmri-eric:ID:FR_BB-0033-00010,,BBMRI id
Neuro-CEB,bbmri-eric:ID:FR_BB-0033-00011,,BBMRI id
Myobank-AFM,bbmri-eric:ID:FR_BB-0033-00012,,BBMRI id
GIS-CRB,bbmri-eric:ID:FR_BB-0033-00013,,BBMRI id
Biobanque CHU de Toulouse,bbmri-eric:ID:FR_BB-0033-00014,,BBMRI id
Tumorotheque CLCC Paul Strauss,bbmri-eric:ID:FR_BB-0033-00015,,BBMRI id
CRB-BioJel,bbmri-eric:ID:FR_BB-0033-00016,,BBMRI id
Biobanque de Picardie - Salouel,bbmri-eric:ID:FR_BB-0033-00017,,BBMRI id
CRB/CIC-P,bbmri-eric:ID:FR_BB-0033-00018,,BBMRI id
REFGENSEP,bbmri-eric:ID:FR_BB-0033-00019,,BBMRI id
CRB-Bichat Claude Bernard,bbmri-eric:ID:FR_BB-0033-00020,,BBMRI id
PRB Creteil,bbmri-eric:ID:FR_BB-0033-00021,,BBMRI id
CRB SAT APHP.SU,bbmri-eric:ID:FR_BB-0033-00022,,BBMRI id
CRB-Pathologie-Cochin,bbmri-eric:ID:FR_BB-0033-00023,,BBMRI id
TRFC,bbmri-eric:ID:FR_BB-0033-00024,,BBMRI id
Biobank06,bbmri-eric:ID:FR_BB-0033-00025,,BBMRI id
CRB-NSPN,bbmri-eric:ID:FR_BB-0033-00026,,BBMRI id
CRB Foie (Jean Verdier),bbmri-eric:ID:FR_BB-0033-00027,,BBMRI id
EREN,bbmri-eric:ID:FR_BB-0033-00028,,BBMRI id
Biobanque Cardiovasculaire - Hopital Bichat,bbmri-eric:ID:FR_BB-0033-00029,,BBMRI id
CIC-CRB Lille,bbmri-eric:ID:FR_BB-0033-00030,,BBMRI id
CCBH-M,bbmri-eric:ID:FR_BB-0033-00031,,BBMRI id
Centre de Ressources Biologiques du CHU de Nimes,bbmri-eric:ID:FR_BB-0033-00032,,BBMRI id
Cerebrotheque Toulouse,bbmri-eric:ID:FR_BB-0033-00033,,BBMRI id
Neurosenscol,bbmri-eric:ID:FR_BB-0033-00034,,BBMRI id
CRB-CBMP,bbmri-eric:ID:FR_BB-0033-00035,,BBMRI id
CRB-Cancer CHU de Bordeaux,bbmri-eric:ID:FR_BB-0033-00036,,BBMRI id
CRB-Sante-Brest,bbmri-eric:ID:FR_BB-0033-00037,,BBMRI id
BBI,bbmri-eric:ID:IT_1384167838447460,,BBMRI id
CRB CHU d'Angers,bbmri-eric:ID:FR_BB-0033-00038,,BBMRI id
CRB-Clermont-Ferrand,bbmri-eric:ID:FR_BB-0033-00039,,BBMRI id
CRB Nantes,bbmri-eric:ID:FR_BB-0033-00040,,BBMRI id
CRB-42-TTK,bbmri-eric:ID:FR_BB-0033-00041,,BBMRI id
Banque d'ADN et de Cellules de l'ICM,bbmri-eric:ID:FR_BB-0033-00042,,BBMRI id
EGEA Collection,bbmri-eric:ID:FR_BB-0033-00043,,BBMRI id
CRB Ferdinand Cabanne - Dijon,bbmri-eric:ID:FR_BB-0033-00044,,BBMRI id
CRB-CHP,bbmri-eric:ID:FR_BB-0033-00045,,BBMRI id
CRB - HCL,bbmri-eric:ID:FR_BB-0033-00046,,BBMRI id
NeuroBioTec,bbmri-eric:ID:FR_BB-0033-00046-1,,BBMRI id
CBC Biotec,bbmri-eric:ID:FR_BB-0033-00046-2,,BBMRI id
Immunobiotec,bbmri-eric:ID:FR_BB-0033-00046-3,,BBMRI id
Tumorotheque,bbmri-eric:ID:FR_BB-0033-00046-4,,BBMRI id
Cytatheque onco-hematologique,bbmri-eric:ID:FR_BB-0033-00046-5,,BBMRI id
Virobiotec,bbmri-eric:ID:FR_BB-0033-00046-6,,BBMRI id
Cardiobiotec,bbmri-eric:ID:FR_BB-0033-00046-7,,BBMRI id
CRB-ICR,bbmri-eric:ID:FR_BB-0033-00047,,BBMRI id
CRB Institut Curie,bbmri-eric:ID:FR_BB-0033-00048,,BBMRI id
CRBIP,bbmri-eric:ID:FR_BB-0033-00049,,BBMRI id
CRB-CLB,bbmri-eric:ID:FR_BB-0033-00050,,BBMRI id
CRB IGE-PCV,bbmri-eric:ID:FR_BB-0033-00051,,BBMRI id
CRB-Leish,bbmri-eric:ID:FR_BB-0033-00052,,BBMRI id
CRB Measles,bbmri-eric:ID:FR_BB-0033-00053,,BBMRI id
EML-BRC,bbmri-eric:ID:FR_BB-0033-00054,,BBMRI id
EPIGENETEC,bbmri-eric:ID:FR_BB-0033-00055,,BBMRI id
CRB Sante - Rennes,bbmri-eric:ID:FR_BB-0033-00056,,BBMRI id
CRB-TOXO,bbmri-eric:ID:FR_BB-0033-00057,,BBMRI id
CRB HUPC APHP-Paris,bbmri-eric:ID:FR_BB-0033-00058,,BBMRI id
CRB-ICM,bbmri-eric:ID:FR_BB-0033-00059,,BBMRI id
Cytotheque hemopathies malignes - HIMIP - Toulouse,bbmri-eric:ID:FR_BB-0033-00060,,BBMRI id
@inserm.fr,bbmri-eric:ID:FR_BB-0033-00061,,BBMRI id
ICAReB,bbmri-eric:ID:FR_BB-0033-00062,,BBMRI id
PRB - HEGP,bbmri-eric:ID:FR_BB-0033-00063,,BBMRI id
CRB-LRB,bbmri-eric:ID:FR_BB-0033-00064,,BBMRI id
PRB Necker - Paris,bbmri-eric:ID:FR_BB-0033-00065,,BBMRI id
TCBN,bbmri-eric:ID:FR_BB-0033-00066,,BBMRI id
Tumorotheque Hopital Saint-Louis,bbmri-eric:ID:FR_BB-0033-00067,,BBMRI id
Biotheque CIC0802,bbmri-eric:ID:FR_BB-0033-00068,,BBMRI id
CRB cancerologie du CHU Grenoble,bbmri-eric:ID:FR_BB-0033-00069,,BBMRI id
CRB-IB,bbmri-eric:ID:FR_BB-0033-00070,,BBMRI id
LAG-CRB,bbmri-eric:ID:FR_BB-0033-00071,,BBMRI id
CelluloNet,bbmri-eric:ID:FR_BB-0033-00072,,BBMRI id
GOELAMStheque,bbmri-eric:ID:FR_BB-0033-00073,,BBMRI id
CRB IGR,bbmri-eric:ID:FR_BB-0033-00074,,BBMRI id
CRB-CJP,bbmri-eric:ID:FR_BB-0033-00075,,BBMRI id
Biobanque d'ADN Hopital Debre,bbmri-eric:ID:FR_BB-0033-00076,,BBMRI id
Hematobiobanque,bbmri-eric:ID:FR_BB-0033-00077,,BBMRI id
Biobanque Hopital Beaujon,bbmri-eric:ID:FR_BB-0033-00078,,BBMRI id
EVA (European Virus Archive),bbmri-eric:ID:FR_BB-0033-00079,,BBMRI id
INRA - CIRM,bbmri-eric:ID:FR_BB-0033-00080,,BBMRI id
CECOS Germetheque,bbmri-eric:ID:FR_BB-0033-00081,,BBMRI id
APHP - Neuropathologie du developpement,bbmri-eric:ID:FR_BB-0033-00082,,BBMRI id
ANSES,bbmri-eric:ID:FR_BB-0033-00083,,BBMRI id
BIOMAX,bbmri-eric:ID:FR_BB-0033-00084,,BBMRI id
Reseau CRB Foie,bbmri-eric:ID:FR_BB-0033-00085,,BBMRI id
Biotheque virtuelle Nationale des Cancers pediatriques,bbmri-eric:ID:FR_BB-0033-00086,,BBMRI id
Cell&Co,bbmri-eric:ID:FR_BB-0033-00087,,BBMRI id
Tumorotheque IRCNA-NANTES,bbmri-eric:ID:FR_BB-0033-00088,,BBMRI id
CRB PARIS SUD,bbmri-eric:ID:FR_BB-0033-00089,,BBMRI id
CRB - Filiere Microbiologie,bbmri-eric:ID:FR_BB-0033-00090,,BBMRI id
CEPH Biobank,bbmri-eric:ID:FR_BB-0033-00091,,BBMRI id
CRB-O CRCM,bbmri-eric:ID:FR_BB-0033-00092,,BBMRI id
Base Clinico-Biologique Glioblastomes,bbmri-eric:ID:FR_BB-0033-00093,,BBMRI id
BBS,bbmri-eric:ID:FR_BB-0033-00094,,BBMRI id
DERMOBIOTEC,bbmri-eric:ID:FR_BB-0033-00095,,BBMRI id
CRB Marie Lannelongue,bbmri-eric:ID:FR_BB-0033-00096,,BBMRI id
CRB TBM- Tumorothéque et Banque de Muscles,bbmri-eric:ID:FR_BB-0033-00097,,BBMRI id
HBOOCA,bbmri-eric:ID:GR_HBOOCA,,BBMRI id
HBPD,bbmri-eric:ID:GR_HBPD,,BBMRI id
clINABdb,bbmri-eric:ID:GR_clINABdb,,BBMRI id
SCH,bbmri-eric:ID:HU_SCH,,BBMRI id
SUB,bbmri-eric:ID:HU_SUB,,BBMRI id
UPB,bbmri-eric:ID:HU_UPB,,BBMRI id
IBB,bbmri-eric:ID:IARC_IARC_Biobank,,BBMRI id
TTB,bbmri-eric:ID:IT_1382433386427702,,BBMRI id
NBC,bbmri-eric:ID:IT_1382539370263740,,BBMRI id
BVR,bbmri-eric:ID:IT_1382601095921860,,BBMRI id
CRB-HSM,bbmri-eric:ID:IT_1382686156197551,,BBMRI id
BBOP,bbmri-eric:ID:IT_1382783556249610,,BBMRI id
IGG-GB,bbmri-eric:ID:IT_1382965524316631,,BBMRI id
NMTB,bbmri-eric:ID:IT_1383047508168267,,BBMRI id
daVEB,bbmri-eric:ID:IT_1383130755736614,,BBMRI id
BiobankNMD-Milan,bbmri-eric:ID:IT_1383230735994332,,BBMRI id
GMD-MDbank,bbmri-eric:ID:IT_1383569594559774,,BBMRI id
CRB-OSR,bbmri-eric:ID:IT_1383758011993577,,BBMRI id
BBINT,bbmri-eric:ID:IT_1383824434985378,,BBMRI id
NEUMD-Besta,bbmri-eric:ID:IT_1383929642991480,,BBMRI id
INMI-Biobank,bbmri-eric:ID:IT_1384262955037988,,BBMRI id
BIOBANCA LRPO-ISPRO,bbmri-eric:ID:IT_1384353239378890,,BBMRI id
CRB IOR,bbmri-eric:ID:IT_1384375808568138,,BBMRI id
BioBank FBF,bbmri-eric:ID:IT_138442378660827,,BBMRI id
BBB,bbmri-eric:ID:IT_1384423915353703,,BBMRI id
SATURNE,bbmri-eric:ID:IT_138486608417577,,BBMRI id
Biobanca Bruno Boerci,bbmri-eric:ID:IT_1384936945873731,,BBMRI id
B4MED,bbmri-eric:ID:IT_1385115527136660,,BBMRI id
IRCCS-CROB BBB,bbmri-eric:ID:IT_1385131091942888,,BBMRI id
BIT-Gaslini,bbmri-eric:ID:IT_1385476091814807,,BBMRI id
CHRIS,bbmri-eric:ID:IT_1385547708942390,,BBMRI id
SienaGeneticBiobank,bbmri-eric:ID:IT_1385652938842205,,BBMRI id
ARC-Net,bbmri-eric:ID:IT_1388827429929901,,BBMRI id
BBI Bari,bbmri-eric:ID:IT_1391522619390209,,BBMRI id
BB-LTTA,bbmri-eric:ID:IT_1407499906472780,,BBMRI id
BB-SDN,bbmri-eric:ID:IT_1463060660514422,,BBMRI id
BBIRE,bbmri-eric:ID:IT_1504858990324590,,BBMRI id
CCPP Biobank,bbmri-eric:ID:IT_1539178454884969,,BBMRI id
CRB-IGB,bbmri-eric:ID:IT_1539241927435687,,BBMRI id
NVvR,bbmri-eric:ID:NL_NVvR,,BBMRI id
BB-OPBG,bbmri-eric:ID:IT_1547222650173780,,BBMRI id
BB-CRESM,bbmri-eric:ID:IT_1557158178220168,,BBMRI id
Biobanca-FPG,bbmri-eric:ID:IT_1590093451396856,,BBMRI id
BIOGEM-SARS-COV-2,bbmri-eric:ID:IT_1590149134681599,,BBMRI id
ISENET,bbmri-eric:ID:IT_1590354344812714,,BBMRI id
BioGer,bbmri-eric:ID:IT_1590402399690607,,BBMRI id
GEFACOVID2.0,bbmri-eric:ID:IT_1590564317582177,,BBMRI id
BCU-IB,bbmri-eric:ID:IT_1590564892796666,,BBMRI id
BioCor,bbmri-eric:ID:IT_1590672328377759,,BBMRI id
C19PTP,bbmri-eric:ID:IT_1590747237803484,,BBMRI id
ASST-PG23,bbmri-eric:ID:IT_1590747895356557,,BBMRI id
FdG,bbmri-eric:ID:IT_1591609863909539,,BBMRI id
VirMol-Covid-19,bbmri-eric:ID:IT_1592055116108315,,BBMRI id
BMS,bbmri-eric:ID:IT_1604913322414751,,BBMRI id
TROPICA_Negrar,bbmri-eric:ID:IT_1605519998080235,,BBMRI id
ALESSANDRIA BIOBANK,bbmri-eric:ID:IT_160862990617292,,BBMRI id
BioRiRE,bbmri-eric:ID:IT_1610556003408133,,BBMRI id
ISENET BBKG,bbmri-eric:ID:IT_161193869607896,,BBMRI id
UPO Biobank,bbmri-eric:ID:IT_1611942116226242,,BBMRI id
CRB IRST,bbmri-eric:ID:IT_1611958555932851,,BBMRI id
UNIBO COVID-19 PREDI-CO,bbmri-eric:ID:IT_1617288158446137,,BBMRI id
BioBIM,bbmri-eric:ID:IT_89cf68fdf2a4497,,BBMRI id
BBio,bbmri-eric:ID:IT_db0099765af24c3,,BBMRI id
NCI Biobank,bbmri-eric:ID:LT_NCI_Biobank,,BBMRI id
VSK Biobank,bbmri-eric:ID:LT_VSK_Biobank,,BBMRI id
LGDB,bbmri-eric:ID:LV_LGDB,,BBMRI id
LUKPMI,bbmri-eric:ID:LV_LUKPMI,,BBMRI id
LL,bbmri-eric:ID:NL_1,,BBMRI id
TransplantLines Genetics,bbmri-eric:ID:NL_4,,BBMRI id
Databiobank OncoLifeS,bbmri-eric:ID:NL_50,,BBMRI id
BioBank Maastricht UMC,bbmri-eric:ID:NL_AAAACVKPKFJ4CZSUAVNCZ2AAAE,,BBMRI id
DC,bbmri-eric:ID:NL_AAAACVOEPHI3IZSUAVNCZ2AAAE,,BBMRI id
RB,bbmri-eric:ID:NL_RB,,BBMRI id
WUR,bbmri-eric:ID:NL_AAAACW5ELBQ4WZSUAVNCZ2AAAE,,BBMRI id
Erasmus MC Central Biobank,bbmri-eric:ID:NL_AAAACW5FCXM3MZSUAVNCZ2AAAE,,BBMRI id
MeninGene Biobank,bbmri-eric:ID:NL_AAAACW7MF7WRMACQK2MD37AAAE,,BBMRI id
Netherlands Brain Bank,bbmri-eric:ID:NL_AAAACXAVZYY2YACQK2MD37AAAE,,BBMRI id
LUMC Biobank,bbmri-eric:ID:NL_AAAACXJQEK6I4ACQK2ME25QAAE,,BBMRI id
GGD Amsterdam,bbmri-eric:ID:NL_AAAACXO74F5GMACQK2ME25QAAE,,BBMRI id
TRAILS biobank,bbmri-eric:ID:NL_AAAACXO74P6CWACQK2ME25QAAE,,BBMRI id
AMC Renal Transplant Biobank,bbmri-eric:ID:NL_AAAACXPAF5YXYACQK2ME25QAAM,,BBMRI id
NUBIN Biobank,bbmri-eric:ID:NL_AAAACXPAJZC52ACQK2ME25QAAE,,BBMRI id
HEFAS Study Biobank,bbmri-eric:ID:NL_AAAACXPAPKLICACQK2ME25QAAE,,BBMRI id
Cluster Biobank,bbmri-eric:ID:NL_AAAACXPAPP4NIACQK2ME25QAAE,,BBMRI id
CBCH,bbmri-eric:ID:NL_AAAACXPASAS2AACQK2ME25QAAE,,BBMRI id
CuraSAB Biobank,bbmri-eric:ID:NL_AAAACXPASYLVKACQK2ME25QAAE,,BBMRI id
GARP Biobank,bbmri-eric:ID:NL_AAAACXPATMOWYACQK2ME25QAAM,,BBMRI id
EAC cohort,bbmri-eric:ID:NL_AAAACXPAUCGZWACQK2ME25QAAE,,BBMRI id
NESDA Biobank,bbmri-eric:ID:NL_AAAACXPAVYJOOACQK2ME25QAAE,,BBMRI id
KNOOPGenetic and Asthma together,bbmri-eric:ID:NL_AAAACXPAWIJHOACQK2ME25QAAE,,BBMRI id
Erasmus MC Tissue Biobank,bbmri-eric:ID:NL_AAAACXPF2POVSACQK2ME25QAAI,,BBMRI id
NL Perinatal Screening Biobank,bbmri-eric:ID:NL_AAAACXPF3FZEAACQK2ME25QAAM,,BBMRI id
TEAM Biobank,bbmri-eric:ID:NL_AAAACXPF3ZSUWACQK2ME25QAAM,,BBMRI id
RAAK Biobank,bbmri-eric:ID:NL_AAAACXPF4GVAEACQK2ME25QAAE,,BBMRI id
New Hoorn Study Biobank,bbmri-eric:ID:NL_AAAACXPF4VZU4ACQK2ME25QAAM,,BBMRI id
BRAD,bbmri-eric:ID:NL_AAAACXPF7SEQEACQK2ME25QAAE,,BBMRI id
RECOGIDAS MUESTRAS Biobank,bbmri-eric:ID:NL_AAAACXPFMQJ7WACQK2ME25QAAM,,BBMRI id
