resource,variable.resource,variable.dataset,variable.name,mg_draft
LongITools,LifeCycle,core,edu_f2_fath,
LongITools,LifeCycle,core,egg_pgn,
LongITools,LifeCycle,core,egg_psc,
LongITools,LifeCycle,core,egg_sch,
LongITools,LifeCycle,core,eusilc_income,
LongITools,LifeCycle,core,eusilc_income_quintiles,
LongITools,LifeCycle,outcome,ext_age_,
LongITools,LifeCycle,outcome,ext_avg_,
LongITools,LifeCycle,outcome,ext_eval_,
LongITools,LifeCycle,outcome,ext_instr_,
LongITools,LifeCycle,outcome,ext_pc_,
LongITools,LifeCycle,outcome,ext_pro_,
LongITools,LifeCycle,outcome,ext_raw_,
LongITools,LifeCycle,outcome,f_dbp_,
LongITools,LifeCycle,outcome,f_sbp_,
LongITools,LifeCycle,core,fam_splitup,
LongITools,LifeCycle,core,famdinner_psc,
LongITools,LifeCycle,core,famdinner_sch,
LongITools,LifeCycle,core,famsize_adult,
LongITools,LifeCycle,core,famsize_child,
LongITools,LifeCycle,core,fastfood_psc,
LongITools,LifeCycle,core,fastfood_sch,
LongITools,LifeCycle,core,fdensity300_,
LongITools,LifeCycle,core,fdensity300_preg,
LongITools,LifeCycle,core,fdensity300_t,
LongITools,LifeCycle,outcome,FEF25_abs_,
LongITools,LifeCycle,outcome,FEF50_abs_,
LongITools,LifeCycle,outcome,FEF75_abs_,
LongITools,LifeCycle,outcome,FEF75_z_,
LongITools,LifeCycle,outcome,FeNO_,
LongITools,LifeCycle,outcome,FEV1_abs_,
LongITools,LifeCycle,outcome,FEV1_z_,
LongITools,LifeCycle,outcome,FEV1FVC_z_,
LongITools,LifeCycle,core,ffish_pgn,
LongITools,LifeCycle,core,ffish_psc,
LongITools,LifeCycle,core,ffish_sch,
LongITools,LifeCycle,core,fish_pgn,
LongITools,LifeCycle,core,fish_psc,
LongITools,LifeCycle,core,fish_sch,
LongITools,LifeCycle,outcome,fm_age_,
LongITools,LifeCycle,outcome,fm_avg_,
LongITools,LifeCycle,outcome,fm_eval_,
LongITools,LifeCycle,outcome,fm_instr_,
LongITools,LifeCycle,outcome,fm_pc_,
LongITools,LifeCycle,outcome,fm_pro_,
LongITools,LifeCycle,outcome,fm_raw_,
LongITools,LifeCycle,outcome,fm_std_,
LongITools,LifeCycle,core,folic_post,
LongITools,LifeCycle,core,folic_preg,
LongITools,LifeCycle,core,folic_prepreg,
LongITools,LifeCycle,outcome,food_all_,
LongITools,LifeCycle,outcome,food_all_ever,
LongITools,LifeCycle,core,food_all_sens_IgE_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_COWMILK_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_EGG_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_FISH_cod_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_FISH_mix_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_FRUIT_kiw_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_FRUIT_pea_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_NUT_cas_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_NUT_haz_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_NUT_mix_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_NUT_wal_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_PNT_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_SES_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_SHELL_mix_,
LongITools,LifeCycle,outcome,food_all_sens_SPT_WHEAT_,
LongITools,LifeCycle,core,foodenvdens300_,
LongITools,LifeCycle,core,foodenvdens300_preg,
LongITools,LifeCycle,core,foodenvdens300_t,
LongITools,LifeCycle,core,foodenvdensosm300_,
LongITools,LifeCycle,core,foodenvdensosm300_preg,
LongITools,LifeCycle,core,foodenvdensosm300_t,
LongITools,LifeCycle,core,frichness300_,
LongITools,LifeCycle,core,frichness300_preg,
LongITools,LifeCycle,core,frichness300_t,
LongITools,LifeCycle,core,fruit_pgn,
LongITools,LifeCycle,core,fruit_psc,
LongITools,LifeCycle,core,fruit_sch,
LongITools,LifeCycle,outcome,FVC_abs_,
LongITools,LifeCycle,outcome,FVC_z_,
LongITools,LifeCycle,core,GA_anx_t,
LongITools,LifeCycle,outcome,glucoseage_,
LongITools,LifeCycle,outcome,glucosemes_,
LongITools,LifeCycle,outcome,gm_age_,
LongITools,LifeCycle,outcome,gm_avg_,
LongITools,LifeCycle,outcome,gm_eval_,
LongITools,LifeCycle,outcome,gm_instr_,
LongITools,LifeCycle,outcome,gm_pc_,
LongITools,LifeCycle,outcome,gm_pro_,
LongITools,LifeCycle,outcome,gm_raw_,
LongITools,LifeCycle,outcome,gm_std_,
LongITools,LifeCycle,core,grain_pgn,
LongITools,LifeCycle,core,grain_psc,
LongITools,LifeCycle,core,grain_sch,
LongITools,LifeCycle,core,green_dist_,
LongITools,LifeCycle,core,green_dist_preg,
LongITools,LifeCycle,core,green_dist_t,
LongITools,LifeCycle,core,green_size_,
LongITools,LifeCycle,core,green_size_preg,
LongITools,LifeCycle,core,green_size_t,
LongITools,LifeCycle,core,greenyn300_,
LongITools,LifeCycle,core,greenyn300_preg,
LongITools,LifeCycle,core,greenyn300_t,
LongITools,LifeCycle,outcome,haem_,
LongITools,LifeCycle,outcome,haem_cord,
LongITools,LifeCycle,outcome,haemage_,
LongITools,LifeCycle,outcome,haemmes_,
LongITools,LifeCycle,outcome,hba1cage_,
LongITools,LifeCycle,outcome,hba1cmes_,
LongITools,LifeCycle,outcome,hdlcage_,
LongITools,LifeCycle,outcome,hdlcmes_,
LongITools,LifeCycle,core,hdres_,
LongITools,LifeCycle,core,hdres_preg,
LongITools,LifeCycle,core,hdres_t,
LongITools,LifeCycle,outcome,headcirc_,
LongITools,LifeCycle,outcome,headcircage_,
LongITools,LifeCycle,outcome,headcircmes_,
LongITools,LifeCycle,core,height_age,
LongITools,LifeCycle,core,height_mes_f,
LongITools,LifeCycle,core,height_mes_m,
LongITools,LifeCycle,outcome,heightmes_,
LongITools,LifeCycle,outcome,hipcircage_,
LongITools,LifeCycle,outcome,hipcircmes_,
LongITools,LifeCycle,core,hmax_,
LongITools,LifeCycle,core,hmax_preg,
LongITools,LifeCycle,core,hmax_t,
LongITools,LifeCycle,core,hmin_,
LongITools,LifeCycle,core,hmin_preg,
LongITools,LifeCycle,core,hmin_t,
LongITools,LifeCycle,core,hum_,
LongITools,LifeCycle,core,hum_preg,
LongITools,LifeCycle,core,hum_t,
LongITools,LifeCycle,outcome,il6age_,
LongITools,LifeCycle,outcome,il6mes_,
LongITools,LifeCycle,core,indtr_,
LongITools,LifeCycle,core,indtr_preg,
LongITools,LifeCycle,core,indtr_t,
LongITools,LifeCycle,outcome,inh_all_,
LongITools,LifeCycle,outcome,inh_all_ever,
LongITools,LifeCycle,core,inh_all_sens_IgE_,
LongITools,LifeCycle,outcome,inh_all_sens_IgE_CAT_,
LongITools,LifeCycle,outcome,inh_all_sens_IgE_HDM_,
LongITools,LifeCycle,outcome,inh_all_sens_IgE_MOULD_,
LongITools,LifeCycle,outcome,inh_all_sens_IgE_RYE_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_CAT_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_DOG_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_GRASS_mix_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_GRASS_tim_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_HDM_derf_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_HDM_derp_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_HDM_mix_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_TREE_birch_,
LongITools,LifeCycle,outcome,inh_all_sens_SPT_TREE_mix_,
LongITools,LifeCycle,outcome,insulinage_,
LongITools,LifeCycle,outcome,insulinmes_,
LongITools,LifeCycle,outcome,int_age_,
LongITools,LifeCycle,outcome,int_avg_,
LongITools,LifeCycle,outcome,int_eval_,
LongITools,LifeCycle,outcome,int_instr_,
LongITools,LifeCycle,outcome,int_pc_,
LongITools,LifeCycle,outcome,int_pro_,
LongITools,LifeCycle,outcome,int_raw_,
LongITools,LifeCycle,core,ivf,
LongITools,LifeCycle,core,kcal_pgn,
LongITools,LifeCycle,core,kcal_psc,
LongITools,LifeCycle,core,kcal_sch,
LongITools,LifeCycle,outcome,lan_age_,
LongITools,LifeCycle,outcome,lan_avg_,
LongITools,LifeCycle,outcome,lan_eval_,
LongITools,LifeCycle,outcome,lan_instr_,
LongITools,LifeCycle,outcome,lan_pc_,
LongITools,LifeCycle,outcome,lan_pro_,
LongITools,LifeCycle,outcome,lan_raw_,
LongITools,LifeCycle,outcome,lan_std_,
LongITools,LifeCycle,core,landuseshan300_,
LongITools,LifeCycle,core,landuseshan300_preg,
LongITools,LifeCycle,core,landuseshan300_t,
LongITools,LifeCycle,core,latepreg_weight_mes,
LongITools,LifeCycle,core,lden_,
LongITools,LifeCycle,core,lden_c_,
LongITools,LifeCycle,core,lden_c_preg,
LongITools,LifeCycle,core,lden_c_t,
LongITools,LifeCycle,core,lden_preg,
LongITools,LifeCycle,core,lden_t,
LongITools,LifeCycle,outcome,ldlcage_,
LongITools,LifeCycle,outcome,ldlcmes_,
LongITools,LifeCycle,core,ldres_,
LongITools,LifeCycle,core,ldres_preg,
LongITools,LifeCycle,core,ldres_t,
LongITools,LifeCycle,outcome,leptin_,
LongITools,LifeCycle,outcome,leptin_cord,
LongITools,LifeCycle,outcome,leptinage_,
LongITools,LifeCycle,outcome,leptinmes_,
LongITools,LifeCycle,core,lfdairy_pgn,
LongITools,LifeCycle,core,lfdairy_psc,
LongITools,LifeCycle,core,lfdairy_sch,
LongITools,LifeCycle,core,ln_,
LongITools,LifeCycle,core,ln_c_,
LongITools,LifeCycle,core,ln_c_preg,
LongITools,LifeCycle,core,ln_c_t,
LongITools,LifeCycle,core,ln_preg,
LongITools,LifeCycle,core,ln_t,
LongITools,LifeCycle,outcome,LRTI_,
LongITools,LifeCycle,core,lst_,
LongITools,LifeCycle,core,lst_preg,
LongITools,LifeCycle,core,lst_t,
LongITools,LifeCycle,outcome,m_chol_,
LongITools,LifeCycle,outcome,m_crp_,
LongITools,LifeCycle,outcome,m_dbp_,
LongITools,LifeCycle,outcome,m_glucose_,
LongITools,LifeCycle,outcome,m_haem_,
LongITools,LifeCycle,outcome,m_hba1c_,
LongITools,LifeCycle,outcome,m_hdlc_,
LongITools,LifeCycle,outcome,m_insulin_,
LongITools,LifeCycle,outcome,m_ldlc_,
LongITools,LifeCycle,outcome,m_sbp_,
LongITools,LifeCycle,outcome,m_triglycerides_,
LongITools,LifeCycle,core,mainmeal_psc,
LongITools,LifeCycle,core,mainmeal_sch,
LongITools,LifeCycle,core,major_con_anomalies,
LongITools,LifeCycle,core,mar,
LongITools,LifeCycle,core,mdist_,
LongITools,LifeCycle,core,mdist_preg,
LongITools,LifeCycle,core,mdist_t,
LongITools,LifeCycle,core,meat_pgn,
LongITools,LifeCycle,core,meat_psc,
LongITools,LifeCycle,core,meat_sch,
LongITools,LifeCycle,core,mental_exp,
LongITools,LifeCycle,core,miggen_child,
LongITools,LifeCycle,core,na_pgn,
LongITools,LifeCycle,core,na_psc,
LongITools,LifeCycle,core,na_sch,
LongITools,LifeCycle,core,natgr_,
LongITools,LifeCycle,core,natgr_preg,
LongITools,LifeCycle,core,natgr_t,
LongITools,LifeCycle,core,ndvi100_,
LongITools,LifeCycle,core,ndvi100_preg,
LongITools,LifeCycle,core,ndvi100_t,
LongITools,LifeCycle,core,ndvi300_,
LongITools,LifeCycle,core,ndvi300_preg,
LongITools,LifeCycle,core,ndvi300_t,
LongITools,LifeCycle,core,ndvi500_,
LongITools,LifeCycle,core,ndvi500_preg,
LongITools,LifeCycle,core,ndvi500_t,
LongITools,LifeCycle,core,neo_unit,
LongITools,LifeCycle,core,nffish_pgn,
LongITools,LifeCycle,core,nffish_psc,
LongITools,LifeCycle,core,nffish_sch,
LongITools,LifeCycle,core,no2_,
LongITools,LifeCycle,core,no2_preg,
LongITools,LifeCycle,core,no2_t,
LongITools,LifeCycle,core,noise_dist_,
LongITools,LifeCycle,core,noise_dist_preg,
LongITools,LifeCycle,core,noise_dist_t,
LongITools,LifeCycle,core,nox_,
LongITools,LifeCycle,core,nox_preg,
LongITools,LifeCycle,core,nox_t,
LongITools,LifeCycle,outcome,nvi_age_,
LongITools,LifeCycle,outcome,nvi_avg_,
LongITools,LifeCycle,outcome,nvi_eval_,
LongITools,LifeCycle,outcome,nvi_instr_,
LongITools,LifeCycle,outcome,nvi_pc_,
LongITools,LifeCycle,outcome,nvi_pro_,
LongITools,LifeCycle,outcome,nvi_raw_,
LongITools,LifeCycle,outcome,nvi_std_,
LongITools,LifeCycle,core,occup_f2_,
LongITools,LifeCycle,core,occup_f2_fath,
LongITools,LifeCycle,core,occupcode_f1_,
LongITools,LifeCycle,core,occupcode_f1_fath,
LongITools,LifeCycle,core,occupcode_f2_,
LongITools,LifeCycle,core,occupcode_f2_fath,
LongITools,LifeCycle,core,occupcode_m_,
LongITools,LifeCycle,core,other_,
LongITools,LifeCycle,core,other_preg,
LongITools,LifeCycle,core,other_t,
LongITools,LifeCycle,core,outcome,
LongITools,LifeCycle,core,outdoorp_psc,
LongITools,LifeCycle,core,outdoorpage_psc,
LongITools,LifeCycle,core,patternA_snackscreen_psc,
LongITools,LifeCycle,core,patternB_psc,
LongITools,LifeCycle,core,perccarb_pgn,
LongITools,LifeCycle,core,perccarb_psc,
LongITools,LifeCycle,core,perccarb_sch,
LongITools,LifeCycle,core,percfat_pgn,
LongITools,LifeCycle,core,percfat_psc,
LongITools,LifeCycle,core,percfat_sch,
LongITools,LifeCycle,core,percprot_pgn,
LongITools,LifeCycle,core,percprot_psc,
LongITools,LifeCycle,core,percprot_sch,
LongITools,LifeCycle,core,pets_,
LongITools,LifeCycle,outcome,pets_preg,
LongITools,LifeCycle,core,plac_abrup,
LongITools,LifeCycle,core,plac_weight,
LongITools,LifeCycle,core,plurality,
LongITools,LifeCycle,core,pm10_,
LongITools,LifeCycle,core,pm10_preg,
LongITools,LifeCycle,core,pm10_t,
LongITools,LifeCycle,core,pm10cu_,
LongITools,LifeCycle,core,pm10cu_preg,
LongITools,LifeCycle,core,pm10cu_t,
LongITools,LifeCycle,core,pm10fe_,
LongITools,LifeCycle,core,pm10fe_preg,
LongITools,LifeCycle,core,pm10fe_t,
LongITools,LifeCycle,core,pm10k_,
LongITools,LifeCycle,core,pm10k_preg,
LongITools,LifeCycle,core,pm10k_t,
LongITools,LifeCycle,core,pm10ni_,
LongITools,LifeCycle,core,pm10ni_preg,
LongITools,LifeCycle,core,pm10ni_t,
LongITools,LifeCycle,core,pm10s_,
LongITools,LifeCycle,core,pm10s_preg,
LongITools,LifeCycle,core,pm10s_t,
LongITools,LifeCycle,core,pm10si_,
LongITools,LifeCycle,core,pm10si_preg,
LongITools,LifeCycle,core,pm10si_t,
LongITools,LifeCycle,core,pm10v_,
LongITools,LifeCycle,core,pm10v_preg,
LongITools,LifeCycle,core,pm10v_t,
LongITools,LifeCycle,core,pm10zn_,
LongITools,LifeCycle,core,pm10zn_preg,
LongITools,LifeCycle,core,pm10zn_t,
