id,pid,name,ror id,website,email,mg_draft
RECETOX,https://ror.org/032hzqh22,RECETOX,RECETOX,https://www.recetox.muni.cz,test@email.com,
TUNI,https://ror.org/033003e23,Tampere University,Tampere University,https://www.tuni.fi/en,test@email.com,
UCPH,https://ror.org/035b05819,University of Copenhagen,University of Copenhagen,https://www.ku.dk,test@email.com,
JORDIGOL,https://ror.org/0370bpp07,Institut Universitari d'Investigació en Atenció Primària Jordi Gol,Institut Universitari d'Investigació en Atenció Primària Jordi Gol,http://www.idiapjordigol.com/index.php?lang=en,test@email.com,
GGZ Friesland,https://ror.org/03c0kv729,GGZ Friesland,GGZ Friesland,https://www.ggzfriesland.nl/,test@email.com,
ISGLOBAL,https://ror.org/03hjgt059,Barcelona Institute for Global Health,Barcelona Institute for Global Health,http://www.isglobal.org/en/,test@email.com,
DHL.I,https://ror.org/03tf0c761,Finnish Institute for Health and Welfare,Finnish Institute for Health and Welfare,https://thl.fi/etusivu,test@email.com,
NKI,https://ror.org/03xqtf034,The Netherlands Cancer Institute,The Netherlands Cancer Institute,https://www.nki.nl,test@email.com,
UOULU,https://ror.org/03yj89h83,University of Oulu,University of Oulu,https://www.oulu.fi,test@email.com,
SSI,https://ror.org/0417ye583,Statens Serum Institut,Statens Serum Institut,https://www.ssi.dk,test@email.com,
FERR,https://ror.org/041zkgm14,University of Ferrara,University of Ferrara,https://www.unife.it,test@email.com,
AEMPS,https://ror.org/043fs9135,Agencia Española de Medicamentos y Productos Sanitarios,Agencia Española de Medicamentos y Productos Sanitarios,http://www.aemps.gob.es/,test@email.com,
ISPUP,https://ror.org/043pwc612,Universidade do Porto,Universidade do Porto,https://www.up.pt,test@email.com,
UWA,https://ror.org/047272k79,The University of Western Australia,The University of Western Australia,https://www.uwa.edu.au,test@email.com,
UPP,https://ror.org/048a87296,Uppsala University,Uppsala University,https://www.uu.se/en/,test@email.com,
LAREB,https://ror.org/04fp8ns78,Netherlands Pharmacovigilance Centre Lareb,Netherlands Pharmacovigilance Centre Lareb,http://www.lareb.nl/?lang=en-GB,test@email.com,
TAK,https://ror.org/04hjbmv12,Takeda (Japan),Takeda (Japan),http://www.takeda.com,test@email.com,
UHASSELT,https://ror.org/04nbhqj75,Hasselt University,Hasselt University,https://www.uhasselt.be,test@email.com,
UKZN,https://ror.org/04qzfn040,University of KwaZulu-Natal,University of KwaZulu-Natal,https://www.ukzn.ac.za,test@email.com,
VMU,https://ror.org/04y7eh037,Vytautas Magnus University,Vytautas Magnus University,https://www.vdu.lt,test@email.com,
JP,https://ror.org/04yzcpd71,Janssen (Belgium),Janssen (Belgium),https://www.janssen.com/belgium/,test@email.com,
UOB,https://ror.org/0524sp257,University of Bristol,University of Bristol,http://bristol.ac.uk/,test@email.com,
USWAN,https://ror.org/053fq8t95,Swansea University,Swansea University,https://www.swansea.ac.uk,test@email.com,
UIBK,https://ror.org/054pv6659,Universität Innsbruck,Universität Innsbruck,https://www.uibk.ac.at,test@email.com,
VHIO,https://ror.org/054xx3904,Vall d'Hebron Institute of Oncology,Vall d'Hebron Institute of Oncology,https://www.vhio.net,test@email.com,
KI,https://ror.org/056d84691,Karolinska Institutet,Karolinska Institutet,https://ki.se,test@email.com,
BRI,https://ror.org/01ck0pr88,Bradford Royal Infirmary,Bradford Royal Infirmary,https://www.bradfordhospitals.nhs.uk/our-hospitals/bradford-royal-infirmary-bri/,test@email.com,
NIPH,https://ror.org/046nvst19,Norwegian Institute of Public Health,Norwegian Institute of Public Health,http://www.fhi.no/,test@email.com,
UB,https://ror.org/057qpr032,Université de Bordeaux,Université de Bordeaux,https://www.u-bordeaux.fr,test@email.com,
ARS.TOSCANA,https://ror.org/059vkfm47,Agenzia Regionale di Sanità della Toscana,Agenzia Regionale di Sanità della Toscana,https://www.ars.toscana.it/it/,test@email.com,
LUMC,https://ror.org/05xvt9f17,Leiden University Medical Center,Leiden University Medical Center,https://www.lumc.nl,test@email.com,
ULST,https://ror.org/01yp9g959,University of Ulster,University of Ulster,https://www.ulster.ac.uk,test@email.com,
UoD,https://ror.org/03h2bxq36,University of Dundee,University of Dundee,https://www.dundee.ac.uk,test@email.com,
UM,https://ror.org/05ctdxz19,University of Messina,University of Messina,https://www.unime.it,test@email.com,
KUL,https://ror.org/05f950310,KU Leuven,KU Leuven,http://www.kuleuven.be/english,test@email.com,
AMC,https://ror.org/05grdyy37,Amsterdam University Medical Centers,Amsterdam University Medical Centers,https://www.amsterdamumc.org,test@email.com,
CYN,https://placeholder-pid/cyn.org,Cynexo,,https://test-website.org,test@email.com,
MLT.I,https://placeholder-pid/mlt-i.org,Malta Congenital Anomalies Registry Directorate for Health Information and Research,,https://test-website.org,test@email.com,
TUMC,https://placeholder-pid/tumc.org,testUMC (organisation),,https://test-umc@example.org,test@email.com,
UCL,https://ror.org/02jx3x895,University College London,University College London,http://www.ucl.ac.uk/,test@email.com,
MOLGENIS_org,https://placeholder-pid/molgenis-org.org,MOLGENIS,,https://molgenis.org/,molgenis-support@umcg.nl,
