source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments,repeat_num,repeats
NFBC1966,core,,,,LifeCycle,core,ga_lmp,complete,final,In original variable was reported in weeks and was recalculated for days,COMPUTE ga_lmp= C6600Q_F12v095 * 7 + 3.5.,,,
NFBC1966,core,,,,LifeCycle,core,plac_abrup,complete,final,Where there some of the following? ablatio placenta,RECODE C6600_F8V038 (2=0) (1=1) INTO plac_abrup. EXECUTE,,,
NFBC1966,core,,,,LifeCycle,core,height_m,complete,final,"Height was informed in numbers leaving full hundreds away and value 00  meant not know in original variable, therefore full hundreds were included  and 00 were coded as missing",,,,
NFBC1966,core,,,,LifeCycle,core,preg_fever,complete,final,Has there been fever (over 38 degrees) during the pregnancy? with options 1) yes 2) no,were coded to 0) no 1) yes,,,
NFBC1966,core,,,,LifeCycle,core,preg_gain,partial,final,"C6600_F8V063 mother's weight (kg), when she  came to hospital and modified version prepreg_weight from the variable C6600Q_F12v058",COMPUTE preg_gain=C6600_F8V063 - prepreg_weight.EXECUTE,,,
NFBC1966,core,,,,LifeCycle,core,birth_weight,complete,final,Birth weight  (only variable name changed),,,,
NFBC1966,core,,,,LifeCycle,core,child_id,complete,final,Project id number,,,,
NFBC1966,core,,,,LifeCycle,core,sex,complete,final,only variable name changed,1)male 2)female,,,
NFBC1966,core,,,,LifeCycle,core,death_p,complete,final,Used as a indicator variable of father's dead  (value 99999 means that child had died before father),RECODE ika_pv_isa_kuoli (99999=0) (SYSMIS=0) (-303 thru =18710) INTO death_m. EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,preg_thyroid,partial,final,Only information concerning thyrotoxicosis available and not covering the whole pregnancy with options 1) yes 2) no,were coded to 0) no 1) yes,,,
NFBC1966,core,,,,LifeCycle,core,death_m,complete,final,Used as a indicator variable of mother's dead  (value 99999 means that child had died before mother),RECODE ika_pv_aiti_kuoli (99999=0) (SYSMIS=0) (0 thru 18715=1) INTO death_m. EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,birth_year,complete,final,Birth month and year from register separated to year,,,,
NFBC1966,core,,,,LifeCycle,core,latepreg_weight_ga,complete,final,,see late latepreg_weight syntax,,,
NFBC1966,core,,,,LifeCycle,core,prepreg_weight,partial,final,"Variable name changed, 0 meant in original variable as not known and was  coded as missing, if prepregnancy weight was not known, and first maternity clinic visit was during IV month or earlier and weight was measured this value was used.",,,,
NFBC1966,core,,,,LifeCycle,core,plac_weight,partial,final,"Placenta weight, weight was reported with the accuracy of 10g. For example 570 was coded as 57. If there were twins and there are more than one placenta, weights of placentas are counted up and then diveded by two.",COMPUTE plac_weight=C6600Q_F12v089 * 10.EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,parity_m,partial,final,How many deliveries has mothed had?,RECODE C6600Q_F12v060 (0=0) (1=1) (2=2) (3=3) (4 thru 100=4) INTO parity_m. EXECUTE,,,
NFBC1966,core,,,,LifeCycle,core,occup_f1_,partial,final,"Asked at the 14-year questionnaire, father is 1)  working, 2) unemployed, 3) on  sick leave 4) is on illness, retirement- or old-age pension,5) student",RECODE C6614Q_NTT_043 (1=1) (2=3) (5=4) (3 thru 4=6) INTO occup_f1_14. EXECUTE,,14,14
NFBC1966,core,,,,LifeCycle,core,weight_,complete,final,Repeated measures of child's weight between the ages of 0- and <1 mont to  >-215 and  216 months,vector weight_(215) / height_(215).loop #i = 1 to 215 by 1.IF((C66_age_years >= #i/12)  & (C66_age_years< (#i+1)/12)) weight_(#i)=C66_weight.IF  ( (C66_age_years >= #i/12)  & (C66_age_years< (#i+1)/12)) height_(#i)=C66_height.end loop.EXECUTE.,,1,"1, 215"
NFBC1966,core,,,,LifeCycle,core,occup_f1_,partial,final,"Father's social status 1) employer,entrepreneur,2) manager,officer, 3) worker 4) assisting family member 0) does not have occupation",RECODE C6600Q_F12v020 (2=1) (3=1) (1=2) (4=5) (9=SYSMIS) (0=0) INTO occup_f1_0.,,0,0
NFBC1966,core,,,,LifeCycle,core,birth_length,complete,final,Birth leght  (only variable name changed),,,,
NFBC1966,core,,,,LifeCycle,core,occup_m_,partial,final,"Child's mother 1) idoes not work outside home (housewife), 2) works outside of home 3) is now unemployed , 4) is on  sick leave, 5) is on illness, retirement- or old age pension, 6) has a part-time job, 7) works occasionally   9) no information, 0) not concerning the subject (students are included in the category 1). Classes 9 and 0 were coded as system-missing .",RECODE C6614Q_NTT_039 (2=1) (6=1) (7=1) (3=3) (1=5) (4 thru 5=6) INTO occup_m_14. EXECUTE,,14,14
NFBC1966,core,,,,LifeCycle,core,preg_psych,partial,final,"Has the mother's mood  been during this pregnancy? 1) ordinary, 2) depressed, 3) very depressed  (depressed and very depressed were combined)",ordinary were coded as 0) no and depressed 1) yes,,,
NFBC1966,core,,,,LifeCycle,core,height_,complete,final,Repeated measures of child's height between the ages of 0- and <1 mont to  >-215 and  216 months,vector weight_(215) / height_(215).loop #i = 1 to 215 by 1.IF((C66_age_years >= #i/12)  & (C66_age_years< (#i+1)/12)) weight_(#i)=C66_weight.IF  ( (C66_age_years >= #i/12)  & (C66_age_years< (#i+1)/12)) height_(#i)=C66_height.end loop.EXECUTE.,,215,"1, 215"
NFBC1966,core,,,,LifeCycle,core,cohab_,partial,final,"Marital status of the mother was asked during  pregnancy and used as a measure of cohabitation. Original categories were 0) not known, 1) married, 2) unmarried, 3) widowed, 4) divorced.",C6600Q_F12v002 (0=SYSMIS) (1=1) (2 thru 4=2) INTO cohab_0. EXECUTE,,0,0
NFBC1966,core,,,,LifeCycle,core,smk_t,complete,final,"Number of cigarettes/pipefuls the mother smoked per day during the last three months of pregnancy? 0) 0,  1) 1-5 cigarettes 2) 6-10 cigarettes 3) 11-15 cigarettes 4) 16-20 cigarettes 5) 21 or more cigarettes 6) 1-3 pipefuls 8) 9 or more pipefuls 9) not known",RECODE C6600Q_F12v077 (0=0) (9=SYSMIS) (1 thru 8=1) INTO smk_t3. EXECUTE.,,3,3
NFBC1966,core,,,,LifeCycle,core,preg_no,complete,final,,,,,
NFBC1966,core,,,,LifeCycle,core,child_no,complete,final,,,,,
NFBC1966,core,,,,LifeCycle,core,preg_gain_mes,complete,final,New variable conducted,,,,
NFBC1966,core,,,,LifeCycle,core,cohab_,complete,final,"Whether mother  (C6614Q_NTT_037)  and father ( C6614Q_NTT_041) were 1) alive, 2)  dead or 3 ) lives, but does not live at home ( was asked at the 14-year follow-up by the questionnaire). In addition,in  C6614Q_NTT_037 concerning mother option 9) meant no information and  in variable C6614Q_NTT_041 concerning father  option 4) meant  I don't know anything about him  and these 9 and 4  were coded as system-missing.","IF (C6614Q_NTT_037=2 and C6614Q_NTT_041=1) cohab_14=2.
IF (C6614Q_NTT_037=1 and C6614Q_NTT_041=2) cohab_14=2.
IF (C6614Q_NTT_037=1 and C6614Q_NTT_041=3) cohab_14=2.
IF (C6614Q_NTT_037=3 and C6614Q_NTT_041=1 ) cohab_14=2.
IF (C6614Q_NTT_037=1 and C6614Q_NTT_041=1) cohab_14=1.
IF (C6614Q_NTT_037=2 and C6614Q_NTT_041=2) cohab_14=2.
IF (C6614Q_NTT_037=3 and C6614Q_NTT_041=3) cohab_14=2.
EXECUTE.",,14,14
NFBC1966,core,,,,LifeCycle,core,occup_m_,partial,final,"Has the mother been in paid employment outside of the home during this pregnancy? 0) not known, 1) no at all, 2,) mostly part-time, 3) full-time",RECODE C6600Q_F12v021 (1=6) (0=6) (2 thru 3=1) INTO occup_m_0. EXECUTE.,,0,0
NFBC1966,core,,,,LifeCycle,core,prepreg_smk,complete,final,"During the 12 months preceding the pregnancy, did the mother smoke  at least  one cigarette or pipeful of tobacco a day? 0=no, 1= cigrettes, 2, pipe, 9 not known",RECODE C6600Q_F12v052 (0=0) (9=SYSMIS) (1 thru 2=1) INTO prepreg_smk. EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,breastfed_ever,complete,final,"Brestfeed duration with categories: 1) Never, 2) 1 months, 3) months, 4) 6 months",RECODE breastfed_any (0=0) (1 thru 6=1) INTO breastfed_ever.EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,preeclam,partial,final,"1) gestational hypertension  (BP 145/95 mmHg or more after 20th gestational week. Normal BP in the early pregnancy i.e. (<20th gestational week). No proteinuria.  2)  pre-eclampsia ( BP 145/95 mmHg or more after 20th gestational week. Normal BP in the early pregnancy i.e. (<20th gestational week). Proteinuria at least in one sample during pregnancy). 3) Chronic hypertension a. BP elevated already in early pregnancy ((<20th gestational week), 145/95 mmHg or more, and BP elevated also during whole pregnancy or after pregnancy (6weeks after pregnancy)) b. Chronic hypertension (hypertension essentialis) diagnose registered in questionnaire) 4.) Superimposed pre-eclampsia (chronic hypertension+protenuria, 5) Could not be determinated (all BP values not available 6) not known, 7) Systolic BP elevated Systolic BP >145 and diastolic BP < 95. Includes also women with proteinuria. 8.) Normotensive- BP under 145/95 and is not included in any of the above mentioned groups.9.) DiastolicBP elevated (Diastolic BP >95 and systolic BP < 145, Includes also women with proteinuria).   In the 1960's , BP was recorded by rounding up or down to the nearest 5mmHg, thus values >=145/95 represent hypertension.",RECODE C6600_UURRHYLK (1=0) (2=1) (3=0) (4=1) (5=0) (6=SYSMIS) (7 thru 9=0) INTO preeclam.EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,preg_plan,partial,final,"The mother considers this pregnancy 1)  happened at an appropriate time, 2) would have been more desirable later 3)  would not have been wanted  0) not known,",RECODE C6600Q_F12v050 (3=2) (0=SYSMIS) (1 thru 2=1) INTO preg_plan,,,
NFBC1966,core,,,,LifeCycle,core,smk_t,partial,final,Mother smoking at 2 month:  0) not known 1) continued 2) stopped 3) did not smoked,RECODE C6600Q_F12v114 (0=SYSMIS) (3=0) (1 thru 2=1) INTO smk_t1. EXECUTE,,1,1
NFBC1966,core,,,,LifeCycle,core,death_m_age,complete,final,Age of the child  at the time of the mother's death (continuous in days)  (value 99999 means that child had died before mother),,,,
NFBC1966,core,,,,LifeCycle,core,smk_exp,complete,final,"Father's smoking 1) never 2) sometimes, but not nowdays,3) smokes, 4)  don't know 0) does not concern the subject",RECODE C6614Q_NTT_045 (1=0) (2=0) (3=1) (4=0) INTO smk_exp14.,,14,14
NFBC1966,core,,,,LifeCycle,core,famsize_child,partial,final,How many persons belongs to household? How many of them are under  15-year-old? 0) none 1)1 2) 2 3) 3 4) 4 5) 5 6) 6 7) 7 8) 8 or more 9) not known,,,0,0
NFBC1966,core,,,,LifeCycle,core,famsize_child,partial,final,How many children  there are/has been in your family? (C6614Q_NTT_034) Is someone from the children already living away from home? How many?  (C6614Q_NTT_035)  Is someone from the children died? How many? (C6614Q_NTT_036 ),"COMPUTE lapsiluku_14=C6614Q_NTT_034 - C6614Q_NTT_035 - C6614Q_NTT_036.
EXECUTE. RECODE lapsiluku_14 (-9 thru -1=SYSMIS).
EXECUTE.RECODE lapsiluku_14 (ELSE=Copy) INTO famsize_child14. (lapsiluku_14 means amount of children_14)",,14,14
NFBC1966,core,,,,LifeCycle,core,edu_m_,partial,final,"0) none or circulating school, 1) 1-4 yrs  of elementary school, 2) 5-8 years of elementary school or part of secondary school, 3)  1/2-2 years of vocational school, 4) more than 2 years of  vocational school, 5) secondary school, 6)  secondary school or more,7)  matrixulation examination  8) matrixulation examination and more 9) not known.",RECODE C6600Q_F12v044 (8=1) (9=SYSMIS) (0 thru 5=3) (6 thru 7=2) INTO edu_m_0. EXECUTE.,,0,0
NFBC1966,core,,,,LifeCycle,core,birth_month,complete,final,Birth month and year from register separated to month,,,,
NFBC1966,core,,,,LifeCycle,core,latepreg_weight,complete,final,,"weight_last_nl = C6600_F8V061 + C6600_F8V062/10;
weight_hospital = C6600_F8V063 + C6600_F8V064/10;

days_btw_nl_birth = intck('days', last_neuvola_date, birthdate);
ga_days = C6600Q_F12v095*7+3.5;
if C6600Q_F12v095=0 then ga_days = .;
last_neuvola_ga_days = ga_days - days_btw_nl_birth;
if .<days_btw_nl_birth<0 then last_neuvola_ga_days = .; *Laitetaan virheelliset tiedot puuttuviksi. Ei aleta nyt selvittämään ja korjaamaan pvm virheitä;
if days_btw_nl_birth >= 210 then last_neuvola_ga_days = .;

latepreg_weight = weight_hospital;
if weight_hospital=. and last_neuvola_ga_days >= (32*7+3.5) then latepreg_weight = weight_last_nl; *otetaan viimeisen neuvolakäynnin paino, jos silloin ga >= 32;;
if weight_hospital ne . then latepreg_weight_ga = ga_days;
if weight_hospital=. and weight_last_nl ne . and latepreg_weight ne . then latepreg_weight_ga = last_neuvola_ga_days;",,,
NFBC1966,core,,,,LifeCycle,core,weight_,complete,final,,IF  ( C66_age_years >= 0  & C66_age_years< 1/12) weight_0=C66_weight.,,0,0
NFBC1966,core,,,,LifeCycle,core,fam_splitup,partial,final,,if (cohab_0=1 and  cohab_14=1) fam_splitup14=0.if (cohab_0=2 and  cohab_14=2) fam_splitup14=0.if (cohab_0=1 and  cohab_14=2) fam_splitup14=1.if (cohab_0=2 and  cohab_14=1) fam_splitup14=0.EXECUTE.,,14,14
NFBC1966,core,,,,LifeCycle,core,pets_,partial,final,"How many cows, pigs, sheeps, hens and minks and like are in the household? 0= none and 9) not known. Categorizations concerning the numbers concerning the animals differed .  All the variables were firstly coded as 1)  yes and 0) no. Not know were coded as missing.","COMPUTE pets_0 =SUM(C6600Q_F12v035, C6600Q_F12v036, C6600Q_F12v037, C6600Q_F12v038. C6600Q_F12v039).
EXECUTE.  RECODE pets_0 (0=0) (1 thru 100=1) INTO pets_0. EXECUTE.",,0,0
NFBC1966,core,,,,LifeCycle,core,con_anomalies,complete,final,"Did child has something clear congenital malformation?  1) no 2) clubfoot 3) hipluxation 4) other limb anomaly 5) teratoma 6) hydrocephalus 7) mouth or harelip 8) congenital heart failure, 9) other anomaly 0) multianomalia",RECODE C6600_F8V048 (0=1) (1=0) (2 thru 9=1) INTO con_anomalies. EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,preg_ht,partial,final,"New classification of hypertension during pregnancy: 1) gestational hypertension  (BP 145/95 mmHg or more after 20th gestational week. Normal BP in the early pregnancy i.e. (<20th gestational week). No proteinuria.  2)  pre-eclampsia ( BP 145/95 mmHg or more after 20th gestational week. Normal BP in the early pregnancy i.e. (<20th gestational week). Proteinuria at least in one sample during pregnancy). 3) Chronic hypertension a. BP elevated already in early pregnancy ((<20th gestational week), 145/95 mmHg or more, and BP elevated also during whole pregnancy or after pregnancy (6weeks after pregnancy)) b. Chronic hypertension (hypertension essentialis) diagnose registered in questionnaire) 4.) Superimposed pre-eclampsia (chronic hypertension+protenuria, 5) Could not be determinated (all BP values not available 6) not known, 7) Systolic BP elevated Systolic BP >145 and diastolic BP < 95. Includes also women with proteinuria. 8.) Normotensive- BP under 145/95 and is not included in any of the above mentioned groups.9.) DiastolicBP elevated (Diastolic BP >95 and systolic BP < 145, Includes also women with proteinuria).   In the 1960's , BP was recorded by rounding up or down to the nearest 5mmHg, thus values >=145/95 represent hypertension.",RECODE C6600_UURRHYLK (1=1) (8=0) INTO preg_ht.EXECUTE.,,,
NFBC1966,core,,,,LifeCycle,core,prepreg_cig,partial,final,"If "" yes, "" how many cigarettes/ pipefuls a day? Variable was coded  0= did not smoke, 1= 1-5 cigarettes,  2=6-10 cigarettes, 3=11-15 cigarettes, 4=16-20 cigarettes, 5=≥21  cigarettes, 6=1-3 pipes, 7=4-8 pipes, 8=≥9 pipes, 9= not known",RECODE C6600Q_F12v053 (0=0) (6=1) (7=2) (8=2) (3=2) (4=2) (5=2) (9=SYSMIS) (1 thru 2=1) INTO  prereg_cig.EXECUTE,,,
NFBC1966,core,,,,LifeCycle,core,preg_smk,partial,final,"Did the mother change her smoking habits during this pregnancy? 0=mother did not smoke, 1= did not change, 2=quit,3=reduced, 4=increased, 5=no information how changed, but changed anyway, 9=not known",RECODE C6600Q_F12v054 (0=0) (9=SYSMIS) (1=1) (3=1) (4=1) (5=1) (2=1) INTO preg_smk.EXECUTE,,,
NFBC1966,core,,,,LifeCycle,core,preg_cig,partial,final,"Number of cigarettes and pipes after the change.  00=mother did not smoke, 99=not known.",RECODE C6600Q_F12v056 (0=0) (99=SYSMIS) (1 thru 9=1) (10 thru 40=2) INTO preg_cig.EXECUTE,,,
NFBC1966,core,,,,LifeCycle,core,height_,complete,final,,IF  ( C66_age_years >= 0  & C66_age_years< 1/12) height_0=C66_height.,,0,0
NFBC1966,core,,,,LifeCycle,core,mode_delivery,partial,final,"1) In the delivery no operations, 2) caesarian, 3) forecaps, vacuum, 4) helping in breech birth",RECODE C6600_F8V043 (1=1) (3=2) (2=3) (4=4) INTO mode_delivery. EXECUTE.,,,
PELAGIE,harmonized,ADHD_EVAL_7,,,LifeCycle,outcome,adhd_eval_,complete,final,,eval=2;,,7,7
PELAGIE,pelagie_q0,M37,,,LifeCycle,core,plac_weight,complete,final,,plac_weight=m37;,,,
PELAGIE,harmonized,INT_EVAL_13,,,LifeCycle,outcome,int_eval_,complete,final,,eval=2;,,13,13
PELAGIE,harmonized,DIETASS_SCH,,,LifeCycle,core,dietass_sch,complete,final,,dietass_sch=1;,,,
PELAGIE,harmonized,INT_EVAL_14,,,LifeCycle,outcome,int_eval_,complete,final,,eval=2;,,14,14
PELAGIE,harmonized,EXT_EVAL_6,,,LifeCycle,outcome,ext_eval_,complete,final,,eval=2;,,6,6
PELAGIE,pelagie_q12,SCD_Q2,,,LifeCycle,core,height_,complete,final,,/* too long to be provided and many case by case situations */,,164,"133, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169"
PELAGIE,harmonized,CHOLMES_146,,,LifeCycle,outcome,cholmes_,complete,final,,cholmes_153=0;,,153,153
PELAGIE,harmonized,TRICEPSFMES_0,,,LifeCycle,outcome,tricepsfmes_,complete,final,,tricepsfmes_149=0;,,149,149
PELAGIE,pelagie_q0,"M28,M34",,,LifeCycle,core,birth_head_circum,complete,final,,"birth_head_circum=m28;
if m22 eq 2 and p1 eq 2 then birth_head_circum=m34;",,,
PELAGIE,pelagie_q0,MALFO,,,LifeCycle,core,con_anomalies,complete,final,,"con_anomalies =Malfo;
if con_anomalies ge 1 then con_anomalies=1;",,,
PELAGIE,harmonized,DEATH_M,,,LifeCycle,core,death_m,partial,final,non-exhaustive information,from free text,non-exhaustive information,,
PELAGIE,pelagie_q2,"B128,B129",,,ATHLETE,outcome_ath,n_wheezing_12m_,complete,final,,"if b128=0 then do; b129=0; b130=0; end;
n_wheezing_12m_0=b129;",,0,0
PELAGIE,pelagie_q2,"B128,B130",,,ATHLETE,outcome_ath,n_wheezing_12m_,complete,final,,"if b128=0 then do; b129=0; b130=0; end;
n_wheezing_12m_1=b130;",,1,1
PELAGIE,BDD_ethers,MEAA_ENFANT,,,ATHLETE,chemicals_ath,c_meaa_raw_,complete,final,,BDD_ethers$c_meaa_raw_6<-BDD_ethers$MEAA_enfant,,6,6
PELAGIE,harmonized,OCCUP_F1_14,,,LifeCycle,core,occup_f1_fath,partial,final,Biological father by default,if  occup_f1_14 ne . then occup_f1_fath14=1;,Biological father by default,14,14
PELAGIE,pelagie_q0,MALFO,,,LifeCycle,core,major_con_anomalies,complete,final,,"if malfo eq 1 then major_con_anomalies=1;
else if malfo in (0,2,9) then  major_con_anomalies=0;",,,
PELAGIE,harmonized,INT_INSTR_11,,,LifeCycle,outcome,int_instr_,complete,final,,instr=47;,,11,11
PELAGIE,harmonized,INT_INSTR_12,,,LifeCycle,outcome,int_instr_,complete,final,,instr=47;,,12,12
PELAGIE,harmonized,PREG_NO,,,LifeCycle,core,preg_no,complete,final,Only 1 pregnancy per mother,preg_no = 1,Only 1 pregnancy per mother,,
PELAGIE,harmonized,CHILD_ID,,,LifeCycle,core,child_id,complete,final,,child_id = mother_id*1000 + child_no,,,
PELAGIE,harmonized,COHORT_ID,,,LifeCycle,core,cohort_id,complete,final,,cohort_id = 127,,,
PELAGIE,pelagie_q0,V4,maj_ddn_2021,DDN_2021,LifeCycle,core,recruit_age,complete,final,,recruit_age = v4 - ddn_2021;,,,
PELAGIE,BDD_cotinine,"COTININE,SGURINEF",,,ATHLETE,chemicals_ath,m_cotinine_raw_t,complete,final,,"BDD_cotinine$m_cotinine_raw_t1<-ifelse(!is.na(BDD_cotinine$COTININE) & BDD_cotinine$SGurineF<=10,BDD_cotinine$COTININE,NA)",,1,1
PELAGIE,harmonized,ADHD_EVAL_3,,,LifeCycle,outcome,adhd_eval_,complete,final,,eval=2;,,3,3
PELAGIE,harmonized,COH_COUNTRY,,,LifeCycle,core,coh_country,complete,final,,coh_country=250,,,
PELAGIE,harmonized,WAISTCIRCMES_0,,,LifeCycle,outcome,waistcircmes_,complete,final,,waistcircmes_152=0;,,152,152
PELAGIE,harmonized,ADHD_EVAL_14,,,LifeCycle,outcome,adhd_eval_,complete,final,,eval=2;,,14,14
PELAGIE,harmonized,ATT_EVAL_5,,,ATHLETE,outcome_ath,att_eval_,complete,final,,att_eval_5=4;,,5,5
PELAGIE,pelagie_q0,"M30,M36",,,LifeCycle,core,apgar,complete,final,,"apgar=m30;
if m22 eq 2 and p1 eq 2 then  apgar= m36;",,,
PELAGIE,harmonized,EDU_F1_12,,,LifeCycle,core,edu_f1_fath,partial,final,Biological father by default,if edu_f1_12 ne . then edu_f1_fath12=1;,Biological father by default,12,12
PELAGIE,harmonized,EDU_F1_13,,,LifeCycle,core,edu_f1_fath,partial,final,Biological father by default,if edu_f1_13 ne . then edu_f1_fath13=1;,Biological father by default,13,13
PELAGIE,harmonized,ADHD_EVAL_2,,,LifeCycle,outcome,adhd_eval_,complete,final,,eval=2;,,2,2
PELAGIE,harmonized,EDU_F1_14,,,LifeCycle,core,edu_f1_fath,partial,final,Biological father by default,if edu_f1_14 ne . then edu_f1_fath14=1;,Biological father by default,14,14
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle,outcome,cholage_,complete,final,,cholage_158=age_exam_jour;,,158,158
PELAGIE,harmonized,OCCUP_F1_7,,,LifeCycle,core,occup_f1_fath,partial,final,Biological father by default,if  occup_f1_7 ne . then occup_f1_fath7=1;,Biological father by default,7,7
PELAGIE,harmonized,HDLCMES_146,,,LifeCycle,outcome,hdlcmes_,complete,final,,hdlcmes_153=0;,,153,153
PELAGIE,harmonized,SITTINGHTMES_0,,,LifeCycle,outcome,sittinghtmes_,complete,final,,sittinghtmes_156=0;,,156,156
PELAGIE,pelagie_q0,"P6,P7",,,LifeCycle,core,neo_unit,complete,final,,"if p7 eq 1 then neo_unit=1;
else if p7 eq 0 then  neo_unit=0;
else if p6 eq 0 then  neo_unit=0;",,,
PELAGIE,pelagie_q0,M25,,,LifeCycle,core,sex,complete,final,,sex=m25;,,,
PELAGIE,pelagie_q0,M22,,,LifeCycle,core,plurality,complete,final,,plurality=m22;,,,
PELAGIE,harmonized,SITTINGHTMES_0,,,LifeCycle,outcome,sittinghtmes_,complete,final,,sittinghtmes_157=0;,,157,157
