id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
CONSTANCES,,CONSTANCES,Cohorte des Consultants des Centres d’Examens de Santé,,,https://www.constances.fr/,INSERM,,,,Population cohort,,Longitudinal,,,,"Retrospective,Prospective",,,220000,,France,,Adult (18+ years),,,2012,2019,,,,,,,,,,,,,,https://doi.org/10.1007/s10654-015-0096-4,,,,,
mCRC-VHIO,,mCRC-VHIO,metastatic Colorectal Cancer - VHIO,,,,VHIO,,,xvillalobos@vhio.net,Clinical cohort,,Cross-sectional,,,,Retrospective,,,116,,,,,,,,,,,,,,,,,,disease specific research,,,,,,,,,
SAPALDIA,,,SAPALDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORCE-NEN collections,,,FORCE-NEN individual collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian Biocentre,21.12110/1.EBAC-768B-DAAB,,Estonian Biocentre,,,,,,,biokeskus@ebc.ee,Biobank,,,,,,,,,,,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,
PARISK,21.12110/1.39E7-53CB-E570,PARISK,PARISK,,,,,,,a.vanderlugt@erasmusmc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
CON,CON,CON,Consumer cohort,CON,"consumer, supermarket, data epidemiology, cohort",https://mineindkob.dk/,SSI,,"This project aims to investigate how what we buy, and thus our diet, affects health, by analyzing purchase patterns and health information over time.","frtm@ssi.dk, mineindkob@ssi.dk","Population cohort,Registry",,Longitudinal,,,,"Retrospective,Prospective",,,407,407,Denmark,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (80+ years)",,,2021,,,,,,,Other release type,on request,"GS1 data, FRIDA data",,,,,,,,,Through the project HEAP: https://heap-exposome.eu/ grant agreement No. 874662,,Full consent can be found at https://www.mineindkob.dk/da-DK/registration#1
CSC,CSC,CSC,Cervical screening cohort,,"cancer, CIN, LSIL, HSIL, cytology, pathology, invitations, HPV, cervical cancer",https://nkcx.se,KI,,Cervical screening cohort comprising all women resident in Sweden aged 23-64 that are screened for human papillomavirus or cervical abnormalities.,joakim.dillner@ki.se; info@nkcx.se,"Population cohort,Registry,Biobank",,Longitudinal,,,,"Retrospective,Prospective",,,500000,500000,Sweden,,"Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65-79 years)",,,1968,,,,,,,Annually,new data from past year is imported annualy in April online,"NKCx, biobank, laboratory experiments (sequencing)",,,,"For research purposes data can be provided pseudonomized, providing there is i) an approved ethical application, ii) an approved application for data (which is to be submitted to the registry)",,,,,SKR (Swedish Municipalities and Regions) funds partly for NKCx.,"It is required to name the data source for instance in the materials and methods section as ""Swedish National Cervical Screening Registry (NKCx)""",
HPV,,HPV,HPV vaccination cohort,,"Community randomized, HPV vaccination, gender-neutral",https://projects.tuni.fi/hpv-rokotiitus/,TUNI,,"Community-randomized HPV vaccination trial cohort: gender-neutral HPV16/18 vaccination arm, girls-only HPV16/18 vaccination and hepatitis B-virus (HBV) vaccination of boys arm, and arm gender-neutral HBV vaccination arm. Total of boys (31,117) and girls (30,139), 9482 (60,7 %) were HPV vaccinated and 6131 (39,3 %) were HBV vaccinated at the age of 14 and followed up at he age of 18, 22, 25 and 28.","tiina.eriksson@tuni.fi, ville.pimenoff@ki.se, karolina.louvanto@tuni.fi, matti.lehtinen@tuni.fi",Clinical trial,,Longitudinal,,,,Prospective,,,61256,15613,Finland,,"Adolescent (13-17 years),Young adult (18-24 years),Adult (25-44 years)",,,2007,,,,,,,Other release type,not determined; new data still created,,,,,,,,"https://doi.org/10.1258/095646206776253453,https://doi.org/10.1002/ijc.31281,https://doi.org/10.1002/ijc.32791,https://doi.org/10.1016/j.vaccine.2014.12.019,https://doi.org/10.1371/journal.pmed.1003588,https://doi.org/10.1371/journal.pone.0072088,https://doi.org/10.1002/ijc.31119,https://doi.org/10.1258/095646206778145550,https://doi.org/10.1080/21645515.2016.1183847,https://doi.org/10.1002/ijc.32189,https://doi.org/10.1002/ijc.32802,https://doi.org/10.1016/S1473-3099(20)30873-2,https://doi.org/10.1093/infdis/jiaa099,https://doi.org/10.1002/ijc.31618,https://doi.org/10.1002/ijc.33169,https://doi.org/10.1136/bmjopen-2017-015867,https://doi.org/10.1002/ijc.27586",,"A total of more than 40 million euros of grants by Prof. Matti Lehtinen from Finnish and Nordic Cancer Cociety, Finnish Academy, EU FP5 prgram, FP6 program, FP7 program, Merck&Co, GlaxoSmithKline Biologicals, IMI, Swedish Cancerfonden, Jane and aatos Erkko Foundation, EU Horizon and Finnish Cancer Society.",Original articles and data owners need to be cited.,
LSC,LSC,LSC,Lifestyle cohort,TirolGESUND,intermittent fasting; smoking cessation; DNA methylation; prevention;,https://www.uibk.ac.at/,UIBK,,"Data from 6-month intervention trial looking at the effects of intermittent fasting or smoking cessation in healthy women aged 30-60 with risk factors for cancer or other diseases (elevanted BMI, heavy smoking).",martin.widschwendter@uibk.ac.at,"Population cohort,Clinical trial",,Longitudinal,,,,Prospective,,,156,156,Austria,,"Adult (25-44 years),Middle-aged (45-64 years)",,,2021,,,,,,,Other release type,"Data will be embargoed until initial publication of the study results. Personally identifiable data will be under restricted access, controlled by a data access committee. A data access form will need to be filled in providing data use. Use of data is for scientific purposes only and a cooperation agreement has to be signed for use.",,,,,"Data will be embargoed until initial publication of the study results. Personally identifiable data will be under restricted access, controlled by a data access committee. A data access form will need to be filled in providing data use. Use of data is for scientific purposes only and a cooperation agreement has to be signed for use.",,,,,"This study received funding by the European Union’s Horizon 2020 Research and Innovation Program, HEAP under grant agreement No. 874662 and the Land Tirol.","Any users must acknowledge Prof. Martin Widschwendter, Dr Chiara Herzog, and the EUTOPS Institute and cite the relevant key publications out of the project.",
BIB,,BIB,Born in Bradford,,Multicultural,https://borninbradford.nhs.uk/,BRI,,"Born in Bradford (BiB) started in 2007 as a response to the poor health outcomes for children in Bradford. Pregnant women were recruited when they attended the Bradford Royal Infirmary for their routine maternity care. Participants were asked to complete a questionnaire about different aspects of their lives including demographics information, physical and mental health and socio-economic information.

Between 2007 and 2011, 12,453 pregnant women were recruited and 3,353 of their partners. Participants also gave permission for routine data linkage for themselves and their children. The BiB cohort is split between approximately 50% South Asian and 50% non-South Asian participants.

BiB has completed a number of sub-sample studies including BiB1000, which focused on exploring ethnic variation and risk factors of childhood obesity. Data collection included questionnaires with parents when the children were between 6 and 36 months at 6 monthly intervals.The ALLIN and MeDALL studies focused on the relationships between childhood allergies and infections. Data collection for these studies were done via a questionnaire and, for the MeDALL study, children were asked to have a skin allergy test.

Since 2016, BiB have undertaken a full cohort follow-up compromising of home visits for data collection through questionnaires, school visits where children carried out cognitive assessments, and a child measurement programme where children were weighed and measured, had their activity levels measured, and were asked to give a blood sample.

From the findings of these studies, BiB have developed a range of additional research projects such as evaluating and developing new interventions to improve health; for example, focusing on reducing childhood obesity, increasing physical activity, improving oral health and improving mental wellbeing. BiB have gone beyond functioning as an observational birth cohort and are actively trying to build and strengthen local research capacity and translate evidence to practice.",,Birth cohort,,Longitudinal,,,,"Retrospective,Prospective",,,12453,,,Bradford,,,,2007,,,,,,,Closed dataset,,No,,general research use,return to database or resource,"Born in Bradford allows researchers to apply to access the study data through the BiB Executive Group. Researchers need to submit an EOI form to borninbradford@bthft.nhs.uk and the EOI will be reviewed at the monthly BiB Exec. 

Information about the different data sets are available here: https://borninbradford.nhs.uk/research/documents-data/ 

More information about how to access BiB data can be found here: https://borninbradford.nhs.uk/research/how-to-access-data/",,https://doi.org/10.1093/ije/dys112,"https://doi.org/10.14301/llcs.v4i2.221,https://doi.org/10.1186/s12889-019-7222-2,https://doi.org/10.1186/1471-2458-8-327",,"BiB receives core infrastructure funding from the Wellcome Trust (WT101597MA) and the National Institute for Health Research (NIHR) under its Applied Research Collaboration Yorkshire and Humber [NIHR200166]. Further support for genome-wide and multiple ‘omics measurements is from the UK Medical Research Council (G0600705), National Institute of Health Research (NF-SI-0611-10196), US National Institute of Health (R01 DK10324), and the European Research Council under the European Union’s Seventh Framework Programme (FP7/2007–2013) / ERC grant agreement no 669545. The recent follow-up of BiB participants was funded by a joint grant from the UK Medical Research Council and UK Economic and Social Science Research Council (MR/N024397/1) and a grant from the British Heart Foundation (CS/16/4/32482.)","Born in Bradford is only possible because of the enthusiasm and commitment of the children and parents in BiB. We are grateful to all the participants, health professionals, schools and researchers who have made Born in Bradford happen.",
Sepages,,SEPAGES,Suivi de l'Exposition à la Pollution Atmosphérique et Effet sur la santé,Suivi de l'Exposition à la Pollution Atmosphérique et Effet sur la santé,"Novel tools for integrating early-life environmental exposures and child health, biomarkers",https://cohorte-sepages.fr/en,INSERM,,"(1) characterize finely environmental exposures during pregnancy and early life ; (2) evaluate the impact of the environment on mother-child health, focusing on three main outcomes: growth, respiratory health and neurodevelopment; (3) explore possible underlying biological pathways, focusing on those mediated by epigenetic marks, immunologic and hormonal parameters and by the gut microbiota.",,Population cohort,,Longitudinal,,,,Prospective,,,484,480,France,Auvergne-Rhône-Alpes,"Prenatal,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years)",,,2014,,,,,,,Annually,,No,,,project specific restriction,Send a first request to Sarah Lyon-Caen (sarah.lyon-caen@univ-grenoble-alpes.fr),,https://doi.org/10.3390/ijerph16203888,"https://doi.org/10.1016/j.envpol.2021.117650,https://doi.org/10.1016/j.envint.2020.105678,https://doi.org/10.1016/j.envint.2021.106697,https://doi.org/10.3390/ijerph16203888",,"The SEPAGES cohort was supported by the European Research Council (N°311765-E-DOHaD), the European Community’s Seventh Framework Programme (FP7/2007-206 - N°308333-892 HELIX), the European Union’s Horizon 2020 research and innovation programme (N° 874583 ATHLETE Project, N°825712 OBERON Project),  the French Research Agency - ANR (PAPER project ANR-12-PDOC-0029-01, SHALCOH project ANR-14-CE21-0007, ANR-15-IDEX-02 and ANR-15-IDEX5, GUMME project ANR-18-CE36-005, ETAPE project ANR - EDeN project ANR -19-CE36-0003-01), the French Agency for Food, Environmental and Occupational Health & Safety - ANSES (CNAP project EST-2016-121, PENDORE project EST-2016-121, HyPAxE project EST-2019/1/039), the Plan Cancer (Canc’Air project), the French Cancer Research Foundation Association de Recherche sur le Cancer – ARC,  the French Endowment Fund AGIR for chronic diseases – APMC (projects PRENAPAR and LCI-FOT), the French Endowment Fund for Respiratory Health, the French Fund – Fondation de France (CLIMATHES – 00081169,  SEPAGES 5 - 00099903).","SEPAGES biospecimens are stored at Grenoble University Hospital(CHU-GA) biobank (bb-0033-00069); we would like to thank the whole CRB team, led by Pr. P. Mossuz and Mr. P. Lorimier, and in particular the technicians for the huge work of biospecimens processing and pooling: Mrs. W. Jayar and Mrs. L. Than, as well as Mr. G. Schummer. We thank the SEPAGES study group : E. Eyriey, A. Licinia, A. Vellement (Groupe Hospitalier Mutualiste, Grenoble), I. Pin, P. Hoffmann, E. Hullo, C. Llerena (Grenoble Alpes University Hospital, La Tronche), X. Morin (Clinique des Cèdres, Echirolles), A. Morlot (Clinique Belledonne, Saint-Martin d’Hères), J. Lepeule, S. Lyon-Caen, C. Philippat, I. Pin, J. Quentin, V. Siroux, R. Slama (Grenoble Alpes University, Inserm, CNRS, IAB).
We thank Mrs. A. Benlakhryfa, Mrs. L. Borges, Mr. Y. Gioria, clinical research assistants; Mrs. J. Giraud, Mrs. M. Marceau, Mrs. M-P. Martin, nurses; Mrs. E. Charvet, Mrs A. Putod, midwives; Mrs. M. Graca, Mrs. K.Gridel, Mrs. C. Pelini, Mrs Maïlys Barbagallo  fieldworkers; Mrs. A.Bossant, K. Guichardet, J-T Iltis A. Levanic, C.Martel, E. Quinteiro, S.Raffin neuropsychologists; the staff from Grenoble Center for Clinical Investigation (CIC): Prof. J.-L. Cracowski, Dr. C. Cracowski,Dr. E. Hodaj, Mrs. D. Abry, Mr. N. Gonnet and Mrs. A. Tournier. A warm thank you also to Dr. M. Althuser, Mr. S. Althuser, Dr. F. Camus-Chauvet, Mr. P. Dusonchet, Mrs. S. Dusonchet, Dr. L. Emery, Mrs. P.Fabbrizio, Prof. P. Hoffmann, Dr. D. Marchal André, Dr. X. Morin, Dr. E.Opoix, Dr. L. Pacteau, Dr. P. Rivoire, Mrs. A. Royannais, Dr. C.Tomasella, Dr. T. Tomasella, Dr. D. Tournadre, Mr. P. Viossat, Mrs. E.Volpi, Mrs. S. Rey, Dr. E. Warembourg and clinicians from Grenoble University Hospital for their support in the recruitment of the study volunteers. We also thank Mrs. A. Buchet, Mrs. SF. Caraby, Dr. J-N.Canonica, Mrs. J. Dujourdil, Dr. E. Eyriey, Prof. P. Hoffmann, Mrs. M.Jeannin, Mrs. A. Licina, Dr. X. Morin, Mrs. A. Nicolas, and all midwives from the four maternity wards of Grenoble urban areas. SEPAGES data are stored thanks to Inserm RE-CO-NAI platform funded by Commissariat Général à l’Investissement, with the implication of Sophiede Visme (Inserm DSI). Many thanks to Dr. M.A. Charles, RE-CO-NAI coordinator, for her support. Finally, and importantly, we would like to express our sincere thanks to participants of the SEPAGES study.",
NFBC1966 G0,,NFBC1966 G0,Parents of NFBC1966,,,,UOULU,,,,Population cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinnGeDi,,FinnGeDi,Finnish Gestational Diabetes Study,,,,UOULU,,,,Clinical cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT,MAT,MAT,Maternity cohort,MAT,"Biobank, maternity cohort, serum",https://www.ppshp.fi/Tutkimus-ja-opetus/Biopankki/Pages/default.aspx,,,"The Finnish Maternity Cohort (FMC) in Northern Finland Biobank Borealis is a collection of serum samples comprising virtually the entire population of Finnish females, who have been pregnant since 1983. FMC is linkable with population-based health registers including the Finnish Cancer Registry and the Medical Birth Register. Linkage of FMC data and samples with pathological archives of Finnish Biobanks provides an opportunity to expand the scope of research into interaction of biological and genomic factors in association with various diseases. Serial prediagnostic serum samples and comprehensive data accessible over three generations provide possibilities for unique study settings.","hanna.ohman@ppshp.fi, ville.pimenoff@oulu.fi, helja-marja.surcel@oulu.fi",Biobank,,Longitudinal,,,,Retrospective,,,950000,950000,Finland,,"Adolescent (13-17 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (80+ years)",,,1983,2017,,,,,,Closed dataset,,FMC is linkable with population-based health registers including the Finnish Cancer Registry and the Medical Birth Register. Linkage of FMC data and samples with pathological archives of Finnish Biobanks provides an opportunity to expand the scope of research into interaction of biological and genomic factors in association with various diseases.,,,,,,https://doi.org/10.1002/cam4.1222,https://doi.org/10.1002/cam4.1222,,European Science Infrastructure Services (https://esis.fi/),European Science Infrastructure Services (https://esis.fi/),European Science Infrastructure Services (https://esis.fi/)
WDC,WDC,WDC,Wearable data collection study,WDC,"wearables, exposome, pregnancy, environmental exposure",,,"UOULU,KI,TUNI","Longitudinal cohort of pregnant and non-pregnant women for exposome estimation from blood, saliva, sweat and personal aerosols.","ville.pimenoff@oulu.fi, ville.pimenoff@ki.se, matti.lehtinen@tuni.fi",Population cohort,,Longitudinal,Longitudinal,,,Prospective,,,100,100,Finland,,Adult (25-44 years),,,2022,2022,,,,,,Closed dataset,,,,,,,,https://doi.org/10.1097/EE9.0000000000000182,https://doi.org/10.1097/EE9.0000000000000182,,Horizon 2020 (HEAP),Contributors need to be cited.,
PSI,21.12110/1.26D3-079D-BB22,PSI,Parelsnoer,,,,,,,servicedesk@health-ri.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
CELSPAC-TNG,,CELSPAC-TNG,Central European Longitudinal Study of Parents and Children: The Next Generation,,"EXPOSOME, Central Europe",https://www.celspac.cz/tng,RECETOX,,This prospective birth cohort is designed to follow up 7000 children from their prenatal period to adolescence with the aim of assessing EXPOSOME factors potentially affecting children health.,,Birth cohort,,Longitudinal,,,,"Retrospective,Prospective",,,950,900,Czechia,,,,,2018,,,,,,,Continuous,,,,health or medical or biomedical research,,"If you are interested in using available data from the ELSPAC.CZ database, please follow these steps: 1) Send your request to info@celspac.cz. 2) You will be contacted by the project manager who will discuss and, if necessary, work up your project plan. 3) The ELSPAC Executive Council will assess the proposed project plans with regard to their quality and feasibility and will recommend the selected ones to be carried out. 4) If your request is approved, a contract will be concluded between the Faculty of Science at Masaryk University and your institution. 5) Data in the agreed form and extent will be provided based on this contract.",,,,,"The RECETOX Research Infrastructure (TNG is included) is supported by the Ministry of Education, Youth and Sports of the Czech Republic (LM2018121)",The authors are grateful to all participants of the TNG cohort.,
SYSDIMET,,SYSDIMET,Health Grain intervention,,"RCT, healthy diet, cereals, berries, n-3 fatty acids, dietary fibre, inflammation, endothelial dysfunction",,UEF,,,,Clinical trial,,Longitudinal,,,,Prospective,,,131,104,Finland,,"Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,,2007,2007,,,,,,Closed dataset,Contact Marjukka Kolehmainen to use data from this study,no,,health or medical or biomedical research,,Contact Marjukka Kolehmainen to use data from this study,,https://doi.org/10.1007/s00125-011-2285-3,"https://doi.org/10.1371/journal.pone.0090352,https://doi.org/10.1371/journal.pone.0022646",,"This study was supported by: the Academy of Finland (117844 and 118590 [to M. Uusitupa]; 131460 [to K. Poutanen]; 130469 [to H. Mykkänen] and 131593 [to V. D. F. de Mello]); the Kuopio University Hospital (5106, 5168, 5254 [to M. Uusitupa]); the Finnish Diabetes Research Foundation; the Sigrid Juselius Foundation; the Nordic Centre of Excellence on ‘Systems biology in controlled dietary interventions and cohort studies’ 
(SYSDIET; 070014); and the European Commission in the Communities 6th Framework Programme, Project HEALTHGRAIN (FOODCT-2005-514","We thank the laboratory technologists T. Onnukka and K. Kettunen from the Department of Clinical Nutrition, University of Eastern Finland, Kuopio, Finland, and G. Trischler from the Department of Internal Medicine II-Cardiology, University of Ulm Medical Center, Ulm, Germany for their skilful work.",
Research biobank,21.12110/1.4638-64A4-CAA2,,Research biobank,,,http://ccrmb.ee,,,,andres.salumets@ccrmb.ee,Biobank,,,,,,,,,,,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,
GDaMEW,,,GDaMEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEARS,,,PEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELIPA,,ELIPA,ELIPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLO,,,ROLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Université de Genève,21.12110/1.4D40-FAF6-165D,,Université de Genève,,,,,,,,Biobank,,,,,,,,,,,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,
INMA,,INMA,INfancia y Medio Ambiente [Environment and Childhood] Project,,,https://www.proyectoinma.org,,,"INMA – INfancia y Medio Ambiente [Environment and Childhood] Project is a research network of several Spanish groups that created a project with the aim to study the paper of the more relevant environmental pollutants in the air, water and diet during the pregnancy and beginning of life, and their effects in the growth and development.",,Population cohort,,Longitudinal,,,,Prospective,,,2242,1600,Spain,"Gipuzkoa,Barcelona,Valencia","Prenatal,Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years)",,,2003,2008,,,,,,Continuous,Released once data collected and cleaned,No,,,,,,https://doi.org/10.1093/ije/dyr054,,,,,
HBCS,,HBCS,Helsinki Birth Cohort Study,,,https://thl.fi/en/web/thlfi-en/research-and-expertwork/projects-and-programmes/helsinki-birth-cohort-study-hbcs-idefix,,,,,Birth cohort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELAGIE,,PELAGIE,"Perturbateurs Endocriniens: Étude Longitudinale sur les Anomalies de la Grossesse, l’Infertilité et l’Enfance","Perturbateurs Endocriniens: Étude Longitudinale sur les Anomalies de la Grossesse, l’Infertilité et l’Enfance",Pregnancy; Child; environment; growth; development; neurodevelopment; pesticides; solvant; occupation,http://www.pelagie-inserm.fr/,INSERM,,"The PELAGIE mother-child cohort was set up with the aim to study the effect of prenatal exposure to environmental and occupational chemicals on reproduction and child development. The PELAGIE cohort enrolled 3421 pregnant women from Brittany, France between 2002 and 2006. Offsprings were followed at delivery (n=3439) and at 2 (n=1506), 6 (n=1406) and 12 (n=1211) years old. Almost all women provided a urine samples at inclusion. Cord blood samples, maternal hair samples and pieces of placenta were collected for 55%, 60%, and 57% of the participants, respectively. A subgroup of 287 and 559 children performed a more in-depth follow-up including a clinical examination and biological sample collection at age 6 and 12 years old, respectively.",,Population cohort,,Longitudinal,,,,Prospective,,,3421,3400,France,Bretagne,"Prenatal,Newborn (0-1 months),Child (2-12 years)",,,2002,2006,,,,,,,Once a follow-up is completed and data have been processed.,No,,,,Send a first request to Cécile Chevrier (cecile.chevrier@inserm.fr),,,"https://doi.org/10.1289/ehp.1002775,https://doi.org/10.1186/1476-069X-12-102,https://doi.org/10.1016/j.envint.2015.05.009",,"Depends on the data used (birth, 2, 6, 12 years old). Main funders includes: Inserm, Institut national de Veille Sanitaire, Ministère du travail,     Ministère de la recherche, Agence Nationale de la Recherche, Afsset/Anses, DRASS de Bretagne, EU commission, Programme 189 Post Grenelle, Fondation de France","We are grateful to the midwives, obstetricians, gynecologists, sonographers, pediatricians, and families who participated in the study.",
CDDSS Knowledge base,21.12110/1.A42C-7760-477B,,CDDSS Knowledge base,,,,,,,info@bbmri.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
