tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles,label,description
Contacts,,,role,ontology_array,,,CatalogueOntologies,Contribution types,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Type(s) of contribution or role in the resource
Contacts,,,role description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Description of the role
Contacts,,,first name,,1,true,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,First name of the contact person
Contacts,,,last name,,1,true,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Last name of the contact person
Contacts,,,prefix,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"Surname prefix, if applicable"
Contacts,,,initials,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Initials of the contact person
Contacts,,,title,ontology,,,CatalogueOntologies,Titles,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Title of the contact person
Contacts,,,organisation,ref,,,,Organisations,,,,,,,,,"DataCatalogue,EMA",,Affiliated organisation of the contact person
Contacts,,,email,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Contact's email address
Contacts,,,orcid,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Orcid of the contact person
Contacts,,,homepage,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Link to contact's homepage
Contacts,,,photo,file,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Contact's photograph
Contacts,,,expertise,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Description of contact's expertise
DAPs,,,organisation,ref,1,true,,Organisations,,,,,,,,,DataCatalogue,,Institution that provides access
DAPs,,,resource,ref,1,true,,Resources,,,,,,,,,DataCatalogue,,Resource that is access or has experience with provided to
DAPs,,,is data access provider,ontology_array,,,CatalogueOntologies,DAP information,,,,,,,,,DataCatalogue,,"Description of population subset, data access levels, completeness, reason for access"
DAPs,,,reason access other,text,,,,,,,,,,,,,DataCatalogue,,"If reason access is 'other', reason for being able to access (an extract of) the data source"
DAPs,,,population subset other,text,,,,,,,,,,,,,DataCatalogue,,"If 'other' is selected above, describe the subset that can be accessed"
DAPs,,,process time,int,,,,,,,,,,,,,DataCatalogue,,"On average, how many DAYS does it take for approval/access to be obtained following an application for data access?"
Dataset mappings,,,source,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,datasource being mapped from
Dataset mappings,,,source dataset,ref,1,true,,Datasets,source,,,,,,,,"DataCatalogue,CohortStaging",,name of the table being mapped from
Dataset mappings,,,target,ref,1,true,,Extended resources,,,,,,,,,DataCatalogue,,"model being mapped to, i.e. toModel.resource + toModel.version"
Dataset mappings,,,target dataset,ref,1,true,,Datasets,target,,,,,,,,DataCatalogue,,name of the table being mapped to
Dataset mappings,,,order,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Order in which table ETLs should be executed for this source-target combination
Dataset mappings,,,description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,human readible description of the mapping
Dataset mappings,,,syntax,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"formal definition of the mapping, ideally executable code"
Datasets,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,CohortStaging",,resources that these variables are part of
Datasets,,,name,,1,true,,,,,,,,,,,"DataCatalogue,CohortStaging",,unique dataset name in the model
Datasets,,,label,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,short human readable description
Datasets,,,unit of observation,ontology,,,CatalogueOntologies,Observation targets,,,,,,,,,"DataCatalogue,CohortStaging",,defines what each record in this table describes
Datasets,,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,,,,,"DataCatalogue,CohortStaging",,enables grouping of table list into topic and to display tables in a tree
Datasets,,,description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,description of the role/function of this table
Datasets,,,number of rows,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,count of the numbe of records in this table
Datasets,,,mapped to,refback,,,,Dataset mappings,,source dataset,,,,,,,DataCatalogue,,common dataset models this dataset has been mapped into
Datasets,,,mapped from,refback,,,,Dataset mappings,,target dataset,,,,,,,DataCatalogue,,source datasets that have been mapped to this harmonised dataset
Datasets,,,since version,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,When this dataset was introduced
Datasets,,,until version,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,When this dataset was removed if applicable
Documentation,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,The resource this documentation is for
Documentation,,,name,,1,true,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Document name
Documentation,,,type,ontology,,,CatalogueOntologies,Document types,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Type of documentation
Documentation,,,description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Description of the document
Documentation,,,url,hyperlink,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Hyperlink to the source of the documentation
Documentation,,,file,file,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Optional file attachment containing the documentation
External identifiers,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Resource that this external identifier belongs to
External identifiers,,,identifier,text,1,true,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,External identifier
External identifiers,,,external identifier type,ontology,,,CatalogueOntologies,External identifier types,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,External identifier type
External identifiers,,,external identifier type other,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"If other, enter external identifier type"
Linked resources,,,main resource,ref,1,true,,RWE resources,,,,,,,,,"DataCatalogue,EMA",,
Linked resources,,,linked resource,ref,1,true,,RWE resources,,,,,,,,,"DataCatalogue,EMA",,
Linked resources,,,other linked resource,,,,,,,,,,,,,,"DataCatalogue,EMA",,"If other linked data source, enter the name of the data source (default = not applicable)"
Linked resources,,,linkage strategy,ontology,,,CatalogueOntologies,Linkage strategies,,,,,,,,,"DataCatalogue,EMA",,The linkage method that was used to link data banks. One entry per data bank
Linked resources,,,linkage variable,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If a single variable (or linkage key) is used to link a data bank to others, a name and description of the variable is provided. One entry per data bank"
Linked resources,,,linkage variable unique,bool,,,,,,,,,,,,,DataCatalogue,,"If a single variable is used to link a data bank to others, is the variable a unique identifier? One entry per data bank"
Linked resources,,,linkage completeness,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Provide a high-level description of the completeness of linkages that are currently available between data banks in the data source (max 100 words)
Linked resources,,,pre linked,bool,,,,,,,,,,,,,"DataCatalogue,EMA",,Does the data source constitute of linked data sources?
Mappings,,,source,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,EMA",,Data source that is being mapped to a (common) data model
Mappings,,,source version,,,,,,,,,,,,,,"DataCatalogue,EMA",,version of the datasource that is being mapped
Mappings,,,target,ref,1,true,,Models,,,,,,,,,"DataCatalogue,EMA",,model being mapped to
Mappings,,,target version,,,,,,,,,,,,,,"DataCatalogue,EMA",,version of the model being mapped to
Mappings,,,cdms other,,,,,,,,,,,,,,"DataCatalogue,EMA",,"if cdm is not under targets, which cdm was mapped to? (default = not applicable)"
Mappings,,,mapping status,ontology,,,CatalogueOntologies,Mapping status,,,,,,,,,"DataCatalogue,EMA",,"Mapping from collected datasets to standard/harmonised datasets, optionally including ETL syntaxes"
Mappings,,,ETL frequency,int,,,,,,,,,,,,,"DataCatalogue,EMA",,"The frequency of the ETL process, in months"
Mappings,,,ETL specification url,hyperlink,,,,,,,,,,,,,"DataCatalogue,EMA",,Link to ETL specification documentation
Mappings,,,ETL specification document,file,,,,,,,,,,,,,"DataCatalogue,EMA",,Documentation concerning ETL details
Network variables,,,network,ref,1,true,,Networks,,,,,,,,,DataCatalogue,,
Network variables,,,variable,ref,1,true,,All variables,,,,,,,,,DataCatalogue,,
Publications,,,doi,hyperlink,1,true,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Digital object identifier
Publications,,,title,text,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Publication title
Publications,,,authors,string_array,,,,,,,,,,,,,DataCatalogue,,"List of authors, one entry per author"
Publications,,,year,int,,,,,,,,,,,,,DataCatalogue,,"Year of publication (or, if unpublished, year of creation)"
Publications,,,journal,,,,,,,,,,,,,,DataCatalogue,,Journal or magazine the work was published in
Publications,,,volume,int,,,,,,,,,,,,,DataCatalogue,,Journal or magazine volume
Publications,,,number,int,,,,,,,,,,,,,DataCatalogue,,Journal or maragzine issue number
Publications,,,pagination,,,,,,,,,,,,,,DataCatalogue,,"Page numbers, separated either by commas or double-hyphens"
Publications,,,publisher,,,,,,,,,,,,,,DataCatalogue,,Publisher's name
Publications,,,school,,,,,,,,,,,,,,DataCatalogue,,School where the thesis was written (in case of thesis)
Publications,,,abstract,text,,,,,,,,,,,,,DataCatalogue,,Publication abstract
Publications,,,resources,refback,,,,Extended resources,,publications,,,,,,,DataCatalogue,,List of resources that refer to this publication
Quantitative information,,,resource,ref,1,true,,Extended resources,,,,,,,,,"DataCatalogue,EMA",,
Quantitative information,,,age group,ontology,1,true,CatalogueOntologies,Age groups,,,,,,,,,"DataCatalogue,EMA",,Select the relevant age group for this quantitative information
Quantitative information,,,population size,int,,,,,,,,,,,,,"DataCatalogue,EMA",,"Total number of unique individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year"
Quantitative information,,,active size,int,,,,,,,,,,,,,"DataCatalogue,EMA",,"Number of unique, active, or currently registered individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year"
Quantitative information,,,no individuals with samples,int,,,,,,,,,,,,,DataCatalogue,,"Number of unique individuals with records of biological samples (e.g., blood, urine) (most recent count). In the catalogue, this will accommodate counts per year"
Quantitative information,,,mean observation years,int,,,,,,,,,,,,,"DataCatalogue,EMA",,Median years for which unique individuals with records captured in the data source are observable (most recent count)
Quantitative information,,,mean years active,int,,,,,,,,,,,,,"DataCatalogue,EMA",,Median time for which unique individuals with records captured in the data source are observable (most recent count)
Quantitative information,,,median age,int,,,,,,,,,,,,,DataCatalogue,,Median age of individuals within data source
Quantitative information,,,proportion female,int,,,,,,,,,,,,,DataCatalogue,,Proportion of females in the data source
Resources,,,overview,heading,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,General information
Resources,,,id,,1,true,,,,,,,,,,,"DataCatalogue,EMA,SharedStaging,CohortStaging",,Internal identifier
Resources,,,pid,,2,,,,,,,,,,,,"DataCatalogue,EMA,SharedStaging,CohortStaging",,Persistent identifier
Resources,,,acronym,,,,,,,,,,,,,,"DataCatalogue,EMA,SharedStaging,CohortStaging",,Acronym if applicable
Resources,,,name,text,3,True,,,,,,,,,,,"DataCatalogue,EMA,SharedStaging,CohortStaging",,Name used in European projects
Data resources,,,local name,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"If different from above, name in the national language"
Organisations,,,type,ontology_array,,,CatalogueOntologies,Organisation types,,,,,,,,,"DataCatalogue,EMA,SharedStaging",,Type of organisation; in which sector is the organisation active?
Organisations,,,type other,text,,,,,,,,,,,,,"DataCatalogue,SharedStaging",,"If type is 'other', a description of type of organisation"
Organisations,,,institution,text,,,,,,,,,,,,,"DataCatalogue,EMA,SharedStaging",,"University, company, medical centre or research institutes this organisation is part of"
Organisations,,,institution acronym,,,,,,,,,,,,,,"DataCatalogue,EMA,SharedStaging",,Short name of the organisation
Organisations,,,email,email,,,,,,,,,,,,,"DataCatalogue,SharedStaging",,Contact email address for person responsible for organization entry in catalogue
Organisations,,,logo,file,,,,,,,,,,,,,"DataCatalogue,SharedStaging",,Logo of the organisation
Organisations,,,address,text,,,,,,,,,,,,,"DataCatalogue,SharedStaging",,Address of the organisation
Organisations,,,expertise,text,,,,,,,,,,,,,"DataCatalogue,SharedStaging",,A short description of the expertise of this institution
Organisations,,,country,ontology_array,,,CatalogueOntologies,Countries,,,,,,,,,"DataCatalogue,EMA,SharedStaging",,Country in which the institution head office or coordinating centre is located
Organisations,,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,,,,,"DataCatalogue,EMA,SharedStaging",,Features that describe this organisation
Organisations,,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,,,,,,"DataCatalogue,EMA,SharedStaging",,Roles of the institution in connection with data sources in the catalogue. Select one or more of the following:
Organisations,,,leading resources,refback,,,,Extended resources,,lead organisation,,,,,,,"DataCatalogue,EMA",,"Listing of data sources, cohorts, studies (etc)"
Organisations,,,additional resources,refback,,,,Extended resources,,additional organisations,,,,,,,"DataCatalogue,EMA",,"Listing of data sources, cohorts, studies (etc)"
Networks,,,type,ontology_array,,,CatalogueOntologies,Network types,,,,,,,,,DataCatalogue,,"Type of network, e.g. h2020 project"
Networks,,,features,ontology_array,,,CatalogueOntologies,Network features,,,,,,,,,"DataCatalogue,EMA",,Characterizations of the network
Studies,,,type,ontology,,,CatalogueOntologies,Study types,,,,,,,,,"DataCatalogue,EMA",,Select 1 of the following types of study
Studies,,,type other,,,,,,,,,,,,,,"DataCatalogue,EMA",,"If other, describe the type of study"
RWE resources,,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,,,,,"DataCatalogue,EMA",,Which of the following families of databanks best describe this data source
RWE resources,,,type other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If other, describe the type of datasource"
Data resources,,,keywords,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Keywords to increase findability of this resource. Try to use words that are not used in the description
Resources,,,website,hyperlink,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Link to the website or homepage
Extended resources,,,lead organisation,ref_array,,,,Organisations,,,,,,,,,"DataCatalogue,EMA",,lead organisation (e.g. research department or group) for this resource
Extended resources,,,additional organisations,ref_array,,,,Organisations,,,,,,,,,"DataCatalogue,EMA",,List the names of any additional organisations that contributed to the resource
Resources,,,description,text,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Short description
RWE resources,,,data collection description,text,,,,,,,,,,,,,"DataCatalogue,EMA",,Describe the process of collection and recording of data.
RWE resources,,,date established,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06"
RWE resources,,,start data collection,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06"
RWE resources,,,end data collection,date,,,,,,,,,,,,,"DataCatalogue,EMA",,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06"
RWE resources,,,time span description,text,,,,,,,,,,,,,DataCatalogue,,Description of time span
Extended resources,,,external identifiers,refback,,,,External identifiers,,resource,,,,,,,"DataCatalogue,EMA,CohortStaging",,"External identifier(s) for this resource (e.g. EUPASS number, UMCG register number)"
Studies,,,status,ontology,,,CatalogueOntologies,Study status,,,,,,,,,"DataCatalogue,EMA",,Status of the study
Models,,,release frequency,int,,,,,,,,,,,,,"DataCatalogue,EMA",,Refreshing rate (in months)
Cohorts,,,contact email,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Contact e-mail address for this cohort
Resources,,,contacts,refback,,,,Contacts,,resource,,,,,,,"DataCatalogue,EMA,CohortStaging",,Contact person(s)
Cohorts,,,type,ontology_array,,,CatalogueOntologies,Resource types,,,,,,,,,"DataCatalogue,CohortStaging",,"Type of resource, e.g. registry, cohort, biobank"
Cohorts,,,type other,,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"If other, describe the type of resource"
Cohorts,,,design,ontology,,,CatalogueOntologies,Cohort designs,,,,,,,,,"DataCatalogue,CohortStaging",,"The study design of this cohort, i.e. cross-sectional or longitudinal"
Cohorts,,,design description,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Short description of the study design of this cohort
Cohorts,,,design schematic,file,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,A schematic depiction of the study design of this cohort
Cohorts,,,collection type,ontology_array,,,CatalogueOntologies,Collection types,,,,,,,,,"DataCatalogue,CohortStaging",,"The data collection type of this cohort, i.e. retrospective or prospective; if both, select both"
Extended resources,,,logo,file,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,"Logo of the resource, for use on homepages etc."
Data resources,,,population,heading,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Description of the population that can potentially be captured in the resource
Data resources,,,number of participants,int,,,,,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Total number of individuals for which data is collected
Data resources,,,number of participants with samples,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Number of individuals for which samples are collected
Databanks,,,underlying population,text,,,,,,,,,,,,,DataCatalogue,,Provide a summary description of the underlying population (maximum 100 words) or URL to a description
Extended resources,,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Countries where data from this resource largely originate from
Data resources,,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Geographical regions where data from this resource largely originate from
Data resources,,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,,,,,"DataCatalogue,EMA,CohortStaging",,Which population age groups are captured in this resource? Select all that are relevant.
Cohorts,,,inclusion criteria,ontology_array,,,CatalogueOntologies,Inclusion criteria,,,,,,,,,"DataCatalogue,CohortStaging",,Inclusion criteria applied to the participants of this resource
Cohorts,,,other inclusion criteria,text,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Other inclusion criteria applied to the participants of this resource
Cohorts,,,start year,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Year when first data was collected
Cohorts,,,end year,int,,,,,,,,,,,,,"DataCatalogue,CohortStaging",,Year when last data was collected. Leave empty if collection is ongoing
Networks,,,start year,int,,,,,,,,,,,,,DataCatalogue,,Year when the network was created
Networks,,,end year,int,,,,,,,,,,,,,DataCatalogue,,Year when the network ended
RWE resources,,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,,,,,"DataCatalogue,EMA",,Select the possible causes / events that trigger the registration of a person in the data source
RWE resources,,,population entry other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If other, specify the causes of entry to the underlying population"
RWE resources,,,population exit,ontology_array,,,CatalogueOntologies,Population exit,,,,,,,,,"DataCatalogue,EMA",,Select the possible causes / events that trigger the de-registration of a person in the data source
RWE resources,,,population exit other,text,,,,,,,,,,,,,"DataCatalogue,EMA",,"If other, specify the causes of exit from the underlying population"
Data resources,,,population disease,ontology_array,,,CatalogueOntologies,Diseases,,,,,,,,,"DataCatalogue,CohortStaging",,"Does the resource collect information on a specific disease subpopulation (e.g., as in a disease-specific registry)?"
