resource,dataset,name,label,collection event.resource,collection event.name,since version,until version,is repeat of.dataset,is repeat of.name
ATHLETE_CDM,chemicals_ath,c_bpf_raw_14,,,,1.1.0,,chemicals_ath,c_bpf_raw_0
ATHLETE_CDM,chemicals_ath,c_mbzp_raw_20,,,,,,chemicals_ath,c_mbzp_raw_0
EXPANSE_CDM,General,mar_stat_p_18,,EXPANSE_CDM,Followup18,1.0,,General,mar_stat_p_0
ATHLETE_CDM,chemicals_ath,c_mbzp_raw_21,,,,,,chemicals_ath,c_mbzp_raw_0
INMA,INMA_LifeCycleWP6,ext_avg_12,Average of available items comprising the total raw score of ext_raw_12 (12-13 years),,,,,INMA_LifeCycleWP6,ext_avg_7
BIB,wp6.1_mental,aggr_raw_4,"Repeated measures of aggressive behavior, total raw score",,,,,wp6.1_mental,aggr_raw_3
BIB,wp6.1_mental,aggr_raw_5,"Repeated measures of aggressive behavior, total raw score",,,,,wp6.1_mental,aggr_raw_3
EXPANSE_CDM,Lifestyle,smoke_pyrs_cat_15,,EXPANSE_CDM,Followup15,1.0,,Lifestyle,smoke_pyrs_cat_0
BIB,wp6.1_mental,aggr_age_4,Exact age of the child (in years) when aggressive behavior was recorded for aggr_raw_,,,,,wp6.1_mental,aggr_age_3
BIB,wp6.1_mental,aggr_age_5,Exact age of the child (in years) when aggressive behavior was recorded for aggr_raw_,,,,,wp6.1_mental,aggr_age_3
BIB,wp6.1_mental,aggr_instr_4,Cohort-specific instrument used to measure the aggressive behavior for aggr_raw_,,,,,wp6.1_mental,aggr_instr_3
BIB,wp6.1_mental,aggr_instr_5,Cohort-specific instrument used to measure the aggressive behavior for aggr_raw_,,,,,wp6.1_mental,aggr_instr_3
BIB,wp6.1_mental,aggr_avg_4,Average of available items comprising the total raw score of aggr_raw_,,,,,wp6.1_mental,aggr_avg_3
BIB,wp6.1_mental,aggr_avg_5,Average of available items comprising the total raw score of aggr_raw_,,,,,wp6.1_mental,aggr_avg_3
BIB,wp6.1_mental,aggr_pro_4,Total aggressive behavior score after prorating aggr_raw_,,,,,wp6.1_mental,aggr_pro_3
BIB,wp6.1_mental,aggr_pro_5,Total aggressive behavior score after prorating aggr_raw_,,,,,wp6.1_mental,aggr_pro_3
BIB,wp6.1_mental,aggr_pc_4,"Aggressive behavior, percentiles of aggr_pro_",,,,,wp6.1_mental,aggr_pc_3
INMA,INMA_LifeCycleWP6,nvi_eval_6,,,,,,INMA_LifeCycleWP6,nvi_eval_4
BIB,wp6.2_cardio,wc_idefics_perc_3,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_4,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_5,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_6,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_7,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_8,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_9,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_10,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,wc_idefics_perc_11,Repeated WC percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,wc_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_3,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_4,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_5,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
EXPANSE_CDM,Cardiometabolic,z_bmi_10,,EXPANSE_CDM,Followup10,1.0,,Cardiometabolic,z_bmi_0
BIB,wp6.2_cardio,sbp_idefics_perc_6,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_7,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_8,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_9,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_10,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,sbp_idefics_perc_11,Repeated SBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,sbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_3,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_4,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_5,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_6,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_7,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_8,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_9,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_10,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,dbp_idefics_perc_11,Repeated DBP percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,dbp_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_3,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_4,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_5,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_6,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_7,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_8,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_9,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,triglyceride_idefics_perc_10,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
EXPANSE_CDM,Cardiometabolic,z_bmi_11,,EXPANSE_CDM,Followup11,1.0,,Cardiometabolic,z_bmi_0
BIB,wp6.2_cardio,triglyceride_idefics_perc_11,Repeated triglycerides percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,triglyceride_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_3,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_4,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_5,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_6,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_7,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_8,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_9,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_10,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.2_cardio,hdl_idefics_perc_11,Repeated HDL-C percentiles based on the IDEFICS study reference values,,,,,wp6.2_cardio,hdl_idefics_perc_2
BIB,wp6.3_respiratory,rhinitis_sx_ever_2,"Ever (lifetime) problem with sneezing, or a runny, or blocked nose  when the child DID NOT have a cold or the flu and was aged 2-3 year",,,,,wp6.3_respiratory,rhinitis_sx_ever_1
BIB,wp6.3_respiratory,n_wheezing_12m_5,"Number of wheezing attacks in the past 12 months, when the child was aged5-6 years",,,,,wp6.3_respiratory,n_wheezing_12m_3
BIB,wp6.3_respiratory,rhinitis_sx_ever_3,"Ever (lifetime) problem with sneezing, or a runny, or blocked nose  when the child DID NOT have a cold or the flu and was aged 3-4 year",,,,,wp6.3_respiratory,rhinitis_sx_ever_1
