resource,name,description,number of participants,counts.resource,counts.subpopulation,counts.age group,inclusion start,inclusion end,age groups,main medical condition,comorbidity,countries,regions,inclusion criteria,other inclusion criteria,exclusion criteria,other exclusion criteria,contact point.first name,contact point.last name,publisher,creator,license,issued,modified
CON,Prognosis study,This is a test description,,CON,Prognosis study,Adult (18+ years),,,,,,,,,,,,Bob,Ross,SSI,SSI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
CSC,Age stratification 30-49,Women aged 30 to 49 years old,,,,,,,,,,,,,,,,Bob,Ross,KI,KI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
CSC,Age stratification 50-70,Women aged 50 to 70,,,,,,,,,,,,,,,,Bob,Ross,KI,KI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
CSC,Age stratification 23-29,Women aged 23 to 29 years,,,,,,,,,,,,,,,,Bob,Ross,KI,KI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DFBC,follow-up at: 74/75,This is a test description,,,,,,,,,,Netherlands (the),,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DFBC,follow-up at: 58,This is a test description,,,,,,,,,,Netherlands (the),,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DFBC,follow-up at: 73,This is a test description,,,,,,,,,,Netherlands (the),,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DFBC,Baseline (50 years of age),This is a test description,912,,,,,,Middle-aged (45-64 years),,,Netherlands (the),,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DFBC,follow-up at: 77,This is a test description,,,,,,,,,,Netherlands (the),,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DFBC,follow-up at: 68,This is a test description,,,,,,,,,,Netherlands (the),,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DFBC,follow-up at: 63,This is a test description,,,,,,,,,,Netherlands (the),,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DNBC,children,This is a test description,96825,DNBC,children,Child (2-12 years),,,,,,Denmark,,,,,,Bob,Ross,UCPH,UCPH,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
DNBC,pregnancies,This is a test description,100410,DNBC,pregnancies,Prenatal,,,,,,Denmark,,,,,,Bob,Ross,UCPH,UCPH,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
EDEN,children,This is a test description,1400,EDEN,children,Child (2-12 years),,,,,,,Vienne,,,,,Bob,Ross,INSERM,INSERM,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
EDEN,fathers,This is a test description,,EDEN,fathers,Adult (18+ years),,,,,,,Vienne,,,,,Bob,Ross,INSERM,INSERM,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
EDEN,mothers,This is a test description,1900,EDEN,mothers,Adult (18+ years),,,,,,,Vienne,,,,,Bob,Ross,INSERM,INSERM,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
ELFE,children,This is a test description,18329,ELFE,children,Child (2-12 years),,,,,,France,,,Baseline (26-28 weeks gestation) with various follow-ups,,,Bob,Ross,INSERM,INSERM,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
ELFE,mothers,This is a test description,,ELFE,mothers,Aged (65+ years),,,,,,France,,,,,,Bob,Ross,INSERM,INSERM,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
ELFE,fathers,This is a test description,,ELFE,fathers,Aged (65+ years),,,,,,France,,,,,,Bob,Ross,INSERM,INSERM,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
MoBa,children,This is a test description,114500,,,,,,,,,Norway,,,,,,Bob,Ross,NIPH,NIPH,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
MoBa,fathers,This is a test description,75000,,,,,,,,,Norway,,,,,,Bob,Ross,NIPH,NIPH,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
mtFIT study,mtFIT study,This is a test description,13300,,,,,,,,,,,,,,,Bob,Ross,NKI,NKI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
PSYCONN,RQ-MIS,"RoQua Management Information System.
Health care consumption, socio-demographic, and diagnosis data.
PSYCONN baseline and outcome data is collected from RQ-MIS.",,,,,,,,,,,,,,,,Bob,Ross,GGZ Drenthe,GGZ Drenthe,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN,FORCE-NEN intensive,This is a test description,,FORCE-NEN,FORCE-NEN intensive,Adult (18+ years),2022,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)","Duodenal neuroendocrine tumor,Functioning neuroendocrine tumor of pancreas,Gastroenteropancreatic neuroendocrine neoplasm,Ileal neuroendocrine tumor,Jejunal neuroendocrine tumor,Neuroendocrine carcinoma of pancreas,Neuroendocrine neoplasm,Neuroendocrine neoplasm of appendix,Neuroendocrine neoplasm of esophagus,Neuroendocrine neoplasm of pancreas,Neuroendocrine tumor of pancreas,Neuroendocrine tumor of the small intestine,Non-functioning neuroendocrine tumor of pancreas",,Netherlands (the),,,"Pancreatic or Small intestine neuroendocrine tumor with a Ki-67 more than 10%, gastro-entero-pancreatic neuroendocrine carcinoma
Age 18 years and older
Able to provide broad consent
RECIST measurable disease at baseline

Exclusion criteria:
(history of) other malignancy at baseline
Hereditary syndrome as cause of the neuroendocrine neoplasm
Mixed neuroendocrine / non-neuroendocrine neoplasm
Unable to provide consent",,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
MoBa,mothers,This is a test description,95000,,,,,,,,,Norway,,,,,,Bob,Ross,NIPH,NIPH,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
FORCE-NEN,FORCE-NEN Regular,This is a test description,,FORCE-NEN,FORCE-NEN Regular,Child (2-12 years),2022,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)","C17.0 Malignant neoplasm of small intestine - Duodenum,C17.1 Malignant neoplasm of small intestine - Jejunum,C17.2 Malignant neoplasm of small intestine - Ileum,C25.4 Malignant neoplasm of pancreas - Endocrine pancreas,Carcinoid syndrome,Duodenal neuroendocrine tumor,Functioning neuroendocrine tumor of pancreas,Ileal neuroendocrine tumor,Jejunal neuroendocrine tumor,Neuroendocrine tumor of pancreas,Non-functioning neuroendocrine tumor of pancreas",,Netherlands (the),,,"Pancreatic or Small intestine neuroendocrine tumor with a Ki-67 up to 10%
Age 18 years and older
Able to provide broad consent
RECIST measurable disease at baseline

Exclusion criteria:
(history of) other malignancy at baseline
Hereditary syndrome as cause of the neuroendocrine neoplasm
Mixed neuroendocrine / non-neuroendocrine neoplasm
Unable to provide consent",,,Bob,Ross,UMCU,UMCU,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
HPV,Follow-Up at age 18,This is a test description,,HPV,Follow-Up at age 18,Adult (18+ years),,,,,,,,,,,,Bob,Ross,TUNI,TUNI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
HPV,Follow-Up at age 28,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,TUNI,TUNI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
HPV,Initial at age 14,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,TUNI,TUNI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
HPV,Follow-Up at age 22,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,TUNI,TUNI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
HPV,Follow-Up at age 25,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,TUNI,TUNI,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
INMA,Children,This is a test description,1580,,,,,,"Prenatal,Newborn (0-1 months),Infants and toddlers (2-23 months),Infant (0-23 months),Child (2-12 years),Adolescent (13-17 years)",,,Spain,,,"Criteria for inclusion of the mothers were: (i) to be resident in one of the study areas, (ii) to be at least 16 years old, (iii) to have a singleton pregnancy, (iv) to not have followed any programme of assisted reproduction, (v) to wish to deliver in the reference hospital and (vi) to have no communication problems.",,,Bob,Ross,place-holder-organisation,place-holder-organisation,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
INMA,Mothers,This is a test description,1600,,,,,,,,,Spain,,,"Criteria for inclusion of the mothers were: (i) to be resident in one of the study areas, (ii) to be at least 16 years old, (iii) to have a singleton pregnancy, (iv) to not have followed any programme of assisted reproduction, (v) to wish to deliver in the reference hospital and (vi) to have no communication problems.",,,Bob,Ross,place-holder-organisation,place-holder-organisation,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
LSC,Intermittent fasting with ketogenic supplement,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UIBK,UIBK,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
LSC,Intermittent fasting without ketogenic supplement,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UIBK,UIBK,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
LSC,Smoking cessation,This is a test description,,,,,,,,,,,,,,,,Bob,Ross,UIBK,UIBK,https://license-placeholder.nl,1900-01-01 00:00:00.0,1900-01-01 00:00:00.0
