id,pid,acronym,name,type,features,website,lead organisation,additional organisations,description,logo,logo_filename,countries,start year,end year,publications,funding statement,acknowledgements,data sources,databanks,cohorts,models,networks
Guide.MRD,,Guide.MRD,Guiding multi-modal therapies against MRD by liquid biopsies,RIA - Research and Innovation,,https://www.guidemrd-horizon.eu/,,,"Patients diagnosed with early-stage cancer frequently undergo surgery to remove the tumour. However, it is often hard to tell if the disease has already spread to other parts of the body, i.e. there is minimal residual disease (MRD). The challenge facing healthcare teams today is to determine which patients have MRD and so need additional treatment (such as chemotherapy or radiotherapy) to destroy any remaining cancer cells which may have escaped the surgeon’s scalpel, and which patients do not need further treatment. This is extremely important as many cancer treatments come with multiple side effects, so treating patients unnecessarily may cause more harm than good. At the same time, not treating patients who need it allows the cancer to reoccur and potentially spread.

Current imaging technologies are not sensitive enough to detect MRD, pointing to the need for more sensitive tests that are able to detect traces of cancer remaining in the body after surgery.

The GUIDE.MRD project aims to address this challenge by exploring how blood tests could be used to identify which patients might benefit from additional treatment, and which patients would likely not benefit from treatment. The project focuses on patients with lung, pancreatic and colorectal cancers.

Cancers usually shed small fragments of tumour DNA into the patient’s bloodstream, and these circulating tumour DNA (ctDNA) fragments can be recognised and detected by blood tests. While tests to detect ctDNA in blood samples already exist, the level of ctDNA each test can detect varies from one test to another, and the key details of how these tests work are not publicly available. This makes it hard to gauge the accuracy of the tests; once we know that the details of a blood test are accurate, clinicians, regulators and patients will have confidence in the results and healthcare teams will be able to better integrate the blood tests into their clinical practice to improve patient care. 

GUIDE.MRD’s first step will be to define standards and use them to benchmark ctDNA tests available now. When ready, the standards will be made public so that they can be used widely. The project will rank existing blood tests according to how accurate they are at correctly identifying patients as either ctDNA positive or negative. The team will then use the most promising ctDNA blood tests in a clinical trial and compare the accuracy of the ctDNA blood tests against clinical outcomes to treatments. Finally, the most accurate ctDNA blood tests will be used as a tool to help doctors and patients select the right treatment for their individual situation.",,,,2023,2028,,,,,,,,
CHIP-AML22,,CHIP-AML22,Improved diagnostics and survival for all children with Acute Myeloid Leukemia treated within the NOPHO-DB- SHIP consortium; a cross-European collaboration,EU4health - Diagnosis and Treatment,,https://vard.skane.se/en/skane-university-hospital/research-and-education/research2/childhood-international-protocol--acute-myeloid-leukaemia-2022/,,,"Paediatric acute myeloid leukaemia (AML) treatment involves a delicate balance between its efficacy and severe toxicity, which can lead to a range of complications, including mortality. Survival and genetic diagnostics are crucial to find the right treatment for patients.

The previous NOPHO-DBH AML12 protocol showed that advanced diagnostics and evaluations are essential to improving treatment outcomes. However, access to cutting-edge treatments such as targeted therapies that address the genetic basis of cancer is not equally available across European countries. To address this, the CHIP-AML22 consortium aims to focus on three key areas.

Genetic profiling of leukemic cells to identify subgroups of patients with prognostic indicators, which can help improve risk-group stratification across the consortium.
Introducing tailored treatments based on gene activity information garnered from next-generation sequencing and transcriptome analysis of leukemic cells.
Implementing and evaluating advanced treatment-response evaluations to further improve treatment outcomes.

One such example of treatment-response evaluation is the use of minimal residual disease (MRD) measurements, which assess the frequency of residual leukemic cells at specific time points during and after treatment. The previous NOPHO-DBH AML12 protocol already incorporated MRD measurements in the evaluation process, and it contributed to the study's success. Further implementation and evaluation of MRD measurements using flow cytometry and molecular/genetic methods can be employed across the consortium to improve treatment outcomes.

In implementing these focus areas, the project aims to improve overall outcomes for all children with AML treated within the NOPHO-DB-SHIP consortium. Its findings can provide valuable insights for a broader cohort of patients, including those with adult AML.",,,,2022,2025,,,,,,,,
BBMRI-ERIC,,,BBMRI-ERIC,,,,,,,,,,,,,,,,,"WHISTLER Biobank,TOPARP: Ph. II Trial of Olaparib in Patients with advanced CRPC,PRB Necker - Paris,ETH,LMB,STAMPEDE,Multiple Sclerosis and Parkinson's Tissue Bank,VirMol-Covid-19,Netherlands Brain Bank,PPHVZ Biobank,FREEZE-Biobank,THLBB,ESPAC-TPlus,CHRIS,CRB IRST,CRB-CHP,RIO,CRB Foie (Jean Verdier),HYWEL DDA BIOBANK,ICON9 Trial,BBB,BRAIN UK,CRB IGE-PCV,Case control study for risk factors of melanoma,Postpartum psychosis biobank,POETIC: Trial of perioperative endocrine therapy – individualising care,ArcticBB,ERGO Biobank,Watch and Wait Trial,IMSE II,ICHTB,UiT biobank,Sheffield Lung Research Tissue Bank,RATSS (Roots of Autism Twin Study Sweden),Sheffield Pulmonary Hypertension Biobank,MIKROTUM,BAVL,UNIBO COVID-19 PREDI-CO,BRAD,Ungdom 2000,kings college Haemato -Oncology Tissue bank,BBI Bari,Jessa Biobank,Molecular Investigation of Haematopoietic Malignancy Study,Cam-UroOnc Biorepository,PRB Creteil,Biobank Haukeland,Łukasiewicz PORT-Biobank,BB-LTTA,UK primary Sjogren's syndrome Registry,CRB Sante - Rennes,Central Biobank UMG,BioGer,Genetic risk factors in Familial Hypercholesterolemia,Newcastle MRC Centre Biobank for Rare and Neuromuscular Diseases,UPB,IBB,CRB-42-TTK,CRB-Cancer CHU de Bordeaux,Diabetes care system West-Friesland Biobank,BioCor,LUKPMI,PARISK,HEFAS Study Biobank,CDDSS Knowledge base,LAG-CRB,UPO Biobank,BioDock,WUR,UPOL,P2N-TRIBanK,DNA biobank of the Department of Molecular Genetics and Diagnostics,DARWIN1 Trial,Biobank Graz,FEPT,MTCC,Biobank Antwerpen,NMTB,Family and Health Biobank,CRB - HCL,DIPAK,TRFC,SRQ,Uppsala Biobank,CRB cancerologie du CHU Grenoble,CuraSAB Biobank,ZBBMFM,Cardamon Clinical Trial Samples,NUBIN Biobank,FTD Biobank,Risk factors studies in hereditary breast cancer,RATHL Trial,CovidPredict: central national database,NESCOG Biobank,EPIGENETEC,Region Skånes Biobank,Neurosenscol,CRB-OSR,EGEA Collection,LGDB,CRB-IGB,BBio,UTZBD,PRB - HEGP,BBD,NVvR,Zutphen Biobank,NEO Study Biobank,""Amsterdam UMC, Location VUmc"",EML-BRC,BB-OPBG,Audubon,INCA Trial,Leeds Multidisciplinary Research Tissue Bank,PACMAN Biobank,ICH,IDRIS Trial,iBDF,BACG,Neuro-CEB,ALESSANDRIA BIOBANK,MRC-UCL,RCNT,Ghana Study Biobank,""Newcastle Biobank, Newcastle University"",TCBN,CBB,BioMaSOTA,Swedish Mammography Cohort (SMC),RJAH Biobank for Studying Health and Disease,TwinsUK,Université de Genève,TRAILS biobank,HUG,USZ Biobank,Erasmus MC Central Biobank,SATURNE,CRB Measles,NESDA Biobank,GlaxoSmithKline Research Tissue Bank,Base Clinico-Biologique Glioblastomes,VinCaP,CHUV,BBUZL,Wales Cancer Bank,AMC Renal Transplant Biobank,RB,Cancer Biobank Sørlandet,BB-iMM,Bonn_ViroHumanDiag,reade,BD47,UMW Biobank,CRB-Pathologie-Cochin,USB,hartenbank,EXCEED study,DERMOBIOTEC,Obesity Research Biobank Syndicate (ORBiS),ITG Biobank,QBB,SCBBC,MMC biobank,HARC,Bristol Dental School Saliva Bank,Human Biomaterials Resource Centre,COPP,Biobank Data ILD,POUT-T,RE-AKT,BBINT,REQUITE,Cardiobiotec,HCV Research UK,HUNT,ASK-Tx,Biobanque CHU de Toulouse,MikroBonn,RWTH cBMB,Davos BioSciences AG,New Hoorn Study Biobank,UKCTOCS Longitudinal Women's Cohort (UKLWC),BB-CRESM,CBC Biotec,NIMRAD-TRANS,""Developmental Outcomes of neurodevelopmental problem, a Genetic twin Study in Sweden (DOGSS)"",NIHR Nottingham Digestive Diseases Collection,NBT,MedUni Wien Biobank,The Swansea Neurology Biobank,CRB-Clermont-Ferrand,FHRB,IRB,The Northern Sweden MONICA study,Cardiovascular risks among 60 year old men and women in Stockholm,Tumorotheque CLCC Paul Strauss,CRB PARIS SUD,BBMRI-Omics,CBK,MDCS Biobanks,VetBioBank,UK real-world lymphoid tissue bank,""St Thomas' Hospitals Plasma, serum & DNA Bio bank from patients with antiphospholipid antibodies"",Biobanque Hopital Beaujon,GOELAMStheque,UBiLim,CRB-IB,BioRiRE,BIOGEM-SARS-COV-2,Stavanger,UCORBIO,C19PTP,IVO,HIV Host genetics cohort Biobank,Baby Bio Bank,NCI Biobank,CRB IOR,The Cleft Collective,PTCL Biobank,daVEB,Biobanque d'ADN Hopital Debre,ICAReB,TKFGB,UKBB,BLUL,P2N-Popgen,Sleepy Brain: an fMRI study of sleep deprivation in healthy young and old humans,Norwich Research Park Biorepository,QUOD - Quality in Organ Donation,BBIRE,CRB Ferdinand Cabanne - Dijon,University of Sheffield,EHEC,BBOP,SUB,CRB Institut Curie,CECOS Germetheque,GenoMEL Biobank,Colorectal cancer research platform,Myeloma XII clinical trial samples,Cohort of Swedish Men (COSM),Barts Gynae Tissue Bank,SCREESCO,UCL / UCLH Biobank for Studying Health and Disease,Biobanx,Cambridge Blood and Stem Cell Biobank,Occupational asthma Biobank,Daisy Tumour Bank,B4MED,UK_HK,CRB-Bichat Claude Bernard,Lipidpoli Biobank,Bbk-00331,INMI-Biobank,CRB-HSM,Barts CTU,ID1000 Biobank,ISENET BBKG,Biobank1,PAS Biobank,DZIF Tx-Cohort e.V.,The Epidemiological Investigation of Multiple Sclerosis (EIMS),Immunobiotec,CUSL,ICB-L,Generation R Biobank,NRS Lothian Bioresource,Databiobank OncoLifeS,Centre de Ressources Biologiques du CHU de Nimes,Binnenstebuiten Biobank,VTB,The North Estonia Medical Centre,Biobanque de Picardie - Salouel,eLIXIR - Early Life Data Cross-Linkage in Research,TROPICA_Negrar,POB,CRB Marie Lannelongue,The Christie NHS Foundation Trust,IRCCS-CROB BBB,NTR Biobank,SIMPEL trials Biobank,Trøndelag,UK ME/CFS Biobank,Sun Bioscience,SUN Study,IPA-Biobank,Oogziekenhuis Biobank,BIPS Biobank Bremen,TRICON8B,BB-SDN,TransplantLines Genetics,CRB IGR,NHBR,Hyperlipidemia Biobank,PHOTO Translational bladder cancer biorepository,Fetal Aneuploidy Biobank,BVR,UHN COVID-19 Biobank,BioNER,CC BBMRI-ERIC,UvA,EVA (European Virus Archive),MULCB,BBR,NAPKON,Vascular Disease Biobank,HBOOCA,CRB-CJP,BioBank Maastricht UMC,WBE,ARREST Biobank,CRB-LRB,MMCI,NeuroBioTec,BBNM,BMBH,EpiHealth,Public Health England Seroepidemiology Unit,Ethical Tissue - University of Bradford,TEDDY,PMUDRBL,MOS Biobank,Biobanque Cardiovasculaire - Hopital Bichat,NIHR Exeter Clinical Research Facility,The Nightingale Study Biobank,ANSES,UNB,GoSHARE (Genetics of the Scottish Health Research Register),EUGENDA Biobank,CRB - Filiere Microbiologie,CRB-Sante-Brest,BBM,UKALL14 Trial,Tommy's National Reproductive Health Biobank,PALGA,Tayside Biorepository,CHWTB,Biobank Hemoglobinopathy,Utrecht Clamp Cohort Biobank,Tissue Solutions,LL,HGUVBB,CoBi,Risk factors among consecutive breast cancer patients and controls,Vital Freezing of Lymphoma Cells - A biobank for development of novel therapies in patients with malignant lymphoma,RIVM,WOLF,Infectious Diseases BioBank at King's College London,GMD-MDbank,YATSS,MINDACT Biobank,BiobankNMD-Milan,GIS-CRB,UK MND Collections,LUMC Biobank,PEPSI,BV,Banque d'ADN et de Cellules de l'ICM,EAC cohort,TEAM Biobank,NHS Greater Glasgow & Clyde Bio-Repository,STIBION,BIG,LPA,RECOGIDAS MUESTRAS Biobank,COSYCONET,PATH,IBBJ,SMART Biobank,AGNES Biobank,Biothèque UCLouvain,King's Health Partners Cancer Biobank,Auria,MuCo,Bristol Biobank,BCCHB,Sheffield Brain Tissue Bank (SBTB),UDES Biobank,IGG-GB,cBMB-CCCT,""University of Tartu, Department of Pediatrics"",ORIGO Biobank,RAPPER,Donate For Research Initiative (DRI),University of Liverpool - GCP Laboratory Facility,King's Paediatric Liver Tissue Biobank,Risk factors studies in young women of high risk of breast or ovarian cancer,FWS_BNITM,University of Southampton Faculty of Medicine Tissue Bank,DC,ZeBanC,EREN,TTB,REFGENSEP,""Oncology Clinical Trials Office, University of Oxford"",Generation Scotland,GFIB,BMBN,HUB,Hacettepe DNA/Cell Bank for Rare Diseases,National Diet and Nutrition Survey (NDNS),PHOENIX DDR-Anti-PD-L1 Trial,GEFACOVID2.0,The Maastricht Studie (Biobank),CBIB,PIAMA Biobank,LASA Biobank,TxChirTUM,BBEF,BioBank FBF,Kinderspital Zürich,National Unified Renal Translational Research Enterprise (NURTuRE),National Institute for Health Development,KI biobank,BOSOM Biobank,Scottish Human Papillomavirus Archive,NELSON Biobank,Tissue Access for Patient Benefit (TAPb),CeBE,CRB Nantes,Nostra feasibility trial,LTX,ACBB,IGTP-HUGTP Biobanc,interNational Anaplastic Thyroid Cancer Tissue Bank (iNATT),Wife and husband DNA cohort,GCKD-Biobank,BERA,EPFL,U-CAN,Erasmus Rucphen Family Study Biobank,Myobank-AFM,LifeGene,PRECISION Biobank,UNIFR,Cell&Co,NL Perinatal Screening Biobank,Leeds NIHR Biomarker Research Tissue Bank,QTL Programme at MRC HGU,Cancer Group CTR Cardiff trials,BSB,Maastricht Imaging,TwinGene,CCBH-M,BioPsy,BMPCC,RAAK Biobank,Biobank Innsbruck,Cytatheque onco-hematologique,Periodontal disease and its relation to cardiovascular disease,FCBT,Barts Cancer Institute Breast Tissue Bank,HPB Biobank,SienaGeneticBiobank,LBIH Biobank,CRB-Leish,MDSBio,BIT-Gaslini,CCPP Biobank,MU_ICS,Biobanca-FPG,CRB TBM- Tumorothéque et Banque de Muscles,ASST-PG23,UGMLC GI Biobank,SCOT translational sample collection,Med Bonn,The Airwave Health Monitoring Tissue Bank,NEUMD-Besta,HIRUZ Biobank,CRB-O CRCM,Obesity Center CGG biobank,""MPP, MFM biobanks"",UK_PILS,Helsinki Biobank,The Swedish National Cord Blood Bank,Hartwig,Janus,Manchester Eye Tissue Repository,BOR,OUS,Virobiotec,CGOD,Melanoma Inquiry Study in South Sweden,FINBB,Royal Papworth Hospital Research Tissue Bank,KNOOPGenetic and Asthma together,NMTB UL,GGD Amsterdam,Research biobank,Biobank of the department gerontology and nephrology - LUMC,HFR biobank infrastructure,PSI,Breast Cancer-metastases study,UNN,EGCUT,CRB-ICR,VSK Biobank,Biotheque virtuelle Nationale des Cancers pediatriques,Acutelines,PBKM,ARC-Net,Synapsy Mental Health Biobank Infrastructure,USZ,Oxford Radcliffe Biobank,U-TWIN Biobank,NICAM: Nilotinib treatment for c-KIT mutated advanced AMM,plasmaMATCH,National Human Biological Environmental Biobank,UK_LF1,iSpec,Biobank for patients with retinal degenerations & dystrophies,The PEACE Study,CBP,CEPH Biobank,Cardiff School of Dentistry Tooth Bank,BBN,CRB-CBMP,LUMINA Biobank,CASPS: A Phase II trial of Cediranib in ASPS patients,Human Developmental Biology Resource (HDBR),APHP - Neuropathologie du developpement,BIOLIP,BBI,NCB,UK CLL Trials Biobank,Tumorotheque,Hoorn Study Biobank,Orchid Tissue Bank,CelluloNet,IBG,CFB,MTBIO,NHS Grampian Biorepository,""Biobank, Institute for Regenerative Medicine, Sechenov First Moscow State Medical University (Sechenov University)"",INRA - CIRM,Tumorotheque Hopital Saint-Louis,Cardiff University Biobank,CRB SAT APHP.SU,BCU-IB,CRB HUPC APHP-Paris,CRB-BioJel,BioBIM,CBBMR,EPHOS-B Trial,DwarnaBio,ZBR,CY,TB-Indonesia Biobank,InfektLMU,BCHA,BBRU,BMS,Biotheque CIC0802,SCH,IMPORT HIGH trial blood samples,Epilepsy Society Brain and Tissue Bank,CRB-NSPN,Skolgen-2,LGRP Biobank,REVMA,IoN Trial,NBC,CRBIP,HBPD,UNIRAD UK Sample collection,CAPACITY registry,Barts Bioresourse,Swiss Paraplegic Research,BBV,IBM,BioBank Bonn,BBOR,BBF,CRB/CIC-P,SALTY,Oxford Musculoskeletal Biobank,East-Tallinn Central Hospital,VirTUM,CABG,Vrije Unversiteit Medisch Centrum Bacteriele Meningitis Biobank,Erasmus MC Tissue Biobank,Cytotheque hemopathies malignes - HIMIP - Toulouse,Estonian Biocentre,Bloodwise Childhood Leukaemia Cell Bank,CRB CHU d'Angers,Hematobiobanque,Hoofd-halskanker Biobank,CRB-TOXO,DiPiS,TNT: Triple Negative breast cancer Trial,CMFT Biobank,Cerebrotheque Toulouse,BIOBANCA LRPO-ISPRO,BBS,NRCHD,ALLBIO,Oxford Cell & Tissue Biobank,Arden Tissue Bank,LCHU,Karolinska Mammography Project for Risk Prediction of Breast Cancer,BMBUKE,Cluster Biobank,@inserm.fr,NLGIP,CRB-ICM,SHEEP,CBCH,University of Bern,SCMB,MYST Biobank,CIC-CRB Lille,ISENET,Reseau CRB Foie,The Northern Swedish Cohort,LBB Services,CEPA Biobank Newcastle,HMGU,BIPG,MesobanK,York Tissue Bank,Tumorotheque IRCNA-NANTES,DZHK Heart Bank,FdG,Leeds Breast Research Tissue Bank,PCRC Biobank,LBBK Biobank,DOC-MEK,ARGOS Biobank,ACU Biobank,Department of Molecular Epidemiology,Family studies of pediatric cancer,EPOZ Biobank,BIOMAX,Biobanca Bruno Boerci,""Leeds Dental Institute/School of Dentistry Leeds,  Skeletal Tissues Bank"",MRC Brain Banks Network,MDS Biobank KI,clINABdb,MeninGene Biobank,GARP Biobank,Northern Ireland Biobank (NIB),Extracted teeth Biobank,Children's Cancer and Leukaemia Group (CCLG) Tissue Bank,Laboratory Experimental Internal Medicine,ibdw,The Child and Adolescent Twin Study in Sweden (CATSS),CRB-CLB,NIHR BioResource,UCL Infection DNA Bank,Biobank06,UCL Royal Free Hospital Biobank,SWIFT-RTB,Andis – Alla Nya Diabetiker I Skåne,AMC Biobank",,
UNCAN.eu,,UNCAN.eu,European Initiative to UNderstand CANcer,Initiative,,https://uncan.eu/,,,"Implementation plans of two convergent European initiatives, the Horizon Europe Mission Cancer and the Europe’s Beating Cancer Plan, spur for a European Initiative to UNderstand CANcer (UNCAN.eu). More precisely, the UNCAN.eu initiative is one of the 13 specific objectives of the Mission on Cancer and one of the ten flagships of the Europe’s Cancer Beating plan. UNCAN.eu will bring all relevant players and information together, based on existing efforts in Europe and beyond.",,,,2022,,,,,,,,,
Equal-Life,,Equal-Life,Equal-Life,h2020,,https://www.equal-life.eu/,,,"The Equal-Life project will develop and test combined exposure data using a new approach to multi-modal exposures and their impact on children’s mental health and development. A combination of birth cohort data with new data sources will provide new insights into aspects of physical and social exposures. It will do this for a range of scales and time frames while accounting for the distribution of exposures in social groups based on gender, ethnicity and social vulnerability.",2c73d8c50d4f4d8cbcb0f8174df7be94,,,,,,,,,,,,
DigiCanTrain,,DigiCanTrain,Digital Skills Training for Health Care Professionals in Oncology,,,https://digicantrain.turkuamk.fi/,,,"The DigiCanTrain project, led by Turku University of Applied Sciences (Turun Ammattikorkeakoulu), aims to up-skilling and re-skilling the health care workforce in the cancer care setting, which then, in return, support the development of effective, person-centred health care, digital cancer care services and the use of contemporary eHealth technology by the HCPs. The DigiCanTrain project also shapes the lifelong learning dimension in higher education (EQF levels 6-8) by integrating micro-credentials to accompany ECTS and CME credit systems.

The DigiCanTrain project aims to design, pilot, and evaluate DigiCanTrain education and training programme for trainers, clinical and non-clinical HCPs. The ultimate goal is to improve access to continuing professional education, increase digital skills, and the use of eHealth technology
of clinical and non-clinical health care professionals working with people affected by cancer.

ECO will establish with Turku UAS the project's advisory board, coordinate one submodule of the DigiCanTrain programme, and act as a consult in need of other modules. ECO also has an important role in identifying and inviting significant stakeholders to the DigiCanTrain Forum and communicating, disseminating, and exploiting the project results.",,,,2023,2026,,,,,,,,
Bigpicture,,Bigpicture,A central repository of digital pathology slides to boost the development of artificial intelligence,RIA,,https://bigpicture.eu/,,,"Bigpicture will set up the first European, ethical- and General Data Protection Regulation-compliant, quality-controlled and community-based platform, in which both large-scale data and Artificial Intelligence (AI) algorithms will coexist.

Bigpicture aims to:

Develop a sustainable secure and scalable infrastructure to store pathology data.

Collect >3 million nonclinical and clinical high-quality pathology images with associated technical and biological information.

Develop tools to enable and enhance the use of the repository, such as morphological search tools.

Develop generic AI building blocks to promote the development of AI models.

Advance the regulatory, legal and ethical framework around AI in non-clinical safety testing and clinical use.",,,,2021,2027,,,,,,,,
4.UNCAN.EU,,4.UNCAN.EU,A Coordination and Support Action to prepare UNCAN.eu platform,CSA,,https://uncan.eu/,,,The 15-month coordination and support action “4.UNCAN.eu” will generate a strategic agenda to launch UNCAN.eu a European initiative to UNderstand CANcer proposed by the Mission Board and the European Beating Cancer Plan. This research agenda will be built with the final aim of achieving a new breakthrough in cancer prevention and treatment that will contribute to saving European citizens’ lives and help ensuring an optimal quality of life to disease survivors.,,,,2022,2023,,,,,,,,
REMEDIA,,REMEDIA,Impact of exposome on the course of lung diseases,h2020,,https://www.hedimed.eu/,,,"The objective of the REMEDIA project is to better understand the contribution of the exposome to two untreatable respiratory diseases: chronic obstructive pulmonary disease (COPD) and cystic fibrosis (CF). Starting from the study of patient cohorts throughout life, REMEDIA will develop a toolbox to help identify modifiable risk factors and therefore better predict disease risk. These insights will allow preventive actions to be developed and implemented.",8ca35a28724d4f8195dcee3fe19b4899,,,,,,,,,,,,
EUChildNetwork,,EUChildNetwork,The EU Child Cohort Network,harmonization,,https://lifecycle-project.eu/for-scientists/the-eu-child-cohort-network/,,,"The EU Child Cohort Network: A Europe-wide network of cohort studies started in early life Cohort studies started from pregnancy or childhood give the unique opportunity to relate early-life stressors with variation in development, health and disease throughout the life course. Moreover, advanced analytical approaches used in observational studies can help identify causality and potential for early-life interventions on factors that cannot be easily studied in experimental settings. These factors include socioeconomic circumstances, migration, urban environment as well as lifestyle-related determinants and will be given particular focus in our project. We will set up a European pregnancy and childhood cohort, the EU Child Cohort Network, which brings together extensive existing data from more than 250,000 European children and their parents. These cohorts enable studies in multiple generations because of their detailed phenotyping of both parents and children. The network will bring together existing successful multidisciplinary cohort studies, which all started before or during pregnancy or in childhood. Together, they span the full life course and contain detailed phenotypical information as well as biological samples. The EU Child Cohort Network will optimize exploitation of more than 40 available cohort resources in Europe and will enable innovative research on identification of novel markers of early-life stressors related to health trajectories throughout the full life cycle. Although LifeCycle partners and their cohorts have taken the initiative for this unique collaboration, the network is open to other partners with population-based cohorts started in early life, specifically those from Eastern and Southern Europe. To ensure that this will be a Europe-wide, open and sustainable network, which exceeds the LifeCycle Project duration, we will introduce a data sharing platform taking account of ethical, legal and societal implications, we will organize yearly meetings open to all European pregnancy and child cohort researchers and we will start a fellowship programme for exchange between these European cohorts.",34bed24fcca548f8b4994a3ba270b92c,,,,,,,,,,"NOMA,FinnGeDi,ELFE,CHOP,ENVIRONAGE,RS2,RHEA,MoBa,SYSDIMET,RS1,INMA,NFBC1986,ABCD,RS3,NFBC1966 G0,BiSC,FEF,KANC,DFBC,RCGP RSC,PCL,HELIX,GenR Next,DNBC,ROLO,Lifeways,NFBC1966,RAINE,PEARS,PELAGIE,Sepages,HGS,BIB,GENESIS,CONSTANCES,HBCS,NINFEA,SWS,GECKO,GenR,CELSPAC-TNG,PANIC","LongITools_CDM,LifeCycle_CDM","ATHLETE,LifeCycle,LongITools"
EXIMIOUS,,EXIMIOUS,Mapping exposure-induced immune effects: connecting the exposome and the immunome,h2020,,https://www.eximious-h2020.eu/,,,"The EXIMIOUS consortium—gathering experts in immunology, toxicology, clinical medicine, environmental hygiene, epidemiology, bioinformatics and sensor development—will bring about a new way of assessing the human exposome by linking innovative ways of characterizing and quantifying multiple and combined environmental exposures (exposomics) with high-dimensional immunophenotyping and profiling platforms to map early immune effects induced by these exposures (immunomics). 

In several cohorts—covering the entire lifespan, including prenatal life—we will map exposome, immune system (immunome), and other omics and clinical and socio-economic data, using two main methodologies—one starting from the exposome, the other starting from health effects—that ‘meet in the middle’.

We will use novel bioinformatics tools, based on systems immunology and machine learning to integrate and analyse these datasets and to construct ‘immune fingerprints’ that reflect a person’s lifetime exposome and identify ‘immune fingerprints’ that are early signs of poor health and predictors of disease at an individual level.

We will build a multifaceted toolbox for researchers, policy makers, clinicians and the general public containing the exposome/immunome tools developed during the project to help assess the impact of the exposome on the immune system at the level of individuals and populations. This will allow policy makers to design preventive policies to reduce healthcare and socioeconomic costs.",756aa01233d24ee58a264b4d016fb204,,,,,,,,,,,,
SOLACE,,SOLACE,Strengthening the screening of Lung Cancer in Europe,EU4health - Early Detection,,https://europeanlung.org/solace/,,,SOLACE aims to improve lung cancer screening across Europe by supporting the implementation and optimisation of LDCT screening programmes,,,,2023,2026,,,,,,,,
TAIPO,,TAIPO,Trustworthy AI tools for personalized oncology,ERC - Research,,,,,"Modern machine learning algorithms have the potential to accelerate personalized medicine in a fast pace. To date, first tasks in medicine are being addressed with machine learning algorithms that surpass humans in terms of accuracy and speed, including diagnosis, outcome prediction and treatment recommendation. However, for a widespread adoption in clinical practice, a good performance in terms of speed and accuracy is not sufficient: practitioners also need to be able to trust a model’s prediction in all stages of its life cycle.
I will facilitate an efficient interaction of clinicians with AI models by developing trustworthy AI tools for personalized oncology: First, I will develop trustworthy AI tools and algorithms for diagnosis and stratification of cancer patients. Second, I will establish a framework for reliable and transparent modelling of personalized outcomes and therapy decisions in oncology.
TAIPO will result in novel algorithms and software tools for quantifying and improving the trustworthiness of AI models that I will apply to three clinical applications: (i) trustworthy AI-based skin lesion classification based on dermoscopic images, (ii) stratification and personalized outcome modelling for patients with acute myeloid leukaemia (AML) based on omics data, and (iv) therapy recommendation for metastatic breast cancer patients based on electronic health records.
TAIPO will increase the throughput of trustworthy diagnoses of skin lesions and pave the way for low-cost access to diagnostic care. It will empower clinicians to make personalized and reliable therapy decisions, which we will demonstrate at the example of AML and metastatic breast cancer. Our novel algorithms to evaluate and improve the reliability of AI models are a crucial contribution to close the gap between in-silico AI-bench and bedside and will further push the field of trustworthy machine learning with many applications of AI in medicine.",,,,2023,2028,,,,,,,,
CANCER-RADIOMICS,,CANCER-RADIOMICS,Deep Learning for Automated Quantification of Radiographic Tumor Phenotypes,ERC - Research,,,,,"Artificial Intelligence (AI), deep-learning in particular, is propelling the field of radiology forward at a rapid pace. In oncology, AI can characterize the radiomic phenotype of the entire tumor and provide a non-invasive window into the internal growth patterns of a cancer lesion. This is especially important for patients treated with immunotherapy as, despite the remarkable success of these novel therapies, the clinical benefit remains limited to a subset. As immunotherapy is expensive and could bring unnecessary toxicity there is a direct need to identify beneficial patients, but this remains difficult in clinical practice today. Radiomic biomarkers could address this, as, unlike biopsies that only represent a sample within the tumor, radiomics can depict a full picture of each cancer lesion with a single non-invasive examination. Previous work found significant connections between radiomic data, molecular pathways, and clinical outcomes. However, a direct link between radiomics and immunotherapy response has not yet been established. This project will address this problem by analyzing unique multicentre clinical data, including non-invasive imaging, clinical outcomes, and extensive biologic characterization of patients with lung or melanoma cancer. Specifically, I will develop deep-learning radiomic biomarkers to predict immunotherapy response using baseline (WP1) and follow-up imaging (WP2). I will also investigate if radiomics can characterize underlying biological factors, and, in turn, can be used to improve response predictions (WP3). Successful completion of this proposal will demonstrate the potential of radiomics to help physicians in selecting patients who will likely benefit from immunotherapy, while sparing this expensive and potentially toxic treatment for patients who don't. This work has implications for the use of imaging-based biomarkers in the clinic, as they can be applied noninvasively, repeatedly, and at low additional cost.",,,,2020,2025,,,,,,,,
OACCUs,,OACCUs,Outdoor Against Cancer Connects us,EU4health - Quality of Life,,https://oac-connect.eu/,,,"The number of young cancer survivors is increasing. For them to recover well and enjoy an optimal quality of life, comprehensive care and follow-up encompassing social support are essential.

OACCUs takes a proactive approach to cancer survivorship. It directly addresses young cancer survivors and their social environment, including the organisations and professionals that work with them.

It is based on four pillars of healthy living: physical activity and outdoor sport, balanced nutrition, mental and physical well-being, and sustainable lifestyles and contact with nature.
The project:

promotes and facilitates outdoor physical activity and healthy lifestyles within the young cancer survivors’ community;
provides easily accessible, user-friendly information related to the four pillars; 
trains young cancer survivors and people in their social environment on the four pillars so that they can spread the OACCUs message.",,,,2022,2024,,,,,,,,
