resource,name,pid,description,subpopulations,keywords,start date,end date,age groups,number of participants,areas of information,data categories,sample categories,standardized tools,standardized tools other,core variables,contact point.first name,contact point.last name,publisher,creator,issued,modified,theme,access rights,applicable legislation,mg_draft
Sepages,T2,https://placeholder-pid/sepages/t2.org,mother's data collected during second trimester,"pregnant women,fathers","Novel tools for integrating early-life environmental exposures and child health,biomarkers",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
Sepages,Y1,https://placeholder-pid/sepages/y1.org,child's data collected between 0-1 year of age,"infants,mothers","Novel tools for integrating early-life environmental exposures and child health,biomarkers",,,Infants and toddlers (2-23 months),,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
Sepages,T1,https://placeholder-pid/sepages/t1.org,mother's data collected during first trimester,pregnant women,"Novel tools for integrating early-life environmental exposures and child health,biomarkers",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
Sepages,Y3,https://placeholder-pid/sepages/y3.org,child's data collected between 2-3 years of age,"infants,mothers","Novel tools for integrating early-life environmental exposures and child health,biomarkers",,,Child (2-12 years),2000,"""Puberty, menstruation, menopause and andropause"",Quality of life,Life course development,Symptoms and signs involving the circulatory and respiratory systems (R00-R09)",,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,11y,https://placeholder-pid/eden/11y.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ENVIRONAGE,birth,https://placeholder-pid/environage/birth.org,This is a test description,,"air pollution,child,aging,newborn,exposome,telomere length,placenta,omics,cardiovascular,system cognition",,,,,,,,,,,Bob,Ross,UHASSELT,UHASSELT,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ENVIRONAGE,4-years follow-up,https://placeholder-pid/environage/4-yearsfollow-up.org,This is a test description,,"air pollution,child,aging,newborn,exposome,telomere length,placenta,omics,cardiovascular,system cognition",,,,,,,,,,,Bob,Ross,UHASSELT,UHASSELT,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,24m,https://placeholder-pid/eden/24m.org,Around 24 months of age,,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,1y,https://placeholder-pid/eden/1y.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,8m,https://placeholder-pid/eden/8m.org,Around 8 months of age,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,3y,https://placeholder-pid/eden/3y.org,Around 3 years of age,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,birth,https://placeholder-pid/eden/birth.org,This is a test description,"mothers,children","test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,4y,https://placeholder-pid/eden/4y.org,Around 4 years of age,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,5-6y,https://placeholder-pid/eden/5-6y.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ALSPAC,Follow up,https://placeholder-pid/alspac/followup.org,This is a test description,"Mothers,Children,Partners","test1,test2",1900-01-01,,,,,,,,,,Bob,Ross,UOB,UOB,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,1y,https://placeholder-pid/elfe/1y.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DFBC,2008 F2,https://placeholder-pid/dfbc/2008f2.org,This is a test description,follow-up at: 63,"famine,Dutch,older adults,ageing,pregnancy,early life,prenatal famine exposure",1900-01-01,1900-01-01,,482,,,,,,,Bob,Ross,Amsterdam UMC (AMC),Amsterdam UMC (AMC),,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DNBC,18 months old,https://placeholder-pid/dnbc/18monthsold.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,UCPH,UCPH,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DNBC,18 years old (ongoing),https://placeholder-pid/dnbc/18yearsoldongoing.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,UCPH,UCPH,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DNBC,11 years old,https://placeholder-pid/dnbc/11yearsold.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,UCPH,UCPH,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
Sepages,Y2,https://placeholder-pid/sepages/y2.org,child's data collected between 1-2 years of age,"infants,mothers","Novel tools for integrating early-life environmental exposures and child health,biomarkers",1900-01-01,1900-01-01,Infants and toddlers (2-23 months),2000,"""Pregnancy, delivery and birth"",Other reproductive health-related information,Hospitalizations","Biological samples,Survey data,Genomics","Blood Buffy Coat,24h urine,Musculoskeletal System - Tissue (Frozen),Tissue (Frozen),Bone and Bones - Tissue (Frozen),Joints - Tissue (Frozen),Ligaments - Tissue (Frozen),Muscles - Tissue (Frozen),Tendons - Tissue (Frozen),Cartilage - Tissue (Frozen),Fascia - Tissue (Frozen),Digestive System - Tissue (Frozen),Mouth - Tissue (Frozen),Salivary Glands - Tissue (Frozen),Pharynx - Tissue (Frozen),Esophagus - Tissue (Frozen),Stomach - Tissue (Frozen),""Intestine, Small - Tissue (Frozen)"",""Intestine, Large - Tissue (Frozen)"",Rectum - Tissue (Frozen),Liver - Tissue (Frozen),Gallbladder - Tissue (Frozen),Mesentery - Tissue (Frozen),Pancreas - Tissue (Frozen),Lower Gastrointestinal Tract - Tissue (Frozen),Respiratory System - Tissue (Frozen),Nose - Tissue (Frozen),Larynx - Tissue (Frozen),Trachea - Tissue (Frozen),Bronchi - Tissue (Frozen),Bronchioles - Tissue (Frozen),Lung - Tissue (Frozen),Diaphragm - Tissue (Frozen),Urogenital System - Tissue (Frozen),Kidney - Tissue (Frozen),Ureter - Tissue (Frozen),Urinary Bladder - Tissue (Frozen),Urethra - Tissue (Frozen),""Genitalia, Female - Tissue (Frozen)"",Ovary - Tissue (Frozen),Fallopian Tubes - Tissue (Frozen),Uterus - Tissue (Frozen),Cervix Uteri - Tissue (Frozen),Vagina - Tissue (Frozen),Vulva - Tissue (Frozen),Placenta - Tissue (Frozen),""Genitalia, Male - Tissue (Frozen)"",Prostate - Tissue (Frozen),Penis - Tissue (Frozen),Testis - Tissue (Frozen),Endocrine system - Tissue (Frozen),Pituitary Gland - Tissue (Frozen),Pineal Gland - Tissue (Frozen),Thyroid Gland - Tissue (Frozen),Parathyroid Glands - Tissue (Frozen),Adrenal Glands - Tissue (Frozen),Cardiovascular System - Tissue (Frozen),Heart - Tissue (Frozen),Arteries - Tissue (Frozen),Veins - Tissue (Frozen),Capillaries - Tissue (Frozen),Lymphoid Tissue - Tissue (Frozen),Lymphatic Vessels - Tissue (Frozen),Lymph Nodes - Tissue (Frozen),Bone Marrow - Tissue (Frozen),Thymus gland - Tissue (Frozen),Spleen - Tissue (Frozen),Nervous System - Tissue (Frozen),Brain - Tissue (Frozen),Brain Stem - Tissue (Frozen),Cerebellum - Tissue (Frozen),Spinal Cord - Tissue (Frozen),Cerebral Ventricles - Tissue (Frozen),Nerve Net - Tissue (Frozen),Sense Organs - Tissue (Frozen),Eye - Tissue (Frozen),Ear - Tissue (Frozen),Olfactory Mucosa - Tissue (Frozen),Taste Buds - Tissue (Frozen),Integumentary System - Tissue (Frozen),Skin - Tissue (Frozen),Hair - Tissue (Frozen),Nails - Tissue (Frozen),Subcutaneous Tissue - Tissue (Frozen),""Mammary Glands, Human - Tissue (Frozen)""","Happiness Index,Wilson-Barona Index",,"smoking packday,vitamin intake",Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DNBC,7 years old,https://placeholder-pid/dnbc/7yearsold.org,This is a test description,children,"test1,test2",,,,,"Tobacco,Alcohol,Drugs,Nutrition,Breastfeeding,Contraception,""Pregnancy, delivery and birth""",,,,,,Bob,Ross,UCPH,UCPH,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DNBC,6 months old,https://placeholder-pid/dnbc/6monthsold.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,UCPH,UCPH,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,5y,https://placeholder-pid/eden/5y.org,Around 5 years of age,,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,30-34 week's of amenorrhoea (WA),https://placeholder-pid/eden/30-34weeksofamenorrhoeawa.org,This is a test description,mothers,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
Sepages,T3,https://placeholder-pid/sepages/t3.org,mother's data collected during third trimester,pregnant women,"Novel tools for integrating early-life environmental exposures and child health,biomarkers",,1900-01-01,"Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)",,"Age/birthdate,Sex/gender,Twin,Marital/partner status","Biological samples,Survey data,Physiological/Biochemical measurements","Adipocytes,Feces","12 Minute Walk Test / Twaalf minuten looptest (wandeltest),12-Step Participation Expectancies Questionnaire",,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,4m,https://placeholder-pid/eden/4m.org,Around 4 months of age,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,2y,https://placeholder-pid/eden/2y.org,This is a test description,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,8y,https://placeholder-pid/eden/8y.org,Around 8 years of age,children,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
EDEN,12m,https://placeholder-pid/eden/12m.org,Around 12 months of age,,"test1,test2",,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,2y,https://placeholder-pid/elfe/2y.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,8y,https://placeholder-pid/elfe/8y.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
ELFE,4-5y,https://placeholder-pid/elfe/4-5y.org,This is a test description,children,National,,,,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
PSYCONN,follow-up,https://placeholder-pid/psyconn/follow-up.org,"PSYCONN outcome data is collected from PHAMOUS, RQ-MIS, and an additional medical records file search.","RQ-MIS,PHAMOUS",schizophrenia schizofrenie psychotic psychotisch psychose databank Nederland PHAMOUS EPO PROGRS PROGR-S RQMIS RQ-MIS,1900-01-01,1900-01-01,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)",650,"Physical activity,Age/birthdate,Sex/gender,Twin,Family and household structure,Education,""Ethnicity, race and religion"",Labour force and retirement,""Income, possessions, and benefits"",Other socio-demographic and economic characteristics,Tobacco,Alcohol,Drugs,Nutrition,Personal hygiene,Sleep,Other and unspecified lifestyle information,Perception of health,Quality of life,Functional limitations,""Other perception of health, quality of life and functional limitation-related information"",Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Symptoms and signs involving the digestive system and abdomen (R10-R19),Symptoms and signs involving nervous and musculoskeletal systems (R25-R29),""Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)"",General symptoms and signs (R50-R69),Symptoms related to multiple categories,Medication and supplement intake,Other and unspecified pharmacological interventions,Physical therapy interventions,""Cognitive, psychological and sensory interventions"",Educational and health promotion interventions,Other and unspecified non-pharmacological interventions,Health and community care services utilization,Visits to health professionals,Hospitalizations,Community and social care,Other health and community care,Vital status,Physical characteristics,Anthropometry,Circulation and respiration,Other physical measures and assessments,Hematology,Biochemistry,Other laboratory measures,Psychological distress and emotions,Other psychological measures and assessments,Life events,""Other life events, plans and beliefs"",""Preschool, school and work life"",Preschool life,School life,Work life,""Other preschool, school or work life-related information"",Social network,Social participation,Parenting and familial environment,Other social environment characteristics,Housing characteristics,Other physical environment characteristics,Date and time-related information,Other administrative information","Biological samples,Survey data,Medical records,Physiological/Biochemical measurements,Other",,,,Global Assessment of Functioning (GAF),Bob,Ross,GGZ Drenthe,GGZ Drenthe,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
Sepages,Prenatal,https://placeholder-pid/sepages/prenatal.org,mother's data collected during pregnancy,pregnant women,"Novel tools for integrating early-life environmental exposures and child health,biomarkers",,,Prenatal,,,,,,,,Bob,Ross,INSERM,INSERM,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
testCohort2,test collection event for cohort 2,https://placeholder-pid/testcohort2/testcollectioneventforcohort2.org,description of test collection event for cohort 2,test subcohort 2A,"test,cohort2,Molgenis,testing",1956-06-01,1999-12-31,"Prenatal,All ages,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)",15000,"Health and community care services utilization,Visits to health professionals,Hospitalizations,Community and social care,Other health and community care,Cognitive functioning,""Cognition, personality and psychological measures and assessments"",Personality,Psychological distress and emotions,Other psychological measures and assessments",Survey data,Saliva,"Identification of Migraine Screener,Árnadóttir OT-ADL Neurobehavioral Evaluation",other test standardised tools for collection event for cohort 2,"test core variable 1 for collection event for cohort 2,test core variable 2 for collection event for cohort 2",cohort2alternativefirst,cohort2alternativelast,test lead organisation 2,test lead organisation 2,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
testCohort1,test collection event 1A,https://placeholder-pid/testcohort1/testcollectionevent1a.org,test description for test collection event 1A,test subcohort 1A,"test,cohort1,Molgenis,testing",1985-04-01,1994-04-30,"All ages,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (65-79 years),Aged (80+ years)",3500,"Laboratory measures,Hematology,Biochemistry,Microbiology,Virology,Immunology,Toxicology,Histology,Genomics,Other laboratory measures","Medical records,National registries,Genealogical records","DNA,Plasma,RNA",Abstinence Orientation Scale,test other standardised tools for collection event 1A,"test core variable 1 for collection event 1A,test core variable 2 for collection event 1A,test core variable 3 for collection event 1A",PIPM,last name PIPM,test lead organisation 2,test lead organisation 2,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,
DNBC,Gestational week 12 and 30,https://placeholder-pid/dnbc/gestationalweek12and30.org,This is a test description.,pregnancies,"test1,test2",,,,,,,,,,,Bob,Ross,UCPH,UCPH,,,http://semanticscience.org/resource/example,Non public,http://data.europa.eu/eli/reg/2022/868/oj,false
