resource,name,label,unit of observation,keywords,description,number of rows,since version,until version
PELAGIE,geocodes,database with geocodes of the participants,Patient,,database with geocodes of the participants,,,
PELAGIE,pelagie_GC_q11,Questionnaire at 11 years old of the child,Patient,,Questionnaire at 11 years old of the child (Grandir et Changer),,1.0.0,
PELAGIE,BDD_ethers,database with measurement of OPs from a maternal urine sample and in children's urine at 6 years,Patient,,database with measurement of OPs from a maternal urine sample and in children's urine at 6 years,,1.0.0,
PELAGIE,pelagie_dosage12,database with blood concentrations of effect biomarkers at 12 years old,Patient,,database with blood concentrations of effect biomarkers at 12 years old,,,
PELAGIE,pelagie_q0,Baseline questionnaire in early pregnancy and data at birth,Patient,,This table contains the variables collected at baseline for PELAGIE (pregnancy and birth),,1.0.0,
PELAGIE,harmonized,Variables harmonized for ATHLETE or LifeCycle,Patient,,Non existing variables created for ATHLETE,,1.0.0,
PELAGIE,maj_ddn_2021,Update of the date of birth,Patient,,Date of birth updated in 2021,,1.0.0,
PELAGIE,pelagie_q12,Questionnaire at 12 years old of the child,Patient,,Questionnaire at 12 years old of the child,,1.0.0,
PELAGIE,pelagie_q6,Questionnaire at 6 years old of the child,Patient,,Questionnaire at 6 years old of the child,,1.0.0,
Sepages,code_helix_athlete,Id_data,person,,Table containing Ids,484,1.0.0,
Sepages,Ultrasound_all_SLC_20220428_893,ultrasound_data,person,,Table containing data concerning ultrasound,458,1.0.0,
Sepages,bdd_grossesse_v5_1,pregnancy_data,person,,Table containing data concerning pregnancy,484,1.0.0,
Sepages,bdd_1a_v1_1,child_data,person,,Table containing data concerning first year of life of the child,484,1.0.0,
Sepages,bdd_2a_v_1_0,child_data,person,,Table containing  data concerning  second year of life of the child,484,1.0.0,
Sepages,bdd_pere_1_2,father_data,person,,Table containing data concerning father of the child SEPAGES,410,1.0.0,
Sepages,quest_mt1raa1,educational_level_mother_data,person,,Table containing data concerning mother's educational level,484,1.0.0,
Sepages,efr_mere_LMAB_20210902_26,Respiratory_function_test_mother,person,,Table containing data concerning mother's respiratory examination,484,1.0.0,
Sepages,efr_pere_LMAB_20210902_26,Respiratory_function_test_father,person,,Table containing data concerning  father's respiratory examination,484,1.0.0,
Sepages,ch_bf_mr&ag_2021-12-02_5,breastfeeding_data,person,,Table containing data concerning breastfeeding,484,1.0.0,
Sepages,tabac_passif_enf,ETS_data,person,,Table containing data concerning child's Exposure to Tobacco Smoke,484,1.0.0,
Sepages,ddn_pere,ddn_father,person,,Table containing date of birth of the father,484,1.0.0,
Sepages,base_respi_enfant_20210326,Respiratory_child_data,person,,Table containing data concerning respiratory health questionnaires for children up to 3 years old,484,1.0.0,
Sepages,PE_preg_mr_2021-12-02_379,phenols_phthalates_pregnancy_data,person,,Table containing data concerning assessment of phenols and phtalates during pregnancy,479,1.0.0,
Sepages,phenols_phthalates_infancy_mr_585_2021-12-02,phenols_phthalates_infancy_data,person,,Table containing data concerning assessment of phenols and phtalates during infancy,443,1.0.0,
Sepages,PFAS_2021_12_10,pfas_data,person,,Table containing data concerning assessment of pfas,450,1.0.0,
testCohort1,test dataset for testCohort1,label for test dataset 1,Patient,"Social participation,Social environment and relationships,Social network,Social support,Parenting and familial environment,Family mental health,Other social environment characteristics",test description for dataset 1,30000,1959,1985
testCohort1,name of test dataset 2 for test cohort 1,label for test dataset 2 for test cohort 1,observation,"DASH diet index,School age,Method of dietary assessment (M),Nutrition,Method of dietary assessment (F),Food groups (M),Leisure activities,Lifestyle and behaviours,Technological devices,Food groups (F),Nutrients (M),Nutrients (F),Supplements (M),Supplements (F),DASH diet index (M),DASH diet index (F),Physical activity,Transportation,Personal hygiene,Sleep,Misbehaviour and criminality,Other and unspecified lifestyle information,Preschool age - Method of dietary assessment,Preschool age,Preschool age - Food groups,Preschool age - Supplements,Preschool age - Nutrients,Preschool age - Dietary behavior,School age - Method of dietary assessment,School age - Nutrients,School age - Dietary behavior,School age - DASH diet index,Tobacco,Maternal smoking,Paternal smoking,Alcohol,Drugs,Method of dietary assessment (Preschool),Exact age at dietary assessment (Preschool),Food groups (Preschool),Supplements (Preschool),Nutrients (Preschool),Dietary behavior (Preschool),Method of dietary assessment (School),Exact age at dietary assessment (School),Supplements (School),Sexual behaviours and orientation,Food groups (School),Nutrients (School),Dietary behavior (School),School age - Food groups,School age - Exact age at dietary assessment,School age - Supplements,Gestational week at dietary assessment",description for test dataset 2 for test cohort 1,64000,1980,
testCohort2,test dataset for testCohort2,label for test dataset for cohort 2,medicine dispensation,"distance (traffic),Traffic,IgE (Food),Food,Allergic sensitization,Allergy,Food_IgE,Inhalant_Skin prick test,Inhalant,Grass,Built environment/neighbourhood characteristics,Physical environment,Any inhalant allergic sensitization (IgE),IgE (Inhalant),facilities_richness,main_land_use_agricultural,Chemical exposure,pm25ni,Air pollution,distance (noise),Noise,OCs & PBDEs,Chemicals,Food allergy,Inhalant allergy,Any allergy,IgE - Any food allergic sensitization,Skin prick test - Any food allergic sensitization,Food_Skin prick test,Chicken egg,Cow milk,Fish,Fruit,Rye,Inhalant_IgE,Nut,Peanut,Sesame,Shellfish,Wheat,IgE - Any inhalant allergic sensitization,IgE - House dust mite,Mould,Skin prick test - Any inhalant allergic sensitization,Skin prick test - Cat,Dog,Skin prick test - House dust mite,IgE - Cat,Tree,Anaphylaxis,Cat (Skin prick test),Skin prick test (Inhalant),Pets,Cats (any),main_land_use_continuous_urban_fabric,Cats (number),Dogs (any),Dogs (number),Furry Pets,Housing characteristics,area_level_ses_tertiles,Social context,area_level_ses_quintiles,population_density,building_density100,building_density300,connectivity_density100,connectivity_density300,access_to_public_transport_lines100,access_to_public_transport_lines300,main_land_use_industrial,main_land_use_forests,access_to_public_transport_lines500,access_to_public_transport_stops100,access_to_public_transport_stops300,access_to_public_transport_stops500,main_land_use_medium_urban_fabric,facilities_density,land_use_mix,walkability,main_land_use_airports,main_land_use_other,main_land_use_port,main_land_use_transports,main_land_use_green_urban,main_land_use_low_density,main_land_use_water,Workplace characteristics,House dust mite (Skin prick test),Passive smoking,pm25,pm25fe,Biological exposure,Other physical environment characteristics,Cat (IgE),nox,Meteorology,pm25k,pm25cu,pm25s,Any inhalant allergic sensitization  (Skin prick test),pm25si,pm25v,pm25zn,pm10,pm10si,pm25abs,pm10v,pm10zn,pm10cu,pm10fe,pm10k,pm10ni,pm10s,pmcoarse,mean_temperature,minimum_temperature,maximum_temperature,mean_relative_humidity,minimum_relative_humidity,maximum_relative_humidity,DNA_damage_UV_dose,erythemal_UV_dose,vitamin_d_UV_dose,land_surface_temperature,meteo_distance,blue_distance,Natural spaces,green_distance,blue_size,green_size,blue_access,green_access,ndvi100,ndvi500,ndvi300,lden,lden_categorical,ln_categorical,distance_traffic,traffic_load_all_roads,traffic_density,Unhealthy food environment,traffic_load_major_roads,unhealthy_facilities_density,unhealthy_facilities_density_osm,Phenols,Phthalates,PFASs,Creatinine,Metals,OPs,Cotinine,PAHs,Glycolethers,Other pesticides,Skin prick test (Food),Any food allergic sensitization (IgE),Urticaria,Any food allergic sensitization (Skin prick test),Radiation exposure,no2,House dust mite (IgE),ln",test description of dataset for cohort 2,83737,1959,1985
