columnName,label,description,columnType,required,key,tableName,refTable
CLEFTQSPEAK_Q09,9: I get upset when I need to repeat myself.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEAK_Q10,10: I feel upset when I am not understood.,,ontology,False,,visits_cleft,cleftq_answer
scoreCLEFTQSPEAK,Score of CLEFT-Q Speech Distress,,int,False,,visits_cleft,
CLEFTQSPEECHFUNCTION,CLEFT-Q Speech Function,,heading,False,,visits_cleft,
CLEFTQSPEECH_Q,HOW IS YOUR SPEECH? Answer each question by circling one number. Please answer thinking of the PAST WEEK.,,heading,False,,visits_cleft,
CLEFTQSPEECH_Q01,1: It’s hard for my family to understand my speech.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q02,2:  It’s hard for my friends to understand my speech.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q03,3: I have trouble reading out loud.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q04,4: I have trouble saying some sentences.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q05,5:I avoid using words that are hard for me to say.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q06,6: It’s hard for new people to understand my speech on the phone.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q07,"7: It‘s hard for new people to understand my
speech.",,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q08,8: I need to try hard to speak well,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q09,9: I need to repeat what I say to be understood.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q10,10: I need to speak slowly to be understood.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q11,11: I need to concentrate to speak well.,,ontology,False,,visits_cleft,cleftq_answer
CLEFTQSPEECH_Q12,12: I have trouble saying some words,,ontology,False,,visits_cleft,cleftq_answer
scoreCLEFTQSPEECH,Score of CLEFT-Q Speech function,,int,False,,visits_cleft,
cleftqappearence,Appearance,,heading,False,,visits_cleft,
CLEFTQDENTAL,CLEFT-Q Appearance of the Teeth,,heading,False,,visits_cleft,
CLEFTQDENTAL_Q,HOW DO YOUR TEETH LOOK? Answer each question by selecting one option. Please answer thinking of how your teeth look NOW. How much do you like…,How much do you like…,heading,False,,visits_cleft,
CLEFTQDENTAL_Q01,1: ...the size of your teeth?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQDENTAL_Q02,2: ...how close together your teeth are?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQDENTAL_Q03,3: ...how your teeth look when you smile?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQDENTAL_Q04,4: ...how your teeth look from the side (your profile)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQDENTAL_Q05,5: ...how straight your teeth look?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQDENTAL_Q06,6: ...showing your teeth when you smile?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQDENTAL_Q07,7: ...how your teeth look up close?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQDENTAL_Q08,8: ...how your top and bottom teeth meet when you bite?,,ontology,False,,visits_cleft,cleftq_answer2
scoreCLEFTQDENTAL,Score of CleftQ Dental,,int,False,,visits_cleft,
CLEFTQJAW,CLEFT-Q Appearance of the Jaws,,heading,False,,visits_cleft,
CLEFTQJAW_Q,HOW DO YOUR JAWS LOOK? Answer each question by circling one number. Please answer thinking of how your jaws look NOW. How much do you like...,How much do you like…,heading,False,,visits_cleft,
CLEFTQJAW_Q01,1. ...the size of your jaws?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQJAW_Q02,2. ...the shape of your jaws?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQJAW_Q03,3. ...how your jaws look in the mirror?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQJAW_Q04,4. ...how your jaws look in photos?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQJAW_Q05,5. ...how your jaws look when your mouth is closed?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQJAW_Q06,6. ...how your jaws look when you smile?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQJAW_Q07,7. ...how your jaws look from the side (your profile)?,,ontology,False,,visits_cleft,cleftq_answer2
scoreCLEFTQJAW,Score of CleftQ Jaw,,int,False,,visits_cleft,
CLEFTQNOSE,CLEFT-Q Appearance of the Nose,,heading,False,,visits_cleft,
CLEFTQNOSE_Q,HOW DOES YOUR NOSE LOOK? Answer each question by circling one number. Please answer thinking of how your nose looks NOW,How much do you like…,heading,False,,visits_cleft,
CLEFTQNOSE_Q01,1. …the length of your nose (from the top to the tip)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q02,2. …how your nose looks when you smile?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q03,3. …how the middle part of your nose looks (from the top to the tip)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q04,4. …the size of your nose?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q05,5. …how your nose looks in photos?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q06,6. …how straight your nose looks?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q07,7. …how wide your nose looks at the bottom (from side to side)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q08,8. …how your nose looks in the mirror?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q09,9. …the shape of your nose? (how  flat or raised up it is)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q10,10.…how the tip of your nose looks  (the very end of your nose)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q11,11. …how your nose looks from the side (your profile)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQNOSE_Q12,12. …how well both sides of your nose match?,,ontology,False,,visits_cleft,cleftq_answer2
score_CLEFTQNOSE,Sum score,,int,False,,visits_cleft,
CLEFTQFACE,CLEFT-Q Appearance of the Face,,heading,False,,visits_cleft,
CLEFTQFACE_Q,HOW DOES YOUR FACE LOOK? Answer each question by circling one number. Please answer thinking of how your face looks NOW. How much do you like...,How much do you like…,heading,False,,visits_cleft,
CLEFTQFACE_Q01,1: ...how your face looks when you look your best?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q02,2: ...how your face looks when you are ready to go out (like to a party)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q03,"3: ...the shape of your face (e.g., round or oval)?",,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q04,4: ...how your face looks in photos?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q05,5: ...how well both sides of your face match?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q06,6: ...how your face looks when you smile?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q07,7: ...how your face looks when you laugh?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q08,8: ...how your face looks from the side (your profile)?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQFACE_Q09,9: ...how your face looks up close?,,ontology,False,,visits_cleft,cleftq_answer2
scoreCLEFTQFACE,Score of CLEFT-Q Face,,int,False,,visits_cleft,
CLEFTQLIPS,CLEFT-Q Appearance of the Lips,,heading,False,,visits_cleft,
CLEFTQLIPS_Q,HOW DO YOUR LIPS LOOK? Answer each question by selecting one option Please answer thinking of how your lips look NOW. How much do you like…,How much do you like…,heading,False,,visits_cleft,
CLEFTQLIPS_Q01,1. …how your lips look when you smile?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q02,2. …the size of your lips?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q03,3. …how your lips look in photos?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q04,4. …how your lips look when you laugh?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q05,5. …how your lips look in the mirror?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q06,6. …how your lips look when your mouth is closed?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q07,7. …the shape of your lips?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q08,8. …how full your lips look?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQLIPS_Q09,9. …how your lips look up close?,,ontology,False,,visits_cleft,cleftq_answer2
scoreCLEFTQLIPS,Sum score,,int,False,,visits_cleft,
CLEFTQSCAR,CLEFT-Q Appearance of the Cleft Lip Scar,,heading,False,,visits_cleft,
CLEFTQSCAR_Q,HOW DOES YOUR CLEFT LIP SCAR LOOK? Answer each question by selecting one option. Please answer thinking of how your cleft lip scar looks NOW.,How much do you like…,heading,False,,visits_cleft,
CLEFTQSCAR_Q1,1. …the color of your cleft lip scar?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQSCAR_Q2,2. …how your cleft lip scar looks when you smile?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQSCAR_Q3,3. …the width of your cleft lip scar?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQSCAR_Q4,4. …the size of your cleft lip scar?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQSCAR_Q5,5. …how your cleft lip scar looks in photos?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQSCAR_Q6,6. …the shape of your cleft lip scar?,,ontology,False,,visits_cleft,cleftq_answer2
CLEFTQSCAR_Q7,7. …how your cleft lip scar looks in the mirror?,,ontology,False,,visits_cleft,cleftq_answer2
scoreCLEFTQSCAR,Sum score,,int,False,,visits_cleft,
cleft_speech,Speech,,heading,False,,visits_cleft,
ICS,Intelligibility in Context Scale,,heading,False,,visits_cleft,
ICS_instruction,Please ask the following questions,,heading,False,,visits_cleft,
ICS_Q01,Do you understand your child?,,ontology,False,,visits_cleft,ics_answer
ICS_Q02,Do immediate members of your family understand your child?,,ontology,False,,visits_cleft,ics_answer
ICS_Q03,Do extended member of your family understand your child?,,ontology,False,,visits_cleft,ics_answer
ICS_Q04,Do your child’s friends understand your child?,,ontology,False,,visits_cleft,ics_answer
ICS_Q05,Do other acquaintances understand your child?,,ontology,False,,visits_cleft,ics_answer
ICS_Q06,Do your child’s teachers understand your child?,,ontology,False,,visits_cleft,ics_answer
ICS_Q07,Do strangers understand your child?,,ontology,False,,visits_cleft,ics_answer
scoreICS_score,Sum score,,int,False,,visits_cleft,
ASQ,Ages and Stages Questionnaires (ASQ),"For children aged 2 months - 5.5 years, please enter the score for each subscale below",heading,False,,visits_cleft,
ASQ_communication,Communication,,int,False,,visits_cleft,
ASQ_gross_motor,Gross Motor,,int,False,,visits_cleft,
ASQ_fine_motor,Fine Motor,,int,False,,visits_cleft,
ASQ_problem_solving,Problem Solving,,int,False,,visits_cleft,
ASQ_personal_social,Personal-Social,,int,False,,visits_cleft,
ASQ_score,ASQ: please enter sum score,,int,False,,visits_cleft,
ASQ_which_parent,Please select which parent filled in the ASQ,,ontology_array,False,,visits_cleft,asq_which_parent
,Countries,ALL PATIENTS: Country of residence,,,,country,
id,id,,string,True,1,country,
value,value,,string,True,1,country,
,Craniosynostosis workstream visits,CRANIOSYNOSTOSIS WORKSTREAM:  Contains all information that was filled in for patients within the CRANIOSYNOSTOSIS WORKSTREAM,,,,visits_synostosis,
craniosynostosisID,Patient ID,TO BE UPDATED,string,True,1,visits_synostosis,
typeVisit,Please select the type of visit,,ontology,True,,visits_synostosis,typeVisit
date,date,,auto_id,True,,visits_synostosis,
general_info,Disease Characteristics & General Information,Not mandatory,heading,False,,visits_synostosis,
suture,Select the affected suture,,ontology,False,,visits_synostosis,suture
which_suture,Select the afffected sutures,,ontology_array,False,,visits_synostosis,which_suture
syndrome,Type of craniosynostosis?,,ref_array,False,,visits_synostosis,syndrome
pregnancy,Gestation and birth,,heading,False,,visits_synostosis,
Gestational_age,Gestational age at birth,Enter in weeks,int,False,,visits_synostosis,
Birth_weight,Birth weight,Enter in grams,int,False,,visits_synostosis,
Type_pregnancy,Type of pregnancy,,ontology,False,,visits_synostosis,pregnancy
Multiple_pregnancy,Type of multiple pregnancy,,ontology,False,,visits_synostosis,type_pregnancy
Multiple_pregnancy_other,Type of multiple pregnancy,"(Monozygotic, dizygotic, or other)",string,False,,visits_synostosis,
ART_pregnancy,Was pregnancy medically or pharmacologically assisted?,,ontology,False,,visits_synostosis,ART_pregnancy
Type_ART,How was the pregnancy assisted?,,ontology,False,,visits_synostosis,type_ART
Delivery_induced,Was the delivery induced?,,ontology,False,,visits_synostosis,yesno
Reason_induced_delivery,Why was the delivery induced?,,text,False,,visits_synostosis,
Type_delivery,Type of delivery,,ontology,False,,visits_synostosis,delivery_type
head_circumference_titel,Head circumference,,heading,False,,visits_synostosis,
head_circumference_cm,Head circumference,Please specify as cm with one decimal place,decimal,False,,visits_synostosis,
growth_arrest,Was growth arrest of the occipitofrontal head circumference present?,,ontology,False,,visits_synostosis,growth_arrest
morphological,Morphological,,heading,False,,visits_synostosis,
cephalic_index,Cephalic index,Maximal width/maximal length (Enter with one decimal place),decimal,False,,visits_synostosis,
sagittal_photoscore,Photoscore,Score on plain photographs in 3 directions on a three-point scale,heading,False,,visits_synostosis,
sagittal_photo1,Frontal bossing,,ref_array,False,,visits_synostosis,photo
sagittal_photo2,Occipital bullet,,ref_array,False,,visits_synostosis,photo
sagittal_photo3,Temporal narrowing,,ref_array,False,,visits_synostosis,photo
sagittal_photo4,Length,,ref_array,False,,visits_synostosis,photo
sagittal_photo5,Width,,ref_array,False,,visits_synostosis,photo
sagittal_photo6,Vertex  height,,ref_array,False,,visits_synostosis,photo
sagittal_photo_total,Total score,,int,False,,visits_synostosis,
metopic_photoscore,Photoscore,"Score on plain photographs in 3 directions on a three-point scale: 0 - normal, 1-moderate, and 2 -severe",heading,False,,visits_synostosis,
metopic_photo1,Hypotelorism,,ref_array,False,,visits_synostosis,photo
metopic_photo2,Shape of the forehead,,ref_array,False,,visits_synostosis,photo
metopic_photo3,Temporal depression,,ref_array,False,,visits_synostosis,photo
metopic_photo_total,Total score,,int,False,,visits_synostosis,
unicoronal_photoscore,Photoscore,"Score on plain photographs in 3 directions on a three-point scale: 0 - normal, 1-moderate, and 2 -severe",heading,False,,visits_synostosis,
unicoronal_photo1,Temporal depression,,ref_array,False,,visits_synostosis,photo
unicoronal_photo2,Orbital dystopia,,ref_array,False,,visits_synostosis,photo
unicoronal_photo3,Shape of the forehead,,ref_array,False,,visits_synostosis,photo
unicoronal_photo4,Deviation of the nose,,ref_array,False,,visits_synostosis,photo
unicoronal_photo5,Palpebral asymmetry,,ref_array,False,,visits_synostosis,photo
unicoronal_photo_total,Total score,,int,False,,visits_synostosis,
bicoronal_photoscore,Photoscore,"Score on plain photographs in 3 directions on a three-point scale: 0 - normal, 1-moderate, and 2 -severe",heading,False,,visits_synostosis,
bicoronal_photo1,Retrusion of supraorbital rim,,ref_array,False,,visits_synostosis,photo
bicoronal_photo2,Broad forehead,,ref_array,False,,visits_synostosis,photo
bicoronal_photo3,Temporal retrusion,,ref_array,False,,visits_synostosis,photo
bicoronal_photo_total,Total score,,int,False,,visits_synostosis,
lambdoid_photoscore,Photoscore,"Score on plain photographs in 3 directions on a three-point scale: 0 - normal, 1-moderate, and 2 -severe",heading,False,,visits_synostosis,
lambdoid_photo_1,Ipsilateral flattening of occiput,,ref_array,False,,visits_synostosis,photo
lambdoid_photo_2,Ipsilateral occipitomastoid bulging,,ref_array,False,,visits_synostosis,photo
lambdoid_photo_3,Contralateral parietal bulging,,ref_array,False,,visits_synostosis,photo
lambdoid_photo_total,Total score,,int,False,,visits_synostosis,
multisuture_photoscore,Photoscore,"Score on plain photographs in 3 directions on a three-point scale: 0 - normal, 1-moderate, and 2 -severe",heading,False,,visits_synostosis,
multisuture_photo1,Orbital dystopia,,ref_array,False,,visits_synostosis,photo
multisuture_photo2,Deviation of the nose,,ref_array,False,,visits_synostosis,photo
multisuture_photo3,Parietal bulging,,ref_array,False,,visits_synostosis,photo
multisuture_photo4,Shape of the occiput,,ref_array,False,,visits_synostosis,photo
multisuture_photo5,Shape of the forehead,,ref_array,False,,visits_synostosis,photo
multisuture_photo6,Total score,,int,False,,visits_synostosis,
functional,Functional,,heading,False,,visits_synostosis,
papilledema,Presence of papilledema,(hypermetropia excluded),ontology,False,,visits_synostosis,papilledema
visual_development,Visual development,,heading,False,,visits_synostosis,
amblyopia,Amblyopia,,ontology,False,,visits_synostosis,amblyopia
affected_eye,Please indicate which eye is affected,,ontology,False,,visits_synostosis,affected_eye
amblyopia_treatment,Treatment for amblyopia,,ontology_array,False,,visits_synostosis,amblyopia_treatment
amblyopia_treatment_other,If other/additional treatment was provided please specify,,string,False,,visits_synostosis,
strabismus,Strabismus,,ontology,False,,visits_synostosis,strabismus
affected_eye_strabismus,Please indicate which eye is affected,,ontology,False,,visits_synostosis,affected_eye_strabismus
strabismus_type,Strabismus type,,ontology_array,False,,visits_synostosis,strabismus_type
strabismus_treatment,Treatment for strabismus,,ontology_array,False,,visits_synostosis,strabismus_treatment
strabismus_treatment_other,If other/additional treatment was provided please specify,,string,False,,visits_synostosis,
multisuture_breathing,Breathing disorders,,heading,False,,visits_synostosis,
multisuture_osa,Obstructive sleep apnoea,,ontology,False,,visits_synostosis,multisuture_osa
multisuture_osa_severity,Severity of sleep apnoea,,ontology,False,,visits_synostosis,multisuture_osa_severity
multisut_osa_treatment,Treatment for obstructive sleep apnoea,,ontology_array,False,,visits_synostosis,multisut_osa_treatment
multisuture_orodental,Orodental,,heading,False,,visits_synostosis,
multisuture_malocclusion,(Mal-)Occlusion class,,ontology,False,,visits_synostosis,multisuture_malocclusion
multisuture_dental_arch,Dental arch morphology,,text,False,,visits_synostosis,
multisuture_ent,ENT,,heading,False,,visits_synostosis,
multisuture_hearing,Hearing assessment,,ontology,False,,visits_synostosis,multisuture_hearing
multisuture_hearing_test,Which diagnostic test was used?,,ontology_array,False,,visits_synostosis,multisuture_hearing_test
hearingloss_type,Please specify the type of hearing loss,,ontology,False,,visits_synostosis,hearingloss_type
hearing_threshold_r,Hearing threshold of the right ear,Please enter in dB with one decimal place,decimal,False,,visits_synostosis,
hearing_threshold_l,Hearing threshold of the left ear,Please enter in dB with one decimal place,decimal,False,,visits_synostosis,
surgery,Surgery,,heading,False,,visits_synostosis,
additional_surgery_type,Type of additional surgical intervention,,ontology,False,,visits_synostosis,additional_surgery_type
reason_reoperation,Reason for reoperation,,ontology,False,,visits_synostosis,reason_reoperation
reason_reoperation_other,Please specify the reason for reoperation,,string,False,,visits_synostosis,
surgery_date,Date at surgery,,auto_id,False,,visits_synostosis,
surgery_weight,Weight at surgery,in kg with one decimal place,decimal,False,,visits_synostosis,
surgery_technique,Technique,,heading,False,,visits_synostosis,
surg_adjuvant_therapy,Adjuvant therapy,,ontology_array,False,,visits_synostosis,surg_adjuvant_therapy
surgery_technique_vault,Vault surgery,,ontology_array,False,,visits_synostosis,surg_tech_vault
surgery_technique_midface,Midface surgery,,ontology_array,False,,visits_synostosis,surg_tech_midface
surgery_technique_hydrocephalus,Hydrocephalus surgery,,ontology_array,False,,visits_synostosis,surg_tech_hydrocephalus
surgery_technique_aesthetic,Aesthetic surgery,,ontology_array,False,,visits_synostosis,surg_tech_aesthetic
surgery_technique_osm,Removal of osteosynthesis material,,ontology_array,False,,visits_synostosis,surg_tech_osm
surgery_technique_other_ft,Please indicate which technique was used if none of the above apply,,string,False,,visits_synostosis,
surgery_ICP_measured,Was intracranial pressure measured invasively?,,ontology,False,,visits_synostosis,surg_icp_measure
surgery_technique_ICP,Invasive intracranial pressure measurement,,ontology_array,False,,visits_synostosis,surg_tech_ICP
complication,Complications,,heading,False,,visits_synostosis,
complication_occurence,Has a complication occurred?,Complications should be reported up to 30 days after surgery.,ontology,False,,visits_synostosis,complication_occurence
complication_severity,Severity of complication,,ref_array,False,,visits_synostosis,complication_severity
complication_description,Please describe the complication,,ontology,False,,visits_synostosis,complication_description
complication_description_ft,Please describe the complication,,text,False,,visits_synostosis,
complication_date,Please enter the date of the complication,,date,False,,visits_synostosis,
complication_occurence_second,Has a second complication occurred?,Complications should be reported up to 30 days after surgery.,ontology,False,,visits_synostosis,complication_occurence
complication_severity_second,Severity of complication,,ref_array,False,,visits_synostosis,complication_severity
complication_description_second,Please describe the complication,,ontology,False,,visits_synostosis,complication_description
complication_description_ft_two,Please describe the complication,,text,False,,visits_synostosis,
