Contacts,,orcid,,,,,,,,,,Orcid of the contact person,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging,UMCUCohorts",,
Contacts,,homepage,,,,,,,,,foaf:workplaceHomepage,Link to contact's homepage,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging",,
Contacts,,photo,file,,,,,,,,foaf:img,Contact's photograph,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging",,
Contacts,,expertise,,,,,,,,,,Description of contact's expertise,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging",,
tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
ContactPersons,,,,,,,,,,,"http://semanticscience.org/resource/SIO_000498,http://purl.obolibrary.org/obo/NCIT_C25461","A person is an object that has certain capacities or attributes constituting personhood. In RD3: researcher or contactperson involved in the study and/or affliated with organisation.","RD3, DCAT"
ContactPersons,,identifier,string,1,TRUE,,,,,,"http://purl.obolibrary.org/obo/NCIT_C94034,http://purl.obolibrary.org/obo/NCIT_C25364","A unique symbol that establishes identity of the qualified person.","RD3, DCAT"
ContactPersons,,fullName,string,,,,,,,,"http://semanticscience.org/resource/SIO_000183,http://purl.obolibrary.org/obo/GSSO_001755","A personal name is a name to identify an individual person and usually comprises of a first name and a last name.","RD3, DCAT"
ContactPersons,,alternativeIdentifier,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C90353,"A backup sequence of characters used to identify an entity.","RD3, DCAT"
ContactPersons,,firstName,string,,,,,,,,"http://semanticscience.org/resource/SIO_000181,http://purl.obolibrary.org/obo/NCIT_C40974","A first name is a name that denotes a specific individual between members of a group of individuals, whose members usually share the same surname.","RD3, DCAT"
ContactPersons,,middleInitials,string,,,,,,,,"http://semanticscience.org/resource/SIO_001317,http://purl.obolibrary.org/obo/NCIT_C166237","A middle name is a name assigned to an individual that is not the first or last name.","RD3, DCAT"
ContactPersons,,lastName,string,,,,,,,,"http://semanticscience.org/resource/SIO_000182,http://purl.obolibrary.org/obo/NCIT_C40975","A last name (surname) is a name added to a given name and is part of a personal name and is often the family name.","RD3, DCAT"
ContactPersons,,email,email,,,,,,,,"http://semanticscience.org/resource/SIO_001323,http://purl.obolibrary.org/obo/NCIT_C42775","An email address is an identifier to send mail to particular electronic mailbox of a contact person or organization.","RD3, DCAT"
ContactPersons,,primaryOrganisation,ontology,,,,Organisations,,,,http://purl.obolibrary.org/obo/NCIT_C25412,"The most significant institute associated to this person.","RD3, DCAT"
