order,name,code,parent,ontologyTermURI
83,A02AD01 (ordinary salt combinations),A02AD01,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093604
84,A02AD02 (magaldrate),A02AD02,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093605
85,A02AD03 (almagate),A02AD03,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093606
86,A02AD04 (hydrotalcite),A02AD04,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093607
87,A02AD05 (almasilate),A02AD05,"A02AD (Combinations and complexes of aluminium, calcium and magnesium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093608
88,A02AF (Antacids with antiflatulents),A02AF,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093609
89,A02AF01 (magaldrate and antiflatulents),A02AF01,A02AF (Antacids with antiflatulents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093610
90,A02AF02 (ordinary salt combinations and antiflatulents),A02AF02,A02AF (Antacids with antiflatulents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093611
91,A02AG (Antacids with antispasmodics),A02AG,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093612
92,A02AH (Antacids with sodium bicarbonate),A02AH,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093613
93,"A02AX (Antacids, other combinations)",A02AX,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093614
94,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),A02B,A02 (DRUGS FOR ACID RELATED DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093615
95,A02BA (H2-receptor antagonists),A02BA,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093616
96,A02BA01 (cimetidine),A02BA01,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093617
97,A02BA02 (ranitidine),A02BA02,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093618
98,A02BA03 (famotidine),A02BA03,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093619
99,A02BA04 (nizatidine),A02BA04,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093620
100,A02BA05 (niperotidine),A02BA05,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093621
101,A02BA06 (roxatidine),A02BA06,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093622
102,A02BA07 (ranitidine bismuth citrate),A02BA07,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093623
103,A02BA08 (lafutidine),A02BA08,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093624
104,"A02BA51 (cimetidine, combinations)",A02BA51,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093625
105,"A02BA53 (famotidine, combinations)",A02BA53,A02BA (H2-receptor antagonists),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093626
106,A02BB (Prostaglandins),A02BB,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093627
107,A02BB01 (misoprostol),A02BB01,A02BB (Prostaglandins),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093628
108,A02BB02 (enprostil),A02BB02,A02BB (Prostaglandins),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093629
109,A02BC (Proton pump inhibitors),A02BC,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093630
110,A02BC01 (omeprazole),A02BC01,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093631
111,A02BC02 (pantoprazole),A02BC02,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093632
112,A02BC03 (lansoprazole),A02BC03,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093633
113,A02BC04 (rabeprazole),A02BC04,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093634
114,A02BC05 (esomeprazole),A02BC05,A02BC (Proton pump inhibitors),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093635
115,A02BD (Combinations for eradication of Helicobacter pylori),A02BD,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093636
116,"A02BD01 (omeprazole, amoxicillin and metronidazole)",A02BD01,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093637
117,"A02BD02 (lansoprazole, tetracycline and metronidazole)",A02BD02,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093638
118,"A02BD03 (lansoprazole, amoxicillin and metronidazole)",A02BD03,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093639
119,"A02BD04 (pantoprazole, amoxicillin and clarithromycin)",A02BD04,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093640
120,"A02BD05 (omeprazole, amoxicillin and clarithromycin)",A02BD05,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093641
121,"A02BD06 (esomeprazole, amoxicillin and clarithromycin)",A02BD06,A02BD (Combinations for eradication of Helicobacter pylori),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093642
122,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),A02BX,A02B (DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093643
123,A02BX01 (carbenoxolone),A02BX01,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093644
124,A02BX02 (sucralfate),A02BX02,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093645
125,A02BX03 (pirenzepine),A02BX03,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093646
126,A02BX04 (methiosulfonium chloride),A02BX04,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093647
127,A02BX05 (bismuth subcitrate),A02BX05,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093648
128,A02BX06 (proglumide),A02BX06,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093649
129,A02BX07 (gefarnate),A02BX07,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093650
130,A02BX08 (sulglicotide),A02BX08,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093651
131,A02BX09 (acetoxolone),A02BX09,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093652
132,A02BX10 (zolimidine),A02BX10,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093653
133,A02BX11 (troxipide),A02BX11,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093654
134,A02BX12 (bismuth subnitrate),A02BX12,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093655
135,A02BX13 (alginic acid),A02BX13,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093656
136,"A02BX51 (carbenoxolone, combinations excl. psycholeptics)",A02BX51,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093657
137,"A02BX71 (carbenoxolone, combinations with psycholeptics)",A02BX71,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093658
138,"A02BX77 (gefarnate, combinations with psycholeptics)",A02BX77,A02BX (Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093659
139,A02X (OTHER DRUGS FOR ACID RELATED DISORDERS),A02X,A02 (DRUGS FOR ACID RELATED DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093660
140,A03 (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),A03,A (ALIMENTARY TRACT AND METABOLISM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093661
141,A03A (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),A03A,A03 (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093662
142,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",A03AA,A03A (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093663
143,A03AA01 (oxyphencyclimine),A03AA01,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093664
144,A03AA03 (camylofin),A03AA03,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093665
145,A03AA04 (mebeverine),A03AA04,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093666
146,A03AA05 (trimebutine),A03AA05,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093667
147,A03AA06 (rociverine),A03AA06,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093668
148,A03AA07 (dicycloverine),A03AA07,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093669
149,A03AA08 (dihexyverine),A03AA08,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093670
150,A03AA09 (difemerine),A03AA09,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093671
151,A03AA30 (piperidolate),A03AA30,"A03AA (Synthetic anticholinergics, esters with tertiary amino group)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093672
152,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",A03AB,A03A (DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093673
153,A03AB01 (benzilone),A03AB01,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093674
154,A03AB02 (glycopyrronium bromide),A03AB02,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093675
155,A03AB03 (oxyphenonium),A03AB03,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093676
156,A03AB04 (penthienate),A03AB04,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093677
157,A03AB05 (propantheline),A03AB05,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093678
158,A03AB06 (otilonium bromide),A03AB06,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093679
159,A03AB07 (methantheline),A03AB07,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093680
160,A03AB08 (tridihexethyl),A03AB08,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093681
161,A03AB09 (isopropamide),A03AB09,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093682
162,A03AB10 (hexocyclium),A03AB10,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093683
163,A03AB11 (poldine),A03AB11,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093684
164,A03AB12 (mepenzolate),A03AB12,"A03AB (Synthetic anticholinergics, quaternary ammonium compounds)",https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093685
