resource,name,description,subcohorts,startYear,startMonth,endYear,endMonth,ageGroups,numberOfParticipants,areasOfInformation,dataCategories,sampleCategories,standardizedTools,standardizedToolsOther,supplementaryInformation
AcuteLines,Follow-up (12 months),,,2019,September,,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,"Age/birthdate,Sex/gender,Marital/partner status,Education,Residence,Labour force and retirement,Symptoms related to multiple categories,Medication and supplements,Medication and supplement intake,Posology and protocol of administration,Other and unspecified pharmacological interventions,Visits to health professionals,Hospitalizations,Community and social care,Death,Vital status,Cause of death,Other end of life or death-related information,Cognitive functioning,Psychological distress and emotions,Identifiers,Date and time-related information,Questionnaire and interview-related information,Data and sample collection center-related information","Survey data,Medical records,National registries,Physiological/Biochemical measurements",,"Barthel index,Body Mass Index / Quetelet Index,EuroQol 5D,EuroQol Visual Analogue Scale,Fatigue Severity Scale,Geriatric Depression Scale,Katz ADL schaal,Malnutrition Universal Screening Tool,PHQ-9 Depression Test Questionnaire,Short Nutritional Assessment Questionnaire,Short QUestionnaire to ASsess Health-enhancing physical activity,Utrechtse Activiteiten Lijst,Piper Fatigue Scale-12,Outcome Priorization Tool,Patient Health Questionnaire-15,Patient Satisfaction Questionnaire Short Form,Karnofsky-score",,
AcuteLines,Follow-up (3 monthts),,,2019,September,,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,"Age/birthdate,Sex/gender,Marital/partner status,Education,Residence,Labour force and retirement,Tobacco,Alcohol,Drugs,Nutrition,Physical activity,Transportation,Personal hygiene,Sleep,Quality of life,Functional limitations,Use of assistive devices,Symptoms related to multiple categories,Medication and supplements,Medication and supplement intake,Posology and protocol of administration,Other and unspecified pharmacological interventions,Visits to health professionals,Hospitalizations,Community and social care,Death,Vital status,Cause of death,Other end of life or death-related information,Cognitive functioning,Psychological distress and emotions,Identifiers,Date and time-related information,Questionnaire and interview-related information,Data and sample collection center-related information","Survey data,Medical records,National registries,Physiological/Biochemical measurements",,"Barthel index,Body Mass Index / Quetelet Index,EuroQol 5D,EuroQol Visual Analogue Scale,Fatigue Severity Scale,Geriatric Depression Scale,Katz ADL schaal,Malnutrition Universal Screening Tool,PHQ-9 Depression Test Questionnaire,Short Nutritional Assessment Questionnaire,Short QUestionnaire to ASsess Health-enhancing physical activity,Utrechtse Activiteiten Lijst,Piper Fatigue Scale-12,Outcome Priorization Tool,Patient Health Questionnaire-15,Karnofsky-score,Patient Satisfaction Questionnaire Short Form",,
AcuteLines,Follow-up (2 years),,,2019,September,,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,"Medication and supplements,Medication and supplement intake,Posology and protocol of administration,Other and unspecified pharmacological interventions,Visits to health professionals,Hospitalizations,Community and social care,Death,Vital status,Cause of death,Other end of life or death-related information,Identifiers,Date and time-related information","Medical records,National registries",,,,
AcuteLines,Follow-up (5 years),,,2019,September,,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,"Medication and supplements,Medication and supplement intake,Posology and protocol of administration,Other and unspecified pharmacological interventions,Visits to health professionals,Hospitalizations,Community and social care,Death,Vital status,Cause of death,Other end of life or death-related information,Identifiers,Date and time-related information","Medical records,National registries",,,,
AcuteLines,Follow-up (lifelong),,,2019,September,,,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years)",,"Death,Vital status,Cause of death,Other end of life or death-related information,Identifiers,Date and time-related information",National registries,,,,
OncoLifeS,Baseline,Collection at inclusion,"Lung oncology,Gynecological oncology,Head&Neck cancer",2014,,2021,,Adult (18+ years),6000,"Death,Sex/gender,""Preschool, school and work life"",Community and social care,Alcohol,Tobacco","Survey data,Biological samples,Medical records","Tissue (FFPE),Serum,RNA,Blood,Other",,,
ImaLife,BioLife,,BioLife,2018,,,,"Middle-aged (45-64 years),Aged (65+ years)",,,"Biological samples,Imaging data","Saliva,Blood,Other",,,
ImaLife,CardioLife,,CardioLife,2018,,,,,,,"Biological samples,Imaging data",Blood,,,
ImaLife,MemoLife,,MemoLife,2021,,,,"Middle-aged (45-64 years),Aged (65+ years)",280,,Imaging data,,,,
Transplantlines,event1,,,,,,,,,,,,,,
UMCG_TEST_GEVULD,#1,Deze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vulling,#1,1955,January,,,"All ages,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (80+ years)",1250,"""Birth, pregnancy and reproductive health history"",""Puberty, menstruation, menopause and andropause"",Contraception,""Pregnancy, delivery and birth"",Fertility and sexual health,Other reproductive health-related information,Laboratory measures,Hematology,Biochemistry,Microbiology,Virology,Immunology,Toxicology,Histology,Other laboratory measures,Quality of life,Use of assistive devices,Family and household structure,Citizenship and immigrant status,Twin,Death,Vital status,Cause of death,Other end of life or death-related information,Workplace characteristics,Biological exposure","Omics,Genomics,Transcriptomics,Proteomics,Metabolomics,Medical records,Biological samples,Other",,"Abuse Risk Inventory for Women,""Acculturation, Habits, and Interests Multicultural Scale for Adolescents"",Abilhand,Algofunctionele Index knie,Algemene Competentieschaal,Adult Eating Behaviour Questionnaire,Aggression Scale,Identification of Migraine Screener,Individualized Neuromuscular Quality of Life Questionnaire,International Physical Activity Questionnaire / Internationale Vragenlijst in verband met Fysieke Activiteiten,Geriatric Anxiety Inventory - Short Form,Mictielijst / mictiedagboek,Modified Rankin Scale,Montgomery Åsberg Depression Rating Scale,Rehabilitation Compliance Scale",Other,
UMCG_TEST_GEVULD,#2,Deze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vulling,#1,1955,January,,,"All ages,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (80+ years)",1250,"Twin,Family and household structure,Citizenship and immigrant status,Death,Vital status,Cause of death,Other end of life or death-related information,Laboratory measures,Hematology,Biochemistry,Microbiology,Virology,Immunology,Toxicology,Histology,Other laboratory measures,Workplace characteristics,Biological exposure","Biological samples,Medical records,Omics,Genomics,Transcriptomics,Proteomics,Metabolomics,Other",,"Abilhand,Abuse Risk Inventory for Women,""Acculturation, Habits, and Interests Multicultural Scale for Adolescents"",Algemene Competentieschaal,Algofunctionele Index knie,Identification of Migraine Screener,Individualized Neuromuscular Quality of Life Questionnaire,International Physical Activity Questionnaire / Internationale Vragenlijst in verband met Fysieke Activiteiten,Mictielijst / mictiedagboek,Modified Rankin Scale,Montgomery Åsberg Depression Rating Scale,Rehabilitation Compliance Scale,Geriatric Anxiety Inventory - Short Form,Adult Eating Behaviour Questionnaire,Aggression Scale",Other,
UMCG_TEST_GEVULD,#3,Deze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vullingDeze tekst is puur voor vulling,"#1,#2",1955,January,,,"All ages,Infant (0-23 months),Newborn (0-1 months),Infants and toddlers (2-23 months),Child (2-12 years),Adolescent (13-17 years),Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (80+ years)",1250,"Twin,Family and household structure,Citizenship and immigrant status,Death,Vital status,Cause of death,Other end of life or death-related information,Laboratory measures,Hematology,Biochemistry,Microbiology,Virology,Immunology,Toxicology,Histology,Other laboratory measures,Workplace characteristics,Biological exposure","Biological samples,Medical records,Omics,Genomics,Transcriptomics,Proteomics,Metabolomics,Other",,"Abilhand,Abuse Risk Inventory for Women,""Acculturation, Habits, and Interests Multicultural Scale for Adolescents"",Algemene Competentieschaal,Algofunctionele Index knie,Identification of Migraine Screener,Individualized Neuromuscular Quality of Life Questionnaire,International Physical Activity Questionnaire / Internationale Vragenlijst in verband met Fysieke Activiteiten,Mictielijst / mictiedagboek,Modified Rankin Scale,Montgomery Åsberg Depression Rating Scale,Rehabilitation Compliance Scale,Geriatric Anxiety Inventory - Short Form,Adult Eating Behaviour Questionnaire,Aggression Scale",Other,
EQTL_LUNG,Start of eQTL-lung project (retrospective),Start of eQTL-lung project (retrospective),eQTL-Lung-UMCG,1998,January,2009,December,"Adult (18+ years),Young adult (18-24 years),Adult (25-44 years),Middle-aged (45-64 years),Aged (65+ years),Aged (80+ years)",450,"Tobacco,Medication and supplement intake,Surgical interventions,Radiological interventions,Laboratory diagnosis interventions,Physical characteristics,Anthropometry,Circulation and respiration,Histology,Other laboratory measures,Physical and cognitive measure and biosample-related information,Data and sample collection center-related information,Other administrative information","Biological samples,Medical records,Genomics,Transcriptomics,Physiological/Biochemical measurements","DNA,Other,RNA,Tissue (Frozen),Tissue (FFPE)",,,
