name,parent,ontologyTermURI,definition
photo-bleaching illumination,specimen_modifying_illumination,http://purl.obolibrary.org/obo/FBbi_00000384,
fluorescent label,vizualization of label conjugated to probe,http://purl.obolibrary.org/obo/FBbi_00000455,
[35]S,metabolically incorporated radioisotope,http://purl.obolibrary.org/obo/FBbi_00000126,
acridine homodimer,membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000423,
Cy5,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000450,
FRET,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000367,"Fluorescence (or Forster) resonance energy transfer; a method of estimating the distance between two fluorophores by measuring the extent of non-radiative energy transfer between the two. Experimentally, this involves selective excitation of one while observing emission from the other."
lead salt,electron-dense stain,http://purl.obolibrary.org/obo/FBbi_00000570,
secondary electron generation,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000580,"electrons generated by inelastic scattering of other radiation, the primary radiation."
continuous illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000283,
tdRFP639,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000498,
cryofixed tissue,fixation method,http://purl.obolibrary.org/obo/FBbi_00000013,
Phaseolus vulgaris lectin PHA-L),lectin,http://purl.obolibrary.org/obo/FBbi_00000427,
constrained iterative deconvolution,3D-deconvolution,http://purl.obolibrary.org/obo/FBbi_00000360,
tissue in vitreous ice embedment,embedded tissue,http://purl.obolibrary.org/obo/FBbi_00000089,"Fully hydrated tissue rapidly frozen to produce vitrified water, and maintained continuously below the glass transition temperature of water (approximately -137 deg C"
process,occurrent,http://purl.obolibrary.org/obo/BFO_0000015,"An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t."
imaged parameter,,http://purl.obolibrary.org/obo/FBbi_00000270,The physical property of the specimen that leads to the modifications of the illumination that are recorded in the image.
recorded image,imaging method,http://purl.obolibrary.org/obo/FBbi_00000265,methods and devices used for capturing an image of a real object; distinct from images created by artwork
PA-GFP,photoactivatable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000544,
Blue fluorescent protein from Aequorea victoria,fluorescent protein derived from Aequorea victoria,http://purl.obolibrary.org/obo/FBbi_00000435,
Rheinberg illumination,hollow-cone illumination,http://purl.obolibrary.org/obo/FBbi_00000293,illumination at angles less than the acceptance angle of the image-forming lens is attenuated by a filter to give a colored background of unscattered light; higher angle illumination may be filtered to give a contrasting color
membrane-permeant probe,probes for nucleic acid,http://purl.obolibrary.org/obo/FBbi_00000421,
mKate2FP,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000495,
exhaustive photon reassignment,3D-deconvolution,http://purl.obolibrary.org/obo/FBbi_00000363,
electron bombardment CCD (EBCCD),area detector,http://purl.obolibrary.org/obo/FBbi_00000302,
DiI,probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000115,
biological_process,process,http://purl.obolibrary.org/obo/GO_0008150,
critical_point dried specimen,cryofixed tissue,http://purl.obolibrary.org/obo/FBbi_00000581,specimen from which water has been removed by a process that avoids liquid-gas and solid-gas phase transitions.
HcRed1FP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000522,
eqFP611,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000521,
ANSOM,nearfield scanning optical microscopy (ANSOM),http://purl.obolibrary.org/obo/FBbi_00000349,Aperture-less NSOM.
painted graphic,line art graphic,http://purl.obolibrary.org/obo/FBbi_00000235,
Alexa Fluor 546,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000441,
in-focus phase contrast,modified objective lens,http://purl.obolibrary.org/obo/FBbi_00000324,
SPIM,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000369,single (or selective) plane illumination.
anatomical entity,biological entity,http://purl.obolibrary.org/obo/CARO_0000000,
resolution-enhancing method,,http://purl.obolibrary.org/obo/FBbi_00000321,methods for increasing the resolution beyond the classical Abbe diffraction limit
visualization by chemical attribute,visualization method,http://purl.obolibrary.org/obo/FBbi_00000397,methods of visualization that differentiate regions of the specimen on the basis of their chemical properties
SYTO Blue,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000064,
pastel painted graphic,painted graphic,http://purl.obolibrary.org/obo/FBbi_00000238,
tissue in acrylic resin embedment,tissue in plastic embedment,http://purl.obolibrary.org/obo/FBbi_00000017,
DNA probe,sequence-specific nucleic acid probe,http://purl.obolibrary.org/obo/FBbi_00000204,
Hoechst 33342,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000052,
fluor labeled protein fill,intracellular filling,http://purl.obolibrary.org/obo/FBbi_00000094,
intracellular filling,visualization of contiguous regions,http://purl.obolibrary.org/obo/FBbi_00000088,visualization of the connected regions of a cell by filling with a label
SYTO Green,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000065,
spinning disk confocal microscopy,confocal microscopy,http://purl.obolibrary.org/obo/FBbi_00000253,
graphite pencil graphic,line art graphic,http://purl.obolibrary.org/obo/FBbi_00000233,
genetically encoded tag,macromolecular probe,http://purl.obolibrary.org/obo/FBbi_00000079,
coagulating-fixative fixed tissue,chemically fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000003,
Blue fluorescent proteins from Anthozoa,fluorescent protein derived from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000479,
wide-field detection,detection method,http://purl.obolibrary.org/obo/FBbi_00000306,
horseradish peroxidase,enzyme label,http://purl.obolibrary.org/obo/FBbi_00000138,
DsRed2FP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000510,
AQ143,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000491,
nitro blue tetrazolium chloride,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000044,
non-specific protein affinity,probe for protein,http://purl.obolibrary.org/obo/FBbi_00000460,
area detector,detection method,http://purl.obolibrary.org/obo/FBbi_00000395,
TexasRed,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000453,fluorophore with ex/em 589/615
metabolically incorporated radioisotope,visualization by chemical attribute,http://purl.obolibrary.org/obo/FBbi_00000122,
differences in adsorption or binding of stain,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000598,
PA-CFP,photoactivatable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000545,
chemical composition,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000319,
no-neighbors deblurring,non-linear method,http://purl.obolibrary.org/obo/FBbi_00000358,
inelastic scattering of photons (Raman scattering),inelastic scattering,http://purl.obolibrary.org/obo/FBbi_00000589,
distribution of epitope,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000592,
kinase activity,"transferase activity, transferring phosphorus-containing groups",http://purl.obolibrary.org/obo/GO_0016301,
CyPet,Cyan fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000469,
colored pencil graphic,line art graphic,http://purl.obolibrary.org/obo/FBbi_00000232,
mKateFP,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000494,
differences in chemical composition,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000591,
focussed ion beam scanning electron microscopy (FIB-SEM),back-scattered_electron imaging,http://purl.obolibrary.org/obo/FBbi_00050000,A method of reconstructing 3D structure by combining focussed ion beam milling to remove sucessive layers from a sample block with scanning EM to image the exposed surface between each milling step.
Nile red,probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000060,
IrisFP,photoconvertible/photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000556,
batrachatoxin,affinity for specific proteins,http://purl.obolibrary.org/obo/FBbi_00000467,
RNA probe,sequence-specific nucleic acid probe,http://purl.obolibrary.org/obo/FBbi_00000215,
photomultiplier tube (PMT),spot detector,http://purl.obolibrary.org/obo/FBbi_00000295,
probe for endoplasmic reticulum,organelle-specific probe,http://purl.obolibrary.org/obo/FBbi_00000412,
complementary metal oxide semiconductor (CMOS),area detector,http://purl.obolibrary.org/obo/FBbi_00000304,
5-SFX fluorescein RNA fill,fluor labeled RNA fill,http://purl.obolibrary.org/obo/FBbi_00000091,
fluor conjugated tubulin fill,fluor labeled protein fill,http://purl.obolibrary.org/obo/FBbi_00000109,
chemically fixed tissue,fixation method,http://purl.obolibrary.org/obo/FBbi_00000002,
mTFP1,Cyan fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000489,
shadowing and plating,visualization of contiguous regions,http://purl.obolibrary.org/obo/FBbi_00000398,"visualization by depositing a label on the surface of a specimen uniformly (plating), or from a particular direction so that surface topography becomes visible (shadowing)"
mCyFP,Cyan fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000488,
enzyme label,vizualization of label conjugated to probe,http://purl.obolibrary.org/obo/FBbi_00000456,
spot detector,detection method,http://purl.obolibrary.org/obo/FBbi_00000394,
DsRed-ExpressFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000506,
fluorescent protein derived from Aequorea victoria,fluorescent protein tag,http://purl.obolibrary.org/obo/FBbi_00000420,
Alexa Fluor 594,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000444,
nearfield illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000620,
DiR,probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000117,
widefield illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000277,illumination that covers the entire field of view of the image-forming lens
living tissue,unfixed tissue,http://purl.obolibrary.org/obo/FBbi_00000025,"Unfixed fully hydrated tissue, typically employed to monitor dynamic changes in the living state."
mStrawberryFP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000529,
KatushkaFP,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000493,
bsDronpa,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000557,
absorption of illumination,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000308,
AsRed2FP,Red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000520,
single-spot confocal microscopy,confocal microscopy,http://purl.obolibrary.org/obo/FBbi_00000252,
small-molecule probe,visualization by chemical attribute,http://purl.obolibrary.org/obo/FBbi_00000403,
ZsGreenFP,Green fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000505,
structured illumination microscopy (SIM),resolution-enhancing method,http://purl.obolibrary.org/obo/FBbi_00000332,
CopGFP,Green fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000501,
cationic colloidal gold,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000053,
fixation method,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00001012,
anaxial illumination,oblique illumination,http://purl.obolibrary.org/obo/FBbi_00000291,"Illumination is distributed asymmetrically around the optic axis, typically achieved by a non-circular stop placed below the lower lens element and aperture of the condenser."
modified objective lens,optical method,http://purl.obolibrary.org/obo/FBbi_00000353,Uses an objective with extra components to manipulate the wave front in the plane of the objective aperture.
embedded tissue,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00000015,
darkfield illumination,hollow-cone illumination,http://purl.obolibrary.org/obo/FBbi_00000292,illumination restricted to angles that exceed the acceptance angle of the image-forming lens
intensified CCD (ICCD),area detector,http://purl.obolibrary.org/obo/FBbi_00000300,
AceFP,Green fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000499,
defocus phase contrast,optical method,http://purl.obolibrary.org/obo/FBbi_00000325,
freeze-substituted tissue,cryofixed tissue,http://purl.obolibrary.org/obo/FBbi_00000621,
illumination by acoustic waves,illumination method,http://purl.obolibrary.org/obo/FBbi_00000274,
Cyan fluorescent proteins from Anthozoa,fluorescent protein derived from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000480,
AzuriteFP,Blue fluorescent protein from Aequorea victoria,http://purl.obolibrary.org/obo/FBbi_00000461,
TagCFP,Cyan fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000490,
detection of UV/visible/IR photons,detection of photons,http://purl.obolibrary.org/obo/FBbi_00000378,
X-Rhodamine,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000584,fluorophore derivative of rhodamine with ex/em 580/605
narrow-field detection,detection method,http://purl.obolibrary.org/obo/FBbi_00000307,
Azami GreenFP,Green fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000500,
sub-nanosecond time-resolved fluorescence emission),fluorescence emission,http://purl.obolibrary.org/obo/FBbi_00000317,
stress-induced birefringence,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000595,
hollow-cone illumination,oblique illumination,http://purl.obolibrary.org/obo/FBbi_00000290,illumination parallel or at small angles to the optical axis is attenuated or blocked by a stop
stimulated emission depletion (STED),resolution-enhancing method,http://purl.obolibrary.org/obo/FBbi_00000334,
wtEOSFP,photoconvertible fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000554,
organelle-specific probe,small-molecule probe,http://purl.obolibrary.org/obo/FBbi_00000409,
fluorescence polarization microscopy,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000603,
"transferase activity, transferring phosphorus-containing groups",transferase activity,http://purl.obolibrary.org/obo/GO_0016772,
ethanol fixed tissue,coagulating-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000006,
high-voltage electron microscopy (HVEM),transmission electron microscopy (TEM),http://purl.obolibrary.org/obo/FBbi_00000622,
ethylene glycol-bis-succinimidyl succinate fixed tissue,crosslinking-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000009,
detection of X-ray photons,detection of photons,http://purl.obolibrary.org/obo/FBbi_00000379,
EmeraldFP,Green fluorescent protein from Aequorea,http://purl.obolibrary.org/obo/FBbi_00000471,
vibratome-sectioned tissue,sectioned tissue,http://purl.obolibrary.org/obo/FBbi_00000030,
DiD,probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000114,
Far-red fluorescent proteins from Anthozoa,fluorescent protein derived from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000484,
acetone fixed tissue,coagulating-fixative fixed tissue,http://purl.obolibrary.org/obo/FBbi_00000004,
scanning probe microscopy,microscopy,http://purl.obolibrary.org/obo/FBbi_00000344,imaging by means of a physical probe that passes over the sample
single point scanning,narrowfield illumination,http://purl.obolibrary.org/obo/FBbi_00000286,illumination by a single spot of light that is scanned across the field of view
X-ray radiography,recorded image,http://purl.obolibrary.org/obo/FBbi_00001001,Radiography using X-rays
polarized light illumination,illumination by photons,http://purl.obolibrary.org/obo/FBbi_00000350,
DsRed-Express2FP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000507,
pyronine,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000061,
mTFP0.7,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000562,
PhiYFP,Yellow fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000531,
catalytic activity,molecular_function,http://purl.obolibrary.org/obo/GO_0003824,
E2GFP,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000560,
Alexa Fluor 555,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000443,
microscopy with lenses,microscopy,http://purl.obolibrary.org/obo/FBbi_00000343,
illumination by photons,illumination method,http://purl.obolibrary.org/obo/FBbi_00000272,
7-amino-actinomycin D,membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000424,
illumination by neutrons,illumination method,http://purl.obolibrary.org/obo/FBbi_00000275,
optically-dense stain,stain with broad specificity,http://purl.obolibrary.org/obo/FBbi_00000567,
acrylic painted graphic,painted graphic,http://purl.obolibrary.org/obo/FBbi_00000236,
other radioisotope,metabolically incorporated radioisotope,http://purl.obolibrary.org/obo/FBbi_00000578,
detection method,,http://purl.obolibrary.org/obo/FBbi_00000269,media and devices employed for recording the alterations in the illumination that result from its interaction with the sample
photo-activation illumination,specimen_modifying_illumination,http://purl.obolibrary.org/obo/FBbi_00000387,
EELS imaging,electron microscopy,http://purl.obolibrary.org/obo/FBbi_00000381,
serial block face SEM (SBFSEM),back-scattered_electron imaging,http://purl.obolibrary.org/obo/FBbi_00000585,A method of reconstructing 3D structure by combining serial sectioning with scanning EM.
DsRed-monomerFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000509,
confocal microscopy,fluorescence microscopy,http://purl.obolibrary.org/obo/FBbi_00000251,
photo-switching illumination,specimen_modifying_illumination,http://purl.obolibrary.org/obo/FBbi_00000386,
TagGFP,Green fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000503,
probe for mitochondria,organelle-specific probe,http://purl.obolibrary.org/obo/FBbi_00000411,
mOrangeFP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000514,
polarization-sensitive detection,detection method,http://purl.obolibrary.org/obo/FBbi_00000352,
slit-scan confocal microscopy,confocal microscopy,http://purl.obolibrary.org/obo/FBbi_00000392,illumination and detection via a thin slit
labeled primary antibody,antibody,http://purl.obolibrary.org/obo/FBbi_00000130,
Wollaston prism,optical method,http://purl.obolibrary.org/obo/FBbi_00000326,a birefringent optical element typically used to split polarized illumination into two sets of parallel but displaced rays
SYTOX Green,membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000048,
stain with broad specificity,small-molecule probe,http://purl.obolibrary.org/obo/FBbi_00000415,
gamma ray illumination,x-ray/gamma ray illumination,http://purl.obolibrary.org/obo/FBbi_00001007,
microtome-sectioned tissue,sectioned tissue,http://purl.obolibrary.org/obo/FBbi_00000029,
narrowfield illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000278,illumination restricted to a small portion of the field of view of the imaging lens; often one or more diffraction limited spots
interference contrast,optical method,http://purl.obolibrary.org/obo/FBbi_00000330,
nearest-neighbors deblurring,non-linear method,http://purl.obolibrary.org/obo/FBbi_00000359,
SYTO Orange,membrane-permeant probe,http://purl.obolibrary.org/obo/FBbi_00000066,
beta-glucuronidase,genetically encoded enzyme,http://purl.obolibrary.org/obo/FBbi_00000078,
tissue in polyethylene glycol embedment,tissue in wax embedment,http://purl.obolibrary.org/obo/FBbi_00000022,
cholera toxin B,lectin,http://purl.obolibrary.org/obo/FBbi_00000431,
rsFastLimeFP,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000566,
differences in fluorescence lifetime,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000605,
Tetramethyl rhodamine (TRITC),fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000454,fluorophore derivative of rhodamine with ex/em 547/572
STORM (stochastic optical reconstruction microscopy),point-localization method,http://purl.obolibrary.org/obo/FBbi_00000336,
HA peptide tag,small genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000034,
ZsYellowFP,Yellow fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000534,
tissue in epoxy resin embedment,tissue in plastic embedment,http://purl.obolibrary.org/obo/FBbi_00000018,
biological entity,independent continuant,http://purl.obolibrary.org/obo/CARO_0030000,
nuclear fast red,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000045,
Alexa Fluor 568,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000442,
Rhodamine,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000452,
TagGFP2,Green fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000504,
electron microscopy,microscopy with lenses,http://purl.obolibrary.org/obo/FBbi_00000256,
tissue in wax embedment,embedded tissue,http://purl.obolibrary.org/obo/FBbi_00000019,
piezo-electric device,spot detector,http://purl.obolibrary.org/obo/FBbi_00000305,
conconavalin A,lectin,http://purl.obolibrary.org/obo/FBbi_00000425,
macromolecular probe,visualization by chemical attribute,http://purl.obolibrary.org/obo/FBbi_00000410,
tdKatuskaFP,Far-red fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000497,
Kusabira OrangeFP2,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000513,
ethidium bromide,membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000038,
CARS,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000370,coherent Raman anti-Stokes microscopy
toluidine blue,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000049,
UV/visible/IR illumination,illumination by photons,http://purl.obolibrary.org/obo/FBbi_00000341,
polarization microscopy,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000248,
mOrange2FP,Orange fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000515,
fluorescent protein derived from Arabidopsis,fluorescent protein tag,http://purl.obolibrary.org/obo/FBbi_00000612,
trapping illumination,specimen_modifying_illumination,http://purl.obolibrary.org/obo/FBbi_00000389,
SiriusFP,Blue fluorescent protein from Aequorea victoria,http://purl.obolibrary.org/obo/FBbi_00000462,
fluorescence microscopy,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000246,
array-scan confocal microscopy,confocal microscopy,http://purl.obolibrary.org/obo/FBbi_00000393,Fixed array of sources focused to an array of spots that is swept over the specimen in raster fashion
[32]P,metabolically incorporated radioisotope,http://purl.obolibrary.org/obo/FBbi_00000124,
tissue in plastic embedment,embedded tissue,http://purl.obolibrary.org/obo/FBbi_00000016,
whole mounted tissue,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00000024,
methyl green,membrane impermeant probe,http://purl.obolibrary.org/obo/FBbi_00000042,
lucifer yellow,miscellaneous fill,http://purl.obolibrary.org/obo/FBbi_00000057,
occurrent,,http://purl.obolibrary.org/obo/BFO_0000003,"An entity that has temporal parts and that happens, unfolds or develops through time."
independent continuant,continuant,http://purl.obolibrary.org/obo/BFO_0000004,"A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything."
transferase activity,catalytic activity,http://purl.obolibrary.org/obo/GO_0016740,
fluorescent protein tag,genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000405,
PadronFP,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000563,
intrinsic birefringence,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000594,
cobalt fill,miscellaneous fill,http://purl.obolibrary.org/obo/FBbi_00000120,
probe for lysosomes,organelle-specific probe,http://purl.obolibrary.org/obo/FBbi_00000414,
giemsa,optically-dense stain,http://purl.obolibrary.org/obo/FBbi_00000040,
KaedeFP,photoconvertible fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000551,
sectioned tissue,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00000026,
TurboYFP,Yellow fluorescent proteins from Anthozoa,http://purl.obolibrary.org/obo/FBbi_00000533,
differences in intrinsic optical density,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000602,
genetically encoded biotin tag,small genetically encoded tag,http://purl.obolibrary.org/obo/FBbi_00000418,
inelastic scattering of electrons,inelastic scattering,http://purl.obolibrary.org/obo/FBbi_00000588,
heat fixed tissue,fixation method,http://purl.obolibrary.org/obo/FBbi_00000609,
refractive index,imaged parameter,http://purl.obolibrary.org/obo/FBbi_00000311,
pulsed illumination,illumination method,http://purl.obolibrary.org/obo/FBbi_00000284,illumination that varies with time; often achieved with pulsed lasers for the purpose of generating very-high peak illumination power
boundaries between regions with different refractive index,source of contrast,http://purl.obolibrary.org/obo/FBbi_00000599,
time lapse microscopy,light microscopy,http://purl.obolibrary.org/obo/FBbi_00000249,
Alexa Fluor 647,fluorescent label,http://purl.obolibrary.org/obo/FBbi_00000447,
permeabilized tissue,sample preparation method,http://purl.obolibrary.org/obo/FBbi_00000093,"Tissue treated to make cell membranes permeable, typically for the purpose of allowing access by exogenous stains or substrates."
KFP1,photoswitchable fluorescent protein,http://purl.obolibrary.org/obo/FBbi_00000561,
DiA,probe for lipid,http://purl.obolibrary.org/obo/FBbi_00000113,
