name,order,code,parent,ontologyTermURI,definition
"A15.6 Tuberculous pleurisy, confirmed bacteriologically and histologically",83,A15.6,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.6,
"A15.7 Primary respiratory tuberculosis, confirmed bacteriologically and histologically",84,A15.7,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.7,
"A15.8 Other respiratory tuberculosis, confirmed bacteriologically and histologically",85,A15.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.8,
"A15.9 Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",86,A15.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A15.9,
"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically",87,A16,A15-A19 Tuberculosis,http://identifiers.org/icd/A16,
"A16.0 Tuberculosis of lung, bacteriologically and histologically negative",88,A16.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.0,
"A16.1 Tuberculosis of lung, bacteriological and histological examination not done",89,A16.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.1,
"A16.2 Tuberculosis of lung, without mention of bacteriological or histological confirmation",90,A16.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.2,
"A16.3 Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",91,A16.3,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.3,
"A16.4 Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",92,A16.4,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.4,
"A16.5 Tuberculous pleurisy, without mention of bacteriological or histological confirmation",93,A16.5,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.5,
A16.7 Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,94,A16.7,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.7,
"A16.8 Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",95,A16.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.8,
"A16.9 Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",96,A16.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A16.9,
A17 Tuberculosis of nervous system,97,A17,A15-A19 Tuberculosis,http://identifiers.org/icd/A17,ORPHAcode: 3389 Tuberculosis
A17.0 Tuberculosis of nervous system - Tuberculous meningitis,98,A17.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.0,ORPHAcode: 499004 Tuberculous meningitis
A17.1 Tuberculosis of nervous system - Meningeal tuberculoma,99,A17.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.1,
A17.8 Other tuberculosis of nervous system,100,A17.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.8,
"A17.9 Tuberculosis of nervous system, unspecified",101,A17.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A17.9,
A18 Tuberculosis of other organs,102,A18,A15-A19 Tuberculosis,http://identifiers.org/icd/A18,
A18.0 Tuberculosis of bones and joints,103,A18.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.0,
A18.1 Tuberculosis of genitourinary system,104,A18.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.1,
A18.2 Tuberculosis of other organs - Tuberculous peripheral lymphadenopathy,105,A18.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.2,
"A18.3 Tuberculosis of intestines, peritoneum and mesenteric glands",106,A18.3,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.3,
A18.4 Tuberculosis of skin and subcutaneous tissue,107,A18.4,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.4,
A18.5 Tuberculosis of eye,108,A18.5,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.5,
A18.6 Tuberculosis of ear,109,A18.6,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.6,
A18.7 Tuberculosis of adrenal glands,110,A18.7,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.7,
A18.8 Tuberculosis of other specified organs,111,A18.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A18.8,
A19 Miliary tuberculosis,112,A19,A15-A19 Tuberculosis,http://identifiers.org/icd/A19,
A19.0 Acute miliary tuberculosis of a single specified site,113,A19.0,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.0,
A19.1 Acute miliary tuberculosis of multiple sites,114,A19.1,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.1,
"A19.2 Acute miliary tuberculosis, unspecified",115,A19.2,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.2,
A19.8 Other miliary tuberculosis,116,A19.8,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.8,
"A19.9 Miliary tuberculosis, unspecified",117,A19.9,A15-A19 Tuberculosis,http://identifiers.org/icd/A19.9,
A20-A28 Certain zoonotic bacterial diseases,118,,I Certain infectious and parasitic diseases,,
A20 Plague,119,A20,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20,
A20.0 Bubonic plague,120,A20.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.0,ORPHAcode: 707 Plague
A20.1 Cellulocutaneous plague,121,A20.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.1,
A20.2 Pneumonic plague,122,A20.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.2,
A20.3 Plague meningitis,123,A20.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.3,
A20.7 Septicaemic plague,124,A20.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.7,
A20.8 Other forms of plague,125,A20.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.8,
"A20.9 Plague, unspecified",126,A20.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A20.9,
A21 Tularaemia,127,A21,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21,
A21.0 Ulceroglandular tularaemia,128,A21.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.0,ORPHAcode: 3392 Tularemia
A21.1 Oculoglandular tularaemia,129,A21.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.1,
A21.2 Pulmonary tularaemia,130,A21.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.2,
A21.3 Gastrointestinal tularaemia,131,A21.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.3,
A21.7 Generalized tularaemia,132,A21.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.7,
A21.8 Other forms of tularaemia,133,A21.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.8,
"A21.9 Tularaemia, unspecified",134,A21.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A21.9,
A22 Anthrax,135,A22,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22,
A22.0 Cutaneous anthrax,136,A22.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.0,
A22.1 Pulmonary anthrax,137,A22.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.1,ORPHAcode: 247257 Inhalational anthrax
A22.2 Gastrointestinal anthrax,138,A22.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.2,
A22.7 Anthrax sepsis,139,A22.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.7,
A22.8 Other forms of anthrax,140,A22.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.8,
"A22.9 Anthrax, unspecified",141,A22.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A22.9,
A23 Brucellosis,142,A23,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23,
A23.0 Brucellosis due to Brucella melitensis,143,A23.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.0,
A23.1 Brucellosis due to Brucella abortus,144,A23.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.1,
A23.2 Brucellosis due to Brucella suis,145,A23.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.2,
A23.3 Brucellosis due to Brucella canis,146,A23.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.3,ORPHAcode: 1304 Brucellosis
A23.8 Other brucellosis,147,A23.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.8,
"A23.9 Brucellosis, unspecified",148,A23.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A23.9,
A24 Glanders and melioidosis,149,A24,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24,
A24.0 Glanders,150,A24.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.0,
A24.1 Acute and fulminating melioidosis,151,A24.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.1,ORPHAcode: 31202 Melioidosis
A24.2 Subacute and chronic melioidosis,152,A24.2,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.2,
A24.3 Other melioidosis,153,A24.3,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.3,
"A24.4 Melioidosis, unspecified",154,A24.4,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A24.4,
A25 Rat-bite fevers,155,A25,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25,
A25.0 Rat-bite fevers - Spirillosis,156,A25.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25.0,ORPHAcode: 31205 Rat-bite fever
A25.1 Rat-bite fevers - Streptobacillosis,157,A25.1,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25.1,
"A25.9 Rat-bite fevers - Rat-bite fever, unspecified",158,A25.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A25.9,
A26 Erysipeloid,159,A26,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26,
A26.0 Cutaneous erysipeloid,160,A26.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.0,
A26.7 Erysipeloid - Erysipelothrix sepsis,161,A26.7,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.7,
A26.8 Other forms of erysipeloid,162,A26.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.8,
"A26.9 Erysipeloid, unspecified",163,A26.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A26.9,
A27 Leptospirosis,164,A27,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27,
A27.0 Leptospirosis icterohaemorrhagica,165,A27.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27.0,
A27.8 Other forms of leptospirosis,166,A27.8,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27.8,ORPHAcode: 509 Leptospirosis
"A27.9 Leptospirosis, unspecified",167,A27.9,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A27.9,
"A28 Other zoonotic bacterial diseases, not elsewhere classified",168,A28,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A28,
"A28.0 Other zoonotic bacterial diseases, not elsewhere classified - Pasteurellosis",169,A28.0,A20-A28 Certain zoonotic bacterial diseases,http://identifiers.org/icd/A28.0,
A30-A49 Other bacterial diseases,170,,I Certain infectious and parasitic diseases,,
A30 Leprosy [Hansen disease],171,A30,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30,
A30.0 Indeterminate leprosy,172,A30.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.0,ORPHAcode: 548 Leprosy
A30.1 Tuberculoid leprosy,173,A30.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.1,
A30.2 Borderline tuberculoid leprosy,174,A30.2,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.2,
A30.3 Borderline leprosy,175,A30.3,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.3,
A30.4 Borderline lepromatous leprosy,176,A30.4,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.4,
A30.5 Lepromatous leprosy,177,A30.5,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.5,
A30.8 Other forms of leprosy,178,A30.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.8,
"A30.9 Leprosy, unspecified",179,A30.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A30.9,
A31 Infection due to other mycobacteria,180,A31,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31,
A31.0 Pulmonary mycobacterial infection,181,A31.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.0,ORPHAcode: 411703 Pulmonary non-tuberculous mycobacterial infection
A31.1 Cutaneous mycobacterial infection,182,A31.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.1,
A31.8 Other mycobacterial infections,183,A31.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.8,
"A31.9 Mycobacterial infection, unspecified",184,A31.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A31.9,
A32 Listeriosis,185,A32,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32,
A32.0 Cutaneous listeriosis,186,A32.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.0,ORPHAcode: 533 Listeriosis
A32.1 Listeriosis - Listerial meningitis and meningoencephalitis,187,A32.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.1,
A32.7 Listeriosis - Listerial sepsis,188,A32.7,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.7,
A32.8 Other forms of listeriosis,189,A32.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.8,
"A32.9 Listeriosis, unspecified",190,A32.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A32.9,
A33 Tetanus neonatorum,191,A33,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A33,ORPHAcode: 3299 Tetanus
A34 Obstetrical tetanus,192,A34,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A34,
A35 Other tetanus,193,A35,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A35,
A36 Diphtheria,194,A36,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36,
A36.0 Pharyngeal diphtheria,195,A36.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.0,
A36.1 Nasopharyngeal diphtheria,196,A36.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.1,ORPHAcode: 1679 Diphtheria
A36.2 Laryngeal diphtheria,197,A36.2,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.2,
A36.3 Cutaneous diphtheria,198,A36.3,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.3,
A36.8 Other diphtheria,199,A36.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.8,
"A36.9 Diphtheria, unspecified",200,A36.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A36.9,
A37 Whooping cough,201,A37,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A37,
A37.0 Whooping cough due to Bordetella pertussis,202,A37.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A37.0,ORPHAcode: 1489 Whooping cough
A37.1 Whooping cough due to Bordetella parapertussis,203,A37.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A37.1,
A37.8 Whooping cough due to other Bordetella species,204,A37.8,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A37.8,
"A37.9 Whooping cough, unspecified",205,A37.9,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A37.9,
A38 Scarlet fever,206,A38,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A38,ORPHAcode: 36235 Staphylococcal scarlet fever
A39 Meningococcal infection,207,A39,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A39,
A39.0 Meningococcal meningitis,208,A39.0,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A39.0,
A39.1 Meningococcal infection - Waterhouse-Friderichsen syndrome,209,A39.1,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A39.1,
A39.2 Meningococcal infection - Acute meningococcaemia,210,A39.2,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A39.2,
A39.3 Meningococcal infection - Chronic meningococcaemia,211,A39.3,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A39.3,
"A39.4 Meningococcal infection - Meningococcaemia, unspecified",212,A39.4,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A39.4,
A39.5 Meningococcal heart disease,213,A39.5,A30-A49 Other bacterial diseases,http://identifiers.org/icd/A39.5,
