order,label,name,parent,code,ontologyTermURI
122,BORDETELLA PERTUSSIS (INACTIVATED) ADSORBED ON ALUMINIUM PHOSPHATE,Human use: BORDETELLA PERTUSSIS (INACTIVATED) ADSORBED ON ALUMINIUM PHOSPHATE,Human use,100000089266,
152,Bortezomib,Human use: Bortezomib,Human use,100000091450,
153,Bosentan monohydrate,Human use: Bosentan monohydrate,Human use,100000091512,
154,Bosutinib monohydrate,Human use: Bosutinib monohydrate,Human use,100000144021,
155,Botulinum toxin type A,Human use: Botulinum toxin type A,Human use,100000092865,
156,Botulinum toxin type B,Human use: Botulinum toxin type B,Human use,100000089285,
157,Brentuximab vedotin,Human use: Brentuximab vedotin,Human use,100000124524,
158,Brexpiprazole,Human use: Brexpiprazole,Human use,100000141399,
159,Brexucabtagene autoleucel,Human use: Brexucabtagene autoleucel,Human use,100000184268,
160,Brigatinib,Human use: Brigatinib,Human use,100000170772,
161,Brimonidine tartrate,Human use: Brimonidine tartrate,Human use,100000091796,
162,Brinzolamide,Human use: Brinzolamide,Human use,100000085244,
163,Brivaracetam,Human use: Brivaracetam,Human use,100000089410,
164,Brodalumab,Human use: Brodalumab,Human use,100000166073,
165,Brolucizumab,Human use: Brolucizumab,Human use,100000166567,
166,Bromfenac sodium,Human use: Bromfenac sodium,Human use,100000085124,
167,Budesonide,Human use: Budesonide,Human use,100000091309,
168,"Budesonide, micronised","Human use: Budesonide, micronised",Human use,100000141929,
169,Bulevirtide acetate,Human use: Bulevirtide acetate,Human use,300000007260,
170,Bupivacaine,Human use: Bupivacaine,Human use,100000088449,
171,Buprenorphine,Human use: Buprenorphine,Human use,100000085263,
172,Buprenorphine hydrochloride,Human use: Buprenorphine hydrochloride,Human use,100000092032,
173,Bupropion hydrochloride,Human use: Bupropion hydrochloride,Human use,100000090431,
174,Burosumab,Human use: Burosumab,Human use,100000170826,
175,Busulfan,Human use: Busulfan,Human use,100000085245,
176,C1 ESTERASE INHIBITOR (HUMAN),Human use: C1 ESTERASE INHIBITOR (HUMAN),Human use,100000129592,
188,Cabazitaxel,Human use: Cabazitaxel,Human use,100000115694,
189,Cabazitaxel acetone,Human use: Cabazitaxel acetone,Human use,100000166115,
190,Cabotegravir,Human use: Cabotegravir,Human use,100000165751,
191,Cabotegravir sodium,Human use: Cabotegravir sodium,Human use,100000183873,
192,Cabozantinib S-malate,Human use: Cabozantinib S-malate,Human use,100000162458,
193,Caffeine citrate,Human use: Caffeine citrate,Human use,100000091411,
177,CALCITONIN SALMON RECOMBINANT,Human use: CALCITONIN SALMON RECOMBINANT,Human use,100000088551,
194,Canagliflozin,Human use: Canagliflozin,Human use,100000127420,
195,Canagliflozin hemihydrate,Human use: Canagliflozin hemihydrate,Human use,100000155682,
196,Canakinumab,Human use: Canakinumab,Human use,100000093070,
197,Cangrelor tetrasodium,Human use: Cangrelor tetrasodium,Human use,100000168765,
198,Cannabidiol,Human use: Cannabidiol,Human use,100000091179,
199,Capecitabine,Human use: Capecitabine,Human use,100000089303,
200,Caplacizumab,Human use: Caplacizumab,Human use,100000166854,
201,Capmatinib dihydrochloride monohydrate,Human use: Capmatinib dihydrochloride monohydrate,Human use,300000012022,
202,Capsaicin,Human use: Capsaicin,Human use,100000076831,
203,Carbidopa,Human use: Carbidopa,Human use,100000090314,
204,Carbidopa monohydrate,Human use: Carbidopa monohydrate,Human use,100000089585,
205,Carfilzomib,Human use: Carfilzomib,Human use,100000126282,
206,Carglumic acid,Human use: Carglumic acid,Human use,100000089544,
207,Cariprazine hydrochloride,Human use: Cariprazine hydrochloride,Human use,100000145084,
208,Carmustine,Human use: Carmustine,Human use,100000090209,
209,Casirivimab,Human use: Casirivimab,Human use,300000023252,
210,Caspofungin acetate,Human use: Caspofungin acetate,Human use,100000089286,
211,Catridecacog,Human use: Catridecacog,Human use,100000124525,
212,Catumaxomab,Human use: Catumaxomab,Human use,100000089429,
213,Cefiderocol sulfate tosilate,Human use: Cefiderocol sulfate tosilate,Human use,100000175867,
214,Ceftaroline fosamil monoacetate monohydrate,Human use: Ceftaroline fosamil monoacetate monohydrate,Human use,100000155873,
215,Ceftazidime pentahydrate,Human use: Ceftazidime pentahydrate,Human use,100000084683,
216,Ceftolozane sulfate,Human use: Ceftolozane sulfate,Human use,100000158129,
217,Celecoxib,Human use: Celecoxib,Human use,100000089391,
218,Cemiplimab,Human use: Cemiplimab,Human use,100000175258,
219,Cenegermin,Human use: Cenegermin,Human use,100000170628,
220,Cenobamate,Human use: Cenobamate,Human use,100000174917,
221,Ceritinib,Human use: Ceritinib,Human use,100000156788,
222,Cerliponase alfa,Human use: Cerliponase alfa,Human use,100000168524,
223,Certolizumab pegol,Human use: Certolizumab pegol,Human use,100000089458,
224,Cetrorelix acetate,Human use: Cetrorelix acetate,Human use,100000089304,
225,Cetuximab,Human use: Cetuximab,Human use,100000091438,
226,Characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,Human use: Characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,Human use,100000151947,
227,Chenodeoxycholic acid,Human use: Chenodeoxycholic acid,Human use,100000092597,
178,"CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 1 (LIVE, ATTENUATED)","Human use: CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 1 (LIVE, ATTENUATED)",Human use,100000167136,
179,"CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 2 (LIVE, ATTENUATED)","Human use: CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 2 (LIVE, ATTENUATED)",Human use,100000167137,
180,"CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 3 (LIVE, ATTENUATED)","Human use: CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 3 (LIVE, ATTENUATED)",Human use,100000167138,
181,"CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 4 (LIVE, ATTENUATED)","Human use: CHIMERIC YELLOW FEVER DENGUE VIRUS SEROTYPE 4 (LIVE, ATTENUATED)",Human use,100000167139,
182,CHLORHEXIDINE DIGLUCONATE (20% SOLUTION),Human use: CHLORHEXIDINE DIGLUCONATE (20% SOLUTION),Human use,100000141547,
228,Chlormethine hydrochloride,Human use: Chlormethine hydrochloride,Human use,100000090553,
183,CHOLERA TOXIN B SUBUNIT RECOMBINANT (RCTB),Human use: CHOLERA TOXIN B SUBUNIT RECOMBINANT (RCTB),Human use,100000089330,
229,Cholic acid,Human use: Cholic acid,Human use,100000080100,
230,Choriogonadotropin alfa,Human use: Choriogonadotropin alfa,Human use,100000091473,
231,Ciclosporin,Human use: Ciclosporin,Human use,100000092121,
232,Cidofovir,Human use: Cidofovir,Human use,100000085264,
233,Cilastatin sodium,Human use: Cilastatin sodium,Human use,100000090185,
234,Cilgavimab,Human use: Cilgavimab,Human use,300000026511,
235,Ciltacabtagene autoleucel,Human use: Ciltacabtagene autoleucel,Human use,100000184310,
236,Cinacalcet hydrochloride,Human use: Cinacalcet hydrochloride,Human use,100000092005,
237,Cipaglucosidase alfa,Human use: Cipaglucosidase alfa,Human use,100000184244,
238,Cladribine,Human use: Cladribine,Human use,100000085410,
239,Clofarabine,Human use: Clofarabine,Human use,100000089587,
240,Clopidogrel besilate,Human use: Clopidogrel besilate,Human use,100000115443,
241,Clopidogrel hydrobromide,Human use: Clopidogrel hydrobromide,Human use,100000137773,
242,Clopidogrel hydrochloride,Human use: Clopidogrel hydrochloride,Human use,100000115888,
243,Clopidogrel hydrogen sulfate,Human use: Clopidogrel hydrogen sulfate,Human use,100000092025,
244,Cobicistat,Human use: Cobicistat,Human use,100000127699,
245,Cobimetinib hemifumarate,Human use: Cobimetinib hemifumarate,Human use,100000158327,
246,Colecalciferol,Human use: Colecalciferol,Human use,100000092724,
247,Colesevelam hydrochloride,Human use: Colesevelam hydrochloride,Human use,100000090574,
248,Colestilan,Human use: Colestilan,Human use,100000088572,
249,Colistimethate sodium,Human use: Colistimethate sodium,Human use,100000092338,
184,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,Human use: COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,Human use,100000079798,
250,Concentrate of proteolytic enzymes enriched in bromelain,Human use: Concentrate of proteolytic enzymes enriched in bromelain,Human use,100000141443,
251,Conestat alfa,Human use: Conestat alfa,Human use,100000115936,
252,Copper (64Cu) chloride,Human use: Copper (64Cu) chloride,Human use,100000137969,
253,Corifollitropin alfa,Human use: Corifollitropin alfa,Human use,100000089392,
185,CORYNEBACTERIUM DIPHTHERIAE CRM197 CARRIER PROTEIN,Human use: CORYNEBACTERIUM DIPHTHERIAE CRM197 CARRIER PROTEIN,Human use,100000092996,
187,COVID-19 vaccine AstraZeneca (ChAdOx1 nCoV-19),Human use: COVID-19 vaccine AstraZeneca (ChAdOx1 nCoV-19),Human use,300000016760,
186,COVID-19 Vaccine Janssen (Ad26.COV2.S),Human use: COVID-19 Vaccine Janssen (Ad26.COV2.S),Human use,300000017648,
254,Crisaborole,Human use: Crisaborole,Human use,100000174729,
255,Crizanlizumab,Human use: Crizanlizumab,Human use,100000174637,
256,Crizotinib,Human use: Crizotinib,Human use,100000124345,
257,Cytarabine,Human use: Cytarabine,Human use,100000089874,
262,Dabigatran etexilate mesilate,Human use: Dabigatran etexilate mesilate,Human use,100000090399,
263,Dabrafenib mesylate,Human use: Dabrafenib mesylate,Human use,100000154410,
264,Daclatasvir dihydrochloride,Human use: Daclatasvir dihydrochloride,Human use,100000156586,
265,Daclizumab,Human use: Daclizumab,Human use,100000085411,
266,Daclizumab beta,Human use: Daclizumab beta,Human use,100000174638,
267,Dacomitinib monohydrate,Human use: Dacomitinib monohydrate,Human use,100000176290,
268,Dalbavancin hydrochloride,Human use: Dalbavancin hydrochloride,Human use,100000156628,
269,Damoctocog alfa pegol,Human use: Damoctocog alfa pegol,Human use,100000174136,
270,Dapagliflozin,Human use: Dapagliflozin,Human use,100000124178,
271,Dapagliflozin propanediol,Human use: Dapagliflozin propanediol,Human use,100000172075,
272,Dapagliflozin propanediol monohydrate,Human use: Dapagliflozin propanediol monohydrate,Human use,100000140964,
273,Dapivirine,Human use: Dapivirine,Human use,100000174408,
274,Daptomycin,Human use: Daptomycin,Human use,100000085430,
275,Daratumumab,Human use: Daratumumab,Human use,100000162382,
276,Darbepoetin alfa,Human use: Darbepoetin alfa,Human use,100000091613,
277,Daridorexant hydrochloride,Human use: Daridorexant hydrochloride,Human use,300000024416,
278,Darifenacin hydrobromide,Human use: Darifenacin hydrobromide,Human use,100000089583,
279,Darolutamide,Human use: Darolutamide,Human use,100000171715,
280,Darunavir,Human use: Darunavir,Human use,100000089367,
281,Darunavir ethanolate,Human use: Darunavir ethanolate,Human use,100000091852,
282,Darvadstrocel,Human use: Darvadstrocel,Human use,100000175938,
283,Dasabuvir sodium monohydrate,Human use: Dasabuvir sodium monohydrate,Human use,100000164692,
284,Dasatinib,Human use: Dasatinib,Human use,100000088015,
285,Dasatinib monohydrate,Human use: Dasatinib monohydrate,Human use,100000090154,
286,Daunorubicin hydrochloride,Human use: Daunorubicin hydrochloride,Human use,100000092148,
287,Davesomeran,Human use: Davesomeran,Human use,300000046472,
288,Decitabine,Human use: Decitabine,Human use,100000083471,
289,"Defatted powder of Arachis hypogaea L., semen (peanuts)","Human use: Defatted powder of Arachis hypogaea L., semen (peanuts)",Human use,300000026531,
290,Deferasirox,Human use: Deferasirox,Human use,100000089570,
291,Deferiprone,Human use: Deferiprone,Human use,100000085431,
292,Defibrotide,Human use: Defibrotide,Human use,100000092339,
293,Degarelix acetate,Human use: Degarelix acetate,Human use,100000091740,
294,Delafloxacin meglumine,Human use: Delafloxacin meglumine,Human use,100000176639,
295,Delamanid,Human use: Delamanid,Human use,100000127700,
296,"Dengue virus, serotype 2, expressing Dengue virus, serotype 1, surface proteins, live, attenuated","Human use: Dengue virus, serotype 2, expressing Dengue virus, serotype 1, surface proteins, live, attenuated",Human use,300000025733,
297,"Dengue virus, serotype 2, expressing Dengue virus, serotype 3, surface proteins, live, attenuated","Human use: Dengue virus, serotype 2, expressing Dengue virus, serotype 3, surface proteins, live, attenuated",Human use,300000025734,
298,"Dengue virus, serotype 2, expressing Dengue virus, serotype 4, surface proteins, live, attenuated","Human use: Dengue virus, serotype 2, expressing Dengue virus, serotype 4, surface proteins, live, attenuated",Human use,300000025735,
299,"Dengue virus, serotype 2, live, attenuated","Human use: Dengue virus, serotype 2, live, attenuated",Human use,300000025674,
300,Denosumab,Human use: Denosumab,Human use,100000090712,
301,Depreotide trifluoroacetate,Human use: Depreotide trifluoroacetate,Human use,100000151867,
302,Desirudin,Human use: Desirudin,Human use,100000085433,
