id,PID,Name,Acronym,Description,URL,Juridical Person,Country,Head of Biobank,Latitude,Longitude,Also Known In,Contact Person,Networks,Commercial Collaboration,Non Profit Collaboration,Capabilities,National Node
bbmri-eric:ID:BE_BBOR1,21.T12995/1.3240-f56a-714c,Biothèque de l'Institut Jules Bordet Oncology,BBOR,"The Bordet Tumour Bank (BTB) offers to cancer researchers a broad range of high quality tissue samples and corresponding data, collected following stringent standardised procedures and ethical guidelines complying with national legislation and international guidelines. BTB contains fresh-frozen/ FFPE tumour and normal adjacent tissue and peripheral blood samples collected from more than 9000 patients. The clinical and non-clinical sample characteristics and patient consent are managed by a relational database. The BTB has allowed Belgian scientists and research investigators, to advance research programs in genetics and cell biology. BTB received ISO-9001:2000 Quality Certification in 2012.",http://www.bordet.be/nl/rd_nl/biobank/pratiek.htm,Institut Jules Bordet,BE,bbmri-eric:contactID:BE_larsimont,50.83362,4.347353,,bbmri-eric:contactID:BE_BBOR1,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",true,true,,BE
bbmri-eric:ID:UK_GBR-1-196,21.T12995/1.0c97-c2e5-bfc5,RJAH Biobank for Studying Health and Disease,,Orthopaedic tissues  Wax embedded and fresh frozen tissues of primary and secondary bone tumour and metastatic disease.  If a certain tissue types are required with the correct Ethics and consent in place these could be collected and stored at the tissue bank.,,Robert Jones & Agnes Hunt Orthopaedic Hospital NHSFT,UK,,,,,bbmri-eric:contactID:UK_GBR-1-196,,,,,UK
bbmri-eric:ID:BE_BBRU1,21.T12995/1.496e-84bf-8383,CHU Brugmann - BruTus Oncology,BBRU,"BruTuS (or Brugmann Hospital Tumor bank Service) is located in the Pathology department of the CHU Brugmann in Northern Brussels. It is a repository of frozen and formalin-fixed paraffin-embedded tumor samples collected from surgical specimens originating from Brugmann hospital and from the neighboring Children's Hospital Reine Fabiola (HUDERF).In accordance with the activity of the two hospitals, breast and pediatric tumor samples are the most frequent in the biobank.",http://www.chu-brugmann.be/nl/med/anapath/,CHU Brugmann,BE,bbmri-eric:contactID:BE_duttmann,50.886017,4.332605,,bbmri-eric:contactID:BE_BBRU1,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",false,true,"biomaterial-storage,pathology-archive-access",BE
bbmri-eric:ID:BE_BCHA1,21.T12995/1.ecb5-f34f-ea04,ISPPC - Charleroi,BCHA,"ISPPC- Charleroi biobank stores a heterogeneous frozen and paraffin embedded sample collection, focussing on gastrointestinal tract and central nervous system tumour pathologies. Our mission is to support research in the development of improvements in disease diagnosis and treatment, especially in the development of new biomarkers. Comprehensive clinical data are available through the hospital information system to enable further translational and clinical research. All the collections are approved by the local ethics committee.",http://www.chu-charleroi.be/disciplines-medicales/anatomie-pathologique,ISPPC - Charleroi,BE,bbmri-eric:contactID:BE_BCHA1,50.413596,4.450733,,bbmri-eric:contactID:BE_BCHA1,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_NBWB1",true,true,,BE
bbmri-eric:ID:BE_BERA1,21.T12995/1.b512-d96b-1460,Biobanque Hôpital Erasme-ULB,BERA,"The biobank hospital Erasme-ULB is a generalized biobanks network (more than 10) on Université Libre de Bruxelles - Erasme Campus (CBEU is located in Anderlecht) collecting and delivering human samples (frozen, FFPE, serum, plasma, DNA, and Tissue Micro Array) of normal, tumour and inflammatory diseases for retrospective and prospective studies. Additionally to the disposal of comprehensive clinical data, further investigations on those human samples are obtained by using molecular (NGS) and protein techniques. Overall, CBEU is managed by a multidisciplinary (MDs, researchers, technical staff) and motivated team. All information is available on request at info.cbeu@erasme.ulb.ac.be.",http://www.erasme.ulb.ac.be/page.asp?langue=FR&id=17929,Hôpital Erasme,BE,bbmri-eric:contactID:BE_salmon,50.814607,4.2706,,bbmri-eric:contactID:BE_BERA1,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",true,true,covid19,BE
bbmri-eric:ID:BE_BIPG1,21.T12995/1.7abd-c970-aada,IPG-Biobank,BIPG,"The IPG-Biobank is located at the Institute of Pathology and Genetics in modern purpose built facilities and is funded by the federal cancer plan. The institute is specialized in medical diagnosis related to anatomopathology, genetics, molecular biology and microbiology. The IPG has been accredited ISO 15189. The IPG-Biobank is a large multi-center collection facility, collecting tissues and blood from donors of many hospitals in Wallonia. High-quality biomaterial is supplied for our Biobank by a network of clinicians, surgeons and pathologists. The Biobank provides a coordinated and integrated program that collects and distributes tissue samples to support cancer research in Belgium.",http://www.ipg.be/biobanque/,Institut de Pathologie et de Génétique,BE,bbmri-eric:contactID:BE_delree,50.472558,4.467883,,bbmri-eric:contactID:BE_BIPG1,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_NBWB1",true,true,"BSL2,covid19,PCR,VSF",BE
bbmri-eric:ID:BE_CBP,21.T12995/1.8e5a-e460-04b2,Centraal Biobank Platform Sciensano,CBP,"The Central Biobank Platform provides support to the different biobank modules of Sciensano. These Sciensano Biobank modules are available for internal and external scientists who want to do research involving human body material. Samples can be registered, stored and made available for scientific research, according to the applicable ethical and legal framework for biobanks.",https://www.sciensano.be/en/projects/central-biobank-platform,Sciensano,BE,bbmri-eric:contactID:BE_CBP,,,,bbmri-eric:contactID:BE_CBP,bbmri-eric:networkID:BE_BBMRIBE,false,true,"biomaterial-storage,data-storage,ProspectiveCollections",BE
bbmri-eric:ID:BE_CICP1,21.T12995/1.65d9-37f5-832f,CUSL Biobank,CUSL,"The Biological Library of King Albert II Institute was created in 2007 thanks to the ""Plan National Cancer"". With the aim of supporting research activities, the structure coordinates the collection, processing, and storage of residual material from human tissues and recently bone marrow aspirates. Nowadays, approximately 8000 well characterized frozen tissues have been collected following a standard procedure that ensures their high quality. FFPE samples are also available. Anonymized clinical information can be provided for each specimen. The Biological Library works in accordance with the Ethics Committee rules and national laws. All samples are coded to protect individual privacy.",http://www.centreducancer.be/fr/show/index/section/8/page/34,Cliniques universitaires Saint-Luc,BE,bbmri-eric:contactID:BE_marbaix,50.852246,4.4519,,bbmri-eric:contactID:BE_CICP1,"bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",true,true,,BE
bbmri-eric:ID:BE_CMGO1,21.T12995/1.c887-4a1c-bfef,Biobanque du CHU UCL Namur,CGOD,"The biobank of the CHU UCL Namur, created in 2009, is mainly focused on neoplastic pathologies with a special interest for haematology (leukemias, myelomas, lymphomas…). We are using standard operating procedures to store samples (tissue, cells and corresponding plasma/serum) according different conservation modes (-80°C, liquid nitrogen, paraffin). All samples are associated to corresponding clinical/biological data (patient history, treatment received, molecular biology ...). If possible, samples are collected at different stages of the clinical course of the patient (diagnosis, remission, relapse…). The structure is flexible and can also meet most specific demands of researchers (prospective collection). Numerous collaborative projects are ongoing.",http://www.uclmontgodinne.be/gorganigeneral.php?action=servicedetail&serviceid=144,CHU UCL Namur,BE,bbmri-eric:contactID:BE_graux,50.3591,4.883199,,bbmri-eric:contactID:BE_CMGO1,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",true,true,"covid19,PCR,ProspectiveCollections",BE
bbmri-eric:ID:BE_ITG,21.T12995/1.9de6-867a-f668,ITG Biobank,,"The ITG Biobank is the biobank of the Institute of Tropical Medicine (ITM) in Antwerp. The biobank was officially registered in 2018 when the Belgium biobanking law has entered into force.
The ITM is specialised in diagnosis and research of infectious and neglected diseases. The ITM collaborates with (inter)national institutes for research and diagnostics and is home of several (inter)national reference laboratoria. The samples of the ITG Biobank are collected over many decades of infectiology research and diagnostics at ITM (travel)-clinic and (inter)national partner institutes. 
Samples stored are from human material as well as animal (including insects) and microorganisms.",http://www.itg.be,Instituut voor Tropische Geneeskunde Antwerpen,BE,,,,,bbmri-eric:contactID:BE_ITG,bbmri-eric:networkID:BE_BBMRIBE,,,,BE
bbmri-eric:ID:BE_Jessa,21.T12995/1.57b7-d8ff-3297,Jessa Biobank,,"The Jessa Biobank was initially established to store human body material, obtained by the clinical laboratory, for research purposes, However, if requested, the Jessa Biobank will also support other researchers that want to perform translational research. The goal of the Jessa Biobank is to collect, process and store high-quality biological material together with its associated data; and to make the stored biological material available for a broad group of clinically relevant studies. To this end, UBiLim applies the highest standards regarding biobanking. All activities of UBiLim, carried out at the various locations, are executed according to the Belgian law and Royal Decree on biobanking, and reconciled to the (inter)national guidelines on biobanking and research, including those at Flemish (BBMRI.be) and European level (ESFRI, ECRIN, ...). To manage the samples and associated data (collections and projects to which the sample belongs; informed consent of the donor; sample deliveries that have taken place, freeze-thaw cycles, etc.) a Biobank Information Management System (Labvantage Biobanking) is used, which makes it possible for UBiLim to offer the highest possible quality of service.",,Jessa Hospital,BE,bbmri-eric:contactID:BE_magerman,50926132,5342096,,bbmri-eric:contactID:BE_71024388,bbmri-eric:networkID:BE_BBMRIBE,true,true,"biomaterial-storage,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access",BE
bbmri-eric:ID:BE_LCHU1,21.T12995/1.6370-e549-2d53,Biothèque Hospitalo Universitaire de Liège,LCHU,"The “Biothèque Hospitalo-Universitaire de Liège” (BHUL) is a biobank which is in charge of the daily collection of human biological samples in the respect of ethical, legal and quality requirements. Over many years, we have built collections of samples in various topics (oncology, neurology, inflammatory disease, genetic disease…) and storage formats (freezers, liquid nitrogen). We can offer the selection of samples meeting researcher’s specific criteria, tissue slides for staining or immunohistochemistry, sections in tubes for extraction, serum, plasma, cells… Our biobank supply biological samples for scientific research and we are proud to offer clinical and technical data when available.",http://www.gigabiotheque.uliege.be,CHU de Liège,BE,bbmri-eric:contactID:BE_beguin,50.572026,5.564681,,bbmri-eric:contactID:BE_LCHU1,"bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,bbmri-eric:networkID:BE_BBMRIBE,bbmri-eric:networkID:BE_BVT,bbmri-eric:networkID:BE_NBWB1",false,true,"BSL2,BSL3,covid19,PCR",BE
bbmri-eric:ID:BE_UCL,21.T12995/1.f7eb-7320-ea07,Biothèque UCLouvain,,,,UCLouvain university,BE,,,,,bbmri-eric:contactID:BE_UCL,bbmri-eric:networkID:BE_BBMRIBE,,,,BE
bbmri-eric:ID:BG_MMC,21.T12995/1.1de5-a537-1b35,MMC biobank,,,http://mmcbg.org/,kaneva@mmcbg.org,BG,,,,,bbmri-eric:contactID:BG_0001,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,true,true,"PCR,VSF",BG
bbmri-eric:ID:CH_CHUV,21.T12995/1.0a62-e25e-8b32,Centre Hospitalier Universitaire Vaudois,CHUV,,,CHUV,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_DavosBiosciences,21.T12995/1.d1dd-10fa-2136,Davos Biosciences,,Hosting infrastructure for biobanks of CK-CARE and others,http://www.davosbiosciences.ch,Davos Biosciences,CH,bbmri-eric:contactID:CH_Rhyner,,,,bbmri-eric:contactID:CH_Rhyner,bbmri-eric:networkID:CH_SBP,true,true,,CH
bbmri-eric:ID:CH_ETH,21.T12995/1.08fa-0cf9-bf55,Eidgenössisch Technische Hochschule,ETH,,,Eidgenössisch Technische Hochschule,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_FondazioneEpatocentroTicino,21.T12995/1.827a-3b2f-306c,Fondazione Epatocentro Ticino SA,,,http://www.epatocentro.ch/it/La-Fondazione,Fondazione Epatocentro Ticino SA,CH,bbmri-eric:contactID:CH_DiBartolomeo,,,,bbmri-eric:contactID:CH_DiBartolomeo,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,,,covid19,CH
bbmri-eric:ID:CH_HopitauxUniversitairesGeneve,21.T12995/1.f328-538b-2d63,Hôpitaux Universitaires Genève,HUG,,,Hôpitaux Universitaires Genève,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_ICH,21.T12995/1.e479-cc50-c63e,Institut Central des Hôpitaux de Sion,ICH,,,Institut Central des Hôpitaux de Sion,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_KinderspitalZurich,21.T12995/1.65a2-1050-ffe8,Kinderspital Zürich,,,,Kinderspital Zürich,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_LBBservices,21.T12995/1.039d-0ffb-3439,Liquid Biobank Bern Infrastructure - Biobank Services,LBB Services,"The infrastructure of the Liquid Biobank Bern consists of state-of-the-art automated and standardized processes performed by lab automation, liquid handling robots and fully automated robotic -80° and N2 stores and provides tailored Biobank Services (BBS). The samples are tightly tracked by their barcodes and each time-point (from blood draw to storage) is set by robots/scanners to grant a high data quality. All robots are interfaced to a central IT system to avoid any manual inputs or file imports. The infrastructure is operated by the Center for Laboratory Medicine of the Inselspital. This infrastructure can be used by studies to allow long-term storage of their samples compliant to the Human Research Act.",https://www.biobankbern.ch/,Inselspital - Universitätspital Bern,CH,bbmri-eric:contactID:CH_largiader,,,,bbmri-eric:contactID:CH_Froelich,bbmri-eric:networkID:CH_SBP,,,,CH
bbmri-eric:ID:CH_LPA,21.T12995/1.1ae0-5b83-360f,Laboratoire Pré-Analytique,LPA,"Le laboratoire de l’unité de médecine de précision soutient les chercheurs du CHUV et de l'UNIL dans tous leurs besoins de traitement pré-analytique, d'extraction d'ADN et de stockage, dans le cadre d'un projet de recherche défini et/ou de leur biobanque.",https://www.chuv.ch/fr/medecine-precision/accueil/professionnels-de-la-sante/laboratoire-pre-analytique/,CHUV - Centre Hospitalier Universitaire Vaudois,CH,bbmri-eric:contactID:CH_fellay,,,,bbmri-eric:contactID:CH_Ristorcelli,bbmri-eric:networkID:CH_SBP,,,,CH
bbmri-eric:ID:UK_GBR-1-48,21.T12995/1.5f2b-98f4-fd12,UK primary Sjogren's syndrome Registry,,"Peripheral blood samples (DNA, RNA, serum, PBMC) from patients with primary Sjogren's syndrome, with detailed contemporaneous clinical data at the time of sample collection.",http://www.sjogrensregistry.org/,Newcastle University,UK,,,,,bbmri-eric:contactID:UK_GBR-1-48,,,,,UK
bbmri-eric:ID:CH_SCMB,21.T12995/1.ec73-271d-2edd,Swiss Center for Musculoskeletal Biobanking (Infrastructure),SCMB,"The Swiss Center for Musculoskeletal Biobanking is an open platform for the collection, storage, and analysis of tissue and fluid samples from patients with musculoskeletal diseases. The tissue samples and fluids are collected together with encrypted or (pseudo-)anonymized patient data. Our staff is happy to provide you with support for your research study.",https://scmb.balgristcampus.ch/,Balgrist Campus AG,CH,bbmri-eric:contactID:CH_Botter,,,,bbmri-eric:contactID:CH_Botter,bbmri-eric:networkID:CH_SBP,,,"nucleic-acid-extraction,immunohistochemistry-staining,biomaterial-storage,BSL2,ProspectiveCollections,TrialSetupClinical,cell-culture,data-storage,digital-imaging,recontact",CH
bbmri-eric:ID:CH_SunBioscience,21.T12995/1.eb9a-1e10-adad,Sun Bioscience,,,https://sunbioscience.ch/,Sun Bioscience,CH,bbmri-eric:contactID:CH_Brandenber,,,,bbmri-eric:contactID:CH_Brandenber,,,,,CH
bbmri-eric:ID:CH_SwissParaplegicResearch,21.T12995/1.25a3-b4ec-a602,Swiss Paraplegic Research,,,https://www.paraplegie.ch/spf/en/biology-aging,Swiss Paraplegic Research,CH,bbmri-eric:contactID:CH_stoyanov,,,,bbmri-eric:contactID:CH_Schaniel,,,,,CH
bbmri-eric:ID:CH_UKBB,21.T12995/1.6d9e-8648-c2bd,Universitäts-Kinderspital beider Basel,UKBB,,,Universitäts-Kinderspital beider Basel,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_USB,21.T12995/1.ff35-26d7-14da,Universitätsspital Basel,USB,,,Universitätsspital Basel (USB),CH,,,,,,,,,,CH
bbmri-eric:ID:CH_USZ,21.T12995/1.65e6-1ff8-3c62,Universitätsspital Zürich,USZ,,,Universitätsspital Zürich,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_Unige,21.T12995/1.fba2-5928-b0b1,Université de Genève,,,,Université de Genève,CH,,,,,,,,,,CH
bbmri-eric:ID:CH_UniversityOfBern,21.T12995/1.e12c-2878-c8a1,University of Bern,,,,University of Bern,CH,,,,,,,,,,CH
bbmri-eric:ID:CY_ALLBIO,21.T12995/1.d402-a530-c04a,ALLBIO INTERNATIONAL,ALLBIO,"We collect and process human biospecimens (tissues, biofluids and their derivatives) within our network of hospitals for leading biomedical research institutions. 
All specimens are procured according to IRB approved protocols.
We cooperate with international logistics service providers experienced in biomedical material transportation and ship to Europe, the United States and Japan on a regular basis.",,ALLBIO INTERNATIONAL LTD,CY,,35.1748976,33.3638568,,bbmri-eric:contactID:CY_002,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,true,true,"BSL2,PCR,covid19",CY
bbmri-eric:ID:CY_cybiobank,21.T12995/1.c720-03ab-ff52,CY-biobank,CY,"CY-Biobank enrols volunteers of the general population as well as patients of several inherited or complex conditions in a targeted manner, based on specific ongoing projects.",,Loizidou,CY,bbmri-eric:contactID:CY_001,35.12589,33.37766,,bbmri-eric:contactID:CY_003,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19,true,true,"BSL2,PCR,covid19",CY
bbmri-eric:ID:CZ_CUNI_HK,21.T12995/1.81ed-1706-f59f,"Bank of Biological Material, Charles University - Hradec Králové",UK_HK,"Biobank at the Charles University Faculty of Medicine in Hradec Kralove (bbmri-eric:ID:CZ_CUNI_HK) was established at The Fingerland Department of Pathology. Majority of patients from whom the specimens are stored fall into one of the following categories: colorectal cancer, breast cancer, ovarian cancer, head&neck cancer, lung cancer, brain tumors. The tumor tissue is cryopreserved at the moment of operation for future analysis of both DNA and RNA. Formalin-fixed and paraffin embedded tissue of corresponding neoplasms is stored as well. The specimens are collected in close cooperation with clinical specialists (surgeons, oncologists, etc.).",https://www.fnhk.cz/fingerland/aktivity-ustavu/diagnostika/kryokonzervace,Charles University,CZ,bbmri-eric:contactID:CZ_CUNI_HK,50.2001114,15.8244122,,bbmri-eric:contactID:CZ_CUNI_HK,bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,false,true,"biomaterial-storage,cell-culture,data-analytics,digital-imaging,immunohistochemistry-scoring,immunohistochemistry-staining,nucleic-acid-extraction,pathology-archive-access,recontact,tma-creation",CZ
bbmri-eric:ID:CZ_CUNI_LF1,21.T12995/1.29a0-b1a0-2e11,"Bank of Biological Material of the First Faculty of Medicine of Charles University, Prague",UK_LF1,"The Bank of Biological Material (BBM) of the First Faculty of Medicine of Charles University, Prague is primarily focused on the collection of tumour samples for future cancer research. The BBM collects samples of various types of tissues (tumour, metastases, non-tumour) classified by diagnosis, usually together with blood, serum, plasma, genomic DNA and/or urine samples taken at the time of surgery.",http://biobanka.lf1.cuni.cz/en,Charles University,CZ,bbmri-eric:contactID:CZ_zima,50.07460,14.42625,,bbmri-eric:contactID:CZ_CUNI_LF1,bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,false,true,,CZ
bbmri-eric:ID:CZ_CUNI_PILS,21.T12995/1.ea14-3c9b-5371,"Bank of Biological Material, Charles University - Pilsen",UK_PILS,"The biobank at the UH Pilsen is a typical hospital-integrated biobank closely collaborating with the Faculty of Medicine in Pilsen, Charles University. Since 2000 the Laboratory at the Department of Immunochemistry at the University Hospital (UH) Pilsen has been systematically collecting and storing samples of biological material for long term storage, and for routine diagnostics and research. The main diagnoses of interest were breast cancer, colorectal cancer, and prostate cancer. In 2014 the repository of biological samples at the University Hospital in Pilsen changed status to “biobank” and became a member of the national node BBMRI_CZ of the European Infrastructure BBMRI-ERIC.",https://biobanka.fnplzen.cz/en/node/1626,Charles University,CZ,bbmri-eric:contactID:CZ_CUNI_PILS,49.736015,13.374591,,bbmri-eric:contactID:CZ_CUNI_PILS,"bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,bbmri-eric:networkID:EU_BBMRI-ERIC:networks:COVID19",true,true,"biomaterial-storage,data-analytics",CZ
