tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,tableName_old,columnName_old
Datasources,,linkageOptions,bool,,,,,,,,,Can this data source be linked to other data sources?,EMA,,
Datasources,,linkedDatasources,refback,,,,LinkedDatasources,,mainDatasource,,,List of databanks that are linked in this datasource,,Datasources,databanks
Datasources,,linkedDatasourcesOther,text,,,,,,,,,"If other, enter the name of the data source(s)",EMA,,
Cohorts,,releaseType,ontology,,,CatalogueOntologies,ReleaseTypes,,,,,Select whether this resource is a closed dataset or whether new data is released continuously or at a termly basis,,,
Cohorts,,releaseDescription,text,,,,,,,,,Description of the release cycle of this resource,,,
Cohorts,,linkageOptions,text,,,,,,,,,Linkage options with additional data sources that are available for this resource,,,
DataResources,,access,heading,,,,,,,,,Access and validation information,,,
DataResources,,dataHolder,ref,,,,Organisations,,,,,The name of the organisation that is responsible for governance of the data bank,EMA,,
Datasources,,reasonSustained,text,,,,,,,,,"Description of the reason why the data bank is sustained by the organisation (e.g., for surveillance, clinical purposes, financial or administrative purposes, research purposes)",,,
Cohorts,,dataAccessConditions,ontology_array,,,CatalogueOntologies,DataAccessConditions,,,,,Codes defining data access terms and conditions,,,
Cohorts,,dataUseConditions,ontology_array,,,CatalogueOntologies,DataUseConditions,,,,,Codes defining data use terms and conditions,,,
Cohorts,,dataAccessConditionsDescription,text,,,,,,,,,Description of data access terms and use conditions,,,
Cohorts,,dataAccessFee,bool,,,,,,,,,Does a fee apply to gain access to data of this cohort?,,,
Datasources,,informedConsent,ontology,,,CatalogueOntologies,InformedConsents,,,,,Is informed consent required for use of the data for research purposes?,EMA,,
Datasources,,informedConsentOther,text,,,,,,,,,"If other, describe the conditions when informed consent is required",EMA,,
Datasources,,accessIdentifiableData,text,,,,,,,,,Can identifiable data be accessed in the data bank (including patient/practitioner name/practice name)?,,,
Datasources,,accessIdentifiableDataRoute,text,,,,,,,,,"If yes above, what is the route to access or process this information? What permission is required?",,,
Datasources,,accessSubjectDetails,bool,,,,,,,,,Can individual patients/practitioners/practices be contacted in the data bank?,EMA,,
Datasources,,accessSubjectDetailsRoute,text,,,,,,,,,"If yes above, what is the route to access or process this information? What permission is required?",,,
Datasources,,auditPossible,bool,,,,,,,,,"Are external parties allowed to audit the data? For example, is it possible for an external party to audit the quality or validity of the data source?",,,
Datasources,,accessThirdParty,bool,,,,,,,,,Can (an extract of) the data bank be accessed with permission by a third party?,,,
Datasources,,accessThirdPartyConditions,text,,,,,,,,,"If above is 'yes', describe the conditions under which third-party access may be granted",,,
Datasources,,accessNonEU,bool,,,,,,,,,Can (an extract of) the data bank be accessed with permission by a non-EU/EEA institution?,,,
Datasources,,accessNonEUConditions,text,,,,,,,,,"If yes above, describe the conditions under which non-EU/EEA access may be granted",,,
Datasources,,standardOperatingProcedures,bool,,,,,,,,,Is there a standard operating procedure document that defines the processes and procedures for data capture and management?,,,
Datasources,,biospecimenAccess,bool,,,,,,,,,"If the data bank contains biospecimens (e.g., tissue samples), can these be retrieved?",EMA,,
Datasources,,biospecimenAccessConditions,text,,,,,,,,,"If yes above, describe the conditions under which permission to retrieve biospecimens may be granted",EMA,,
Datasources,,governanceDetails,text,,,,,,,,,"If available, provide a link to documents or webpages that describe the overall governance of the data source bank (governing data access or utilisation for research purposes by existing DAPs)",,,
Datasources,,approvalForPublication,bool,,,,,,,,,Is an approval needed to publish the results of a study using the data,EMA,,
Datasources,,updates,heading,,,,,,,,,Information on the regularity of updates and time lags,,,
Datasources,,refresh,int,,,,,,,,,Average number of days between refresh of data bank with new records,,,
Datasources,,lagTime,int,,,,,,,,,"How many days is the lag time after refresh before a record can be extracted? (e.g., a lag time may occur if the originator conducts quality checks)",,,
Datasources,,preservation,bool,,,,,,,,,Are records preserved in the data bank indefinitely?,EMA,,
Datasources,,preservationDuration,int,,,,,,,,,"If no to the above, for how long (in years) are records preserved in the data bank?",EMA,,
Datasources,,refreshPeriod,ontology_array,,,CatalogueOntologies,Months,,,,,"If data are refreshed on fixed dates (e.g., every June and December), when are the refreshes scheduled? Select all that apply from the following:",EMA,,
Datasources,,dateLastRefresh,date,,,,,,,,,Date of last update/refresh,EMA,,
Datasources,,quality,heading,,,,,,,,,List of relevant studies conducted using the data bank,,,
Datasources,,qualification,bool,,,,,,,,,"Has the data source successfully undergone a formal qualification process (e.g., from the EMA, or ISO or other certifications)?",EMA,,
Datasources,,qualificationsDescription,text,,,,,,,,,"Has the resource successfully undergone a qualification process (e.g., from the EMA)? If yes, describe the qualification(s) granted",EMA,,
Datasources,,numberOfRecords,int,,,,,,,,,Total number of unique records captured in the data bank (most recent count),,,
Datasources,,completeness,text,,,,,,,,,"Describe the completeness of the data bank (e.g., variables with more or fewer missing values)",,,
Datasources,,completenessOverTime,text,,,,,,,,,"Describe any changes in completeness of the data bank (e.g., variables with more or fewer missing values) that have occurred  over time",,,
Datasources,,completenessResults,text,,,,,,,,,What methods or processes are applied to check completeness of the data bank?,,,
Datasources,,qualityDescription,text,,,,,,,,,"Describe the quality of the data bank (e.g., variables with more or fewer missing values)",,,
Datasources,,qualityOverTime,text,,,,,,,,,Describe any changes in quality of the data bank that have occurred  over time,,,
Datasources,,accessForValidation,bool,,,,,,,,,"Can validity of the data in the data bank be verified, e.g., by review of origin medical charts?",EMA,,
Datasources,,qualityValidationFrequency,text,,,,,,,,,How often are data quality checks and validation steps conducted on the data bank?,,,
Datasources,,qualityValidationMethods,text,,,,,,,,,What methods or processes are applied for data quality checks and validation steps conducted on the data bank?,,,
Datasources,,correctionMethods,text,,,,,,,,,What methods or processes are applied to correct illogical values in the data bank?,,,
Datasources,,qualityValidationResults,,,,,,,,,,"If available, provide a link to a publication of the data quality check and validation results",,,
Datasources,,standards,heading,,,,,,,,,Use of standard data models and ontologies,,,
Datasources,,cdms,refback,,,,Mappings,,source,,,Common data models used or ETL-ed to by this databank,EMA,,
Datasources,,etlFrequency,int,,,,,,,,,"The frequency of the ETL process, in months",,,
Datasources,,ETLstandardVocabularies,ontology_array,,,CatalogueOntologies,Vocabularies,,,,,"Are data mapped to standardised vocabularies during ETL to the CDM? If yes, what vocabularies are used for events, such as diagnoses?",,Databanks,ETLstandardVocabularies
Datasources,,ETLstandardVocabulariesOther,text,,,,,,,,,"If other, what other vocabularies are used?",,Databanks,ETLstandardVocabulariesOther
DataResources,,information,heading,,,,,,,,,Other information,,,
DataResources,,designPaper,ref_array,,,,Publications,,,,,Publication(s) that describe(s) the design of this resource,,,
ExtendedResources,,publications,ref_array,,,,Publications,,,,,Other publication(s) about this resource,EMA,,
Datasources,,fundingSources,ontology_array,,,CatalogueOntologies,FundingTypes,,,,,Specify the main financial support sources for the data source in the last 3 years. Select all that apply,EMA,,
Studies,,fundingScheme,ontology_array,,,CatalogueOntologies,StudyFunding,,,,,The source of funding for the study. Select all that apply,,,
ExtendedResources,,fundingStatement,text,,,,,,,,,Statement listing funding that was obtained for this resource,EMA,,
ExtendedResources,,acknowledgements,text,,,,,,,,,Acknowledgement statement and citation regulation for this resource,,,
ExtendedResources,,documentation,refback,,,,Documentation,,resource,,,"Descriptive document(s) available for this resource, e.g. informed consent",,,
DataResources,,supplementaryInformation,text,,,,,,,,,Any other information that needs to be disclosed for this resource,,,
DataResources,,collaborations,heading,,,,,,,,,List of relevant collaborations,,,
Cohorts,,studies,refback,,,,Studies,,cohorts,,,Listing of studies that used this cohort,,,
Cohorts,,networks,refback,,,,Networks,,cohorts,,,The consortia or networks that this cohort is involved in,,,
Studies,,networks,ref_array,,,,Networks,,,,,The consortia or networks that this study is part of,,,
Datasources,,networks,refback,,,,Networks,,datasources,,,List of networks that this datasource is associated with,,,
Datasources,,studies,refback,,,,Studies,,datasources,,,List of studies that this datasource is associated with,EMA,,
Publications,,,,,,,,,,,,Publications following bibtex format,,,
Publications,,doi,,1,TRUE,,,,,,,Digital object identifier,,,
Publications,,title,,,,,,,,,,Publication title,,,
Publications,,authors,string_array,,,,,,,,,"List of authors, one entry per author",,,
Publications,,year,int,,,,,,,,,"Year of publication (or, if unpublished, year of creation)",,,
Publications,,journal,,,,,,,,,,Journal or magazine the work was published in,,,
Publications,,volume,int,,,,,,,,,Journal or magazine volume,,,
Publications,,number,int,,,,,,,,,Journal or maragzine issue number,,,
Publications,,pagination,,,,,,,,,,"Page numbers, separated either by commas or double-hyphens",,,
Publications,,publisher,,,,,,,,,,Publisher's name,,,
Publications,,school,,,,,,,,,,School where the thesis was written (in case of thesis),,,
Publications,,abstract,text,,,,,,,,,Publication abstract,,,
Publications,,resources,refback,,,,ExtendedResources,,publications,,,List of resources that refer to this publication,,,
Contacts,,resource,ref,1,TRUE,,Resources,,,,,Resource the contact is affiliated with,,Contributions,resource
Contacts,,role,ontology_array,,,CatalogueOntologies,ContributionTypes,,,,,Type(s) of contribution or role in the resource,,Contributions,contributionType
Contacts,,firstName,,1,TRUE,,,,,,,First name of the contact person,,Contributions,contact.firstName
Contacts,,surname,,1,TRUE,,,,,,,Last name of the contact person,,Contributions,contact.surname
Contacts,,prefix,,,,,,,,,,"Surname prefix, if applicable",,,
Contacts,,initials,,,,,,,,,,Initials of the contact person,,,
Contacts,,title,ontology,,,CatalogueOntologies,Titles,,,,,Title of the contact person,,,
Contacts,,organisation,ref,,,,Organisations,,,,,Affiliated organisation of the contact person,,,
Contacts,,email,,,,,,,,,,Contact's email address,,,
Contacts,,orcid,,,,,,,,,,Orcid of the contact person,,,
Contacts,,homepage,,,,,,,,,,Link to contact's homepage,,,
Contacts,,photo,file,,,,,,,,,Contact's photograph,,,
Contacts,,expertise,,,,,,,,,,Description of contact's expertise,,,
Documentation,,,,,,,,,,,,Documentation attached to a resource,,,
Documentation,,resource,ref,1,TRUE,,ExtendedResources,,,,,The resource this documentation is for,,,
Documentation,,name,,1,TRUE,,,,,,,Document name,,,
Documentation,,type,ontology,,,CatalogueOntologies,DocumentTypes,,,,,Type of documentation,,,
Documentation,,description,text,,,,,,,,,Description of the document,,,
Documentation,,url,,,,,,,,,,Hyperlink to the source of the documentation,,,
Documentation,,file,file,,,,,,,,,Optional file attachment containing the documentation,,,
ResourceOrganisations,,,,,,,,,,,,Data access provider relationship where an organisation can provide access to (parts of) a resource,,,
ResourceOrganisations,,organisation,ref,1,TRUE,,Organisations,,,,,Group that provides access,,,
ResourceOrganisations,,resource,ref,1,TRUE,,ExtendedResources,,,,,Resource that is access or has experience with provided to,,DAPs,resource
ResourceOrganisations,,isDataAccessProvider,ontology_array,,,CatalogueOntologies,DataAccessProviderInformation,,,,,"Description of data access levels, completenes, reason for access, fees, processTime",,,
ResourceOrganisations,,populationSubsetOther,text,,,,,,,,,"If 'other' is selected above, describe the subset that can be accessed",,DAPs,populationSubsetOther
ResourceOrganisations,,reasonAccessOther,text,,,,,,,,,"If reasonAccess is 'other', reason for being able to access (an extract of) the data source",,DAPs,reasonAccessOther
LinkedDatasources,,,,,,,,,,,,Links between datasource and databank,,,
LinkedDatasources,,mainDatasource,ref,1,,,Datasources,,,,,,,DatasourceDatabanks,datasource
LinkedDatasources,,linkedDatasource,ref,1,,,Datasources,,,,,,,DatasourceDatabanks,databank
LinkedDatasources,,linkageDescription,text,,,,,,,,,Provide a high-level description of the linkages that are either currently available between data sources in the data source (when pre-linked = yes) or linkages that are possible when using the data source,,,
LinkedDatasources,,linkageStrategy,ontology,,,CatalogueOntologies,LinkageStrategies,,,,,The linkage method that was used to link data banks. One entry per data bank,,DatasourceDatabanks,linkageStrategy
LinkedDatasources,,linkageVariable,text,,,,,,,,,"If a single variable (or linkage key) is used to link a data bank to others, a name and description of the variable is provided. One entry per data bank",,DatasourceDatabanks,linkageVariable
LinkedDatasources,,linkageVariableUnique,bool,,,,,,,,,"If a single variable is used to link a data bank to others, is the variable a unique identifier? One entry per data bank",,DatasourceDatabanks,linkageVariableUnique
LinkedDatasources,,linkageCompleteness,text,,,,,,,,,Provide a high-level description of the completeness of linkages that are currently available between data banks in the data source (max 100 words),,DatasourceDatabanks,linkageCompleteness
LinkedDatasources,,preLinked,bool,,,,,,,,,Does the data source constitute of linked data sources?,,,
QuantitativeInformation,,,,,,,,,,,,Quantitative information on the resource,,,
QuantitativeInformation,,resource,ref,1,,,ExtendedResources,,,,,,,PopulationSizes,databank
QuantitativeInformation,,ageGroup,ontology,1,,CatalogueOntologies,AgeGroups,,,,,Select the relevant age group for this quantitative information,,PopulationSizes,ageband
QuantitativeInformation,,populationSize,int,,,,,,,,,"Total number of unique individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year",,PopulationSizes,numberCaptured
QuantitativeInformation,,activeSize,int,,,,,,,,,"Number of unique, active, or currently registered individuals with records captured in the data source (most recent count). In the catalogue, this will accommodate counts per year",,PopulationSizes,numberActive
QuantitativeInformation,,noIndividualsWithSamples,int,,,,,,,,,"Number of unique individuals with records of biological samples (e.g., blood, urine) (most recent count). In the catalogue, this will accommodate counts per year ",,,
QuantitativeInformation,,meanObservationYears,int,,,,,,,,,Median years for which unique individuals with records captured in the data source are observable (most recent count),,,
QuantitativeInformation,,meanYearsActive,int,,,,,,,,,Median time for which unique individuals with records captured in the data source are observable (most recent count),,,
QuantitativeInformation,,medianAge,int,,,,,,,,,Median age of individuals within data source,,,
QuantitativeInformation,,proportionFemale,int,,,,,,,,,Proportion of females in the data source,,,
CollectionEvents,,,,,,,,,,,,Definition of a data collection event for a resource,,,
CollectionEvents,,resource,ref,1,TRUE,,ExtendedResources,,,,,Resource this collection event is part of,,,
CollectionEvents,,name,,1,TRUE,,,,,,,Name of the collection event,,,
CollectionEvents,,description,text,,,,,,,,,Description of the collection event,,,
CollectionEvents,,subcohorts,ref_array,,,,Subcohorts,resource,,,,Subcohorts that are targetted by this collection event,,,
CollectionEvents,,startYear,ontology,,,CatalogueOntologies,Years,,,,,Start year of data collection,,,
CollectionEvents,,startMonth,ontology,,,CatalogueOntologies,Months,,,,,Start month of data collection,,,
CollectionEvents,,endYear,ontology,,,CatalogueOntologies,Years,,,,,End year of data collection. Leave empty if collection is ongoing,,,
CollectionEvents,,endMonth,ontology,,,CatalogueOntologies,Months,,,,,End month of data collection. Leave empty if collection is ongoing,,,
CollectionEvents,,ageGroups,ontology_array,,,CatalogueOntologies,AgeGroups,,,,,Age groups included in this data collection event,,,
CollectionEvents,,numberOfParticipants,int,,,,,,,,,Number of participants sampled in this data collection event,,,
CollectionEvents,,areasOfInformation,ontology_array,,,CatalogueOntologies,AreasOfInformationCohorts,,,,,Areas of information that were extracted in this data collection event,,,
CollectionEvents,,dataCategories,ontology_array,,,CatalogueOntologies,DataCategories,,,,,Methods of data collection used in this collection event,,,
CollectionEvents,,sampleCategories,ontology_array,,,CatalogueOntologies,SampleCategories,,,,,Samples that were collected in this collection event,,,
CollectionEvents,,standardizedTools,ontology_array,,,CatalogueOntologies,StandardizedTools,,,,,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event",,,
CollectionEvents,,standardizedToolsOther,,,,,,,,,,"If 'other', please specify",,,
CollectionEvents,,coreVariables,string_array,,,,,,,,,Name 10-20 relevant variables that were collected in this collection event,,,
CollectionEvents,,supplementaryInformation,text,,,,,,,,,Any other information that needs to be disclosed for this collection event,,,
Subcohorts,,,,,,,,,,,,Subcohorts defined for this resource,,,
Subcohorts,,resource,ref,1,TRUE,,ExtendedResources,,,,,Resource this subcohort is part of,,,
Subcohorts,,name,,1,TRUE,,,,,,,"Subcohort name, e.g. 'mothers in first trimester','newborns'",,,
Subcohorts,,description,text,,,,,,,,,Subcohort description,,,
Subcohorts,,numberOfParticipants,int,,,,,,,,,Number of participants in this subcohort,,,
Subcohorts,,counts,refback,,,,SubcohortCounts,,subcohort,,,"Total number of unique individuals per age(group), gender and year",,,
Subcohorts,,inclusionStart,int,,,,,,,,,Year of first included participant,,,
Subcohorts,,inclusionEnd,int,,,,,,,,,Year of last included participant. Leave empty if collection is ongoing,,,
Subcohorts,,ageGroups,ontology_array,,,CatalogueOntologies,AgeGroups,,,,,Age groups within this subcohort,,,
Subcohorts,,mainMedicalCondition,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Disease groups within this subcohort, based on ICD-10 and ORPHA code classifications",,,
Subcohorts,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subcohort, based on ICD-10 classification",,,
Subcohorts,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this subcohort largely originate from,,,
Subcohorts,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this subcohort largely originate from,,,
Subcohorts,,inclusionCriteria,text,,,,,,,,,Inclusion criteria applied to this subcohort,,,
Subcohorts,,supplementaryInformation,text,,,,,,,,,Any other information that needs to be disclosed for this subcohort,,,
Networks,,datasources,ref_array,,,,Datasources,,,,,,,,
Networks,,cohorts,ref_array,,,,Cohorts,,,,,,,,
Networks,,models,ref_array,,,,Models,,,,,The common data model(s) used by this network,,,
Networks,,studies,refback,,,,Studies,,networks,,,,,,
Studies,,requiredByRegulator,bool,,,,,,,,,Was the study requested by a regulatory body?,,,
Studies,,requiredByRMP,ontology,,,CatalogueOntologies,RMPRequirements,,,,,Was the study required by a Risk Management Plan (RMP)?,,,
