tableName,tableExtends,tableType,columnName,columnType,key,required,refTable,refBack,defaultValue,validation,semantics,description
Charts,,,top margin,int,,,,,15,"(function () {
  if (topMargin !== null && topMargin < 0) {
  return ""The top margin cannot be less than 0""
  }
  if (topMargin !== null && topMargin > 250) {
  return ""The top margin cannot be more than 250""
  }
})();",http://purl.obolibrary.org/obo/NCIT_C69210,A number that indicates the amount of white space to add to the top of the chart
Charts,,,right margin,int,,,,,15,"(function () {
  if (rightMargin !== null && rightMargin < 0) {
  return ""The right margin cannot be less than 0""
  }
  if (rightMargin !== null && rightMargin > 250) {
  return ""The right margin cannot be more than 250""
  }
})();",http://purl.obolibrary.org/obo/NCIT_C69201,A number that indicates the amount of white space to add to the right of the chart
Charts,,,bottom margin,int,,,,,60,"(function () {
  if (bottomMargin !== null && bottomMargin < 0) {
  return ""The bottom margin cannot be less than 0""
  }
  if (bottomMargin !== null && bottomMargin > 250) {
  return ""The bottom margin cannot be more than 250""
  }
})();",http://purl.obolibrary.org/obo/NCIT_C69210,A number that indicates the amount of white space to add to the bottom of the chart
Charts,,,left margin,int,,,,,80,"(function () {
  if (leftMargin !== null && leftMargin < 0) {
  return ""The left margin cannot be less than 0""
  }
  if (leftMargin !== null && leftMargin > 250) {
  return ""The left margin cannot be more than 250""
  }
})();",http://purl.obolibrary.org/obo/NCIT_C69201,A number that indicates the amount of white space to add to the left of the chart
Charts,,,legend position,ontology,,,Legend positions,,top,,"http://semanticscience.org/resource/SIO_000468,http://semanticscience.org/resource/SIO_000056",The position of the legend around the chart.
Charts,,,data points,refback,,,Chart data,included in chart,,,http://semanticscience.org/resource/SIO_000546,Data that is prepared to be used in a chart
Charts,,,dashboard page,ref,,,Dashboard pages,,,,http://semanticscience.org/resource/SIO_000302,
Chart data,,,,,,,,,,,http://semanticscience.org/resource/SIO_000089,Data used in a visualisation
Chart data,,,id,string,1,TRUE,,,,,"http://semanticscience.org/resource/SIO_000115",A value that identifies this data point in a chart
Chart data,,,name,string,,,,,,,"http://semanticscience.org/resource/SIO_000116","A label to be displayed in the chart that visually identifies the data point. By default, data points must have a name and value defined. If you would like to create a chart that displays number of participants by disease and research institution, then you would put the diseases in the ""name"" column and the institutions in the ""primary category"" column."
Chart data,,,value,decimal,,,,,,,http://semanticscience.org/resource/SIO_000465,"The calculated value of the data point. A value that is described by the ""name"" and can be further grouped by the primary and secondary categories."
Chart data,,,value label,string,,,,,,,"http://semanticscience.org/resource/SIO_000179","An alternative label that will be displayed in the chart in place of the actual value. This is useful if you would like to format the values in the specific format (e.g., ""10.05% increase"" instead of ""10.05""). If you use the ""value label"" column, the ""value"" column must be populated."
Chart data,,,series,string,,,,,,,"http://semanticscience.org/resource/SIO_000464",A data series is a data set composed of related values displayed in a statistical graph. It is intended to use this column for line charts. This column is useful to link data points of a group in addition to the primary and secondary category columns.
Chart data,,,primary category,string,,,,,,,"http://semanticscience.org/resource/SIO_000455,http://semanticscience.org/resource/SIO_000456","A primary category axis is a category axis that either defines the sole value range or holds the larger set of categorical values specified by the secondary category axis. For example, if you need to group the categories listed in the ""name"" column, then define the grouping levels here."
Chart data,,,secondary category,string,,,,,,,"http://semanticscience.org/resource/SIO_000455,http://semanticscience.org/resource/SIO_000457",A secondary category axis is a category axis that defines a finer granular part (or subset) of the value range of the primary category axis.
Chart data,,,primary category label,string,,,,,,,http://semanticscience.org/resource/SIO_000179,"An alternative label that will be displayed instead of the value in ""primary category"" column"
Chart data,,,secondary category label,string,,,,,,,http://semanticscience.org/resource/SIO_000179,"An alternative label that will be displayed instead of the value in ""secondary category"" column"
Chart data,,,time value,string,,,,,,,"http://semanticscience.org/resource/SIO_000391"," time measurement is a measurement value of the duration of some interval of time or a particular instant of time (against some frame of reference). This column should be populated if you are visualising data by time. It is intended to place the value in this column (e.g., ""2020,2021,2022,..."" or ""12, 13,14""; years, months, etc.) and set the unit in the ""time unit"" column."
Chart data,,,time unit,ontology,,,Time intervals,,,,"http://semanticscience.org/resource/SIO_000074","A unit that provides context to the value in the column ""time interval"". E.g., ""months"", ""years"", etc."
Chart data,,,color,string,,,,,,,"http://schema.org/color","A colour value (RGB, HEX, HSL, etc.) used to style the data point"
Chart data,,,description,text,,,,,,,"http://semanticscience.org/resource/SIO_000136",A description is language entity in which elements of a language (formal or natural) are used to characterize an entity. This is useful if you are using tooltips in charts. Information placed in this column could be displayed in the charts.
Chart data,,,sort order,int,,,,,,,"http://semanticscience.org/resource/SIO_001316",A numerical value indicating the sorting method for data points
Chart data,,,included in chart,ref,,,Charts,,,,"http://edamontology.org/topic_0092",A value that links one or more data points to a visualisation
