name,label,definition,parent
Procedures vocabulary,,"If information on medical procedures is captured, select all vocabularies that apply",Clinical data
Procedures vocabulary: Not captured,Not captured,,Procedures vocabulary
Procedures vocabulary: ICPC,ICPC,,Procedures vocabulary
Procedures vocabulary: ICD9,ICD9,,Procedures vocabulary
Procedures vocabulary: ICD10,ICD10,,Procedures vocabulary
Procedures vocabulary: ICD1,ICD1,,Procedures vocabulary
Procedures vocabulary: Read,Read,,Procedures vocabulary
Procedures vocabulary: SNOMED,SNOMED,,Procedures vocabulary
Procedures vocabulary: SNOMED CT,SNOMED CT,,Procedures vocabulary
Procedures vocabulary: MedDRA,MedDRA,,Procedures vocabulary
Procedures vocabulary: OPCS,OPCS,,Procedures vocabulary
Procedures vocabulary: CCS,CCS,,Procedures vocabulary
Procedures vocabulary: EDC,EDC,,Procedures vocabulary
Procedures vocabulary: Not coded (Free text),Not coded (Free text),,Procedures vocabulary
Procedures vocabulary: Other,Other,,Procedures vocabulary
Clinical measures,,"Is information on clinical measures included (e.g., BMI, blood pressure)?",Clinical data
Healthcare centre,,"Is information on the healthcare centre (e.g., pharmacy, general practice, hospital) available?",
Healthcare provider,,"Is information on the person providing healthcare (e.g., physician, pharmacist, specialist) available?",
Genetic data,,Is genotyping information available? Select all vocabularies that apply,
OGG,,,Genetic data
FG,,,Genetic data
GO,,,Genetic data
EGO,,,Genetic data
SOPHARM,,,Genetic data
PHARE,,,Genetic data
HGNC,,,Genetic data
Genetic data: Other,Other,,Genetic data
Biomarker data,,"Is biomarker information available, select all vocabularies that apply",
BMO,,,Biomarker data
SMASH,,,Biomarker data
FOBI,,,Biomarker data
HPO,,,Biomarker data
Biomarker data: Other,Other,,Biomarker data
Patient-generated data,,"Is patient-generated information (e.g.,from wearable devices) available?",
Patient-reported data,,Are patient-reported outcomes (e.g quality of life) available?,
Quality of life,,Are quality of life measures available? Select all that apply,
AQoL-8D,,,Quality of life
QOLS,,,Quality of life
MQOL,,,Quality of life
MQOL-E,,,Quality of life
HRQOL,,,Quality of life
WHOQOL,,,Quality of life
EQ5D,,,Quality of life
15D,,,Quality of life
SF-36,,,Quality of life
SF-6D,,,Quality of life
HUI,,,Quality of life
Quality of life: Not captured,Not captured,,Quality of life
Quality of life: Not coded (Free text),Not coded (Free text),,Quality of life
Quality of life: Other,Other,,Quality of life
Health care costs,,Is information on costs of healthcare available?,
Free text,,Is free text information available?,
Care setting,,,
"Primary care - GP, community pharmacist level",,Care setting,
Primary care - specialist level (e.g. paediatricians),,Care setting,
Secondary care - specialist level (ambulatory),,Care setting,
Hospital inpatient care,,Care setting,
Hospital outpatient care,,Care setting,
Care setting: Other,Other,Care setting,
