tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description
Cohorts,,networks,ref_array,,,UMCG,Networks,,cohorts,,,The consortia or networks that this cohort is involved in
Extended resources,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc."
Cohorts,,contact email,,,,,,,,,,Contact e-mail address for this cohort
Resources,,contacts,refback,,,,Contacts,,resource,,,Listing who is/has been involved in the creation and maintenance of this resource
Data resources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource
Data resources,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected
Data resources,,number of participants with samples,int,,,,,,,,,Number of individuals for which samples are collected
Extended resources,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from
Data resources,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this resource largely originate from
Data resources,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups of the participants of this resource
Cohorts,,inclusion criteria,text,,,,,,,,,Inclusion criteria applied to the participants of this resource
Cohorts,,start year,int,,,,,,,,,Year when first data was collected (retrospectively)
Cohorts,,end year,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing
Cohorts,,subcohorts,refback,,,,Subcohorts,,resource,,,List of subcohorts or subpopulations for this resource
Data resources,,contents,heading,,,,,,,,,Data model and contents
Cohorts,,collection events,refback,,,,Collection events,,resource,,,List of collection events defined for this resource
Data resources,,access,heading,,,,,,,,,
Cohorts,,data access conditions,ontology_array,,,CatalogueOntologies,Data access conditions,,,,,Codes defining data access terms and conditions
Cohorts,,data use conditions,ontology_array,,,CatalogueOntologies,Data use conditions,,,,,Codes defining data use terms and conditions
Cohorts,,data access conditions description,text,,,,,,,,,Description of data access terms and use conditions
Cohorts,,data access fee,bool,,,,,,,,,Does a fee apply to gain access to data of this cohort?
Cohorts,,release type,ontology,,,CatalogueOntologies,Release types,,,,,Select whether this resource is a closed dataset or whether new data is released continuously or at a termly basis
Cohorts,,release description,text,,,,,,,,,Description of the release cycle of this resource
Cohorts,,linkage options,text,,,,,,,,,Linkage options with additional data sources that are available for this resource
Data resources,,other information,heading,,,,,,,,,Other information
Data resources,,design paper,ref_array,,,,Publications,,,,,Publication(s) that describe(s) the design of this resource
Extended resources,,documentation,refback,,,,Documentation,,resource,,,List of documentation available for this resource
Extended resources,,funding statement,text,,,,,,,,,Statement listing funding that was obtained for this resource
Extended resources,,acknowledgements,text,,,,,,,,,Acknowledgement statement and citation regulation for this resource
Publications,,doi,,1,TRUE,,,,,,,Digital object identifier
Publications,,title,,,TRUE,,,,,,,Publication title
Contacts,,resource,ref,1,TRUE,,Resources,,,,,Resource the contact is affiliated with
Contacts,,role,ontology_array,,,CatalogueOntologies,Contribution types,,,,,Type(s) of contribution or role in the resource
Contacts,,first name,,1,TRUE,,,,,,,First name of the contact person
Contacts,,last name,,1,TRUE,,,,,,,Last name of the contact person
Contacts,,prefix,,,,,,,,,,"Surname prefix, if applicable"
Contacts,,initials,,,,,,,,,,Initials of the contact person
Contacts,,title,ontology,,,CatalogueOntologies,Titles,,,,,Title of the contact person
Contacts,,organisation,ref,,,,Organisations,,,,,Affiliated organisation of the contact person
Contacts,,email,,,,,,,,,,Contact's email address
Contacts,,orcid,,,,,,,,,,Orcid of the contact person
Contacts,,homepage,,,,,,,,,,Link to contact's homepage
Contacts,,photo,file,,,,,,,,,Contact's photograph
Contacts,,expertise,,,,,,,,,,Description of contact's expertise
Documentation,,resource,ref,1,TRUE,,Resources,,,,,The resource this documentation is for
Documentation,,name,,1,TRUE,,,,,,,Document name
Documentation,,description,text,,,,,,,,,Description of the document
Documentation,,url,,,,,,,,,,Hyperlink to the source of the documentation
Documentation,,file,file,,,,,,,,,Optional file attachment containing the documentation
Collection events,,,,,,,,,,,,List of collection events defined for this resource (fill in at least one collection event)
Collection events,,resource,ref,1,TRUE,,Resources,,,,,Resource this collection event is part of
Collection events,,name,,1,TRUE,,,,,,,Name of the collection event
Collection events,,description,text,,,,,,,,,Description of the collection event
Collection events,,subcohorts,ref_array,,,,Subcohorts,resource,,,,Subcohorts that are targetted by this collection event
Collection events,,start year,ontology,,,CatalogueOntologies,Years,,,,,Start year of data collection
Collection events,,start month,ontology,,,CatalogueOntologies,Months,,,,,Start month of data collection
Collection events,,end year,ontology,,,CatalogueOntologies,Years,,,,,End year of data collection. Leave empty if collection is ongoing
Collection events,,end month,ontology,,,CatalogueOntologies,Months,,,,,End month of data collection. Leave empty if collection is ongoing
Collection events,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups included in this data collection event
Collection events,,number of participants,int,,,,,,,,,Number of participants sampled in this data collection event
Collection events,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information cohorts,,,,,Areas of information that were extracted in this data collection event
Collection events,,data categories,ontology_array,,,CatalogueOntologies,Data categories,,,,,Methods of data collection used in this collection event
Collection events,,sample categories,ontology_array,,,CatalogueOntologies,Sample categories,,,,,Samples that were collected in this collection even
Collection events,,standardized tools,ontology_array,,,CatalogueOntologies,Standardized tools,,,,,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event"
Collection events,,standardized tools other,,,,,,,,,,"If 'other', please specify"
Collection events,,core variables,string_array,,,,,,,,,Enter 10-20 relevant variables that were collected in this collection event
Subcohorts,,resource,ref,1,TRUE,,Resources,,,,,Resource this subcohort is part of
Subcohorts,,name,,1,TRUE,,,,,,,"Subcohort name, e.g. 'mothers in first trimester','newborns'"
Subcohorts,,description,text,,,,,,,,,Subcohort description
Subcohorts,,counts,refback,,,,Subcohort counts,,subcohort,,,"Total number of unique individuals per age(group), gender and year"
Subcohorts,,number of participants,int,,,,,,,,,Number of participants in this subcohort
Subcohorts,,inclusion start,int,,,,,,,,,Year of first included participant
Subcohorts,,inclusion end,int,,,,,,,,,Year of last included participant. Leave empty if collection is ongoing
Subcohorts,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups within this subcohort
Subcohorts,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Disease groups within this subcohort, based on ICD-10 classification"
Subcohorts,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subcohort, based on ICD-10 classification"
Subcohorts,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this subcohort largely originate from
Subcohorts,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this subcohort largely originate from
Subcohorts,,inclusion criteria,text,,,,,,,,,Inclusion criteria applied to this subcohort
Subcohort counts,,subcohort,ref,1,TRUE,,Subcohorts,,,,,
Subcohort counts,,age group,ontology,1,TRUE,CatalogueOntologies,Age groups,,,,,
Subcohort counts,,N total,int,,,,,,,,,
Subcohort counts,,N female,int,,,,,,,,,
Subcohort counts,,N male,int,,,,,,,,,
External identifiers,,resource,ref,1,TRUE,,Extended resources,,,,,Resource that this external identifier belongs to
External identifiers,,identifier,,1,TRUE,,,,,,,"External identifier, e.g. UMCG research register number"
External identifiers,,external identifier type,ontology,,,CatalogueOntologies,External identifier types,,,,,External identifier type
External identifiers,,external identifier type other,text,,,,,,,,,"If other, enter external identifier type"
Organisations,,type,ontology,,,CatalogueOntologies,Organisation types,,,,,Type of organisation; in which sector is the organisation active?
Organisations,,type other,text,,,,,,,,,"If type is 'other', a description of type of organisation"
Organisations,,institution,text,,,,,,,,,"University, company, medical centre or research institutes this organisation is part of"
Organisations,,institution acronym,string,,,,,,,,,Short name of the institution
Organisations,,country,ontology,,,CatalogueOntologies,Countries,,,,,Country in which the institution head office or coordinating centre is located
Organisations,,features,ontology_array,,,CatalogueOntologies,Organisation features,,,,,Features that describe this organisation
Organisations,,role,ontology_array,,,CatalogueOntologies,Organisation roles,,,,,Roles of the institution in connection with data sources in the catalogue. Select one or more of the following:
Organisations,,leading resources,refback,,,,Extended resources,,lead organisation,,,"Listing of data sources, cohorts, studies (etc)"
Organisations,,additional resources,refback,,,,Extended resources,,additional organisations,,,"Listing of data sources, cohorts, studies (etc)"
