collection,dataset,name,useExternalDefinition.collection,useExternalDefinition.dataset,useExternalDefinition.name,label,description,collection event,format,unit,since version,until version,repeat unit,repeat min,repeat max,example values,keywords,vocabularies,notes
LifeCycle,core,cob_p,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,cob_p_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,coh_country,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ln_c_preg,,,,,,,,,1.0.0,,,,,,,,
ATHLETE,outcome_ath,mets_idefics_,,,,,,,,,,,,,,,,,
LifeCycle,core,cohab_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,cohort_id,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,con_anomalies,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,connind100_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,connind100_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,connind100_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ethn2_p,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,connind300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,connind300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,height_,,,,,,,,,1.0.0,,Week,0,42,,,,
LifeCycle,core,connind300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dairy_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dairy_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dairy_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dash_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dash_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,death_child,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,death_child_age,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,supp_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,death_p_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dia_bf,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dietage_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dietage_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dietass_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dietass_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dietass_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dietga_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,distinvnear1_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,distinvnear1_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,distinvnear1_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dogs_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dogs_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dogs_quant_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,dogs_quant_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ed_m_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ethn1_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hum_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,edu_f1_,,,,,,,,,1.0.0,,,0,,,,,
ATHLETE,outcome_ath,mets_score_idefics_,,,,,,,,,,,,,,,,,
ATHLETE,outcome_ath,mri_age_,,,,,,,,,,,,,,,,,
LifeCycle,core,edu_f1_fath,,,,,,,,,1.0.0,,,0,,,,,
LifeCycle,core,edu_f2_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,edu_f2_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,edu_m_,,,,,,,,,1.0.0,,,0,,,,,
LifeCycle,core,egg_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,egg_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,egg_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fastfood_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ethn1_p,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ethn2_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ethn3_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ethn3_p,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ethn_p_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,eusilc_income,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,eusilc_income_quintiles,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fam_splitup,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,famdinner_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,famdinner_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,famsize_adult,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,famsize_child,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,fdensity300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fdensity300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fdensity300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ffish_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ffish_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ffish_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fish_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fish_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,height_age,,,,,,,,,1.0.0,,Week,0,42,,,,
LifeCycle,core,fish_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,folic_post,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,folic_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,folic_prepreg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,food_all_sens_IgE_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,foodenvdens300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,foodenvdens300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,foodenvdens300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,foodenvdensosm300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,foodenvdensosm300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,foodenvdensosm300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,frichness300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,frichness300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,frichness300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fruit_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fruit_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,fruit_sch,,,,,,,,,1.0.0,,,,,,,,
ATHLETE,outcome_ath,homa_ir_,,,,,,,,,,,,,,,,,
LifeCycle,core,ga_bj,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ga_lmp,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ga_mr,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ga_us,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,grain_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,grain_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,grain_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,green_dist_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,green_dist_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,green_dist_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,green_size_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,green_size_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,green_size_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,greenyn300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,greenyn300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,greenyn300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hdres_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hdres_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hdres_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,height_f,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,height_f1_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,height_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,height_mes_f,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,height_mes_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hhincome_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hmax_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hmax_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hmax_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hmin_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hmin_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hmin_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hum_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,hum_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,indtr_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,indtr_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,indtr_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,inh_all_sens_IgE_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ln_c_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,inh_all_sens_SPT_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,inhalant_all_sens_SPT_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ivf,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,kcal_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,kcal_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,kcal_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,landuseshan300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,landuseshan300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,landuseshan300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,latepreg_weight,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,latepreg_weight_ga,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,latepreg_weight_mes,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lden_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,nffish_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lden_c_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lden_c_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lden_c_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lden_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lden_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ldres_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ldres_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ldres_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lfdairy_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lfdairy_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lfdairy_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,outdoorp_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ln_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ln_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lst_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lst_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,lst_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mainmeal_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mainmeal_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,major_con_anomalies,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mar,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mdist_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mdist_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mdist_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,meat_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,meat_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,meat_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mental_exp,,,,,,,,,1.0.0,,Year,0,21,,,,
LifeCycle,core,outdoorpage_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,miggen_child,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mode_delivery,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,mother_id,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,na_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,na_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,na_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,natgr_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,natgr_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,natgr_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,outcome,eczema_ever,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi100_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi100_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi100_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi300_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi300_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi300_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi500_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi500_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,ndvi500_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,neo_unit,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,nffish_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,nffish_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,no2_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,no2_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,no2_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,noise_dist_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,noise_dist_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,noise_dist_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,nox_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,nox_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,nox_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,occup_f1_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,occup_f1_fath,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,occup_f2_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,occup_f2_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10cu_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,occup_m_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,occupcode_f1_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,occupcode_f1_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,occupcode_f2_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,occupcode_f2_fath,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,occupcode_m_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,other_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,other_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,other_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,outcome,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,parity_m,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,patternA_snackscreen_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,patternB_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,perccarb_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,perccarb_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,perccarb_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,percfat_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,percfat_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,percfat_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,percprot_pgn,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,percprot_psc,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,percprot_sch,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pets_,,,,,,,,,1.0.0,,Trimester,0,3,,,,
LifeCycle,core,plac_abrup,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,plurality,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10cu_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10cu_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10fe_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10fe_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10fe_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10k_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10k_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10k_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10ni_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10ni_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10ni_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10s_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10s_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10s_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10si_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10si_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10si_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10v_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10v_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10v_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10zn_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10zn_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm10zn_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25abs_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25abs_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25abs_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25cu_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25cu_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25cu_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25fe_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25fe_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25fe_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25k_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25k_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25k_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25ni_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25ni_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25ni_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25s_,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25s_preg,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25s_t,,,,,,,,,1.0.0,,,,,,,,
LifeCycle,core,pm25si_,,,,,,,,,1.0.0,,,,,,,,
