"id","label","synonyms","description","link","parents"
"ORPHA:118340","ribonuclease H2 subunit C","Aicardi-Goutieres syndrome 3|AYP1|AGS3","","https://identifiers.org/orphanet:118340","ORPHA:410298"
"ORPHA:120419","unc-93 homolog B1, TLR signaling regulator","UNC93","","https://identifiers.org/orphanet:120419","ORPHA:410298"
"ORPHA:118105","presenilin 2","AD3L|PS2|STM2","","https://identifiers.org/orphanet:118105","ORPHA:410298"
"ORPHA:118347","ring finger protein 139","RCA1|translocation in renal carcinoma, chromosome 8|TRC8|HRCA1","","https://identifiers.org/orphanet:118347","ORPHA:410298"
"ORPHA:119435","carbohydrate sulfotransferase 6","","","https://identifiers.org/orphanet:119435","ORPHA:410298"
"ORPHA:108971","Non-syndromic visceral malformation","","","https://identifiers.org/orphanet:108971","ORPHA:98041,ORPHA:377794,ORPHA:183548"
"ORPHA:108969","Syndromic intestinal malformation","","","https://identifiers.org/orphanet:108969","ORPHA:97945,ORPHA:377794"
"ORPHA:108967","Non-syndromic intestinal malformation","","","https://identifiers.org/orphanet:108967","ORPHA:97945,ORPHA:377794"
"ORPHA:101097","Autosomal recessive Charcot-Marie-Tooth disease with hoarseness","Autosomal recessive axonal CMT4C4|ARCMT2K|Autosomal recessive axonal Charcot-Marie-Tooth disease type 2K","Autosomal recessive Charcot-Marie-Tooth disease with hoarseness (ARCMT2K or CMT4C4) is a severe early-onset form of axonal CMT peripheral sensorimotor polyneuropathy.","https://identifiers.org/orphanet:101097","ORPHA:377788"
"ORPHA:108965","Syndromic gastroduodenal malformation","","","https://identifiers.org/orphanet:108965","ORPHA:377794,ORPHA:97944"
"ORPHA:108963","Non-syndromic gastroduodenal malformation","","","https://identifiers.org/orphanet:108963","ORPHA:377794,ORPHA:97944"
"ORPHA:120431","uroporphyrinogen III synthase","congenital erythropoietic porphyria","","https://identifiers.org/orphanet:120431","ORPHA:410298"
"ORPHA:118111","phosphoserine phosphatase","","","https://identifiers.org/orphanet:118111","ORPHA:410298"
"ORPHA:119685","solute carrier family 4 member 4","pNBC|HNBC1|NBC2|hhNMC|NBC1","","https://identifiers.org/orphanet:119685","ORPHA:410298"
"ORPHA:118352","roundabout guidance receptor 3","FLJ21044|RBIG1|HGPS","","https://identifiers.org/orphanet:118352","ORPHA:410298"
"ORPHA:119202","coiled-coil and C2 domain containing 1A","FLJ20241|MRT3|mental retardation, nonsyndromic, autosomal recessive, 3|Freud-1","","https://identifiers.org/orphanet:119202","ORPHA:410298"
"ORPHA:120433","USH1 protein network component harmonin","harmonin|AIE-75|PDZ73|NY-CO-37|PDZ-73|NY-CO-38|PDZD7C","","https://identifiers.org/orphanet:120433","ORPHA:410298"
"ORPHA:118596","selenoprotein N","SELN|RSS","","https://identifiers.org/orphanet:118596","ORPHA:410298"
"ORPHA:119442","class II major histocompatibility complex transactivator","nucleotide-binding oligomerization domain, leucine rich repeat and acid domain containing|NLR family, acid domain containing|C2TA|NLRA","","https://identifiers.org/orphanet:119442","ORPHA:410298"
"ORPHA:118590","semaphorin 3E","M-SemaK|KIAA0331|M-sema H|coll-5","","https://identifiers.org/orphanet:118590","ORPHA:410298"
"ORPHA:119680","solute carrier family 4 member 11","BTR1|NaBC1|dJ794I6.2|FECD4","","https://identifiers.org/orphanet:119680","ORPHA:410298"
"ORPHA:120429","uroporphyrinogen decarboxylase","","","https://identifiers.org/orphanet:120429","ORPHA:410298"
"ORPHA:119447","chloride voltage-gated channel 1","Thomsen disease, autosomal dominant|CLC1|ClC-1","","https://identifiers.org/orphanet:119447","ORPHA:410298"
"ORPHA:118114","proline-serine-threonine phosphatase interacting protein 1","CD2BP1S|PAPAS|CD2BP1|CD2 cytoplasmic tail-binding protein|CD2 antigen-binding protein 1|PEST phosphatase-interacting protein 1|PSTPIP|CD2BP1L|H-PIP","","https://identifiers.org/orphanet:118114","ORPHA:410298"
"ORPHA:119206","coiled-coil domain containing 6","DNA segment, single copy, probe pH4 (transforming sequence, thyroid-1|PTC|TPC|H4","","https://identifiers.org/orphanet:119206","ORPHA:410298"
"ORPHA:118358","retinal outer segment membrane protein 1","ROM|TSPAN23","","https://identifiers.org/orphanet:118358","ORPHA:410298"
"ORPHA:108961","Syndromic esophageal malformation","","","https://identifiers.org/orphanet:108961","ORPHA:88993,ORPHA:377794"
"ORPHA:101096","Aregenerative anemia","","","https://identifiers.org/orphanet:101096","ORPHA:377788"
"ORPHA:101090","Hyper-IgM syndrome type 3","Hyper-IgM syndrome due to CD40 deficiency|HIGM3","","https://identifiers.org/orphanet:101090","ORPHA:377796"
"ORPHA:101091","Hyper-IgM syndrome type 4","HIGM4","","https://identifiers.org/orphanet:101091","ORPHA:377796"
"ORPHA:101092","Hyper-IgM syndrome type 5","Hyper-IgM syndrome due to uracil N-glycosylase|Hyper-IgM syndrome due to UNG deficiency|HIGM5","","https://identifiers.org/orphanet:101092","ORPHA:377796"
"ORPHA:101088","X-linked hyper-IgM syndrome","Hyper-IgM syndrome type 1|Hyper-IgM syndrome due to CD40 ligand deficiency|Hyper-IgM syndrome due to CD40L deficiency|HIGM1|XHIGM","","https://identifiers.org/orphanet:101088","ORPHA:377796"
"ORPHA:101089","Hyper-IgM syndrome type 2","AID deficiency|HIGM2|Activation-induced cytidine deaminase deficiency","","https://identifiers.org/orphanet:101089","ORPHA:377796"
"ORPHA:120442","USH1 protein network component sans","ANKS4A|FLJ33924|Sans","","https://identifiers.org/orphanet:120442","ORPHA:410298"
"ORPHA:120201","torsin family 1 member A","torsin A|DQ2","","https://identifiers.org/orphanet:120201","ORPHA:410298"
"ORPHA:118121","patched 1","BCNS","","https://identifiers.org/orphanet:118121","ORPHA:410298"
"ORPHA:119213","CCM2 scaffold protein","malcavernin|OSM|MGC4607|osmosensing scaffold for MEKK3","","https://identifiers.org/orphanet:119213","ORPHA:410298"
"ORPHA:119697","solute carrier family 5 member 2","","","https://identifiers.org/orphanet:119697","ORPHA:410298"
"ORPHA:119453","chloride voltage-gated channel 5","Dent disease|DENTS|XLRH|hClC-K2|hCIC-K2|ClC-5|CLC5|XRN","","https://identifiers.org/orphanet:119453","ORPHA:410298"
"ORPHA:120204","tumor protein p53","LFS1|Li-Fraumeni syndrome|P53","","https://identifiers.org/orphanet:120204","ORPHA:410298"
"ORPHA:120447","usherin","RP39","","https://identifiers.org/orphanet:120447","ORPHA:410298"
"ORPHA:119693","solute carrier family 5 member 1","sodium/glucose cotransporter 1|NAGT|D22S675","","https://identifiers.org/orphanet:119693","ORPHA:410298"
"ORPHA:118362","receptor tyrosine kinase like orphan receptor 2","","","https://identifiers.org/orphanet:118362","ORPHA:410298"
"ORPHA:120207","tumor protein p63","EEC3|SHFM4|OFC8|p63|p53CP|p73L|p51|p73H|KET|NBP","","https://identifiers.org/orphanet:120207","ORPHA:410298"
"ORPHA:108959","Non-syndromic esophageal malformation","","","https://identifiers.org/orphanet:108959","ORPHA:88993,ORPHA:377794"
"ORPHA:118126","patched 2","","","https://identifiers.org/orphanet:118126","ORPHA:410298"
"ORPHA:118367","RP1 axonemal microtubule associated","DCDC4A|oxygen-regulated protein 1|ORP1|doublecortin domain containing 4A","","https://identifiers.org/orphanet:118367","ORPHA:410298"
"ORPHA:119217","cyclin D1","B-cell CLL/lymphoma 1|parathyroid adenomatosis 1|G1/S-specific cyclin D1|U21B31","","https://identifiers.org/orphanet:119217","ORPHA:410298"
"ORPHA:118128","phosphatase and tensin homolog","mutated in multiple advanced cancers 1|PTEN1|TEP1|MMAC1","","https://identifiers.org/orphanet:118128","ORPHA:410298"
"ORPHA:101082","Charcot-Marie-Tooth disease type 1B","CMT1B","Charcot-Marie-Tooth disease type 1B (CMT1B) is a form of CMT1 (see this term), caused by mutations in the MPZ gene (1q22), that presents with the manifestations of peripheral neuropathy (distal muscle weakness and atrophy, foot deformities and sensory loss). The phenotype is variable depending on the particular mutation. Two distinct presentations have been described: (1) an early infantile onset severe phenotype with delayed walking and motor nerve conduction velocities (MNCV) <10 m/s, often referred to as Dejerine-Sottas syndrome (see this term), or (2) a much later onset phenotype (>age 40), with normal or mildly slowed MNCV and more frequent hearing loss and pupillary abnormalities. CMT1B can also cause the classical CMT phenotype in about 15% of total CMT1B cases.","https://identifiers.org/orphanet:101082","ORPHA:377788"
"ORPHA:119","Autosomal recessive limb-girdle muscular dystrophy type 2E","LGMD2E|Beta-sarcoglycanopathy|Limb-girdle muscular dystrophy due to beta-sarcoglycan deficiency","Autosomal recessive limb girdle muscular dystrophy type 2E (LGMD2E) is a subtype of autosomal recessive limb girdle muscular dystrophy characterized by a childhood to adolescent onset of progressive pelvic- and shoulder-girdle muscle weakness, particularly affecting the pelvic girdle (adductors and flexors of hip). Usually the knees are the earliest and most affected muscles. In advanced stages, involvement of the shoulder girdle (resulting in scapular winging) and the distal muscle groups are observed. Calf hypertrophy, cardiomyopathy, respiratory impairment, tendon contractures, scoliosis, and exercise-induced myoglobinuria may be observed.","https://identifiers.org/orphanet:119","ORPHA:377788"
"ORPHA:101083","Charcot-Marie-Tooth disease type 1C","CMT1C","","https://identifiers.org/orphanet:101083","ORPHA:377788"
"ORPHA:118","Beta-mannosidosis","Beta-mannosidase deficiency","Beta-mannosidosis is a very rare lysosomal storage disease characterized by developmental delay of varying severity and hearing loss, but that can manifest a wide phenotypic heterogeneity.","https://identifiers.org/orphanet:118","ORPHA:377788"
"ORPHA:101084","Charcot-Marie-Tooth disease type 1D","CMT1D","Charcot-Marie-Tooth disease type 1D (CMT1D) is a form of CMT1 (see this term), caused by mutations in the EGR2 gene (10q21.1), with a variable severity and age of onset (from infancy to adulthood), that usually presents with gait abnormalities, progressive wasting and weakness of distal limb muscles, with possible later involvement of proximal muscles, foot deformity and severe reduction in nerve conduction velocity. Additional features may include scoliosis, cranial nerve deficits such as diplopia, and bilateral vocal cord paresis.","https://identifiers.org/orphanet:101084","ORPHA:377788"
"ORPHA:101085","Charcot-Marie-Tooth disease type 1F","CMT1F","Charcot-Marie-Tooth disease type 1F (CMT1F) is a form of CMT1, with a variable clinical presentation that can range from severe impairment with onset in childhood to mild impairment appearing during adulthood. CMT1F is characterized by a progressive peripheral motor and sensory neuropathy with distal paresis in the lower limbs that varies from mild weakness to complete paralysis of the distal muscle groups, absent tendon reflexes and reduced nerve conduction. CMT1F represents the ''demyelinating'' form of CMT2E and is caused by mutations in the NEFL gene (8p21.2).","https://identifiers.org/orphanet:101085","ORPHA:377788"
"ORPHA:115","Congenital contractural arachnodactyly","Distal arthrogryposis type 9|Beals-Hecht syndrome|CCA syndrome|Beals syndrome","Congenital contractural arachnodactyly (CCA, Beals syndrome) is a connective tissue disorder characterized by multiple flexion contractures, arachnodactyly, severe kyphoscoliosis, abnormal pinnae and muscular hypoplasia.","https://identifiers.org/orphanet:115","ORPHA:377789"
"ORPHA:114","Auriculoosteodysplasia","","Auriculoosteodysplasia is a very rare condition characterized by multiple osseous dysplasia, characteristic ear shape (elongation of the lobe that is attached and accompanied by a small, slightly posterior lobule) and somewhat short stature.","https://identifiers.org/orphanet:114","ORPHA:377789"
"ORPHA:117","Behçet disease","","Behçet's disease (BD) is a chronic, relapsing, multisystemic vasculitis characterized by mucocutaneous lesions, as well as articular, vascular, ocular and central nervous system manifestations.","https://identifiers.org/orphanet:117","ORPHA:377788"
"ORPHA:101081","Charcot-Marie-Tooth disease type 1A","CMT1A|Microduplication 17p12","","https://identifiers.org/orphanet:101081","ORPHA:377788"
"ORPHA:116","Beckwith-Wiedemann syndrome","BWS|Exomphalos-macroglossia-gigantism syndrome|Wiedemann-Beckwith syndrome","Beckwith-Wiedemann syndrome (BWS) is a genetic disorder characterized by overgrowth, tumor predisposition and congenital malformations.","https://identifiers.org/orphanet:116","ORPHA:377789"
"ORPHA:111","Barth syndrome","Cardioskeletal myopathy with neutropenia and abnormal mitochondria|3-methylglutaconic aciduria type 2|X-linked cardioskeletal myopathy and neutropenia|BTHS|MGA2|Cardioskeletal myopathy-neutropenia syndrome","Barth syndrome (BTHS) is an inborn error of phospholipid metabolism characterized by dilated cardiomyopathy (DCM), skeletal myopathy, neutropenia, growth delay and organic aciduria.","https://identifiers.org/orphanet:111","ORPHA:377788"
"ORPHA:110","Bardet-Biedl syndrome","BBS","Bardet-Biedl syndrome (BBS) is a ciliopathy with multisystem involvement.","https://identifiers.org/orphanet:110","ORPHA:377788"
"ORPHA:113","Bazex-Dupré-Christol syndrome","Follicular atrophoderma and basal cell carcinomas|BDCS","Bazex-Dupré-Christol syndrome is a rare genodermatosis with a predisposition to early-onset basal cell carcinomas.","https://identifiers.org/orphanet:113","ORPHA:377788"
"ORPHA:112","Bartter syndrome","Renal tubular normotensive hypokalemic alkalosis with hypercalciuria|Salt-losing tubular disorder, Henle's loop type|Salt-wasting tubulopathy, Henle's loop type","Bartter syndrome is a group of rare renal tubular disease characterized by impaired salt reabsorption in the thick ascending limb of Henle's loop and clinically by the association of hypokalemic alkalosis, hypercalciuria/nephrocalcinosis, increased levels of plasma renin and aldosterone, low blood pressure and vascular resistance to angiotensin II.","https://identifiers.org/orphanet:112","ORPHA:377788"
"ORPHA:101075","X-linked Charcot-Marie-Tooth disease type 1","CMTX1|CMT1X","X-linked Charcot-Marie-Tooth disease type 1 is a rare, genetic, peripheral sensorimotor neuropathy characterized by an X-linked dominant inheritance pattern and the childhood-onset (within the first decade in males) of progressive, distal, moderate to severe muscle weakness and atrophy in lower extremities and intrinsic hand muscles, pes cavus, bilateral foot drop, reduced or absent tendon reflexes, as well as mild to moderate sensory impairment in lower extremities. Females tend to have milder manifestations or may be asymptomatic. Sensorineural deafness and central nervous system involvement have also been reported.","https://identifiers.org/orphanet:101075","ORPHA:377788"
"ORPHA:120450","ubiquitin specific peptidase 9 Y-linked","fat facets-like homolog (Drosophila)|DFFRY","","https://identifiers.org/orphanet:120450","ORPHA:410298"
"ORPHA:101076","X-linked Charcot-Marie-Tooth disease type 2","CMTX2","X-linked Charcot-Marie-Tooth disease type 2 is a rare, genetic, peripheral sensorimotor neuropathy characterized by an X-linked recessive inheritance pattern and the infantile- to childhood-onset of progressive, distal muscle weakness and atrophy (more prominent in the lower extremities than in the upper extremities), pes cavus, and absent tendon reflexes. Sensory impairment and intellectual disability has been reported in some individuals.","https://identifiers.org/orphanet:101076","ORPHA:377788"
"ORPHA:101077","X-linked Charcot-Marie-Tooth disease type 3","CMT3X|CMTX3","X-linked Charcot-Marie-Tooth disease type 3 is a rare, genetic, peripheral sensorimotor neuropathy characterized by an X-linked recessive inheritance pattern and the childhood- to adolescent-onset of progressive, distal muscle weakness and atrophy (beginning in the lower extremities and then affecting the upper extremities), as well as distal, pansensory loss in the upper and lower extremities, pes cavus, and absent or reduced distal tendon reflexes. Pain and paresthesia are frequently the initial sensory symptoms. Spastic paraparesis (manifested by clasp-knife sign, hyperactive deep-tendon reflexes, and Babinski sign) has also been reported.","https://identifiers.org/orphanet:101077","ORPHA:377788"
"ORPHA:101078","X-linked Charcot-Marie-Tooth disease type 4","CMTX4|CMT4X|Cowchock syndrome","X-linked Charcot-Marie-Tooth disease type 4 is a rare, genetic, axonal, peripheral sensorimotor neuropathy characterized by an X-linked recessive inheritance pattern and the neonatal- to early childhood-onset of severe, slowly progressive, distal muscle weakness and atrophy (in particular of the peroneal group), as well as sensory impairment (with the lower extremities being more affected than the upper extremities), pes cavus, areflexia and hammertoes. Sensorineural hearing loss and cognitive impairment may also be associated. Females are asymptomatic and do not display the phenotype.","https://identifiers.org/orphanet:101078","ORPHA:377788"
"ORPHA:120453","VAMP associated protein B and C","ALS8|VAP-C|VAP-B","","https://identifiers.org/orphanet:120453","ORPHA:410298"
"ORPHA:118135","pancreas associated transcription factor 1a","p48|PTF1-p48|bHLHa29","","https://identifiers.org/orphanet:118135","ORPHA:410298"
"ORPHA:118376","retinoid isomerohydrolase RPE65","rd12|BCO family, member 3|all-trans-retinyl-palmitate hydrolase|LCA2|BCO3|retinol isomerase","","https://identifiers.org/orphanet:118376","ORPHA:410298"
"ORPHA:119222","chaperonin containing TCP1 subunit 5","KIAA0098","","https://identifiers.org/orphanet:119222","ORPHA:410298"
"ORPHA:120457","versican","PG-M|versican proteoglycan","","https://identifiers.org/orphanet:120457","ORPHA:410298"
"ORPHA:118370","RP2 activator of ARL3 GTPase","TBCCD2|NME10|NM23-H10","","https://identifiers.org/orphanet:118370","ORPHA:410298"
"ORPHA:119462","chloride voltage-gated channel 7","OPTA2|CLC-7|PPP1R63|CLC7|protein phosphatase 1, regulatory subunit 63","","https://identifiers.org/orphanet:119462","ORPHA:410298"
"ORPHA:118373","RP9 pre-mRNA splicing factor","PAP-1|Pim-1 kinase associated protein","","https://identifiers.org/orphanet:118373","ORPHA:410298"
"ORPHA:120218","triosephosphate isomerase 1","","","https://identifiers.org/orphanet:120218","ORPHA:410298"
"ORPHA:119467","chloride voltage-gated channel Kb","hClC-Kb","","https://identifiers.org/orphanet:119467","ORPHA:410298"
"ORPHA:118138","parathyroid hormone","prepro-PTH|parathormone|parathyroid hormone 1|PTH1|parathyrin|preproparathyroid hormone","","https://identifiers.org/orphanet:118138","ORPHA:410298"
"ORPHA:101071","Unilateral hemispheric polymicrogyria","","","https://identifiers.org/orphanet:101071","ORPHA:377796"
"ORPHA:108","Babesiosis","","Babesiosis is an infectious disease caused by protozoa of the genus Babesia and characterized by a febrile illness and hemolytic anemia but with manifestations ranging from an asymptomatic infection to a fulminating illness that can result in death.","https://identifiers.org/orphanet:108","ORPHA:377788"
"ORPHA:107","BOR syndrome","Branchiootorenal syndrome","Branchiootorenal (BOR) syndrome is characterized by branchial arch anomalies (branchial clefts, fistulae, cysts), hearing impairment (malformations of the auricle with pre-auricular pits, conductive or sensorineural hearing impairment), and renal malformations (urinary tree malformation, renal hypoplasia or agenesis, renal dysplasia, renal cysts).","https://identifiers.org/orphanet:107","ORPHA:377789"
"ORPHA:109","Bannayan-Riley-Ruvalcaba syndrome","BRRS|Myhre-Riley-Smith syndrome","Bannayan-Riley-Ruvalcaba syndrome (BRRS) is a rare congenital disorder characterized by hamartomatous intestinal polyposis, lipomas, macrocephaly and genital lentiginosis.","https://identifiers.org/orphanet:109","ORPHA:377789"
"ORPHA:104","Leber hereditary optic neuropathy","LHON|Leber optic atrophy","Leber's hereditary optic neuropathy (LHON) is a mitochondrial neurodegenerative disease affecting the optic nerve and often characterized by sudden vision loss in young adult carriers.","https://identifiers.org/orphanet:104","ORPHA:377788"
"ORPHA:101070","Bilateral frontoparietal polymicrogyria","","Bilateral frontoparietal polymicrogyria (BFPP) is a sub-type of polymicrogyria (PMG","https://identifiers.org/orphanet:101070",""
"ORPHA:105","Atresia of urethra","Urethral atresia","Atresia of the urethra is a rare congenital bladder outlet obstruction, a fetal lower urinary tract obstruction (fetal LUTO), that is usually fatal. Unless there is some other egress for the urine to escape the bladder, such as patent urachus or anuro-rectal communication, these lesions are not compatible with renal development.","https://identifiers.org/orphanet:105","ORPHA:377791"
"ORPHA:101068","Congenital stromal corneal dystrophy","Congenital hereditary stromal dystrophy|CSCD|Witschel dystrophy","Congenital stromal corneal dystrophy (CSCD) is an extremely rare form of stromal corneal dystrophy (see this term) characterized by opaque flaky or feathery clouding of the corneal stroma, and moderate to severe visual loss.","https://identifiers.org/orphanet:101068","ORPHA:377788"
"ORPHA:120461","valosin containing protein","CDC48|transitional endoplasmic reticulum ATPase|TERA|p97|IBMPFD","","https://identifiers.org/orphanet:120461","ORPHA:410298"
"ORPHA:120220","tropomyosin 1","","","https://identifiers.org/orphanet:120220","ORPHA:410298"
"ORPHA:120464","vitamin D receptor","NR1I1|protein phosphatase 1, regulatory subunit 163|1,25- dihydroxyvitamin D3 receptor|PPP1R163","","https://identifiers.org/orphanet:120464","ORPHA:410298"
"ORPHA:120223","tropomyosin 2","DA1|NEM4|nemaline myopathy type 4","","https://identifiers.org/orphanet:120223","ORPHA:410298"
"ORPHA:118143","protein tyrosine phosphatase non-receptor type 11","SHP-2|PTP2C|SH-PTP2|BPTP3|SHP2","","https://identifiers.org/orphanet:118143","ORPHA:410298"
"ORPHA:119235","CD19 molecule","","","https://identifiers.org/orphanet:119235","ORPHA:410298"
"ORPHA:118388","RPGR interacting protein 1","LCA6|RGI1|CORD13","","https://identifiers.org/orphanet:118388","ORPHA:410298"
"ORPHA:119474","solute carrier family 37 member 4","GSD1b|GSD1d|GSD1c","","https://identifiers.org/orphanet:119474","ORPHA:410298"
"ORPHA:120467","von Hippel-Lindau tumor suppressor","VHL1","","https://identifiers.org/orphanet:120467","ORPHA:410298"
"ORPHA:118140","parathyroid hormone 1 receptor","","","https://identifiers.org/orphanet:118140","ORPHA:410298"
"ORPHA:120227","tropomyosin 3","TRK","","https://identifiers.org/orphanet:120227","ORPHA:410298"
"ORPHA:118381","retinitis pigmentosa GTPase regulator","CORDX1","","https://identifiers.org/orphanet:118381","ORPHA:410298"
"ORPHA:119470","claudin 1","ILVASC|senescence-associated epithelial membrane protein 1|SEMP1","","https://identifiers.org/orphanet:119470","ORPHA:410298"
"ORPHA:101063","Situs inversus totalis","Complete situs inversus viscerum|Complete situs inversus|Situs inversus","A rare, genetic, developmental defect during embryogenesis characterized by total mirror-image transposition of both thoracic and abdominal viscera across the left-right axis of the body. Congenital abnormalities, such as primary ciliary dyskinesia, Kartagener type, polysplenia syndrome, biliary atresia, congenital heart disease, and midgut malrotation, as well as vascular anomalies (e.g. absence of retrohepatic inferior vena cava, preduodenal portal vein, aberrant hepatic arterial anatomy) and malignancy, are frequently associated.","https://identifiers.org/orphanet:101063","ORPHA:377791"
"ORPHA:120470","very low density lipoprotein receptor","CARMQ1|VLDLRCH|CHRMQ1","","https://identifiers.org/orphanet:120470","ORPHA:410298"
"ORPHA:120472","vacuolar protein sorting 13 homolog A","chorein|KIAA0986","","https://identifiers.org/orphanet:120472","ORPHA:410298"
"ORPHA:120233","thyroid peroxidase","TPX","","https://identifiers.org/orphanet:120233","ORPHA:410298"
"ORPHA:120476","vacuolar protein sorting 13 homolog B","","","https://identifiers.org/orphanet:120476","ORPHA:410298"
"ORPHA:118157","6-pyruvoyltetrahydropterin synthase","PTPS","","https://identifiers.org/orphanet:118157","ORPHA:410298"
"ORPHA:120236","tripeptidyl peptidase 1","TPP I","","https://identifiers.org/orphanet:120236","ORPHA:410298"
