"id","name","acronym","description","url","country"
"bbmri-eric:ID:FR_BB-0033-00019","Le Centre de Ressources Biologiques sur la Scleros","REFGENSEP","The MS genetics centre of CRICM (REFGENSEP-BRC) is at the interface between clinical departments and research teams. It's a part of a national network including 21 sampling centers, a DNA extraction center and scientific collaborators. The BRC is open to collaborations and is allowed by the Ministry of research to provide biological resources to national or international requesters. The BRC has been evaluated by AERES and is now involved as a platform in the CRICM of Pitie-Salpetriere. The center is all ready organized with a quality management involving all actors of the systems to provide quality products and services.The BRC has already compiled DNA and lymphoblastoid cells from: 860 simplex, 130 multiplex families, 1332 cases and 790 controls which are available for genetic studies, and the collection is still going on. We demonstrated that our collection was representative of the natural history of MS (Cournu-Rebeix et al, 2008).This BRC is a resource of general interest which has been used in national and international collaborations as shown in the list of publications of the group. The high number of samples available in REFGENSEP-BRC and the good quality of associated clinical data allowed us to initiate large-scale genetic projects.The genome-wide project is an international collaborative study taking place through the International Multiple Sclerosis Genetics Consortium (IMSGC). The IMSGC is a collaborative group gathering 30 different teams from Europe and the USA. Our participation to the first phase of the project lead us to conclude that our biological resources were of sufficient quality to be involved in international projects. 97% of our samples have successfully passed the very stringent quality control at Sanger Center. Results of this collaborative effort will be published soon. More recently we initiated a collaboration with the ""The Multiple Autoimmune Diseases Genetic Consortium >> aiming to identify susceptibility regions common to several diseases.","http://icm-institute.org/fr/centres-de-ressources-biologiques/","FR"
"bbmri-eric:contactID:UK_GBR-1-196","RJAH Biobank for Studying Health and Disease","","Orthopaedic tissues  Wax embedded and fresh frozen tissues of primary and secondary bone tumour and metastatic disease.  If a certain tissue types are required with the correct Ethics and consent in place these could be collected and stored at the tissue bank.","","UK"
"bbmri-eric:ID:FR_BB-0033-00018","CRB/CIC-P","CRB/CIC-P","Over the last 15 years, the Nancy Clinical investigation Centre has set-up clinical studies (including randomized controlled trials, and cohorts) mainly in the field of cardiovascular diseases (heart failure, cardiovascular prevention...), leading to collect clinical and biological data. A biobank has been set up simultaneously, with the aim to get a Biological Resource Centre certification in a near future (ongoing certification process). The main publications involving the biobank are relative to  biomarkers of the cardiovascular remodeling, as well as genetic studies within the Stanislas Cohort.","http://www.chu-nancy.fr/cic/","FR"
"bbmri-eric:contactID:UK_GBR-1-199","Multiple Sclerosis and Parkinson's Tissue Bank","","The Multiple Sclerosis and Parkinson’s Tissue Bank is a national collection of CNS tissue samples donated by individuals with multiple sclerosis (MS), Parkinson’s disease and related neuroinflammatory and neurodegenerative conditions. The Tissue Bank’s mission is to facilitate discoveries by making well-characterised human material of the highest quality readily available to the research community engaged in studies aimed at finding the cause and better treatments for MS and Parkinson’s. Furthermore, we aim to encourage the greater use of the material in scientific studies. It is by carrying out this work that the Tissue Bank fulfills the last, generous and selfless wishes of all those who have registered on the donor scheme and bequeathed their CNS tissues to research. The work of the Tissue Bank is supported by the Multiple Sclerosis Society and Parkinson’s UK in partnership with Imperial College London.","http://www.imperial.ac.uk/medicine/brain-bank","UK"
"bbmri-eric:ID:FR_BB-0033-00017","Biobanque de Picardie - Salouel","-","The Biobank of Picardy has coordinated a pre-analytical project IBISA with nineteen French BRCs aiming to test pre analytical treatment effects on quality of biological resources. The Free Flow Electrophoresis program has assembled the Biobank's team who fractionate biological resources and the Pasteur's Institute which did mass spectrometry (article in preparation).  The Biobank was a partner of STORE and BBMRI European Projects aiming to share data by producing an online resource holding of data, a set of technique protocols for tissue analysis and access details to the original material.  Within the framework of regional projects, the Biobank participates to the MecoExpo program aiming to evaluate the transfer of pesticides from the mother to new born babies by analysing meconiums. Another pre-analytical project has been set in collaboration with the Nuclear Magnetic Resonance platform  to discover new preservation pre-analytical biomarkers.","https://www.biobanque-picardie.com/","FR"
"bbmri-eric:contactID:UK_GBR-1-198","Newcastle MRC Centre Biobank for Rare and Neuromuscular Diseases","","The Newcastle MRC (Medical Research Council) Centre Biobank for Rare and Neuromuscular Disease is located at the International Centre for Life (Institute of Genetic Medicine, Newcastle University).     The MRC Centre for Neuromuscular Diseases is a partnership between Newcastle University and the UCL Institute of Child Health and Institute of Neurology, and is one of the MRC's translational research centres in the UK. The Newcastle MRC Centre Biobank and the affiliated biobank located at the Institute of Child Health (UCL) in London, were established in 2008 and comprise one the five core activities of the MRC Centre for Neuromuscular Diseases aimed at supporting the translational program of the centre. The main objective of the biobank is to provide well characterized, high quality biomaterials such as myoblasts, fibroblasts, DNA, RNA, plasma, serum and urine of patients with neuromuscular disorders to researchers within the centre and the wider scientific community. Currently, the MRC Biobank has assembled a collection of more than 13,000 anonymised rare disease samples mostly derived from NMD patients.    In 2010, the Biobank was recognised as an official member of EuroBioBank (http://www.eurobiobank.org/en/information/info_institut.htm) and has applied quality criteria and standard operation procedures in accordance with EuroBioBank protocols.     Publication: MRC Centre Neuromuscular Biobank (Newcastle and London): Supporting and facilitating rare and neuromuscular disease research worldwide.  doi:  10.1016/j.nmd.2017.07.001","https://newcastle-muscle.org/","UK"
"bbmri-eric:contactID:UK_GBR-1-193","DARWIN1 Trial","","Blood and tissue from lung cancer patients","http://www.ctc.ucl.ac.uk/","UK"
"bbmri-eric:ID:BE_71014391000","Biobank @ UZ Brussel","UZBB","UZBB (UZ Brussel Biobank) is the central biobank of the UZ Brussel, the University Hospital of the Vrije Universiteit Brussel.","http://www.vub.ac.be/2020/biobank","BE"
"bbmri-eric:contactID:UK_GBR-1-192","ICON9 Trial","","An international phase III randomised study to evaluate the efficacy of maintenance cediranib and olaparib combination therapy or olaparib alone in patients with relapsed platinum-sensitive ovarian cancer following a response to platinum-based chemotherapy","","UK"
"bbmri-eric:contactID:UK_GBR-1-195","Deciphering Antitumour Response and Resistance With INtratumour Heterogeneity (DARWIN II)","","A phase II, multi-centre, non-randomised, molecularly stratified trial for NSCLC patients to study tumour heterogeneity using genomic analysis","","UK"
"bbmri-eric:contactID:UK_GBR-1-194","TRACERx (TRAcking non-small cell lung Cancer Evolution through therapy (Rx))","","A prospective observational cohort study of patients with non-small cell lung cancer (NSCLC), in which translational research is the fundamental aspect of the study.","http://www.ctc.ucl.ac.uk/","UK"
"bbmri-eric:ID:NL_AAAACXPJ3VCTUACQK2ME25QAAE","ARGOS Biobank","ARGOS Biobank","","","NL"
"bbmri-eric:ID:CZ_REVMA","Bank of Biological Material, Institute of Rheumatology","REVMA","The Bank of Biological Material of Institute of Rheumatology in Prague stores biospecimen from nearly 8 000 people and about 50 000 unique collection events covering both affected and healthy people.","","CZ"
"bbmri-eric:contactID:UK_GBR-1-189","UKALL14 Trial","","A randomized trial for adults with newly diagnosed acute lymphoblastic leukaemia.  Multisite, randomised controlled trial, recruiting 811 patients over 7.5 years.  Samples will be collected throughout the trial and sent to the central lab (Adult ALL MRD Lab @ UCL CI) as follows;   - bone marrow samples taken at diagnosis, at recover post phase 1 and phase 2, post transplant (for those patients who proceed with a non-myeloblative transplant) and at relapse.  - pheripheral blood sample taken during phase 1 on days 4 & 18 (in patients 40 and under) and on D18 & 32 in patients 41 or over), and during intensification.   Additionally for those patients who proceed for a non-myeloblative transplant peripheral blood will be sent to the local chimerism labs and a copy of the report will be sent to UCL CTC.","http://www.ctc.ucl.ac.uk/TrialDetails.aspx?Trial=80&TherA=4","UK"
"bbmri-eric:ID:LV_LGDB","Genome Database of Latvian Population","LGDB","Genome Database of Latvian Population (LGDB) is a national biobank that collects, maintains and process health information data and biospecimen collection from representatives of Latvian population, that serves for research, prophylactic and therapeutic purposes.","www.latvianbiobank.lv","LV"
"bbmri-eric:ID:SE_2328","DiPiS","","","","SE"
"bbmri-eric:ID:DE_BioPsy","Biobank of Psychiatric Diseases Mannheim","BioPsy","High quality biomaterial from patients and controls is a core prerequisite for research into the biological causes of mental disorder. BioPsy is the biobank of the Department of Genetic Epidemiology in Psychiatry at the Central Institute of Mental Health in Mannheim, Germany, and one of the largest psychiatric disorder biobanks worldwide. Here, ongoing collection is in progress for blood, DNA, mRNA, plasma, serum, saliva, urine, hair, and other biomaterials. Reuse of samples is permitted in a collaboration-based context. BioPsy operates according to German and European quality and data privacy standards.","https://www.zi-mannheim.de/forschung/abteilungen-ags-institute/genepid/biobank0.html","DE"
"bbmri-eric:ID:SE_2326","TEDDY","","","","SE"
"bbmri-eric:ID:PL_BMPCC","Biobank Molecular Pathology Centre Cellgen","BMPCC","","http://cellgen.pl/","PL"
"bbmri-eric:ID:IT_1385554911371119","VAS-EBVD ( European Biobank on Vascular Diseases)","EBVD","Samples blood of patients with peripheral arterial disease:  ICD-10 >I73.9","http://www.vas-int.net/","IT"
"bbmri-eric:ID:SE_2331","Andis – Alla Nya Diabetiker I Skåne","","","","SE"
"bbmri-eric:ID:SE_2335","SDPP20","","","","SE"
"bbmri-eric:ID:SE_2217","PREFECT","","","","SE"
"bbmri-eric:ID:FR_BB-0033-00034","Neurosenscol","Neurosenscol","The Biological Resources Centre NeuroSensCol is a DNA biobank established in 2007. It now contains 10000 DNA samples from patients who have neurosensory diseases, mainly retinal disorders, and from control subjects. These DNA samples are included in various research projects at the Institut de la Vision, in university hospitals and research institutes in France and abroad. The high quality DNA is easily used for Sanger sequencing, Next Generation Sequencing (NGS), whole exome and whole genome sequencing as well as microarray analysis.

Its main partner is the Clinical Investigation Center 1423 / Center for Rare Diseases Referet of the Quinze-Vingts hospital, a platform for precise retinal phenotyping. The CRB NeuroSensCol and the CIC1423 / Center for Rare Diseases make sure of the ethical compliance for the safety of the subjects.
The CRB NeuroSensCol is certified NF S 96-900.","http://www.institut-vision.org/fr/plateformes-scientifiques/8-platforms-institute/19-.html","FR"
"bbmri-eric:ID:FR_BB-0033-00033","Cerebrotheque Toulouse","-","Neurodegenerative diseases from Alzheimer disease to Creutzfeldt Jakob disease share many common features and allow the scientific team associated to the Cerebrotheque du CHU de Toulouse to initiate or participate to high impact research concerning these diseases.We develop a refined characterization of Fronto-temporal dementia with Parkinsonism linked to chromosome 17. Using a biochemical assay with successive protein enrichment from frozen brain slices, we isolated ferritin light and heavy chains in a so far not known dominant autosomal disease. Our studies have provided additional knowledge and insights in the growing area of ferritin-related neurodegeneration disease. In the field of Creutzfeldt jakob disease, we provide an alternative biochemical definition of PrPSc diversity and new insights in the perception of Human TSE agents' variability. Different brain areas from 41 sCJD and 12 iatrogenic CJD (iCJD) cases (mainly from the Cerebrotheque de Toulouse) were investigated, using two new biochemical assays. We developed several clinical research projects on Alzheimer disease regarding different points: - Anti-amyloid-beta immunization. Besides descrpition of neuropathological lesions, we contributed to a work concluding on the impact of amyloid clearance restablishment on neurite curvature. These data agree with preclinical animal studies and demonstrate that vaccination does not merely clear amyloid from the Alzheimer's disease brain, but reduces some of the neuronal alterations that characterize Alzheimer's disease.- Sphingoloipid molecules implicated in apoptosis. Sphingosine kinase-1 (SphK1) has a critical role in regulation of survival of neurons. A previous work on culture cells in our research team (INSERM U858), showed that in vitro, neuronal loss was induced by ?-amyloid peptide 25-35 and it was correlated with alteration of sphingolipid biostat. Our hypothesis is that SphK1 is differentially expressed in neurons regarding their location in the vicinity or far from amyloid deposits in the brain of patients affected with AD. In an on-going national clinical research project (directed by Pr MB Delisle), our general objective is to precise on human brain material, the role of SphK1 in relation to neuronal loss and ?-amyloid location.","http://www.chu-toulouse.fr/catalogue-du-crb-tbr","FR"
"bbmri-eric:ID:FR_BB-0033-00032","Centre de Ressources Biologiques du CHU de Nimes","-","The research pole activity located in Languedoc Roussillon is based on biology, healthcare and drug development.The Universities of Montpellier (Montpellier I and II) and Nimes, the CNRS and the INSERM are involved in the BioBanques-LR technology and competition project. Almost 50 private biotechnology companies +located in Montpellier and Nimes provide and develop collaborative subjects between institutional and private laboratories.The Biobanques-LR combine 3 sites : University Hospital of Montpellier, University Hospital of Nimes and CRLCC Val d'Aurelle in Montpellier.5 collections f belong to the University Hospital of Montpellier : a tumor bank, a cell collection, non tumoral tissues,  nucleic acids and biochemistry.  These collections are managed in a local CRB called CCBH-M. The Nimes' center works on 5 collections : a tumor bank, cytogenetic products, biochemistry, hematology (serum and plasma) and microbiology.The tumor bank at the CRLCC Val d'Aurelle is also part of the biological ressource center 'BioBanques-LR'.  It regroups a biological fluid collection (biochemistry department), a cell collection (genetic and cellular therapy unit) and a nucleic acids collection (genetic department). The  BioBanques-LR works with the Clinical Research Department to collect clinical results. We expect to increase the quality of collected samples and their associated parameters by using and harmonizing best processes. The ongoing plateform and its catalogue will answer to appropriated processes and regulatory requirements. A scientific committee in each center is in charge of the transfers from a common catalogue implemented by the 3 sites. A virtual tumor bank catalogue is in progress for the South West France area. We participate in its construction. The ""Region Languedoc Roussillon"" financialy supports the BioBanques-LR project.","http://www.chu-nimes.fr/espace-recherche-clinique/centre-de-ressources-biologiques-crb.html","FR"
"bbmri-eric:ID:SE_2417","Barn med läpp-, käk-, och gomspalt: Undersökning av kariesförekomst, risk och deras livskvalitet.","","","","SE"
"bbmri-eric:ID:FR_BB-0033-00031","CRB - CHU de Montpellier","CCBH-M","The Center for Biological resources of Montpellier CCBH-M is responsible for building and enhancing the collections of biological samples of human origin. Under the supervision of Professor Valerie Costes, the CCBH-M includes in particular a tumor bank, led by Dr. Valerie Rigau, over 5000 cases (tumor tissues and non-tumor associated).","http://www.chu-montpellier.fr","FR"
"bbmri-eric:ID:FR_BB-0033-00038","CRB CHU d'Angers","-","The Bio-bank CRB-CHU Angers was established to organize and to manage the collections of human biological resources at the university Hospital of Angers since September 2008. 
The CRB has decided to gradually structure based on two major and interrelated tools, a powerful software information system, TD-Biobank and the response to the obligations of the AFNOR NF S96-900. The CRB is plurithematic and includes the CRB and the Biobank research CHU d'Angers.","https://www.chu-angers.fr/recherche-et-innovation-en-sante/soutien-a-la-recherche/crb-centre-de-ressources-biologiques/","FR"
"bbmri-eric:ID:NL_aaaacz5gvxsieacqk2mgyyqaae","PALGA","PALGA","The PALGA Portal is a one-stop online portal, combined with a logistic infrastructure, for the request and delivery of the pseudonymized data and samples (mostly FFPE blocks and tissue slides) that are available within the pathology labs (45+) in the Netherlands.","http://www.palga.nl/en/public-pathology-database/","NL"
"bbmri-eric:ID:FR_BB-0033-00037","CRB-Sante-Brest","CRB-Sante-Brest","Brest CRB Sante, managed by Pr. Valerie Ugo, is constituted of 3 storage site and certified according the French standard NFS 96 900 since January 2015. Our activity is to help collection setting up, sample preparation, conservation and access for Brest Hospital within hospital network. The access of biological resources is available for all request, from Brest hospital or not, private or public.","https://crbsante.chu-brest.fr/","FR"
"bbmri-eric:ID:FR_BB-0033-00036","CRB-Cancer Bordeaux Biothèques Santé","CRB-Cancer CHU de Bordeaux","The tumor bank of Bordeaux University Hospital was established in 2003 and shared with the Tumor Biology service, cellular service and Hematology Pathology Service to accommodate frozen tissue collections, cells and biological fluids in oncology. All of these services represents a platform pathobiology and genetics of cancer and blood diseases to manage (for the same sample) the analyzes and health research and profit conservation activities in accordance with regulatory requirements, traceability and anonymization to the research subject to patient consent.","https://www.chu-bordeaux.fr/Professionnels-recherche/Activit%C3%A9-de-canc%C3%A9rologie-au-CHU-de-Bordeaux/Dynamique-de-recherche-sur-la-canc%C3%A9rologie/La-tumoroth%C3%A8que-et-le-Centre-de-ressources-biologiques-Cancer/","FR"
"bbmri-eric:ID:FR_BB-0033-00035","CRB-CBMP Nancy","CRB-CBMP","The Centre de Ressources Biologiques (CRB) of the CHU of Nancy devotes itself to research in cancerology and more particularly to lung cancer.The CRB was selected for the project of the Ligue Nationale contre le cancer/Institut National du Cancer: ""Indentity card of the pulmonary Tumours or CIT"". For this reason the ""indentity card"" of genes of 80 tumours is initially established to specify ""the distinguishing marks"" of the 40 most aggressive tumours. The CRB human samples were dissected under a microscope to separate tumoral tissue from healthy tissue, then their genome (DNA) was extracted and analyzed on the chip ""indentity card the tumours"" of the Ligue Nationale Contre le Cancer. Samples were analyzed again to confirm the first. This work coordinated by the CRB of Nancy, is completed in collaboration with the Institute of Genetics and Molecular biology of Strasbourg (Dr. Stanislas Du Manoir), the CHU of Caen (pr. Francoise Galateau Salle) and CNRS in Poitiers (Dr. Joelle Roche).The CRB is strongly impliqued in the Programme National d'Excellence Scientifique (PNES) ""molecular Epidemiology of lung cancers professional"" where it is a question of identifying association between the occupational hazards and the clinical results, histological, anatomical, and prognostic and between molecular deteriorations and the exposures to the professionals carcinogenics.The CRB is implied in the research of the ""mutations of the EGFR gene in lung cancer: description of a molecular target allowing a specific access to the targeted therapies"" initiated by the Institut National du Cancer. So the CRB developed the protocols to detect the mutations in exons 19 (by analysis of fragments), 20 (by PCR of sequencing) and 21 (by enzymatic digestion). For each sample the tumoral zone is dissected and an evaluation of the percentage of tumoral cells is carried out.","/","FR"
"bbmri-eric:ID:FR_BB-0033-00039","CRB-Clermont-Ferrand","-","Clermont-Ferrand University Hospital Center Biobank focuses on four types of sample-related activity:1) Setting up a tumour bank (leader: Prof. P Dechelotte) that was certified in 2003. This tumourbank specializes in the following conditions: digestive oncology (colorectal cancer), skin lymphoma,endometriosis and peritoneum, fetopathology.2) Developing diagnosis and monitoring tools for chronic blood diseases, Gaucher disease,neuroblastoma, premature membrane rupture.3) Collecting biological samples within the framework of certified research groups (GReD UMR6247 CNRS/931INSERM, EA3846, EA3843, EA975).4) Collecting biological samples on a temporary basis in the framework of clinical researchprotocols conducted by various teams at Clermont-Ferrand University Hospital Center. These samplesundergo the same processing as those in the tumour bank.Special biological sample collections include: ""Endometriosis and peritoneum"" (Prof. M Canis and Prof.P Dechelotte), ""Neuroblastoma"" (Prof. J Kanold and Prof. A Tchirkov), ""Amniotic membranes"" (Prof. DGallot and Prof. V Sapin), ""Gaucher disease"" (Prof. M Berger). We shall soon receive samples from the""Family Study of Rheumatoid Arthritis"" (Prof. F Cornelis and Prof. I Creveaux).Current activity has generated about 48 publications (mean IF= 4.455); the activity linked to samplecollection from Prof. F Cornelis adds 29 publications (total IF mean: 4.599)A project to develop a single platform (with a single access process) to prepare and preserve biologicalsamples has been validated by the University Hospital Center's governing body. This structure willfacilitate research activities, partnerships with industry, and research and technological developmentactivities related to Biobanking.","http://www.chu-clermontferrand.fr/Internet/sites/CRB/Default.aspx","FR"
"bbmri-eric:ID:NL_AAAACXPAPKLICACQK2ME25QAAE","Hemochromatosis family study biobank","HEFAS Study Biobank","","","NL"
"bbmri-eric:ID:NL_AAAACXPJYFQTKACQK2ME25QAAE","Myopia Study Biobank","MYST Biobank","","","NL"
"bbmri-eric:ID:NL_AAAACYWY5TBZGACQK2MDM4QAAE","AGNES Biobank","","","","NL"
"bbmri-eric:ID:CZ_CUNI_PILS","Bank of Biological Material, Charles University - Pilsen","UK_PILS","","","CZ"
"bbmri-eric:ID:SE_1692","LifeGene","","","","SE"
"bbmri-eric:ID:IT_1392393206019428","Genetic Biobank for Rare Diseases Myopathies and Cardiomyopathies","","","","IT"
"bbmri-eric:ID:SE_1696","Broad study","","","","SE"
"bbmri-eric:ID:DE_iBDF","Interdisciplinary biomaterial and database Frankfurt","iBDF","The Interdisciplinary Biomaterial Bank and Database Frankfurt (iBDF) organises the collection and storage of various biomaterials in compliance with quality assurance and data protection guidelines. The focus here lies on the collection of biomaterials from patients with tumours, cardiovascular or psychiatric diseases, as well as from polytrauma patients.

The samples collected are residual tissue, blood, bone marrow and other body fluids extracted during treatment/surgery for therapeutic or diagnostic purposes. These are stored for logistical reasons at various locations of the University Hospital Frankfurt, including Pathology, Neuropathology, Haematology, Virology, Microbiology, Psychiatry, Child and Adolescent Psychiatry, the Trauma Centre and Cardiology.

The management of the materials and their annotation with clinical information are centrally managed via the iBDF project management using a powerful IT solution. This allows information from the clinical documentation and biomaterial collections to be networked and merged.","https://www.uct-frankfurt.de/forschung/biobank.html","DE"
"bbmri-eric:ID:NL_aaaaczxoatpr2acqk2mo6qaaae","Biobank of the department gerontology and nephrology - LUMC","","","","NL"
"bbmri-eric:ID:SE_1694","Analysis of anti-drug antibodies (ADA) and other factors in inflammatory diseasees, foremost multiple sclerosis","","","","SE"
"bbmri-eric:ID:FR_BB-0033-00030","CIC-CRB Lille","-","Platform of the university hospital campus of Lille, the CRB / CIC1403 was created to support the management and conservation of biological samples from clinical research projects involving the creation of a biological resource collection. To ensure investigators the best conditions to support their samples, the CRB / CIC1403 is certified according to two standards: ISO9001v2008 and NF-S-96900 for the collection, preparation, storage, management and distribution of biological samples for research.","http://crb.chru-lille.fr","FR"
"bbmri-eric:ID:NL_AAAACXPKCIJ6KACQK2ME25QAAE","NEO Study Biobank","NEO Study Biobank","","","NL"
"bbmri-eric:ID:SE_1698","Cardiovacular risk factors in diabetes – a prospective study in primary care","","","","SE"
