name,label,codesystem,code,definition
Chordee,Chordee,HPO,HP_0000041,"Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees.|The degree of variation of penis curvature is a continuum, but traditionally 30 degrees is considered the threshold for surgical intervention on chordee. Bowing usually becomes more obvious in an erect penis, but is frequently also palpable when stretching a flaccid penis. Chordee can be congenital or acquired; if the former, it can be associated with Webbed Penis or Hypospadias, which should be coded separately."
Absent external genitalia,Absent external genitalia,HPO,HP_0000042,Lack of external genitalia in a male or female individual.
HP_0000043,HP_0000043,HPO,HP_0000043,
Hypogonadotrophic hypogonadism,Hypogonadotrophic hypogonadism,HPO,HP_0000044,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).
Abnormality of the scrotum,Abnormality of the scrotum,HPO,HP_0000045,
Scrotal hypoplasia,Scrotal hypoplasia,HPO,HP_0000046,
Hypospadias,Hypospadias,HPO,HP_0000047,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum."
Bifid scrotum,Bifid scrotum,HPO,HP_0000048,Midline indentation or cleft of the scrotum.|A testis may or may not be present in each half of the scrotum.
Shawl scrotum,Shawl scrotum,HPO,HP_0000049,"Superior margin of the scrotum superior to the base of the penis.|A congenital overriding scrotum may disappear with growth and development, especially during puberty. If the entire scrotum is located superior to the penis, the term Penoscrotal transposition is used instead."
Hypoplastic male external genitalia,Hypoplastic male external genitalia,HPO,HP_0000050,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra)."
Perineal hypospadias,Perineal hypospadias,HPO,HP_0000051,Hypospadias with location of the urethral meatus in the perineal region.
"Urethral atresia, male","Urethral atresia, male",HPO,HP_0000052,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.
Macroorchidism,Macroorchidism,HPO,HP_0000053,The presence of abnormally large testes.
Micropenis,Micropenis,HPO,HP_0000054,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm."
Abnormality of female external genitalia,Abnormality of female external genitalia,HPO,HP_0000055,An abnormality of the female external genitalia.
Abnormality of the clitoris,Abnormality of the clitoris,HPO,HP_0000056,An abnormality of the clitoris.
obsolete Clitoromegaly,obsolete Clitoromegaly,HPO,HP_0000057,
Abnormality of the labia,Abnormality of the labia,HPO,HP_0000058,"An anomaly of the labia, the externally visible portions of the vulva."
Hypoplastic labia majora,Hypoplastic labia majora,HPO,HP_0000059,Undergrowth of the outer labia.
Clitoral hypoplasia,Clitoral hypoplasia,HPO,HP_0000060,Developmental hypoplasia of the clitoris.
"Ambiguous genitalia, female","Ambiguous genitalia, female",HPO,HP_0000061,Ambiguous genitalia in an individual with XX genetic gender.
Ambiguous genitalia,Ambiguous genitalia,HPO,HP_0000062,"A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.|Note that this term can include or combine variations in size and shape, with partial or complete absence of structures. It is preferable to describe the individual components, which are defined below. It is nonetheless a widely used bundled term and as such is retained here. The distinction of this finding from a marked degree of Hypospadias is an example of how this term can be problematic. Genetic gender is determined at fertilization, whereby the presence of a Y chromosome determines male gender. Normally, genetic gender determines gonadal gender which in turn determines phenotypic gender. Testicular development is an active process requiring expression of the primary testis determining gene SRY, which is located on the Y chromosome."
Fused labia minora,Fused labia minora,HPO,HP_0000063,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.
Hypoplastic labia minora,Hypoplastic labia minora,HPO,HP_0000064,
Labial hypertrophy,Labial hypertrophy,HPO,HP_0000065,
Labial hypoplasia,Labial hypoplasia,HPO,HP_0000066,
"Urethral atresia, female","Urethral atresia, female",HPO,HP_0000067,Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.
Urethral atresia,Urethral atresia,HPO,HP_0000068,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.
Abnormality of the ureter,Abnormality of the ureter,HPO,HP_0000069,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.
Ureterocele,Ureterocele,HPO,HP_0000070,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.
Ureteral stenosis,Ureteral stenosis,HPO,HP_0000071,"The presence of a stenotic, i.e., constricted ureter."
Hydroureter,Hydroureter,HPO,HP_0000072,The distention of the ureter with urine.
Ureteral duplication,Ureteral duplication,HPO,HP_0000073,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder."
Ureteropelvic junction obstruction,Ureteropelvic junction obstruction,HPO,HP_0000074,Blockage of urine flow from the renal pelvis to the proximal ureter.
Renal duplication,Renal duplication,HPO,HP_0000075,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters."
Vesicoureteral reflux,Vesicoureteral reflux,HPO,HP_0000076,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.
Abnormality of the kidney,Abnormality of the kidney,HPO,HP_0000077,An abnormality of the kidney.|The kidney is a paired organ whose primary function is the production of urine.
Abnormality of the genital system,Abnormality of the genital system,HPO,HP_0000078,An abnormality of the genital system.
Abnormality of the urinary system,Abnormality of the urinary system,HPO,HP_0000079,An abnormality of the urinary system.
Abnormality of reproductive system physiology,Abnormality of reproductive system physiology,HPO,HP_0000080,An abnormal functionality of the genital system.
Duplicated collecting system,Duplicated collecting system,HPO,HP_0000081,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice."
HP_0000082,HP_0000082,HPO,HP_0000082,
Renal insufficiency,Renal insufficiency,HPO,HP_0000083,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism."
HP_0000084,HP_0000084,HPO,HP_0000084,
Horseshoe kidney,Horseshoe kidney,HPO,HP_0000085,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.
Ectopic kidney,Ectopic kidney,HPO,HP_0000086,A developmental defect in which a kidney is located in an abnormal anatomic position.
HP_0000087,HP_0000087,HPO,HP_0000087,
HP_0000088,HP_0000088,HPO,HP_0000088,
Renal hypoplasia,Renal hypoplasia,HPO,HP_0000089,"Hypoplasia of the kidney.|Oligomeganephronic renal hypoplasia differs from simple hypoplasia, in which the renal mass is reduced but the number of nephrons is normal."
Nephronophthisis,Nephronophthisis,HPO,HP_0000090,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.|Nephronophthisis is here regarded as a phenotypic feature. The disease of the same name results in progressive symmetrical destruction of the kidneys involving both the tubules and glomeruli.
Abnormal renal tubule morphology,Abnormal renal tubule morphology,HPO,HP_0000091,"An abnormality of the renal tubules.|The renal tubules are reabsorptive canals that are involved in the secreting, collecting, and conducting of the urine."
Renal tubular atrophy,Renal tubular atrophy,HPO,HP_0000092,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.|Atrophic tubules must be distinguished from acute tubular injury as both can show extensive tubular epithelial changes. In acute tubular injury, tubules are often dilated and tubular basement membranes are smooth and maintain normal thickness, in contrast to the contracted tubules with thickened and wrinkled tubular basement membranes of tubular atrophy. Further, in acute tubular injury, tubules are usually back-to-back or mildly separated by interstitial edema, while in tubular atrophy tubules can be separated by interstitial fibrosis. Uniform thickening of tubular basement membranes without shrinkage and otherwise healthy epithelial cells can be seen in diabetic nephropathy. Duplication, or lamellation, thickening, and disruption of tubular basement membranes with tubular dilatation can be seen in medullary cystic kidney disease/nephronophthisis."
Proteinuria,Proteinuria,HPO,HP_0000093,Increased levels of protein in the urine.
HP_0000094,HP_0000094,HPO,HP_0000094,
Abnormality of renal glomerulus morphology,Abnormality of renal glomerulus morphology,HPO,HP_0000095,A structural anomaly of the glomerulus.
Glomerulosclerosis,Glomerulosclerosis,HPO,HP_0000096,Accumulation of scar tissue within the glomerulus.
Focal segmental glomerulosclerosis,Focal segmental glomerulosclerosis,HPO,HP_0000097,Segmental accumulation of scar tissue in individual (but not all) glomeruli.
Tall stature,Tall stature,HPO,HP_0000098,A height above that which is expected according to age and gender norms.
Glomerulonephritis,Glomerulonephritis,HPO,HP_0000099,Inflammation of the renal glomeruli.
Nephrotic syndrome,Nephrotic syndrome,HPO,HP_0000100,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.|In adults, nephrotic syndrome is characterized by protein excretion of 3.5 g or more per day. In children, nephrotic syndrome is accompanied by protein excretion of more than 40 mg/m2/h."
HP_0000101,HP_0000101,HPO,HP_0000101,
HP_0000102,HP_0000102,HPO,HP_0000102,
Polyuria,Polyuria,HPO,HP_0000103,An increased rate of urine production.|An excessive volume of urination for an adult is more than 2.5 liters of urine per day.
Renal agenesis,Renal agenesis,HPO,HP_0000104,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development.|Renal agenesis can occur as a unilateral or bilateral trait."
Enlarged kidney,Enlarged kidney,HPO,HP_0000105,"An abnormal increase in the size of the kidney.|The main causes of large kidney are hydronephrosis, polycystic disease, renal cell carcinoma, nephroblastoma/Wilm's tumor (in children), and solitary cysts. If possible, a specific term should be used instead of this one. There are several ways of diagnosing enlarged kidney including intravenous urography."
HP_0000106,HP_0000106,HPO,HP_0000106,
Renal cyst,Renal cyst,HPO,HP_0000107,A fluid filled sac in the kidney.
Renal corticomedullary cysts,Renal corticomedullary cysts,HPO,HP_0000108,The presence of multiple cysts at the border between the renal cortex and medulla.
HP_0000109,HP_0000109,HPO,HP_0000109,
Renal dysplasia,Renal dysplasia,HPO,HP_0000110,The presence of developmental dysplasia of the kidney.
Renal juxtaglomerular cell hypertrophy/hyperplasia,Renal juxtaglomerular cell hypertrophy/hyperplasia,HPO,HP_0000111,Increased number and size of the juxtaglomerular cells.
Nephropathy,Nephropathy,HPO,HP_0000112,A nonspecific term referring to disease or damage of the kidneys.
Polycystic kidney dysplasia,Polycystic kidney dysplasia,HPO,HP_0000113,"The presence of multiple cysts in both kidneys.|Polycystic kidney disease (PKD) is a leading cause of end-stage renal disease. Most commonly, PKD arises as an inherited trait. Tremendous enlargement of both kidneys is characteristic of the autosomal dominant form of PKD, with up to hundreds or thousands of renal cysts. This term does not refer to the disease entity but rather to the finding of numerous cysts in both kidneys."
Proximal tubulopathy,Proximal tubulopathy,HPO,HP_0000114,"Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle."
HP_0000115,HP_0000115,HPO,HP_0000115,
HP_0000116,HP_0000116,HPO,HP_0000116,
Renal phosphate wasting,Renal phosphate wasting,HPO,HP_0000117,High urine phosphate in the presence of hypophosphatemia.
Phenotypic abnormality,Phenotypic abnormality,HPO,HP_0000118,A phenotypic abnormality.|This is the root of the phenotypic abnormality subontology of the HPO.
Abnormality of the genitourinary system,Abnormality of the genitourinary system,HPO,HP_0000119,The presence of any abnormality of the genitourinary system.
HP_0000120,HP_0000120,HPO,HP_0000120,
Nephrocalcinosis,Nephrocalcinosis,HPO,HP_0000121,"Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.|Nephrocalcinosis can be intratubular or interstitial, and can be diagnosed by means of a radiologic exam (plain radiographs, ultrasonograms, or computed tomography scans) or via microscopic examination of the renal tissues. The term nephrocalcinosis most often applies to a generalized increase in renal calcium content."
Unilateral renal agenesis,Unilateral renal agenesis,HPO,HP_0000122,A unilateral form of agenesis of the kidney.
Nephritis,Nephritis,HPO,HP_0000123,The presence of inflammation affecting the kidney.
Renal tubular dysfunction,Renal tubular dysfunction,HPO,HP_0000124,"Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid."
Pelvic kidney,Pelvic kidney,HPO,HP_0000125,A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.
Hydronephrosis,Hydronephrosis,HPO,HP_0000126,Severe distention of the kidney with dilation of the renal pelvis and calices.|Hydronephrosis can be caused by reflux or by retrograde pressure on the kidney when the flow of urine is obstructed.
Renal salt wasting,Renal salt wasting,HPO,HP_0000127,A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).
Renal potassium wasting,Renal potassium wasting,HPO,HP_0000128,"High urine potassium in the presence of hypokalemia.|A urine potassium assay can be used to determine the cause of reduced serum potassium (hypokalemia). Normally, the kidney will reabsorb more potassium in the presence of hypokalemia. Therefore, a low urine potassium can suggest gastrointestinal potassium loss, poor dietary intake, or a shift of potassium from the extracellular to the intracellular space. On the other hand, a high urine potassium in the face of low serum potassium indicated renal loss, referred to as renal potassium wasting."
HP_0000129,HP_0000129,HPO,HP_0000129,
Abnormality of the uterus,Abnormality of the uterus,HPO,HP_0000130,An abnormality of the uterus.
Uterine leiomyoma,Uterine leiomyoma,HPO,HP_0000131,The presence of a leiomyoma of the uterus.|Leiomyoma is a benign neoplasm derived from smooth muscle cells.
Menorrhagia,Menorrhagia,HPO,HP_0000132,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days.
Gonadal dysgenesis,Gonadal dysgenesis,HPO,HP_0000133,
Female hypogonadism,Female hypogonadism,HPO,HP_0000134,"Decreased functionality of the female gonads, i.e., of the ovary."
Hypogonadism,Hypogonadism,HPO,HP_0000135,A decreased functionality of the gonad.|Reduced functioning of the gonads (ovaries or testes) with reduced production of sex hormones.
Bifid uterus,Bifid uterus,HPO,HP_0000136,The presence of a bifid uterus.|A uterus that is divided into two lateral horns as a result of imperfect fusion of the paramesonephric ducts.
Abnormality of the ovary,Abnormality of the ovary,HPO,HP_0000137,An abnormality of the ovary.
Ovarian cyst,Ovarian cyst,HPO,HP_0000138,The presence of one or more cysts of the ovary.
Uterine prolapse,Uterine prolapse,HPO,HP_0000139,"The presence of prolapse of the uterus.|The uterus (womb) is normally held in place by a muscles, tissue and ligaments. If these tissues can no longer support the uterus it can slip down from its normal position."
Abnormality of the menstrual cycle,Abnormality of the menstrual cycle,HPO,HP_0000140,An abnormality of the ovulation cycle.
Amenorrhea,Amenorrhea,HPO,HP_0000141,Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months.
Abnormal vagina morphology,Abnormal vagina morphology,HPO,HP_0000142,Any structural abnormality of the vagina.
Rectovaginal fistula,Rectovaginal fistula,HPO,HP_0000143,The presence of a fistula between the vagina and the rectum.
Decreased fertility,Decreased fertility,HPO,HP_0000144,
Transverse vaginal septum,Transverse vaginal septum,HPO,HP_0000145,
HP_0000146,HP_0000146,HPO,HP_0000146,
Polycystic ovaries,Polycystic ovaries,HPO,HP_0000147,
Vaginal atresia,Vaginal atresia,HPO,HP_0000148,Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.
Ovarian gonadoblastoma,Ovarian gonadoblastoma,HPO,HP_0000149,The presence of a gonadoblastoma of the ovary.|Gonadoblastoma is a rare benign tumor that has the potential for malignant transformation and affects a subset of patients with an intersex disorder or disorder of sex development.
Gonadoblastoma,Gonadoblastoma,HPO,HP_0000150,"The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements."
Aplasia of the uterus,Aplasia of the uterus,HPO,HP_0000151,Aplasia of the uterus.
Abnormality of head or neck,Abnormality of head or neck,HPO,HP_0000152,An abnormality of head and neck.
Abnormality of the mouth,Abnormality of the mouth,HPO,HP_0000153,An abnormality of the mouth.
Wide mouth,Wide mouth,HPO,HP_0000154,"Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective).|The width of the mouth varies with facial movement and must be assessed when the subject has a relaxed (neutral) face. This term replaces macrostomia, large mouth, and large oral aperture because these terms imply a wide and open mouth. The term should not be used to describe a patient with a lateral oral cleft."
Oral ulcer,Oral ulcer,HPO,HP_0000155,"Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue."
HP_0000156,HP_0000156,HPO,HP_0000156,
Abnormality of the tongue,Abnormality of the tongue,HPO,HP_0000157,Any abnormality of the tongue.
Macroglossia,Macroglossia,HPO,HP_0000158,"Increased length and width of the tongue.|Normal standards do not exist. Large size usually leads to protrusion of the tongue. This is an acknowledged bundled term, but due to its frequent usage and relative paucity of situations that would call for separate individual assessments of tongue dimensions, the bundled term is retained. Micrognathia may give the false appearance of a large tongue."
Abnormal lip morphology,Abnormal lip morphology,HPO,HP_0000159,An abnormality of the lip.
Narrow mouth,Narrow mouth,HPO,HP_0000160,"Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).|The width of the mouth varies with facial movement and must be assessed when the subject has a relaxed (neutral) face. This term replaces microstomia, small oral aperture, and small mouth because the reduced opening of the mouth is secondary to reduced width."
Median cleft lip,Median cleft lip,HPO,HP_0000161,A type of cleft lip presenting as a midline (median) gap in the upper lip.
Glossoptosis,Glossoptosis,HPO,HP_0000162,"Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly.|Presumably, use of the suffix ptosis refers to the situation where the patient is supine, and the displacement is downward. Strictly speaking, the term glossoptosis indicates falling of the tongue and thus can also be forward displacement; however by convention it is only used for backward displacement. Glossoptosis may cause obstruction of the airway."
Abnormal oral cavity morphology,Abnormal oral cavity morphology,HPO,HP_0000163,"Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth."
Abnormality of the dentition,Abnormality of the dentition,HPO,HP_0000164,Any abnormality of the teeth.|Any abnormality of the primary (deciduous) or permanent teeth.
HP_0000165,HP_0000165,HPO,HP_0000165,
Severe periodontitis,Severe periodontitis,HPO,HP_0000166,A severe form of periodontitis.
HP_0000167,HP_0000167,HPO,HP_0000167,
Abnormality of the gingiva,Abnormality of the gingiva,HPO,HP_0000168,Any abnormality of the gingiva (also known as gums).|The gingiva consists of the mucosal tissue that lies over the alveolar bone and around the base of the teeth.
Gingival fibromatosis,Gingival fibromatosis,HPO,HP_0000169,"The presence of fibrosis of the gingiva.|Gingival fibromatosis is characterized by a slowly progressive benign enlargement of the oral gingival tissues. Both genetic and pharmacologically induced forms of gingival fibromatosis are known. The most common genetic form, hereditary gingival fibromatosis (HGF), is usually transmitted as an autosomal dominant trait, although sporadic cases are common and autosomal recessive inheritance has been reported."
HP_0000170,HP_0000170,HPO,HP_0000170,
Microglossia,Microglossia,HPO,HP_0000171,"Decreased length and width of the tongue.|Normal standards do not exist. The term aglossia is often used for extremely small tongue, but a nubbin of tongue tissue is almost always present and aglossia in sensu strictu is extremely rare. This is an acknowledged bundled term, but due to its frequent usage and relative paucity of situations that would call for separate individual assessments of tongue dimensions, the bundled term is retained."
Abnormality of the uvula,Abnormality of the uvula,HPO,HP_0000172,"Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate."
HP_0000173,HP_0000173,HPO,HP_0000173,
Abnormal palate morphology,Abnormal palate morphology,HPO,HP_0000174,"Any abnormality of the palate, i.e., of roof of the mouth."
Cleft palate,Cleft palate,HPO,HP_0000175,"Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).|Cleft palate is a developmental defect that occurs between the 7th and 12th week of pregnancy. Normally, the palatine processes fuse during this time to form the soft and hard palate. A failure of fusion results in a cleft palate. The clinical spectrum ranges from bifid uvula, to (incomplete or complete) cleft of the soft palate, up to (complete or incomplete) cleft of both the soft and hard palate."
Submucous cleft hard palate,Submucous cleft hard palate,HPO,HP_0000176,Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate.
Abnormality of upper lip,Abnormality of upper lip,HPO,HP_0000177,An abnormality of the upper lip.
