providerIdentifier,organisation,hasSubmittedData
027hreq63,Koninklijke Scholengemeenschap,True
02z0ywx65,Regionale scholengemeenschap Goeree-Overflakkee,True
03nk3sc73,Bonaventuracollege,True
04ryr8437,Udens College,False
002fzqp75,University for Peace,True
020dp5a36,C.T. de Wit Graduate School for Production Ecology and Resource Conservation,False
033958n71,Netherlands School of Public Administration,True
0481e1q24,Rotterdam University of Applied Sciences,True
053qcv951,European Association of Distance Teaching Universities,True
00bscyw28,International Bureau of Fiscal Documentation,True
03dpjfc73,Amsterdam University College,True
04dde1554,Amsterdam University of the Arts,True
04tj5wz42,Christian University of Applied Sciences,False
018t8yw14,Hotelschool The Hague,False
047kqmy39,Iselinge Hogeschool,True
03xws5b35,Marnix Academie,False
02ar29j81,Reformed University of Applied Sciences,False
00490vc18,Royal Academy of Art,False
03s2fjy85,Theological University of Apeldoorn,False
05nrjb178,Katholieke Pabo Zwolle,False
03skjap48,Hague Academy of International Law,False
04zb8fk81,Maastricht School of Management,False
025gshh98,NTI University,True
02552gk22,Islamic University of Rotterdam,False
014dvgf17,BASilar artery International Cooperation Study,False
05jrbdv26,Expertise Center Vocational Education,True
003meye08,Avans+,False
03naar428,Postmaster Psychologie Opleidingen,True
004pfc251,Middelbaar Beroeps Onderwijs,True
03q7ay915,TIAS School for Business and Society,False
04jxbkz90,Institute for Programming research and Algorithmics,False
023p2b446,Dutch Art Institute,False
01mwwwn80,Royal Conservatory of The Hague,False
03q7ay915,TIAS School for Business and Society,False
04jxbkz90,Institute for Programming research and Algorithmics,False
023p2b446,Dutch Art Institute,False
01mwwwn80,Royal Conservatory of The Hague,False
005rems48,Interuniversity Center for Social Science Theory and Methodology,False
027zjnr49,International New Town Institute,False
03kfjwh70,College voor de Rechten van de Mens,False
00e39jm60,Curio,False
01dcz6f16,Scalda,True
025fr4535,"Netherlands Graduate Research School of Science, Technology and Modern Culture",False
01g0n8690,Amsterdam Institute for Advanced Metropolitan Solutions,True
00ftg6h50,European Graduate School of Neuroscience,True
008xxew50,Vrije Universiteit Amsterdam,False
04pp8hn57,Utrecht University,True
057w15z03,Erasmus University Rotterdam,False
027bh9e22,Leiden University,True
02nt7ap43,Academie Verloskunde Amsterdam Groningen,False
02m6k0m40,Zuyd University of Applied Sciences,True
01n92vv28,Oncode Institute,True
00xqtxw43,Hanze University of Applied Sciences,False
021zvq422,The Hague University of Applied Sciences,True
054xxtt73,Tinbergen Institute,False
04dkp9463,University of Amsterdam,True
02dnd4c36,Van Lodenstein College,False
03y974j42,Nefrovisie,True
02fq0hm69,Friesland College,False
03tqe0950,Expertisecentrum Nederlands,True
01rps2j56,Koning Willem I College,False
05f0rzm15,Transnational University Limburg,False
02xgxme97,NHL Stenden University of Applied Sciences,True
04mx1wt49,Netherlands Research School for Literary Studies,False
05az93f25,ArtEZ Institute of the Arts,False
028z9kw20,University of Applied Sciences Utrecht,False
0265xav62,Dutch postgraduate School for Art History,False
016xsfp80,Radboud University Nijmegen,False
04xbrv698,Institute for Mobile and Satellite Communication Technology,True
00vxe3x87,Stuttgart Observatory,False
03e8s1d88,Potsdam Institute for Climate Impact Research,False
05r3f7h03,Physikalisch-Technische Bundesanstalt,True
003sav189,Oldenburger Institut für Informatik,False
034fmtr90,empirica - Communication and Technology Research,True
03d0p2685,Helmholtz Centre for Infection Research,False
000h6jb29,Helmholtz Centre for Environmental Research,False
04bwf3e34,German Aerospace Center,False
01js2sh04,Deutsches Elektronen-Synchrotron DESY,False
02phevt59,Fraunhofer Institute for Wind Energy Systems,False
04zb59n70,Leibniz Institute for Solid State and Materials Research,False
02h2x0161,GEOMAR Helmholtz Centre for Ocean Research Kiel,False
05txczf44,Leibniz Institute for Applied Geophysics,False
032e6b942,Alfred Wegener Institute for Polar and Marine Research,False
03a96gc12,ZBW – Leibniz-Informationszentrum Wirtschaft,True
01jty7g66,German Center for Integrative Biodiversity Research,False
0416m3683,Institut für Rundfunktechnik,False
00bkxry42,Fraunhofer Institute for Microengineering and Microsystems,False
04d5k5771,European Institute for Energy Research,True
00g656d67,Leibniz-Institute for New Materials,False
00yssnc44,Paul Ehrlich Institut,False
02eva5865,Zuse Institute Berlin,False
04s0hh912,Medien- und Filmgesellschaft Baden-Württemberg,False
00w4csr50,Landwirtschaftliche Untersuchungs- und Forschungsanstalt Speyer,False
033ynyj02,Forschungsinstitut für Leder und Kunststoffbahnen,True
01s5g3b18,Nova Institut,False
01xc6bj88,Leibniz Institute for Materials Engineering,True
00ygfxx68,Technologie- und Förderzentrum,False
01spy4t79,"Wuppertal Institute for Climate, Environment and Energy",True
01fn48q65,Independent Centre for Privacy Protection,True
00ghc0f97,Thuringian Institute of Textile and Plastics Research,False
01y07bp24,VDEh-Betriebsforschungsinstitut,True
01z3jep38,German Cement Works Association,False
038t94116,Deutsches Forschungsnetz,True
04farme71,Fraunhofer Institute for Digital Medicine,False
04ews3245,German Diabetes Center,False
01jy3gh06,Hochrhein Institut für Rehabilitationsforschung,False
05dfnrn76,IFT Institut für Therapieforschung,True
02z95d405,Institut für Klinische Forschung und Entwicklung,True
03je0y772,Institut für biologische Forschung,True
05vmv8m79,Frankfurt Institute for Advanced Studies,False
02afjh072,Fraunhofer Institute for Applied Optics and Precision Engineering,True
02byjcr11,Fraunhofer Institute for Toxicology and Experimental Medicine,False
03j85fc72,Fraunhofer Institute for Molecular Biology and Applied Ecology,True
03k9qs827,Fritz Haber Institute of the Max Planck Society,True
0165r2y73,Max Planck Institute for Heart and Lung Research,False
0199g0r92,Max Planck Institute for Metabolism Research,False
016brq605,Apherese Forschungsinstitut,False
0046gcs23,Max Planck Institute for Infection Biology,False
036ragn25,Research Center Borstel - Leibniz Lung Center,False
05xdczy51,German Institute of Human Nutrition,True
02f99v835,German Primate Center,False
00shv0x82,German Rheumatism Research Centre,False
039a53269,Leibniz Institute on Aging – Fritz Lipmann Institute,False
01fbde567,Max Planck Institute of Molecular Plant Physiology,False
03vpj4s62,Max Planck Institute of Molecular Physiology,False
02c22vc57,Leibniz Institute for Prevention Research and Epidemiology - BIPS,False
02r2q1d96,Heinrich-Pette-Institute,False
04xmnzw38,Georg Speyer Haus,True
04py35477,Max Planck Institute of Biochemistry,False
00trw9c49,Fraunhofer Institute for Algorithms and Scientific Computing,True
05krxy197,Profil Institute for Metabolic Research,False
02se0t636,Leibniz Institute of Photonic Technology,True
029w5ya68,European Neuroscience Institute Göttingen,False
03hv28176,Leibniz-Institut für Wissensmedien,True
02jhqqg57,Leibniz Institute for Analytical Sciences - ISAS,True
0086b8v72,International Neuroscience Institute,False
04p5ggc03,Max Delbrück Center for Molecular Medicine,True
02panr271,Max Planck Institute of Biophysics,False
022jc0g24,Max Planck Institute for Developmental Biology,True
044g3zk14,Max Planck Institute for Plant Breeding Research,False
051yxp643,Max Planck Institute for Biogeochemistry,False
026nmvv73,Max Planck Institute for Biological Cybernetics,False
02h1nk258,Max Planck Institute for Brain Research,False
01c997669,Max Planck Institute for Chemical Physics of Solids,False
0087djs12,Max Planck Institute for Dynamics and Self-Organization,False
02a33b393,Max Planck Institute for Evolutionary Anthropology,False
0534re684,Max Planck Institute for Evolutionary Biology,True
0387jng26,Max Planck Institute for Human Cognitive and Brain Sciences,False
051yxp643,Max Planck Institute for Biogeochemistry,False
026nmvv73,Max Planck Institute for Biological Cybernetics,False
02h1nk258,Max Planck Institute for Brain Research,True
01c997669,Max Planck Institute for Chemical Physics of Solids,False
0087djs12,Max Planck Institute for Dynamics and Self-Organization,False
02a33b393,Max Planck Institute for Evolutionary Anthropology,True
0534re684,Max Planck Institute for Evolutionary Biology,False
0387jng26,Max Planck Institute for Human Cognitive and Brain Sciences,True
01w19ak89,Max Planck Institute for Informatics,False
02385fa51,Max Planck Institute for Marine Microbiology,True
05b8d3w18,Max Planck Institute of Molecular Cell Biology and Genetics,False
03ate3e03,Max Planck Institute for Molecular Genetics,True
04dq56617,Max Planck Institute of Psychiatry,False
0492sjc74,Max Planck Institute for the History of Science,True
01bf9rw71,Max Planck Institute for the Physics of Complex Systems,False
020as7681,Max Planck Institute for the Science of Light,False
00pwgnh47,Max Planck Institute of Colloids and Interfaces,True
03jbf6q27,Max-Born-Institute for Nonlinear Optics and Short Pulse Spectroscopy,False
01y9arx16,Max Planck Institute for Chemical Energy Conversion,False
0243gzr89,Max Planck Institute for Biology,True
04xbrv698,Institute for Mobile and Satellite Communication Technology,False
00vxe3x87,Stuttgart Observatory,True
003sav189,Oldenburger Institut für Informatik,False
034fmtr90,empirica - Communication and Technology Research,True
03d0p2685,Helmholtz Centre for Infection Research,False
000h6jb29,Helmholtz Centre for Environmental Research,False
04bwf3e34,German Aerospace Center,True
01js2sh04,Deutsches Elektronen-Synchrotron DESY,False
02phevt59,Fraunhofer Institute for Wind Energy Systems,False
04zb59n70,Leibniz Institute for Solid State and Materials Research,False
02h2x0161,GEOMAR Helmholtz Centre for Ocean Research Kiel,False
0416m3683,Institut für Rundfunktechnik,False
00bkxry42,Fraunhofer Institute for Microengineering and Microsystems,False
04d5k5771,European Institute for Energy Research,False
03e8s1d88,Potsdam Institute for Climate Impact Research,False
05r3f7h03,Physikalisch-Technische Bundesanstalt,True
01vhnrs90,Max Planck Institute for Astronomy,True
058xzat49,Max Planck Institute of Immunobiology and Epigenetics,False
00bkqxm79,Aldebaran Marine Research and Broadcast,True
0043ncq27,Berliner Institut für Sozialforschung,False
0489gab80,Innovations for High Performance Microelectronics,False
01qtasp15,European Southern Observatory,False
00g656d67,Leibniz-Institute for New Materials,False
00yssnc44,Paul Ehrlich Institut,False
02eva5865,Zuse Institute Berlin,True
04s0hh912,Medien- und Filmgesellschaft Baden-Württemberg,True
00w4csr50,Landwirtschaftliche Untersuchungs- und Forschungsanstalt Speyer,False
033ynyj02,Forschungsinstitut für Leder und Kunststoffbahnen,False
01s5g3b18,Nova Institut,True
01xc6bj88,Leibniz Institute for Materials Engineering,False
00ygfxx68,Technologie- und Förderzentrum,True
01spy4t79,"Wuppertal Institute for Climate, Environment and Energy",False
01fn48q65,Independent Centre for Privacy Protection,False
00ghc0f97,Thuringian Institute of Textile and Plastics Research,True
01y07bp24,VDEh-Betriebsforschungsinstitut,False
01z3jep38,German Cement Works Association,False
038t94116,Deutsches Forschungsnetz,False
04farme71,Fraunhofer Institute for Digital Medicine,False
04ews3245,German Diabetes Center,True
01vhnrs90,Max Planck Institute for Astronomy,False
058xzat49,Max Planck Institute of Immunobiology and Epigenetics,False
00bkqxm79,Aldebaran Marine Research and Broadcast,True
0043ncq27,Berliner Institut für Sozialforschung,False
